Orthogroup	MHP_UFV02_genes	MHP_131B_genes
OG0000066	FEF31_RS01015	NB627_RS01480, NB627_RS01475
OG0000067	FEF31_RS00185	NB627_RS00635
OG0000068	FEF31_RS00305	NB627_RS00755
OG0000069	FEF31_RS02555	NB627_RS03005
OG0000070	FEF31_RS02210	NB627_RS02660
OG0000071	FEF31_RS03835	NB627_RS03465
OG0000072	FEF31_RS04700	NB627_RS03470
OG0000073	FEF31_RS00360	NB627_RS00820
OG0000074	FEF31_RS04395	NB627_RS01020
OG0000076	FEF31_RS00020	NB627_RS00365
OG0000077	FEF31_RS00105	NB627_RS00550
OG0000078	FEF31_RS01340	NB627_RS01810
OG0000079	FEF31_RS02300	NB627_RS02745
OG0000080	FEF31_RS02345	NB627_RS02795
OG0000081	FEF31_RS03610	NB627_RS00340
OG0000083	FEF31_RS01765	NB627_RS02160
OG0000084	FEF31_RS01795	NB627_RS02190
OG0000085	FEF31_RS01800	NB627_RS02195
OG0000086	FEF31_RS01810	NB627_RS02210
OG0000087	FEF31_RS01825	NB627_RS02225
OG0000088	FEF31_RS01830	NB627_RS02230
OG0000089	FEF31_RS01840	NB627_RS02240
OG0000090	FEF31_RS03355	NB627_RS00070
OG0000091	FEF31_RS03340	NB627_RS00055
OG0000092	FEF31_RS03325	NB627_RS00050
OG0000093	FEF31_RS03320	NB627_RS00035
OG0000094	FEF31_RS03315	NB627_RS00030
OG0000095	FEF31_RS03290	NB627_RS00005
OG0000096	FEF31_RS03285	NB627_RS03825
OG0000097	FEF31_RS03265	NB627_RS03805
OG0000098	FEF31_RS03255	NB627_RS03795
OG0000099	FEF31_RS04640	NB627_RS03745
OG0000100	FEF31_RS03195	NB627_RS03725
OG0000101	FEF31_RS03190	NB627_RS03720
OG0000102	FEF31_RS01365	NB627_RS01835
OG0000103	FEF31_RS01955	NB627_RS02375
OG0000104	FEF31_RS01960	NB627_RS02380
OG0000105	FEF31_RS01975	NB627_RS02400
OG0000106	FEF31_RS01985	NB627_RS02405
OG0000107	FEF31_RS01995	NB627_RS02415
OG0000108	FEF31_RS02000	NB627_RS02420
OG0000109	FEF31_RS02005	NB627_RS02425
OG0000110	FEF31_RS02120	NB627_RS02555
OG0000111	FEF31_RS02115	NB627_RS02550
OG0000112	FEF31_RS02105	NB627_RS02540
OG0000113	FEF31_RS02085	NB627_RS02515
OG0000114	FEF31_RS02075	NB627_RS02510
OG0000115	FEF31_RS02065	NB627_RS02495
OG0000116	FEF31_RS00955	NB627_RS01420
OG0000117	FEF31_RS00960	NB627_RS01425
OG0000118	FEF31_RS00995	NB627_RS01460
OG0000119	FEF31_RS01000	NB627_RS01465
OG0000120	FEF31_RS01020	NB627_RS01485
OG0000121	FEF31_RS01045	NB627_RS01515
OG0000122	FEF31_RS01050	NB627_RS01520
OG0000123	FEF31_RS01070	NB627_RS01540
OG0000124	FEF31_RS01075	NB627_RS01545
OG0000125	FEF31_RS01080	NB627_RS01550
OG0000126	FEF31_RS01090	NB627_RS01560
OG0000127	FEF31_RS01100	NB627_RS01570
OG0000128	FEF31_RS01115	NB627_RS01585
OG0000129	FEF31_RS01120	NB627_RS01590
OG0000130	FEF31_RS01130	NB627_RS01600
OG0000131	FEF31_RS01160	NB627_RS01630
OG0000132	FEF31_RS04430	NB627_RS01645
OG0000133	FEF31_RS00190	NB627_RS00640
OG0000134	FEF31_RS00195	NB627_RS00645
OG0000135	FEF31_RS00210	NB627_RS00660
OG0000136	FEF31_RS00215	NB627_RS00665
OG0000137	FEF31_RS00245	NB627_RS00695
OG0000138	FEF31_RS00280	NB627_RS00730
OG0000139	FEF31_RS00310	NB627_RS00760
OG0000140	FEF31_RS00315	NB627_RS00765
OG0000141	FEF31_RS02670	NB627_RS03120
OG0000142	FEF31_RS04555	NB627_RS03115
OG0000143	FEF31_RS02645	NB627_RS03100
OG0000144	FEF31_RS02635	NB627_RS03085
OG0000145	FEF31_RS02625	NB627_RS03075
OG0000146	FEF31_RS02615	NB627_RS03065
OG0000147	FEF31_RS02610	NB627_RS03060
OG0000148	FEF31_RS02595	NB627_RS03045
OG0000149	FEF31_RS02585	NB627_RS03035
OG0000150	FEF31_RS02570	NB627_RS03025
OG0000151	FEF31_RS02525	NB627_RS02970
OG0000152	FEF31_RS02520	NB627_RS02965
OG0000153	FEF31_RS02515	NB627_RS02960
OG0000154	FEF31_RS02505	NB627_RS02950
OG0000155	FEF31_RS02465	NB627_RS02910
OG0000156	FEF31_RS02455	NB627_RS02905
OG0000157	FEF31_RS04545	NB627_RS02895
OG0000158	FEF31_RS04540	NB627_RS02885
OG0000159	FEF31_RS02195	NB627_RS02645
OG0000160	FEF31_RS02190	NB627_RS02640
OG0000161	FEF31_RS02185	NB627_RS02635
OG0000162	FEF31_RS02175	NB627_RS02625
OG0000163	FEF31_RS02170	NB627_RS02620
OG0000164	FEF31_RS01270	NB627_RS01735
OG0000165	FEF31_RS01685	NB627_RS02080
OG0000166	FEF31_RS01705	NB627_RS02100
OG0000167	FEF31_RS01720	NB627_RS02115
OG0000168	FEF31_RS01725	NB627_RS02120
OG0000169	FEF31_RS03615	NB627_RS03235
OG0000170	FEF31_RS04785, FEF31_RS04795	NB627_RS03255
OG0000171	FEF31_RS03640	NB627_RS03265
OG0000172	FEF31_RS03645	NB627_RS03270
OG0000173	FEF31_RS03650	NB627_RS03275
OG0000174	FEF31_RS03655	NB627_RS03280
OG0000175	FEF31_RS03670	NB627_RS03295
OG0000176	FEF31_RS03715	NB627_RS03350
OG0000177	FEF31_RS03720	NB627_RS03355
OG0000178	FEF31_RS03725	NB627_RS03365
OG0000179	FEF31_RS03735	NB627_RS03370
OG0000180	FEF31_RS03740	NB627_RS03375
OG0000181	FEF31_RS04690	NB627_RS03415
OG0000182	FEF31_RS03795	NB627_RS03425
OG0000183	FEF31_RS03830	NB627_RS03460
OG0000184	FEF31_RS02980	NB627_RS03505
OG0000185	FEF31_RS02965	NB627_RS03490
OG0000186	FEF31_RS04435	NB627_RS01655
OG0000187	FEF31_RS01200	NB627_RS01670
OG0000188	FEF31_RS01210	NB627_RS01680
OG0000189	FEF31_RS04520	NB627_RS02465
OG0000190	FEF31_RS02035	NB627_RS02460
OG0000191	FEF31_RS02015	NB627_RS02435
OG0000192	FEF31_RS00875	NB627_RS01335
OG0000193	FEF31_RS00860	NB627_RS01315
OG0000194	FEF31_RS00345	NB627_RS00800
OG0000195	FEF31_RS00350	NB627_RS00805
OG0000196	FEF31_RS00370	NB627_RS00830
OG0000197	FEF31_RS00375	NB627_RS00840
OG0000198	FEF31_RS00390	NB627_RS00850
OG0000199	FEF31_RS00395	NB627_RS00855
OG0000200	FEF31_RS00410	NB627_RS00875
OG0000201	FEF31_RS00420	NB627_RS00880
OG0000202	FEF31_RS00475	NB627_RS00940
OG0000203	FEF31_RS00480	NB627_RS00945
OG0000204	FEF31_RS00485	NB627_RS00950
OG0000205	FEF31_RS00490	NB627_RS00955
OG0000206	FEF31_RS00510	NB627_RS00975
OG0000207	FEF31_RS00525	NB627_RS00990
OG0000208	FEF31_RS00530	NB627_RS00995
OG0000209	FEF31_RS00535	NB627_RS01000
OG0000210	FEF31_RS00580	NB627_RS01045
OG0000211	FEF31_RS00590	NB627_RS01055
OG0000212	FEF31_RS00600	NB627_RS01065
OG0000213	FEF31_RS00605	NB627_RS01070
OG0000214	FEF31_RS00610	NB627_RS01075
OG0000215	FEF31_RS00615	NB627_RS01080
OG0000216	FEF31_RS00620	NB627_RS01085
OG0000217	FEF31_RS00625	NB627_RS01090
OG0000218	FEF31_RS00635	NB627_RS01100
OG0000219	FEF31_RS00640	NB627_RS01105
OG0000220	FEF31_RS00645	NB627_RS01110
OG0000221	FEF31_RS00650	NB627_RS01115
OG0000222	FEF31_RS00655	NB627_RS01120
OG0000223	FEF31_RS00660	NB627_RS01125
OG0000224	FEF31_RS00670	NB627_RS01135
OG0000225	FEF31_RS00680	NB627_RS01145
OG0000226	FEF31_RS00685	NB627_RS01150
OG0000227	FEF31_RS00690	NB627_RS01155
OG0000228	FEF31_RS04770	NB627_RS01160
OG0000229	FEF31_RS00700	NB627_RS01165
OG0000230	FEF31_RS00705	NB627_RS01170
OG0000231	FEF31_RS00715	NB627_RS01180
OG0000232	FEF31_RS00725	NB627_RS01190
OG0000233	FEF31_RS00750	NB627_RS01210
OG0000234	FEF31_RS00785	NB627_RS01245
OG0000235	FEF31_RS00795	NB627_RS01255
OG0000236	FEF31_RS00800	NB627_RS01260
OG0000237	FEF31_RS00805	NB627_RS01265
OG0000238	FEF31_RS00810	NB627_RS01270
OG0000239	FEF31_RS02680	NB627_RS03130
OG0000240	FEF31_RS02685	NB627_RS03135
OG0000241	FEF31_RS02695	NB627_RS03145
OG0000242	FEF31_RS02700	NB627_RS03150
OG0000243	FEF31_RS02705	NB627_RS03155
OG0000244	FEF31_RS02715	NB627_RS03165
OG0000245	FEF31_RS02720	NB627_RS03175
OG0000246	FEF31_RS03410	NB627_RS00140
OG0000247	FEF31_RS03420	NB627_RS00150
OG0000248	FEF31_RS03430	NB627_RS00160
OG0000249	FEF31_RS03435	NB627_RS00165
OG0000250	FEF31_RS03450	NB627_RS00180
OG0000251	FEF31_RS03480	NB627_RS00215
OG0000252	FEF31_RS03490	NB627_RS00220
OG0000253	FEF31_RS03495	NB627_RS00225
OG0000254	FEF31_RS03505	NB627_RS00235
OG0000255	FEF31_RS03510	NB627_RS00240
OG0000256	FEF31_RS03515	NB627_RS00245
OG0000257	FEF31_RS03540	NB627_RS00270
OG0000258	FEF31_RS03550	NB627_RS00280
OG0000259	FEF31_RS03580	NB627_RS00310
OG0000260	FEF31_RS03590	NB627_RS00320
OG0000261	FEF31_RS04680	NB627_RS00330
OG0000262	FEF31_RS00010	NB627_RS00360
OG0000263	FEF31_RS00025	NB627_RS00375
OG0000264	FEF31_RS00040	NB627_RS00395
OG0000265	FEF31_RS00050	NB627_RS00400
OG0000266	FEF31_RS00065	NB627_RS00415
OG0000267	FEF31_RS00080	NB627_RS00430
OG0000268	FEF31_RS00085	NB627_RS00530
OG0000269	FEF31_RS00100	NB627_RS00545
OG0000270	FEF31_RS04635	NB627_RS03700
OG0000271	FEF31_RS03160	NB627_RS03690
OG0000272	FEF31_RS03155	NB627_RS03685
OG0000273	FEF31_RS03150	NB627_RS03680
OG0000274	FEF31_RS03130	NB627_RS03665
OG0000275	FEF31_RS04625	NB627_RS03655
OG0000276	FEF31_RS03120	NB627_RS03650
OG0000277	FEF31_RS03110	NB627_RS03640
OG0000278	FEF31_RS03105	NB627_RS03635
OG0000279	FEF31_RS03095	NB627_RS03625
OG0000280	FEF31_RS03090	NB627_RS03620
OG0000281	FEF31_RS03085	NB627_RS03615
OG0000282	FEF31_RS04615	NB627_RS03590
OG0000283	FEF31_RS03055	NB627_RS03585
OG0000284	FEF31_RS03050	NB627_RS03580
OG0000285	FEF31_RS04610	NB627_RS03575
OG0000286	FEF31_RS02155	NB627_RS02605
OG0000287	FEF31_RS02260	NB627_RS02705
OG0000288	FEF31_RS02270	NB627_RS02715
OG0000289	FEF31_RS02275	NB627_RS02720
OG0000290	FEF31_RS02385	NB627_RS02840
OG0000291	FEF31_RS02375	NB627_RS02825
OG0000292	FEF31_RS02370	NB627_RS02820
OG0000293	FEF31_RS02365	NB627_RS02815
OG0000294	FEF31_RS02355	NB627_RS02805
OG0000295	FEF31_RS02350	NB627_RS02800
OG0000296	FEF31_RS02310	NB627_RS02755
OG0000297	FEF31_RS02305	NB627_RS02750
OG0000298	FEF31_RS03445	NB627_RS00175
OG0000299	FEF31_RS03465	NB627_RS00195
OG0000300	FEF31_RS00035	NB627_RS00385
OG0000301	FEF31_RS00070	NB627_RS00420
OG0000302	FEF31_RS00075	NB627_RS00425
OG0000303	FEF31_RS00220	NB627_RS00670
OG0000304	FEF31_RS00730	NB627_RS01195
OG0000305	FEF31_RS02620	NB627_RS03070
OG0000306	FEF31_RS02545	NB627_RS02995
OG0000307	FEF31_RS02510	NB627_RS02955
OG0000308	FEF31_RS02405	NB627_RS02855
OG0000309	FEF31_RS02340	NB627_RS02790
OG0000310	FEF31_RS02265	NB627_RS02710
OG0000311	FEF31_RS02215	NB627_RS02665
OG0000312	FEF31_RS02200	NB627_RS02650
OG0000313	FEF31_RS01260	NB627_RS01725
OG0000314	FEF31_RS01700	NB627_RS02095
OG0000315	FEF31_RS01730	NB627_RS02125
OG0000316	FEF31_RS01740	NB627_RS02135
OG0000317	FEF31_RS01835	NB627_RS02235
OG0000318	FEF31_RS04480	NB627_RS02155
OG0000319	FEF31_RS01970	NB627_RS02390
OG0000320	FEF31_RS02095	NB627_RS02530
OG0000321	FEF31_RS00990	NB627_RS01455
OG0000322	FEF31_RS01040	NB627_RS01510
OG0000323	FEF31_RS01170	NB627_RS01640
OG0000324	FEF31_RS02010	NB627_RS02430
OG0000325	FEF31_RS00355	NB627_RS00815
OG0000326	FEF31_RS00450	NB627_RS00910
OG0000327	FEF31_RS00455	NB627_RS00915
OG0000328	FEF31_RS00540	NB627_RS01005
OG0000329	FEF31_RS00560	NB627_RS01025
OG0000330	FEF31_RS00760	NB627_RS01220
OG0000331	FEF31_RS02710	NB627_RS03160
OG0000332	FEF31_RS03680	NB627_RS03305
OG0000333	FEF31_RS03690	NB627_RS03315
OG0000334	FEF31_RS03790	NB627_RS03420
OG0000335	FEF31_RS03800	NB627_RS03430
OG0000336	FEF31_RS04620	NB627_RS03605
OG0000337	FEF31_RS03240	NB627_RS03780
OG0000338	FEF31_RS03280	NB627_RS03820
OG0000339	FEF31_RS02070	NB627_RS02500
OG0000340	FEF31_RS00970	NB627_RS01435
OG0000341	FEF31_RS02030	NB627_RS02455
OG0000342	FEF31_RS00385	NB627_RS00845
OG0000343	FEF31_RS03700	NB627_RS03325
OG0000344	FEF31_RS00235	NB627_RS00685
OG0000345	FEF31_RS00675	NB627_RS01140
OG0000346	FEF31_RS03080	NB627_RS03610
OG0000347	FEF31_RS01065	NB627_RS01535
OG0000348	FEF31_RS00460	NB627_RS00920
OG0000349	FEF31_RS04630	NB627_RS03670
OG0000350	FEF31_RS02500	NB627_RS02945
OG0000351	FEF31_RS00155	NB627_RS00600
OG0000352	FEF31_RS01680	NB627_RS02075
OG0000353	FEF31_RS01035	NB627_RS01500
OG0000354	FEF31_RS00295	NB627_RS00745
OG0000355	FEF31_RS04470	NB627_RS02050
OG0000356	FEF31_RS04475	NB627_RS02130
OG0000357	FEF31_RS04685	NB627_RS03285
OG0000358	FEF31_RS03665	NB627_RS03290
OG0000359	FEF31_RS04380	NB627_RS00890
OG0000360	FEF31_RS03545	NB627_RS00275
OG0000361	FEF31_RS03575	NB627_RS00305
OG0000362	FEF31_RS02285	NB627_RS02730
OG0000363	FEF31_RS01105	NB627_RS01575
OG0000364	FEF31_RS01635	NB627_RS02025
OG0000365	FEF31_RS01785	NB627_RS02180
OG0000366	FEF31_RS01805	NB627_RS02200
OG0000367	FEF31_RS01815	NB627_RS02215
OG0000368	FEF31_RS03345	NB627_RS00060
OG0000369	FEF31_RS04650	NB627_RS00025
OG0000370	FEF31_RS03305	NB627_RS00020
OG0000371	FEF31_RS03300	NB627_RS00015
OG0000372	FEF31_RS03295	NB627_RS00010
OG0000373	FEF31_RS03270	NB627_RS03810
OG0000374	FEF31_RS03260	NB627_RS03800
OG0000375	FEF31_RS01965	NB627_RS02385
OG0000376	FEF31_RS02110	NB627_RS02545
OG0000377	FEF31_RS02100	NB627_RS02535
OG0000378	FEF31_RS00950	NB627_RS01415
OG0000379	FEF31_RS01030	NB627_RS01495
OG0000380	FEF31_RS01055	NB627_RS01525
OG0000381	FEF31_RS01095	NB627_RS01565
OG0000382	FEF31_RS01125	NB627_RS01595
OG0000383	FEF31_RS01165	NB627_RS01635
OG0000384	FEF31_RS00175	NB627_RS00625
OG0000385	FEF31_RS00180	NB627_RS00630
OG0000386	FEF31_RS00200	NB627_RS00650
OG0000387	FEF31_RS00225	NB627_RS00675
OG0000388	FEF31_RS04370	NB627_RS00680
OG0000389	FEF31_RS00275	NB627_RS00725
OG0000390	FEF31_RS02640	NB627_RS03090
OG0000391	FEF31_RS02630	NB627_RS03080
OG0000392	FEF31_RS02605	NB627_RS03055
OG0000393	FEF31_RS04550	NB627_RS03000
OG0000394	FEF31_RS02475	NB627_RS02920
OG0000395	FEF31_RS02470	NB627_RS02915
OG0000396	FEF31_RS02160	NB627_RS02610
OG0000397	FEF31_RS01665	NB627_RS02060
OG0000398	FEF31_RS01670	NB627_RS02065
OG0000399	FEF31_RS01715	NB627_RS02110
OG0000400	FEF31_RS03625	NB627_RS03250
OG0000401	FEF31_RS03685	NB627_RS03310
OG0000402	FEF31_RS03695	NB627_RS03320
OG0000403	FEF31_RS03705	NB627_RS03330
OG0000405	FEF31_RS04800	NB627_RS03380
OG0000406	FEF31_RS03805	NB627_RS03435
OG0000407	FEF31_RS04695	NB627_RS03440
OG0000408	FEF31_RS03815	NB627_RS03445
OG0000409	FEF31_RS03820	NB627_RS03450
OG0000410	FEF31_RS02985	NB627_RS03515
OG0000411	FEF31_RS02975	NB627_RS03500
OG0000412	FEF31_RS02970	NB627_RS03495
OG0000413	FEF31_RS01180	NB627_RS01650
OG0000414	FEF31_RS01190	NB627_RS01660
OG0000415	FEF31_RS01195	NB627_RS01665
OG0000416	FEF31_RS01205	NB627_RS01675
OG0000417	FEF31_RS02025	NB627_RS02450
OG0000418	FEF31_RS02020	NB627_RS02440
OG0000419	FEF31_RS00365	NB627_RS00825
OG0000420	FEF31_RS00400	NB627_RS00860
OG0000421	FEF31_RS00435	NB627_RS00900
OG0000422	FEF31_RS00445	NB627_RS00905
OG0000423	FEF31_RS00500	NB627_RS00965
OG0000424	FEF31_RS00505	NB627_RS00970
OG0000425	FEF31_RS00515	NB627_RS00980
OG0000426	FEF31_RS04385	NB627_RS00985
OG0000427	FEF31_RS04390	NB627_RS01010
OG0000429	FEF31_RS00665	NB627_RS01130
OG0000430	FEF31_RS00710	NB627_RS01175
OG0000431	FEF31_RS00720	NB627_RS01185
OG0000432	FEF31_RS00755	NB627_RS01215
OG0000433	FEF31_RS00770	NB627_RS01230
OG0000434	FEF31_RS00775	NB627_RS01235
OG0000435	FEF31_RS00790	NB627_RS01250
OG0000436	FEF31_RS00815	NB627_RS01275
OG0000437	FEF31_RS00825	NB627_RS01285
OG0000438	FEF31_RS00830	NB627_RS01290
OG0000439	FEF31_RS04400	NB627_RS01295
OG0000440	FEF31_RS02690	NB627_RS03140
OG0000441	FEF31_RS02725	NB627_RS03185
OG0000442	FEF31_RS03415	NB627_RS00145
OG0000443	FEF31_RS03460	NB627_RS00190
OG0000444	FEF31_RS03475	NB627_RS00205
OG0000445	FEF31_RS03500	NB627_RS00230
OG0000446	FEF31_RS03525	NB627_RS00255
OG0000447	FEF31_RS03530	NB627_RS00260
OG0000448	FEF31_RS03560	NB627_RS00290
OG0000449	FEF31_RS03585	NB627_RS00315
OG0000450	FEF31_RS03595	NB627_RS00325
OG0000451	FEF31_RS00030	NB627_RS00380
OG0000452	FEF31_RS00055	NB627_RS00405
OG0000453	FEF31_RS00090	NB627_RS00535
OG0000455	FEF31_RS03185	NB627_RS03715
OG0000456	FEF31_RS03065	NB627_RS03595
OG0000457	FEF31_RS03040	NB627_RS03565
OG0000458	FEF31_RS02255	NB627_RS02700
OG0000459	FEF31_RS02280	NB627_RS02725
OG0000460	FEF31_RS02290	NB627_RS02735
OG0000461	FEF31_RS02335	NB627_RS02780
OG0000462	FEF31_RS02330	NB627_RS02775
OG0000463	FEF31_RS02325	NB627_RS02770
OG0000464	FEF31_RS02320	NB627_RS02765
OG0000465	FEF31_RS02315	NB627_RS02760
OG0000466	FEF31_RS00060	NB627_RS00410
OG0000467	FEF31_RS04530	NB627_RS02865
OG0000468	FEF31_RS01710	NB627_RS02105
OG0000469	FEF31_RS01770	NB627_RS02165
OG0000470	FEF31_RS00495	NB627_RS00960
OG0000471	FEF31_RS00575	NB627_RS01040
OG0000472	FEF31_RS02995	NB627_RS03520
OG0000474	FEF31_RS03175	NB627_RS03705
OG0000475	FEF31_RS03180	NB627_RS03710
OG0000476	FEF31_RS01215	NB627_RS01685
OG0000477	FEF31_RS02360	NB627_RS02810
OG0000478	FEF31_RS03115	NB627_RS03645
OG0000479	FEF31_RS00985	NB627_RS01450
OG0000480	FEF31_RS01775	NB627_RS02170
OG0000481	FEF31_RS00470	NB627_RS00935
OG0000482	FEF31_RS00865	NB627_RS01320
OG0000483	FEF31_RS01820	NB627_RS02220
OG0000484	FEF31_RS04675	NB627_RS00200
OG0000485	FEF31_RS00820	NB627_RS01280
OG0000486	FEF31_RS02045	NB627_RS02470
OG0000488	FEF31_RS01790	NB627_RS02185
OG0000490	FEF31_RS03275	NB627_RS03815
OG0000491	FEF31_RS01005	NB627_RS01470
OG0000492	FEF31_RS01085	NB627_RS01555
OG0000493	FEF31_RS00240	NB627_RS00690
OG0000494	FEF31_RS00300	NB627_RS00750
OG0000496	FEF31_RS02565	NB627_RS03015
OG0000497	FEF31_RS02560	NB627_RS03010
OG0000498	FEF31_RS02480	NB627_RS02925
OG0000499	FEF31_RS02445	NB627_RS02890
OG0000500	FEF31_RS01675	NB627_RS02070
OG0000504	FEF31_RS00550	NB627_RS01015
OG0000505	FEF31_RS00585	NB627_RS01050
OG0000506	FEF31_RS00595	NB627_RS01060
OG0000507	FEF31_RS00630	NB627_RS01095
OG0000508	FEF31_RS03520	NB627_RS00250
OG0000509	FEF31_RS03555	NB627_RS00285
OG0000510	FEF31_RS03565	NB627_RS00300
OG0000511	FEF31_RS00095	NB627_RS00540
OG0000512	FEF31_RS02295	NB627_RS02740
OG0000513	FEF31_RS03100	NB627_RS03630
OG0000514	FEF31_RS02600	NB627_RS03050
OG0000517	FEF31_RS03350	NB627_RS00065
OG0000518	FEF31_RS03675	NB627_RS03300
OG0000520	FEF31_RS00565	NB627_RS01035
OG0000521	FEF31_RS03535	NB627_RS00265
OG0000523	FEF31_RS03035	NB627_RS03560
OG0000524	FEF31_RS02410	NB627_RS02860
OG0000525	FEF31_RS04585	NB627_RS03525
OG0000526	FEF31_RS01585	NB627_RS01970, NB627_RS01965
OG0000527	FEF31_RS01525	NB627_RS01910
OG0000531	FEF31_RS01060	NB627_RS01530
OG0000532	FEF31_RS01290	NB627_RS01755
OG0000533	FEF31_RS00260	NB627_RS00710
OG0000538	FEF31_RS00780	NB627_RS01240
OG0000540	FEF31_RS02380	NB627_RS02830
OG0000544	FEF31_RS04410	NB627_RS01370
OG0000545	FEF31_RS01575, FEF31_RS01570	NB627_RS01955
OG0000546	FEF31_RS02530	NB627_RS02975
OG0000553	FEF31_RS04535	NB627_RS02875
OG0000554	FEF31_RS02125	NB627_RS02565
OG0000555	FEF31_RS02655	NB627_RS03105
OG0000557	FEF31_RS00920	NB627_RS01385
OG0000558	FEF31_RS00890	NB627_RS01345
OG0000559	FEF31_RS01360	NB627_RS01830
OG0000560	FEF31_RS01560	NB627_RS01940
OG0000561	FEF31_RS00765	NB627_RS01225
OG0000562	FEF31_RS01565	NB627_RS01945
OG0000563	FEF31_RS01550	NB627_RS01935
OG0000564	FEF31_RS00945	NB627_RS01410
