Orthogroup	MHP_UFV02_genes	MHP_LH_genes
OG0000459	FEF31_RS02280	KUD10_RS02620
OG0000460	FEF31_RS02290	KUD10_RS02630
OG0000461	FEF31_RS02335	KUD10_RS02680
OG0000462	FEF31_RS02330	KUD10_RS02670
OG0000463	FEF31_RS02325	KUD10_RS02665
OG0000464	FEF31_RS02320	KUD10_RS02660
OG0000465	FEF31_RS02315	KUD10_RS02655
OG0000466	FEF31_RS00060	KUD10_RS00395
OG0000467	FEF31_RS04530	KUD10_RS02760
OG0000468	FEF31_RS01710	KUD10_RS02015
OG0000469	FEF31_RS01770	KUD10_RS02075
OG0000470	FEF31_RS00495	KUD10_RS00835
OG0000471	FEF31_RS00575	KUD10_RS00915
OG0000472	FEF31_RS02995	KUD10_RS03390
OG0000473	FEF31_RS03170	KUD10_RS03565
OG0000474	FEF31_RS03175	KUD10_RS03570
OG0000475	FEF31_RS03180	KUD10_RS03575
OG0000476	FEF31_RS01215	KUD10_RS01625
OG0000477	FEF31_RS02360	KUD10_RS02705
OG0000478	FEF31_RS03115	KUD10_RS03510
OG0000479	FEF31_RS00985	KUD10_RS01400
OG0000480	FEF31_RS01775	KUD10_RS02080
OG0000481	FEF31_RS00470	KUD10_RS00810
OG0000482	FEF31_RS00865	KUD10_RS01280
OG0000483	FEF31_RS01820	KUD10_RS02125
OG0000484	FEF31_RS04675	KUD10_RS00200
OG0000485	FEF31_RS00820	KUD10_RS01245
OG0000486	FEF31_RS02045	KUD10_RS02370
OG0000487	FEF31_RS04485	KUD10_RS02055
OG0000488	FEF31_RS01790	KUD10_RS02095
OG0000489	FEF31_RS03335	KUD10_RS00050
OG0000490	FEF31_RS03275	KUD10_RS03680
OG0000491	FEF31_RS01005	KUD10_RS01420
OG0000492	FEF31_RS01085	KUD10_RS01495
OG0000493	FEF31_RS00240	KUD10_RS00585
OG0000494	FEF31_RS00300	KUD10_RS00650
OG0000495	FEF31_RS02575	KUD10_RS02910
OG0000496	FEF31_RS02565	KUD10_RS02900
OG0000497	FEF31_RS02560	KUD10_RS02895
OG0000498	FEF31_RS02480	KUD10_RS02820
OG0000499	FEF31_RS02445	KUD10_RS02785
OG0000500	FEF31_RS01675	KUD10_RS01980
OG0000502	FEF31_RS00855	KUD10_RS01270
OG0000503	FEF31_RS00415	KUD10_RS00755
OG0000504	FEF31_RS00550	KUD10_RS00890
OG0000505	FEF31_RS00585	KUD10_RS00925
OG0000506	FEF31_RS00595	KUD10_RS00935
