Orthogroup	MHP_UFV02_genes	MHP_KM014_genes
OG0000131	FEF31_RS01160	CIB43_RS02370
OG0000132	FEF31_RS04430	CIB43_RS02385
OG0000133	FEF31_RS00190	CIB43_RS01415
OG0000134	FEF31_RS00195	CIB43_RS01425
OG0000135	FEF31_RS00210	CIB43_RS01435
OG0000136	FEF31_RS00215	CIB43_RS01440
OG0000137	FEF31_RS00245	CIB43_RS01470
OG0000138	FEF31_RS00280	CIB43_RS01495
OG0000139	FEF31_RS00310	CIB43_RS01525
OG0000140	FEF31_RS00315	CIB43_RS01540
OG0000141	FEF31_RS02670	CIB43_RS03850
OG0000142	FEF31_RS04555	CIB43_RS03845
OG0000143	FEF31_RS02645	CIB43_RS03835
OG0000144	FEF31_RS02635	CIB43_RS03815
OG0000145	FEF31_RS02625	CIB43_RS03805
OG0000146	FEF31_RS02615	CIB43_RS03790
OG0000147	FEF31_RS02610	CIB43_RS03785
OG0000148	FEF31_RS02595	CIB43_RS03780
OG0000149	FEF31_RS02585	CIB43_RS03760
OG0000150	FEF31_RS02570	CIB43_RS03745
OG0000151	FEF31_RS02525	CIB43_RS03700
OG0000152	FEF31_RS02520	CIB43_RS03695
OG0000153	FEF31_RS02515	CIB43_RS03690
OG0000154	FEF31_RS02505	CIB43_RS03680
OG0000155	FEF31_RS02465	CIB43_RS03645
OG0000156	FEF31_RS02455	CIB43_RS03635
OG0000157	FEF31_RS04545	CIB43_RS03625
OG0000158	FEF31_RS04540	CIB43_RS03620
OG0000159	FEF31_RS02195	CIB43_RS03385
OG0000160	FEF31_RS02190	CIB43_RS03380
OG0000161	FEF31_RS02185	CIB43_RS03375
OG0000163	FEF31_RS02170	CIB43_RS03370
OG0000164	FEF31_RS01270	CIB43_RS02495
OG0000165	FEF31_RS01685	CIB43_RS02840
OG0000166	FEF31_RS01705	CIB43_RS02860
OG0000167	FEF31_RS01720	CIB43_RS02875
OG0000168	FEF31_RS01725	CIB43_RS02880
OG0000169	FEF31_RS03615	CIB43_RS00130
OG0000171	FEF31_RS03640	CIB43_RS00155
OG0000172	FEF31_RS03645	CIB43_RS00160
OG0000173	FEF31_RS03650	CIB43_RS00165
OG0000174	FEF31_RS03655	CIB43_RS00170
OG0000175	FEF31_RS03670	CIB43_RS00190
OG0000176	FEF31_RS03715	CIB43_RS00235
OG0000177	FEF31_RS03720	CIB43_RS00240
OG0000178	FEF31_RS03725	CIB43_RS00245
OG0000179	FEF31_RS03735	CIB43_RS00255
OG0000180	FEF31_RS03740	CIB43_RS00260
OG0000181	FEF31_RS04690	CIB43_RS00310
OG0000182	FEF31_RS03795	CIB43_RS00320
OG0000183	FEF31_RS03830	CIB43_RS00355
OG0000184	FEF31_RS02980	CIB43_RS00430
OG0000185	FEF31_RS02965	CIB43_RS00380
OG0000186	FEF31_RS04435	CIB43_RS02400
OG0000187	FEF31_RS01200	CIB43_RS02410
OG0000188	FEF31_RS01210	CIB43_RS02425
OG0000189	FEF31_RS04520	CIB43_RS03200
OG0000190	FEF31_RS02035	CIB43_RS03195
OG0000191	FEF31_RS02015	CIB43_RS03180
OG0000192	FEF31_RS00875	CIB43_RS02085
OG0000193	FEF31_RS00860	CIB43_RS02075
OG0000194	FEF31_RS00345	CIB43_RS01560
OG0000195	FEF31_RS00350	CIB43_RS01565
OG0000196	FEF31_RS00370	CIB43_RS01585
OG0000197	FEF31_RS00375	CIB43_RS01590
OG0000198	FEF31_RS00390	CIB43_RS01605
OG0000199	FEF31_RS00395	CIB43_RS01615
OG0000200	FEF31_RS00410	CIB43_RS01630
OG0000201	FEF31_RS00420	CIB43_RS01635
OG0000202	FEF31_RS00475	CIB43_RS01690
OG0000203	FEF31_RS00480	CIB43_RS01695
OG0000204	FEF31_RS00485	CIB43_RS01700
OG0000205	FEF31_RS00490	CIB43_RS01705
OG0000206	FEF31_RS00510	CIB43_RS01735
OG0000207	FEF31_RS00525	CIB43_RS01740
OG0000208	FEF31_RS00530	CIB43_RS01745
OG0000209	FEF31_RS00535	CIB43_RS01750
OG0000210	FEF31_RS00580	CIB43_RS01800
OG0000211	FEF31_RS00590	CIB43_RS01805
OG0000212	FEF31_RS00600	CIB43_RS01815
OG0000213	FEF31_RS00605	CIB43_RS01820
OG0000214	FEF31_RS00610	CIB43_RS01825
OG0000215	FEF31_RS00615	CIB43_RS01830
OG0000216	FEF31_RS00620	CIB43_RS01835
OG0000217	FEF31_RS00625	CIB43_RS01845
OG0000218	FEF31_RS00635	CIB43_RS01850
OG0000219	FEF31_RS00640	CIB43_RS01855
OG0000220	FEF31_RS00645	CIB43_RS01860
OG0000221	FEF31_RS00650	CIB43_RS01865
OG0000222	FEF31_RS00655	CIB43_RS01870
OG0000223	FEF31_RS00660	CIB43_RS01875
OG0000225	FEF31_RS00680	CIB43_RS01895
OG0000226	FEF31_RS00685	CIB43_RS01900
OG0000227	FEF31_RS00690	CIB43_RS01905
OG0000228	FEF31_RS04770	CIB43_RS01910
OG0000229	FEF31_RS00700	CIB43_RS01915
OG0000230	FEF31_RS00705	CIB43_RS01920
OG0000231	FEF31_RS00715	CIB43_RS01935
OG0000232	FEF31_RS00725	CIB43_RS01940
OG0000233	FEF31_RS00750	CIB43_RS01965
OG0000234	FEF31_RS00785	CIB43_RS02000
OG0000235	FEF31_RS00795	CIB43_RS02005
OG0000236	FEF31_RS00800	CIB43_RS02010
OG0000237	FEF31_RS00805	CIB43_RS02015
OG0000238	FEF31_RS00810	CIB43_RS02025
OG0000239	FEF31_RS02680	CIB43_RS03860
OG0000240	FEF31_RS02685	CIB43_RS03870
OG0000241	FEF31_RS02695	CIB43_RS03875
OG0000242	FEF31_RS02700	CIB43_RS03880
OG0000243	FEF31_RS02705	CIB43_RS03885
OG0000244	FEF31_RS02715	CIB43_RS03900
OG0000245	FEF31_RS02720	CIB43_RS03905
OG0000246	FEF31_RS03410	CIB43_RS00845
OG0000247	FEF31_RS03420	CIB43_RS00850
OG0000248	FEF31_RS03430	CIB43_RS00875
OG0000250	FEF31_RS03450	CIB43_RS00885
OG0000251	FEF31_RS03480	CIB43_RS00925
OG0000252	FEF31_RS03490	CIB43_RS00930
OG0000253	FEF31_RS03495	CIB43_RS00940
OG0000254	FEF31_RS03505	CIB43_RS00950
OG0000255	FEF31_RS03510	CIB43_RS00955
OG0000256	FEF31_RS03515	CIB43_RS00960
OG0000257	FEF31_RS03540	CIB43_RS00985
OG0000258	FEF31_RS03550	CIB43_RS01015
OG0000259	FEF31_RS03580	CIB43_RS01030
OG0000260	FEF31_RS03590	CIB43_RS01045
OG0000262	FEF31_RS00010	CIB43_RS01075
OG0000263	FEF31_RS00025	CIB43_RS01080
OG0000264	FEF31_RS00040	CIB43_RS01100
OG0000265	FEF31_RS00050	CIB43_RS01110
OG0000266	FEF31_RS00065	CIB43_RS01120
OG0000267	FEF31_RS00080	CIB43_RS01135
OG0000268	FEF31_RS00085	CIB43_RS01305
OG0000269	FEF31_RS00100	CIB43_RS01320
OG0000270	FEF31_RS04635	CIB43_RS00575
OG0000271	FEF31_RS03160	CIB43_RS00570
OG0000272	FEF31_RS03155	CIB43_RS00565
OG0000273	FEF31_RS03150	CIB43_RS00560
OG0000274	FEF31_RS03130	CIB43_RS00545
OG0000275	FEF31_RS04625	CIB43_RS00535
OG0000276	FEF31_RS03120	CIB43_RS00530
OG0000277	FEF31_RS03110	CIB43_RS00525
OG0000278	FEF31_RS03105	CIB43_RS00515
OG0000279	FEF31_RS03095	CIB43_RS00510
OG0000280	FEF31_RS03090	CIB43_RS00500
OG0000281	FEF31_RS03085	CIB43_RS00495
OG0000283	FEF31_RS03055	CIB43_RS00475
OG0000284	FEF31_RS03050	CIB43_RS00460
OG0000285	FEF31_RS04610	CIB43_RS00455
OG0000286	FEF31_RS02155	CIB43_RS03345
OG0000287	FEF31_RS02260	CIB43_RS03440
OG0000288	FEF31_RS02270	CIB43_RS03450
OG0000289	FEF31_RS02275	CIB43_RS03455
OG0000290	FEF31_RS02385	CIB43_RS03565
OG0000291	FEF31_RS02375	CIB43_RS03560
OG0000292	FEF31_RS02370	CIB43_RS03550
OG0000293	FEF31_RS02365	CIB43_RS03545
OG0000294	FEF31_RS02355	CIB43_RS03540
OG0000295	FEF31_RS02350	CIB43_RS03530
OG0000296	FEF31_RS02310	CIB43_RS03495
OG0000297	FEF31_RS02305	CIB43_RS03485
OG0000298	FEF31_RS03445	CIB43_RS00880
OG0000299	FEF31_RS03465	CIB43_RS00915
OG0000300	FEF31_RS00035	CIB43_RS01090
OG0000301	FEF31_RS00070	CIB43_RS01125
OG0000302	FEF31_RS00075	CIB43_RS01130
OG0000303	FEF31_RS00220	CIB43_RS01455
OG0000304	FEF31_RS00730	CIB43_RS01950
OG0000305	FEF31_RS02620	CIB43_RS03795
OG0000306	FEF31_RS02545	CIB43_RS03725
OG0000307	FEF31_RS02510	CIB43_RS03685
OG0000308	FEF31_RS02405	CIB43_RS03600
OG0000309	FEF31_RS02340	CIB43_RS03520
OG0000310	FEF31_RS02265	CIB43_RS03445
OG0000311	FEF31_RS02215	CIB43_RS03405
OG0000312	FEF31_RS02200	CIB43_RS03390
OG0000313	FEF31_RS01260	CIB43_RS02485
OG0000314	FEF31_RS01700	CIB43_RS02855
OG0000315	FEF31_RS01730	CIB43_RS02885
OG0000316	FEF31_RS01740	CIB43_RS02895
OG0000317	FEF31_RS01835	CIB43_RS02985
OG0000318	FEF31_RS04480	CIB43_RS02900
OG0000319	FEF31_RS01970	CIB43_RS03125
OG0000320	FEF31_RS02095	CIB43_RS03270
OG0000321	FEF31_RS00990	CIB43_RS02200
OG0000322	FEF31_RS01040	CIB43_RS02245
OG0000323	FEF31_RS01170	CIB43_RS02375
OG0000324	FEF31_RS02010	CIB43_RS03170
OG0000325	FEF31_RS00355	CIB43_RS01570
OG0000326	FEF31_RS00450	CIB43_RS01665
OG0000327	FEF31_RS00455	CIB43_RS01670
OG0000328	FEF31_RS00540	CIB43_RS01760
OG0000329	FEF31_RS00560	CIB43_RS01775
OG0000330	FEF31_RS00760	CIB43_RS01970
OG0000331	FEF31_RS02710	CIB43_RS03890
OG0000332	FEF31_RS03680	CIB43_RS00200
OG0000333	FEF31_RS03690	CIB43_RS00210
OG0000334	FEF31_RS03790	CIB43_RS00315
OG0000335	FEF31_RS03800	CIB43_RS00340
OG0000336	FEF31_RS04620	CIB43_RS00485
OG0000337	FEF31_RS03240	CIB43_RS00655
OG0000338	FEF31_RS03280	CIB43_RS00695
OG0000339	FEF31_RS02070	CIB43_RS03235
OG0000340	FEF31_RS00970	CIB43_RS02185
OG0000341	FEF31_RS02030	CIB43_RS03190
OG0000342	FEF31_RS00385	CIB43_RS01600
OG0000343	FEF31_RS03700	CIB43_RS00215
OG0000344	FEF31_RS00235	CIB43_RS01465
OG0000345	FEF31_RS00675	CIB43_RS01890
OG0000346	FEF31_RS03080	CIB43_RS00490
OG0000347	FEF31_RS01065	CIB43_RS02270
OG0000348	FEF31_RS00460	CIB43_RS01685
OG0000349	FEF31_RS04630	CIB43_RS00550
OG0000350	FEF31_RS02500	CIB43_RS03675
OG0000351	FEF31_RS00155	CIB43_RS01385
OG0000352	FEF31_RS01680	CIB43_RS02830
OG0000353	FEF31_RS01035	CIB43_RS02240
OG0000354	FEF31_RS00295	CIB43_RS01515
OG0000355	FEF31_RS04470	CIB43_RS02805
OG0000356	FEF31_RS04475	CIB43_RS02890
OG0000357	FEF31_RS04685	CIB43_RS00175
OG0000358	FEF31_RS03665	CIB43_RS00180
OG0000359	FEF31_RS04380	CIB43_RS01650
OG0000360	FEF31_RS03545	CIB43_RS00990
OG0000361	FEF31_RS03575	CIB43_RS01020
OG0000362	FEF31_RS02285	CIB43_RS03475
OG0000363	FEF31_RS01105	CIB43_RS02310
OG0000364	FEF31_RS01635	CIB43_RS02775
OG0000369	FEF31_RS04650	CIB43_RS00725
OG0000370	FEF31_RS03305	CIB43_RS00720
OG0000378	FEF31_RS00950	CIB43_RS02160
OG0000379	FEF31_RS01030	CIB43_RS02235
OG0000380	FEF31_RS01055	CIB43_RS02260
OG0000381	FEF31_RS01095	CIB43_RS02300
OG0000385	FEF31_RS00180	CIB43_RS01405
OG0000389	FEF31_RS00275	CIB43_RS01490
OG0000394	FEF31_RS02475	CIB43_RS03660
OG0000396	FEF31_RS02160	CIB43_RS03350
OG0000403	FEF31_RS03705	CIB43_RS00220
OG0000404	FEF31_RS03730	CIB43_RS00250
OG0000405	FEF31_RS04800	CIB43_RS00265
OG0000409	FEF31_RS03820	CIB43_RS00345
OG0000412	FEF31_RS02970	CIB43_RS00390
OG0000417	FEF31_RS02025	CIB43_RS03185
OG0000428	FEF31_RS00570	CIB43_RS01785
OG0000429	FEF31_RS00665	CIB43_RS01885
OG0000430	FEF31_RS00710	CIB43_RS01925
OG0000434	FEF31_RS00775	CIB43_RS01985
OG0000436	FEF31_RS00815	CIB43_RS02030
OG0000437	FEF31_RS00825	CIB43_RS02065
OG0000441	FEF31_RS02725	CIB43_RS03910
OG0000451	FEF31_RS00030	CIB43_RS01085
OG0000453	FEF31_RS00090	CIB43_RS01315
OG0000457	FEF31_RS03040	CIB43_RS00450
OG0000459	FEF31_RS02280	CIB43_RS03460
OG0000463	FEF31_RS02325	CIB43_RS03515
OG0000464	FEF31_RS02320	CIB43_RS03500
OG0000466	FEF31_RS00060	CIB43_RS01115
OG0000468	FEF31_RS01710	CIB43_RS02870
OG0000471	FEF31_RS00575	CIB43_RS01790
OG0000473	FEF31_RS03170	CIB43_RS00580
OG0000474	FEF31_RS03175	CIB43_RS00585
OG0000475	FEF31_RS03180	CIB43_RS00595
OG0000482	FEF31_RS00865	CIB43_RS02080
OG0000485	FEF31_RS00820	CIB43_RS02035
OG0000486	FEF31_RS02045	CIB43_RS03205
OG0000487	FEF31_RS04485	CIB43_RS02915
OG0000488	FEF31_RS01790	CIB43_RS02940
OG0000489	FEF31_RS03335	CIB43_RS00750
OG0000491	FEF31_RS01005	CIB43_RS02220
OG0000492	FEF31_RS01085	CIB43_RS02290
OG0000495	FEF31_RS02575	CIB43_RS03750
OG0000502	FEF31_RS00855	CIB43_RS02070
OG0000504	FEF31_RS00550	CIB43_RS01770
OG0000506	FEF31_RS00595	CIB43_RS01810
OG0000508	FEF31_RS03520	CIB43_RS00980
OG0000517	FEF31_RS03350	CIB43_RS00765
OG0000519	FEF31_RS00440	CIB43_RS01660
OG0000520	FEF31_RS00565	CIB43_RS01780
OG0000523	FEF31_RS03035	CIB43_RS00445
OG0000526	FEF31_RS01585	CIB43_RS02720
OG0000527	FEF31_RS01525	CIB43_RS02640
OG0000529	FEF31_RS01980	CIB43_RS03135
OG0000530	FEF31_RS02080	CIB43_RS03250
OG0000531	FEF31_RS01060	CIB43_RS02265
OG0000537	FEF31_RS00380	CIB43_RS01595
OG0000538	FEF31_RS00780	CIB43_RS01990
OG0000544	FEF31_RS04410	CIB43_RS02125
OG0000545	FEF31_RS01575, FEF31_RS01570	CIB43_RS02715
OG0000546	FEF31_RS02530	CIB43_RS03705
OG0000553	FEF31_RS04535	CIB43_RS03610
OG0000554	FEF31_RS02125	CIB43_RS03295
OG0000556	FEF31_RS04460	CIB43_RS01290
OG0000557	FEF31_RS00920	CIB43_RS02130
OG0000558	FEF31_RS00890	CIB43_RS02100
OG0000559	FEF31_RS01360	CIB43_RS02575
OG0000560	FEF31_RS01560	CIB43_RS02680
OG0000561	FEF31_RS00765	CIB43_RS01980
OG0000562	FEF31_RS01565	CIB43_RS02685
OG0000563	FEF31_RS01550	CIB43_RS02670
OG0000564	FEF31_RS00945	CIB43_RS02155
OG0000565	FEF31_RS01620	CIB43_RS02760
OG0000566	FEF31_RS01605	CIB43_RS02740
OG0000568	FEF31_RS00340	CIB43_RS01555
OG0000569	FEF31_RS00895	CIB43_RS02105
OG0000570	FEF31_RS04405	CIB43_RS02110
OG0000571	FEF31_RS00905	CIB43_RS02115
OG0000572	FEF31_RS00925	CIB43_RS02135
OG0000573	FEF31_RS01355	CIB43_RS02570
OG0000574	FEF31_RS00965	CIB43_RS02175
OG0000575	FEF31_RS00880	CIB43_RS02090
OG0000576	FEF31_RS01315	CIB43_RS02530
OG0000577	FEF31_RS02400	CIB43_RS03580
OG0000579	FEF31_RS01540	CIB43_RS02660
OG0000580	FEF31_RS02535	CIB43_RS03710
OG0000581	FEF31_RS01530	CIB43_RS02645
OG0000584	FEF31_RS01425	CIB43_RS01255
OG0000585	FEF31_RS01950	CIB43_RS03105
OG0000588	FEF31_RS01305	CIB43_RS02525
OG0000589	FEF31_RS01890	CIB43_RS03055
OG0000590	FEF31_RS01410	CIB43_RS00030
OG0000592	FEF31_RS02390	CIB43_RS03570
OG0000594	FEF31_RS00885	CIB43_RS02095
OG0000595	FEF31_RS02735	CIB43_RS03920
OG0000597	FEF31_RS02730	CIB43_RS03915
OG0000600	FEF31_RS01430	CIB43_RS01175, CIB43_RS00040
OG0000601	FEF31_RS01555	CIB43_RS02675
OG0000603	FEF31_RS01440	CIB43_RS00060
OG0000606	FEF31_RS01535	CIB43_RS02655
OG0000613	FEF31_RS01640	CIB43_RS02785
OG0000614	FEF31_RS01905	CIB43_RS03070
OG0000628	FEF31_RS01475	CIB43_RS00090
OG0000629	FEF31_RS01400	CIB43_RS00015
OG0000630	FEF31_RS01485	CIB43_RS00100
OG0000631	FEF31_RS01480	CIB43_RS00095
