Orthogroup	MHP_UFV02_genes	MHP_154B_genes
OG0000020	FEF31_RS04270	NB624_RS03695
OG0000022	FEF31_RS01320	NB624_RS01660
OG0000022	FEF31_RS04450	NB624_RS01715
OG0000023	FEF31_RS00975, FEF31_RS01405	NB624_RS01310
OG0000024	FEF31_RS02485	NB624_RS02910
OG0000024	FEF31_RS00930	NB624_RS01265
OG0000025	FEF31_RS04445	NB624_RS01665
OG0000025	FEF31_RS01370	NB624_RS01710
OG0000026	FEF31_RS01025	NB624_RS01355
OG0000026	FEF31_RS01350	NB624_RS01690
OG0000027	FEF31_RS03015	NB624_RS03505
OG0000030	FEF31_RS04590	NB624_RS03495
OG0000035	FEF31_RS03765	NB624_RS03370
OG0000036	FEF31_RS03385	NB624_RS00120
OG0000036	FEF31_RS03400	NB624_RS00125
OG0000038	FEF31_RS00160	NB624_RS00495
OG0000039	FEF31_RS01275	NB624_RS01605
OG0000040	FEF31_RS03890	NB624_RS03440
OG0000041	FEF31_RS00330	NB624_RS01010
OG0000042	FEF31_RS02675	NB624_RS03095
OG0000043	FEF31_RS01660, FEF31_RS01455	NB624_RS01920
OG0000044	FEF31_RS04775	NB624_RS01675
OG0000044	FEF31_RS01545	NB624_RS01795
OG0000045	FEF31_RS01280, FEF31_RS01285	NB624_RS01610
OG0000046	FEF31_RS02960, FEF31_RS02245	NB624_RS03445, NB624_RS03450
OG0000048	FEF31_RS01845	NB624_RS02205
OG0000049	FEF31_RS03620	NB624_RS03210
OG0000050	FEF31_RS02180	NB624_RS02595
OG0000051	FEF31_RS02395	NB624_RS02825
OG0000052	FEF31_RS03360	NB624_RS00075
OG0000053	FEF31_RS04425	NB624_RS01440
OG0000054	FEF31_RS02205	NB624_RS02620
OG0000055	FEF31_RS03405	NB624_RS00130
OG0000056	FEF31_RS03205	NB624_RS03675
OG0000057	FEF31_RS02660	NB624_RS03080
OG0000058	FEF31_RS01470	NB624_RS02160
OG0000059	FEF31_RS01460	NB624_RS02130
OG0000061	FEF31_RS01245	NB624_RS01865
OG0000062	FEF31_RS03250	NB624_RS03725
OG0000063	FEF31_RS04645	NB624_RS03720
OG0000064	FEF31_RS03235	NB624_RS03710
OG0000065	FEF31_RS01990	NB624_RS02385
OG0000066	FEF31_RS01015	NB624_RS01345
OG0000067	FEF31_RS00185	NB624_RS00520
OG0000068	FEF31_RS00305	NB624_RS01035
OG0000069	FEF31_RS02555	NB624_RS02975
OG0000070	FEF31_RS02210	NB624_RS02625
OG0000071	FEF31_RS03835	NB624_RS03430
OG0000072	FEF31_RS04700	NB624_RS03435
OG0000073	FEF31_RS00360	NB624_RS00975
OG0000074	FEF31_RS04395	NB624_RS00775
OG0000075	FEF31_RS00005	NB624_RS00340
OG0000077	FEF31_RS00105	NB624_RS00440
OG0000078	FEF31_RS01340	NB624_RS01680
OG0000079	FEF31_RS02300	NB624_RS02715
OG0000080	FEF31_RS02345	NB624_RS02770
OG0000081	FEF31_RS03610	NB624_RS00335
OG0000083	FEF31_RS01765	NB624_RS02025
OG0000084	FEF31_RS01795	NB624_RS02055
OG0000085	FEF31_RS01800	NB624_RS02060
OG0000086	FEF31_RS01810	NB624_RS02170
OG0000087	FEF31_RS01825	NB624_RS02185
OG0000088	FEF31_RS01830	NB624_RS02190
OG0000089	FEF31_RS01840	NB624_RS02200
OG0000090	FEF31_RS03355	NB624_RS00070
OG0000091	FEF31_RS03340	NB624_RS00055
OG0000092	FEF31_RS03325	NB624_RS00045
OG0000093	FEF31_RS03320	NB624_RS00035
OG0000094	FEF31_RS03315	NB624_RS00030
OG0000095	FEF31_RS03290	NB624_RS00005
OG0000096	FEF31_RS03285	NB624_RS03760
OG0000097	FEF31_RS03265	NB624_RS03740
OG0000098	FEF31_RS03255	NB624_RS03730
OG0000099	FEF31_RS04640	NB624_RS03680
OG0000100	FEF31_RS03195	NB624_RS03670
OG0000101	FEF31_RS03190	NB624_RS03660
OG0000102	FEF31_RS01365	NB624_RS01705
OG0000103	FEF31_RS01955	NB624_RS02350
OG0000104	FEF31_RS01960	NB624_RS02355
OG0000105	FEF31_RS01975	NB624_RS02370
OG0000106	FEF31_RS01985	NB624_RS02380
OG0000107	FEF31_RS01995	NB624_RS02390
OG0000108	FEF31_RS02000	NB624_RS02395
OG0000109	FEF31_RS02005	NB624_RS02400
OG0000110	FEF31_RS02120	NB624_RS02525
OG0000111	FEF31_RS02115	NB624_RS02520
OG0000112	FEF31_RS02105	NB624_RS02510
OG0000113	FEF31_RS02085	NB624_RS02490
OG0000114	FEF31_RS02075	NB624_RS02485
OG0000115	FEF31_RS02065	NB624_RS02470
OG0000116	FEF31_RS00955	NB624_RS01290
OG0000117	FEF31_RS00960	NB624_RS01295
OG0000118	FEF31_RS00995	NB624_RS01330
OG0000119	FEF31_RS01000	NB624_RS01335
OG0000120	FEF31_RS01020	NB624_RS01350
OG0000121	FEF31_RS01045	NB624_RS01375
OG0000122	FEF31_RS01050	NB624_RS01380
OG0000123	FEF31_RS01070	NB624_RS01400
OG0000124	FEF31_RS01075	NB624_RS01405
OG0000125	FEF31_RS01080	NB624_RS01410
OG0000126	FEF31_RS01090	NB624_RS01420
OG0000127	FEF31_RS01100	NB624_RS01430
OG0000128	FEF31_RS01115	NB624_RS01445
OG0000129	FEF31_RS01120	NB624_RS01450
OG0000130	FEF31_RS01130	NB624_RS01460
OG0000131	FEF31_RS01160	NB624_RS01490
OG0000132	FEF31_RS04430	NB624_RS01505
OG0000133	FEF31_RS00190	NB624_RS00525
OG0000134	FEF31_RS00195	NB624_RS00530
OG0000135	FEF31_RS00210	NB624_RS00545
OG0000136	FEF31_RS00215	NB624_RS00550
OG0000137	FEF31_RS00245	NB624_RS00580
OG0000138	FEF31_RS00280	NB624_RS01060
OG0000139	FEF31_RS00310	NB624_RS01030
OG0000140	FEF31_RS00315	NB624_RS01025
OG0000141	FEF31_RS02670	NB624_RS03090
OG0000142	FEF31_RS04555	NB624_RS03085
OG0000143	FEF31_RS02645	NB624_RS03070
OG0000144	FEF31_RS02635	NB624_RS03055
OG0000145	FEF31_RS02625	NB624_RS03045
OG0000146	FEF31_RS02615	NB624_RS03035
OG0000147	FEF31_RS02610	NB624_RS03030
OG0000148	FEF31_RS02595	NB624_RS03015
OG0000149	FEF31_RS02585	NB624_RS03005
OG0000150	FEF31_RS02570	NB624_RS02990
OG0000151	FEF31_RS02525	NB624_RS02945
OG0000152	FEF31_RS02520	NB624_RS02940
OG0000153	FEF31_RS02515	NB624_RS02935
OG0000154	FEF31_RS02505	NB624_RS02925
OG0000155	FEF31_RS02465	NB624_RS02885
OG0000156	FEF31_RS02455	NB624_RS02880
OG0000157	FEF31_RS04545	NB624_RS02870
OG0000158	FEF31_RS04540	NB624_RS02860
OG0000159	FEF31_RS02195	NB624_RS02610
OG0000160	FEF31_RS02190	NB624_RS02605
OG0000161	FEF31_RS02185	NB624_RS02600
OG0000162	FEF31_RS02175	NB624_RS02590
OG0000163	FEF31_RS02170	NB624_RS02585
OG0000164	FEF31_RS01270	NB624_RS01600
OG0000165	FEF31_RS01685	NB624_RS01945
OG0000166	FEF31_RS01705	NB624_RS01965
OG0000167	FEF31_RS01720	NB624_RS01980
OG0000168	FEF31_RS01725	NB624_RS01985
OG0000169	FEF31_RS03615	NB624_RS03205
OG0000170	FEF31_RS04785, FEF31_RS04795	NB624_RS03220
OG0000171	FEF31_RS03640	NB624_RS03230
OG0000172	FEF31_RS03645	NB624_RS03235
OG0000173	FEF31_RS03650	NB624_RS03240
OG0000174	FEF31_RS03655	NB624_RS03245
OG0000175	FEF31_RS03670	NB624_RS03265
OG0000176	FEF31_RS03715	NB624_RS03315
OG0000177	FEF31_RS03720	NB624_RS03320
OG0000178	FEF31_RS03725	NB624_RS03325
OG0000179	FEF31_RS03735	NB624_RS03335
OG0000180	FEF31_RS03740	NB624_RS03340
OG0000181	FEF31_RS04690	NB624_RS03380
OG0000182	FEF31_RS03795	NB624_RS03390
OG0000183	FEF31_RS03830	NB624_RS03425
OG0000184	FEF31_RS02980	NB624_RS03470
OG0000185	FEF31_RS02965	NB624_RS03455
OG0000186	FEF31_RS04435	NB624_RS01515
OG0000187	FEF31_RS01200	NB624_RS01530
OG0000188	FEF31_RS01210	NB624_RS01540
OG0000189	FEF31_RS04520	NB624_RS02440
OG0000190	FEF31_RS02035	NB624_RS02435
OG0000191	FEF31_RS02015	NB624_RS02410
OG0000192	FEF31_RS00875	NB624_RS01205
OG0000193	FEF31_RS00860	NB624_RS01195
OG0000194	FEF31_RS00345	NB624_RS00990
OG0000195	FEF31_RS00350	NB624_RS00985
OG0000196	FEF31_RS00370	NB624_RS00960
OG0000197	FEF31_RS00375	NB624_RS00955
OG0000198	FEF31_RS00390	NB624_RS00940
OG0000199	FEF31_RS00395	NB624_RS00935
OG0000200	FEF31_RS00410	NB624_RS00920
OG0000201	FEF31_RS00420	NB624_RS00910
OG0000202	FEF31_RS00475	NB624_RS00855
OG0000203	FEF31_RS00480	NB624_RS00850
OG0000204	FEF31_RS00485	NB624_RS00845
OG0000205	FEF31_RS00490	NB624_RS00840
OG0000206	FEF31_RS00510	NB624_RS00820
OG0000207	FEF31_RS00525	NB624_RS00805
OG0000208	FEF31_RS00530	NB624_RS00800
OG0000209	FEF31_RS00535	NB624_RS00795
OG0000210	FEF31_RS00580	NB624_RS00750
OG0000211	FEF31_RS00590	NB624_RS00740
OG0000212	FEF31_RS00600	NB624_RS00730
OG0000213	FEF31_RS00605	NB624_RS00725
OG0000214	FEF31_RS00610	NB624_RS00720
OG0000215	FEF31_RS00615	NB624_RS00715
OG0000216	FEF31_RS00620	NB624_RS00710
OG0000217	FEF31_RS00625	NB624_RS00705
OG0000218	FEF31_RS00635	NB624_RS00695
OG0000219	FEF31_RS00640	NB624_RS00690
OG0000220	FEF31_RS00645	NB624_RS00685
OG0000221	FEF31_RS00650	NB624_RS00680
OG0000222	FEF31_RS00655	NB624_RS00675
OG0000223	FEF31_RS00660	NB624_RS00670
OG0000224	FEF31_RS00670	NB624_RS00660
OG0000225	FEF31_RS00680	NB624_RS00650
OG0000226	FEF31_RS00685	NB624_RS00645
OG0000227	FEF31_RS00690	NB624_RS00640
OG0000228	FEF31_RS04770	NB624_RS00635
OG0000229	FEF31_RS00700	NB624_RS00630
OG0000230	FEF31_RS00705	NB624_RS00625
OG0000231	FEF31_RS00715	NB624_RS00615
OG0000232	FEF31_RS00725	NB624_RS00605
OG0000233	FEF31_RS00750	NB624_RS01095
OG0000234	FEF31_RS00785	NB624_RS01130
OG0000235	FEF31_RS00795	NB624_RS01140
OG0000236	FEF31_RS00800	NB624_RS01145
OG0000237	FEF31_RS00805	NB624_RS01150
OG0000238	FEF31_RS00810	NB624_RS01155
OG0000239	FEF31_RS02680	NB624_RS03100
OG0000240	FEF31_RS02685	NB624_RS03105
OG0000241	FEF31_RS02695	NB624_RS03115
OG0000242	FEF31_RS02700	NB624_RS03120
OG0000243	FEF31_RS02705	NB624_RS03125
OG0000244	FEF31_RS02715	NB624_RS03135
OG0000245	FEF31_RS02720	NB624_RS03145
OG0000246	FEF31_RS03410	NB624_RS00140
OG0000247	FEF31_RS03420	NB624_RS00150
OG0000248	FEF31_RS03430	NB624_RS00160
OG0000249	FEF31_RS03435	NB624_RS00165
OG0000250	FEF31_RS03450	NB624_RS00180
OG0000251	FEF31_RS03480	NB624_RS00210
OG0000252	FEF31_RS03490	NB624_RS00220
OG0000253	FEF31_RS03495	NB624_RS00225
OG0000254	FEF31_RS03505	NB624_RS00235
OG0000255	FEF31_RS03510	NB624_RS00240
OG0000256	FEF31_RS03515	NB624_RS00245
OG0000257	FEF31_RS03540	NB624_RS00270
OG0000258	FEF31_RS03550	NB624_RS00280
OG0000259	FEF31_RS03580	NB624_RS00310
OG0000260	FEF31_RS03590	NB624_RS00320
OG0000261	FEF31_RS04680	NB624_RS00330
OG0000262	FEF31_RS00010	NB624_RS00350
OG0000263	FEF31_RS00025	NB624_RS00360
OG0000264	FEF31_RS00040	NB624_RS00375
OG0000265	FEF31_RS00050	NB624_RS00385
OG0000266	FEF31_RS00065	NB624_RS00400
OG0000267	FEF31_RS00080	NB624_RS00415
OG0000268	FEF31_RS00085	NB624_RS00420
OG0000269	FEF31_RS00100	NB624_RS00435
OG0000270	FEF31_RS04635	NB624_RS03635
OG0000271	FEF31_RS03160	NB624_RS03630
OG0000272	FEF31_RS03155	NB624_RS03625
OG0000273	FEF31_RS03150	NB624_RS03620
OG0000274	FEF31_RS03130	NB624_RS03605
OG0000275	FEF31_RS04625	NB624_RS03595
OG0000276	FEF31_RS03120	NB624_RS03590
OG0000277	FEF31_RS03110	NB624_RS03580
OG0000278	FEF31_RS03105	NB624_RS03575
OG0000279	FEF31_RS03095	NB624_RS03565
OG0000280	FEF31_RS03090	NB624_RS03560
OG0000281	FEF31_RS03085	NB624_RS03555
OG0000282	FEF31_RS04615	NB624_RS03530
OG0000283	FEF31_RS03055	NB624_RS03525
OG0000284	FEF31_RS03050	NB624_RS03520
OG0000285	FEF31_RS04610	NB624_RS03515
OG0000286	FEF31_RS02155	NB624_RS02570
OG0000287	FEF31_RS02260	NB624_RS02675
OG0000288	FEF31_RS02270	NB624_RS02685
OG0000289	FEF31_RS02275	NB624_RS02690
OG0000290	FEF31_RS02385	NB624_RS02815
OG0000291	FEF31_RS02375	NB624_RS02800
OG0000292	FEF31_RS02370	NB624_RS02795
OG0000293	FEF31_RS02365	NB624_RS02790
OG0000294	FEF31_RS02355	NB624_RS02780
OG0000295	FEF31_RS02350	NB624_RS02775
OG0000296	FEF31_RS02310	NB624_RS02725
OG0000297	FEF31_RS02305	NB624_RS02720
OG0000298	FEF31_RS03445	NB624_RS00175
OG0000299	FEF31_RS03465	NB624_RS00195
OG0000300	FEF31_RS00035	NB624_RS00370
OG0000301	FEF31_RS00070	NB624_RS00405
OG0000302	FEF31_RS00075	NB624_RS00410
OG0000303	FEF31_RS00220	NB624_RS00555
OG0000304	FEF31_RS00730	NB624_RS00600
OG0000305	FEF31_RS02620	NB624_RS03040
OG0000306	FEF31_RS02545	NB624_RS02965
OG0000307	FEF31_RS02510	NB624_RS02930
OG0000308	FEF31_RS02405	NB624_RS02835
OG0000309	FEF31_RS02340	NB624_RS02765
OG0000310	FEF31_RS02265	NB624_RS02680
OG0000311	FEF31_RS02215	NB624_RS02630
OG0000312	FEF31_RS02200	NB624_RS02615
OG0000313	FEF31_RS01260	NB624_RS01590
OG0000314	FEF31_RS01700	NB624_RS01960
OG0000315	FEF31_RS01730	NB624_RS01990
OG0000316	FEF31_RS01740	NB624_RS02000
OG0000317	FEF31_RS01835	NB624_RS02195
OG0000318	FEF31_RS04480	NB624_RS02005
OG0000319	FEF31_RS01970	NB624_RS02365
OG0000320	FEF31_RS02095	NB624_RS02500
OG0000321	FEF31_RS00990	NB624_RS01325
OG0000322	FEF31_RS01040	NB624_RS01370
OG0000323	FEF31_RS01170	NB624_RS01500
OG0000324	FEF31_RS02010	NB624_RS02405
OG0000325	FEF31_RS00355	NB624_RS00980
OG0000326	FEF31_RS00450	NB624_RS00880
OG0000327	FEF31_RS00455	NB624_RS00875
OG0000328	FEF31_RS00540	NB624_RS00790
OG0000329	FEF31_RS00560	NB624_RS00770
OG0000330	FEF31_RS00760	NB624_RS01105
OG0000331	FEF31_RS02710	NB624_RS03130
OG0000332	FEF31_RS03680	NB624_RS03270
OG0000333	FEF31_RS03690	NB624_RS03280
OG0000334	FEF31_RS03790	NB624_RS03385
OG0000335	FEF31_RS03800	NB624_RS03395
OG0000336	FEF31_RS04620	NB624_RS03545
OG0000337	FEF31_RS03240	NB624_RS03715
OG0000338	FEF31_RS03280	NB624_RS03755
OG0000339	FEF31_RS02070	NB624_RS02475
OG0000340	FEF31_RS00970	NB624_RS01305
OG0000341	FEF31_RS02030	NB624_RS02430
OG0000342	FEF31_RS00385	NB624_RS00945
OG0000343	FEF31_RS03700	NB624_RS03290
OG0000344	FEF31_RS00235	NB624_RS00570
OG0000345	FEF31_RS00675	NB624_RS00655
OG0000346	FEF31_RS03080	NB624_RS03550
OG0000347	FEF31_RS01065	NB624_RS01395
OG0000348	FEF31_RS00460	NB624_RS00870
OG0000349	FEF31_RS04630	NB624_RS03610
OG0000350	FEF31_RS02500	NB624_RS02920
OG0000351	FEF31_RS00155	NB624_RS00490
OG0000352	FEF31_RS01680	NB624_RS01940
OG0000353	FEF31_RS01035	NB624_RS01365
OG0000354	FEF31_RS00295	NB624_RS01045
OG0000355	FEF31_RS04470	NB624_RS01915
OG0000356	FEF31_RS04475	NB624_RS01995
OG0000357	FEF31_RS04685	NB624_RS03250
OG0000358	FEF31_RS03665	NB624_RS03255
OG0000359	FEF31_RS04380	NB624_RS00900
OG0000360	FEF31_RS03545	NB624_RS00275
OG0000361	FEF31_RS03575	NB624_RS00305
OG0000362	FEF31_RS02285	NB624_RS02700
OG0000363	FEF31_RS01105	NB624_RS01435
OG0000365	FEF31_RS01785	NB624_RS02040
OG0000366	FEF31_RS01805	NB624_RS02065
OG0000367	FEF31_RS01815	NB624_RS02175
OG0000368	FEF31_RS03345	NB624_RS00060
OG0000369	FEF31_RS04650	NB624_RS00025
OG0000370	FEF31_RS03305	NB624_RS00020
OG0000371	FEF31_RS03300	NB624_RS00015
OG0000372	FEF31_RS03295	NB624_RS00010
OG0000373	FEF31_RS03270	NB624_RS03745
OG0000374	FEF31_RS03260	NB624_RS03735
OG0000375	FEF31_RS01965	NB624_RS02360
OG0000376	FEF31_RS02110	NB624_RS02515
OG0000377	FEF31_RS02100	NB624_RS02505
OG0000378	FEF31_RS00950	NB624_RS01285
OG0000379	FEF31_RS01030	NB624_RS01360
OG0000380	FEF31_RS01055	NB624_RS01390
OG0000381	FEF31_RS01095	NB624_RS01425
OG0000382	FEF31_RS01125	NB624_RS01455
OG0000383	FEF31_RS01165	NB624_RS01495
OG0000384	FEF31_RS00175	NB624_RS00510
OG0000385	FEF31_RS00180	NB624_RS00515
OG0000386	FEF31_RS00200	NB624_RS00535
OG0000387	FEF31_RS00225	NB624_RS00560
OG0000388	FEF31_RS04370	NB624_RS00565
OG0000389	FEF31_RS00275	NB624_RS01065
OG0000390	FEF31_RS02640	NB624_RS03060
OG0000391	FEF31_RS02630	NB624_RS03050
OG0000392	FEF31_RS02605	NB624_RS03025
OG0000393	FEF31_RS04550	NB624_RS02970
OG0000394	FEF31_RS02475	NB624_RS02900
OG0000395	FEF31_RS02470	NB624_RS02890
OG0000396	FEF31_RS02160	NB624_RS02575
OG0000397	FEF31_RS01665	NB624_RS01925
OG0000398	FEF31_RS01670	NB624_RS01930
OG0000399	FEF31_RS01715	NB624_RS01975
OG0000400	FEF31_RS03625	NB624_RS03215
OG0000401	FEF31_RS03685	NB624_RS03275
OG0000402	FEF31_RS03695	NB624_RS03285
OG0000403	FEF31_RS03705	NB624_RS03295
OG0000404	FEF31_RS03730	NB624_RS03330
OG0000405	FEF31_RS04800	NB624_RS03350
OG0000406	FEF31_RS03805	NB624_RS03400
OG0000407	FEF31_RS04695	NB624_RS03405
OG0000408	FEF31_RS03815	NB624_RS03410
OG0000409	FEF31_RS03820	NB624_RS03415
OG0000410	FEF31_RS02985	NB624_RS03480
OG0000411	FEF31_RS02975	NB624_RS03465
OG0000412	FEF31_RS02970	NB624_RS03460
OG0000413	FEF31_RS01180	NB624_RS01510
OG0000414	FEF31_RS01190	NB624_RS01520
OG0000415	FEF31_RS01195	NB624_RS01525
OG0000416	FEF31_RS01205	NB624_RS01535
OG0000417	FEF31_RS02025	NB624_RS02425
OG0000418	FEF31_RS02020	NB624_RS02415
OG0000419	FEF31_RS00365	NB624_RS00965
OG0000420	FEF31_RS00400	NB624_RS00930
OG0000421	FEF31_RS00435	NB624_RS00895
OG0000422	FEF31_RS00445	NB624_RS00885
OG0000423	FEF31_RS00500	NB624_RS00830
OG0000424	FEF31_RS00505	NB624_RS00825
OG0000425	FEF31_RS00515	NB624_RS00815
OG0000426	FEF31_RS04385	NB624_RS00810
OG0000427	FEF31_RS04390	NB624_RS00785
OG0000428	FEF31_RS00570	NB624_RS00760
OG0000429	FEF31_RS00665	NB624_RS00665
OG0000430	FEF31_RS00710	NB624_RS00620
OG0000431	FEF31_RS00720	NB624_RS00610
OG0000432	FEF31_RS00755	NB624_RS01100
OG0000433	FEF31_RS00770	NB624_RS01115
OG0000434	FEF31_RS00775	NB624_RS01125
OG0000435	FEF31_RS00790	NB624_RS01135
OG0000436	FEF31_RS00815	NB624_RS01160
OG0000437	FEF31_RS00825	NB624_RS01170
OG0000438	FEF31_RS00830	NB624_RS01175
OG0000439	FEF31_RS04400	NB624_RS01180
OG0000440	FEF31_RS02690	NB624_RS03110
OG0000441	FEF31_RS02725	NB624_RS03150
OG0000442	FEF31_RS03415	NB624_RS00145
OG0000443	FEF31_RS03460	NB624_RS00190
OG0000444	FEF31_RS03475	NB624_RS00205
OG0000445	FEF31_RS03500	NB624_RS00230
OG0000446	FEF31_RS03525	NB624_RS00255
OG0000447	FEF31_RS03530	NB624_RS00260
OG0000448	FEF31_RS03560	NB624_RS00290
OG0000449	FEF31_RS03585	NB624_RS00315
OG0000450	FEF31_RS03595	NB624_RS00325
OG0000451	FEF31_RS00030	NB624_RS00365
OG0000452	FEF31_RS00055	NB624_RS00390
OG0000453	FEF31_RS00090	NB624_RS00425
OG0000455	FEF31_RS03185	NB624_RS03655
OG0000456	FEF31_RS03065	NB624_RS03535
OG0000457	FEF31_RS03040	NB624_RS03510
OG0000458	FEF31_RS02255	NB624_RS02670
OG0000459	FEF31_RS02280	NB624_RS02695
OG0000460	FEF31_RS02290	NB624_RS02705
OG0000461	FEF31_RS02335	NB624_RS02755
OG0000462	FEF31_RS02330	NB624_RS02750
OG0000463	FEF31_RS02325	NB624_RS02745
OG0000464	FEF31_RS02320	NB624_RS02740
OG0000465	FEF31_RS02315	NB624_RS02735
OG0000466	FEF31_RS00060	NB624_RS00395
OG0000467	FEF31_RS04530	NB624_RS02845
OG0000468	FEF31_RS01710	NB624_RS01970
OG0000469	FEF31_RS01770	NB624_RS02030
OG0000470	FEF31_RS00495	NB624_RS00835
OG0000471	FEF31_RS00575	NB624_RS00755
OG0000472	FEF31_RS02995	NB624_RS03485
OG0000473	FEF31_RS03170	NB624_RS03640
OG0000474	FEF31_RS03175	NB624_RS03645
OG0000475	FEF31_RS03180	NB624_RS03650
OG0000476	FEF31_RS01215	NB624_RS01550
OG0000477	FEF31_RS02360	NB624_RS02785
OG0000478	FEF31_RS03115	NB624_RS03585
OG0000479	FEF31_RS00985	NB624_RS01320
OG0000480	FEF31_RS01775	NB624_RS02035
OG0000481	FEF31_RS00470	NB624_RS00860
OG0000482	FEF31_RS00865	NB624_RS01200
OG0000483	FEF31_RS01820	NB624_RS02180
OG0000484	FEF31_RS04675	NB624_RS00200
OG0000485	FEF31_RS00820	NB624_RS01165
OG0000486	FEF31_RS02045	NB624_RS02445
OG0000487	FEF31_RS04485	NB624_RS02015
OG0000488	FEF31_RS01790	NB624_RS02050
OG0000489	FEF31_RS03335	NB624_RS00050
OG0000490	FEF31_RS03275	NB624_RS03750
OG0000491	FEF31_RS01005	NB624_RS01340
OG0000492	FEF31_RS01085	NB624_RS01415
OG0000493	FEF31_RS00240	NB624_RS00575
OG0000494	FEF31_RS00300	NB624_RS01040
OG0000495	FEF31_RS02575	NB624_RS02995
OG0000496	FEF31_RS02565	NB624_RS02985
OG0000497	FEF31_RS02560	NB624_RS02980
OG0000498	FEF31_RS02480	NB624_RS02905
OG0000499	FEF31_RS02445	NB624_RS02865
OG0000500	FEF31_RS01675	NB624_RS01935
OG0000502	FEF31_RS00855	NB624_RS01190
OG0000503	FEF31_RS00415	NB624_RS00915
OG0000504	FEF31_RS00550	NB624_RS00780
OG0000505	FEF31_RS00585	NB624_RS00745
OG0000506	FEF31_RS00595	NB624_RS00735
OG0000507	FEF31_RS00630	NB624_RS00700
OG0000508	FEF31_RS03520	NB624_RS00250
OG0000509	FEF31_RS03555	NB624_RS00285
OG0000510	FEF31_RS03565	NB624_RS00295
OG0000511	FEF31_RS00095	NB624_RS00430
OG0000512	FEF31_RS02295	NB624_RS02710
OG0000513	FEF31_RS03100	NB624_RS03570
OG0000514	FEF31_RS02600	NB624_RS03020
OG0000515	FEF31_RS01230	NB624_RS01555
OG0000517	FEF31_RS03350	NB624_RS00065
OG0000519	FEF31_RS00440	NB624_RS00890
OG0000520	FEF31_RS00565	NB624_RS00765
OG0000521	FEF31_RS03535	NB624_RS00265
OG0000522	FEF31_RS03570	NB624_RS00300
OG0000524	FEF31_RS02410	NB624_RS02840
OG0000525	FEF31_RS04585	NB624_RS03490
OG0000526	FEF31_RS01585	NB624_RS01830
OG0000527	FEF31_RS01525	NB624_RS01770
OG0000528	FEF31_RS01760	NB624_RS02020
OG0000529	FEF31_RS01980	NB624_RS02375
OG0000532	FEF31_RS01290	NB624_RS01615
OG0000533	FEF31_RS00260	NB624_RS01085
OG0000534	FEF31_RS00045	NB624_RS00380
OG0000536	FEF31_RS03215	NB624_RS03685
OG0000537	FEF31_RS00380	NB624_RS00950
OG0000539	FEF31_RS03485	NB624_RS00215
OG0000540	FEF31_RS02380	NB624_RS02810, NB624_RS02805
OG0000544	FEF31_RS04410	NB624_RS01240
OG0000545	FEF31_RS01575, FEF31_RS01570	NB624_RS01820
OG0000546	FEF31_RS02530	NB624_RS02950
OG0000552	FEF31_RS03710	NB624_RS03305
OG0000553	FEF31_RS04535	NB624_RS02855
OG0000554	FEF31_RS02125	NB624_RS02535
OG0000555	FEF31_RS02655	NB624_RS03075
OG0000556	FEF31_RS04460	NB624_RS02135
