Orthogroup	MHP_UFV01_genes	MHP_133A_genes
OG0000049	FEF30_RS03400	NB626_RS03235
OG0000050	FEF30_RS02820	NB626_RS02625
OG0000051	FEF30_RS03030	NB626_RS02835
OG0000052	FEF30_RS00405	NB626_RS00075
OG0000053	FEF30_RS04260	NB626_RS01570
OG0000054	FEF30_RS02845	NB626_RS02650
OG0000055	FEF30_RS00450	NB626_RS00135
OG0000056	FEF30_RS00250	NB626_RS03740
OG0000057	FEF30_RS03300	NB626_RS03105
OG0000058	FEF30_RS02120	NB626_RS00425
OG0000059	FEF30_RS02110	NB626_RS00455
OG0000061	FEF30_RS01900	NB626_RS01985
OG0000062	FEF30_RS00295	NB626_RS03790
OG0000063	FEF30_RS04165	NB626_RS03785
OG0000064	FEF30_RS00280	NB626_RS03775
OG0000065	FEF30_RS02625	NB626_RS02405
OG0000066	FEF30_RS01670	NB626_RS01470
OG0000068	FEF30_RS00960	NB626_RS00745
OG0000069	FEF30_RS03195	NB626_RS03000
OG0000070	FEF30_RS02850	NB626_RS02655
OG0000071	FEF30_RS03610	NB626_RS03460
OG0000072	FEF30_RS04405	NB626_RS03465
OG0000073	FEF30_RS01015	NB626_RS00810
OG0000074	FEF30_RS04230	NB626_RS01020, NB626_RS01025
OG0000076	FEF30_RS00670	NB626_RS00355
OG0000077	FEF30_RS00755	NB626_RS00540
OG0000078	FEF30_RS01995	NB626_RS01795
OG0000079	FEF30_RS02935	NB626_RS02740
OG0000080	FEF30_RS02980	NB626_RS02790
OG0000081	FEF30_RS00650	NB626_RS00335
OG0000083	FEF30_RS02400	NB626_RS02155
OG0000084	FEF30_RS02430	NB626_RS02185
OG0000085	FEF30_RS02435	NB626_RS02190
OG0000086	FEF30_RS02445	NB626_RS02200
OG0000087	FEF30_RS02460	NB626_RS02215
OG0000088	FEF30_RS02465	NB626_RS02220
OG0000089	FEF30_RS02475	NB626_RS02230
OG0000090	FEF30_RS00400	NB626_RS00070
OG0000091	FEF30_RS00385	NB626_RS00055
OG0000092	FEF30_RS00370	NB626_RS00045
OG0000093	FEF30_RS00365	NB626_RS00035
OG0000094	FEF30_RS00360	NB626_RS00030
OG0000095	FEF30_RS00335	NB626_RS00005
OG0000096	FEF30_RS00330	NB626_RS03825
OG0000097	FEF30_RS00310	NB626_RS03805
OG0000098	FEF30_RS00300	NB626_RS03795
OG0000099	FEF30_RS04160	NB626_RS03745
OG0000100	FEF30_RS00240	NB626_RS03730
OG0000101	FEF30_RS00235	NB626_RS03725
OG0000102	FEF30_RS02020	NB626_RS01820
OG0000103	FEF30_RS02590	NB626_RS02370
OG0000104	FEF30_RS02595	NB626_RS02375
OG0000105	FEF30_RS02610	NB626_RS02395
OG0000106	FEF30_RS02620	NB626_RS02400
OG0000107	FEF30_RS02630	NB626_RS02410
OG0000108	FEF30_RS02635	NB626_RS02415
OG0000109	FEF30_RS02640	NB626_RS02420
OG0000110	FEF30_RS02760	NB626_RS02550
OG0000111	FEF30_RS02755	NB626_RS02545
OG0000112	FEF30_RS02745	NB626_RS02535
OG0000113	FEF30_RS02725	NB626_RS02510
OG0000114	FEF30_RS02715	NB626_RS02500
OG0000115	FEF30_RS02705	NB626_RS02490
OG0000116	FEF30_RS01610	NB626_RS01415
OG0000117	FEF30_RS01615	NB626_RS01420
OG0000118	FEF30_RS01650	NB626_RS01455
OG0000119	FEF30_RS01655	NB626_RS01460
OG0000120	FEF30_RS01675	NB626_RS01475
OG0000121	FEF30_RS01700	NB626_RS01505
OG0000122	FEF30_RS01705	NB626_RS01510
OG0000123	FEF30_RS01725	NB626_RS01530
OG0000124	FEF30_RS01730	NB626_RS01535
OG0000125	FEF30_RS01735	NB626_RS01540
OG0000126	FEF30_RS01745	NB626_RS01550
OG0000127	FEF30_RS01755	NB626_RS01560
OG0000128	FEF30_RS01770	NB626_RS01575
OG0000129	FEF30_RS01775	NB626_RS01580
OG0000130	FEF30_RS01785	NB626_RS01590
OG0000131	FEF30_RS04265	NB626_RS01620
OG0000132	FEF30_RS04270	NB626_RS01635
OG0000133	FEF30_RS00840	NB626_RS00630
OG0000134	FEF30_RS00845	NB626_RS00635
OG0000135	FEF30_RS00860	NB626_RS00650
OG0000136	FEF30_RS00865	NB626_RS00655
OG0000137	FEF30_RS00905	NB626_RS00685
OG0000138	FEF30_RS00935	NB626_RS00720
OG0000139	FEF30_RS00965	NB626_RS00750
OG0000140	FEF30_RS00970	NB626_RS00755
OG0000141	FEF30_RS03310	NB626_RS03115
OG0000142	FEF30_RS04385	NB626_RS03110
OG0000143	FEF30_RS03285	NB626_RS03095
OG0000144	FEF30_RS03275	NB626_RS03080
OG0000145	FEF30_RS03265	NB626_RS03070
OG0000146	FEF30_RS03255	NB626_RS03060
OG0000147	FEF30_RS03250	NB626_RS03055
OG0000148	FEF30_RS03235	NB626_RS03040
OG0000149	FEF30_RS03225	NB626_RS03030
OG0000150	FEF30_RS03210	NB626_RS03025
OG0000151	FEF30_RS03160	NB626_RS02965
OG0000152	FEF30_RS03155	NB626_RS02960
OG0000153	FEF30_RS03150	NB626_RS02955
OG0000154	FEF30_RS03140	NB626_RS02945
OG0000155	FEF30_RS03100	NB626_RS02905
OG0000156	FEF30_RS03090	NB626_RS02895
OG0000157	FEF30_RS04375	NB626_RS02890
OG0000158	FEF30_RS04370	NB626_RS02880
OG0000159	FEF30_RS02835	NB626_RS02640
OG0000160	FEF30_RS02830	NB626_RS02635
OG0000161	FEF30_RS02825	NB626_RS02630
OG0000162	FEF30_RS02815	NB626_RS02620
OG0000163	FEF30_RS02810	NB626_RS02615
OG0000164	FEF30_RS01925	NB626_RS01715
OG0000165	FEF30_RS02320	NB626_RS02075
OG0000166	FEF30_RS02340	NB626_RS02090
OG0000167	FEF30_RS02355	NB626_RS02105
OG0000168	FEF30_RS02360	NB626_RS02110
OG0000169	FEF30_RS03395	NB626_RS03230
OG0000170	FEF30_RS04475	NB626_RS03245
OG0000171	FEF30_RS03420	NB626_RS03255
OG0000172	FEF30_RS03425	NB626_RS03260
OG0000173	FEF30_RS03430	NB626_RS03265
OG0000174	FEF30_RS03435	NB626_RS03270
OG0000175	FEF30_RS03450	NB626_RS03290
OG0000176	FEF30_RS03495	NB626_RS03345
OG0000177	FEF30_RS03500	NB626_RS03350
OG0000178	FEF30_RS03505	NB626_RS03355
OG0000179	FEF30_RS03515	NB626_RS03365
OG0000180	FEF30_RS03520	NB626_RS03370
OG0000181	FEF30_RS04395	NB626_RS03410
OG0000182	FEF30_RS03570	NB626_RS03420
OG0000183	FEF30_RS03605	NB626_RS03455
OG0000184	FEF30_RS00025	NB626_RS03500
OG0000185	FEF30_RS00010	NB626_RS03485
OG0000186	FEF30_RS04275	NB626_RS01645
OG0000187	FEF30_RS01855	NB626_RS01660
OG0000188	FEF30_RS01865	NB626_RS01670
OG0000189	FEF30_RS04355	NB626_RS02460
OG0000190	FEF30_RS02670	NB626_RS02455
OG0000191	FEF30_RS02650	NB626_RS02430
OG0000192	FEF30_RS01530	NB626_RS01335
OG0000193	FEF30_RS01515	NB626_RS01320
OG0000194	FEF30_RS01000	NB626_RS00790
OG0000195	FEF30_RS01005	NB626_RS00795
OG0000196	FEF30_RS01025	NB626_RS00820
OG0000197	FEF30_RS01030	NB626_RS00830
OG0000198	FEF30_RS01045	NB626_RS00840
OG0000199	FEF30_RS01050	NB626_RS00845
OG0000200	FEF30_RS01065	NB626_RS00860
OG0000201	FEF30_RS01075	NB626_RS00870
OG0000202	FEF30_RS01130	NB626_RS00940
OG0000203	FEF30_RS01135	NB626_RS00945
OG0000204	FEF30_RS01140	NB626_RS00950
OG0000205	FEF30_RS01145	NB626_RS00955
OG0000206	FEF30_RS01165	NB626_RS00975
OG0000207	FEF30_RS01180	NB626_RS00990
OG0000208	FEF30_RS01185	NB626_RS00995
OG0000209	FEF30_RS01190	NB626_RS01000
OG0000210	FEF30_RS01235	NB626_RS01050
OG0000211	FEF30_RS01245	NB626_RS01065
OG0000212	FEF30_RS01255	NB626_RS01070
OG0000213	FEF30_RS01260	NB626_RS01075
OG0000214	FEF30_RS01265	NB626_RS01080
OG0000215	FEF30_RS01270	NB626_RS01085
OG0000216	FEF30_RS01275	NB626_RS01090
OG0000217	FEF30_RS01280	NB626_RS01095
OG0000218	FEF30_RS01290	NB626_RS01105
OG0000219	FEF30_RS01295	NB626_RS01110
OG0000220	FEF30_RS01300	NB626_RS01115
OG0000221	FEF30_RS01305	NB626_RS01120
OG0000222	FEF30_RS01310	NB626_RS01125
OG0000223	FEF30_RS01315	NB626_RS01130
OG0000224	FEF30_RS01325	NB626_RS01140
OG0000225	FEF30_RS01335	NB626_RS01150
OG0000226	FEF30_RS01340	NB626_RS01155
OG0000227	FEF30_RS01345	NB626_RS01160
OG0000228	FEF30_RS04410	NB626_RS01165
OG0000229	FEF30_RS01355	NB626_RS01170
OG0000230	FEF30_RS01360	NB626_RS01180
OG0000231	FEF30_RS01370	NB626_RS01185
OG0000232	FEF30_RS01380	NB626_RS01195
OG0000233	FEF30_RS01405	NB626_RS01215
OG0000234	FEF30_RS01440	NB626_RS01250
OG0000235	FEF30_RS01450	NB626_RS01260
OG0000236	FEF30_RS01455	NB626_RS01265
OG0000237	FEF30_RS01460	NB626_RS01270
OG0000238	FEF30_RS01465	NB626_RS01275
OG0000239	FEF30_RS03320	NB626_RS03125
OG0000240	FEF30_RS03325	NB626_RS03130
OG0000241	FEF30_RS03335	NB626_RS03140
OG0000242	FEF30_RS03340	NB626_RS03145
OG0000243	FEF30_RS03345	NB626_RS03150
OG0000244	FEF30_RS03355	NB626_RS03160
OG0000245	FEF30_RS03365	NB626_RS03170
OG0000246	FEF30_RS00455	NB626_RS00140
OG0000247	FEF30_RS00465	NB626_RS00150
OG0000248	FEF30_RS00475	NB626_RS00160
OG0000249	FEF30_RS03675, FEF30_RS00480	NB626_RS00165
OG0000250	FEF30_RS00495	NB626_RS00180
OG0000251	FEF30_RS00525	NB626_RS00215
OG0000252	FEF30_RS00535	NB626_RS00220
OG0000253	FEF30_RS00540	NB626_RS00225
OG0000254	FEF30_RS00550	NB626_RS00235
OG0000255	FEF30_RS00555	NB626_RS00240
OG0000256	FEF30_RS00560	NB626_RS00250
OG0000257	FEF30_RS00585	NB626_RS00270
OG0000258	FEF30_RS00595	NB626_RS00280
OG0000259	FEF30_RS00625	NB626_RS00310
OG0000260	FEF30_RS00635	NB626_RS00320
OG0000261	FEF30_RS04195	NB626_RS00330
OG0000262	FEF30_RS00660	NB626_RS00350
OG0000263	FEF30_RS00675	NB626_RS00365
OG0000264	FEF30_RS00690	NB626_RS00380
OG0000265	FEF30_RS00700	NB626_RS00390
OG0000266	FEF30_RS00715	NB626_RS00405
OG0000267	FEF30_RS00730	NB626_RS00420
OG0000268	FEF30_RS00735	NB626_RS00520
OG0000269	FEF30_RS00750	NB626_RS00535
OG0000270	FEF30_RS04155	NB626_RS03700
OG0000271	FEF30_RS00205	NB626_RS03695
OG0000272	FEF30_RS00200	NB626_RS03690
OG0000273	FEF30_RS00195	NB626_RS03685
OG0000274	FEF30_RS00175	NB626_RS03670
OG0000275	FEF30_RS04145	NB626_RS03660
OG0000276	FEF30_RS00165	NB626_RS03655
OG0000277	FEF30_RS00155	NB626_RS03645
OG0000278	FEF30_RS00150	NB626_RS03640
OG0000279	FEF30_RS00140	NB626_RS03630
OG0000280	FEF30_RS00135	NB626_RS03620
OG0000281	FEF30_RS00130	NB626_RS03615
OG0000282	FEF30_RS04135	NB626_RS03590
OG0000283	FEF30_RS00100	NB626_RS03585
OG0000284	FEF30_RS00095	NB626_RS03580
OG0000285	FEF30_RS04130	NB626_RS03575
OG0000286	FEF30_RS02795	NB626_RS02600
OG0000287	FEF30_RS02895	NB626_RS02700
OG0000288	FEF30_RS02905	NB626_RS02710
OG0000289	FEF30_RS02910	NB626_RS02715
OG0000290	FEF30_RS03020	NB626_RS02830
OG0000291	FEF30_RS03010	NB626_RS02820
OG0000292	FEF30_RS03005	NB626_RS02815
OG0000293	FEF30_RS03000	NB626_RS02810
OG0000294	FEF30_RS02990	NB626_RS02800
OG0000295	FEF30_RS02985	NB626_RS02795
OG0000296	FEF30_RS02945	NB626_RS02750
OG0000297	FEF30_RS02940	NB626_RS02745
OG0000298	FEF30_RS00490	NB626_RS00175
OG0000299	FEF30_RS00510	NB626_RS00195
OG0000300	FEF30_RS00685	NB626_RS00375
OG0000301	FEF30_RS00720	NB626_RS00410
OG0000302	FEF30_RS00725	NB626_RS00415
OG0000303	FEF30_RS00870	NB626_RS00660
OG0000304	FEF30_RS01385	NB626_RS01200
OG0000305	FEF30_RS03260	NB626_RS03065
OG0000306	FEF30_RS03185	NB626_RS02990
OG0000307	FEF30_RS03145	NB626_RS02950
OG0000308	FEF30_RS03040	NB626_RS02850
OG0000309	FEF30_RS02975	NB626_RS02785
OG0000310	FEF30_RS02900	NB626_RS02705
OG0000311	FEF30_RS02855	NB626_RS02660
OG0000312	FEF30_RS02840	NB626_RS02645
OG0000313	FEF30_RS01915	NB626_RS01705
OG0000314	FEF30_RS02335	NB626_RS02085
OG0000315	FEF30_RS02365	NB626_RS02115
OG0000316	FEF30_RS02375	NB626_RS02125
OG0000317	FEF30_RS02470	NB626_RS02225
OG0000318	FEF30_RS04320	NB626_RS02130
OG0000319	FEF30_RS02605	NB626_RS02385
OG0000320	FEF30_RS02735	NB626_RS02525
OG0000321	FEF30_RS01645	NB626_RS01450
OG0000322	FEF30_RS01695	NB626_RS01500
OG0000323	FEF30_RS01825	NB626_RS01630
OG0000324	FEF30_RS02645	NB626_RS02425
OG0000325	FEF30_RS01010	NB626_RS00805
OG0000326	FEF30_RS01105	NB626_RS00910
OG0000327	FEF30_RS01110	NB626_RS00915
OG0000328	FEF30_RS01195	NB626_RS01005
OG0000329	FEF30_RS01215	NB626_RS01035
OG0000330	FEF30_RS01415	NB626_RS01225
OG0000331	FEF30_RS03350	NB626_RS03155
OG0000332	FEF30_RS03460	NB626_RS03300
OG0000333	FEF30_RS03470	NB626_RS03310
OG0000334	FEF30_RS03565	NB626_RS03415
OG0000335	FEF30_RS03575	NB626_RS03425
OG0000336	FEF30_RS04140	NB626_RS03605
OG0000337	FEF30_RS00285	NB626_RS03780
OG0000338	FEF30_RS00325	NB626_RS03820
OG0000339	FEF30_RS02710	NB626_RS02495
OG0000340	FEF30_RS01625	NB626_RS01430
OG0000341	FEF30_RS02665	NB626_RS02450
OG0000342	FEF30_RS01040	NB626_RS00835
OG0000343	FEF30_RS03480	NB626_RS03320
OG0000344	FEF30_RS00885	NB626_RS00675
OG0000345	FEF30_RS01330	NB626_RS01145
OG0000346	FEF30_RS00125	NB626_RS03610
OG0000347	FEF30_RS01720	NB626_RS01525
OG0000348	FEF30_RS01115	NB626_RS00920
OG0000349	FEF30_RS04150	NB626_RS03675
OG0000350	FEF30_RS03135	NB626_RS02940
OG0000351	FEF30_RS00805	NB626_RS00590
OG0000352	FEF30_RS02315	NB626_RS02065
OG0000353	FEF30_RS01690	NB626_RS01490
OG0000354	FEF30_RS00950	NB626_RS00735
OG0000355	FEF30_RS04310	NB626_RS02040
OG0000356	FEF30_RS04315	NB626_RS02120
OG0000357	FEF30_RS04390	NB626_RS03275
OG0000358	FEF30_RS03445	NB626_RS03280
OG0000359	FEF30_RS04215	NB626_RS00880
OG0000360	FEF30_RS00590	NB626_RS00275
OG0000361	FEF30_RS00620	NB626_RS00305
OG0000362	FEF30_RS02920	NB626_RS02725
OG0000363	FEF30_RS01760	NB626_RS01565
OG0000364	FEF30_RS02275	NB626_RS02015
OG0000365	FEF30_RS04335	NB626_RS02175
OG0000366	FEF30_RS02440	NB626_RS02195
OG0000367	FEF30_RS02450	NB626_RS02205
OG0000368	FEF30_RS00390	NB626_RS00060
OG0000369	FEF30_RS04170	NB626_RS00025
OG0000370	FEF30_RS00350	NB626_RS00020
OG0000371	FEF30_RS00345	NB626_RS00015
OG0000372	FEF30_RS00340	NB626_RS00010
OG0000373	FEF30_RS00315	NB626_RS03810
OG0000374	FEF30_RS00305	NB626_RS03800
OG0000375	FEF30_RS02600	NB626_RS02380
OG0000376	FEF30_RS02750	NB626_RS02540
OG0000377	FEF30_RS02740	NB626_RS02530
OG0000379	FEF30_RS01685	NB626_RS01485
OG0000380	FEF30_RS01710	NB626_RS01520
OG0000381	FEF30_RS01750	NB626_RS01555
OG0000382	FEF30_RS01780	NB626_RS01585
OG0000383	FEF30_RS01820	NB626_RS01625
OG0000384	FEF30_RS00825	NB626_RS00615
OG0000385	FEF30_RS00830	NB626_RS00625
OG0000386	FEF30_RS00850	NB626_RS00640
OG0000387	FEF30_RS00875	NB626_RS00665
OG0000388	FEF30_RS04205	NB626_RS00670
OG0000389	FEF30_RS00930	NB626_RS00715
OG0000390	FEF30_RS03280	NB626_RS03085
OG0000391	FEF30_RS03270	NB626_RS03075
OG0000392	FEF30_RS03245	NB626_RS03050
OG0000393	FEF30_RS04380	NB626_RS02995
OG0000394	FEF30_RS03110	NB626_RS02915
OG0000395	FEF30_RS03105	NB626_RS02910
OG0000396	FEF30_RS02800	NB626_RS02605
OG0000397	FEF30_RS02300	NB626_RS02050
OG0000398	FEF30_RS02305	NB626_RS02060
OG0000399	FEF30_RS02350	NB626_RS02100
OG0000400	FEF30_RS03405	NB626_RS03240
OG0000401	FEF30_RS03465	NB626_RS03305
OG0000402	FEF30_RS03475	NB626_RS03315
OG0000403	FEF30_RS03485	NB626_RS03325
OG0000404	FEF30_RS03510	NB626_RS03360
OG0000405	FEF30_RS04480	NB626_RS03375
OG0000406	FEF30_RS03580	NB626_RS03430
OG0000407	FEF30_RS04400	NB626_RS03435
OG0000408	FEF30_RS03590	NB626_RS03440
OG0000409	FEF30_RS03595	NB626_RS03445
OG0000410	FEF30_RS00030	NB626_RS03510
OG0000411	FEF30_RS00020	NB626_RS03495
OG0000412	FEF30_RS00015	NB626_RS03490
OG0000413	FEF30_RS01835	NB626_RS01640
OG0000414	FEF30_RS01845	NB626_RS01650
OG0000415	FEF30_RS01850	NB626_RS01655
OG0000416	FEF30_RS01860	NB626_RS01665
OG0000417	FEF30_RS02660	NB626_RS02445
OG0000418	FEF30_RS02655	NB626_RS02435
OG0000419	FEF30_RS01020	NB626_RS00815
OG0000420	FEF30_RS01055	NB626_RS00850
OG0000421	FEF30_RS01090	NB626_RS00895
OG0000422	FEF30_RS01100	NB626_RS00905
OG0000423	FEF30_RS01155	NB626_RS00965
OG0000424	FEF30_RS01160	NB626_RS00970
OG0000425	FEF30_RS01170	NB626_RS00980
OG0000426	FEF30_RS04220	NB626_RS00985
OG0000427	FEF30_RS04225	NB626_RS01010
OG0000428	FEF30_RS01225	NB626_RS01040
OG0000429	FEF30_RS01320	NB626_RS01135
OG0000431	FEF30_RS01375	NB626_RS01190
OG0000432	FEF30_RS01410	NB626_RS01220
OG0000433	FEF30_RS01425	NB626_RS01235
OG0000434	FEF30_RS01430	NB626_RS01245
OG0000435	FEF30_RS01445	NB626_RS01255
OG0000436	FEF30_RS01470	NB626_RS01280
OG0000437	FEF30_RS01480	NB626_RS01290
OG0000438	FEF30_RS01485	NB626_RS01295
OG0000439	FEF30_RS04235	NB626_RS01300
OG0000440	FEF30_RS03330	NB626_RS03135
OG0000441	FEF30_RS03370	NB626_RS03180
OG0000442	FEF30_RS00460	NB626_RS00145
OG0000443	FEF30_RS00505	NB626_RS00190
OG0000444	FEF30_RS00520	NB626_RS00205
OG0000445	FEF30_RS00545	NB626_RS00230
OG0000446	FEF30_RS00570	NB626_RS00255
OG0000447	FEF30_RS00575	NB626_RS00265
OG0000448	FEF30_RS00605	NB626_RS00290
OG0000449	FEF30_RS00630	NB626_RS00315
OG0000450	FEF30_RS00640	NB626_RS00325
OG0000451	FEF30_RS00680	NB626_RS00370
OG0000452	FEF30_RS00705	NB626_RS00395
OG0000453	FEF30_RS00740	NB626_RS00525
OG0000455	FEF30_RS00230	NB626_RS03720
OG0000456	FEF30_RS00110	NB626_RS03595
OG0000457	FEF30_RS00085	NB626_RS03565
OG0000458	FEF30_RS02890	NB626_RS02695
OG0000459	FEF30_RS02915	NB626_RS02720
OG0000460	FEF30_RS02925	NB626_RS02730
OG0000461	FEF30_RS02970	NB626_RS02775
OG0000462	FEF30_RS02965	NB626_RS02770
OG0000463	FEF30_RS02960	NB626_RS02765
OG0000464	FEF30_RS02955	NB626_RS02760
OG0000465	FEF30_RS02950	NB626_RS02755
OG0000466	FEF30_RS00710	NB626_RS00400
OG0000467	FEF30_RS04360	NB626_RS02860
OG0000468	FEF30_RS02345	NB626_RS02095
OG0000469	FEF30_RS02405	NB626_RS02160
OG0000470	FEF30_RS01150	NB626_RS00960
OG0000471	FEF30_RS01230	NB626_RS01045
OG0000472	FEF30_RS00040	NB626_RS03515
OG0000473	FEF30_RS00215	NB626_RS03705
OG0000474	FEF30_RS00220	NB626_RS03710
OG0000475	FEF30_RS00225	NB626_RS03715
OG0000476	FEF30_RS01870	NB626_RS01675
OG0000477	FEF30_RS02995	NB626_RS02805
OG0000478	FEF30_RS00160	NB626_RS03650
OG0000479	FEF30_RS01640	NB626_RS01445
OG0000480	FEF30_RS02410	NB626_RS02165
OG0000481	FEF30_RS01125	NB626_RS00935
OG0000482	FEF30_RS01520	NB626_RS01325
OG0000483	FEF30_RS02455	NB626_RS02210
OG0000484	FEF30_RS04190	NB626_RS00200
OG0000485	FEF30_RS01475	NB626_RS01285
OG0000486	FEF30_RS02680	NB626_RS02465
OG0000487	FEF30_RS04325	NB626_RS02150
OG0000488	FEF30_RS02425	NB626_RS02180
OG0000489	FEF30_RS00380	NB626_RS00050
OG0000490	FEF30_RS00320	NB626_RS03815
OG0000491	FEF30_RS01660	NB626_RS01465
OG0000492	FEF30_RS01740	NB626_RS01545
OG0000493	FEF30_RS00890	NB626_RS00680
OG0000494	FEF30_RS00955	NB626_RS00740
OG0000496	FEF30_RS03205	NB626_RS03010
OG0000497	FEF30_RS03200	NB626_RS03005
OG0000498	FEF30_RS03115	NB626_RS02920
OG0000499	FEF30_RS03080	NB626_RS02885
OG0000502	FEF30_RS01510	NB626_RS01315
OG0000503	FEF30_RS01070	NB626_RS00865
OG0000504	FEF30_RS01205	NB626_RS01015
OG0000505	FEF30_RS01240	NB626_RS01055
OG0000507	FEF30_RS01285	NB626_RS01100
OG0000509	FEF30_RS00600	NB626_RS00285
OG0000510	FEF30_RS00610	NB626_RS00295
OG0000511	FEF30_RS00745	NB626_RS00530
OG0000512	FEF30_RS02930	NB626_RS02735
OG0000513	FEF30_RS00145	NB626_RS03635
OG0000514	FEF30_RS03240	NB626_RS03045
OG0000517	FEF30_RS00395	NB626_RS00065
OG0000518	FEF30_RS03455	NB626_RS03295
OG0000519	FEF30_RS01095	NB626_RS00900
OG0000522	FEF30_RS00615	NB626_RS00300
OG0000523	FEF30_RS00080	NB626_RS03560
OG0000524	FEF30_RS03045	NB626_RS02855
OG0000525	FEF30_RS04105	NB626_RS03520
OG0000526	FEF30_RS02235	NB626_RS01960, NB626_RS01955
OG0000527	FEF30_RS02175	NB626_RS01900
OG0000530	FEF30_RS02720	NB626_RS02505
OG0000532	FEF30_RS01945	NB626_RS01735
OG0000533	FEF30_RS00915	NB626_RS00700
OG0000534	FEF30_RS00695	NB626_RS00385
OG0000536	FEF30_RS00260	NB626_RS03750
OG0000540	FEF30_RS03015	NB626_RS02825
OG0000541	FEF30_RS03095	NB626_RS02900
OG0000544	FEF30_RS04245	NB626_RS01370
OG0000545	FEF30_RS02225	NB626_RS01945
OG0000546	FEF30_RS03165	NB626_RS02970
OG0000551	FEF30_RS03360	NB626_RS03165
OG0000553	FEF30_RS04365	NB626_RS02870
OG0000554	FEF30_RS02765	NB626_RS02560
OG0000555	FEF30_RS03295	NB626_RS03100
OG0000557	FEF30_RS01575	NB626_RS01380
OG0000558	FEF30_RS01545	NB626_RS01350
OG0000559	FEF30_RS02015	NB626_RS01815
OG0000560	FEF30_RS02215	NB626_RS01930
OG0000561	FEF30_RS01420	NB626_RS01230
OG0000562	FEF30_RS02220	NB626_RS01935
OG0000563	FEF30_RS02205	NB626_RS01925
