Orthogroup	MHP_UFV01_genes	MFC_ATCC27716_genes
OG0000250	FEF30_RS00495	MFC_RS02400
OG0000251	FEF30_RS00525	MFC_RS02430
OG0000252	FEF30_RS00535	MFC_RS02440
OG0000253	FEF30_RS00540	MFC_RS02445
OG0000254	FEF30_RS00550	MFC_RS02455
OG0000255	FEF30_RS00555	MFC_RS02465
OG0000256	FEF30_RS00560	MFC_RS02470
OG0000257	FEF30_RS00585	MFC_RS02495
OG0000258	FEF30_RS00595	MFC_RS02505
OG0000259	FEF30_RS00625	MFC_RS02535
OG0000260	FEF30_RS00635	MFC_RS02545
OG0000261	FEF30_RS04195	MFC_RS02555
OG0000262	FEF30_RS00660	MFC_RS02570
OG0000263	FEF30_RS00675	MFC_RS02585
OG0000264	FEF30_RS00690	MFC_RS02600
OG0000265	FEF30_RS00700	MFC_RS02610
OG0000266	FEF30_RS00715	MFC_RS02625
OG0000267	FEF30_RS00730	MFC_RS02640
OG0000268	FEF30_RS00735	MFC_RS02645
OG0000269	FEF30_RS00750	MFC_RS02660
OG0000270	FEF30_RS04155	MFC_RS02720
OG0000271	FEF30_RS00205	MFC_RS02725
OG0000272	FEF30_RS00200	MFC_RS02730
OG0000273	FEF30_RS00195	MFC_RS02735
OG0000274	FEF30_RS00175	MFC_RS02755
OG0000275	FEF30_RS04145	MFC_RS03455
OG0000276	FEF30_RS00165	MFC_RS02765
OG0000277	FEF30_RS00155	MFC_RS02775
OG0000278	FEF30_RS00150	MFC_RS02780
OG0000279	FEF30_RS00140	MFC_RS02790
OG0000280	FEF30_RS00135	MFC_RS02795
OG0000281	FEF30_RS00130	MFC_RS03255
OG0000282	FEF30_RS04135	MFC_RS02820
OG0000283	FEF30_RS00100	MFC_RS02825
OG0000284	FEF30_RS00095	MFC_RS02830
OG0000285	FEF30_RS04130	MFC_RS02835
OG0000286	FEF30_RS02795	MFC_RS02865
OG0000287	FEF30_RS02895	MFC_RS02890
OG0000288	FEF30_RS02905	MFC_RS02900
OG0000289	FEF30_RS02910	MFC_RS02905
OG0000290	FEF30_RS03020	MFC_RS03030
OG0000291	FEF30_RS03010	MFC_RS03040
OG0000292	FEF30_RS03005	MFC_RS03045
OG0000293	FEF30_RS03000	MFC_RS03050
OG0000294	FEF30_RS02990	MFC_RS03060
OG0000295	FEF30_RS02985	MFC_RS03065
OG0000296	FEF30_RS02945	MFC_RS03110
OG0000297	FEF30_RS02940	MFC_RS03115
OG0000298	FEF30_RS00490	MFC_RS02395
OG0000299	FEF30_RS00510	MFC_RS02415
OG0000300	FEF30_RS00685	MFC_RS02595
OG0000301	FEF30_RS00720	MFC_RS02630
OG0000302	FEF30_RS00725	MFC_RS02635
OG0000303	FEF30_RS00870	MFC_RS00835
OG0000304	FEF30_RS01385	MFC_RS00865
OG0000305	FEF30_RS03260	MFC_RS01010
OG0000306	FEF30_RS03185	MFC_RS01090
OG0000307	FEF30_RS03145	MFC_RS01130
OG0000308	FEF30_RS03040	MFC_RS03020
OG0000309	FEF30_RS02975	MFC_RS03075
OG0000310	FEF30_RS02900	MFC_RS02895
OG0000311	FEF30_RS02855	MFC_RS01220
OG0000312	FEF30_RS02840	MFC_RS01240
OG0000313	FEF30_RS01915	MFC_RS01290
OG0000314	FEF30_RS02335	MFC_RS01360
OG0000315	FEF30_RS02365	MFC_RS01390
OG0000316	FEF30_RS02375	MFC_RS01400
OG0000317	FEF30_RS02470	MFC_RS00110
OG0000318	FEF30_RS04320	MFC_RS00020
OG0000319	FEF30_RS02605	MFC_RS00420
OG0000320	FEF30_RS02735	MFC_RS00485
OG0000321	FEF30_RS01645	MFC_RS00550
OG0000322	FEF30_RS01695	MFC_RS00595
OG0000323	FEF30_RS01825	MFC_RS00725
OG0000324	FEF30_RS02645	MFC_RS01775
OG0000325	FEF30_RS01010	MFC_RS01815
OG0000326	FEF30_RS01105	MFC_RS01905
OG0000327	FEF30_RS01110	MFC_RS01910
OG0000328	FEF30_RS01195	MFC_RS01995
OG0000329	FEF30_RS01215	MFC_RS02020
OG0000330	FEF30_RS01415	MFC_RS02200
OG0000331	FEF30_RS03350	MFC_RS02315
OG0000332	FEF30_RS03460	MFC_RS01505
OG0000333	FEF30_RS03470	MFC_RS01515
OG0000334	FEF30_RS03565	MFC_RS01585
OG0000335	FEF30_RS03575	MFC_RS01595
OG0000336	FEF30_RS04140	MFC_RS02805
OG0000337	FEF30_RS00285	MFC_RS00280
OG0000338	FEF30_RS00325	MFC_RS00240
OG0000339	FEF30_RS02710	MFC_RS00505
OG0000340	FEF30_RS01625	MFC_RS00530
OG0000341	FEF30_RS02665	MFC_RS01755
OG0000342	FEF30_RS01040	MFC_RS01845
OG0000343	FEF30_RS03480	MFC_RS01525
OG0000344	FEF30_RS00885	MFC_RS00850
OG0000345	FEF30_RS01330	MFC_RS02130
OG0000346	FEF30_RS00125	MFC_RS02800
OG0000347	FEF30_RS01720	MFC_RS00620
OG0000348	FEF30_RS01115	MFC_RS01915
OG0000349	FEF30_RS04150	MFC_RS02745
OG0000350	FEF30_RS03135	MFC_RS03345
OG0000351	FEF30_RS00805	MFC_RS00785
OG0000352	FEF30_RS02315	MFC_RS01340
OG0000353	FEF30_RS01690	MFC_RS00590
OG0000354	FEF30_RS00950	MFC_RS00900
OG0000355	FEF30_RS04310	MFC_RS01315
OG0000356	FEF30_RS04315	MFC_RS01395
OG0000357	FEF30_RS04390	MFC_RS01485
OG0000358	FEF30_RS03445	MFC_RS01490
OG0000359	FEF30_RS04215	MFC_RS01885
OG0000360	FEF30_RS00590	MFC_RS02500
OG0000361	FEF30_RS00620	MFC_RS02530
OG0000362	FEF30_RS02920	MFC_RS02915
OG0000363	FEF30_RS01760	MFC_RS00660
OG0000365	FEF30_RS04335	MFC_RS00050
OG0000366	FEF30_RS02440	MFC_RS00080
OG0000367	FEF30_RS02450	MFC_RS00090
OG0000368	FEF30_RS00390	MFC_RS00175
OG0000369	FEF30_RS04170	MFC_RS00210
OG0000370	FEF30_RS00350	MFC_RS00215
OG0000371	FEF30_RS00345	MFC_RS00220
OG0000372	FEF30_RS00340	MFC_RS00225
OG0000373	FEF30_RS00315	MFC_RS00250
OG0000374	FEF30_RS00305	MFC_RS00260
OG0000375	FEF30_RS02600	MFC_RS00415
OG0000376	FEF30_RS02750	MFC_RS00470
OG0000377	FEF30_RS02740	MFC_RS00480
OG0000378	FEF30_RS01605	MFC_RS00515
OG0000379	FEF30_RS01685	MFC_RS00585
OG0000380	FEF30_RS01710	MFC_RS00610
OG0000381	FEF30_RS01750	MFC_RS00650
OG0000382	FEF30_RS01780	MFC_RS00680
OG0000383	FEF30_RS01820	MFC_RS00720
OG0000384	FEF30_RS00825	MFC_RS00790
OG0000385	FEF30_RS00830	MFC_RS00795
OG0000386	FEF30_RS00850	MFC_RS00815
OG0000387	FEF30_RS00875	MFC_RS00840
OG0000388	FEF30_RS04205	MFC_RS00845
OG0000389	FEF30_RS00930	MFC_RS00880
OG0000390	FEF30_RS03280	MFC_RS00990
OG0000391	FEF30_RS03270	MFC_RS01000
OG0000392	FEF30_RS03245	MFC_RS01030
OG0000393	FEF30_RS04380	MFC_RS01080
OG0000394	FEF30_RS03110	MFC_RS01145
OG0000395	FEF30_RS03105	MFC_RS01150
OG0000396	FEF30_RS02800	MFC_RS01280
OG0000397	FEF30_RS02300	MFC_RS01325
OG0000398	FEF30_RS02305	MFC_RS01330
OG0000399	FEF30_RS02350	MFC_RS01375
OG0000400	FEF30_RS03405	MFC_RS01450
OG0000401	FEF30_RS03465	MFC_RS01510
OG0000402	FEF30_RS03475	MFC_RS01520
OG0000403	FEF30_RS03485	MFC_RS01530
OG0000404	FEF30_RS03510	MFC_RS03375, MFC_RS01555
OG0000405	FEF30_RS04480	MFC_RS01570
OG0000406	FEF30_RS03580	MFC_RS01600
OG0000407	FEF30_RS04400	MFC_RS01605
OG0000408	FEF30_RS03590	MFC_RS01610
OG0000409	FEF30_RS03595	MFC_RS01615
OG0000410	FEF30_RS00030	MFC_RS01650
OG0000411	FEF30_RS00020	MFC_RS01660
OG0000412	FEF30_RS00015	MFC_RS01665
OG0000413	FEF30_RS01835	MFC_RS01705
OG0000414	FEF30_RS01845	MFC_RS01715
OG0000415	FEF30_RS01850	MFC_RS01720
OG0000416	FEF30_RS01860	MFC_RS01730
OG0000417	FEF30_RS02660	MFC_RS01760
OG0000418	FEF30_RS02655	MFC_RS01765
OG0000419	FEF30_RS01020	MFC_RS01825
OG0000420	FEF30_RS01055	MFC_RS01860
OG0000421	FEF30_RS01090	MFC_RS01890
OG0000422	FEF30_RS01100	MFC_RS01900
OG0000423	FEF30_RS01155	MFC_RS01955
OG0000424	FEF30_RS01160	MFC_RS01960
OG0000425	FEF30_RS01170	MFC_RS01970
OG0000426	FEF30_RS04220	MFC_RS01975
OG0000427	FEF30_RS04225	MFC_RS02000
OG0000428	FEF30_RS01225	MFC_RS02030
OG0000429	FEF30_RS01320	MFC_RS02120
OG0000430	FEF30_RS01365	MFC_RS02165
OG0000431	FEF30_RS01375	MFC_RS02175
OG0000432	FEF30_RS01410	MFC_RS02195
OG0000433	FEF30_RS01425	MFC_RS02205
OG0000434	FEF30_RS01430	MFC_RS02210
OG0000435	FEF30_RS01445	MFC_RS02225
OG0000436	FEF30_RS01470	MFC_RS03535
OG0000437	FEF30_RS01480	MFC_RS02270
OG0000438	FEF30_RS01485	MFC_RS02275
OG0000439	FEF30_RS04235	MFC_RS02280
OG0000440	FEF30_RS03330	MFC_RS02295
OG0000441	FEF30_RS03370	MFC_RS02335
OG0000442	FEF30_RS00460	MFC_RS02350
OG0000443	FEF30_RS00505	MFC_RS02410
OG0000444	FEF30_RS00520	MFC_RS02425
OG0000445	FEF30_RS00545	MFC_RS02450
OG0000446	FEF30_RS00570	MFC_RS02480
OG0000447	FEF30_RS00575	MFC_RS02485
OG0000448	FEF30_RS00605	MFC_RS02515
OG0000449	FEF30_RS00630	MFC_RS02540
OG0000450	FEF30_RS00640	MFC_RS02550
OG0000451	FEF30_RS00680	MFC_RS02590
OG0000452	FEF30_RS00705	MFC_RS02615
OG0000453	FEF30_RS00740	MFC_RS02650
OG0000455	FEF30_RS00230	MFC_RS02700
OG0000456	FEF30_RS00110	MFC_RS02815
OG0000457	FEF30_RS00085	MFC_RS02840
OG0000458	FEF30_RS02890	MFC_RS02885
OG0000459	FEF30_RS02915	MFC_RS02910
OG0000460	FEF30_RS02925	MFC_RS02920
OG0000461	FEF30_RS02970	MFC_RS03080
OG0000462	FEF30_RS02965	MFC_RS03085
OG0000463	FEF30_RS02960	MFC_RS03090
OG0000464	FEF30_RS02955	MFC_RS03100
OG0000465	FEF30_RS02950	MFC_RS03105
OG0000466	FEF30_RS00710	MFC_RS02620
OG0000467	FEF30_RS04360	MFC_RS03500
OG0000468	FEF30_RS02345	MFC_RS01370
OG0000469	FEF30_RS02405	MFC_RS00045
OG0000470	FEF30_RS01150	MFC_RS01950
OG0000471	FEF30_RS01230	MFC_RS02035
OG0000472	FEF30_RS00040	MFC_RS01680
OG0000473	FEF30_RS00215	MFC_RS02715
OG0000474	FEF30_RS00220	MFC_RS02710
OG0000475	FEF30_RS00225	MFC_RS02705
OG0000476	FEF30_RS01870	MFC_RS00345
OG0000477	FEF30_RS02995	MFC_RS03055
OG0000478	FEF30_RS00160	MFC_RS02770
OG0000479	FEF30_RS01640	MFC_RS00545
OG0000480	FEF30_RS02410	MFC_RS03300
OG0000481	FEF30_RS01125	MFC_RS01925
OG0000482	FEF30_RS01520	MFC_RS01790
OG0000483	FEF30_RS02455	MFC_RS00095
OG0000484	FEF30_RS04190	MFC_RS02420
OG0000487	FEF30_RS04325	MFC_RS00025
OG0000488	FEF30_RS02425	MFC_RS00065
OG0000489	FEF30_RS00380	MFC_RS00185
OG0000490	FEF30_RS00320	MFC_RS00245
OG0000491	FEF30_RS01660	MFC_RS00565
OG0000492	FEF30_RS01740	MFC_RS00640
OG0000493	FEF30_RS00890	MFC_RS00855
OG0000494	FEF30_RS00955	MFC_RS00905
OG0000495	FEF30_RS03215	MFC_RS01055
OG0000496	FEF30_RS03205	MFC_RS01065
OG0000497	FEF30_RS03200	MFC_RS01070
OG0000498	FEF30_RS03115	MFC_RS01140
OG0000499	FEF30_RS03080	MFC_RS01185
OG0000500	FEF30_RS02310	MFC_RS01335
OG0000502	FEF30_RS01510	MFC_RS01800
OG0000503	FEF30_RS01070	MFC_RS01870
OG0000504	FEF30_RS01205	MFC_RS02005
OG0000505	FEF30_RS01240	MFC_RS02045
OG0000506	FEF30_RS01250	MFC_RS02055
OG0000507	FEF30_RS01285	MFC_RS02090
OG0000508	FEF30_RS00565	MFC_RS02475
OG0000509	FEF30_RS00600	MFC_RS02510
OG0000510	FEF30_RS00610	MFC_RS02520
OG0000511	FEF30_RS00745	MFC_RS02655
OG0000512	FEF30_RS02930	MFC_RS02925
OG0000513	FEF30_RS00145	MFC_RS02785
OG0000516	FEF30_RS04330	MFC_RS00030
OG0000517	FEF30_RS00395	MFC_RS00170
OG0000518	FEF30_RS03455	MFC_RS01500
OG0000519	FEF30_RS01095	MFC_RS01895
OG0000520	FEF30_RS01220	MFC_RS02025
OG0000521	FEF30_RS00580	MFC_RS02490
OG0000522	FEF30_RS00615	MFC_RS02525
OG0000523	FEF30_RS00080	MFC_RS02845
OG0000524	FEF30_RS03045	MFC_RS03015
OG0000525	FEF30_RS04105	MFC_RS01685
OG0000528	FEF30_RS02395	MFC_RS00035
OG0000529	FEF30_RS02615	MFC_RS00430
OG0000530	FEF30_RS02720	MFC_RS00495
OG0000531	FEF30_RS01715	MFC_RS00615
OG0000532	FEF30_RS01945	MFC_RS00940
OG0000533	FEF30_RS00915	MFC_RS02185
OG0000534	FEF30_RS00695	MFC_RS02605
OG0000535	FEF30_RS04175	MFC_RS00190
OG0000536	FEF30_RS00260	MFC_RS00315
OG0000537	FEF30_RS01035	MFC_RS01840
OG0000538	FEF30_RS01435	MFC_RS02215
OG0000539	FEF30_RS00530	MFC_RS02435
OG0000540	FEF30_RS03015	MFC_RS03035
OG0000541	FEF30_RS03095	MFC_RS01170
OG0000542	FEF30_RS00665	MFC_RS02575
OG0000547	FEF30_RS03290	MFC_RS00980
OG0000548	FEF30_RS01910	MFC_RS01285
OG0000549	FEF30_RS04100	MFC_RS01675
OG0000550	FEF30_RS00180	MFC_RS02750
OG0000551	FEF30_RS03360	MFC_RS02325
OG0000555	FEF30_RS03295	MFC_RS03340
OG0000589	FEF30_RS02520	MFC_RS03260
OG0000595	FEF30_RS04470	MFC_RS01440
OG0000596	FEF30_RS02140	MFC_RS02370
OG0000597	FEF30_RS03375	MFC_RS01435
OG0000598	FEF30_RS02145	MFC_RS02365
OG0000599	FEF30_RS02150	MFC_RS02360
OG0000602	FEF30_RS02420	MFC_RS00055
