Orthogroup	MHP_UFV01_genes	MHP_MHP682_genes
OG0000022	FEF30_RS04290	DR097_RS04680
OG0000024	FEF30_RS03120	DR097_RS01795
OG0000024	FEF30_RS01585	DR097_RS00345
OG0000025	FEF30_RS04285	DR097_RS04685
OG0000025	FEF30_RS02025	DR097_RS01845
OG0000026	FEF30_RS01680	DR097_RS01665
OG0000026	FEF30_RS02005	DR097_RS01865
OG0000027	FEF30_RS00060	DR097_RS02965
OG0000027	FEF30_RS04125	DR097_RS04560
OG0000028	FEF30_RS02785, FEF30_RS02790	DR097_RS04690
OG0000029	FEF30_RS01390	DR097_RS02335
OG0000030	FEF30_RS04110	DR097_RS04775
OG0000030	FEF30_RS04120	DR097_RS04565
OG0000032	FEF30_RS00065	DR097_RS00730
OG0000034	FEF30_RS02525	DR097_RS03640
OG0000036	FEF30_RS00430	DR097_RS02435
OG0000036	FEF30_RS00445	DR097_RS02415
OG0000039	FEF30_RS01930	DR097_RS04950
OG0000040	FEF30_RS03620	DR097_RS03560
OG0000041	FEF30_RS00985	DR097_RS03645
OG0000042	FEF30_RS03315	DR097_RS01265
OG0000043	FEF30_RS02295, FEF30_RS02105	DR097_RS00855
OG0000044	FEF30_RS04460	DR097_RS04900
OG0000045	FEF30_RS01935, FEF30_RS01940	DR097_RS03525
OG0000046	FEF30_RS04495	DR097_RS04785
OG0000048	FEF30_RS02480	DR097_RS02830
OG0000049	FEF30_RS03400	DR097_RS01470
OG0000050	FEF30_RS02820	DR097_RS01960
OG0000051	FEF30_RS03030	DR097_RS01545
OG0000052	FEF30_RS00405	DR097_RS02480
OG0000053	FEF30_RS04260	DR097_RS04845
OG0000054	FEF30_RS02845	DR097_RS01935
OG0000055	FEF30_RS00450	DR097_RS00305
OG0000056	FEF30_RS00250	DR097_RS00545
OG0000057	FEF30_RS03300	DR097_RS01250
OG0000058	FEF30_RS02120	DR097_RS02085
OG0000059	FEF30_RS02110	DR097_RS04190
OG0000060	FEF30_RS01505	DR097_RS00425
OG0000061	FEF30_RS01900	DR097_RS02500
OG0000062	FEF30_RS00295	DR097_RS02590
OG0000063	FEF30_RS04165	DR097_RS04735
OG0000064	FEF30_RS00280	DR097_RS02605
OG0000065	FEF30_RS02625	DR097_RS02745
OG0000066	FEF30_RS01670	DR097_RS01675
OG0000067	FEF30_RS00835	DR097_RS02405
OG0000068	FEF30_RS00960	DR097_RS03055
OG0000069	FEF30_RS03195	DR097_RS01725
OG0000070	FEF30_RS02850	DR097_RS01930
OG0000071	FEF30_RS03610	DR097_RS03575
OG0000072	FEF30_RS04405	DR097_RS03580, DR097_RS04860
OG0000073	FEF30_RS01015	DR097_RS01115
OG0000074	FEF30_RS04230	DR097_RS04605
OG0000075	FEF30_RS00655	DR097_RS00090
OG0000076	FEF30_RS00670	DR097_RS00075
OG0000077	FEF30_RS00755	DR097_RS03275
OG0000078	FEF30_RS01995	DR097_RS01875
OG0000079	FEF30_RS02935	DR097_RS02640
OG0000080	FEF30_RS02980	DR097_RS04360
OG0000081	FEF30_RS00650	DR097_RS00095
OG0000082	FEF30_RS02770	DR097_RS02165
OG0000083	FEF30_RS02400	DR097_RS00750
OG0000084	FEF30_RS02430	DR097_RS03685
OG0000085	FEF30_RS02435	DR097_RS02875
OG0000086	FEF30_RS02445	DR097_RS02865
OG0000087	FEF30_RS02460	DR097_RS02850
OG0000088	FEF30_RS02465	DR097_RS02845
OG0000089	FEF30_RS02475	DR097_RS02835
OG0000090	FEF30_RS00400	DR097_RS02485
OG0000091	FEF30_RS00385	DR097_RS02775
OG0000092	FEF30_RS00370	DR097_RS02790
OG0000093	FEF30_RS00365	DR097_RS02795
OG0000094	FEF30_RS00360	DR097_RS02800
OG0000095	FEF30_RS00335	DR097_RS03550
OG0000096	FEF30_RS00330	DR097_RS03545
OG0000097	FEF30_RS00310	DR097_RS02575
OG0000098	FEF30_RS00300	DR097_RS02585
OG0000099	FEF30_RS04160	DR097_RS03665
OG0000100	FEF30_RS00240	DR097_RS00555
OG0000101	FEF30_RS00235	DR097_RS00560
OG0000102	FEF30_RS02020	DR097_RS01850
OG0000103	FEF30_RS02590	DR097_RS02710
OG0000104	FEF30_RS02595	DR097_RS02715
OG0000105	FEF30_RS02610	DR097_RS02730
OG0000106	FEF30_RS02620	DR097_RS02740
OG0000107	FEF30_RS02630	DR097_RS02750
OG0000108	FEF30_RS02635	DR097_RS02755
OG0000109	FEF30_RS02640	DR097_RS02760
OG0000110	FEF30_RS02760	DR097_RS02155
OG0000111	FEF30_RS02755	DR097_RS02150
OG0000112	FEF30_RS02745	DR097_RS02140
OG0000113	FEF30_RS02725	DR097_RS04705
OG0000114	FEF30_RS02715	DR097_RS02110
OG0000115	FEF30_RS02705	DR097_RS02095
OG0000116	FEF30_RS01610	DR097_RS00320
OG0000117	FEF30_RS01615	DR097_RS00315
OG0000118	FEF30_RS01650	DR097_RS01690
OG0000119	FEF30_RS01655	DR097_RS01685
OG0000120	FEF30_RS01675	DR097_RS01670
OG0000121	FEF30_RS01700	DR097_RS01645
OG0000122	FEF30_RS01705	DR097_RS01640
OG0000123	FEF30_RS01725	DR097_RS01620
OG0000124	FEF30_RS01730	DR097_RS01615
OG0000125	FEF30_RS01735	DR097_RS01610
OG0000126	FEF30_RS01745	DR097_RS01600
OG0000127	FEF30_RS01755	DR097_RS01590
OG0000128	FEF30_RS01770	DR097_RS03460
OG0000129	FEF30_RS01775	DR097_RS03355
OG0000130	FEF30_RS01785	DR097_RS03345
OG0000131	FEF30_RS04265	DR097_RS04820
OG0000132	FEF30_RS04270	DR097_RS04815
OG0000133	FEF30_RS00840	DR097_RS02400
OG0000134	FEF30_RS00845	DR097_RS02395
OG0000135	FEF30_RS00860	DR097_RS02380
OG0000136	FEF30_RS00865	DR097_RS02375
OG0000137	FEF30_RS00905	DR097_RS02345
OG0000138	FEF30_RS00935	DR097_RS03080
OG0000139	FEF30_RS00965	DR097_RS03050
OG0000140	FEF30_RS00970	DR097_RS03045
OG0000141	FEF30_RS03310	DR097_RS01260
OG0000142	FEF30_RS04385	DR097_RS04625
OG0000143	FEF30_RS03285	DR097_RS01230
OG0000144	FEF30_RS03275	DR097_RS01220
OG0000145	FEF30_RS03265	DR097_RS01210
OG0000146	FEF30_RS03255	DR097_RS01200
OG0000147	FEF30_RS03250	DR097_RS01195
OG0000148	FEF30_RS03235	DR097_RS01180
OG0000149	FEF30_RS03225	DR097_RS01170
OG0000150	FEF30_RS03210	DR097_RS01155
OG0000151	FEF30_RS03160	DR097_RS01755
OG0000152	FEF30_RS03155	DR097_RS01760
OG0000153	FEF30_RS03150	DR097_RS01765
OG0000154	FEF30_RS03140	DR097_RS01775
OG0000155	FEF30_RS03100	DR097_RS01820
OG0000156	FEF30_RS03090	DR097_RS01490
OG0000157	FEF30_RS04375	DR097_RS04640
OG0000158	FEF30_RS04370	DR097_RS04645
OG0000159	FEF30_RS02835	DR097_RS04905
OG0000160	FEF30_RS02830	DR097_RS01950
OG0000161	FEF30_RS02825	DR097_RS01955
OG0000162	FEF30_RS02815	DR097_RS01965
OG0000163	FEF30_RS02810	DR097_RS01970
OG0000164	FEF30_RS01925	DR097_RS03125
OG0000165	FEF30_RS02320	DR097_RS00830
OG0000166	FEF30_RS02340	DR097_RS00810
OG0000167	FEF30_RS02355	DR097_RS00795
OG0000168	FEF30_RS02360	DR097_RS00790
OG0000169	FEF30_RS03395	DR097_RS01475
OG0000170	FEF30_RS04475	DR097_RS01460
OG0000171	FEF30_RS03420	DR097_RS01450
OG0000172	FEF30_RS03425	DR097_RS01445
OG0000173	FEF30_RS03430	DR097_RS01440
OG0000174	FEF30_RS03435	DR097_RS01435
OG0000175	FEF30_RS03450	DR097_RS01420
OG0000176	FEF30_RS03495	DR097_RS01370
OG0000177	FEF30_RS03500	DR097_RS01365
OG0000178	FEF30_RS03505	DR097_RS01360
OG0000179	FEF30_RS03515	DR097_RS01350
OG0000180	FEF30_RS03520	DR097_RS01345
OG0000181	FEF30_RS04395	DR097_RS04805
OG0000182	FEF30_RS03570	DR097_RS03155
OG0000183	FEF30_RS03605	DR097_RS03570
OG0000184	FEF30_RS00025	DR097_RS02975
OG0000185	FEF30_RS00010	DR097_RS02990
OG0000186	FEF30_RS04275	DR097_RS04760
OG0000187	FEF30_RS01855	DR097_RS02915
OG0000188	FEF30_RS01865	DR097_RS02905
OG0000189	FEF30_RS04355	DR097_RS04790
OG0000190	FEF30_RS02670	DR097_RS03030
OG0000191	FEF30_RS02650	DR097_RS03010
OG0000192	FEF30_RS01530	DR097_RS00400
OG0000193	FEF30_RS01515	DR097_RS00415
OG0000194	FEF30_RS01000	DR097_RS01130
OG0000195	FEF30_RS01005	DR097_RS01125
OG0000196	FEF30_RS01025	DR097_RS01105
OG0000197	FEF30_RS01030	DR097_RS01100
OG0000198	FEF30_RS01045	DR097_RS01085
OG0000199	FEF30_RS01050	DR097_RS01080
OG0000200	FEF30_RS01065	DR097_RS01065
OG0000201	FEF30_RS01075	DR097_RS01055
OG0000202	FEF30_RS01130	DR097_RS01000
OG0000203	FEF30_RS01135	DR097_RS00995
OG0000204	FEF30_RS01140	DR097_RS00990
OG0000205	FEF30_RS01145	DR097_RS00985
OG0000206	FEF30_RS01165	DR097_RS00965
OG0000207	FEF30_RS01180	DR097_RS00950
OG0000208	FEF30_RS01185	DR097_RS00945
OG0000209	FEF30_RS01190	DR097_RS00940
OG0000210	FEF30_RS01235	DR097_RS04925
OG0000211	FEF30_RS01245	DR097_RS02185
OG0000212	FEF30_RS01255	DR097_RS02195
OG0000213	FEF30_RS01260	DR097_RS02200
OG0000214	FEF30_RS01265	DR097_RS02205
OG0000215	FEF30_RS01270	DR097_RS02210
OG0000216	FEF30_RS01275	DR097_RS02215
OG0000217	FEF30_RS01280	DR097_RS02220
OG0000218	FEF30_RS01290	DR097_RS02230
OG0000219	FEF30_RS01295	DR097_RS02235
OG0000220	FEF30_RS01300	DR097_RS02240
OG0000221	FEF30_RS01305	DR097_RS02245
OG0000222	FEF30_RS01310	DR097_RS02250
OG0000223	FEF30_RS01315	DR097_RS02255
OG0000224	FEF30_RS01325	DR097_RS02265
OG0000225	FEF30_RS01335	DR097_RS02275
OG0000226	FEF30_RS01340	DR097_RS02280
OG0000227	FEF30_RS01345	DR097_RS02285
OG0000228	FEF30_RS04410	DR097_RS04910
OG0000229	FEF30_RS01355	DR097_RS02295
OG0000230	FEF30_RS01360	DR097_RS02300
OG0000231	FEF30_RS01370	DR097_RS02310
OG0000232	FEF30_RS01380	DR097_RS02320
OG0000233	FEF30_RS01405	DR097_RS00535
OG0000234	FEF30_RS01440	DR097_RS00495
OG0000235	FEF30_RS01450	DR097_RS00485
OG0000236	FEF30_RS01455	DR097_RS00480
OG0000237	FEF30_RS01460	DR097_RS00475
OG0000238	FEF30_RS01465	DR097_RS00465
OG0000239	FEF30_RS03320	DR097_RS01270
OG0000240	FEF30_RS03325	DR097_RS01275
OG0000241	FEF30_RS03335	DR097_RS01285
OG0000242	FEF30_RS03340	DR097_RS01290
OG0000243	FEF30_RS03345	DR097_RS01295
OG0000244	FEF30_RS03355	DR097_RS01305
OG0000245	FEF30_RS03365	DR097_RS01315
OG0000246	FEF30_RS00455	DR097_RS00300
OG0000247	FEF30_RS00465	DR097_RS00290
OG0000248	FEF30_RS00475	DR097_RS00280
OG0000249	FEF30_RS03675, FEF30_RS00480	DR097_RS00275
OG0000250	FEF30_RS00495	DR097_RS00260
OG0000251	FEF30_RS00525	DR097_RS00225
OG0000252	FEF30_RS00535	DR097_RS00215
OG0000253	FEF30_RS00540	DR097_RS00210
OG0000254	FEF30_RS00550	DR097_RS00200
OG0000255	FEF30_RS00555	DR097_RS00190
OG0000256	FEF30_RS00560	DR097_RS00185
OG0000257	FEF30_RS00585	DR097_RS00160
OG0000258	FEF30_RS00595	DR097_RS00150
OG0000259	FEF30_RS00625	DR097_RS00120
OG0000260	FEF30_RS00635	DR097_RS00110
OG0000261	FEF30_RS04195	DR097_RS04500
OG0000262	FEF30_RS00660	DR097_RS00085
OG0000263	FEF30_RS00675	DR097_RS00070
OG0000264	FEF30_RS00690	DR097_RS00055
OG0000265	FEF30_RS00700	DR097_RS00045
OG0000266	FEF30_RS00715	DR097_RS00030
OG0000267	FEF30_RS00730	DR097_RS00015
OG0000268	FEF30_RS00735	DR097_RS00010
OG0000269	FEF30_RS00750	DR097_RS03285
OG0000270	FEF30_RS04155	DR097_RS04530
OG0000271	FEF30_RS00205	DR097_RS00590
OG0000272	FEF30_RS00200	DR097_RS00595
OG0000273	FEF30_RS00195	DR097_RS00600
OG0000274	FEF30_RS00175	DR097_RS00620
OG0000275	FEF30_RS04145	DR097_RS04540
OG0000276	FEF30_RS00165	DR097_RS00630
OG0000277	FEF30_RS00155	DR097_RS00640
OG0000278	FEF30_RS00150	DR097_RS00645
OG0000279	FEF30_RS00140	DR097_RS00655
OG0000280	FEF30_RS00135	DR097_RS00660
OG0000281	FEF30_RS00130	DR097_RS00665
OG0000282	FEF30_RS04135	DR097_RS04550
OG0000283	FEF30_RS00100	DR097_RS00695
OG0000284	FEF30_RS00095	DR097_RS00700
OG0000285	FEF30_RS04130	DR097_RS04555
OG0000286	FEF30_RS02795	DR097_RS01985
OG0000287	FEF30_RS02895	DR097_RS02680
OG0000288	FEF30_RS02905	DR097_RS02670
OG0000289	FEF30_RS02910	DR097_RS02665
OG0000290	FEF30_RS03020	DR097_RS01555
OG0000291	FEF30_RS03010	DR097_RS01565
OG0000292	FEF30_RS03005	DR097_RS01570
OG0000293	FEF30_RS03000	DR097_RS01575
OG0000294	FEF30_RS02990	DR097_RS03220
OG0000295	FEF30_RS02985	DR097_RS03210
OG0000296	FEF30_RS02945	DR097_RS02630
OG0000297	FEF30_RS02940	DR097_RS02635
OG0000298	FEF30_RS00490	DR097_RS00265
OG0000299	FEF30_RS00510	DR097_RS00240
OG0000300	FEF30_RS00685	DR097_RS00060
OG0000301	FEF30_RS00720	DR097_RS00025
OG0000302	FEF30_RS00725	DR097_RS00020
OG0000303	FEF30_RS00870	DR097_RS02370
OG0000304	FEF30_RS01385	DR097_RS02325
OG0000305	FEF30_RS03260	DR097_RS01205
OG0000306	FEF30_RS03185	DR097_RS01735
OG0000307	FEF30_RS03145	DR097_RS01770
OG0000308	FEF30_RS03040	DR097_RS01535
OG0000309	FEF30_RS02975	DR097_RS03200
OG0000310	FEF30_RS02900	DR097_RS02675
OG0000311	FEF30_RS02855	DR097_RS01925
OG0000312	FEF30_RS02840	DR097_RS01940
OG0000313	FEF30_RS01915	DR097_RS03115
OG0000314	FEF30_RS02335	DR097_RS00815
OG0000315	FEF30_RS02365	DR097_RS00785
OG0000316	FEF30_RS02375	DR097_RS00775
OG0000317	FEF30_RS02470	DR097_RS02840
OG0000318	FEF30_RS04320	DR097_RS04590
OG0000319	FEF30_RS02605	DR097_RS02725
OG0000320	FEF30_RS02735	DR097_RS02130
OG0000321	FEF30_RS01645	DR097_RS01695
OG0000322	FEF30_RS01695	DR097_RS01650
OG0000323	FEF30_RS01825	DR097_RS03305
OG0000324	FEF30_RS02645	DR097_RS03005
OG0000325	FEF30_RS01010	DR097_RS01120
OG0000326	FEF30_RS01105	DR097_RS01025
OG0000327	FEF30_RS01110	DR097_RS01020
OG0000328	FEF30_RS01195	DR097_RS00935
OG0000329	FEF30_RS01215	DR097_RS00915
OG0000330	FEF30_RS01415	DR097_RS00520
OG0000331	FEF30_RS03350	DR097_RS01300
OG0000332	FEF30_RS03460	DR097_RS01410
OG0000333	FEF30_RS03470	DR097_RS01400
OG0000334	FEF30_RS03565	DR097_RS03150
OG0000335	FEF30_RS03575	DR097_RS03160
OG0000336	FEF30_RS04140	DR097_RS04545
OG0000337	FEF30_RS00285	DR097_RS02600
OG0000338	FEF30_RS00325	DR097_RS03540
OG0000339	FEF30_RS02710	DR097_RS02100
OG0000340	FEF30_RS01625	DR097_RS01715
OG0000341	FEF30_RS02665	DR097_RS03025
OG0000342	FEF30_RS01040	DR097_RS01090
OG0000343	FEF30_RS03480	DR097_RS01390
OG0000344	FEF30_RS00885	DR097_RS02355
OG0000345	FEF30_RS01330	DR097_RS02270
OG0000346	FEF30_RS00125	DR097_RS04870
OG0000347	FEF30_RS01720	DR097_RS01625
OG0000348	FEF30_RS01115	DR097_RS01015
OG0000349	FEF30_RS04150	DR097_RS04535
OG0000350	FEF30_RS03135	DR097_RS01780
OG0000351	FEF30_RS00805	DR097_RS03225
OG0000352	FEF30_RS02315	DR097_RS00835
OG0000353	FEF30_RS01690	DR097_RS01655
OG0000354	FEF30_RS00950	DR097_RS03065
OG0000355	FEF30_RS04310	DR097_RS04600
OG0000356	FEF30_RS04315	DR097_RS04595
OG0000357	FEF30_RS04390	DR097_RS04635
OG0000358	FEF30_RS03445	DR097_RS01425
OG0000359	FEF30_RS04215	DR097_RS04620
OG0000360	FEF30_RS00590	DR097_RS00155
OG0000361	FEF30_RS00620	DR097_RS00125
OG0000362	FEF30_RS02920	DR097_RS02655
OG0000363	FEF30_RS01760	DR097_RS04660
OG0000364	FEF30_RS02275	DR097_RS00890
OG0000365	FEF30_RS04335	DR097_RS04570
OG0000366	FEF30_RS02440	DR097_RS02870
OG0000367	FEF30_RS02450	DR097_RS02860
OG0000368	FEF30_RS00390	DR097_RS02770
OG0000369	FEF30_RS04170	DR097_RS04750
OG0000370	FEF30_RS00350	DR097_RS02810
OG0000371	FEF30_RS00345	DR097_RS02815
OG0000372	FEF30_RS00340	DR097_RS02820
OG0000373	FEF30_RS00315	DR097_RS02570
OG0000374	FEF30_RS00305	DR097_RS02580
OG0000375	FEF30_RS02600	DR097_RS02720
OG0000376	FEF30_RS02750	DR097_RS02145
OG0000377	FEF30_RS02740	DR097_RS02135
OG0000378	FEF30_RS01605	DR097_RS00325
OG0000379	FEF30_RS01685	DR097_RS01660
OG0000380	FEF30_RS01710	DR097_RS01635
OG0000381	FEF30_RS01750	DR097_RS01595
OG0000382	FEF30_RS01780	DR097_RS03350
OG0000383	FEF30_RS01820	DR097_RS03310
OG0000384	FEF30_RS00825	DR097_RS03605
OG0000385	FEF30_RS00830	DR097_RS02090
OG0000386	FEF30_RS00850	DR097_RS02390
OG0000387	FEF30_RS00875	DR097_RS02365
OG0000388	FEF30_RS04205	DR097_RS04710
OG0000389	FEF30_RS00930	DR097_RS03085
OG0000390	FEF30_RS03280	DR097_RS01225
OG0000391	FEF30_RS03270	DR097_RS01215
OG0000392	FEF30_RS03245	DR097_RS01190
OG0000393	FEF30_RS04380	DR097_RS04670
OG0000394	FEF30_RS03110	DR097_RS01805
OG0000395	FEF30_RS03105	DR097_RS01810
OG0000396	FEF30_RS02800	DR097_RS01980
OG0000397	FEF30_RS02300	DR097_RS00850
OG0000398	FEF30_RS02305	DR097_RS00845
OG0000399	FEF30_RS02350	DR097_RS00800
OG0000400	FEF30_RS03405	DR097_RS01465
OG0000401	FEF30_RS03465	DR097_RS01405
OG0000402	FEF30_RS03475	DR097_RS01395
OG0000403	FEF30_RS03485	DR097_RS01385
OG0000404	FEF30_RS03510	DR097_RS01355
OG0000405	FEF30_RS04480	DR097_RS01340
OG0000406	FEF30_RS03580	DR097_RS03165
OG0000407	FEF30_RS04400	DR097_RS04810
OG0000408	FEF30_RS03590	DR097_RS03175
OG0000410	FEF30_RS00030	DR097_RS02970
OG0000411	FEF30_RS00020	DR097_RS02980
OG0000412	FEF30_RS00015	DR097_RS02985
OG0000413	FEF30_RS01835	DR097_RS02935
OG0000414	FEF30_RS01845	DR097_RS02925
OG0000415	FEF30_RS01850	DR097_RS02920
OG0000416	FEF30_RS01860	DR097_RS02910
OG0000417	FEF30_RS02660	DR097_RS03020
OG0000418	FEF30_RS02655	DR097_RS03015
OG0000419	FEF30_RS01020	DR097_RS01110
OG0000420	FEF30_RS01055	DR097_RS01075
OG0000421	FEF30_RS01090	DR097_RS01040
OG0000422	FEF30_RS01100	DR097_RS01030
OG0000423	FEF30_RS01155	DR097_RS00975
OG0000424	FEF30_RS01160	DR097_RS00970
OG0000425	FEF30_RS01170	DR097_RS00960
OG0000426	FEF30_RS04220	DR097_RS04615
OG0000427	FEF30_RS04225	DR097_RS04610
OG0000428	FEF30_RS01225	DR097_RS00905
OG0000429	FEF30_RS01320	DR097_RS02260
OG0000430	FEF30_RS01365	DR097_RS02305
OG0000431	FEF30_RS01375	DR097_RS02315
OG0000432	FEF30_RS01410	DR097_RS00525
OG0000433	FEF30_RS01425	DR097_RS00510
OG0000434	FEF30_RS01430	DR097_RS00505
OG0000435	FEF30_RS01445	DR097_RS00490
OG0000436	FEF30_RS01470	DR097_RS00460
OG0000437	FEF30_RS01480	DR097_RS00450
OG0000438	FEF30_RS01485	DR097_RS00445
OG0000439	FEF30_RS04235	DR097_RS04525
OG0000440	FEF30_RS03330	DR097_RS04630
OG0000441	FEF30_RS03370	DR097_RS03780
OG0000442	FEF30_RS00460	DR097_RS00295
OG0000443	FEF30_RS00505	DR097_RS00245
OG0000444	FEF30_RS00520	DR097_RS00230
OG0000445	FEF30_RS00545	DR097_RS00205
OG0000446	FEF30_RS00570	DR097_RS00175
OG0000447	FEF30_RS00575	DR097_RS00170
OG0000448	FEF30_RS00605	DR097_RS00140
OG0000449	FEF30_RS00630	DR097_RS00115
OG0000450	FEF30_RS00640	DR097_RS00105
OG0000451	FEF30_RS00680	DR097_RS00065
OG0000452	FEF30_RS00705	DR097_RS00040
OG0000455	FEF30_RS00230	DR097_RS00565
OG0000456	FEF30_RS00110	DR097_RS00685
OG0000457	FEF30_RS00085	DR097_RS00710
OG0000458	FEF30_RS02890	DR097_RS02685
OG0000459	FEF30_RS02915	DR097_RS02660
OG0000460	FEF30_RS02925	DR097_RS02650
OG0000461	FEF30_RS02970	DR097_RS03195
OG0000462	FEF30_RS02965	DR097_RS03190
OG0000463	FEF30_RS02960	DR097_RS03185
OG0000464	FEF30_RS02955	DR097_RS02620
OG0000465	FEF30_RS02950	DR097_RS02625
OG0000466	FEF30_RS00710	DR097_RS00035
OG0000467	FEF30_RS04360	DR097_RS04655
OG0000468	FEF30_RS02345	DR097_RS00805
OG0000469	FEF30_RS02405	DR097_RS00745
OG0000470	FEF30_RS01150	DR097_RS03815
OG0000472	FEF30_RS00040	DR097_RS02945
OG0000473	FEF30_RS00215	DR097_RS00580
OG0000474	FEF30_RS00220	DR097_RS00575
OG0000475	FEF30_RS00225	DR097_RS00570
OG0000476	FEF30_RS01870	DR097_RS02900
OG0000477	FEF30_RS02995	DR097_RS03795
OG0000478	FEF30_RS00160	DR097_RS00635
OG0000479	FEF30_RS01640	DR097_RS01700
OG0000480	FEF30_RS02410	DR097_RS03810
OG0000481	FEF30_RS01125	DR097_RS01005
OG0000482	FEF30_RS01520	DR097_RS00410
OG0000483	FEF30_RS02455	DR097_RS02855
OG0000484	FEF30_RS04190	DR097_RS04505
OG0000485	FEF30_RS01475	DR097_RS00455
OG0000486	FEF30_RS02680	DR097_RS03040
OG0000487	FEF30_RS04325	DR097_RS04585
OG0000489	FEF30_RS00380	DR097_RS02780
OG0000490	FEF30_RS00320	DR097_RS03535
OG0000491	FEF30_RS01660	DR097_RS01680
OG0000492	FEF30_RS01740	DR097_RS01605
OG0000493	FEF30_RS00890	DR097_RS02350
OG0000494	FEF30_RS00955	DR097_RS03060
OG0000495	FEF30_RS03215	DR097_RS01160
OG0000496	FEF30_RS03205	DR097_RS01150
OG0000497	FEF30_RS03200	DR097_RS01720
OG0000498	FEF30_RS03115	DR097_RS01800
OG0000499	FEF30_RS03080	DR097_RS01500
OG0000500	FEF30_RS02310	DR097_RS00840
OG0000502	FEF30_RS01510	DR097_RS00420
OG0000503	FEF30_RS01070	DR097_RS01060
OG0000504	FEF30_RS01205	DR097_RS00925
OG0000505	FEF30_RS01240	DR097_RS02180
OG0000506	FEF30_RS01250	DR097_RS02190
OG0000507	FEF30_RS01285	DR097_RS02225
OG0000508	FEF30_RS00565	DR097_RS00180
OG0000509	FEF30_RS00600	DR097_RS00145
OG0000510	FEF30_RS00610	DR097_RS00135
OG0000511	FEF30_RS00745	DR097_RS03290
OG0000512	FEF30_RS02930	DR097_RS02645
OG0000513	FEF30_RS00145	DR097_RS00650
OG0000514	FEF30_RS03240	DR097_RS01185
OG0000515	FEF30_RS01895, FEF30_RS01890	DR097_RS04270
OG0000515	FEF30_RS01885	DR097_RS04275
OG0000516	FEF30_RS04330	DR097_RS04580
OG0000518	FEF30_RS03455	DR097_RS01415
OG0000519	FEF30_RS01095	DR097_RS01035
OG0000520	FEF30_RS01220	DR097_RS00910
OG0000521	FEF30_RS00580	DR097_RS00165
OG0000522	FEF30_RS00615	DR097_RS00130
OG0000523	FEF30_RS00080	DR097_RS00715
OG0000524	FEF30_RS03045	DR097_RS01530
OG0000525	FEF30_RS04105	DR097_RS04770
OG0000526	FEF30_RS02235	DR097_RS04225, DR097_RS04230
OG0000527	FEF30_RS02175	DR097_RS04395
OG0000528	FEF30_RS02395	DR097_RS04575
OG0000529	FEF30_RS02615	DR097_RS02735
OG0000530	FEF30_RS02720	DR097_RS02115
OG0000531	FEF30_RS01715	DR097_RS01630
OG0000532	FEF30_RS01945	DR097_RS03520
OG0000533	FEF30_RS00915	DR097_RS03360
OG0000534	FEF30_RS00695	DR097_RS00050
OG0000535	FEF30_RS04175	DR097_RS04745
OG0000536	FEF30_RS00260	DR097_RS03385
OG0000537	FEF30_RS01035	DR097_RS01095
OG0000538	FEF30_RS01435	DR097_RS00500
OG0000539	FEF30_RS00530	DR097_RS00220
OG0000540	FEF30_RS03015	DR097_RS01560
OG0000541	FEF30_RS03095	DR097_RS01485
OG0000542	FEF30_RS00665	DR097_RS00080
