Orthogroup	MHP_UFV01_genes	MFC_MF18_genes
OG0000145	FEF30_RS03265	DR082_RS00725
OG0000146	FEF30_RS03255	DR082_RS00735
OG0000147	FEF30_RS03250	DR082_RS00740
OG0000148	FEF30_RS03235	DR082_RS00755
OG0000149	FEF30_RS03225	DR082_RS00765
OG0000150	FEF30_RS03210	DR082_RS00780
OG0000151	FEF30_RS03160	DR082_RS00840
OG0000152	FEF30_RS03155	DR082_RS00845
OG0000153	FEF30_RS03150	DR082_RS00850
OG0000154	FEF30_RS03140	DR082_RS00860
OG0000155	FEF30_RS03100	DR082_RS00880
OG0000156	FEF30_RS03090	DR082_RS00895
OG0000157	FEF30_RS04375	DR082_RS03695
OG0000158	FEF30_RS04370	DR082_RS03700
OG0000159	FEF30_RS02835	DR082_RS01145
OG0000160	FEF30_RS02830	DR082_RS01150
OG0000161	FEF30_RS02825	DR082_RS01155
OG0000162	FEF30_RS02815	DR082_RS01165
OG0000163	FEF30_RS02810	DR082_RS01170
OG0000164	FEF30_RS01925	DR082_RS03710
OG0000165	FEF30_RS02320	DR082_RS02620
OG0000166	FEF30_RS02340	DR082_RS02640
OG0000167	FEF30_RS02355	DR082_RS02655
OG0000168	FEF30_RS02360	DR082_RS02660
OG0000169	FEF30_RS03395	DR082_RS01635
OG0000170	FEF30_RS04475	DR082_RS01670
OG0000171	FEF30_RS03420	DR082_RS01680
OG0000172	FEF30_RS03425	DR082_RS01685
OG0000173	FEF30_RS03430	DR082_RS01690
OG0000174	FEF30_RS03435	DR082_RS01695
OG0000175	FEF30_RS03450	DR082_RS01710
OG0000176	FEF30_RS03495	DR082_RS01750
OG0000177	FEF30_RS03500	DR082_RS01755
OG0000178	FEF30_RS03505	DR082_RS01760
OG0000179	FEF30_RS03515	DR082_RS01770
OG0000180	FEF30_RS03520	DR082_RS01775
OG0000181	FEF30_RS04395	DR082_RS03760
OG0000182	FEF30_RS03570	DR082_RS01800
OG0000183	FEF30_RS03605	DR082_RS01835
OG0000184	FEF30_RS00025	DR082_RS02940
OG0000185	FEF30_RS00010	DR082_RS02925
OG0000186	FEF30_RS04275	DR082_RS02095
OG0000187	FEF30_RS01855	DR082_RS02110
OG0000188	FEF30_RS01865	DR082_RS02120
OG0000189	FEF30_RS04355	DR082_RS03800
OG0000190	FEF30_RS02670	DR082_RS02135
OG0000191	FEF30_RS02650	DR082_RS02155
OG0000192	FEF30_RS01530	DR082_RS02165
OG0000193	FEF30_RS01515	DR082_RS02180
OG0000194	FEF30_RS01000	DR082_RS02190
OG0000195	FEF30_RS01005	DR082_RS02195
OG0000196	FEF30_RS01025	DR082_RS03805
OG0000197	FEF30_RS01030	DR082_RS02220
OG0000198	FEF30_RS01045	DR082_RS02235
OG0000199	FEF30_RS01050	DR082_RS02240
OG0000200	FEF30_RS01065	DR082_RS02255
OG0000201	FEF30_RS01075	DR082_RS02265
OG0000202	FEF30_RS01130	DR082_RS02320
OG0000203	FEF30_RS01135	DR082_RS02325
OG0000204	FEF30_RS01140	DR082_RS01220
OG0000205	FEF30_RS01145	DR082_RS01225
OG0000206	FEF30_RS01165	DR082_RS01245
OG0000207	FEF30_RS01180	DR082_RS01260
OG0000208	FEF30_RS01185	DR082_RS01265
OG0000209	FEF30_RS01190	DR082_RS01270
OG0000210	FEF30_RS01235	DR082_RS01315
OG0000211	FEF30_RS01245	DR082_RS01325
OG0000212	FEF30_RS01255	DR082_RS01335
OG0000213	FEF30_RS01260	DR082_RS01340
OG0000214	FEF30_RS01265	DR082_RS01345
OG0000215	FEF30_RS01270	DR082_RS01350
OG0000216	FEF30_RS01275	DR082_RS01355
OG0000217	FEF30_RS01280	DR082_RS01360
OG0000218	FEF30_RS01290	DR082_RS03735
OG0000219	FEF30_RS01295	DR082_RS01375
OG0000220	FEF30_RS01300	DR082_RS01380
OG0000221	FEF30_RS01305	DR082_RS01385
OG0000222	FEF30_RS01310	DR082_RS01390
OG0000223	FEF30_RS01315	DR082_RS01395
OG0000224	FEF30_RS01325	DR082_RS01405
OG0000225	FEF30_RS01335	DR082_RS01415
OG0000226	FEF30_RS01340	DR082_RS01420
OG0000227	FEF30_RS01345	DR082_RS01425
OG0000228	FEF30_RS04410	DR082_RS03975
OG0000229	FEF30_RS01355	DR082_RS01435
OG0000230	FEF30_RS01360	DR082_RS01440
OG0000231	FEF30_RS01370	DR082_RS01450
OG0000232	FEF30_RS01380	DR082_RS01460
OG0000233	FEF30_RS01405	DR082_RS01470
OG0000234	FEF30_RS01440	DR082_RS01500
OG0000235	FEF30_RS01450	DR082_RS01510
OG0000236	FEF30_RS01455	DR082_RS01515
OG0000237	FEF30_RS01460	DR082_RS01535
OG0000238	FEF30_RS01465	DR082_RS01540
OG0000239	FEF30_RS03320	DR082_RS01570
OG0000240	FEF30_RS03325	DR082_RS01575
OG0000241	FEF30_RS03335	DR082_RS01585
OG0000242	FEF30_RS03340	DR082_RS01590
OG0000243	FEF30_RS03345	DR082_RS01595
OG0000244	FEF30_RS03355	DR082_RS01605
OG0000245	FEF30_RS03365	DR082_RS01615
OG0000246	FEF30_RS00455	DR082_RS00145
OG0000247	FEF30_RS00465	DR082_RS00155
OG0000248	FEF30_RS00475	DR082_RS00180
OG0000249	FEF30_RS03675, FEF30_RS00480	DR082_RS00185
OG0000250	FEF30_RS00495	DR082_RS00200
OG0000251	FEF30_RS00525	DR082_RS00230
OG0000252	FEF30_RS00535	DR082_RS00240
OG0000253	FEF30_RS00540	DR082_RS00245
OG0000254	FEF30_RS00550	DR082_RS00255
OG0000255	FEF30_RS00555	DR082_RS00260
OG0000256	FEF30_RS00560	DR082_RS00265
OG0000257	FEF30_RS00585	DR082_RS00290
OG0000258	FEF30_RS00595	DR082_RS00300
OG0000259	FEF30_RS00625	DR082_RS00330
OG0000260	FEF30_RS00635	DR082_RS00340
OG0000261	FEF30_RS04195	DR082_RS03670
OG0000262	FEF30_RS00660	DR082_RS00365
OG0000263	FEF30_RS00675	DR082_RS00380
OG0000264	FEF30_RS00690	DR082_RS00395
OG0000265	FEF30_RS00700	DR082_RS00405
OG0000266	FEF30_RS00715	DR082_RS00420
OG0000267	FEF30_RS00730	DR082_RS00435
OG0000268	FEF30_RS00735	DR082_RS00440
OG0000269	FEF30_RS00750	DR082_RS00455
OG0000270	FEF30_RS04155	DR082_RS03820
OG0000271	FEF30_RS00205	DR082_RS02340
OG0000272	FEF30_RS00200	DR082_RS02335
OG0000273	FEF30_RS00195	DR082_RS02330
OG0000274	FEF30_RS00175	DR082_RS02460
OG0000275	FEF30_RS04145	DR082_RS03850
OG0000276	FEF30_RS00165	DR082_RS02470
OG0000277	FEF30_RS00155	DR082_RS03855
OG0000278	FEF30_RS00150	DR082_RS02485
OG0000279	FEF30_RS00140	DR082_RS02495
OG0000280	FEF30_RS00135	DR082_RS02500
OG0000281	FEF30_RS00130	DR082_RS02505
OG0000282	FEF30_RS04135	DR082_RS02530
OG0000283	FEF30_RS00100	DR082_RS02535
OG0000284	FEF30_RS00095	DR082_RS02540
OG0000285	FEF30_RS04130	DR082_RS03870
OG0000286	FEF30_RS02795	DR082_RS01100
OG0000287	FEF30_RS02895	DR082_RS01075
OG0000288	FEF30_RS02905	DR082_RS01065
OG0000289	FEF30_RS02910	DR082_RS01060
OG0000290	FEF30_RS03020	DR082_RS03275
OG0000291	FEF30_RS03010	DR082_RS00960
OG0000292	FEF30_RS03005	DR082_RS00965
OG0000293	FEF30_RS03000	DR082_RS00970
OG0000294	FEF30_RS02990	DR082_RS00980
OG0000295	FEF30_RS02985	DR082_RS00985
OG0000296	FEF30_RS02945	DR082_RS01025
OG0000297	FEF30_RS02940	DR082_RS01030
OG0000298	FEF30_RS00490	DR082_RS00195
OG0000299	FEF30_RS00510	DR082_RS00215
OG0000300	FEF30_RS00685	DR082_RS00390
OG0000301	FEF30_RS00720	DR082_RS00425
OG0000302	FEF30_RS00725	DR082_RS00430
OG0000303	FEF30_RS00870	DR082_RS00565
OG0000304	FEF30_RS01385	DR082_RS00600
OG0000305	FEF30_RS03260	DR082_RS00730
OG0000306	FEF30_RS03185	DR082_RS00810
OG0000307	FEF30_RS03145	DR082_RS00855
OG0000308	FEF30_RS03040	DR082_RS00940
OG0000309	FEF30_RS02975	DR082_RS00995
OG0000310	FEF30_RS02900	DR082_RS01070
OG0000311	FEF30_RS02855	DR082_RS01120
OG0000312	FEF30_RS02840	DR082_RS01140
OG0000313	FEF30_RS01915	DR082_RS01190
OG0000314	FEF30_RS02335	DR082_RS02635
OG0000315	FEF30_RS02365	DR082_RS02665
OG0000316	FEF30_RS02375	DR082_RS02675
OG0000317	FEF30_RS02470	DR082_RS02740
OG0000318	FEF30_RS04320	DR082_RS03940
OG0000319	FEF30_RS02605	DR082_RS01885
OG0000320	FEF30_RS02735	DR082_RS01950
OG0000321	FEF30_RS01645	DR082_RS02015
OG0000322	FEF30_RS01695	DR082_RS02060
OG0000323	FEF30_RS01825	DR082_RS02765
OG0000324	FEF30_RS02645	DR082_RS02160
OG0000325	FEF30_RS01010	DR082_RS02200
OG0000326	FEF30_RS01105	DR082_RS02295
OG0000327	FEF30_RS01110	DR082_RS02300
OG0000328	FEF30_RS01195	DR082_RS01275
OG0000329	FEF30_RS01215	DR082_RS01295
OG0000330	FEF30_RS01415	DR082_RS01480
OG0000331	FEF30_RS03350	DR082_RS01600
OG0000332	FEF30_RS03460	DR082_RS01720
OG0000333	FEF30_RS03470	DR082_RS01730
OG0000334	FEF30_RS03565	DR082_RS01795
OG0000335	FEF30_RS03575	DR082_RS03765
OG0000336	FEF30_RS04140	DR082_RS03865
OG0000337	FEF30_RS00285	DR082_RS00015
OG0000338	FEF30_RS00325	DR082_RS00055
OG0000339	FEF30_RS02710	DR082_RS01970
OG0000340	FEF30_RS01625	DR082_RS01995
OG0000341	FEF30_RS02665	DR082_RS02140
OG0000342	FEF30_RS01040	DR082_RS02230
OG0000343	FEF30_RS03480	DR082_RS01740
OG0000344	FEF30_RS00885	DR082_RS00580
OG0000345	FEF30_RS01330	DR082_RS01410
OG0000346	FEF30_RS00125	DR082_RS03860
OG0000347	FEF30_RS01720	DR082_RS02875
OG0000348	FEF30_RS01115	DR082_RS03815
OG0000349	FEF30_RS04150	DR082_RS02450
OG0000350	FEF30_RS03135	DR082_RS00815
OG0000351	FEF30_RS00805	DR082_RS00515
OG0000352	FEF30_RS02315	DR082_RS02615
OG0000353	FEF30_RS01690	DR082_RS02055
OG0000354	FEF30_RS00950	DR082_RS00630
OG0000355	FEF30_RS04310	DR082_RS03715
OG0000356	FEF30_RS04315	DR082_RS03900
OG0000357	FEF30_RS04390	DR082_RS03750
OG0000358	FEF30_RS03445	DR082_RS01705
OG0000359	FEF30_RS04215	DR082_RS03810
OG0000360	FEF30_RS00590	DR082_RS00295
OG0000361	FEF30_RS00620	DR082_RS00325
OG0000362	FEF30_RS02920	DR082_RS01050
OG0000363	FEF30_RS01760	DR082_RS03985
OG0000365	FEF30_RS04335	DR082_RS03955
OG0000366	FEF30_RS02440	DR082_RS02710
OG0000367	FEF30_RS02450	DR082_RS02720
OG0000368	FEF30_RS00390	DR082_RS00120
OG0000369	FEF30_RS04170	DR082_RS03655
OG0000370	FEF30_RS00350	DR082_RS00080
OG0000371	FEF30_RS00345	DR082_RS00075
OG0000372	FEF30_RS00340	DR082_RS00070
OG0000373	FEF30_RS00315	DR082_RS00045
OG0000374	FEF30_RS00305	DR082_RS00035
OG0000375	FEF30_RS02600	DR082_RS01880
OG0000376	FEF30_RS02750	DR082_RS01935
OG0000377	FEF30_RS02740	DR082_RS01945
OG0000378	FEF30_RS01605	DR082_RS01980
OG0000379	FEF30_RS01685	DR082_RS02050
OG0000381	FEF30_RS01750	DR082_RS02845
OG0000382	FEF30_RS01780	DR082_RS02810
OG0000383	FEF30_RS01820	DR082_RS02770
OG0000384	FEF30_RS00825	DR082_RS00520
OG0000385	FEF30_RS00830	DR082_RS00525
OG0000386	FEF30_RS00850	DR082_RS00545
OG0000387	FEF30_RS00875	DR082_RS00570
OG0000388	FEF30_RS04205	DR082_RS03680
OG0000389	FEF30_RS00930	DR082_RS00610
OG0000390	FEF30_RS03280	DR082_RS00710
OG0000391	FEF30_RS03270	DR082_RS00720
OG0000392	FEF30_RS03245	DR082_RS00745
OG0000393	FEF30_RS04380	DR082_RS00800
OG0000394	FEF30_RS03110	DR082_RS00870
OG0000395	FEF30_RS03105	DR082_RS00875
OG0000396	FEF30_RS02800	DR082_RS01180
OG0000397	FEF30_RS02300	DR082_RS02600
OG0000398	FEF30_RS02305	DR082_RS02605
OG0000399	FEF30_RS02350	DR082_RS02650
OG0000400	FEF30_RS03405	DR082_RS01665
OG0000401	FEF30_RS03465	DR082_RS01725
OG0000402	FEF30_RS03475	DR082_RS01735
OG0000403	FEF30_RS03485	DR082_RS01745
OG0000404	FEF30_RS03510	DR082_RS03755
OG0000405	FEF30_RS04480	DR082_RS01780
OG0000406	FEF30_RS03580	DR082_RS01810
OG0000407	FEF30_RS04400	DR082_RS03770
OG0000408	FEF30_RS03590	DR082_RS01820
OG0000409	FEF30_RS03595	DR082_RS01825
OG0000410	FEF30_RS00030	DR082_RS02945
OG0000411	FEF30_RS00020	DR082_RS02935
OG0000412	FEF30_RS00015	DR082_RS02930
OG0000413	FEF30_RS01835	DR082_RS02090
OG0000414	FEF30_RS01845	DR082_RS02100
OG0000415	FEF30_RS01850	DR082_RS02105
OG0000416	FEF30_RS01860	DR082_RS02115
OG0000417	FEF30_RS02660	DR082_RS02145
OG0000418	FEF30_RS02655	DR082_RS02150
OG0000419	FEF30_RS01020	DR082_RS02210
OG0000420	FEF30_RS01055	DR082_RS02245
OG0000421	FEF30_RS01090	DR082_RS02280
OG0000422	FEF30_RS01100	DR082_RS02290
OG0000423	FEF30_RS01155	DR082_RS01235
OG0000424	FEF30_RS01160	DR082_RS01240
OG0000425	FEF30_RS01170	DR082_RS01250
OG0000426	FEF30_RS04220	DR082_RS03720
OG0000427	FEF30_RS04225	DR082_RS03725
OG0000428	FEF30_RS01225	DR082_RS01305
OG0000429	FEF30_RS01320	DR082_RS01400
OG0000430	FEF30_RS01365	DR082_RS01445
OG0000431	FEF30_RS01375	DR082_RS01455
OG0000432	FEF30_RS01410	DR082_RS01475
OG0000433	FEF30_RS01425	DR082_RS01485
OG0000434	FEF30_RS01430	DR082_RS01490
OG0000435	FEF30_RS01445	DR082_RS01505
OG0000436	FEF30_RS01470	DR082_RS01545
OG0000437	FEF30_RS01480	DR082_RS01555
OG0000438	FEF30_RS01485	DR082_RS03740
OG0000439	FEF30_RS04235	DR082_RS01565
OG0000440	FEF30_RS03330	DR082_RS01580
OG0000441	FEF30_RS03370	DR082_RS01620
OG0000442	FEF30_RS00460	DR082_RS00150
OG0000443	FEF30_RS00505	DR082_RS00210
OG0000444	FEF30_RS00520	DR082_RS00225
OG0000445	FEF30_RS00545	DR082_RS00250
OG0000446	FEF30_RS00570	DR082_RS00275
OG0000447	FEF30_RS00575	DR082_RS00280
OG0000448	FEF30_RS00605	DR082_RS00310
OG0000449	FEF30_RS00630	DR082_RS00335
OG0000450	FEF30_RS00640	DR082_RS00345
OG0000451	FEF30_RS00680	DR082_RS00385
OG0000452	FEF30_RS00705	DR082_RS00410
OG0000453	FEF30_RS00740	DR082_RS00445
OG0000455	FEF30_RS00230	DR082_RS03825
OG0000456	FEF30_RS00110	DR082_RS02525
OG0000457	FEF30_RS00085	DR082_RS02550
OG0000458	FEF30_RS02890	DR082_RS01080
OG0000459	FEF30_RS02915	DR082_RS01055
OG0000460	FEF30_RS02925	DR082_RS01045
OG0000461	FEF30_RS02970	DR082_RS01000
OG0000462	FEF30_RS02965	DR082_RS01005
OG0000463	FEF30_RS02960	DR082_RS01010
OG0000464	FEF30_RS02955	DR082_RS01015
OG0000465	FEF30_RS02950	DR082_RS01020
OG0000466	FEF30_RS00710	DR082_RS00415
OG0000467	FEF30_RS04360	DR082_RS03705
OG0000468	FEF30_RS02345	DR082_RS02645
OG0000469	FEF30_RS02405	DR082_RS02985
OG0000470	FEF30_RS01150	DR082_RS01230
OG0000471	FEF30_RS01230	DR082_RS01310
OG0000472	FEF30_RS00040	DR082_RS02585
OG0000473	FEF30_RS00215	DR082_RS02350
OG0000474	FEF30_RS00220	DR082_RS02355
OG0000475	FEF30_RS00225	DR082_RS02360
OG0000476	FEF30_RS01870	DR082_RS02400
OG0000477	FEF30_RS02995	DR082_RS00975
OG0000478	FEF30_RS00160	DR082_RS02475
OG0000479	FEF30_RS01640	DR082_RS02010
OG0000480	FEF30_RS02410	DR082_RS03145
OG0000481	FEF30_RS01125	DR082_RS02315
OG0000482	FEF30_RS01520	DR082_RS02175
OG0000483	FEF30_RS02455	DR082_RS02725
OG0000484	FEF30_RS04190	DR082_RS03665
OG0000485	FEF30_RS01475	DR082_RS01550
OG0000486	FEF30_RS02680	DR082_RS02125
OG0000487	FEF30_RS04325	DR082_RS03945
OG0000488	FEF30_RS02425	DR082_RS02695
OG0000489	FEF30_RS00380	DR082_RS00110
OG0000490	FEF30_RS00320	DR082_RS00050
OG0000491	FEF30_RS01660	DR082_RS02030
OG0000492	FEF30_RS01740	DR082_RS02855
OG0000493	FEF30_RS00890	DR082_RS00585
OG0000494	FEF30_RS00955	DR082_RS00635
OG0000495	FEF30_RS03215	DR082_RS00775
OG0000496	FEF30_RS03205	DR082_RS00785
OG0000497	FEF30_RS03200	DR082_RS00790
OG0000498	FEF30_RS03115	DR082_RS00865
OG0000499	FEF30_RS03080	DR082_RS00905
OG0000500	FEF30_RS02310	DR082_RS02610
OG0000502	FEF30_RS01510	DR082_RS02185
OG0000503	FEF30_RS01070	DR082_RS02260
OG0000504	FEF30_RS01205	DR082_RS01285
OG0000505	FEF30_RS01240	DR082_RS01320
OG0000506	FEF30_RS01250	DR082_RS01330
OG0000507	FEF30_RS01285	DR082_RS01365
OG0000508	FEF30_RS00565	DR082_RS00270
OG0000509	FEF30_RS00600	DR082_RS00305
OG0000510	FEF30_RS00610	DR082_RS00315
OG0000511	FEF30_RS00745	DR082_RS00450
OG0000512	FEF30_RS02930	DR082_RS01040
OG0000513	FEF30_RS00145	DR082_RS02490
OG0000514	FEF30_RS03240	DR082_RS00750
OG0000516	FEF30_RS04330	DR082_RS02960
OG0000517	FEF30_RS00395	DR082_RS00125
OG0000518	FEF30_RS03455	DR082_RS01715
OG0000519	FEF30_RS01095	DR082_RS02285
OG0000520	FEF30_RS01220	DR082_RS01300
OG0000521	FEF30_RS00580	DR082_RS00285
OG0000522	FEF30_RS00615	DR082_RS00320
OG0000523	FEF30_RS00080	DR082_RS02555
OG0000524	FEF30_RS03045	DR082_RS00935
OG0000525	FEF30_RS04105	DR082_RS03885
OG0000528	FEF30_RS02395	DR082_RS02970
OG0000529	FEF30_RS02615	DR082_RS01895
OG0000530	FEF30_RS02720	DR082_RS01960
OG0000531	FEF30_RS01715	DR082_RS03140
OG0000533	FEF30_RS00915	DR082_RS01465
OG0000534	FEF30_RS00695	DR082_RS00400
OG0000535	FEF30_RS04175	DR082_RS00105
OG0000536	FEF30_RS00260	DR082_RS02425
OG0000537	FEF30_RS01035	DR082_RS02225
OG0000538	FEF30_RS01435	DR082_RS01495
OG0000539	FEF30_RS00530	DR082_RS00235
OG0000541	FEF30_RS03095	DR082_RS00890
OG0000542	FEF30_RS00665	DR082_RS00370
OG0000547	FEF30_RS03290	DR082_RS00700
OG0000548	FEF30_RS01910	DR082_RS01185
OG0000549	FEF30_RS04100	DR082_RS03890
OG0000550	FEF30_RS00180	DR082_RS02455
OG0000551	FEF30_RS03360	DR082_RS01610
OG0000555	FEF30_RS03295	DR082_RS03245
OG0000589	FEF30_RS02520	DR082_RS02910
OG0000595	FEF30_RS04470	DR082_RS01655
OG0000596	FEF30_RS02140	DR082_RS00170
OG0000597	FEF30_RS03375	DR082_RS01645
OG0000598	FEF30_RS02145	DR082_RS00165
OG0000599	FEF30_RS02150	DR082_RS00160
OG0000602	FEF30_RS02420	DR082_RS02690
