Orthogroup	MHP_UFV01_genes	MHP_UFV02_genes
OG0000109	FEF30_RS02640	FEF31_RS02005
OG0000110	FEF30_RS02760	FEF31_RS02120
OG0000111	FEF30_RS02755	FEF31_RS02115
OG0000112	FEF30_RS02745	FEF31_RS02105
OG0000113	FEF30_RS02725	FEF31_RS02085
OG0000114	FEF30_RS02715	FEF31_RS02075
OG0000115	FEF30_RS02705	FEF31_RS02065
OG0000116	FEF30_RS01610	FEF31_RS00955
OG0000117	FEF30_RS01615	FEF31_RS00960
OG0000118	FEF30_RS01650	FEF31_RS00995
OG0000119	FEF30_RS01655	FEF31_RS01000
OG0000120	FEF30_RS01675	FEF31_RS01020
OG0000121	FEF30_RS01700	FEF31_RS01045
OG0000122	FEF30_RS01705	FEF31_RS01050
OG0000123	FEF30_RS01725	FEF31_RS01070
OG0000124	FEF30_RS01730	FEF31_RS01075
OG0000125	FEF30_RS01735	FEF31_RS01080
OG0000126	FEF30_RS01745	FEF31_RS01090
OG0000127	FEF30_RS01755	FEF31_RS01100
OG0000128	FEF30_RS01770	FEF31_RS01115
OG0000129	FEF30_RS01775	FEF31_RS01120
OG0000130	FEF30_RS01785	FEF31_RS01130
OG0000131	FEF30_RS04265	FEF31_RS01160
OG0000132	FEF30_RS04270	FEF31_RS04430
OG0000133	FEF30_RS00840	FEF31_RS00190
OG0000134	FEF30_RS00845	FEF31_RS00195
OG0000135	FEF30_RS00860	FEF31_RS00210
OG0000136	FEF30_RS00865	FEF31_RS00215
OG0000137	FEF30_RS00905	FEF31_RS00245
OG0000138	FEF30_RS00935	FEF31_RS00280
OG0000139	FEF30_RS00965	FEF31_RS00310
OG0000140	FEF30_RS00970	FEF31_RS00315
OG0000141	FEF30_RS03310	FEF31_RS02670
OG0000142	FEF30_RS04385	FEF31_RS04555
OG0000143	FEF30_RS03285	FEF31_RS02645
OG0000144	FEF30_RS03275	FEF31_RS02635
OG0000145	FEF30_RS03265	FEF31_RS02625
OG0000146	FEF30_RS03255	FEF31_RS02615
OG0000147	FEF30_RS03250	FEF31_RS02610
OG0000148	FEF30_RS03235	FEF31_RS02595
OG0000149	FEF30_RS03225	FEF31_RS02585
OG0000150	FEF30_RS03210	FEF31_RS02570
OG0000151	FEF30_RS03160	FEF31_RS02525
OG0000152	FEF30_RS03155	FEF31_RS02520
OG0000153	FEF30_RS03150	FEF31_RS02515
OG0000154	FEF30_RS03140	FEF31_RS02505
OG0000155	FEF30_RS03100	FEF31_RS02465
OG0000156	FEF30_RS03090	FEF31_RS02455
OG0000157	FEF30_RS04375	FEF31_RS04545
OG0000158	FEF30_RS04370	FEF31_RS04540
OG0000159	FEF30_RS02835	FEF31_RS02195
OG0000160	FEF30_RS02830	FEF31_RS02190
OG0000161	FEF30_RS02825	FEF31_RS02185
OG0000162	FEF30_RS02815	FEF31_RS02175
OG0000163	FEF30_RS02810	FEF31_RS02170
OG0000164	FEF30_RS01925	FEF31_RS01270
OG0000165	FEF30_RS02320	FEF31_RS01685
OG0000166	FEF30_RS02340	FEF31_RS01705
OG0000167	FEF30_RS02355	FEF31_RS01720
OG0000168	FEF30_RS02360	FEF31_RS01725
OG0000169	FEF30_RS03395	FEF31_RS03615
OG0000170	FEF30_RS04475	FEF31_RS04785, FEF31_RS04795
OG0000171	FEF30_RS03420	FEF31_RS03640
OG0000172	FEF30_RS03425	FEF31_RS03645
OG0000173	FEF30_RS03430	FEF31_RS03650
OG0000174	FEF30_RS03435	FEF31_RS03655
OG0000175	FEF30_RS03450	FEF31_RS03670
OG0000176	FEF30_RS03495	FEF31_RS03715
OG0000177	FEF30_RS03500	FEF31_RS03720
OG0000178	FEF30_RS03505	FEF31_RS03725
OG0000179	FEF30_RS03515	FEF31_RS03735
OG0000180	FEF30_RS03520	FEF31_RS03740
OG0000181	FEF30_RS04395	FEF31_RS04690
OG0000182	FEF30_RS03570	FEF31_RS03795
OG0000183	FEF30_RS03605	FEF31_RS03830
OG0000184	FEF30_RS00025	FEF31_RS02980
OG0000185	FEF30_RS00010	FEF31_RS02965
OG0000186	FEF30_RS04275	FEF31_RS04435
OG0000187	FEF30_RS01855	FEF31_RS01200
OG0000188	FEF30_RS01865	FEF31_RS01210
OG0000189	FEF30_RS04355	FEF31_RS04520
OG0000190	FEF30_RS02670	FEF31_RS02035
OG0000191	FEF30_RS02650	FEF31_RS02015
OG0000192	FEF30_RS01530	FEF31_RS00875
OG0000193	FEF30_RS01515	FEF31_RS00860
OG0000194	FEF30_RS01000	FEF31_RS00345
OG0000195	FEF30_RS01005	FEF31_RS00350
OG0000196	FEF30_RS01025	FEF31_RS00370
OG0000197	FEF30_RS01030	FEF31_RS00375
OG0000198	FEF30_RS01045	FEF31_RS00390
OG0000199	FEF30_RS01050	FEF31_RS00395
OG0000200	FEF30_RS01065	FEF31_RS00410
OG0000201	FEF30_RS01075	FEF31_RS00420
OG0000202	FEF30_RS01130	FEF31_RS00475
OG0000203	FEF30_RS01135	FEF31_RS00480
OG0000204	FEF30_RS01140	FEF31_RS00485
OG0000205	FEF30_RS01145	FEF31_RS00490
OG0000206	FEF30_RS01165	FEF31_RS00510
OG0000207	FEF30_RS01180	FEF31_RS00525
OG0000208	FEF30_RS01185	FEF31_RS00530
OG0000209	FEF30_RS01190	FEF31_RS00535
OG0000210	FEF30_RS01235	FEF31_RS00580
OG0000211	FEF30_RS01245	FEF31_RS00590
OG0000212	FEF30_RS01255	FEF31_RS00600
OG0000213	FEF30_RS01260	FEF31_RS00605
OG0000214	FEF30_RS01265	FEF31_RS00610
OG0000215	FEF30_RS01270	FEF31_RS00615
OG0000216	FEF30_RS01275	FEF31_RS00620
OG0000217	FEF30_RS01280	FEF31_RS00625
OG0000218	FEF30_RS01290	FEF31_RS00635
OG0000219	FEF30_RS01295	FEF31_RS00640
OG0000220	FEF30_RS01300	FEF31_RS00645
OG0000221	FEF30_RS01305	FEF31_RS00650
OG0000222	FEF30_RS01310	FEF31_RS00655
OG0000223	FEF30_RS01315	FEF31_RS00660
OG0000224	FEF30_RS01325	FEF31_RS00670
OG0000225	FEF30_RS01335	FEF31_RS00680
OG0000226	FEF30_RS01340	FEF31_RS00685
OG0000227	FEF30_RS01345	FEF31_RS00690
OG0000228	FEF30_RS04410	FEF31_RS04770
OG0000229	FEF30_RS01355	FEF31_RS00700
OG0000230	FEF30_RS01360	FEF31_RS00705
OG0000231	FEF30_RS01370	FEF31_RS00715
OG0000232	FEF30_RS01380	FEF31_RS00725
OG0000233	FEF30_RS01405	FEF31_RS00750
OG0000234	FEF30_RS01440	FEF31_RS00785
OG0000235	FEF30_RS01450	FEF31_RS00795
OG0000236	FEF30_RS01455	FEF31_RS00800
OG0000237	FEF30_RS01460	FEF31_RS00805
OG0000238	FEF30_RS01465	FEF31_RS00810
OG0000239	FEF30_RS03320	FEF31_RS02680
OG0000240	FEF30_RS03325	FEF31_RS02685
OG0000241	FEF30_RS03335	FEF31_RS02695
OG0000242	FEF30_RS03340	FEF31_RS02700
OG0000243	FEF30_RS03345	FEF31_RS02705
OG0000244	FEF30_RS03355	FEF31_RS02715
OG0000245	FEF30_RS03365	FEF31_RS02720
OG0000246	FEF30_RS00455	FEF31_RS03410
OG0000247	FEF30_RS00465	FEF31_RS03420
OG0000248	FEF30_RS00475	FEF31_RS03430
OG0000249	FEF30_RS03675, FEF30_RS00480	FEF31_RS03435
OG0000250	FEF30_RS00495	FEF31_RS03450
OG0000251	FEF30_RS00525	FEF31_RS03480
OG0000252	FEF30_RS00535	FEF31_RS03490
OG0000253	FEF30_RS00540	FEF31_RS03495
OG0000254	FEF30_RS00550	FEF31_RS03505
OG0000255	FEF30_RS00555	FEF31_RS03510
OG0000256	FEF30_RS00560	FEF31_RS03515
OG0000257	FEF30_RS00585	FEF31_RS03540
OG0000258	FEF30_RS00595	FEF31_RS03550
OG0000259	FEF30_RS00625	FEF31_RS03580
OG0000260	FEF30_RS00635	FEF31_RS03590
OG0000261	FEF30_RS04195	FEF31_RS04680
OG0000262	FEF30_RS00660	FEF31_RS00010
OG0000263	FEF30_RS00675	FEF31_RS00025
OG0000264	FEF30_RS00690	FEF31_RS00040
OG0000265	FEF30_RS00700	FEF31_RS00050
OG0000266	FEF30_RS00715	FEF31_RS00065
OG0000267	FEF30_RS00730	FEF31_RS00080
OG0000268	FEF30_RS00735	FEF31_RS00085
OG0000269	FEF30_RS00750	FEF31_RS00100
OG0000270	FEF30_RS04155	FEF31_RS04635
OG0000271	FEF30_RS00205	FEF31_RS03160
OG0000272	FEF30_RS00200	FEF31_RS03155
OG0000273	FEF30_RS00195	FEF31_RS03150
OG0000274	FEF30_RS00175	FEF31_RS03130
OG0000275	FEF30_RS04145	FEF31_RS04625
OG0000276	FEF30_RS00165	FEF31_RS03120
OG0000277	FEF30_RS00155	FEF31_RS03110
OG0000278	FEF30_RS00150	FEF31_RS03105
OG0000279	FEF30_RS00140	FEF31_RS03095
OG0000280	FEF30_RS00135	FEF31_RS03090
OG0000281	FEF30_RS00130	FEF31_RS03085
OG0000282	FEF30_RS04135	FEF31_RS04615
OG0000283	FEF30_RS00100	FEF31_RS03055
OG0000284	FEF30_RS00095	FEF31_RS03050
OG0000285	FEF30_RS04130	FEF31_RS04610
OG0000286	FEF30_RS02795	FEF31_RS02155
OG0000287	FEF30_RS02895	FEF31_RS02260
OG0000288	FEF30_RS02905	FEF31_RS02270
OG0000289	FEF30_RS02910	FEF31_RS02275
OG0000290	FEF30_RS03020	FEF31_RS02385
OG0000291	FEF30_RS03010	FEF31_RS02375
OG0000292	FEF30_RS03005	FEF31_RS02370
OG0000293	FEF30_RS03000	FEF31_RS02365
OG0000294	FEF30_RS02990	FEF31_RS02355
OG0000295	FEF30_RS02985	FEF31_RS02350
OG0000296	FEF30_RS02945	FEF31_RS02310
OG0000297	FEF30_RS02940	FEF31_RS02305
OG0000298	FEF30_RS00490	FEF31_RS03445
OG0000299	FEF30_RS00510	FEF31_RS03465
OG0000300	FEF30_RS00685	FEF31_RS00035
OG0000301	FEF30_RS00720	FEF31_RS00070
OG0000302	FEF30_RS00725	FEF31_RS00075
OG0000303	FEF30_RS00870	FEF31_RS00220
OG0000304	FEF30_RS01385	FEF31_RS00730
OG0000305	FEF30_RS03260	FEF31_RS02620
OG0000306	FEF30_RS03185	FEF31_RS02545
OG0000307	FEF30_RS03145	FEF31_RS02510
OG0000308	FEF30_RS03040	FEF31_RS02405
OG0000309	FEF30_RS02975	FEF31_RS02340
OG0000310	FEF30_RS02900	FEF31_RS02265
OG0000311	FEF30_RS02855	FEF31_RS02215
OG0000312	FEF30_RS02840	FEF31_RS02200
OG0000313	FEF30_RS01915	FEF31_RS01260
OG0000314	FEF30_RS02335	FEF31_RS01700
OG0000315	FEF30_RS02365	FEF31_RS01730
OG0000316	FEF30_RS02375	FEF31_RS01740
OG0000317	FEF30_RS02470	FEF31_RS01835
OG0000318	FEF30_RS04320	FEF31_RS04480
OG0000319	FEF30_RS02605	FEF31_RS01970
OG0000320	FEF30_RS02735	FEF31_RS02095
OG0000321	FEF30_RS01645	FEF31_RS00990
OG0000322	FEF30_RS01695	FEF31_RS01040
OG0000323	FEF30_RS01825	FEF31_RS01170
OG0000324	FEF30_RS02645	FEF31_RS02010
OG0000325	FEF30_RS01010	FEF31_RS00355
OG0000326	FEF30_RS01105	FEF31_RS00450
OG0000327	FEF30_RS01110	FEF31_RS00455
OG0000328	FEF30_RS01195	FEF31_RS00540
OG0000329	FEF30_RS01215	FEF31_RS00560
OG0000330	FEF30_RS01415	FEF31_RS00760
OG0000331	FEF30_RS03350	FEF31_RS02710
OG0000332	FEF30_RS03460	FEF31_RS03680
OG0000333	FEF30_RS03470	FEF31_RS03690
OG0000334	FEF30_RS03565	FEF31_RS03790
OG0000335	FEF30_RS03575	FEF31_RS03800
OG0000336	FEF30_RS04140	FEF31_RS04620
OG0000337	FEF30_RS00285	FEF31_RS03240
OG0000338	FEF30_RS00325	FEF31_RS03280
OG0000339	FEF30_RS02710	FEF31_RS02070
OG0000340	FEF30_RS01625	FEF31_RS00970
OG0000341	FEF30_RS02665	FEF31_RS02030
OG0000342	FEF30_RS01040	FEF31_RS00385
OG0000343	FEF30_RS03480	FEF31_RS03700
OG0000344	FEF30_RS00885	FEF31_RS00235
OG0000345	FEF30_RS01330	FEF31_RS00675
OG0000346	FEF30_RS00125	FEF31_RS03080
OG0000347	FEF30_RS01720	FEF31_RS01065
OG0000348	FEF30_RS01115	FEF31_RS00460
OG0000349	FEF30_RS04150	FEF31_RS04630
OG0000350	FEF30_RS03135	FEF31_RS02500
OG0000351	FEF30_RS00805	FEF31_RS00155
OG0000352	FEF30_RS02315	FEF31_RS01680
OG0000353	FEF30_RS01690	FEF31_RS01035
OG0000354	FEF30_RS00950	FEF31_RS00295
OG0000355	FEF30_RS04310	FEF31_RS04470
OG0000356	FEF30_RS04315	FEF31_RS04475
OG0000357	FEF30_RS04390	FEF31_RS04685
OG0000358	FEF30_RS03445	FEF31_RS03665
OG0000359	FEF30_RS04215	FEF31_RS04380
OG0000360	FEF30_RS00590	FEF31_RS03545
OG0000361	FEF30_RS00620	FEF31_RS03575
OG0000362	FEF30_RS02920	FEF31_RS02285
OG0000363	FEF30_RS01760	FEF31_RS01105
OG0000364	FEF30_RS02275	FEF31_RS01635
OG0000365	FEF30_RS04335	FEF31_RS01785
OG0000366	FEF30_RS02440	FEF31_RS01805
OG0000367	FEF30_RS02450	FEF31_RS01815
OG0000368	FEF30_RS00390	FEF31_RS03345
OG0000369	FEF30_RS04170	FEF31_RS04650
OG0000370	FEF30_RS00350	FEF31_RS03305
OG0000371	FEF30_RS00345	FEF31_RS03300
OG0000372	FEF30_RS00340	FEF31_RS03295
OG0000373	FEF30_RS00315	FEF31_RS03270
OG0000374	FEF30_RS00305	FEF31_RS03260
OG0000375	FEF30_RS02600	FEF31_RS01965
OG0000376	FEF30_RS02750	FEF31_RS02110
OG0000377	FEF30_RS02740	FEF31_RS02100
OG0000378	FEF30_RS01605	FEF31_RS00950
OG0000379	FEF30_RS01685	FEF31_RS01030
OG0000380	FEF30_RS01710	FEF31_RS01055
OG0000381	FEF30_RS01750	FEF31_RS01095
OG0000382	FEF30_RS01780	FEF31_RS01125
OG0000383	FEF30_RS01820	FEF31_RS01165
OG0000384	FEF30_RS00825	FEF31_RS00175
OG0000385	FEF30_RS00830	FEF31_RS00180
OG0000386	FEF30_RS00850	FEF31_RS00200
OG0000387	FEF30_RS00875	FEF31_RS00225
OG0000388	FEF30_RS04205	FEF31_RS04370
OG0000389	FEF30_RS00930	FEF31_RS00275
OG0000390	FEF30_RS03280	FEF31_RS02640
OG0000391	FEF30_RS03270	FEF31_RS02630
OG0000392	FEF30_RS03245	FEF31_RS02605
OG0000393	FEF30_RS04380	FEF31_RS04550
OG0000394	FEF30_RS03110	FEF31_RS02475
OG0000395	FEF30_RS03105	FEF31_RS02470
OG0000396	FEF30_RS02800	FEF31_RS02160
OG0000397	FEF30_RS02300	FEF31_RS01665
OG0000398	FEF30_RS02305	FEF31_RS01670
OG0000399	FEF30_RS02350	FEF31_RS01715
OG0000400	FEF30_RS03405	FEF31_RS03625
OG0000401	FEF30_RS03465	FEF31_RS03685
OG0000402	FEF30_RS03475	FEF31_RS03695
OG0000403	FEF30_RS03485	FEF31_RS03705
OG0000404	FEF30_RS03510	FEF31_RS03730
OG0000405	FEF30_RS04480	FEF31_RS04800
OG0000406	FEF30_RS03580	FEF31_RS03805
OG0000407	FEF30_RS04400	FEF31_RS04695
OG0000408	FEF30_RS03590	FEF31_RS03815
OG0000409	FEF30_RS03595	FEF31_RS03820
OG0000410	FEF30_RS00030	FEF31_RS02985
OG0000411	FEF30_RS00020	FEF31_RS02975
OG0000412	FEF30_RS00015	FEF31_RS02970
OG0000413	FEF30_RS01835	FEF31_RS01180
OG0000414	FEF30_RS01845	FEF31_RS01190
OG0000415	FEF30_RS01850	FEF31_RS01195
OG0000416	FEF30_RS01860	FEF31_RS01205
OG0000417	FEF30_RS02660	FEF31_RS02025
OG0000418	FEF30_RS02655	FEF31_RS02020
OG0000419	FEF30_RS01020	FEF31_RS00365
OG0000420	FEF30_RS01055	FEF31_RS00400
OG0000421	FEF30_RS01090	FEF31_RS00435
OG0000422	FEF30_RS01100	FEF31_RS00445
OG0000423	FEF30_RS01155	FEF31_RS00500
OG0000424	FEF30_RS01160	FEF31_RS00505
OG0000425	FEF30_RS01170	FEF31_RS00515
OG0000426	FEF30_RS04220	FEF31_RS04385
OG0000427	FEF30_RS04225	FEF31_RS04390
OG0000428	FEF30_RS01225	FEF31_RS00570
OG0000429	FEF30_RS01320	FEF31_RS00665
OG0000430	FEF30_RS01365	FEF31_RS00710
OG0000431	FEF30_RS01375	FEF31_RS00720
OG0000432	FEF30_RS01410	FEF31_RS00755
OG0000433	FEF30_RS01425	FEF31_RS00770
OG0000434	FEF30_RS01430	FEF31_RS00775
OG0000435	FEF30_RS01445	FEF31_RS00790
OG0000436	FEF30_RS01470	FEF31_RS00815
OG0000437	FEF30_RS01480	FEF31_RS00825
OG0000438	FEF30_RS01485	FEF31_RS00830
OG0000439	FEF30_RS04235	FEF31_RS04400
OG0000440	FEF30_RS03330	FEF31_RS02690
OG0000441	FEF30_RS03370	FEF31_RS02725
OG0000442	FEF30_RS00460	FEF31_RS03415
OG0000443	FEF30_RS00505	FEF31_RS03460
OG0000444	FEF30_RS00520	FEF31_RS03475
OG0000445	FEF30_RS00545	FEF31_RS03500
OG0000446	FEF30_RS00570	FEF31_RS03525
OG0000447	FEF30_RS00575	FEF31_RS03530
OG0000448	FEF30_RS00605	FEF31_RS03560
OG0000449	FEF30_RS00630	FEF31_RS03585
OG0000450	FEF30_RS00640	FEF31_RS03595
OG0000451	FEF30_RS00680	FEF31_RS00030
OG0000452	FEF30_RS00705	FEF31_RS00055
OG0000453	FEF30_RS00740	FEF31_RS00090
OG0000455	FEF30_RS00230	FEF31_RS03185
OG0000456	FEF30_RS00110	FEF31_RS03065
OG0000457	FEF30_RS00085	FEF31_RS03040
OG0000458	FEF30_RS02890	FEF31_RS02255
OG0000459	FEF30_RS02915	FEF31_RS02280
OG0000460	FEF30_RS02925	FEF31_RS02290
OG0000461	FEF30_RS02970	FEF31_RS02335
OG0000462	FEF30_RS02965	FEF31_RS02330
OG0000463	FEF30_RS02960	FEF31_RS02325
OG0000464	FEF30_RS02955	FEF31_RS02320
OG0000465	FEF30_RS02950	FEF31_RS02315
OG0000466	FEF30_RS00710	FEF31_RS00060
OG0000467	FEF30_RS04360	FEF31_RS04530
OG0000468	FEF30_RS02345	FEF31_RS01710
OG0000469	FEF30_RS02405	FEF31_RS01770
OG0000470	FEF30_RS01150	FEF31_RS00495
OG0000471	FEF30_RS01230	FEF31_RS00575
OG0000472	FEF30_RS00040	FEF31_RS02995
OG0000473	FEF30_RS00215	FEF31_RS03170
OG0000474	FEF30_RS00220	FEF31_RS03175
OG0000475	FEF30_RS00225	FEF31_RS03180
OG0000476	FEF30_RS01870	FEF31_RS01215
OG0000477	FEF30_RS02995	FEF31_RS02360
OG0000478	FEF30_RS00160	FEF31_RS03115
OG0000479	FEF30_RS01640	FEF31_RS00985
