Orthogroup	MHP_UFV01_genes	MHP_111A_genes
OG0000205	FEF30_RS01145	NB623_RS00845
OG0000206	FEF30_RS01165	NB623_RS00865
OG0000207	FEF30_RS01180	NB623_RS00880
OG0000208	FEF30_RS01185	NB623_RS00885
OG0000209	FEF30_RS01190	NB623_RS00890
OG0000210	FEF30_RS01235	NB623_RS00935
OG0000211	FEF30_RS01245	NB623_RS01070
OG0000212	FEF30_RS01255	NB623_RS01080
OG0000213	FEF30_RS01260	NB623_RS01085
OG0000214	FEF30_RS01265	NB623_RS01090
OG0000215	FEF30_RS01270	NB623_RS01095
OG0000216	FEF30_RS01275	NB623_RS01100
OG0000217	FEF30_RS01280	NB623_RS01105
OG0000218	FEF30_RS01290	NB623_RS01115
OG0000219	FEF30_RS01295	NB623_RS01120
OG0000220	FEF30_RS01300	NB623_RS01125
OG0000221	FEF30_RS01305	NB623_RS01130
OG0000222	FEF30_RS01310	NB623_RS01135
OG0000223	FEF30_RS01315	NB623_RS01140
OG0000224	FEF30_RS01325	NB623_RS01150
OG0000225	FEF30_RS01335	NB623_RS01160
OG0000226	FEF30_RS01340	NB623_RS01165
OG0000227	FEF30_RS01345	NB623_RS01170
OG0000228	FEF30_RS04410	NB623_RS01175
OG0000229	FEF30_RS01355	NB623_RS01180
OG0000230	FEF30_RS01360	NB623_RS01185
OG0000231	FEF30_RS01370	NB623_RS01195
OG0000232	FEF30_RS01380	NB623_RS01205
OG0000233	FEF30_RS01405	NB623_RS01225
OG0000234	FEF30_RS01440	NB623_RS01260
OG0000235	FEF30_RS01450	NB623_RS01270
OG0000236	FEF30_RS01455	NB623_RS01275
OG0000237	FEF30_RS01460	NB623_RS01280
OG0000238	FEF30_RS01465	NB623_RS01285
OG0000239	FEF30_RS03320	NB623_RS03105
OG0000240	FEF30_RS03325	NB623_RS03110
OG0000241	FEF30_RS03335	NB623_RS03120
OG0000242	FEF30_RS03340	NB623_RS03125
OG0000243	FEF30_RS03345	NB623_RS03130
OG0000244	FEF30_RS03355	NB623_RS03140
OG0000245	FEF30_RS03365	NB623_RS03145
OG0000246	FEF30_RS00455	NB623_RS00130
OG0000247	FEF30_RS00465	NB623_RS00140
OG0000248	FEF30_RS00475	NB623_RS00150
OG0000249	FEF30_RS03675, FEF30_RS00480	NB623_RS00155
OG0000250	FEF30_RS00495	NB623_RS00175
OG0000251	FEF30_RS00525	NB623_RS00205
OG0000252	FEF30_RS00535	NB623_RS00210
OG0000253	FEF30_RS00540	NB623_RS00215
OG0000254	FEF30_RS00550	NB623_RS00225
OG0000255	FEF30_RS00555	NB623_RS00230
OG0000256	FEF30_RS00560	NB623_RS00240
OG0000257	FEF30_RS00585	NB623_RS00260
OG0000258	FEF30_RS00595	NB623_RS00270
OG0000259	FEF30_RS00625	NB623_RS00300
OG0000260	FEF30_RS00635	NB623_RS00310
OG0000261	FEF30_RS04195	NB623_RS00320
OG0000262	FEF30_RS00660	NB623_RS00340
OG0000263	FEF30_RS00675	NB623_RS00350
OG0000264	FEF30_RS00690	NB623_RS00365
OG0000265	FEF30_RS00700	NB623_RS00375
OG0000266	FEF30_RS00715	NB623_RS00390
OG0000267	FEF30_RS00730	NB623_RS00405
OG0000268	FEF30_RS00735	NB623_RS00410
OG0000269	FEF30_RS00750	NB623_RS00425
OG0000270	FEF30_RS04155	NB623_RS03685
OG0000271	FEF30_RS00205	NB623_RS03675
OG0000272	FEF30_RS00200	NB623_RS03670
OG0000273	FEF30_RS00195	NB623_RS03665
OG0000274	FEF30_RS00175	NB623_RS03650
OG0000275	FEF30_RS04145	NB623_RS03640
OG0000276	FEF30_RS00165	NB623_RS03635
OG0000277	FEF30_RS00155	NB623_RS03625
OG0000278	FEF30_RS00150	NB623_RS03620
OG0000279	FEF30_RS00140	NB623_RS03615
OG0000280	FEF30_RS00135	NB623_RS03605
OG0000281	FEF30_RS00130	NB623_RS03600
OG0000282	FEF30_RS04135	NB623_RS03570
OG0000283	FEF30_RS00100	NB623_RS03565
OG0000284	FEF30_RS00095	NB623_RS03560
OG0000285	FEF30_RS04130	NB623_RS03555
OG0000286	FEF30_RS02795	NB623_RS02575
OG0000287	FEF30_RS02895	NB623_RS02675
OG0000288	FEF30_RS02905	NB623_RS02685
OG0000289	FEF30_RS02910	NB623_RS02690
OG0000290	FEF30_RS03020	NB623_RS02810
OG0000291	FEF30_RS03010	NB623_RS02800
OG0000292	FEF30_RS03005	NB623_RS02795
OG0000293	FEF30_RS03000	NB623_RS02790
OG0000294	FEF30_RS02990	NB623_RS02780
OG0000295	FEF30_RS02985	NB623_RS02775
OG0000296	FEF30_RS02945	NB623_RS02730
OG0000297	FEF30_RS02940	NB623_RS02725
OG0000298	FEF30_RS00490	NB623_RS00165
OG0000299	FEF30_RS00510	NB623_RS00185
OG0000300	FEF30_RS00685	NB623_RS00360
OG0000301	FEF30_RS00720	NB623_RS00395
OG0000302	FEF30_RS00725	NB623_RS00400
OG0000303	FEF30_RS00870	NB623_RS00555
OG0000304	FEF30_RS01385	NB623_RS01210
OG0000305	FEF30_RS03260	NB623_RS03045
OG0000306	FEF30_RS03185	NB623_RS02970
OG0000307	FEF30_RS03145	NB623_RS02930
OG0000308	FEF30_RS03040	NB623_RS02835
OG0000309	FEF30_RS02975	NB623_RS02765
OG0000310	FEF30_RS02900	NB623_RS02680
OG0000311	FEF30_RS02855	NB623_RS02635
OG0000312	FEF30_RS02840	NB623_RS02620
OG0000313	FEF30_RS01915	NB623_RS01715
OG0000314	FEF30_RS02335	NB623_RS02140
OG0000315	FEF30_RS02365	NB623_RS02110
OG0000316	FEF30_RS02375	NB623_RS02100
OG0000317	FEF30_RS02470	NB623_RS02005
OG0000318	FEF30_RS04320	NB623_RS02095
OG0000319	FEF30_RS02605	NB623_RS02370
OG0000320	FEF30_RS02735	NB623_RS02500
OG0000321	FEF30_RS01645	NB623_RS01450
OG0000322	FEF30_RS01695	NB623_RS01500
OG0000323	FEF30_RS01825	NB623_RS01630
OG0000324	FEF30_RS02645	NB623_RS02410
OG0000325	FEF30_RS01010	NB623_RS00705
OG0000326	FEF30_RS01105	NB623_RS00805
OG0000327	FEF30_RS01110	NB623_RS00810
OG0000328	FEF30_RS01195	NB623_RS00895
OG0000329	FEF30_RS01215	NB623_RS00915
OG0000330	FEF30_RS01415	NB623_RS01235
OG0000331	FEF30_RS03350	NB623_RS03135
OG0000332	FEF30_RS03460	NB623_RS03270
OG0000333	FEF30_RS03470	NB623_RS03280
OG0000334	FEF30_RS03565	NB623_RS03380
OG0000335	FEF30_RS03575	NB623_RS03390
OG0000336	FEF30_RS04140	NB623_RS03590
OG0000337	FEF30_RS00285	NB623_RS03765
OG0000338	FEF30_RS00325	NB623_RS03805
OG0000339	FEF30_RS02710	NB623_RS02475
OG0000340	FEF30_RS01625	NB623_RS01430
OG0000341	FEF30_RS02665	NB623_RS02435
OG0000342	FEF30_RS01040	NB623_RS00735
OG0000343	FEF30_RS03480	NB623_RS03290
OG0000344	FEF30_RS00885	NB623_RS00570
OG0000345	FEF30_RS01330	NB623_RS01155
OG0000346	FEF30_RS00125	NB623_RS03595
OG0000347	FEF30_RS01720	NB623_RS01525
OG0000348	FEF30_RS01115	NB623_RS00815
OG0000349	FEF30_RS04150	NB623_RS03655
OG0000350	FEF30_RS03135	NB623_RS02920
OG0000351	FEF30_RS00805	NB623_RS00480
OG0000352	FEF30_RS02315	NB623_RS02160
OG0000353	FEF30_RS01690	NB623_RS01490
OG0000354	FEF30_RS00950	NB623_RS00630
OG0000355	FEF30_RS04310	NB623_RS02185
OG0000356	FEF30_RS04315	NB623_RS02105
OG0000357	FEF30_RS04390	NB623_RS03245
OG0000358	FEF30_RS03445	NB623_RS03250
OG0000359	FEF30_RS04215	NB623_RS00780
OG0000360	FEF30_RS00590	NB623_RS00265
OG0000361	FEF30_RS00620	NB623_RS00295
OG0000362	FEF30_RS02920	NB623_RS02705
OG0000363	FEF30_RS01760	NB623_RS01565
OG0000365	FEF30_RS04335	NB623_RS02060
OG0000366	FEF30_RS02440	NB623_RS02035
OG0000367	FEF30_RS02450	NB623_RS02025
OG0000368	FEF30_RS00390	NB623_RS00060
OG0000369	FEF30_RS04170	NB623_RS00025
OG0000370	FEF30_RS00350	NB623_RS00020
OG0000371	FEF30_RS00345	NB623_RS00015
OG0000372	FEF30_RS00340	NB623_RS00010
OG0000373	FEF30_RS00315	NB623_RS03795
OG0000374	FEF30_RS00305	NB623_RS03785
OG0000375	FEF30_RS02600	NB623_RS02365
OG0000376	FEF30_RS02750	NB623_RS02515
OG0000377	FEF30_RS02740	NB623_RS02505
OG0000378	FEF30_RS01605	NB623_RS01410
OG0000379	FEF30_RS01685	NB623_RS01485
OG0000380	FEF30_RS01710	NB623_RS01515
OG0000381	FEF30_RS01750	NB623_RS01555
OG0000382	FEF30_RS01780	NB623_RS01585
OG0000383	FEF30_RS01820	NB623_RS01625
OG0000384	FEF30_RS00825	NB623_RS00510
OG0000385	FEF30_RS00830	NB623_RS00520
OG0000386	FEF30_RS00850	NB623_RS00535
OG0000387	FEF30_RS00875	NB623_RS00560
OG0000388	FEF30_RS04205	NB623_RS00565
OG0000389	FEF30_RS00930	NB623_RS00610
OG0000390	FEF30_RS03280	NB623_RS03065
OG0000391	FEF30_RS03270	NB623_RS03055
OG0000392	FEF30_RS03245	NB623_RS03030
OG0000393	FEF30_RS04380	NB623_RS02975
OG0000394	FEF30_RS03110	NB623_RS02895
OG0000395	FEF30_RS03105	NB623_RS02890
OG0000396	FEF30_RS02800	NB623_RS02580
OG0000397	FEF30_RS02300	NB623_RS02175
OG0000398	FEF30_RS02305	NB623_RS02170
OG0000399	FEF30_RS02350	NB623_RS02125
OG0000400	FEF30_RS03405	NB623_RS03210
OG0000401	FEF30_RS03465	NB623_RS03275
OG0000402	FEF30_RS03475	NB623_RS03285
OG0000403	FEF30_RS03485	NB623_RS03295
OG0000404	FEF30_RS03510	NB623_RS03325
OG0000405	FEF30_RS04480	NB623_RS03340
OG0000406	FEF30_RS03580	NB623_RS03395
OG0000407	FEF30_RS04400	NB623_RS03400
OG0000408	FEF30_RS03590	NB623_RS03405
OG0000409	FEF30_RS03595	NB623_RS03410
OG0000410	FEF30_RS00030	NB623_RS03495
OG0000411	FEF30_RS00020	NB623_RS03480
OG0000413	FEF30_RS01835	NB623_RS01640
OG0000414	FEF30_RS01845	NB623_RS01650
OG0000415	FEF30_RS01850	NB623_RS01655
OG0000416	FEF30_RS01860	NB623_RS01665
OG0000417	FEF30_RS02660	NB623_RS02430
OG0000418	FEF30_RS02655	NB623_RS02420
OG0000419	FEF30_RS01020	NB623_RS00715
OG0000420	FEF30_RS01055	NB623_RS00750
OG0000421	FEF30_RS01090	NB623_RS00790
OG0000422	FEF30_RS01100	NB623_RS00800
OG0000423	FEF30_RS01155	NB623_RS00855
OG0000424	FEF30_RS01160	NB623_RS00860
OG0000425	FEF30_RS01170	NB623_RS00870
OG0000426	FEF30_RS04220	NB623_RS00875
OG0000427	FEF30_RS04225	NB623_RS00900
OG0000428	FEF30_RS01225	NB623_RS00925
OG0000429	FEF30_RS01320	NB623_RS01145
OG0000430	FEF30_RS01365	NB623_RS01190
OG0000431	FEF30_RS01375	NB623_RS01200
OG0000432	FEF30_RS01410	NB623_RS01230
OG0000433	FEF30_RS01425	NB623_RS01245
OG0000434	FEF30_RS01430	NB623_RS01255
OG0000435	FEF30_RS01445	NB623_RS01265
OG0000436	FEF30_RS01470	NB623_RS01290
OG0000437	FEF30_RS01480	NB623_RS01300
OG0000438	FEF30_RS01485	NB623_RS01305
OG0000439	FEF30_RS04235	NB623_RS01310
OG0000440	FEF30_RS03330	NB623_RS03115
OG0000441	FEF30_RS03370	NB623_RS03150
OG0000442	FEF30_RS00460	NB623_RS00135
OG0000443	FEF30_RS00505	NB623_RS00180
OG0000444	FEF30_RS00520	NB623_RS00195
OG0000445	FEF30_RS00545	NB623_RS00220
OG0000446	FEF30_RS00570	NB623_RS00245
OG0000447	FEF30_RS00575	NB623_RS00255
OG0000448	FEF30_RS00605	NB623_RS00280
OG0000449	FEF30_RS00630	NB623_RS00305
OG0000450	FEF30_RS00640	NB623_RS00315
OG0000451	FEF30_RS00680	NB623_RS00355
OG0000452	FEF30_RS00705	NB623_RS00380
OG0000453	FEF30_RS00740	NB623_RS00415
OG0000455	FEF30_RS00230	NB623_RS03705
OG0000456	FEF30_RS00110	NB623_RS03580
OG0000457	FEF30_RS00085	NB623_RS03545
OG0000458	FEF30_RS02890	NB623_RS02670
OG0000459	FEF30_RS02915	NB623_RS02700
OG0000460	FEF30_RS02925	NB623_RS02710
OG0000461	FEF30_RS02970	NB623_RS02755
OG0000462	FEF30_RS02965	NB623_RS02750
OG0000463	FEF30_RS02960	NB623_RS02745
OG0000464	FEF30_RS02955	NB623_RS02740
OG0000465	FEF30_RS02950	NB623_RS02735
OG0000466	FEF30_RS00710	NB623_RS00385
OG0000467	FEF30_RS04360	NB623_RS02845
OG0000468	FEF30_RS02345	NB623_RS02130
OG0000469	FEF30_RS02405	NB623_RS02070
OG0000470	FEF30_RS01150	NB623_RS00850
OG0000471	FEF30_RS01230	NB623_RS00930
OG0000472	FEF30_RS00040	NB623_RS03500
OG0000473	FEF30_RS00215	NB623_RS03690
OG0000474	FEF30_RS00220	NB623_RS03695
OG0000475	FEF30_RS00225	NB623_RS03700
OG0000476	FEF30_RS01870	NB623_RS01675
OG0000477	FEF30_RS02995	NB623_RS02785
OG0000478	FEF30_RS00160	NB623_RS03630
OG0000479	FEF30_RS01640	NB623_RS01445
OG0000480	FEF30_RS02410	NB623_RS02065
OG0000481	FEF30_RS01125	NB623_RS00825
OG0000482	FEF30_RS01520	NB623_RS01330
OG0000483	FEF30_RS02455	NB623_RS02020
OG0000484	FEF30_RS04190	NB623_RS00190
OG0000485	FEF30_RS01475	NB623_RS01295
OG0000486	FEF30_RS02680	NB623_RS02450
OG0000488	FEF30_RS02425	NB623_RS02055
OG0000490	FEF30_RS00320	NB623_RS03800
OG0000493	FEF30_RS00890	NB623_RS00575
OG0000494	FEF30_RS00955	NB623_RS00635
OG0000495	FEF30_RS03215	NB623_RS03005
OG0000496	FEF30_RS03205	NB623_RS02990
OG0000497	FEF30_RS03200	NB623_RS02985
OG0000498	FEF30_RS03115	NB623_RS02900
OG0000499	FEF30_RS03080	NB623_RS02865
OG0000500	FEF30_RS02310	NB623_RS02165
OG0000502	FEF30_RS01510	NB623_RS01320
OG0000503	FEF30_RS01070	NB623_RS00765
OG0000504	FEF30_RS01205	NB623_RS00905
OG0000505	FEF30_RS01240	NB623_RS01065
OG0000506	FEF30_RS01250	NB623_RS01075
OG0000507	FEF30_RS01285	NB623_RS01110
OG0000509	FEF30_RS00600	NB623_RS00275
OG0000510	FEF30_RS00610	NB623_RS00285
OG0000511	FEF30_RS00745	NB623_RS00420
OG0000512	FEF30_RS02930	NB623_RS02715
OG0000514	FEF30_RS03240	NB623_RS03025
OG0000516	FEF30_RS04330	NB623_RS02090
OG0000517	FEF30_RS00395	NB623_RS00065
OG0000519	FEF30_RS01095	NB623_RS00795
OG0000520	FEF30_RS01220	NB623_RS00920
OG0000522	FEF30_RS00615	NB623_RS00290
OG0000523	FEF30_RS00080	NB623_RS03540
OG0000524	FEF30_RS03045	NB623_RS02840
OG0000525	FEF30_RS04105	NB623_RS03505
OG0000526	FEF30_RS02235	NB623_RS02260
OG0000527	FEF30_RS02175	NB623_RS02315
OG0000528	FEF30_RS02395	NB623_RS02080
OG0000531	FEF30_RS01715	NB623_RS01520
OG0000532	FEF30_RS01945	NB623_RS01745
OG0000533	FEF30_RS00915	NB623_RS00595
OG0000534	FEF30_RS00695	NB623_RS00370
OG0000536	FEF30_RS00260	NB623_RS03735
OG0000540	FEF30_RS03015	NB623_RS02805
OG0000541	FEF30_RS03095	NB623_RS02880
OG0000544	FEF30_RS04245	NB623_RS01375
OG0000545	FEF30_RS02225	NB623_RS02270
OG0000546	FEF30_RS03165	NB623_RS02950
OG0000552	FEF30_RS03490	NB623_RS03300
OG0000553	FEF30_RS04365	NB623_RS02855
OG0000554	FEF30_RS02765	NB623_RS02535
OG0000555	FEF30_RS03295	NB623_RS03080
OG0000557	FEF30_RS01575	NB623_RS01385
OG0000558	FEF30_RS01545	NB623_RS01355
OG0000559	FEF30_RS02015	NB623_RS01825
OG0000560	FEF30_RS02215	NB623_RS02290
OG0000561	FEF30_RS01420	NB623_RS01240
OG0000562	FEF30_RS02220	NB623_RS02280
OG0000563	FEF30_RS02205	NB623_RS02295
OG0000564	FEF30_RS01600	NB623_RS01405
