Orthogroup	MHP_F72C_genes	MHP_LH_genes
OG0000065	EHI52_RS02260	KUD10_RS02315
OG0000066	EHI52_RS01415	KUD10_RS01425
OG0000067	EHI52_RS00540	KUD10_RS00530
OG0000068	EHI52_RS00660	KUD10_RS00655
OG0000069	EHI52_RS02805	KUD10_RS02890
OG0000070	EHI52_RS02480	KUD10_RS02560
OG0000071	EHI52_RS03285	KUD10_RS03335
OG0000072	EHI52_RS03290	KUD10_RS03340
OG0000073	EHI52_RS00705	KUD10_RS00700
OG0000074	EHI52_RS00900	KUD10_RS00895
OG0000075	EHI52_RS00355	KUD10_RS00340
OG0000076	EHI52_RS00370	KUD10_RS00355
OG0000077	EHI52_RS00460	KUD10_RS00440
OG0000078	EHI52_RS01735	KUD10_RS01740
OG0000079	EHI52_RS02555	KUD10_RS02640
OG0000080	EHI52_RS03675	KUD10_RS02690
OG0000081	EHI52_RS00350	KUD10_RS00335
OG0000082	EHI52_RS02405	KUD10_RS02460
OG0000083	EHI52_RS01915	KUD10_RS02070
OG0000084	EHI52_RS01890	KUD10_RS02100
OG0000085	EHI52_RS01885	KUD10_RS02105
OG0000086	EHI52_RS01875	KUD10_RS02115
OG0000087	EHI52_RS01860	KUD10_RS02130
OG0000088	EHI52_RS01855	KUD10_RS02135
OG0000089	EHI52_RS01845	KUD10_RS02145
OG0000090	EHI52_RS00070	KUD10_RS00070
OG0000091	EHI52_RS00055	KUD10_RS00055
OG0000092	EHI52_RS00040	KUD10_RS00040
OG0000093	EHI52_RS00035	KUD10_RS00035
OG0000094	EHI52_RS00030	KUD10_RS00030
OG0000095	EHI52_RS00005	KUD10_RS00005
OG0000096	EHI52_RS03620	KUD10_RS03690
OG0000097	EHI52_RS03600	KUD10_RS03670
OG0000098	EHI52_RS03590	KUD10_RS03660
OG0000099	EHI52_RS03540	KUD10_RS03610
OG0000100	EHI52_RS03520	KUD10_RS03590
OG0000101	EHI52_RS03515	KUD10_RS03585
OG0000102	EHI52_RS01760	KUD10_RS01765
OG0000103	EHI52_RS02225	KUD10_RS02280
OG0000104	EHI52_RS02230	KUD10_RS02285
OG0000105	EHI52_RS02245	KUD10_RS02300
OG0000106	EHI52_RS02255	KUD10_RS02310
OG0000107	EHI52_RS02265	KUD10_RS02320
OG0000108	EHI52_RS02270	KUD10_RS02325
OG0000109	EHI52_RS02275	KUD10_RS02330
OG0000110	EHI52_RS02395	KUD10_RS02450
OG0000111	EHI52_RS02390	KUD10_RS02445
OG0000112	EHI52_RS02380	KUD10_RS02435
OG0000113	EHI52_RS02360	KUD10_RS02415
OG0000114	EHI52_RS02350	KUD10_RS02405
OG0000115	EHI52_RS02335	KUD10_RS02395
OG0000116	EHI52_RS01360	KUD10_RS01370
OG0000117	EHI52_RS01365	KUD10_RS01375
OG0000118	EHI52_RS01400	KUD10_RS01410
OG0000119	EHI52_RS01405	KUD10_RS01415
OG0000120	EHI52_RS01420	KUD10_RS01430
OG0000121	EHI52_RS01445	KUD10_RS01455
OG0000122	EHI52_RS01450	KUD10_RS01460
OG0000123	EHI52_RS01470	KUD10_RS01480
OG0000124	EHI52_RS01475	KUD10_RS01485
OG0000125	EHI52_RS01480	KUD10_RS01490
OG0000126	EHI52_RS01490	KUD10_RS01500
OG0000127	EHI52_RS01500	KUD10_RS01510
OG0000128	EHI52_RS01515	KUD10_RS01525
OG0000129	EHI52_RS01520	KUD10_RS01530
OG0000130	EHI52_RS01530	KUD10_RS01540
OG0000131	EHI52_RS01560	KUD10_RS01570
OG0000132	EHI52_RS01575	KUD10_RS01585
OG0000133	EHI52_RS00545	KUD10_RS00535
OG0000134	EHI52_RS00550	KUD10_RS00540
OG0000135	EHI52_RS00565	KUD10_RS00555
OG0000136	EHI52_RS00570	KUD10_RS00560
OG0000137	EHI52_RS00600	KUD10_RS00600
OG0000138	EHI52_RS00635	KUD10_RS00630
OG0000139	EHI52_RS00665	KUD10_RS00660
OG0000140	EHI52_RS00670	KUD10_RS00665
OG0000141	EHI52_RS02925	KUD10_RS03005
OG0000142	EHI52_RS02920	KUD10_RS03000
OG0000143	EHI52_RS02895	KUD10_RS02980
OG0000144	EHI52_RS02885	KUD10_RS02970
OG0000145	EHI52_RS02875	KUD10_RS02960
OG0000146	EHI52_RS02865	KUD10_RS02950
OG0000147	EHI52_RS02860	KUD10_RS02945
OG0000148	EHI52_RS02845	KUD10_RS02930
OG0000149	EHI52_RS02835	KUD10_RS02920
OG0000150	EHI52_RS02820	KUD10_RS02905
OG0000151	EHI52_RS02775	KUD10_RS02860
OG0000152	EHI52_RS02770	KUD10_RS02855
OG0000153	EHI52_RS02765	KUD10_RS02850
OG0000154	EHI52_RS02755	KUD10_RS02840
OG0000155	EHI52_RS02715	KUD10_RS02805
OG0000156	EHI52_RS02705	KUD10_RS02795
OG0000157	EHI52_RS02700	KUD10_RS02790
OG0000158	EHI52_RS03885	KUD10_RS03710
OG0000159	EHI52_RS03925	KUD10_RS02545
OG0000160	EHI52_RS02460	KUD10_RS02540
OG0000161	EHI52_RS02455	KUD10_RS02535
OG0000162	EHI52_RS02445	KUD10_RS02525
OG0000163	EHI52_RS02440	KUD10_RS02520
OG0000164	EHI52_RS01665	KUD10_RS01670
OG0000165	EHI52_RS01995	KUD10_RS01990
OG0000166	EHI52_RS01975	KUD10_RS02010
OG0000167	EHI52_RS01960	KUD10_RS02025
OG0000168	EHI52_RS01955	KUD10_RS02030
OG0000169	EHI52_RS03055	KUD10_RS03115
OG0000170	EHI52_RS03075	KUD10_RS03130
OG0000171	EHI52_RS03085	KUD10_RS03140
OG0000172	EHI52_RS03095	KUD10_RS03145
OG0000173	EHI52_RS03100	KUD10_RS03150
OG0000174	EHI52_RS03105	KUD10_RS03155
OG0000175	EHI52_RS03120	KUD10_RS03170
OG0000176	EHI52_RS03170	KUD10_RS03215
OG0000177	EHI52_RS03175	KUD10_RS03220
OG0000178	EHI52_RS03180	KUD10_RS03225
OG0000179	EHI52_RS03190	KUD10_RS03235
OG0000180	EHI52_RS03195	KUD10_RS03240
OG0000181	EHI52_RS03235	KUD10_RS03285
OG0000182	EHI52_RS03245	KUD10_RS03295
OG0000183	EHI52_RS03280	KUD10_RS03330
OG0000184	EHI52_RS03325	KUD10_RS03375
OG0000185	EHI52_RS03310	KUD10_RS03360
OG0000186	EHI52_RS01585	KUD10_RS01595
OG0000187	EHI52_RS01600	KUD10_RS01610
OG0000188	EHI52_RS01610	KUD10_RS01620
OG0000189	EHI52_RS02310	KUD10_RS02365
OG0000190	EHI52_RS02305	KUD10_RS02360
OG0000191	EHI52_RS02285	KUD10_RS02340
OG0000192	EHI52_RS01280	KUD10_RS01290
OG0000193	EHI52_RS01270	KUD10_RS01275
OG0000194	EHI52_RS00690	KUD10_RS00685
OG0000195	EHI52_RS00695	KUD10_RS00690
OG0000196	EHI52_RS00715	KUD10_RS00710
OG0000197	EHI52_RS00720	KUD10_RS00715
OG0000198	EHI52_RS00735	KUD10_RS00730
OG0000199	EHI52_RS00740	KUD10_RS00735
OG0000200	EHI52_RS00755	KUD10_RS00750
OG0000201	EHI52_RS00765	KUD10_RS00760
OG0000202	EHI52_RS00820	KUD10_RS00815
OG0000203	EHI52_RS00825	KUD10_RS00820
OG0000204	EHI52_RS00830	KUD10_RS00825
OG0000205	EHI52_RS00835	KUD10_RS00830
OG0000206	EHI52_RS00855	KUD10_RS00850
OG0000207	EHI52_RS00870	KUD10_RS00865
OG0000208	EHI52_RS00875	KUD10_RS00870
OG0000209	EHI52_RS00880	KUD10_RS00875
OG0000210	EHI52_RS00925	KUD10_RS00920
OG0000211	EHI52_RS01005	KUD10_RS00930
OG0000212	EHI52_RS01015	KUD10_RS00940
OG0000213	EHI52_RS01020	KUD10_RS00945
OG0000214	EHI52_RS01025	KUD10_RS00950
OG0000215	EHI52_RS01030	KUD10_RS00955
OG0000216	EHI52_RS01035	KUD10_RS00960
OG0000217	EHI52_RS01040	KUD10_RS00965
OG0000218	EHI52_RS01050	KUD10_RS00975
OG0000219	EHI52_RS01055	KUD10_RS00980
OG0000220	EHI52_RS01060	KUD10_RS00985
OG0000221	EHI52_RS01065	KUD10_RS00990
OG0000222	EHI52_RS01070	KUD10_RS00995
OG0000223	EHI52_RS01075	KUD10_RS01000
OG0000224	EHI52_RS01085	KUD10_RS01010
OG0000225	EHI52_RS01095	KUD10_RS01020
OG0000226	EHI52_RS01100	KUD10_RS01025
OG0000227	EHI52_RS01105	KUD10_RS01030
OG0000228	EHI52_RS03905	KUD10_RS03740
OG0000229	EHI52_RS01115	KUD10_RS01040
OG0000230	EHI52_RS01120	KUD10_RS01045
OG0000231	EHI52_RS01130	KUD10_RS01055
OG0000232	EHI52_RS01140	KUD10_RS01065
OG0000233	EHI52_RS01165	KUD10_RS01090
OG0000234	EHI52_RS01200	KUD10_RS01125
OG0000235	EHI52_RS01210	KUD10_RS01135
OG0000236	EHI52_RS01215	KUD10_RS01140
OG0000237	EHI52_RS01220	KUD10_RS01230
OG0000238	EHI52_RS01230	KUD10_RS01235
OG0000239	EHI52_RS02935	KUD10_RS03015
OG0000240	EHI52_RS02940	KUD10_RS03020
OG0000241	EHI52_RS02950	KUD10_RS03030
OG0000242	EHI52_RS02955	KUD10_RS03035
OG0000243	EHI52_RS02960	KUD10_RS03040
OG0000244	EHI52_RS02970	KUD10_RS03050
OG0000245	EHI52_RS02980	KUD10_RS03055
OG0000246	EHI52_RS00140	KUD10_RS00140
OG0000247	EHI52_RS00150	KUD10_RS00150
OG0000248	EHI52_RS00160	KUD10_RS00160
OG0000249	EHI52_RS00165	KUD10_RS00165
OG0000250	EHI52_RS00180	KUD10_RS00180
OG0000251	EHI52_RS00215	KUD10_RS00210
OG0000252	EHI52_RS00225	KUD10_RS00220
OG0000253	EHI52_RS00230	KUD10_RS00225
OG0000254	EHI52_RS00240	KUD10_RS00235
OG0000255	EHI52_RS00250	KUD10_RS00240
OG0000256	EHI52_RS00255	KUD10_RS00245
OG0000257	EHI52_RS00280	KUD10_RS00270
OG0000258	EHI52_RS00290	KUD10_RS00280
OG0000259	EHI52_RS00320	KUD10_RS00310
OG0000260	EHI52_RS00330	KUD10_RS00320
OG0000261	EHI52_RS00340	KUD10_RS00330
OG0000262	EHI52_RS00360	KUD10_RS00345
OG0000263	EHI52_RS00375	KUD10_RS00360
OG0000264	EHI52_RS00390	KUD10_RS00375
OG0000265	EHI52_RS00400	KUD10_RS00385
OG0000266	EHI52_RS00415	KUD10_RS00400
OG0000267	EHI52_RS00430	KUD10_RS00415
OG0000268	EHI52_RS00435	KUD10_RS00420
OG0000269	EHI52_RS00450	KUD10_RS00435
OG0000270	EHI52_RS03490	KUD10_RS03560
OG0000271	EHI52_RS03485	KUD10_RS03555
OG0000272	EHI52_RS03480	KUD10_RS03550
OG0000273	EHI52_RS03475	KUD10_RS03545
OG0000274	EHI52_RS03455	KUD10_RS03525
OG0000275	EHI52_RS03450	KUD10_RS03520
OG0000276	EHI52_RS03445	KUD10_RS03515
OG0000277	EHI52_RS03435	KUD10_RS03505
OG0000278	EHI52_RS03430	KUD10_RS03500
OG0000279	EHI52_RS03420	KUD10_RS03490
OG0000280	EHI52_RS03415	KUD10_RS03485
OG0000281	EHI52_RS03410	KUD10_RS03480
OG0000282	EHI52_RS03385	KUD10_RS03455
OG0000283	EHI52_RS03380	KUD10_RS03450
OG0000284	EHI52_RS03375	KUD10_RS03445
OG0000285	EHI52_RS03370	KUD10_RS03440
OG0000286	EHI52_RS02425	KUD10_RS02505
OG0000287	EHI52_RS02515	KUD10_RS02600
OG0000288	EHI52_RS02525	KUD10_RS02610
OG0000289	EHI52_RS02530	KUD10_RS02615
OG0000290	EHI52_RS02640	KUD10_RS02730
OG0000291	EHI52_RS02630	KUD10_RS02720
OG0000292	EHI52_RS02625	KUD10_RS02715
OG0000293	EHI52_RS02620	KUD10_RS02710
OG0000294	EHI52_RS02610	KUD10_RS02700
OG0000295	EHI52_RS02605	KUD10_RS02695
OG0000296	EHI52_RS02565	KUD10_RS02650
OG0000297	EHI52_RS02560	KUD10_RS02645
OG0000298	EHI52_RS00175	KUD10_RS00175
OG0000299	EHI52_RS00200	KUD10_RS00195
OG0000300	EHI52_RS00385	KUD10_RS00370
OG0000301	EHI52_RS00420	KUD10_RS00405
OG0000302	EHI52_RS00425	KUD10_RS00410
OG0000303	EHI52_RS00575	KUD10_RS00565
OG0000304	EHI52_RS01145	KUD10_RS01070
OG0000305	EHI52_RS02870	KUD10_RS02955
OG0000306	EHI52_RS02795	KUD10_RS02880
OG0000307	EHI52_RS02760	KUD10_RS02845
OG0000308	EHI52_RS02660	KUD10_RS02750
OG0000309	EHI52_RS02595	KUD10_RS02685
OG0000310	EHI52_RS02520	KUD10_RS02605
OG0000311	EHI52_RS02485	KUD10_RS02565
OG0000312	EHI52_RS02470	KUD10_RS02550
OG0000313	EHI52_RS01655	KUD10_RS01660
OG0000314	EHI52_RS01980	KUD10_RS02005
OG0000315	EHI52_RS01950	KUD10_RS02035
OG0000316	EHI52_RS01940	KUD10_RS02045
OG0000317	EHI52_RS01850	KUD10_RS02140
OG0000318	EHI52_RS01935	KUD10_RS02050
OG0000319	EHI52_RS02240	KUD10_RS02295
OG0000320	EHI52_RS02370	KUD10_RS02425
OG0000321	EHI52_RS01395	KUD10_RS01405
OG0000322	EHI52_RS01440	KUD10_RS01450
OG0000323	EHI52_RS01570	KUD10_RS01580
OG0000324	EHI52_RS02280	KUD10_RS02335
OG0000325	EHI52_RS00700	KUD10_RS00695
OG0000326	EHI52_RS00795	KUD10_RS00790
OG0000327	EHI52_RS00800	KUD10_RS00795
OG0000328	EHI52_RS00885	KUD10_RS00880
OG0000329	EHI52_RS00905	KUD10_RS00900
OG0000330	EHI52_RS01175	KUD10_RS01100
OG0000331	EHI52_RS02965	KUD10_RS03045
OG0000332	EHI52_RS03130	KUD10_RS03180
OG0000333	EHI52_RS03140	KUD10_RS03190
OG0000334	EHI52_RS03240	KUD10_RS03290
OG0000335	EHI52_RS03250	KUD10_RS03300
OG0000336	EHI52_RS03400	KUD10_RS03470
OG0000337	EHI52_RS03575	KUD10_RS03645
OG0000338	EHI52_RS03615	KUD10_RS03685
OG0000339	EHI52_RS02340	KUD10_RS02400
OG0000340	EHI52_RS01375	KUD10_RS01385
OG0000341	EHI52_RS02300	KUD10_RS02355
OG0000342	EHI52_RS00730	KUD10_RS00725
OG0000343	EHI52_RS03150	KUD10_RS03200
OG0000344	EHI52_RS00590	KUD10_RS00580
OG0000345	EHI52_RS01090	KUD10_RS01015
OG0000346	EHI52_RS03405	KUD10_RS03475
OG0000347	EHI52_RS01465	KUD10_RS01475
OG0000348	EHI52_RS00805	KUD10_RS00800
OG0000349	EHI52_RS03465	KUD10_RS03535
OG0000350	EHI52_RS02750	KUD10_RS02835
OG0000351	EHI52_RS00510	KUD10_RS00490
OG0000352	EHI52_RS02000	KUD10_RS01985
OG0000353	EHI52_RS01435	KUD10_RS01445
OG0000354	EHI52_RS00650	KUD10_RS00645
OG0000355	EHI52_RS02030	KUD10_RS01960
OG0000356	EHI52_RS01945	KUD10_RS02040
OG0000357	EHI52_RS03110	KUD10_RS03160
OG0000358	EHI52_RS03115	KUD10_RS03165
OG0000359	EHI52_RS00775	KUD10_RS00770
OG0000360	EHI52_RS00285	KUD10_RS00275
OG0000361	EHI52_RS00315	KUD10_RS00305
OG0000362	EHI52_RS02540	KUD10_RS02625
OG0000363	EHI52_RS01505	KUD10_RS01515
OG0000365	EHI52_RS01905	KUD10_RS02085
OG0000366	EHI52_RS01880	KUD10_RS02110
OG0000367	EHI52_RS01870	KUD10_RS02120
OG0000368	EHI52_RS00060	KUD10_RS00060
OG0000369	EHI52_RS00025	KUD10_RS00025
OG0000370	EHI52_RS00020	KUD10_RS00020
OG0000371	EHI52_RS00015	KUD10_RS00015
OG0000372	EHI52_RS00010	KUD10_RS00010
OG0000373	EHI52_RS03605	KUD10_RS03675
OG0000374	EHI52_RS03595	KUD10_RS03665
OG0000375	EHI52_RS02235	KUD10_RS02290
OG0000376	EHI52_RS02385	KUD10_RS02440
OG0000377	EHI52_RS02375	KUD10_RS02430
OG0000378	EHI52_RS01355	KUD10_RS01365
OG0000379	EHI52_RS01430	KUD10_RS01440
OG0000380	EHI52_RS01455	KUD10_RS01465
OG0000381	EHI52_RS01495	KUD10_RS01505
OG0000382	EHI52_RS01525	KUD10_RS01535
OG0000383	EHI52_RS01565	KUD10_RS01575
OG0000384	EHI52_RS00530	KUD10_RS00520
OG0000385	EHI52_RS00535	KUD10_RS00525
OG0000386	EHI52_RS00555	KUD10_RS00545
OG0000387	EHI52_RS00580	KUD10_RS00570
OG0000388	EHI52_RS00585	KUD10_RS00575
OG0000389	EHI52_RS00630	KUD10_RS00625
OG0000390	EHI52_RS02890	KUD10_RS02975
OG0000391	EHI52_RS02880	KUD10_RS02965
OG0000392	EHI52_RS02855	KUD10_RS02940
OG0000393	EHI52_RS02800	KUD10_RS02885
OG0000394	EHI52_RS02725	KUD10_RS02815
OG0000395	EHI52_RS02720	KUD10_RS02810
OG0000396	EHI52_RS02430	KUD10_RS02510
OG0000397	EHI52_RS02015	KUD10_RS01970
OG0000398	EHI52_RS02010	KUD10_RS01975
OG0000399	EHI52_RS01965	KUD10_RS02020
OG0000400	EHI52_RS03070	KUD10_RS03125
OG0000401	EHI52_RS03135	KUD10_RS03185
OG0000402	EHI52_RS03145	KUD10_RS03195
OG0000403	EHI52_RS03155	KUD10_RS03205
OG0000404	EHI52_RS03185	KUD10_RS03230
OG0000405	EHI52_RS03200	KUD10_RS03245
OG0000406	EHI52_RS03255	KUD10_RS03305
OG0000407	EHI52_RS03260	KUD10_RS03310
OG0000408	EHI52_RS03265	KUD10_RS03315
OG0000409	EHI52_RS03270	KUD10_RS03320
OG0000410	EHI52_RS03330	KUD10_RS03380
OG0000411	EHI52_RS03320	KUD10_RS03370
OG0000412	EHI52_RS03315	KUD10_RS03365
OG0000413	EHI52_RS01580	KUD10_RS01590
OG0000414	EHI52_RS01590	KUD10_RS01600
OG0000415	EHI52_RS01595	KUD10_RS01605
OG0000416	EHI52_RS01605	KUD10_RS01615
OG0000417	EHI52_RS02295	KUD10_RS02350
OG0000418	EHI52_RS02290	KUD10_RS02345
OG0000419	EHI52_RS00710	KUD10_RS00705
OG0000420	EHI52_RS00745	KUD10_RS00740
OG0000421	EHI52_RS00780	KUD10_RS00775
OG0000422	EHI52_RS00790	KUD10_RS00785
OG0000423	EHI52_RS00845	KUD10_RS00840
OG0000424	EHI52_RS00850	KUD10_RS00845
OG0000425	EHI52_RS00860	KUD10_RS00855
OG0000426	EHI52_RS00865	KUD10_RS00860
OG0000427	EHI52_RS00890	KUD10_RS00885
OG0000428	EHI52_RS00915	KUD10_RS00910
OG0000429	EHI52_RS01080	KUD10_RS01005
OG0000430	EHI52_RS01125	KUD10_RS01050
OG0000431	EHI52_RS01135	KUD10_RS01060
OG0000432	EHI52_RS01170	KUD10_RS01095
OG0000433	EHI52_RS01185	KUD10_RS01110
OG0000434	EHI52_RS01190	KUD10_RS01115
OG0000435	EHI52_RS01205	KUD10_RS01130
OG0000436	EHI52_RS01235	KUD10_RS01240
OG0000437	EHI52_RS01245	KUD10_RS01250
OG0000438	EHI52_RS01250	KUD10_RS01255
OG0000439	EHI52_RS01255	KUD10_RS01260
OG0000440	EHI52_RS02945	KUD10_RS03025
OG0000441	EHI52_RS02985	KUD10_RS03060
OG0000442	EHI52_RS00145	KUD10_RS00145
OG0000443	EHI52_RS00195	KUD10_RS00190
OG0000444	EHI52_RS00210	KUD10_RS00205
OG0000445	EHI52_RS00235	KUD10_RS00230
OG0000446	EHI52_RS00265	KUD10_RS00255
OG0000447	EHI52_RS00270	KUD10_RS00260
OG0000448	EHI52_RS00300	KUD10_RS00290
OG0000449	EHI52_RS00325	KUD10_RS00315
OG0000450	EHI52_RS00335	KUD10_RS00325
OG0000451	EHI52_RS00380	KUD10_RS00365
OG0000452	EHI52_RS00405	KUD10_RS00390
OG0000453	EHI52_RS00440	KUD10_RS00425
OG0000455	EHI52_RS03510	KUD10_RS03580
OG0000456	EHI52_RS03390	KUD10_RS03460
OG0000457	EHI52_RS03365	KUD10_RS03435
OG0000458	EHI52_RS02510	KUD10_RS02595
OG0000459	EHI52_RS02535	KUD10_RS02620
OG0000460	EHI52_RS02545	KUD10_RS02630
OG0000461	EHI52_RS02590	KUD10_RS02680
OG0000462	EHI52_RS02585	KUD10_RS02670
OG0000463	EHI52_RS02580	KUD10_RS02665
OG0000464	EHI52_RS02575	KUD10_RS02660
OG0000465	EHI52_RS02570	KUD10_RS02655
OG0000466	EHI52_RS00410	KUD10_RS00395
OG0000467	EHI52_RS02670	KUD10_RS02760
OG0000468	EHI52_RS01970	KUD10_RS02015
OG0000469	EHI52_RS01910	KUD10_RS02075
OG0000470	EHI52_RS03650	KUD10_RS00835
OG0000471	EHI52_RS00920	KUD10_RS00915
OG0000472	EHI52_RS03340	KUD10_RS03390
OG0000473	EHI52_RS03495	KUD10_RS03565
OG0000474	EHI52_RS03500	KUD10_RS03570
OG0000475	EHI52_RS03505	KUD10_RS03575
OG0000476	EHI52_RS01615	KUD10_RS01625
OG0000477	EHI52_RS02615	KUD10_RS02705
OG0000478	EHI52_RS03440	KUD10_RS03510
OG0000479	EHI52_RS01390	KUD10_RS01400
OG0000480	EHI52_RS03665	KUD10_RS02080
OG0000481	EHI52_RS00815	KUD10_RS00810
OG0000482	EHI52_RS01275	KUD10_RS01280
OG0000483	EHI52_RS01865	KUD10_RS02125
OG0000484	EHI52_RS00205	KUD10_RS00200
OG0000485	EHI52_RS01240	KUD10_RS01245
OG0000486	EHI52_RS02315	KUD10_RS02370
OG0000487	EHI52_RS01930	KUD10_RS02055
OG0000488	EHI52_RS01895	KUD10_RS02095
OG0000489	EHI52_RS00050	KUD10_RS00050
OG0000490	EHI52_RS03610	KUD10_RS03680
OG0000491	EHI52_RS01410	KUD10_RS01420
OG0000492	EHI52_RS01485	KUD10_RS01495
OG0000493	EHI52_RS00595	KUD10_RS00585
OG0000494	EHI52_RS00655	KUD10_RS00650
OG0000495	EHI52_RS02825	KUD10_RS02910
OG0000496	EHI52_RS02815	KUD10_RS02900
OG0000497	EHI52_RS02810	KUD10_RS02895
OG0000498	EHI52_RS02730	KUD10_RS02820
OG0000499	EHI52_RS02695	KUD10_RS02785
OG0000500	EHI52_RS02005	KUD10_RS01980
OG0000501	EHI52_RS03080	KUD10_RS03135
OG0000502	EHI52_RS01265	KUD10_RS01270
OG0000503	EHI52_RS00760	KUD10_RS00755
OG0000504	EHI52_RS00895	KUD10_RS00890
OG0000505	EHI52_RS01000	KUD10_RS00925
OG0000506	EHI52_RS01010	KUD10_RS00935
