CIB43_RS00005 WP_094521749.1
CIB43_RS00960 WP_011205889.1
CIB43_RS00965 WP_094521758.1
CIB43_RS00970 WP_094521758.1
CIB43_RS00975 WP_094521758.1
CIB43_RS00980 WP_094521758.1
CIB43_RS00985 WP_011289973.1
CIB43_RS00990 WP_094521548.1
CIB43_RS00995 WP_011289974.1
CIB43_RS01000 WP_011289974.1
CIB43_RS01005 WP_011289974.1
CIB43_RS01010 WP_011289974.1
CIB43_RS01015 WP_011289974.1
CIB43_RS01020 WP_094521549.1
CIB43_RS01025 WP_094521759.1
CIB43_RS01030 WP_094521759.1
CIB43_RS01035 WP_094521550.1
CIB43_RS01040 WP_094521550.1
CIB43_RS01045 WP_094521550.1
CIB43_RS01055 WP_094521551.1
CIB43_RS01060 WP_094521552.1
CIB43_RS01065 WP_041361531.1
CIB43_RS01070 WP_041361531.1
CIB43_RS01075 WP_041361531.1
CIB43_RS01080 WP_011283885.1
CIB43_RS01085 WP_094521553.1
CIB43_RS01090 WP_011205915.1
CIB43_RS01095 WP_011283887.1
CIB43_RS01100 WP_011283887.1
CIB43_RS01105 WP_044284579.1
CIB43_RS01110 WP_044284579.1
CIB43_RS01115 WP_011205922.1
CIB43_RS01120 WP_011205923.1
CIB43_RS01125 WP_011283891.1
CIB43_RS01130 WP_014579576.1
CIB43_RS01135 WP_094521554.1
CIB43_RS01140 WP_094521760.1
CIB43_RS01145 WP_094521555.1
CIB43_RS01150 WP_094521556.1
CIB43_RS01155 WP_094521556.1
CIB43_RS01160 WP_094521556.1
CIB43_RS03970 WP_094521556.1
CIB43_RS01165 WP_094521761.1
CIB43_RS01170 WP_094521557.1
CIB43_RS01175 WP_094521558.1
CIB43_RS01180 WP_094521559.1
CIB43_RS01185 WP_094521560.1
CIB43_RS01190 WP_094521561.1
CIB43_RS01195 WP_094521562.1
CIB43_RS03975 WP_157696709.1
CIB43_RS01205 WP_094521564.1
CIB43_RS01210 WP_094521762.1
CIB43_RS01215 WP_094521762.1
CIB43_RS01220 WP_014579746.1
CIB43_RS01225 WP_094521565.1
CIB43_RS01230 WP_094521565.1
CIB43_RS01235 WP_094521565.1
CIB43_RS01240 WP_094521566.1
CIB43_RS01245 WP_094521566.1
CIB43_RS01250 WP_094521567.1
CIB43_RS01255 WP_094521568.1
CIB43_RS01260 WP_011206362.1
CIB43_RS01265 WP_011206361.1
CIB43_RS01270 WP_011206361.1
CIB43_RS01275 WP_011206358.1
CIB43_RS01280 WP_011206358.1
CIB43_RS01285 WP_094521569.1
CIB43_RS01290 WP_094521569.1
CIB43_RS01295 WP_088172525.1
CIB43_RS01300 WP_094521570.1
CIB43_RS01305 WP_011283894.1
CIB43_RS01310 WP_011283895.1
CIB43_RS01315 WP_011283895.1
CIB43_RS01320 WP_011206134.1
CIB43_RS01325 WP_044272301.1
CIB43_RS01330 WP_094521763.1
CIB43_RS01380 WP_094521571.1
CIB43_RS01385 WP_094521571.1
CIB43_RS01390 WP_094521572.1
CIB43_RS01395 WP_094521573.1
CIB43_RS01400 WP_094521573.1
CIB43_RS01405 WP_094521574.1
CIB43_RS01410 WP_094521575.1
CIB43_RS01415 WP_094521764.1
CIB43_RS01420 WP_094521765.1
CIB43_RS01425 WP_094521765.1
CIB43_RS01435 WP_011206120.1
CIB43_RS01440 WP_094521576.1
CIB43_RS01445 WP_011206118.1
CIB43_RS01450 WP_011206118.1
CIB43_RS01455 WP_011206118.1
CIB43_RS01460 WP_094521577.1
CIB43_RS01465 WP_094521577.1
CIB43_RS01470 WP_011206113.1
CIB43_RS01480 WP_094521578.1
CIB43_RS01485 WP_094521578.1
CIB43_RS01490 WP_094521579.1
CIB43_RS01495 WP_011206106.1
CIB43_RS01510 WP_094521580.1
CIB43_RS01515 WP_094521580.1
CIB43_RS01520 WP_011206103.1
CIB43_RS01525 WP_011206102.1
CIB43_RS01530 WP_011206101.1
CIB43_RS01540 WP_011206101.1
CIB43_RS01545 WP_011206099.1
CIB43_RS03980 WP_011206099.1
CIB43_RS01550 WP_094521581.1
CIB43_RS01555 WP_011206097.1
CIB43_RS01560 WP_094521582.1
CIB43_RS01565 WP_094521583.1
CIB43_RS01570 WP_011206094.1
CIB43_RS01575 WP_011206093.1
CIB43_RS01580 WP_011206093.1
CIB43_RS01585 WP_094521584.1
CIB43_RS01590 WP_041361572.1
CIB43_RS01595 WP_094521585.1
CIB43_RS01600 WP_094521586.1
CIB43_RS01605 WP_011283930.1
CIB43_RS01610 WP_011206086.1
CIB43_RS01615 WP_011206086.1
CIB43_RS01625 WP_094521587.1
CIB43_RS01630 WP_094521587.1
CIB43_RS01635 WP_094521588.1
CIB43_RS01645 WP_094521589.1
CIB43_RS01650 WP_094521589.1
CIB43_RS01655 WP_020835579.1
CIB43_RS01660 WP_020835579.1
CIB43_RS01665 WP_094521590.1
CIB43_RS01670 WP_011206076.1
CIB43_RS01675 WP_014579636.1
CIB43_RS01685 WP_014579636.1
CIB43_RS01690 WP_011283943.1
CIB43_RS01695 WP_094521591.1
CIB43_RS01700 WP_014579633.1
CIB43_RS01705 WP_094521592.1
CIB43_RS01710 WP_094521593.1
CIB43_RS01715 WP_094521593.1
CIB43_RS01720 WP_094521593.1
CIB43_RS01725 WP_011290044.1
CIB43_RS01730 WP_011290044.1
CIB43_RS01735 WP_011290044.1
CIB43_RS01740 WP_094521594.1
CIB43_RS01745 WP_011290046.1
CIB43_RS01750 WP_011206061.1
CIB43_RS01755 WP_011290047.1
CIB43_RS01760 WP_011290047.1
CIB43_RS01765 WP_094521766.1
CIB43_RS01770 WP_094521766.1
CIB43_RS01775 WP_044284742.1
CIB43_RS01780 WP_011283957.1
CIB43_RS01785 WP_011283958.1
CIB43_RS01790 WP_094521595.1
CIB43_RS01795 WP_094521596.1
CIB43_RS01800 WP_094521596.1
CIB43_RS01805 WP_011206050.1
CIB43_RS01810 WP_011206049.1
CIB43_RS01815 WP_011206048.1
CIB43_RS01820 WP_011283963.1
CIB43_RS01825 WP_011206047.1
CIB43_RS01830 WP_011206046.1
CIB43_RS01835 WP_011283965.1
CIB43_RS01840 WP_011206044.1
CIB43_RS01845 WP_011206044.1
CIB43_RS01850 WP_094521597.1
CIB43_RS01855 WP_051129924.1
CIB43_RS01860 WP_011206040.1
CIB43_RS01865 WP_011206039.1
CIB43_RS01870 WP_011206038.1
CIB43_RS01875 WP_041361589.1
CIB43_RS01880 WP_011206036.1
CIB43_RS01885 WP_011206036.1
CIB43_RS01890 WP_014579611.1
CIB43_RS01895 WP_094521598.1
CIB43_RS01900 WP_011206032.1
CIB43_RS01905 WP_011206031.1
CIB43_RS01910 WP_094521599.1
CIB43_RS01915 WP_011206028.1
CIB43_RS01920 WP_014579605.1
CIB43_RS01925 WP_094521600.1
CIB43_RS01930 WP_011206025.1
CIB43_RS01935 WP_011206025.1
CIB43_RS01940 WP_014579601.1
CIB43_RS01945 WP_094521601.1
CIB43_RS01950 WP_094521601.1
CIB43_RS01955 WP_094521602.1
CIB43_RS01960 WP_011290071.1
CIB43_RS01965 WP_011290071.1
CIB43_RS01970 WP_011206016.1
CIB43_RS01975 WP_094521603.1
CIB43_RS01980 WP_094521603.1
CIB43_RS01985 WP_157696710.1
CIB43_RS01990 WP_094521604.1
CIB43_RS01995 WP_044284822.1
CIB43_RS02000 WP_044284822.1
CIB43_RS02005 WP_094521605.1
CIB43_RS02010 WP_011283989.1
CIB43_RS02015 WP_094521606.1
CIB43_RS02020 WP_014579668.1
CIB43_RS02025 WP_011206006.1
CIB43_RS02030 WP_011206005.1
CIB43_RS02035 WP_094521607.1
CIB43_RS02040 WP_011206003.1
CIB43_RS02045 WP_011206003.1
CIB43_RS02050 WP_011206003.1
CIB43_RS02060 WP_011206003.1
CIB43_RS02065 WP_011206003.1
CIB43_RS02070 WP_094521609.1
CIB43_RS02075 WP_094521610.1
CIB43_RS02080 WP_094521611.1
CIB43_RS02085 WP_011205992.1
CIB43_RS03985 WP_157696711.1
CIB43_RS02090 WP_094521612.1
CIB43_RS02095 WP_094521613.1
CIB43_RS02100 WP_094521614.1
CIB43_RS02105 WP_094521615.1
CIB43_RS02110 WP_094521616.1
CIB43_RS02115 WP_094521617.1
CIB43_RS02120 WP_011284008.1
CIB43_RS02125 WP_011284008.1
CIB43_RS02130 WP_011205983.1
CIB43_RS02135 WP_094521618.1
CIB43_RS02140 WP_094521619.1
CIB43_RS02145 WP_094521767.1
CIB43_RS02150 WP_094521767.1
CIB43_RS02155 WP_094521768.1
CIB43_RS02160 WP_094521620.1
CIB43_RS02165 WP_094521621.1
CIB43_RS02170 WP_094521622.1
CIB43_RS02175 WP_014579714.1
CIB43_RS02180 WP_011205973.1
CIB43_RS02185 WP_011205973.1
CIB43_RS02190 WP_094521623.1
CIB43_RS02195 WP_094521623.1
CIB43_RS02200 WP_011205969.1
CIB43_RS02205 WP_094521624.1
CIB43_RS02210 WP_094521625.1
CIB43_RS02215 WP_011205966.1
CIB43_RS02220 WP_011205966.1
CIB43_RS02225 WP_011284027.1
CIB43_RS02230 WP_011284027.1
CIB43_RS02235 WP_011205962.1
CIB43_RS02240 WP_094521626.1
CIB43_RS02245 WP_011205960.1
CIB43_RS02250 WP_011205959.1
CIB43_RS02255 WP_094521627.1
CIB43_RS02260 WP_094521769.1
CIB43_RS02265 WP_157696712.1
CIB43_RS02270 WP_011205955.1
CIB43_RS02275 WP_011205954.1
CIB43_RS02280 WP_011290118.1
CIB43_RS02285 WP_011205952.1
CIB43_RS02290 WP_094521628.1
CIB43_RS02295 WP_094521629.1
CIB43_RS02300 WP_094521630.1
CIB43_RS02305 WP_094521631.1
CIB43_RS02310 WP_094521632.1
CIB43_RS02315 WP_094521633.1
CIB43_RS02320 WP_094521634.1
CIB43_RS02325 WP_014579732.1
CIB43_RS02330 WP_014579732.1
CIB43_RS02335 WP_011284046.1
CIB43_RS02365 WP_094521635.1
CIB43_RS02370 WP_094521635.1
CIB43_RS02375 WP_094521770.1
CIB43_RS02380 WP_094521636.1
CIB43_RS02385 WP_094521636.1
CIB43_RS02390 WP_094521637.1
CIB43_RS02395 WP_094521637.1
CIB43_RS02400 WP_094521637.1
CIB43_RS02405 WP_011284055.1
CIB43_RS02410 WP_011284055.1
CIB43_RS02415 WP_011205932.1
CIB43_RS02420 WP_011205932.1
CIB43_RS02425 WP_011205932.1
CIB43_RS02430 WP_094521638.1
CIB43_RS02435 WP_094521638.1
CIB43_RS02440 WP_094521638.1
CIB43_RS02445 WP_094521638.1
CIB43_RS02450 WP_094521638.1
CIB43_RS02455 WP_094521638.1
CIB43_RS03990 WP_094521638.1
CIB43_RS03995 WP_157696718.1
CIB43_RS02465 WP_094521640.1
CIB43_RS02470 WP_094521641.1
CIB43_RS02475 WP_094521641.1
CIB43_RS02480 WP_011206141.1
CIB43_RS02485 WP_011206141.1
CIB43_RS02490 WP_094521642.1
CIB43_RS02495 WP_094521642.1
CIB43_RS02500 WP_094521643.1
CIB43_RS02505 WP_094521771.1
CIB43_RS02510 WP_094521771.1
CIB43_RS02515 WP_094521771.1
CIB43_RS02520 WP_094521771.1
CIB43_RS02525 WP_094521644.1
CIB43_RS02530 WP_011290145.1
CIB43_RS04000 WP_157696713.1
CIB43_RS02535 WP_157696713.1
CIB43_RS02540 WP_157696713.1
CIB43_RS02545 WP_157696713.1
CIB43_RS02550 WP_157696713.1
CIB43_RS02555 WP_094521645.1
CIB43_RS02560 WP_094521645.1
CIB43_RS02565 WP_094521646.1
CIB43_RS02570 WP_094521647.1
CIB43_RS02575 WP_014579758.1
CIB43_RS02580 WP_094521648.1
CIB43_RS02585 WP_094521649.1
CIB43_RS02590 WP_094521650.1
CIB43_RS02595 WP_157696714.1
CIB43_RS02600 WP_157696719.1
CIB43_RS02605 WP_094521652.1
CIB43_RS02610 WP_094521652.1
CIB43_RS02620 WP_094521654.1
CIB43_RS02625 WP_094521654.1
CIB43_RS02630 WP_094521655.1
CIB43_RS02635 WP_094521655.1
CIB43_RS02640 WP_094521656.1
CIB43_RS02645 WP_094521657.1
CIB43_RS02650 WP_094521658.1
CIB43_RS02655 WP_094521658.1
CIB43_RS02660 WP_094521659.1
CIB43_RS02665 WP_011206179.1
CIB43_RS02670 WP_094521772.1
CIB43_RS02675 WP_020835695.1
CIB43_RS02680 WP_011284100.1
CIB43_RS02685 WP_094521660.1
CIB43_RS02690 WP_094521661.1
CIB43_RS02695 WP_157696715.1
CIB43_RS02700 WP_157696716.1
CIB43_RS02705 WP_094521664.1
CIB43_RS02710 WP_094521665.1
CIB43_RS02715 WP_094521665.1
CIB43_RS02720 WP_041361763.1
CIB43_RS02725 WP_094521666.1
CIB43_RS04005 WP_157696717.1
CIB43_RS02730 WP_157696717.1
CIB43_RS02735 WP_094521667.1
CIB43_RS02740 WP_094521668.1
CIB43_RS02745 WP_094521669.1
CIB43_RS02750 WP_094521670.1
CIB43_RS02755 WP_094521671.1
CIB43_RS02760 WP_094521671.1
CIB43_RS04010 WP_143826160.1
CIB43_RS02765 WP_014579798.1
CIB43_RS02770 WP_014579798.1
CIB43_RS02775 WP_094521773.1
CIB43_RS02780 WP_094521672.1
CIB43_RS02785 WP_094521672.1
CIB43_RS02800 WP_011284115.1
CIB43_RS02805 WP_011284115.1
CIB43_RS02810 WP_014579804.1
CIB43_RS02815 WP_014579804.1
CIB43_RS02820 WP_014579804.1
CIB43_RS02825 WP_014579804.1
CIB43_RS02830 WP_094521673.1
CIB43_RS02835 WP_011206200.1
CIB43_RS02840 WP_011206200.1
CIB43_RS02845 WP_094521774.1
CIB43_RS02850 WP_094521674.1
CIB43_RS02855 WP_094521675.1
CIB43_RS02860 WP_094521676.1
CIB43_RS02865 WP_094521677.1
CIB43_RS02870 WP_094521677.1
CIB43_RS02875 WP_011206207.1
CIB43_RS02880 WP_044284793.1
CIB43_RS02885 WP_011206209.1
CIB43_RS02890 WP_094521678.1
CIB43_RS02895 WP_094521679.1
CIB43_RS02900 WP_094521775.1
CIB43_RS02905 WP_157696720.1
CIB43_RS02910 WP_157696720.1
CIB43_RS02915 WP_157696720.1
CIB43_RS02920 WP_094521681.1
CIB43_RS02925 WP_094521681.1
CIB43_RS02930 WP_094521681.1
CIB43_RS02935 WP_094521681.1
CIB43_RS02940 WP_094521682.1
CIB43_RS02945 WP_011284142.1
CIB43_RS02950 WP_011284142.1
CIB43_RS02955 WP_011284142.1
CIB43_RS02960 WP_094521683.1
CIB43_RS02965 WP_094521683.1
CIB43_RS02970 WP_094521683.1
CIB43_RS02975 WP_094521684.1
CIB43_RS02980 WP_044272480.1
CIB43_RS02985 WP_094521685.1
CIB43_RS02990 WP_011206231.1
CIB43_RS02995 WP_011284150.1
CIB43_RS03010 WP_094521686.1
CIB43_RS03015 WP_094521687.1
CIB43_RS03020 WP_039387598.1
CIB43_RS04015 WP_039387598.1
CIB43_RS03025 WP_039387598.1
CIB43_RS03030 WP_039387598.1
CIB43_RS03035 WP_039387598.1
CIB43_RS03040 WP_039387598.1
CIB43_RS03045 WP_002557988.1
CIB43_RS03050 WP_002557988.1
CIB43_RS03055 WP_002557988.1
CIB43_RS03065 WP_094521688.1
CIB43_RS03070 WP_094521688.1
CIB43_RS03075 WP_002557992.1
CIB43_RS03080 WP_002557993.1
CIB43_RS03085 WP_011284157.1
CIB43_RS03090 WP_011284157.1
CIB43_RS03095 WP_011284157.1
CIB43_RS04020 WP_011206235.1
CIB43_RS03100 WP_011284160.1
CIB43_RS03105 WP_094521689.1
CIB43_RS03110 WP_011206238.1
CIB43_RS03115 WP_011206239.1
CIB43_RS03120 WP_011206239.1
CIB43_RS03125 WP_094521690.1
CIB43_RS03130 WP_094521691.1
CIB43_RS03135 WP_014579831.1
CIB43_RS03140 WP_011290218.1
CIB43_RS03145 WP_011290219.1
CIB43_RS03150 WP_011284169.1
CIB43_RS03155 WP_014579827.1
CIB43_RS03160 WP_094521692.1
CIB43_RS03170 WP_094521693.1
CIB43_RS03175 WP_011290223.1
CIB43_RS03180 WP_011290223.1
CIB43_RS03185 WP_094521694.1
CIB43_RS03190 WP_011284176.1
CIB43_RS03195 WP_011206256.1
CIB43_RS03200 WP_094521695.1
CIB43_RS03205 WP_094521696.1
CIB43_RS03210 WP_094521776.1
CIB43_RS03215 WP_094521776.1
CIB43_RS03225 WP_094521776.1
CIB43_RS03230 WP_094521698.1
CIB43_RS03235 WP_094521699.1
CIB43_RS03240 WP_094521700.1
CIB43_RS03245 WP_094521777.1
CIB43_RS03250 WP_011284186.1
CIB43_RS03255 WP_094521701.1
CIB43_RS03260 WP_094521701.1
CIB43_RS03265 WP_094521702.1
CIB43_RS03270 WP_094521702.1
CIB43_RS03275 WP_094521703.1
CIB43_RS03280 WP_094521703.1
CIB43_RS03285 WP_094521704.1
CIB43_RS03290 WP_094521705.1
CIB43_RS03295 WP_094521706.1
CIB43_RS03300 WP_094521707.1
CIB43_RS03310 WP_094521707.1
CIB43_RS03315 WP_094521707.1
CIB43_RS03320 WP_094521709.1
CIB43_RS03325 WP_094521710.1
CIB43_RS03330 WP_094521711.1
CIB43_RS03335 WP_094521712.1
CIB43_RS03340 WP_094521713.1
CIB43_RS03345 WP_094521714.1
CIB43_RS03350 WP_094521715.1
CIB43_RS03360 WP_094521716.1
CIB43_RS03365 WP_094521716.1
CIB43_RS03370 WP_094521716.1
CIB43_RS03375 WP_011206287.1
CIB43_RS03380 WP_081430769.1
CIB43_RS03385 WP_011206289.1
CIB43_RS03390 WP_094521778.1
CIB43_RS03395 WP_011206291.1
CIB43_RS03400 WP_011206292.1
CIB43_RS03405 WP_011206293.1
CIB43_RS03420 WP_094521717.1
CIB43_RS03425 WP_041361789.1
CIB43_RS03430 WP_041361789.1
CIB43_RS03435 WP_041361789.1
CIB43_RS03440 WP_011206297.1
CIB43_RS03445 WP_094521718.1
CIB43_RS03450 WP_094521779.1
CIB43_RS03455 WP_020835793.1
CIB43_RS03460 WP_014579890.1
CIB43_RS03465 WP_094521719.1
CIB43_RS03470 WP_094521719.1
CIB43_RS03475 WP_094521719.1
CIB43_RS03480 WP_011206305.1
CIB43_RS03485 WP_011284225.1
CIB43_RS03490 WP_044272552.1
CIB43_RS03495 WP_044272552.1
CIB43_RS03500 WP_094521720.1
CIB43_RS03505 WP_094521721.1
CIB43_RS03510 WP_094521721.1
CIB43_RS03515 WP_094521721.1
CIB43_RS03520 WP_011206313.1
CIB43_RS03525 WP_014579900.1
CIB43_RS03530 WP_094521722.1
CIB43_RS03535 WP_094521780.1
CIB43_RS03540 WP_094521780.1
CIB43_RS03545 WP_094521723.1
CIB43_RS03550 WP_044284681.1
CIB43_RS03555 WP_011206320.1
CIB43_RS03560 WP_011206320.1
CIB43_RS03565 WP_094521724.1
CIB43_RS03570 WP_094521725.1
CIB43_RS03575 WP_094521726.1
CIB43_RS03580 WP_011206325.1
CIB43_RS03585 WP_157696721.1
CIB43_RS03590 WP_157696721.1
CIB43_RS03595 WP_157696721.1
CIB43_RS03600 WP_157696721.1
CIB43_RS03605 WP_094521781.1
CIB43_RS03610 WP_094521781.1
CIB43_RS03615 WP_094521727.1
CIB43_RS03620 WP_094521727.1
CIB43_RS03625 WP_011206334.1
CIB43_RS03630 WP_011206335.1
CIB43_RS03635 WP_011206335.1
CIB43_RS03640 WP_020835820.1
CIB43_RS03645 WP_020835820.1
CIB43_RS03650 WP_094521728.1
CIB43_RS03655 WP_094521728.1
CIB43_RS03660 WP_094521728.1
CIB43_RS03665 WP_094521729.1
CIB43_RS03670 WP_094521729.1
CIB43_RS03675 WP_094521782.1
CIB43_RS03680 WP_094521730.1
CIB43_RS03685 WP_011206346.1
CIB43_RS03690 WP_011206347.1
CIB43_RS03695 WP_094521731.1
CIB43_RS03700 WP_094521732.1
CIB43_RS03705 WP_094521733.1
CIB43_RS03710 WP_041361798.1
CIB43_RS03715 WP_011206352.1
CIB43_RS03720 WP_094521734.1
CIB43_RS03725 WP_094521734.1
CIB43_RS03730 WP_011206373.1
CIB43_RS03735 WP_011206373.1
CIB43_RS03740 WP_011206373.1
CIB43_RS03745 WP_011206376.1
CIB43_RS03750 WP_094521735.1
CIB43_RS03755 WP_094521736.1
CIB43_RS03760 WP_011206379.1
CIB43_RS03765 WP_020835837.1
CIB43_RS03770 WP_094521737.1
CIB43_RS03775 WP_094521737.1
CIB43_RS03780 WP_094521737.1
CIB43_RS03785 WP_011206384.1
CIB43_RS03790 WP_011206385.1
CIB43_RS03795 WP_094521738.1
CIB43_RS03800 WP_011290337.1
CIB43_RS03805 WP_011290337.1
CIB43_RS03810 WP_094521739.1
CIB43_RS03815 WP_094521739.1
CIB43_RS03820 WP_011206391.1
CIB43_RS03825 WP_011206391.1
CIB43_RS03830 WP_011206391.1
CIB43_RS03835 WP_011206391.1
CIB43_RS03840 WP_094521783.1
CIB43_RS03845 WP_094521740.1
