FEF31_RS00005 WP_243215955.1
FEF31_RS00685 WP_011206032.1
FEF31_RS00690 WP_011290064.1
FEF31_RS04770 WP_160608021.1
FEF31_RS00700 WP_011206028.1
FEF31_RS00705 WP_014579605.1
FEF31_RS00710 WP_243216006.1
FEF31_RS00715 WP_011206025.1
FEF31_RS00720 WP_146379524.1
FEF31_RS00725 WP_014579601.1
FEF31_RS00730 WP_011283978.1
FEF31_RS00735 WP_243234961.1
FEF31_RS00740 WP_243234962.1
FEF31_RS00745 WP_243234962.1
FEF31_RS00750 WP_011290071.1
FEF31_RS00755 WP_243216010.1
FEF31_RS00760 WP_011206016.1
FEF31_RS00765 WP_243216012.1
FEF31_RS00770 WP_011206014.1
FEF31_RS00775 WP_233688674.1
FEF31_RS00780 WP_243216013.1
FEF31_RS00785 WP_044284822.1
FEF31_RS00790 WP_020835610.1
FEF31_RS00795 WP_243216014.1
FEF31_RS00800 WP_011283989.1
FEF31_RS00805 WP_243216016.1
FEF31_RS00810 WP_011283991.1
FEF31_RS00815 WP_011206005.1
FEF31_RS00820 WP_243216018.1
FEF31_RS00825 WP_233688689.1
FEF31_RS00830 WP_243216021.1
FEF31_RS04400 WP_243216023.1
FEF31_RS00840 WP_243216025.1
FEF31_RS00845 WP_232039583.1
FEF31_RS00850 WP_243216026.1
FEF31_RS00855 WP_243216028.1
FEF31_RS00860 WP_011283999.1
FEF31_RS00865 WP_014579695.1
FEF31_RS00870 WP_158209054.1
FEF31_RS00875 WP_011205992.1
FEF31_RS00880 WP_243216030.1
FEF31_RS00885 WP_160584731.1
FEF31_RS00890 WP_243216031.1
FEF31_RS00895 WP_243216033.1
FEF31_RS04405 WP_014579701.1
FEF31_RS00905 WP_243216034.1
FEF31_RS04410 WP_014579703.1
FEF31_RS04415 WP_243216036.1
FEF31_RS00920 WP_011205983.1
FEF31_RS00925 WP_243216038.1
FEF31_RS00930 WP_243216040.1
FEF31_RS00935 WP_243216042.1
FEF31_RS00940 WP_243216044.1
FEF31_RS00945 WP_094521768.1
FEF31_RS00950 WP_179221065.1
FEF31_RS00955 WP_243216047.1
FEF31_RS00960 WP_243216048.1
FEF31_RS00965 WP_011284018.1
FEF31_RS00970 WP_011205973.1
FEF31_RS00975 WP_243216049.1
FEF31_RS04420 WP_233688705.1
FEF31_RS00985 WP_243216050.1
FEF31_RS00990 WP_011205969.1
FEF31_RS00995 WP_228729171.1
FEF31_RS01000 WP_179696055.1
FEF31_RS01005 WP_011205966.1
FEF31_RS01010 WP_243216052.1
FEF31_RS01015 WP_243216052.1
FEF31_RS01020 WP_011284027.1
FEF31_RS01025 WP_044284614.1
FEF31_RS01030 WP_011205962.1
FEF31_RS01035 WP_044284615.1
FEF31_RS01040 WP_020835642.1
FEF31_RS01045 WP_011284032.1
FEF31_RS01050 WP_011205958.1
FEF31_RS01055 WP_233688710.1
FEF31_RS01060 WP_011205956.1
FEF31_RS01065 WP_243216053.1
FEF31_RS01070 WP_243216054.1
FEF31_RS01075 WP_011205953.1
FEF31_RS01080 WP_011205952.1
FEF31_RS01085 WP_160607802.1
FEF31_RS01090 WP_011205950.1
FEF31_RS01095 WP_243216055.1
FEF31_RS01100 WP_011290122.1
FEF31_RS01105 WP_269076322.1
FEF31_RS04425 WP_243216057.1
FEF31_RS01115 WP_243216059.1
FEF31_RS01120 WP_014579732.1
FEF31_RS01125 WP_243216060.1
FEF31_RS01130 WP_011284046.1
FEF31_RS01160 WP_160588225.1
FEF31_RS01165 WP_014579735.1
FEF31_RS01170 WP_135618712.1
FEF31_RS04430 WP_135618714.1
FEF31_RS01180 WP_243216061.1
FEF31_RS04435 WP_020835656.1
FEF31_RS01190 WP_011290131.1
FEF31_RS01195 WP_020835657.1
FEF31_RS01200 WP_243216062.1
FEF31_RS01205 WP_160601243.1
FEF31_RS01210 WP_011205932.1
FEF31_RS01215 WP_243216064.1
FEF31_RS04440 WP_243216066.1
FEF31_RS01225 WP_243216067.1
FEF31_RS01230 WP_243216068.1
FEF31_RS01235 WP_243216069.1
FEF31_RS01240 WP_243216070.1
FEF31_RS01245 WP_044284624.1
FEF31_RS04035 WP_269076328.1
FEF31_RS01250 WP_269076328.1
FEF31_RS01255 WP_243216071.1
FEF31_RS01260 WP_011206141.1
FEF31_RS01265 WP_011290137.1
FEF31_RS01270 WP_160601269.1
FEF31_RS01275 WP_179221095.1
FEF31_RS01280 WP_243216072.1
FEF31_RS01285 WP_243216073.1
FEF31_RS01290 WP_243216074.1
FEF31_RS01295 WP_135618763.1
FEF31_RS01300 WP_243234963.1
FEF31_RS01305 WP_243216079.1
FEF31_RS01310 WP_011290145.1
FEF31_RS01315 WP_011290145.1
FEF31_RS01320 WP_243216081.1
FEF31_RS04445 WP_243216083.1
FEF31_RS01330 WP_243216085.1
FEF31_RS04775 WP_081430780.1
FEF31_RS01340 WP_243216087.1
FEF31_RS01345 WP_243216090.1
FEF31_RS01350 WP_243216092.1
FEF31_RS01355 WP_243216093.1
FEF31_RS01360 WP_011206161.1
FEF31_RS01365 WP_243216094.1
FEF31_RS01370 WP_243216095.1
FEF31_RS04450 WP_243216096.1
FEF31_RS01380 WP_243234964.1
FEF31_RS01385 WP_243234990.1
FEF31_RS04455 WP_243216098.1
FEF31_RS01395 WP_243216099.1
FEF31_RS01400 WP_187145657.1
FEF31_RS01405 WP_243234965.1
FEF31_RS01410 WP_011290233.1
FEF31_RS01415 WP_243216103.1
FEF31_RS01420 WP_243216105.1
FEF31_RS01425 WP_243216106.1
FEF31_RS01430 WP_014579686.1
FEF31_RS01435 WP_020835556.1
FEF31_RS01440 WP_014579683.1
FEF31_RS01445 WP_243216107.1
FEF31_RS01450 WP_011290238.1
FEF31_RS01455 WP_243216108.1
FEF31_RS01460 WP_243216109.1
FEF31_RS04460 WP_243216111.1
FEF31_RS01470 WP_243216113.1
FEF31_RS01475 WP_041361554.1
FEF31_RS01480 WP_020835551.1
FEF31_RS01485 WP_243216114.1
FEF31_RS01490 WP_243216115.1
FEF31_RS01495 WP_243216116.1
FEF31_RS01500 WP_011206170.1
FEF31_RS01505 WP_232039520.1
FEF31_RS01510 WP_243234966.1
FEF31_RS01515 WP_233688742.1
FEF31_RS01520 WP_014579781.1
FEF31_RS01525 WP_011206174.1
FEF31_RS01530 WP_233688744.1
FEF31_RS01535 WP_014579783.1
FEF31_RS01540 WP_243216118.1
FEF31_RS01545 WP_011206179.1
FEF31_RS01550 WP_014579786.1
FEF31_RS01555 WP_243216119.1
FEF31_RS01560 WP_011284100.1
FEF31_RS01565 WP_243216120.1
FEF31_RS01570 WP_243234967.1
FEF31_RS01575 WP_243234969.1
FEF31_RS01580 WP_243216124.1
FEF31_RS01585 WP_243216125.1
FEF31_RS01590 WP_243234971.1
FEF31_RS01595 WP_014579793.1
FEF31_RS01600 WP_243216127.1
FEF31_RS01605 WP_243216130.1
FEF31_RS01610 WP_243216133.1
FEF31_RS01620 WP_243216135.1
FEF31_RS01625 WP_243234972.1
FEF31_RS04780 WP_011284111.1
FEF31_RS01635 WP_243216141.1
FEF31_RS01640 WP_243234973.1
FEF31_RS04065 WP_279288020.1
FEF31_RS04470 WP_243216143.1
FEF31_RS01660 WP_243216144.1
FEF31_RS01665 WP_243216145.1
FEF31_RS01670 WP_243216146.1
FEF31_RS01675 WP_243216147.1
FEF31_RS01680 WP_243216148.1
FEF31_RS01685 WP_011206200.1
FEF31_RS01690 WP_243216150.1
FEF31_RS01695 WP_160587900.1
FEF31_RS01700 WP_094521675.1
FEF31_RS01705 WP_011290193.1
FEF31_RS01710 WP_243216151.1
FEF31_RS01715 WP_160600914.1
FEF31_RS01720 WP_011206207.1
FEF31_RS01725 WP_233688406.1
FEF31_RS01730 WP_243216153.1
FEF31_RS04475 WP_243234974.1
FEF31_RS01740 WP_014579818.1
FEF31_RS04480 WP_243216157.1
FEF31_RS04485 WP_243234975.1
FEF31_RS04490 WP_011206214.1
FEF31_RS01760 WP_243216161.1
FEF31_RS01765 WP_014579823.1
FEF31_RS01770 WP_014579824.1
FEF31_RS01775 WP_011206218.1
FEF31_RS04495 WP_243216163.1
FEF31_RS01785 WP_243216163.1
FEF31_RS01790 WP_020835728.1
FEF31_RS01795 WP_011284142.1
FEF31_RS01800 WP_243216165.1
FEF31_RS01805 WP_146379594.1
FEF31_RS01810 WP_243216167.1
FEF31_RS01815 WP_220190703.1
FEF31_RS01820 WP_011206227.1
FEF31_RS01825 WP_044272477.1
FEF31_RS01830 WP_044272480.1
FEF31_RS01835 WP_011290211.1
FEF31_RS01840 WP_011206231.1
FEF31_RS01845 WP_243216169.1
FEF31_RS01860 WP_094521686.1
FEF31_RS01865 WP_243216232.1
FEF31_RS04500 WP_243234976.1
FEF31_RS01875 WP_243234976.1
FEF31_RS04505 WP_243216173.1
FEF31_RS01885 WP_002557988.1
FEF31_RS01890 WP_002557988.1
FEF31_RS01895 WP_243234977.1
FEF31_RS01900 WP_020835740.1
FEF31_RS01905 WP_020835740.1
FEF31_RS01910 WP_002557992.1
FEF31_RS01915 WP_243216175.1
FEF31_RS01920 WP_243216176.1
FEF31_RS01925 WP_243216178.1
FEF31_RS04510 WP_243216179.1
FEF31_RS04515 WP_308704548.1
FEF31_RS01935 WP_243216234.1
FEF31_RS01940 WP_081430767.1
FEF31_RS01945 WP_237697200.1
FEF31_RS01950 WP_243234980.1
FEF31_RS01955 WP_243216182.1
FEF31_RS01960 WP_011206239.1
FEF31_RS01965 WP_135618878.1
FEF31_RS01970 WP_146379629.1
FEF31_RS01975 WP_135618882.1
FEF31_RS01980 WP_011206243.1
FEF31_RS01985 WP_243216184.1
FEF31_RS01990 WP_160601112.1
FEF31_RS01995 WP_011284169.1
FEF31_RS02000 WP_179696020.1
FEF31_RS02005 WP_243216186.1
FEF31_RS02010 WP_243216187.1
FEF31_RS02015 WP_011206251.1
FEF31_RS02020 WP_243216189.1
FEF31_RS02025 WP_243216192.1
FEF31_RS02030 WP_243216193.1
FEF31_RS02035 WP_011206256.1
FEF31_RS04520 WP_243216195.1
FEF31_RS02045 WP_243216198.1
FEF31_RS02050 WP_243216199.1
FEF31_RS02055 WP_243234982.1
FEF31_RS02060 WP_243216200.1
FEF31_RS02065 WP_014579859.1
FEF31_RS02070 WP_243216236.1
FEF31_RS02075 WP_243216202.1
FEF31_RS02080 WP_011284186.1
FEF31_RS02085 WP_020835765.1
FEF31_RS02090 WP_243216203.1
FEF31_RS02095 WP_243216204.1
FEF31_RS02100 WP_011206271.1
FEF31_RS02105 WP_243216205.1
FEF31_RS02110 WP_243216206.1
FEF31_RS02115 WP_243216207.1
FEF31_RS02120 WP_243216208.1
FEF31_RS02125 WP_243216210.1
FEF31_RS02130 WP_243216212.1
FEF31_RS02135 WP_243216215.1
FEF31_RS02140 WP_243234984.1
FEF31_RS02145 WP_243234986.1
FEF31_RS04525 WP_243234987.1
FEF31_RS02155 WP_146379652.1
FEF31_RS02160 WP_160585153.1
FEF31_RS02170 WP_243216224.1
FEF31_RS02175 WP_044272532.1
FEF31_RS02180 WP_243234988.1
FEF31_RS02185 WP_011206287.1
FEF31_RS02190 WP_011290271.1
FEF31_RS02195 WP_011206289.1
FEF31_RS02200 WP_041361671.1
FEF31_RS02205 WP_243216226.1
FEF31_RS02210 WP_011206292.1
FEF31_RS02215 WP_011206293.1
FEF31_RS02230 WP_228366101.1
FEF31_RS02235 WP_243216349.1
FEF31_RS02240 WP_243216344.1
FEF31_RS02245 WP_243234989.1
FEF31_RS02250 WP_243216238.1
FEF31_RS02255 WP_179221160.1
FEF31_RS02260 WP_243216240.1
FEF31_RS02265 WP_160606445.1
FEF31_RS02270 WP_160600959.1
FEF31_RS02275 WP_243216242.1
FEF31_RS02280 WP_014579890.1
FEF31_RS02285 WP_011206302.1
FEF31_RS02290 WP_011206303.1
FEF31_RS02295 WP_011206304.1
FEF31_RS02300 WP_233688475.1
FEF31_RS02305 WP_011206306.1
FEF31_RS02310 WP_233688476.1
FEF31_RS02315 WP_233688477.1
FEF31_RS02320 WP_011206309.1
FEF31_RS02325 WP_011206310.1
FEF31_RS02330 WP_011284228.1
FEF31_RS02335 WP_243216245.1
FEF31_RS02340 WP_243216248.1
FEF31_RS02345 WP_179695988.1
FEF31_RS02350 WP_243216250.1
FEF31_RS02355 WP_243216251.1
FEF31_RS02360 WP_243216252.1
FEF31_RS02365 WP_243216254.1
FEF31_RS02370 WP_243216256.1
FEF31_RS02375 WP_011206320.1
FEF31_RS02380 WP_243216257.1
FEF31_RS02385 WP_243216258.1
FEF31_RS02390 WP_243216259.1
FEF31_RS02395 WP_243216261.1
FEF31_RS02400 WP_011290300.1
FEF31_RS02405 WP_243216263.1
FEF31_RS02410 WP_243216266.1
FEF31_RS04530 WP_243234991.1
FEF31_RS02420 WP_243216270.1
FEF31_RS04535 WP_243216271.1
FEF31_RS02430 WP_243216272.1
FEF31_RS04540 WP_308704549.1
FEF31_RS02445 WP_011206333.1
FEF31_RS04545 WP_011290309.1
FEF31_RS02455 WP_011206335.1
FEF31_RS02460 WP_243216273.1
FEF31_RS02465 WP_011290311.1
FEF31_RS02470 WP_243216274.1
FEF31_RS02475 WP_011290313.1
FEF31_RS02480 WP_011290314.1
FEF31_RS02485 WP_243216276.1
FEF31_RS02490 WP_243234992.1
FEF31_RS02495 WP_228366104.1
FEF31_RS02500 WP_228366105.1
FEF31_RS02505 WP_243216280.1
FEF31_RS02510 WP_044284687.1
FEF31_RS02515 WP_011206347.1
FEF31_RS02520 WP_020835827.1
FEF31_RS02525 WP_020835828.1
FEF31_RS02530 WP_020835829.1
FEF31_RS02535 WP_041361798.1
FEF31_RS02540 WP_228365393.1
FEF31_RS04155 WP_258555242.1
FEF31_RS02545 WP_243216282.1
FEF31_RS04550 WP_243216285.1
FEF31_RS02555 WP_011284269.1
FEF31_RS02560 WP_014579936.1
FEF31_RS02565 WP_011284271.1
FEF31_RS02570 WP_243216288.1
FEF31_RS02575 WP_243216290.1
FEF31_RS02580 WP_243216292.1
FEF31_RS02585 WP_011206379.1
FEF31_RS02590 WP_243216293.1
FEF31_RS02595 WP_243216296.1
FEF31_RS02600 WP_243216299.1
FEF31_RS02605 WP_243216301.1
FEF31_RS02610 WP_011206384.1
FEF31_RS02615 WP_011206385.1
FEF31_RS02620 WP_044272575.1
FEF31_RS02625 WP_225972996.1
FEF31_RS02630 WP_044272578.1
FEF31_RS02635 WP_044272582.1
FEF31_RS02640 WP_011290340.1
FEF31_RS02645 WP_135619026.1
FEF31_RS02650 WP_020835845.1
FEF31_RS02655 WP_228366107.1
FEF31_RS02660 WP_011290343.1
FEF31_RS04555 WP_011284289.1
FEF31_RS02670 WP_011284290.1
FEF31_RS02675 WP_243216302.1
FEF31_RS02680 WP_011290347.1
FEF31_RS02685 WP_020835851.1
FEF31_RS02690 WP_243216303.1
FEF31_RS02695 WP_135619036.1
FEF31_RS02700 WP_243216305.1
FEF31_RS02705 WP_011290352.1
FEF31_RS02710 WP_011206405.1
FEF31_RS02715 WP_041361690.1
FEF31_RS02720 WP_020835856.1
FEF31_RS02725 WP_020835857.1
FEF31_RS02730 WP_243216307.1
FEF31_RS02735 WP_020835859.1
FEF31_RS02740 WP_243234994.1
FEF31_RS04785 WP_243234994.1
FEF31_RS02750 WP_011290367.1
FEF31_RS02755 WP_011206424.1
FEF31_RS02760 WP_243216312.1
FEF31_RS02765 WP_011290369.1
FEF31_RS04560 WP_011206427.1
FEF31_RS02775 WP_243216314.1
FEF31_RS02780 WP_011206429.1
FEF31_RS02785 WP_243216317.1
FEF31_RS02790 WP_011290372.1
FEF31_RS02795 WP_135619070.1
FEF31_RS02800 WP_011206433.1
FEF31_RS02805 WP_243216318.1
FEF31_RS02810 WP_011206435.1
FEF31_RS02815 WP_243216321.1
FEF31_RS02820 WP_243216323.1
FEF31_RS02825 WP_243216326.1
FEF31_RS02830 WP_233688536.1
FEF31_RS02835 WP_011206441.1
FEF31_RS02840 WP_243216329.1
FEF31_RS02845 WP_179221227.1
FEF31_RS02850 WP_160590181.1
FEF31_RS02855 WP_243216331.1
FEF31_RS04790 WP_243216331.1
FEF31_RS02865 WP_243216334.1
FEF31_RS02870 WP_243216334.1
FEF31_RS02875 WP_179695901.1
FEF31_RS02880 WP_243234995.1
FEF31_RS02885 WP_243234995.1
FEF31_RS04565 WP_020835888.1
FEF31_RS02900 WP_160601134.1
FEF31_RS02905 WP_011206453.1
FEF31_RS02910 WP_243216335.1
FEF31_RS02915 WP_014579989.1
FEF31_RS04570 WP_243216339.1
FEF31_RS02925 WP_044284717.1
FEF31_RS02930 WP_011206458.1
FEF31_RS02940 WP_011206459.1
FEF31_RS02945 WP_044272640.1
FEF31_RS04575 WP_243216342.1
FEF31_RS02955 WP_044272644.1
FEF31_RS02960 WP_243234996.1
FEF31_RS02965 WP_011206465.1
FEF31_RS02970 WP_011290399.1
FEF31_RS02975 WP_146379742.1
FEF31_RS02980 WP_160585238.1
FEF31_RS02985 WP_011206469.1
FEF31_RS04580 WP_243234997.1
FEF31_RS02995 WP_243215853.1
FEF31_RS04585 WP_243215854.1
FEF31_RS04590 WP_243215857.1
FEF31_RS04595 WP_243215859.1
FEF31_RS03015 WP_243215859.1
FEF31_RS03020 WP_243215860.1
FEF31_RS04600 WP_243215862.1
FEF31_RS04605 WP_179221251.1
FEF31_RS03035 WP_243215866.1
FEF31_RS03040 WP_243215868.1
FEF31_RS04610 WP_243215870.1
FEF31_RS03050 WP_011206484.1
FEF31_RS03055 WP_044272663.1
FEF31_RS04615 WP_243215874.1
FEF31_RS03065 WP_011206487.1
FEF31_RS04620 WP_011284361.1
FEF31_RS03080 WP_232039558.1
FEF31_RS03085 WP_081430772.1
FEF31_RS03090 WP_044284728.1
FEF31_RS03095 WP_243215875.1
FEF31_RS03100 WP_243215876.1
FEF31_RS03105 WP_011206493.1
FEF31_RS03110 WP_011206494.1
FEF31_RS03115 WP_243215877.1
FEF31_RS03120 WP_243234998.1
FEF31_RS04625 WP_011206497.1
FEF31_RS03130 WP_243215879.1
FEF31_RS03135 WP_243234999.1
FEF31_RS04630 WP_243215882.1
FEF31_RS03150 WP_011206502.1
FEF31_RS03155 WP_243215885.1
FEF31_RS03160 WP_135619152.1
FEF31_RS04635 WP_243215887.1
FEF31_RS03170 WP_243215889.1
FEF31_RS03175 WP_011284377.1
FEF31_RS03180 WP_044889046.1
FEF31_RS03185 WP_243215890.1
FEF31_RS03190 WP_243215891.1
FEF31_RS03195 WP_243215892.1
FEF31_RS03200 WP_243215893.1
FEF31_RS03205 WP_243215894.1
FEF31_RS04640 WP_243215895.1
FEF31_RS03215 WP_243215896.1
FEF31_RS03220 WP_243215897.1
FEF31_RS04270 WP_279288053.1
FEF31_RS03235 WP_160615736.1
FEF31_RS03240 WP_011206520.1
FEF31_RS04645 WP_011206521.1
FEF31_RS03250 WP_094521530.1
FEF31_RS03255 WP_243215898.1
FEF31_RS03260 WP_243215899.1
FEF31_RS03265 WP_243235000.1
FEF31_RS03270 WP_243215901.1
FEF31_RS03275 WP_243215902.1
FEF31_RS03280 WP_243215903.1
FEF31_RS03285 WP_243215905.1
FEF31_RS03290 WP_243215907.1
FEF31_RS03295 WP_243215909.1
FEF31_RS03300 WP_243215911.1
FEF31_RS03305 WP_135618444.1
FEF31_RS04650 WP_243215913.1
FEF31_RS03315 WP_233688588.1
FEF31_RS03320 WP_243215915.1
FEF31_RS03325 WP_243215917.1
FEF31_RS04655 WP_160588116.1
FEF31_RS03335 WP_243215919.1
FEF31_RS03340 WP_243215921.1
FEF31_RS03345 WP_011283833.1
FEF31_RS03350 WP_011283834.1
FEF31_RS03355 WP_011283835.1
FEF31_RS03360 WP_094521536.1
FEF31_RS03370 WP_233688595.1
FEF31_RS04660 WP_243215923.1
FEF31_RS03380 WP_243215926.1
FEF31_RS03385 WP_011205863.1
FEF31_RS04665 WP_243235001.1
FEF31_RS04670 WP_011289946.1
FEF31_RS03400 WP_243215930.1
FEF31_RS03405 WP_011205867.1
FEF31_RS03410 WP_232039502.1
FEF31_RS03415 WP_243215931.1
FEF31_RS03420 WP_243215932.1
FEF31_RS03425 WP_020835500.1
FEF31_RS03430 WP_014579535.1
FEF31_RS03435 WP_243215934.1
FEF31_RS03440 WP_243215935.1
FEF31_RS03445 WP_243215936.1
FEF31_RS03450 WP_243215937.1
FEF31_RS03455 WP_243215939.1
FEF31_RS03460 WP_243215940.1
FEF31_RS03465 WP_011205878.1
FEF31_RS04675 WP_233688609.1
FEF31_RS03475 WP_011205880.1
FEF31_RS03480 WP_014579544.1
FEF31_RS03485 WP_160600661.1
FEF31_RS03490 WP_011205883.1
FEF31_RS03495 WP_011283860.1
FEF31_RS03500 WP_044284571.1
FEF31_RS03505 WP_014579548.1
FEF31_RS03510 WP_044284572.1
FEF31_RS03515 WP_011283865.1
FEF31_RS03520 WP_233688611.1
FEF31_RS03525 WP_233688612.1
FEF31_RS03530 WP_243215941.1
FEF31_RS03535 WP_243235002.1
FEF31_RS03540 WP_011205894.1
FEF31_RS03545 WP_228365406.1
FEF31_RS03550 WP_011283871.1
FEF31_RS03555 WP_193325077.1
FEF31_RS03560 WP_011283873.1
FEF31_RS03565 WP_011289977.1
FEF31_RS03570 WP_243215943.1
FEF31_RS03575 WP_243215944.1
FEF31_RS03580 WP_243215945.1
FEF31_RS03585 WP_243215947.1
FEF31_RS03590 WP_243215948.1
FEF31_RS03595 WP_160600685.1
FEF31_RS04680 WP_243215950.1
FEF31_RS03605 WP_243215952.1
FEF31_RS03610 WP_243215952.1
FEF31_RS03615 WP_002557698.1
FEF31_RS03620 WP_011290363.1
FEF31_RS03625 WP_243216310.1
FEF31_RS03630 WP_020835862.1
FEF31_RS04795 WP_020835862.1
FEF31_RS03640 WP_011290367.1
FEF31_RS03645 WP_011206424.1
FEF31_RS03650 WP_243216312.1
FEF31_RS03655 WP_011290369.1
FEF31_RS04685 WP_011206427.1
FEF31_RS03665 WP_243216314.1
FEF31_RS03670 WP_011206429.1
FEF31_RS03675 WP_243216317.1
FEF31_RS03680 WP_011290372.1
FEF31_RS03685 WP_135619070.1
FEF31_RS03690 WP_011206433.1
FEF31_RS03695 WP_243216318.1
FEF31_RS03700 WP_011206435.1
FEF31_RS03705 WP_243216321.1
FEF31_RS03710 WP_243216323.1
FEF31_RS03715 WP_243216326.1
FEF31_RS03720 WP_233688536.1
FEF31_RS03725 WP_011206441.1
FEF31_RS03730 WP_243216329.1
FEF31_RS03735 WP_179221227.1
FEF31_RS03740 WP_160590181.1
FEF31_RS03745 WP_243216331.1
FEF31_RS04800 WP_243216331.1
FEF31_RS03755 WP_243216334.1
FEF31_RS03760 WP_243216334.1
FEF31_RS03765 WP_179695901.1
FEF31_RS03770 WP_243234995.1
FEF31_RS03775 WP_243234995.1
FEF31_RS04690 WP_020835888.1
FEF31_RS03790 WP_160601134.1
FEF31_RS03795 WP_011206453.1
FEF31_RS03800 WP_243216335.1
FEF31_RS03805 WP_014579989.1
FEF31_RS04695 WP_243216339.1
FEF31_RS03815 WP_044284717.1
FEF31_RS03820 WP_011206458.1
FEF31_RS03830 WP_011206459.1
FEF31_RS03835 WP_044272640.1
FEF31_RS04700 WP_243216342.1
FEF31_RS03845 WP_044272644.1
