KUD10_RS00005 WP_044272251.1
KUD10_RS00540 WP_233688635.1
KUD10_RS00545 WP_011206121.1
KUD10_RS00555 WP_011206120.1
KUD10_RS00560 WP_233688636.1
KUD10_RS00565 WP_146379484.1
KUD10_RS00570 WP_233688637.1
KUD10_RS00575 WP_233688638.1
KUD10_RS00580 WP_233688639.1
KUD10_RS00585 WP_011206114.1
KUD10_RS00590 WP_011206113.1
KUD10_RS00600 WP_011206113.1
KUD10_RS00605 WP_011206110.1
KUD10_RS00610 WP_233688640.1
KUD10_RS00615 WP_233688641.1
KUD10_RS00620 WP_233688642.1
KUD10_RS00625 WP_233688643.1
KUD10_RS00630 WP_011206106.1
KUD10_RS00645 WP_011283917.1
KUD10_RS00650 WP_233688644.1
KUD10_RS00655 WP_011206103.1
KUD10_RS00660 WP_179221023.1
KUD10_RS00665 WP_011206101.1
KUD10_RS00675 WP_179221024.1
KUD10_RS00680 WP_160585617.1
KUD10_RS00685 WP_011283923.1
KUD10_RS00690 WP_011283924.1
KUD10_RS00695 WP_011206094.1
KUD10_RS00700 WP_011206093.1
KUD10_RS00705 WP_020835572.1
KUD10_RS00710 WP_014579648.1
KUD10_RS00715 WP_041361572.1
KUD10_RS00720 WP_233688645.1
KUD10_RS00725 WP_233688646.1
KUD10_RS00730 WP_011283930.1
KUD10_RS00735 WP_011206086.1
KUD10_RS00740 WP_160600868.1
KUD10_RS00750 WP_233688647.1
KUD10_RS00755 WP_233688648.1
KUD10_RS00760 WP_011283934.1
KUD10_RS00770 WP_233688649.1
KUD10_RS00775 WP_011290034.1
KUD10_RS00780 WP_135618573.1
KUD10_RS00785 WP_233688650.1
KUD10_RS00790 WP_233688651.1
KUD10_RS00795 WP_011206076.1
KUD10_RS00800 WP_160600882.1
KUD10_RS00810 WP_160600884.1
KUD10_RS00815 WP_233688653.1
KUD10_RS00820 WP_233688654.1
KUD10_RS00825 WP_014579633.1
KUD10_RS00830 WP_233688655.1
KUD10_RS00835 WP_011206069.1
KUD10_RS00840 WP_233688656.1
KUD10_RS00845 WP_233688657.1
KUD10_RS00850 WP_135618589.1
KUD10_RS00855 WP_011283949.1
KUD10_RS00860 WP_011283950.1
KUD10_RS00865 WP_011283951.1
KUD10_RS00870 WP_011283952.1
KUD10_RS00875 WP_011206061.1
KUD10_RS00880 WP_233688658.1
KUD10_RS00885 WP_233688659.1
KUD10_RS00890 WP_233688660.1
KUD10_RS00895 WP_233688661.1
KUD10_RS00900 WP_044284742.1
KUD10_RS00905 WP_011283957.1
KUD10_RS00910 WP_011206054.1
KUD10_RS00915 WP_014579622.1
KUD10_RS00920 WP_233688662.1
KUD10_RS00925 WP_146379519.1
KUD10_RS00930 WP_233688663.1
KUD10_RS00935 WP_011206049.1
KUD10_RS00940 WP_011206048.1
KUD10_RS00945 WP_011283963.1
KUD10_RS00950 WP_011206047.1
KUD10_RS00955 WP_011206046.1
KUD10_RS00960 WP_233688664.1
KUD10_RS00965 WP_011206044.1
KUD10_RS00970 WP_233688665.1
KUD10_RS00975 WP_233688666.1
KUD10_RS00980 WP_020835591.1
KUD10_RS00985 WP_011283968.1
KUD10_RS00990 WP_011206039.1
KUD10_RS00995 WP_011206038.1
KUD10_RS01000 WP_041361589.1
KUD10_RS01005 WP_011206036.1
KUD10_RS01010 WP_011206035.1
KUD10_RS01015 WP_014579611.1
KUD10_RS01020 WP_233688667.1
KUD10_RS01025 WP_011206032.1
KUD10_RS01030 WP_011206031.1
KUD10_RS03740 WP_233688668.1
KUD10_RS01040 WP_011206028.1
KUD10_RS01045 WP_014579605.1
KUD10_RS01050 WP_014579604.1
KUD10_RS01055 WP_011206025.1
KUD10_RS01060 WP_011283976.1
KUD10_RS01065 WP_014579601.1
KUD10_RS01070 WP_011283978.1
KUD10_RS01075 WP_233688669.1
KUD10_RS01080 WP_233688670.1
KUD10_RS01085 WP_233688671.1
KUD10_RS01090 WP_233688672.1
KUD10_RS01095 WP_233688673.1
KUD10_RS01100 WP_011206016.1
KUD10_RS01105 WP_011206015.1
KUD10_RS01110 WP_011206014.1
KUD10_RS01115 WP_233688674.1
KUD10_RS01120 WP_233688675.1
KUD10_RS01125 WP_044284822.1
KUD10_RS01130 WP_020835610.1
KUD10_RS01135 WP_233688676.1
KUD10_RS01140 WP_011283989.1
KUD10_RS01145 WP_179695838.1
KUD10_RS01150 WP_179695837.1
KUD10_RS01155 WP_233688677.1
KUD10_RS01160 WP_094521569.1
KUD10_RS01165 WP_233688678.1
KUD10_RS01170 WP_233688679.1
KUD10_RS01175 WP_233688680.1
KUD10_RS01180 WP_011206361.1
KUD10_RS01185 WP_011206362.1
KUD10_RS01190 WP_233688681.1
KUD10_RS01195 WP_179695831.1
KUD10_RS01200 WP_233688682.1
KUD10_RS01205 WP_233688683.1
KUD10_RS01210 WP_233688684.1
KUD10_RS01215 WP_233688685.1
KUD10_RS01220 WP_016340205.1
KUD10_RS01225 WP_233688686.1
KUD10_RS01230 WP_233688687.1
KUD10_RS01235 WP_233688688.1
KUD10_RS01240 WP_011206005.1
KUD10_RS01245 WP_011206004.1
KUD10_RS01250 WP_233688689.1
KUD10_RS01255 WP_233688690.1
KUD10_RS01260 WP_020835619.1
KUD10_RS01265 WP_233688691.1
KUD10_RS01270 WP_233688692.1
KUD10_RS01275 WP_011283999.1
KUD10_RS01280 WP_020835622.1
KUD10_RS01285 WP_158209054.1
KUD10_RS01290 WP_011284001.1
KUD10_RS01295 WP_233688693.1
KUD10_RS01300 WP_233688694.1
KUD10_RS01305 WP_014579699.1
KUD10_RS01310 WP_160585559.1
KUD10_RS01315 WP_233688695.1
KUD10_RS01320 WP_044284610.1
KUD10_RS01325 WP_014579703.1
KUD10_RS01330 WP_233688696.1
KUD10_RS01335 WP_011205983.1
KUD10_RS01340 WP_233688697.1
KUD10_RS01345 WP_233688698.1
KUD10_RS01350 WP_233688699.1
KUD10_RS01355 WP_179696094.1
KUD10_RS01360 WP_233688700.1
KUD10_RS01365 WP_233688701.1
KUD10_RS01370 WP_233688702.1
KUD10_RS01375 WP_233688703.1
KUD10_RS01380 WP_011284018.1
KUD10_RS01385 WP_011205973.1
KUD10_RS01390 WP_233688704.1
KUD10_RS01395 WP_233688705.1
KUD10_RS01400 WP_233688706.1
KUD10_RS01405 WP_011205969.1
KUD10_RS01410 WP_233688707.1
KUD10_RS01415 WP_179696055.1
KUD10_RS01420 WP_011205966.1
KUD10_RS01425 WP_011205965.1
KUD10_RS01430 WP_160600844.1
KUD10_RS01435 WP_044284614.1
KUD10_RS01440 WP_011205962.1
KUD10_RS01445 WP_233688708.1
KUD10_RS01450 WP_233688709.1
KUD10_RS01455 WP_011284032.1
KUD10_RS01460 WP_011205958.1
KUD10_RS01465 WP_233688710.1
KUD10_RS01470 WP_011205956.1
KUD10_RS01475 WP_011205955.1
KUD10_RS01480 WP_233688711.1
KUD10_RS01485 WP_011290118.1
KUD10_RS01490 WP_011205952.1
KUD10_RS01495 WP_160607802.1
KUD10_RS01500 WP_011205950.1
KUD10_RS01505 WP_233688712.1
KUD10_RS01510 WP_011284040.1
KUD10_RS01515 WP_233688761.1
KUD10_RS01520 WP_233688713.1
KUD10_RS01525 WP_233688714.1
KUD10_RS01530 WP_014579732.1
KUD10_RS01535 WP_233688715.1
KUD10_RS01540 WP_011284046.1
KUD10_RS01570 WP_233688716.1
KUD10_RS01575 WP_233688717.1
KUD10_RS01580 WP_233688718.1
KUD10_RS01585 WP_233688719.1
KUD10_RS01590 WP_011284051.1
KUD10_RS01595 WP_135618718.1
KUD10_RS01600 WP_011284053.1
KUD10_RS01605 WP_233688720.1
KUD10_RS01610 WP_011284055.1
KUD10_RS01615 WP_233688721.1
KUD10_RS01620 WP_011205932.1
KUD10_RS01625 WP_011205931.1
KUD10_RS01630 WP_135618763.1
KUD10_RS01635 WP_135618763.1
KUD10_RS01640 WP_233688723.1
KUD10_RS01645 WP_233688762.1
KUD10_RS01650 WP_233688763.1
KUD10_RS01655 WP_233688724.1
KUD10_RS01660 WP_011206141.1
KUD10_RS01665 WP_233688725.1
KUD10_RS01670 WP_233688726.1
KUD10_RS01675 WP_011290139.1
KUD10_RS01680 WP_020835667.1
KUD10_RS01685 WP_011290141.1
KUD10_RS03700 WP_014579770.1
KUD10_RS01690 WP_233688728.1
KUD10_RS01695 WP_167513696.1
KUD10_RS01700 WP_233688729.1
KUD10_RS01705 WP_233688730.1
KUD10_RS01710 WP_011206153.1
KUD10_RS01715 WP_011206153.1
KUD10_RS01720 WP_233688731.1
KUD10_RS01725 WP_233688732.1
KUD10_RS01730 WP_233688733.1
KUD10_RS01740 WP_233688734.1
KUD10_RS01745 WP_011290150.1
KUD10_RS01750 WP_233688735.1
KUD10_RS01755 WP_014579759.1
KUD10_RS01760 WP_011206161.1
KUD10_RS01765 WP_233688736.1
KUD10_RS01770 WP_233688737.1
KUD10_RS01775 WP_233688738.1
KUD10_RS01780 WP_233688739.1
KUD10_RS01785 WP_233688764.1
KUD10_RS01790 WP_233688740.1
KUD10_RS01795 WP_014579752.1
KUD10_RS01800 WP_020835684.1
KUD10_RS01805 WP_011206170.1
KUD10_RS03695 WP_232039520.1
KUD10_RS01815 WP_233688741.1
KUD10_RS01820 WP_233688742.1
KUD10_RS01825 WP_014579781.1
KUD10_RS01830 WP_233688743.1
KUD10_RS01835 WP_233688744.1
KUD10_RS01840 WP_233688745.1
KUD10_RS01845 WP_011206177.1
KUD10_RS01850 WP_233688746.1
KUD10_RS01855 WP_233688747.1
KUD10_RS01860 WP_011206179.1
KUD10_RS01865 WP_011284098.1
KUD10_RS01870 WP_020835695.1
KUD10_RS01875 WP_011284100.1
KUD10_RS01880 WP_146379618.1
KUD10_RS01885 WP_011290175.1
KUD10_RS01890 WP_233688748.1
KUD10_RS01895 WP_233688749.1
KUD10_RS01900 WP_233688750.1
KUD10_RS01905 WP_157696717.1
KUD10_RS01910 WP_179221114.1
KUD10_RS01915 WP_233688751.1
KUD10_RS01920 WP_135618818.1
KUD10_RS01930 WP_160606463.1
KUD10_RS03745 WP_011284111.1
KUD10_RS01940 WP_233688752.1
KUD10_RS01945 WP_233688753.1
KUD10_RS03705 WP_258556645.1
KUD10_RS01960 WP_011206194.1
KUD10_RS01965 WP_014579804.1
KUD10_RS01970 WP_044284644.1
KUD10_RS01975 WP_011206197.1
KUD10_RS01980 WP_233688754.1
KUD10_RS01985 WP_233688755.1
KUD10_RS01990 WP_011206200.1
KUD10_RS01995 WP_233688756.1
KUD10_RS02000 WP_233688757.1
KUD10_RS02005 WP_233688758.1
KUD10_RS02010 WP_233688759.1
KUD10_RS02015 WP_014579812.1
KUD10_RS02020 WP_233688760.1
KUD10_RS02025 WP_011206207.1
KUD10_RS02030 WP_233688406.1
KUD10_RS02035 WP_233688407.1
KUD10_RS02040 WP_232039529.1
KUD10_RS02045 WP_014579818.1
KUD10_RS02050 WP_233688408.1
KUD10_RS02055 WP_233688409.1
KUD10_RS02060 WP_011206214.1
KUD10_RS02065 WP_233688410.1
KUD10_RS02070 WP_011206216.1
KUD10_RS02075 WP_233688411.1
KUD10_RS02080 WP_011206218.1
KUD10_RS02085 WP_233688412.1
KUD10_RS02090 WP_233688413.1
KUD10_RS02095 WP_233688414.1
KUD10_RS02100 WP_011284142.1
KUD10_RS02105 WP_233688415.1
KUD10_RS02110 WP_011206224.1
KUD10_RS02115 WP_233688416.1
KUD10_RS02120 WP_233688417.1
KUD10_RS02125 WP_011206227.1
KUD10_RS02130 WP_011206228.1
KUD10_RS02135 WP_044272480.1
KUD10_RS02140 WP_233688419.1
KUD10_RS02145 WP_011206231.1
KUD10_RS02150 WP_146379588.1
KUD10_RS02165 WP_094521686.1
KUD10_RS02170 WP_233688766.1
KUD10_RS02175 WP_179221135.1
KUD10_RS02180 WP_233688767.1
KUD10_RS02185 WP_233688767.1
KUD10_RS02190 WP_233688420.1
KUD10_RS02195 WP_233688768.1
KUD10_RS02200 WP_233688421.1
KUD10_RS02205 WP_233688769.1
KUD10_RS02210 WP_233688422.1
KUD10_RS02215 WP_002557988.1
KUD10_RS02220 WP_002557988.1
KUD10_RS02225 WP_233688423.1
KUD10_RS02230 WP_233688424.1
KUD10_RS02235 WP_233688425.1
KUD10_RS02240 WP_233688425.1
KUD10_RS02245 WP_233688426.1
KUD10_RS02250 WP_233688427.1
KUD10_RS02255 WP_233688428.1
KUD10_RS02260 WP_233688770.1
KUD10_RS02265 WP_160588366.1
KUD10_RS02270 WP_233688429.1
KUD10_RS02275 WP_160585768.1
KUD10_RS02280 WP_233688430.1
KUD10_RS02285 WP_011206239.1
KUD10_RS02290 WP_011284163.1
KUD10_RS02295 WP_233688431.1
KUD10_RS02300 WP_135618882.1
KUD10_RS02305 WP_233688432.1
KUD10_RS02310 WP_135618884.1
KUD10_RS02315 WP_011290219.1
KUD10_RS02320 WP_011284169.1
KUD10_RS02325 WP_011206247.1
KUD10_RS02330 WP_233688434.1
KUD10_RS02335 WP_011206250.1
KUD10_RS02340 WP_011206251.1
KUD10_RS02345 WP_233688435.1
KUD10_RS02350 WP_233688436.1
KUD10_RS02355 WP_233688437.1
KUD10_RS02360 WP_011206256.1
KUD10_RS02365 WP_233688438.1
KUD10_RS02370 WP_160585249.1
KUD10_RS02375 WP_233688439.1
KUD10_RS02380 WP_318035154.1
KUD10_RS02385 WP_233688440.1
KUD10_RS02390 WP_233688441.1
KUD10_RS02395 WP_011206264.1
KUD10_RS02400 WP_233688442.1
KUD10_RS02405 WP_233688443.1
KUD10_RS02410 WP_011284186.1
KUD10_RS02415 WP_233688444.1
KUD10_RS02420 WP_233688445.1
KUD10_RS02425 WP_233688446.1
KUD10_RS02430 WP_233688447.1
KUD10_RS02435 WP_233688448.1
KUD10_RS02440 WP_233688449.1
KUD10_RS02445 WP_233688450.1
KUD10_RS02450 WP_233688451.1
KUD10_RS02455 WP_233688452.1
KUD10_RS02460 WP_233688453.1
KUD10_RS02465 WP_233688454.1
KUD10_RS02470 WP_233688455.1
KUD10_RS02475 WP_233688456.1
KUD10_RS02480 WP_233688457.1
KUD10_RS02485 WP_233688458.1
KUD10_RS02490 WP_233688459.1
KUD10_RS02495 WP_233688460.1
KUD10_RS02500 WP_233688461.1
KUD10_RS02505 WP_334301383.1
KUD10_RS02510 WP_233688463.1
KUD10_RS02520 WP_233688464.1
KUD10_RS02525 WP_135619210.1
KUD10_RS02530 WP_233688465.1
KUD10_RS02535 WP_011206287.1
KUD10_RS02540 WP_233688466.1
KUD10_RS02545 WP_011206289.1
KUD10_RS02550 WP_233688467.1
KUD10_RS02555 WP_044272538.1
KUD10_RS02560 WP_011206292.1
KUD10_RS02565 WP_011206293.1
KUD10_RS02580 WP_233688468.1
KUD10_RS02585 WP_233688469.1
KUD10_RS02590 WP_233688470.1
KUD10_RS02595 WP_020835790.1
KUD10_RS02600 WP_011206297.1
KUD10_RS02605 WP_233688471.1
KUD10_RS02610 WP_233688472.1
KUD10_RS02615 WP_233688473.1
KUD10_RS02620 WP_014579890.1
KUD10_RS02625 WP_094521719.1
KUD10_RS02630 WP_011206303.1
KUD10_RS02635 WP_160585006.1
KUD10_RS02640 WP_233688475.1
KUD10_RS02645 WP_011206306.1
KUD10_RS02650 WP_233688476.1
KUD10_RS02655 WP_233688477.1
KUD10_RS02660 WP_011206309.1
KUD10_RS02665 WP_011206310.1
KUD10_RS02670 WP_011206311.1
KUD10_RS02675 WP_233688478.1
KUD10_RS02680 WP_233688479.1
KUD10_RS02685 WP_160600978.1
KUD10_RS02690 WP_233688480.1
KUD10_RS02695 WP_011206315.1
KUD10_RS02700 WP_233688481.1
KUD10_RS02705 WP_011206317.1
KUD10_RS02710 WP_233688482.1
KUD10_RS02715 WP_044272553.1
KUD10_RS02720 WP_011206320.1
KUD10_RS02725 WP_233688483.1
KUD10_RS02730 WP_014579908.1
KUD10_RS02735 WP_233688484.1
KUD10_RS02740 WP_233688485.1
KUD10_RS02745 WP_233688486.1
KUD10_RS02750 WP_233688487.1
KUD10_RS02755 WP_233688488.1
KUD10_RS02760 WP_233688489.1
KUD10_RS02765 WP_233688490.1
KUD10_RS02770 WP_233688491.1
KUD10_RS03710 WP_275092455.1
KUD10_RS02785 WP_011284249.1
KUD10_RS02790 WP_011206334.1
KUD10_RS02795 WP_011206335.1
KUD10_RS02800 WP_233688492.1
KUD10_RS02805 WP_233688493.1
KUD10_RS02810 WP_233688494.1
KUD10_RS02815 WP_014579921.1
KUD10_RS02820 WP_011290314.1
KUD10_RS02825 WP_179696078.1
KUD10_RS02830 WP_233688495.1
KUD10_RS02835 WP_233688496.1
KUD10_RS02840 WP_011206345.1
KUD10_RS02845 WP_044272560.1
KUD10_RS02850 WP_233688497.1
KUD10_RS02855 WP_160606405.1
KUD10_RS02860 WP_179696082.1
KUD10_RS02865 WP_179696083.1
KUD10_RS02870 WP_233688498.1
KUD10_RS02875 WP_228365393.1
KUD10_RS03715 WP_258555242.1
KUD10_RS02880 WP_233688499.1
KUD10_RS02885 WP_233688500.1
KUD10_RS02890 WP_011206373.1
KUD10_RS02895 WP_044272567.1
KUD10_RS02900 WP_011206375.1
KUD10_RS02905 WP_135619006.1
KUD10_RS02910 WP_135619008.1
KUD10_RS02915 WP_011206378.1
KUD10_RS02920 WP_011206379.1
KUD10_RS02925 WP_233688501.1
KUD10_RS02930 WP_233688502.1
KUD10_RS02935 WP_233688503.1
KUD10_RS02940 WP_135619016.1
KUD10_RS02945 WP_233688504.1
KUD10_RS02950 WP_011206385.1
KUD10_RS02955 WP_233688505.1
KUD10_RS02960 WP_228365394.1
KUD10_RS02965 WP_233688506.1
KUD10_RS02970 WP_233688507.1
KUD10_RS02975 WP_233688508.1
KUD10_RS02980 WP_233688509.1
KUD10_RS02985 WP_233688510.1
KUD10_RS03720 WP_269076331.1
KUD10_RS02990 WP_228366107.1
KUD10_RS02995 WP_233688511.1
KUD10_RS03000 WP_011284289.1
KUD10_RS03005 WP_011284290.1
KUD10_RS03010 WP_233688512.1
KUD10_RS03015 WP_011206399.1
KUD10_RS03020 WP_011206400.1
KUD10_RS03025 WP_014579953.1
KUD10_RS03030 WP_011206402.1
KUD10_RS03035 WP_233688513.1
KUD10_RS03040 WP_011206404.1
KUD10_RS03045 WP_011206405.1
KUD10_RS03050 WP_160615603.1
KUD10_RS03055 WP_146379707.1
KUD10_RS03060 WP_233688514.1
KUD10_RS03065 WP_044272591.1
KUD10_RS03070 WP_233688515.1
KUD10_RS03075 WP_233688516.1
KUD10_RS03080 WP_233688517.1
KUD10_RS03085 WP_233688518.1
KUD10_RS03090 WP_233688519.1
KUD10_RS03095 WP_233688520.1
KUD10_RS03100 WP_233688521.1
KUD10_RS03105 WP_233688522.1
KUD10_RS03110 WP_233688523.1
KUD10_RS03115 WP_094521497.1
KUD10_RS03120 WP_233688524.1
KUD10_RS03125 WP_233688525.1
KUD10_RS03130 WP_233688526.1
KUD10_RS03135 WP_233688527.1
KUD10_RS03140 WP_011206422.1
KUD10_RS03145 WP_011206424.1
KUD10_RS03150 WP_094521499.1
KUD10_RS03155 WP_233688528.1
KUD10_RS03160 WP_011206427.1
KUD10_RS03165 WP_233688529.1
KUD10_RS03170 WP_233688530.1
KUD10_RS03175 WP_233688531.1
KUD10_RS03180 WP_011290372.1
KUD10_RS03185 WP_135619070.1
KUD10_RS03190 WP_011206433.1
KUD10_RS03195 WP_233688532.1
KUD10_RS03200 WP_011206435.1
KUD10_RS03205 WP_233688533.1
KUD10_RS03210 WP_233688534.1
KUD10_RS03215 WP_233688535.1
KUD10_RS03220 WP_233688536.1
KUD10_RS03225 WP_011206441.1
KUD10_RS03230 WP_233688537.1
KUD10_RS03235 WP_233688538.1
KUD10_RS03240 WP_160600945.1
KUD10_RS03245 WP_233688539.1
KUD10_RS03250 WP_233688540.1
KUD10_RS03255 WP_233688541.1
KUD10_RS03260 WP_233688542.1
KUD10_RS03265 WP_233688542.1
KUD10_RS03270 WP_233688543.1
KUD10_RS03275 WP_233688544.1
KUD10_RS03285 WP_020835888.1
KUD10_RS03290 WP_160601134.1
KUD10_RS03295 WP_011206453.1
KUD10_RS03300 WP_233688545.1
KUD10_RS03305 WP_233688546.1
KUD10_RS03310 WP_233688547.1
KUD10_RS03315 WP_011206457.1
KUD10_RS03320 WP_011206458.1
KUD10_RS03330 WP_011206459.1
KUD10_RS03335 WP_233688548.1
KUD10_RS03340 WP_233688549.1
KUD10_RS03345 WP_233688550.1
KUD10_RS03350 WP_135619112.1
KUD10_RS03355 WP_233688551.1
KUD10_RS03360 WP_011206465.1
KUD10_RS03365 WP_233688552.1
KUD10_RS03370 WP_146379742.1
KUD10_RS03375 WP_011206468.1
KUD10_RS03380 WP_011206469.1
KUD10_RS03385 WP_233688553.1
KUD10_RS03390 WP_233688554.1
KUD10_RS03395 WP_233688555.1
KUD10_RS03400 WP_232039555.1
KUD10_RS03405 WP_011206475.1
KUD10_RS03410 WP_011206475.1
KUD10_RS03415 WP_233688556.1
KUD10_RS03420 WP_020835904.1
KUD10_RS03425 WP_233688557.1
KUD10_RS03430 WP_233688558.1
KUD10_RS03435 WP_233688559.1
KUD10_RS03440 WP_011290413.1
KUD10_RS03445 WP_011206484.1
KUD10_RS03450 WP_044272663.1
KUD10_RS03455 WP_011206486.1
KUD10_RS03460 WP_233688560.1
KUD10_RS03470 WP_011206488.1
KUD10_RS03475 WP_232039558.1
KUD10_RS03480 WP_011290416.1
KUD10_RS03485 WP_011206490.1
KUD10_RS03490 WP_233688561.1
KUD10_RS03495 WP_233688562.1
KUD10_RS03500 WP_011206493.1
KUD10_RS03505 WP_233688563.1
KUD10_RS03510 WP_233688564.1
KUD10_RS03515 WP_011290421.1
KUD10_RS03520 WP_011206497.1
KUD10_RS03525 WP_233688565.1
KUD10_RS03530 WP_233688566.1
KUD10_RS03535 WP_094521522.1
KUD10_RS03545 WP_011206502.1
KUD10_RS03550 WP_011284373.1
KUD10_RS03555 WP_233688567.1
KUD10_RS03560 WP_233688568.1
KUD10_RS03565 WP_011206506.1
KUD10_RS03570 WP_011284377.1
KUD10_RS03575 WP_233688569.1
KUD10_RS03580 WP_233688570.1
KUD10_RS03585 WP_011206510.1
KUD10_RS03590 WP_233688571.1
KUD10_RS03595 WP_233688572.1
KUD10_RS03600 WP_233688573.1
KUD10_RS03605 WP_233688574.1
KUD10_RS03610 WP_233688575.1
KUD10_RS03615 WP_233688576.1
KUD10_RS03620 WP_233688577.1
KUD10_RS03625 WP_233688578.1
KUD10_RS03640 WP_233688579.1
KUD10_RS03645 WP_011206520.1
KUD10_RS03650 WP_233688580.1
KUD10_RS03655 WP_094521530.1
KUD10_RS03660 WP_233688581.1
KUD10_RS03665 WP_233688582.1
KUD10_RS03670 WP_233688583.1
KUD10_RS03675 WP_233688584.1
KUD10_RS03680 WP_160606487.1
KUD10_RS03685 WP_011284394.1
KUD10_RS03690 WP_011206529.1
