ABKJ22_RS00005 WP_044272251.1
ABKJ22_RS00330 WP_348571946.1
ABKJ22_RS00335 WP_014579568.1
ABKJ22_RS00340 WP_041361531.1
ABKJ22_RS00345 WP_011289986.1
ABKJ22_RS00350 WP_146379475.1
ABKJ22_RS00355 WP_160585532.1
ABKJ22_RS00360 WP_011205913.1
ABKJ22_RS00365 WP_041361533.1
ABKJ22_RS00370 WP_011283887.1
ABKJ22_RS00375 WP_348571947.1
ABKJ22_RS00380 WP_179695949.1
ABKJ22_RS00385 WP_011205921.1
ABKJ22_RS00390 WP_011205922.1
ABKJ22_RS00395 WP_011205923.1
ABKJ22_RS00400 WP_011283891.1
ABKJ22_RS00405 WP_011205925.1
ABKJ22_RS00410 WP_044284773.1
ABKJ22_RS00415 WP_011283894.1
ABKJ22_RS00420 WP_348571949.1
ABKJ22_RS00425 WP_348571950.1
ABKJ22_RS00430 WP_348571951.1
ABKJ22_RS00435 WP_011206135.1
ABKJ22_RS00440 WP_011206134.1
ABKJ22_RS00445 WP_014579581.1
ABKJ22_RS00495 WP_348571953.1
ABKJ22_RS00500 WP_348572172.1
ABKJ22_RS00505 WP_348572172.1
ABKJ22_RS00510 WP_348571955.1
ABKJ22_RS00515 WP_041361727.1
ABKJ22_RS00520 WP_348571958.1
ABKJ22_RS00525 WP_348571959.1
ABKJ22_RS00530 WP_014579589.1
ABKJ22_RS00535 WP_308704690.1
ABKJ22_RS00540 WP_348572169.1
ABKJ22_RS00550 WP_160585148.1
ABKJ22_RS00555 WP_011206119.1
ABKJ22_RS00560 WP_011206118.1
ABKJ22_RS00565 WP_348571961.1
ABKJ22_RS00570 WP_348571963.1
ABKJ22_RS00575 WP_348571964.1
ABKJ22_RS00580 WP_348571965.1
ABKJ22_RS00585 WP_011206113.1
ABKJ22_RS00595 WP_348571966.1
ABKJ22_RS00600 WP_348571967.1
ABKJ22_RS00605 WP_220190741.1
ABKJ22_RS00610 WP_014579601.1
ABKJ22_RS00615 WP_146379524.1
ABKJ22_RS00620 WP_011206025.1
ABKJ22_RS00625 WP_348571968.1
ABKJ22_RS00630 WP_014579605.1
ABKJ22_RS00635 WP_011206028.1
ABKJ22_RS00640 WP_160608021.1
ABKJ22_RS00645 WP_011290064.1
ABKJ22_RS00650 WP_011206032.1
ABKJ22_RS00655 WP_050195484.1
ABKJ22_RS00660 WP_014579611.1
ABKJ22_RS00665 WP_011206035.1
ABKJ22_RS00670 WP_011206036.1
ABKJ22_RS00675 WP_041361589.1
ABKJ22_RS00680 WP_011206038.1
ABKJ22_RS00685 WP_011206039.1
ABKJ22_RS00690 WP_020835592.1
ABKJ22_RS00695 WP_348571970.1
ABKJ22_RS00700 WP_011290058.1
ABKJ22_RS00705 WP_348571971.1
ABKJ22_RS00710 WP_011206044.1
ABKJ22_RS00715 WP_014579616.1
ABKJ22_RS00720 WP_011290055.1
ABKJ22_RS00725 WP_011206047.1
ABKJ22_RS00730 WP_011283963.1
ABKJ22_RS00735 WP_011206048.1
ABKJ22_RS00740 WP_011206049.1
ABKJ22_RS00745 WP_011290054.1
ABKJ22_RS00750 WP_011290053.1
ABKJ22_RS00755 WP_011290053.1
ABKJ22_RS00760 WP_348571973.1
ABKJ22_RS00765 WP_348571975.1
ABKJ22_RS00770 WP_348571976.1
ABKJ22_RS00775 WP_135618604.1
ABKJ22_RS00780 WP_348571977.1
ABKJ22_RS00785 WP_348571979.1
ABKJ22_RS00790 WP_348571981.1
ABKJ22_RS00795 WP_348571982.1
ABKJ22_RS00800 WP_348571983.1
ABKJ22_RS00805 WP_146379513.1
ABKJ22_RS00810 WP_135618593.1
ABKJ22_RS00815 WP_041361583.1
ABKJ22_RS00820 WP_011206061.1
ABKJ22_RS00825 WP_011290046.1
ABKJ22_RS00830 WP_094521594.1
ABKJ22_RS00835 WP_011206064.1
ABKJ22_RS00840 WP_011206065.1
ABKJ22_RS00845 WP_011290044.1
ABKJ22_RS00850 WP_348571985.1
ABKJ22_RS00855 WP_135618585.1
ABKJ22_RS00860 WP_011206069.1
ABKJ22_RS00865 WP_160585610.1
ABKJ22_RS00870 WP_348571987.1
ABKJ22_RS00875 WP_011206072.1
ABKJ22_RS00880 WP_011206073.1
ABKJ22_RS00885 WP_044272343.1
ABKJ22_RS00895 WP_225973015.1
ABKJ22_RS00900 WP_011206076.1
ABKJ22_RS00905 WP_348571989.1
ABKJ22_RS00910 WP_146379504.1
ABKJ22_RS00915 WP_020835579.1
ABKJ22_RS00920 WP_011290034.1
ABKJ22_RS00925 WP_348571992.1
ABKJ22_RS00935 WP_011283934.1
ABKJ22_RS00940 WP_348571993.1
ABKJ22_RS00945 WP_014579644.1
ABKJ22_RS00955 WP_020835574.1
ABKJ22_RS00960 WP_011206086.1
ABKJ22_RS00965 WP_011283930.1
ABKJ22_RS00970 WP_348571995.1
ABKJ22_RS00975 WP_011290028.1
ABKJ22_RS00980 WP_041361572.1
ABKJ22_RS00985 WP_228729168.1
ABKJ22_RS00990 WP_020835572.1
ABKJ22_RS00995 WP_011206093.1
ABKJ22_RS01000 WP_011206094.1
ABKJ22_RS01005 WP_094521583.1
ABKJ22_RS01010 WP_011290023.1
ABKJ22_RS01015 WP_044272325.1
ABKJ22_RS01020 WP_011290021.1
ABKJ22_RS01025 WP_269076320.1
ABKJ22_RS01030 WP_011290019.1
ABKJ22_RS01035 WP_041361566.1
ABKJ22_RS01045 WP_160584795.1
ABKJ22_RS01050 WP_011206102.1
ABKJ22_RS01055 WP_011206103.1
ABKJ22_RS01060 WP_020835567.1
ABKJ22_RS01065 WP_348571997.1
ABKJ22_RS01080 WP_348571999.1
ABKJ22_RS01085 WP_011290013.1
ABKJ22_RS01090 WP_348572001.1
ABKJ22_RS01095 WP_348572003.1
ABKJ22_RS01100 WP_011206110.1
ABKJ22_RS01105 WP_348572005.1
ABKJ22_RS01110 WP_348572008.1
ABKJ22_RS01115 WP_348572010.1
ABKJ22_RS01120 WP_011206016.1
ABKJ22_RS01125 WP_094521603.1
ABKJ22_RS01130 WP_011206014.1
ABKJ22_RS01135 WP_020835607.1
ABKJ22_RS01140 WP_020835608.1
ABKJ22_RS01145 WP_348572012.1
ABKJ22_RS01150 WP_348572014.1
ABKJ22_RS01155 WP_348572016.1
ABKJ22_RS01160 WP_011283989.1
ABKJ22_RS01165 WP_348572018.1
ABKJ22_RS01170 WP_348572020.1
ABKJ22_RS01175 WP_011206005.1
ABKJ22_RS01180 WP_011206004.1
ABKJ22_RS01185 WP_014579672.1
ABKJ22_RS01190 WP_348572022.1
ABKJ22_RS01195 WP_020835619.1
ABKJ22_RS01200 WP_348572023.1
ABKJ22_RS01205 WP_348572026.1
ABKJ22_RS01210 WP_348572028.1
ABKJ22_RS01215 WP_348572030.1
ABKJ22_RS01220 WP_094521610.1
ABKJ22_RS01225 WP_348572032.1
ABKJ22_RS01230 WP_348572133.1
ABKJ22_RS01235 WP_146379542.1
ABKJ22_RS01240 WP_348572135.1
ABKJ22_RS01245 WP_020835624.1
ABKJ22_RS01250 WP_348572033.1
ABKJ22_RS01255 WP_348572034.1
ABKJ22_RS01260 WP_348572036.1
ABKJ22_RS01265 WP_348572038.1
ABKJ22_RS01270 WP_348572040.1
ABKJ22_RS01275 WP_146379545.1
ABKJ22_RS01280 WP_348572042.1
ABKJ22_RS01285 WP_348571888.1
ABKJ22_RS01290 WP_348572044.1
ABKJ22_RS01295 WP_348572046.1
ABKJ22_RS01300 WP_348572047.1
ABKJ22_RS01305 WP_348572048.1
ABKJ22_RS01310 WP_348572050.1
ABKJ22_RS01315 WP_348572051.1
ABKJ22_RS01320 WP_348572053.1
ABKJ22_RS01325 WP_011284018.1
ABKJ22_RS01330 WP_011205973.1
ABKJ22_RS01335 WP_348572055.1
ABKJ22_RS01340 WP_020835635.1
ABKJ22_RS01345 WP_348572056.1
ABKJ22_RS01350 WP_011205969.1
ABKJ22_RS01355 WP_348572057.1
ABKJ22_RS01360 WP_160585678.1
ABKJ22_RS01365 WP_348572058.1
ABKJ22_RS01370 WP_011205965.1
ABKJ22_RS01375 WP_011284027.1
ABKJ22_RS01380 WP_192894288.1
ABKJ22_RS01385 WP_348572059.1
ABKJ22_RS01390 WP_160607804.1
ABKJ22_RS01395 WP_020835642.1
ABKJ22_RS01400 WP_011284032.1
ABKJ22_RS01405 WP_020835643.1
ABKJ22_RS01410 WP_160588252.1
ABKJ22_RS01415 WP_020835645.1
ABKJ22_RS01420 WP_011205955.1
ABKJ22_RS01425 WP_011205954.1
ABKJ22_RS01430 WP_011290118.1
ABKJ22_RS01435 WP_011205952.1
ABKJ22_RS01440 WP_348572060.1
ABKJ22_RS01445 WP_160606641.1
ABKJ22_RS01450 WP_348572061.1
ABKJ22_RS01455 WP_011290122.1
ABKJ22_RS01460 WP_348572138.1
ABKJ22_RS01465 WP_348572063.1
ABKJ22_RS01470 WP_348572065.1
ABKJ22_RS01475 WP_014579732.1
ABKJ22_RS01480 WP_348572067.1
ABKJ22_RS01485 WP_011284046.1
ABKJ22_RS01515 WP_348572069.1
ABKJ22_RS01520 WP_014579735.1
ABKJ22_RS01525 WP_348572071.1
ABKJ22_RS01530 WP_348572073.1
ABKJ22_RS01535 WP_243216061.1
ABKJ22_RS01540 WP_348572074.1
ABKJ22_RS01545 WP_348572075.1
ABKJ22_RS01550 WP_020835657.1
ABKJ22_RS01555 WP_011284055.1
ABKJ22_RS01560 WP_011284056.1
ABKJ22_RS01565 WP_011205932.1
ABKJ22_RS01570 WP_014579742.1
ABKJ22_RS01575 WP_240536643.1
ABKJ22_RS01580 WP_348572077.1
ABKJ22_RS01585 WP_135618726.1
ABKJ22_RS01590 WP_348572141.1
ABKJ22_RS01595 WP_347952439.1
ABKJ22_RS01600 WP_011206141.1
ABKJ22_RS01605 WP_348572080.1
ABKJ22_RS01610 WP_348572081.1
ABKJ22_RS01615 WP_348572083.1
ABKJ22_RS01620 WP_348572084.1
ABKJ22_RS01625 WP_348572085.1
ABKJ22_RS01630 WP_135618763.1
ABKJ22_RS01635 WP_348572086.1
ABKJ22_RS01640 WP_243216079.1
ABKJ22_RS01645 WP_011290145.1
ABKJ22_RS01650 WP_011290145.1
ABKJ22_RS01655 WP_348572088.1
ABKJ22_RS01660 WP_348572089.1
ABKJ22_RS01665 WP_348572091.1
ABKJ22_RS01670 WP_225973034.1
ABKJ22_RS01675 WP_348572093.1
ABKJ22_RS01680 WP_348572094.1
ABKJ22_RS01685 WP_160606777.1
ABKJ22_RS01690 WP_020835676.1
ABKJ22_RS01695 WP_020835677.1
ABKJ22_RS01700 WP_020835678.1
ABKJ22_RS01705 WP_348572096.1
ABKJ22_RS01710 WP_348572098.1
ABKJ22_RS01715 WP_348572099.1
ABKJ22_RS01720 WP_348572102.1
ABKJ22_RS01725 WP_348572175.1
ABKJ22_RS01730 WP_348572103.1
ABKJ22_RS01735 WP_348572103.1
ABKJ22_RS01740 WP_348572104.1
ABKJ22_RS01745 WP_225972972.1
ABKJ22_RS01750 WP_348572106.1
ABKJ22_RS01755 WP_146379623.1
ABKJ22_RS01760 WP_146379623.1
ABKJ22_RS01765 WP_308704619.1
ABKJ22_RS01770 WP_041361634.1
ABKJ22_RS01775 WP_348572108.1
ABKJ22_RS01780 WP_348572110.1
ABKJ22_RS01785 WP_011290172.1
ABKJ22_RS01790 WP_044284638.1
ABKJ22_RS01795 WP_011284100.1
ABKJ22_RS01800 WP_348572112.1
ABKJ22_RS01805 WP_348572114.1
ABKJ22_RS01810 WP_348572116.1
ABKJ22_RS01815 WP_348572117.1
ABKJ22_RS01820 WP_348572119.1
ABKJ22_RS01825 WP_348572120.1
ABKJ22_RS01830 WP_157696717.1
ABKJ22_RS01835 WP_348572122.1
ABKJ22_RS01840 WP_348572124.1
ABKJ22_RS01845 WP_135618818.1
ABKJ22_RS01850 WP_011290181.1
ABKJ22_RS01855 WP_348572143.1
ABKJ22_RS01860 WP_348572126.1
ABKJ22_RS01865 WP_240536401.1
ABKJ22_RS01870 WP_160585604.1
ABKJ22_RS01885 WP_020835708.1
ABKJ22_RS01890 WP_014579804.1
ABKJ22_RS01895 WP_011206196.1
ABKJ22_RS01900 WP_020835709.1
ABKJ22_RS01905 WP_348572127.1
ABKJ22_RS01910 WP_160585020.1
ABKJ22_RS01915 WP_011206200.1
ABKJ22_RS01920 WP_348572128.1
ABKJ22_RS01925 WP_348572129.1
ABKJ22_RS01930 WP_348572130.1
ABKJ22_RS01935 WP_160590029.1
ABKJ22_RS01940 WP_348571610.1
ABKJ22_RS01945 WP_348571612.1
ABKJ22_RS01950 WP_011206207.1
ABKJ22_RS01955 WP_135618848.1
ABKJ22_RS01960 WP_011290197.1
ABKJ22_RS01965 WP_308507057.1
ABKJ22_RS01970 WP_348571614.1
ABKJ22_RS01975 WP_348571617.1
ABKJ22_RS01980 WP_348571619.1
ABKJ22_RS01985 WP_348571621.1
ABKJ22_RS01990 WP_348571624.1
ABKJ22_RS01995 WP_160590043.1
ABKJ22_RS02000 WP_348571626.1
ABKJ22_RS02005 WP_011206218.1
ABKJ22_RS02010 WP_348571628.1
ABKJ22_RS02015 WP_348571628.1
ABKJ22_RS02020 WP_348571630.1
ABKJ22_RS02025 WP_011284142.1
ABKJ22_RS02030 WP_011206223.1
ABKJ22_RS02035 WP_011206224.1
ABKJ22_RS02040 WP_348571632.1
ABKJ22_RS02045 WP_044272474.1
ABKJ22_RS02050 WP_348571634.1
ABKJ22_RS02055 WP_011206228.1
ABKJ22_RS02060 WP_146379590.1
ABKJ22_RS02065 WP_146379589.1
ABKJ22_RS02070 WP_011206231.1
ABKJ22_RS02075 WP_348571637.1
ABKJ22_RS02090 WP_348571641.1
ABKJ22_RS02095 WP_348572146.1
ABKJ22_RS02100 WP_179696025.1
ABKJ22_RS02105 WP_160588293.1
ABKJ22_RS02110 WP_348571642.1
ABKJ22_RS02115 WP_011206256.1
ABKJ22_RS02120 WP_011290226.1
ABKJ22_RS02125 WP_348571645.1
ABKJ22_RS02130 WP_348571647.1
ABKJ22_RS02135 WP_348571650.1
ABKJ22_RS02140 WP_094521693.1
ABKJ22_RS02145 WP_348571653.1
ABKJ22_RS02150 WP_192894278.1
ABKJ22_RS02155 WP_011284169.1
ABKJ22_RS02160 WP_225972975.1
ABKJ22_RS02165 WP_146379631.1
ABKJ22_RS02170 WP_014579831.1
ABKJ22_RS02175 WP_094521691.1
ABKJ22_RS02180 WP_135618880.1
ABKJ22_RS02185 WP_135618878.1
ABKJ22_RS02190 WP_011206239.1
ABKJ22_RS02195 WP_348571656.1
ABKJ22_RS02200 WP_348571659.1
ABKJ22_RS02205 WP_348571662.1
ABKJ22_RS02210 WP_348571665.1
ABKJ22_RS02215 WP_348571667.1
ABKJ22_RS02220 WP_348571669.1
ABKJ22_RS02225 WP_002557993.1
ABKJ22_RS02230 WP_348571672.1
ABKJ22_RS02235 WP_348571675.1
ABKJ22_RS02240 WP_348571678.1
ABKJ22_RS02245 WP_002557988.1
ABKJ22_RS02250 WP_348571681.1
ABKJ22_RS02255 WP_348571683.1
ABKJ22_RS02260 WP_348571684.1
ABKJ22_RS02265 WP_348571687.1
ABKJ22_RS02270 WP_348572148.1
ABKJ22_RS02275 WP_348571689.1
ABKJ22_RS02280 WP_225972978.1
ABKJ22_RS02285 WP_348571692.1
ABKJ22_RS02290 WP_348571695.1
ABKJ22_RS02295 WP_348571697.1
ABKJ22_RS02300 WP_160585298.1
ABKJ22_RS02305 WP_348571700.1
ABKJ22_RS02310 WP_348571703.1
ABKJ22_RS02315 WP_348571706.1
ABKJ22_RS02320 WP_160606733.1
ABKJ22_RS02325 WP_348571709.1
ABKJ22_RS02330 WP_348571711.1
ABKJ22_RS02335 WP_348571713.1
ABKJ22_RS02340 WP_348571715.1
ABKJ22_RS02345 WP_348571717.1
ABKJ22_RS02350 WP_348571719.1
ABKJ22_RS02355 WP_348571721.1
ABKJ22_RS02360 WP_348571723.1
ABKJ22_RS02365 WP_348571725.1
ABKJ22_RS02370 WP_348571727.1
ABKJ22_RS02375 WP_348571728.1
ABKJ22_RS02385 WP_348571730.1
ABKJ22_RS02390 WP_348572151.1
ABKJ22_RS02395 WP_348571733.1
ABKJ22_RS02400 WP_348571736.1
ABKJ22_RS02405 WP_348571739.1
ABKJ22_RS02410 WP_011206289.1
ABKJ22_RS02415 WP_348571741.1
ABKJ22_RS02420 WP_044272538.1
ABKJ22_RS02425 WP_011206292.1
ABKJ22_RS02430 WP_011206293.1
ABKJ22_RS02445 WP_258555696.1
ABKJ22_RS02450 WP_348571744.1
ABKJ22_RS02455 WP_348572153.1
ABKJ22_RS02460 WP_179695977.1
ABKJ22_RS02465 WP_011206297.1
ABKJ22_RS02470 WP_011206298.1
ABKJ22_RS02475 WP_348571747.1
ABKJ22_RS02480 WP_348571749.1
ABKJ22_RS02485 WP_348571752.1
ABKJ22_RS02490 WP_160600961.1
ABKJ22_RS02495 WP_348571755.1
ABKJ22_RS02500 WP_348571757.1
ABKJ22_RS02505 WP_146379663.1
ABKJ22_RS02510 WP_348571759.1
ABKJ22_RS02515 WP_348571761.1
ABKJ22_RS02520 WP_348571763.1
ABKJ22_RS02525 WP_011206309.1
ABKJ22_RS02530 WP_135618955.1
ABKJ22_RS02535 WP_348571766.1
ABKJ22_RS02540 WP_348571769.1
ABKJ22_RS02545 WP_146379668.1
ABKJ22_RS02550 WP_011206314.1
ABKJ22_RS02555 WP_011206315.1
ABKJ22_RS02560 WP_348571770.1
ABKJ22_RS02565 WP_348571773.1
ABKJ22_RS02570 WP_348571776.1
ABKJ22_RS02575 WP_044284681.1
ABKJ22_RS02580 WP_011206320.1
ABKJ22_RS02585 WP_348571778.1
ABKJ22_RS02590 WP_014579908.1
ABKJ22_RS02595 WP_348571780.1
ABKJ22_RS02600 WP_348571782.1
ABKJ22_RS02605 WP_011206325.1
ABKJ22_RS02610 WP_044284683.1
ABKJ22_RS02615 WP_348571784.1
ABKJ22_RS02620 WP_348571786.1
ABKJ22_RS02625 WP_041361678.1
ABKJ22_RS02630 WP_348571788.1
ABKJ22_RS02635 WP_348571790.1
ABKJ22_RS02640 WP_011284249.1
ABKJ22_RS02645 WP_020835818.1
ABKJ22_RS02650 WP_348571792.1
ABKJ22_RS02655 WP_348572155.1
ABKJ22_RS02660 WP_020835820.1
ABKJ22_RS02665 WP_348571794.1
ABKJ22_RS02670 WP_011290313.1
ABKJ22_RS02675 WP_011290314.1
ABKJ22_RS02680 WP_160585259.1
ABKJ22_RS02685 WP_011206342.1
ABKJ22_RS02690 WP_228366104.1
ABKJ22_RS02695 WP_160608078.1
ABKJ22_RS02700 WP_011206345.1
ABKJ22_RS02705 WP_348571795.1
ABKJ22_RS02710 WP_011206347.1
ABKJ22_RS02715 WP_020835827.1
ABKJ22_RS02720 WP_020835828.1
ABKJ22_RS02725 WP_348571798.1
ABKJ22_RS02730 WP_348571799.1
ABKJ22_RS02735 WP_020835830.1
ABKJ22_RS02740 WP_258555242.1
ABKJ22_RS02745 WP_348571801.1
ABKJ22_RS02750 WP_348571802.1
ABKJ22_RS02755 WP_348571802.1
ABKJ22_RS02760 WP_011206373.1
ABKJ22_RS02765 WP_348571803.1
ABKJ22_RS02770 WP_011206375.1
ABKJ22_RS02775 WP_160584978.1
ABKJ22_RS02780 WP_160607844.1
ABKJ22_RS02785 WP_020835836.1
ABKJ22_RS02790 WP_011290331.1
ABKJ22_RS02795 WP_020835837.1
ABKJ22_RS02800 WP_135619012.1
ABKJ22_RS02805 WP_348571805.1
ABKJ22_RS02810 WP_160607852.1
ABKJ22_RS02815 WP_011206384.1
ABKJ22_RS02820 WP_011206385.1
ABKJ22_RS02825 WP_348571807.1
ABKJ22_RS02830 WP_225972996.1
ABKJ22_RS02835 WP_044284693.1
ABKJ22_RS02840 WP_348571809.1
ABKJ22_RS02845 WP_160584967.1
ABKJ22_RS02850 WP_011206391.1
ABKJ22_RS02855 WP_348571811.1
ABKJ22_RS02860 WP_348571811.1
ABKJ22_RS02865 WP_348571813.1
ABKJ22_RS02870 WP_348571815.1
ABKJ22_RS02875 WP_348571817.1
ABKJ22_RS02880 WP_348571819.1
ABKJ22_RS02885 WP_011290347.1
ABKJ22_RS02890 WP_020835851.1
ABKJ22_RS02895 WP_160588325.1
ABKJ22_RS02900 WP_160585231.1
ABKJ22_RS02905 WP_348571822.1
ABKJ22_RS02910 WP_348571824.1
ABKJ22_RS02915 WP_146379704.1
ABKJ22_RS02920 WP_041361690.1
ABKJ22_RS02925 WP_011206407.1
ABKJ22_RS02930 WP_011206408.1
ABKJ22_RS02935 WP_011284299.1
ABKJ22_RS02940 WP_348571826.1
ABKJ22_RS02945 WP_348571828.1
ABKJ22_RS02950 WP_002557698.1
ABKJ22_RS02955 WP_020835860.1
ABKJ22_RS02960 WP_044272610.1
ABKJ22_RS02965 WP_020835862.1
ABKJ22_RS02970 WP_220190663.1
ABKJ22_RS02975 WP_011290367.1
ABKJ22_RS02980 WP_011206424.1
ABKJ22_RS02985 WP_348571830.1
ABKJ22_RS02990 WP_160600929.1
ABKJ22_RS02995 WP_348571833.1
ABKJ22_RS03000 WP_348571835.1
ABKJ22_RS03005 WP_160585645.1
ABKJ22_RS03010 WP_044272613.1
ABKJ22_RS03015 WP_011290372.1
ABKJ22_RS03020 WP_135619070.1
ABKJ22_RS03025 WP_011206433.1
ABKJ22_RS03030 WP_020835872.1
ABKJ22_RS03035 WP_011206435.1
ABKJ22_RS03040 WP_220200714.1
ABKJ22_RS03045 WP_348572158.1
ABKJ22_RS03050 WP_160607777.1
ABKJ22_RS03055 WP_160585273.1
ABKJ22_RS03060 WP_020835878.1
ABKJ22_RS03065 WP_348571837.1
ABKJ22_RS03070 WP_020835880.1
ABKJ22_RS03075 WP_081642895.1
ABKJ22_RS03080 WP_348571838.1
ABKJ22_RS03085 WP_348571840.1
ABKJ22_RS03090 WP_348571840.1
ABKJ22_RS03095 WP_348571840.1
ABKJ22_RS03105 WP_020835888.1
ABKJ22_RS03110 WP_020835889.1
ABKJ22_RS03115 WP_011206453.1
ABKJ22_RS03120 WP_348571841.1
ABKJ22_RS03125 WP_348572160.1
ABKJ22_RS03130 WP_348571843.1
ABKJ22_RS03135 WP_011206457.1
ABKJ22_RS03140 WP_011206458.1
ABKJ22_RS03150 WP_348571845.1
ABKJ22_RS03155 WP_348571847.1
ABKJ22_RS03160 WP_348571849.1
ABKJ22_RS03165 WP_348571851.1
ABKJ22_RS03170 WP_348571853.1
ABKJ22_RS03175 WP_020835897.1
ABKJ22_RS03180 WP_146379741.1
ABKJ22_RS03185 WP_011290400.1
ABKJ22_RS03190 WP_160585238.1
ABKJ22_RS03195 WP_011206469.1
ABKJ22_RS03200 WP_348571855.1
ABKJ22_RS03205 WP_348571858.1
ABKJ22_RS03210 WP_011290405.1
ABKJ22_RS03215 WP_348571860.1
ABKJ22_RS03220 WP_020835902.1
ABKJ22_RS03225 WP_020835902.1
ABKJ22_RS03230 WP_348571862.1
ABKJ22_RS03235 WP_020835904.1
ABKJ22_RS03240 WP_348571864.1
ABKJ22_RS03245 WP_348571866.1
ABKJ22_RS03250 WP_348571868.1
ABKJ22_RS03255 WP_011290413.1
ABKJ22_RS03260 WP_011206484.1
ABKJ22_RS03265 WP_014580009.1
ABKJ22_RS03270 WP_348571870.1
ABKJ22_RS03275 WP_011206487.1
ABKJ22_RS03285 WP_011206488.1
ABKJ22_RS03290 WP_232039558.1
ABKJ22_RS03295 WP_014580012.1
ABKJ22_RS03300 WP_094521520.1
ABKJ22_RS03305 WP_011290418.1
ABKJ22_RS03310 WP_348571873.1
ABKJ22_RS03315 WP_160588182.1
ABKJ22_RS03320 WP_011206494.1
ABKJ22_RS03325 WP_146379753.1
ABKJ22_RS03330 WP_011290421.1
ABKJ22_RS03335 WP_228366117.1
ABKJ22_RS03340 WP_160590207.1
ABKJ22_RS03345 WP_220191147.1
ABKJ22_RS03350 WP_348571875.1
ABKJ22_RS03360 WP_011206502.1
ABKJ22_RS03365 WP_011284373.1
ABKJ22_RS03370 WP_348571877.1
ABKJ22_RS03375 WP_348571879.1
ABKJ22_RS03380 WP_044272671.1
ABKJ22_RS03385 WP_348571881.1
ABKJ22_RS03390 WP_160584892.1
ABKJ22_RS03395 WP_348571882.1
ABKJ22_RS03400 WP_011206510.1
ABKJ22_RS03405 WP_160585575.1
ABKJ22_RS03410 WP_348571885.1
ABKJ22_RS03415 WP_348571887.1
ABKJ22_RS03420 WP_348571888.1
ABKJ22_RS03425 WP_348571889.1
ABKJ22_RS03430 WP_348571891.1
ABKJ22_RS03435 WP_348571893.1
ABKJ22_RS03440 WP_348571894.1
ABKJ22_RS03455 WP_348571896.1
ABKJ22_RS03460 WP_050195472.1
ABKJ22_RS03465 WP_348571897.1
ABKJ22_RS03470 WP_011206522.1
ABKJ22_RS03475 WP_348571899.1
ABKJ22_RS03480 WP_348571901.1
ABKJ22_RS03485 WP_348571902.1
ABKJ22_RS03490 WP_348571904.1
ABKJ22_RS03495 WP_160606487.1
ABKJ22_RS03500 WP_014580051.1
