ABJ972_RS00005 WP_044272251.1
ABJ972_RS00720 WP_011206048.1
ABJ972_RS00725 WP_011206049.1
ABJ972_RS00730 WP_011290054.1
ABJ972_RS00735 WP_011290053.1
ABJ972_RS00740 WP_135618604.1
ABJ972_RS00745 WP_348571977.1
ABJ972_RS00750 WP_348602721.1
ABJ972_RS00755 WP_011283957.1
ABJ972_RS00760 WP_011206056.1
ABJ972_RS00765 WP_348602722.1
ABJ972_RS00770 WP_348602723.1
ABJ972_RS00775 WP_348602724.1
ABJ972_RS00780 WP_348602725.1
ABJ972_RS00785 WP_348602726.1
ABJ972_RS00790 WP_348602727.1
ABJ972_RS00795 WP_011283951.1
ABJ972_RS00800 WP_348602728.1
ABJ972_RS00805 WP_348602729.1
ABJ972_RS00810 WP_135618589.1
ABJ972_RS00815 WP_348602730.1
ABJ972_RS00820 WP_348602731.1
ABJ972_RS00825 WP_011206069.1
ABJ972_RS00830 WP_348602732.1
ABJ972_RS00835 WP_348602733.1
ABJ972_RS00840 WP_348602734.1
ABJ972_RS00845 WP_348602735.1
ABJ972_RS00850 WP_348602736.1
ABJ972_RS00860 WP_348602737.1
ABJ972_RS00865 WP_348602738.1
ABJ972_RS00870 WP_348602739.1
ABJ972_RS00875 WP_348602740.1
ABJ972_RS00880 WP_160584803.1
ABJ972_RS00885 WP_011290034.1
ABJ972_RS00890 WP_348602741.1
ABJ972_RS00900 WP_011283934.1
ABJ972_RS00905 WP_348602742.1
ABJ972_RS00910 WP_146379501.1
ABJ972_RS00920 WP_348602743.1
ABJ972_RS00925 WP_011206086.1
ABJ972_RS00930 WP_011283930.1
ABJ972_RS00935 WP_348602744.1
ABJ972_RS00940 WP_348602745.1
ABJ972_RS00945 WP_011206089.1
ABJ972_RS00950 WP_348602746.1
ABJ972_RS00955 WP_228729168.1
ABJ972_RS00960 WP_020835572.1
ABJ972_RS00965 WP_011206093.1
ABJ972_RS00970 WP_011206094.1
ABJ972_RS00975 WP_011283924.1
ABJ972_RS00980 WP_011290023.1
ABJ972_RS00985 WP_044272325.1
ABJ972_RS00990 WP_348602747.1
ABJ972_RS00995 WP_348602748.1
ABJ972_RS01000 WP_011290019.1
ABJ972_RS01005 WP_348602749.1
ABJ972_RS01015 WP_146379496.1
ABJ972_RS01020 WP_011206102.1
ABJ972_RS01025 WP_011206103.1
ABJ972_RS01030 WP_052269169.1
ABJ972_RS01035 WP_348602750.1
ABJ972_RS01050 WP_160584793.1
ABJ972_RS01055 WP_348602751.1
ABJ972_RS01060 WP_348602752.1
ABJ972_RS01065 WP_348602753.1
ABJ972_RS01070 WP_011206110.1
ABJ972_RS01075 WP_348602754.1
ABJ972_RS01080 WP_233688672.1
ABJ972_RS01085 WP_348602755.1
ABJ972_RS01090 WP_011206016.1
ABJ972_RS01095 WP_094521603.1
ABJ972_RS01100 WP_011206014.1
ABJ972_RS01105 WP_020835607.1
ABJ972_RS01110 WP_020835608.1
ABJ972_RS01115 WP_348602756.1
ABJ972_RS01120 WP_348602757.1
ABJ972_RS01125 WP_348602758.1
ABJ972_RS01130 WP_011283989.1
ABJ972_RS01135 WP_348572018.1
ABJ972_RS01140 WP_348572020.1
ABJ972_RS01145 WP_011206005.1
ABJ972_RS01150 WP_011206004.1
ABJ972_RS01155 WP_014579672.1
ABJ972_RS01160 WP_348602759.1
ABJ972_RS01165 WP_044272377.1
ABJ972_RS01170 WP_348602760.1
ABJ972_RS01175 WP_348602761.1
ABJ972_RS01180 WP_348602762.1
ABJ972_RS01185 WP_348602763.1
ABJ972_RS01190 WP_348602764.1
ABJ972_RS01195 WP_094521610.1
ABJ972_RS01200 WP_348572032.1
ABJ972_RS01205 WP_348602857.1
ABJ972_RS01210 WP_348602765.1
ABJ972_RS01215 WP_348602766.1
ABJ972_RS01220 WP_348602767.1
ABJ972_RS01225 WP_348602768.1
ABJ972_RS01230 WP_348602769.1
ABJ972_RS01235 WP_011205986.1
ABJ972_RS01240 WP_348602770.1
ABJ972_RS01245 WP_348602771.1
ABJ972_RS01250 WP_011205983.1
ABJ972_RS01255 WP_348602772.1
ABJ972_RS01260 WP_348602773.1
ABJ972_RS01265 WP_348572046.1
ABJ972_RS01270 WP_348602774.1
ABJ972_RS01275 WP_348602775.1
ABJ972_RS01280 WP_348602776.1
ABJ972_RS01285 WP_348602777.1
ABJ972_RS01290 WP_348602778.1
ABJ972_RS01295 WP_348602779.1
ABJ972_RS01300 WP_011205973.1
ABJ972_RS01305 WP_348602780.1
ABJ972_RS01310 WP_348602781.1
ABJ972_RS01315 WP_348602782.1
ABJ972_RS01320 WP_011205969.1
ABJ972_RS01325 WP_348572057.1
ABJ972_RS01330 WP_348602783.1
ABJ972_RS01335 WP_348602784.1
ABJ972_RS01340 WP_011205965.1
ABJ972_RS01345 WP_348602785.1
ABJ972_RS01350 WP_348602786.1
ABJ972_RS01355 WP_011205962.1
ABJ972_RS01360 WP_348602787.1
ABJ972_RS01365 WP_020835642.1
ABJ972_RS01370 WP_348602788.1
ABJ972_RS01375 WP_348602789.1
ABJ972_RS01380 WP_348602790.1
ABJ972_RS01385 WP_020835645.1
ABJ972_RS01390 WP_011205955.1
ABJ972_RS01395 WP_011205954.1
ABJ972_RS01400 WP_348602791.1
ABJ972_RS01405 WP_011205952.1
ABJ972_RS01410 WP_348602792.1
ABJ972_RS01415 WP_011205950.1
ABJ972_RS01420 WP_348602793.1
ABJ972_RS01425 WP_011205948.1
ABJ972_RS01430 WP_348572138.1
ABJ972_RS01435 WP_348602794.1
ABJ972_RS01440 WP_348602795.1
ABJ972_RS01445 WP_014579732.1
ABJ972_RS01450 WP_348602796.1
ABJ972_RS01455 WP_011284046.1
ABJ972_RS01485 WP_094521635.1
ABJ972_RS01490 WP_014579735.1
ABJ972_RS01495 WP_179696045.1
ABJ972_RS01500 WP_135618714.1
ABJ972_RS01505 WP_146379568.1
ABJ972_RS01510 WP_135618718.1
ABJ972_RS01515 WP_348602797.1
ABJ972_RS01520 WP_348602798.1
ABJ972_RS01525 WP_011284055.1
ABJ972_RS01530 WP_011284056.1
ABJ972_RS01535 WP_011205932.1
ABJ972_RS01540 WP_014579742.1
ABJ972_RS01545 WP_240536643.1
ABJ972_RS01550 WP_225973031.1
ABJ972_RS01555 WP_348602799.1
ABJ972_RS01560 WP_348602858.1
ABJ972_RS01565 WP_020835661.1
ABJ972_RS01570 WP_160606621.1
ABJ972_RS01575 WP_011206141.1
ABJ972_RS01580 WP_348602800.1
ABJ972_RS01585 WP_233688726.1
ABJ972_RS01590 WP_348602801.1
ABJ972_RS01595 WP_348602802.1
ABJ972_RS01600 WP_160606615.1
ABJ972_RS01605 WP_348602803.1
ABJ972_RS01610 WP_146379573.1
ABJ972_RS01615 WP_348602804.1
ABJ972_RS01620 WP_348602805.1
ABJ972_RS01625 WP_348602806.1
ABJ972_RS01630 WP_348602806.1
ABJ972_RS01635 WP_348602807.1
ABJ972_RS01640 WP_348602808.1
ABJ972_RS01645 WP_348602809.1
ABJ972_RS01650 WP_225973034.1
ABJ972_RS01655 WP_348602810.1
ABJ972_RS01660 WP_348602811.1
ABJ972_RS01665 WP_348602812.1
ABJ972_RS01670 WP_348602814.1
ABJ972_RS01675 WP_014579758.1
ABJ972_RS01680 WP_348602859.1
ABJ972_RS01685 WP_348602815.1
ABJ972_RS01690 WP_348602816.1
ABJ972_RS01695 WP_348602817.1
ABJ972_RS01700 WP_348602818.1
ABJ972_RS01705 WP_348602818.1
ABJ972_RS01710 WP_348602818.1
ABJ972_RS01715 WP_348602818.1
ABJ972_RS01720 WP_348602819.1
ABJ972_RS01725 WP_348602820.1
ABJ972_RS01730 WP_348602821.1
ABJ972_RS01735 WP_146379623.1
ABJ972_RS01740 WP_020835692.1
ABJ972_RS01745 WP_348602822.1
ABJ972_RS01750 WP_308704619.1
ABJ972_RS01755 WP_041361634.1
ABJ972_RS01760 WP_041361634.1
ABJ972_RS01765 WP_348602823.1
ABJ972_RS01770 WP_348602824.1
ABJ972_RS01775 WP_348602825.1
ABJ972_RS01780 WP_348602826.1
ABJ972_RS01785 WP_146379618.1
ABJ972_RS01790 WP_348602827.1
ABJ972_RS01795 WP_348602828.1
ABJ972_RS01800 WP_348602829.1
ABJ972_RS01805 WP_348602830.1
ABJ972_RS01810 WP_348602831.1
ABJ972_RS01815 WP_094521666.1
ABJ972_RS01820 WP_348602832.1
ABJ972_RS01825 WP_348602833.1
ABJ972_RS01830 WP_348602834.1
ABJ972_RS01835 WP_348602835.1
ABJ972_RS01840 WP_348602836.1
ABJ972_RS01845 WP_348602837.1
ABJ972_RS01850 WP_348602838.1
ABJ972_RS01855 WP_348602839.1
ABJ972_RS01860 WP_348602841.1
ABJ972_RS01875 WP_011206194.1
ABJ972_RS01880 WP_014579804.1
ABJ972_RS01885 WP_348602842.1
ABJ972_RS01890 WP_348602843.1
ABJ972_RS01895 WP_348602844.1
ABJ972_RS01900 WP_348602845.1
ABJ972_RS01905 WP_348602846.1
ABJ972_RS01910 WP_348602847.1
ABJ972_RS01915 WP_348602848.1
ABJ972_RS01920 WP_348602849.1
ABJ972_RS01925 WP_348602850.1
ABJ972_RS01930 WP_160585598.1
ABJ972_RS01935 WP_348602851.1
ABJ972_RS01940 WP_348602852.1
ABJ972_RS01945 WP_348602853.1
ABJ972_RS01950 WP_011290197.1
ABJ972_RS01955 WP_308507057.1
ABJ972_RS01960 WP_348571614.1
ABJ972_RS01965 WP_348602854.1
ABJ972_RS01970 WP_348602855.1
ABJ972_RS01975 WP_011206214.1
ABJ972_RS01980 WP_348602497.1
ABJ972_RS01985 WP_011206216.1
ABJ972_RS01990 WP_014579824.1
ABJ972_RS01995 WP_011206218.1
ABJ972_RS02000 WP_160606601.1
ABJ972_RS02005 WP_160606601.1
ABJ972_RS02010 WP_348571630.1
ABJ972_RS02015 WP_011284142.1
ABJ972_RS02020 WP_348602498.1
ABJ972_RS02025 WP_011206224.1
ABJ972_RS02030 WP_348602499.1
ABJ972_RS02035 WP_348602500.1
ABJ972_RS02040 WP_348602501.1
ABJ972_RS02045 WP_348602502.1
ABJ972_RS02050 WP_020835733.1
ABJ972_RS02055 WP_160585126.1
ABJ972_RS02060 WP_011206231.1
ABJ972_RS02065 WP_011284150.1
ABJ972_RS02080 WP_348602503.1
ABJ972_RS02085 WP_348602860.1
ABJ972_RS02090 WP_228729165.1
ABJ972_RS02095 WP_348602861.1
ABJ972_RS02100 WP_348602504.1
ABJ972_RS02105 WP_348602505.1
ABJ972_RS02110 WP_348602506.1
ABJ972_RS02115 WP_348602507.1
ABJ972_RS02120 WP_348602507.1
ABJ972_RS02125 WP_348602508.1
ABJ972_RS02130 WP_002557993.1
ABJ972_RS02135 WP_011284157.1
ABJ972_RS02140 WP_348602509.1
ABJ972_RS02145 WP_348602510.1
ABJ972_RS02150 WP_237697200.1
ABJ972_RS02155 WP_348602511.1
ABJ972_RS02160 WP_348602512.1
ABJ972_RS02165 WP_348571656.1
ABJ972_RS02170 WP_011206239.1
ABJ972_RS02175 WP_135618878.1
ABJ972_RS02180 WP_135618880.1
ABJ972_RS02185 WP_094521691.1
ABJ972_RS02190 WP_348602513.1
ABJ972_RS02195 WP_348602514.1
ABJ972_RS02200 WP_225972975.1
ABJ972_RS02205 WP_011284169.1
ABJ972_RS02210 WP_192894278.1
ABJ972_RS02215 WP_348602515.1
ABJ972_RS02220 WP_348602516.1
ABJ972_RS02225 WP_348602517.1
ABJ972_RS02230 WP_348602518.1
ABJ972_RS02235 WP_348602519.1
ABJ972_RS02240 WP_348602520.1
ABJ972_RS02245 WP_011206256.1
ABJ972_RS02250 WP_348602521.1
ABJ972_RS02255 WP_348602522.1
ABJ972_RS02260 WP_348602523.1
ABJ972_RS02265 WP_348602862.1
ABJ972_RS02270 WP_348602524.1
ABJ972_RS02275 WP_348602525.1
ABJ972_RS02280 WP_011290245.1
ABJ972_RS02285 WP_348602526.1
ABJ972_RS02290 WP_348602527.1
ABJ972_RS02295 WP_011290248.1
ABJ972_RS02300 WP_348602528.1
ABJ972_RS02305 WP_348602529.1
ABJ972_RS02310 WP_348602530.1
ABJ972_RS02315 WP_011206271.1
ABJ972_RS02320 WP_348602531.1
ABJ972_RS02325 WP_348602532.1
ABJ972_RS02330 WP_348602533.1
ABJ972_RS02335 WP_243216208.1
ABJ972_RS02340 WP_348602534.1
ABJ972_RS02345 WP_348602535.1
ABJ972_RS02350 WP_348602536.1
ABJ972_RS02355 WP_348602537.1
ABJ972_RS02360 WP_348602538.1
ABJ972_RS02365 WP_044272526.1
ABJ972_RS02370 WP_348571728.1
ABJ972_RS02380 WP_348571730.1
ABJ972_RS02385 WP_135619210.1
ABJ972_RS02390 WP_348602539.1
ABJ972_RS02395 WP_011206287.1
ABJ972_RS02400 WP_011284209.1
ABJ972_RS02405 WP_011206289.1
ABJ972_RS02410 WP_348602540.1
ABJ972_RS02415 WP_348602541.1
ABJ972_RS02420 WP_348602542.1
ABJ972_RS02425 WP_014579885.1
ABJ972_RS02440 WP_348602543.1
ABJ972_RS02445 WP_348602544.1
ABJ972_RS02450 WP_348602545.1
ABJ972_RS02455 WP_348602546.1
ABJ972_RS02460 WP_348602547.1
ABJ972_RS02465 WP_348602548.1
ABJ972_RS02470 WP_348602549.1
ABJ972_RS02475 WP_348602550.1
ABJ972_RS02480 WP_348602551.1
ABJ972_RS02485 WP_348602552.1
ABJ972_RS02490 WP_011206304.1
ABJ972_RS02495 WP_348602553.1
ABJ972_RS02500 WP_011206306.1
ABJ972_RS02505 WP_348602554.1
ABJ972_RS02510 WP_348602555.1
ABJ972_RS02515 WP_094521720.1
ABJ972_RS02520 WP_348602556.1
ABJ972_RS02525 WP_348602557.1
ABJ972_RS02530 WP_348602558.1
ABJ972_RS02535 WP_348602559.1
ABJ972_RS02540 WP_348602560.1
ABJ972_RS02545 WP_160590135.1
ABJ972_RS02550 WP_348602561.1
ABJ972_RS02555 WP_348571773.1
ABJ972_RS02560 WP_348602562.1
ABJ972_RS02565 WP_044284681.1
ABJ972_RS02570 WP_348602563.1
ABJ972_RS02575 WP_348602564.1
ABJ972_RS02580 WP_011290297.1
ABJ972_RS02585 WP_347952251.1
ABJ972_RS02590 WP_348602565.1
ABJ972_RS02595 WP_011290300.1
ABJ972_RS02600 WP_020835811.1
ABJ972_RS02605 WP_348602566.1
ABJ972_RS02610 WP_348602567.1
ABJ972_RS02615 WP_348602568.1
ABJ972_RS02620 WP_348602569.1
ABJ972_RS02625 WP_348602570.1
ABJ972_RS02630 WP_011206333.1
ABJ972_RS02635 WP_348602571.1
ABJ972_RS02640 WP_348602572.1
ABJ972_RS02645 WP_348602572.1
ABJ972_RS02650 WP_348602573.1
ABJ972_RS02655 WP_348602574.1
ABJ972_RS02660 WP_160585688.1
ABJ972_RS02665 WP_011290314.1
ABJ972_RS02670 WP_348602575.1
ABJ972_RS02675 WP_348602576.1
ABJ972_RS02680 WP_348602577.1
ABJ972_RS02685 WP_011206345.1
ABJ972_RS02690 WP_348602578.1
ABJ972_RS02695 WP_233688497.1
ABJ972_RS02700 WP_348602579.1
ABJ972_RS02705 WP_348602580.1
ABJ972_RS02710 WP_011206350.1
ABJ972_RS02715 WP_041361798.1
ABJ972_RS02720 WP_348602581.1
ABJ972_RS02725 WP_348602582.1
ABJ972_RS02730 WP_044272563.1
ABJ972_RS02735 WP_348602583.1
ABJ972_RS02740 WP_011206373.1
ABJ972_RS02745 WP_160585682.1
ABJ972_RS02750 WP_011206375.1
ABJ972_RS02755 WP_011206376.1
ABJ972_RS02760 WP_011284272.1
ABJ972_RS02765 WP_348602584.1
ABJ972_RS02770 WP_348602585.1
ABJ972_RS02775 WP_020835837.1
ABJ972_RS02780 WP_348602586.1
ABJ972_RS02785 WP_348602587.1
ABJ972_RS02790 WP_348602588.1
ABJ972_RS02795 WP_011206384.1
ABJ972_RS02800 WP_011206385.1
ABJ972_RS02805 WP_348602589.1
ABJ972_RS02810 WP_225972996.1
ABJ972_RS02815 WP_020835843.1
ABJ972_RS02820 WP_348602590.1
ABJ972_RS02825 WP_011284284.1
ABJ972_RS02830 WP_011206391.1
ABJ972_RS02835 WP_233688510.1
ABJ972_RS02840 WP_179221196.1
ABJ972_RS02845 WP_348602591.1
ABJ972_RS02850 WP_348602592.1
ABJ972_RS02855 WP_160584965.1
ABJ972_RS02860 WP_348602593.1
ABJ972_RS02865 WP_011290347.1
ABJ972_RS02870 WP_020835851.1
ABJ972_RS02875 WP_348602594.1
ABJ972_RS02880 WP_160585231.1
ABJ972_RS02885 WP_348602595.1
ABJ972_RS02890 WP_348602596.1
ABJ972_RS02895 WP_146379704.1
ABJ972_RS02900 WP_348602597.1
ABJ972_RS02905 WP_348602598.1
ABJ972_RS02910 WP_348602599.1
ABJ972_RS02915 WP_348602600.1
ABJ972_RS02920 WP_348602601.1
ABJ972_RS02925 WP_348602602.1
ABJ972_RS02930 WP_348602603.1
ABJ972_RS02935 WP_348602604.1
ABJ972_RS02940 WP_348602863.1
ABJ972_RS02945 WP_348602864.1
ABJ972_RS02950 WP_348602605.1
ABJ972_RS02955 WP_179221201.1
ABJ972_RS02960 WP_348602606.1
ABJ972_RS02965 WP_348602607.1
ABJ972_RS02970 WP_020835862.1
ABJ972_RS02975 WP_348602608.1
ABJ972_RS02980 WP_348602609.1
ABJ972_RS02985 WP_011206424.1
ABJ972_RS02990 WP_160588049.1
ABJ972_RS02995 WP_348602610.1
ABJ972_RS03000 WP_228366113.1
ABJ972_RS03005 WP_348602611.1
ABJ972_RS03010 WP_160585645.1
ABJ972_RS03015 WP_348602612.1
ABJ972_RS03020 WP_011290372.1
ABJ972_RS03025 WP_135619070.1
ABJ972_RS03030 WP_011206433.1
ABJ972_RS03035 WP_348602613.1
ABJ972_RS03040 WP_011206435.1
ABJ972_RS03045 WP_348602614.1
ABJ972_RS03050 WP_348602615.1
ABJ972_RS03055 WP_348602616.1
ABJ972_RS03060 WP_160606697.1
ABJ972_RS03065 WP_348602617.1
ABJ972_RS03070 WP_348602618.1
ABJ972_RS03075 WP_014579979.1
ABJ972_RS03080 WP_011206445.1
ABJ972_RS03085 WP_011290381.1
ABJ972_RS03090 WP_011290381.1
ABJ972_RS03095 WP_348602619.1
ABJ972_RS03100 WP_348602619.1
ABJ972_RS03105 WP_044284712.1
ABJ972_RS03110 WP_348602620.1
ABJ972_RS03115 WP_044284714.1
ABJ972_RS03120 WP_348602621.1
ABJ972_RS03130 WP_348602622.1
ABJ972_RS03135 WP_348602623.1
ABJ972_RS03140 WP_014579987.1
ABJ972_RS03145 WP_348602624.1
ABJ972_RS03150 WP_348602625.1
ABJ972_RS03155 WP_348602626.1
ABJ972_RS03160 WP_348602627.1
ABJ972_RS03165 WP_011206458.1
ABJ972_RS03175 WP_348571845.1
ABJ972_RS03180 WP_348571847.1
ABJ972_RS03185 WP_348602628.1
ABJ972_RS03190 WP_348602629.1
ABJ972_RS03195 WP_348602630.1
ABJ972_RS03200 WP_348602631.1
ABJ972_RS03205 WP_146379740.1
ABJ972_RS03210 WP_011290399.1
ABJ972_RS03215 WP_146379742.1
ABJ972_RS03220 WP_160585238.1
ABJ972_RS03225 WP_011206469.1
ABJ972_RS03230 WP_348602632.1
ABJ972_RS03235 WP_348602633.1
ABJ972_RS03240 WP_348602634.1
ABJ972_RS03245 WP_348602635.1
ABJ972_RS03250 WP_348602636.1
ABJ972_RS03255 WP_348602636.1
ABJ972_RS03260 WP_348602636.1
ABJ972_RS03265 WP_348602637.1
ABJ972_RS03270 WP_348602638.1
ABJ972_RS03275 WP_348602639.1
ABJ972_RS03280 WP_011206484.1
ABJ972_RS03285 WP_160584907.1
ABJ972_RS03290 WP_348602640.1
ABJ972_RS03295 WP_348602641.1
ABJ972_RS03305 WP_011206488.1
ABJ972_RS03310 WP_232039558.1
ABJ972_RS03315 WP_011290416.1
ABJ972_RS03320 WP_011206490.1
ABJ972_RS03325 WP_011290418.1
ABJ972_RS03330 WP_348602642.1
ABJ972_RS03335 WP_011206493.1
ABJ972_RS03340 WP_011206494.1
ABJ972_RS03345 WP_146379753.1
ABJ972_RS03350 WP_011290421.1
ABJ972_RS03355 WP_228366117.1
ABJ972_RS03360 WP_348602643.1
ABJ972_RS03365 WP_348602644.1
ABJ972_RS03370 WP_348602645.1
ABJ972_RS03380 WP_011206502.1
ABJ972_RS03385 WP_348602646.1
ABJ972_RS03390 WP_348602647.1
ABJ972_RS03395 WP_348602648.1
ABJ972_RS03400 WP_348602649.1
ABJ972_RS03405 WP_348602650.1
ABJ972_RS03410 WP_348602651.1
ABJ972_RS03415 WP_348602652.1
ABJ972_RS03420 WP_011206510.1
ABJ972_RS03425 WP_160585575.1
ABJ972_RS03430 WP_348602653.1
ABJ972_RS03435 WP_348571887.1
ABJ972_RS03440 WP_348602654.1
ABJ972_RS03445 WP_348602655.1
ABJ972_RS03450 WP_348602656.1
ABJ972_RS03455 WP_348602657.1
ABJ972_RS03470 WP_348602658.1
ABJ972_RS03475 WP_011284387.1
ABJ972_RS03480 WP_348602660.1
ABJ972_RS03485 WP_348602661.1
ABJ972_RS03490 WP_348602662.1
ABJ972_RS03500 WP_160588095.1
ABJ972_RS03505 WP_011284387.1
ABJ972_RS03510 WP_348602663.1
ABJ972_RS03515 WP_011206522.1
ABJ972_RS03520 WP_135619170.1
ABJ972_RS03525 WP_348571901.1
ABJ972_RS03530 WP_348602664.1
ABJ972_RS03535 WP_348602665.1
ABJ972_RS03540 WP_011206527.1
ABJ972_RS03545 WP_014580051.1
ABJ972_RS03550 WP_011206529.1
