B5C39_RS00010 WP_044284803.1
B5C39_RS00520 WP_232039555.1
B5C39_RS00525 WP_011206475.1
B5C39_RS00530 WP_011206475.1
B5C39_RS00535 WP_011206477.1
B5C39_RS03770 WP_232039557.1
B5C39_RS00540 WP_011206479.1
B5C39_RS00545 WP_011206480.1
B5C39_RS00550 WP_044284849.1
B5C39_RS00555 WP_011206482.1
B5C39_RS00560 WP_011206483.1
B5C39_RS00565 WP_011206484.1
B5C39_RS00570 WP_011206485.1
B5C39_RS00575 WP_011206486.1
B5C39_RS00580 WP_011206487.1
B5C39_RS00590 WP_011206488.1
B5C39_RS03940 WP_232039558.1
B5C39_RS00600 WP_014580012.1
B5C39_RS00605 WP_011206490.1
B5C39_RS00610 WP_011206491.1
B5C39_RS00615 WP_011206492.1
B5C39_RS00620 WP_011206493.1
B5C39_RS00625 WP_011206494.1
B5C39_RS00630 WP_011206495.1
B5C39_RS00635 WP_011206496.1
B5C39_RS00640 WP_238374142.1
B5C39_RS00645 WP_044284809.1
B5C39_RS00650 WP_173670098.1
B5C39_RS00655 WP_011206501.1
B5C39_RS00665 WP_011206502.1
B5C39_RS00670 WP_011206503.1
B5C39_RS00675 WP_011206504.1
B5C39_RS00680 WP_011206505.1
B5C39_RS00685 WP_011206506.1
B5C39_RS00690 WP_011206507.1
B5C39_RS00695 WP_011206508.1
B5C39_RS00700 WP_011206509.1
B5C39_RS00705 WP_011206510.1
B5C39_RS00710 WP_011206511.1
B5C39_RS00715 WP_011206512.1
B5C39_RS00720 WP_011206513.1
B5C39_RS00725 WP_011206514.1
B5C39_RS00730 WP_011206515.1
B5C39_RS00735 WP_011206516.1
B5C39_RS00740 WP_011206517.1
B5C39_RS00765 WP_011206518.1
B5C39_RS00770 WP_011206520.1
B5C39_RS00775 WP_011206521.1
B5C39_RS00780 WP_011206522.1
B5C39_RS00785 WP_011206523.1
B5C39_RS00790 WP_011206524.1
B5C39_RS00795 WP_011206525.1
B5C39_RS00800 WP_011206526.1
B5C39_RS00805 WP_011206527.1
B5C39_RS00810 WP_014580051.1
B5C39_RS00815 WP_011206529.1
B5C39_RS00820 WP_011205840.1
B5C39_RS00825 WP_011205841.1
B5C39_RS00830 WP_011205842.1
B5C39_RS00835 WP_011205843.1
B5C39_RS00840 WP_011205844.1
B5C39_RS00845 WP_044284766.1
B5C39_RS00850 WP_011205846.1
B5C39_RS00855 WP_011205847.1
B5C39_RS00860 WP_011205848.1
B5C39_RS00865 WP_011205849.1
B5C39_RS00870 WP_011205850.1
B5C39_RS00875 WP_011205851.1
B5C39_RS00880 WP_011283834.1
B5C39_RS00885 WP_011205853.1
B5C39_RS00890 WP_011205854.1
B5C39_RS03775 WP_011205855.1
B5C39_RS00900 WP_011205856.1
B5C39_RS00905 WP_232039500.1
B5C39_RS00910 WP_228366119.1
B5C39_RS00915 WP_011205860.1
B5C39_RS00920 WP_011205861.1
B5C39_RS00925 WP_011205862.1
B5C39_RS00930 WP_011205863.1
B5C39_RS00935 WP_011205864.1
B5C39_RS00940 WP_088172524.1
B5C39_RS00945 WP_011205866.1
B5C39_RS00950 WP_011205867.1
B5C39_RS00955 WP_232039502.1
B5C39_RS00960 WP_011205868.1
B5C39_RS00965 WP_011205869.1
B5C39_RS00970 WP_228365403.1
B5C39_RS00975 WP_011205871.1
B5C39_RS00980 WP_011205872.1
B5C39_RS00985 WP_011205873.1
B5C39_RS00990 WP_011205874.1
B5C39_RS00995 WP_011205875.1
B5C39_RS03780 WP_241499457.1
B5C39_RS01010 WP_011205877.1
B5C39_RS01015 WP_011205878.1
B5C39_RS01020 WP_228365405.1
B5C39_RS01025 WP_011205880.1
B5C39_RS01030 WP_011205881.1
B5C39_RS01035 WP_011205882.1
B5C39_RS01040 WP_011205883.1
B5C39_RS01045 WP_011205884.1
B5C39_RS01050 WP_011205885.1
B5C39_RS01055 WP_011205886.1
B5C39_RS01065 WP_011205888.1
B5C39_RS01070 WP_011205889.1
B5C39_RS01075 WP_011205890.1
B5C39_RS01080 WP_011205891.1
B5C39_RS01085 WP_011205892.1
B5C39_RS01090 WP_011205893.1
B5C39_RS01095 WP_011205894.1
B5C39_RS01100 WP_225973008.1
B5C39_RS01105 WP_011283871.1
B5C39_RS01110 WP_011205896.1
B5C39_RS01115 WP_011205897.1
B5C39_RS01120 WP_011205898.1
B5C39_RS01125 WP_011205899.1
B5C39_RS01130 WP_011205900.1
B5C39_RS01135 WP_232039509.1
B5C39_RS01140 WP_011205902.1
B5C39_RS01145 WP_011205903.1
B5C39_RS01150 WP_011205904.1
B5C39_RS01155 WP_011205905.1
B5C39_RS01165 WP_044284770.1
B5C39_RS01170 WP_011205908.1
B5C39_RS01175 WP_011205909.1
B5C39_RS01180 WP_044284771.1
B5C39_RS01185 WP_044284772.1
B5C39_RS01190 WP_011205912.1
B5C39_RS01195 WP_011205913.1
B5C39_RS01200 WP_041361533.1
B5C39_RS01205 WP_011205916.1
B5C39_RS01210 WP_011205917.1
B5C39_RS01215 WP_044284579.1
B5C39_RS01220 WP_011205920.1
B5C39_RS01225 WP_011205921.1
B5C39_RS01230 WP_011205922.1
B5C39_RS01235 WP_011205923.1
B5C39_RS01240 WP_011205924.1
B5C39_RS01245 WP_011205925.1
B5C39_RS01250 WP_044284773.1
B5C39_RS01255 WP_011206355.1
B5C39_RS01260 WP_088172525.1
B5C39_RS01265 WP_088172526.1
B5C39_RS01275 WP_011206358.1
B5C39_RS01280 WP_011206359.1
B5C39_RS01285 WP_011206360.1
B5C39_RS01290 WP_011206361.1
B5C39_RS01295 WP_088172527.1
B5C39_RS01300 WP_011206363.1
B5C39_RS03785 WP_011206364.1
B5C39_RS03790 WP_241499458.1
B5C39_RS01310 WP_228365397.1
B5C39_RS01315 WP_088172529.1
B5C39_RS01320 WP_088172529.1
B5C39_RS01325 WP_088172525.1
B5C39_RS01330 WP_011206355.1
B5C39_RS01335 WP_232039577.1
B5C39_RS03795 WP_011205929.1
B5C39_RS01340 WP_011205930.1
B5C39_RS01345 WP_011205931.1
B5C39_RS01350 WP_011205932.1
B5C39_RS01355 WP_011205933.1
B5C39_RS01360 WP_011205934.1
B5C39_RS01365 WP_011205935.1
B5C39_RS01370 WP_011205936.1
B5C39_RS01375 WP_011205937.1
B5C39_RS01380 WP_011205938.1
B5C39_RS01385 WP_011205939.1
B5C39_RS01390 WP_011205940.1
B5C39_RS01395 WP_011205941.1
B5C39_RS01400 WP_044284819.1
B5C39_RS01430 WP_011284046.1
B5C39_RS01435 WP_011205943.1
B5C39_RS01440 WP_011205944.1
B5C39_RS01445 WP_011205945.1
B5C39_RS01450 WP_011205946.1
B5C39_RS03800 WP_318023859.1
B5C39_RS01460 WP_011205948.1
B5C39_RS01465 WP_011205949.1
B5C39_RS01470 WP_011205950.1
B5C39_RS01475 WP_011205951.1
B5C39_RS01480 WP_011205952.1
B5C39_RS01485 WP_011205953.1
B5C39_RS01490 WP_011205954.1
B5C39_RS01495 WP_241499459.1
B5C39_RS01500 WP_011205956.1
B5C39_RS01505 WP_088172537.1
B5C39_RS01510 WP_011205958.1
B5C39_RS01515 WP_011205959.1
B5C39_RS01520 WP_011205960.1
B5C39_RS01525 WP_044284774.1
B5C39_RS01530 WP_011205962.1
B5C39_RS01535 WP_044284614.1
B5C39_RS01540 WP_011205964.1
B5C39_RS01545 WP_011205965.1
B5C39_RS01550 WP_011205966.1
B5C39_RS01555 WP_011205967.1
B5C39_RS01560 WP_044284775.1
B5C39_RS01565 WP_011205969.1
B5C39_RS01570 WP_011205970.1
B5C39_RS01575 WP_011205971.1
B5C39_RS01580 WP_011205972.1
B5C39_RS01585 WP_011205973.1
B5C39_RS01590 WP_044284820.1
B5C39_RS01595 WP_044284776.1
B5C39_RS01600 WP_011205976.1
B5C39_RS01605 WP_011205977.1
B5C39_RS03805 WP_014579710.1
B5C39_RS01615 WP_011205979.1
B5C39_RS01620 WP_232039579.1
B5C39_RS01625 WP_011205981.1
B5C39_RS01630 WP_011205982.1
B5C39_RS01635 WP_011205983.1
B5C39_RS03810 WP_011205984.1
B5C39_RS01645 WP_014579703.1
B5C39_RS01650 WP_011205986.1
B5C39_RS01655 WP_011205987.1
B5C39_RS01660 WP_011205988.1
B5C39_RS01665 WP_011205989.1
B5C39_RS01670 WP_044284777.1
B5C39_RS01675 WP_011205991.1
B5C39_RS01685 WP_011205992.1
B5C39_RS03645 WP_158209054.1
B5C39_RS01690 WP_088172530.1
B5C39_RS01695 WP_011283999.1
B5C39_RS01700 WP_011205996.1
B5C39_RS03815 WP_232039581.1
B5C39_RS03820 WP_232039583.1
B5C39_RS01720 WP_052259116.1
B5C39_RS01725 WP_011206001.1
B5C39_RS01730 WP_011206002.1
B5C39_RS01735 WP_011206003.1
B5C39_RS01740 WP_011206004.1
B5C39_RS01745 WP_011206005.1
B5C39_RS01750 WP_011206006.1
B5C39_RS01760 WP_011206007.1
B5C39_RS01765 WP_011206008.1
B5C39_RS01770 WP_011206009.1
B5C39_RS01775 WP_011206010.1
B5C39_RS01780 WP_044284822.1
B5C39_RS01785 WP_011206012.1
B5C39_RS01790 WP_011206013.1
B5C39_RS01795 WP_011206014.1
B5C39_RS01800 WP_011206015.1
B5C39_RS01805 WP_011206016.1
B5C39_RS01810 WP_011206017.1
B5C39_RS01815 WP_011206018.1
B5C39_RS01820 WP_088172531.1
B5C39_RS01825 WP_088172532.1
B5C39_RS01830 WP_011283978.1
B5C39_RS01835 WP_014579601.1
B5C39_RS01840 WP_011206024.1
B5C39_RS01845 WP_011206025.1
B5C39_RS01850 WP_011206026.1
B5C39_RS01855 WP_011206027.1
B5C39_RS01860 WP_011206028.1
B5C39_RS03945 WP_011206030.1
B5C39_RS01870 WP_011206031.1
B5C39_RS01875 WP_011206032.1
B5C39_RS01880 WP_011206033.1
B5C39_RS01885 WP_014579611.1
B5C39_RS01890 WP_011206035.1
B5C39_RS01895 WP_011206036.1
B5C39_RS01900 WP_011206037.1
B5C39_RS01905 WP_011206038.1
B5C39_RS01910 WP_011206039.1
B5C39_RS01915 WP_011206040.1
B5C39_RS01920 WP_011206041.1
B5C39_RS01925 WP_011206042.1
B5C39_RS01930 WP_011206043.1
B5C39_RS01935 WP_011206044.1
B5C39_RS01940 WP_011206045.1
B5C39_RS01945 WP_011206046.1
B5C39_RS01950 WP_011206047.1
B5C39_RS01955 WP_011283963.1
B5C39_RS01960 WP_011206048.1
B5C39_RS01965 WP_011206049.1
B5C39_RS01970 WP_011206050.1
B5C39_RS01975 WP_011206051.1
B5C39_RS01980 WP_011206052.1
B5C39_RS01985 WP_011206053.1
B5C39_RS01990 WP_011206054.1
B5C39_RS01995 WP_011206055.1
B5C39_RS02000 WP_011206056.1
B5C39_RS02005 WP_011206057.1
B5C39_RS02010 WP_011283955.1
B5C39_RS02015 WP_011206059.1
B5C39_RS02020 WP_011206060.1
B5C39_RS02025 WP_011206061.1
B5C39_RS02030 WP_011206062.1
B5C39_RS02035 WP_011206063.1
B5C39_RS02040 WP_011206064.1
B5C39_RS02045 WP_011206065.1
B5C39_RS02050 WP_011206066.1
B5C39_RS02055 WP_011206067.1
B5C39_RS02060 WP_011206068.1
B5C39_RS03690 WP_011206069.1
B5C39_RS02070 WP_011206070.1
B5C39_RS02075 WP_011206071.1
B5C39_RS02080 WP_088172533.1
B5C39_RS02085 WP_011206073.1
B5C39_RS02090 WP_052259123.1
B5C39_RS02100 WP_232039585.1
B5C39_RS02105 WP_011206076.1
B5C39_RS02110 WP_088172534.1
B5C39_RS02115 WP_011206078.1
B5C39_RS02120 WP_011206079.1
B5C39_RS02125 WP_011206080.1
B5C39_RS02130 WP_241499460.1
B5C39_RS02140 WP_044284824.1
B5C39_RS02145 WP_011206083.1
B5C39_RS02150 WP_011206084.1
B5C39_RS02160 WP_011206085.1
B5C39_RS02165 WP_011206086.1
B5C39_RS02170 WP_011206087.1
B5C39_RS02175 WP_044284780.1
B5C39_RS02180 WP_011206089.1
B5C39_RS02185 WP_011206090.1
B5C39_RS02190 WP_011206091.1
B5C39_RS02195 WP_011206092.1
B5C39_RS02200 WP_011206093.1
B5C39_RS02205 WP_011206094.1
B5C39_RS02210 WP_011206095.1
B5C39_RS02215 WP_011206096.1
B5C39_RS02220 WP_011206097.1
B5C39_RS02225 WP_088172535.1
B5C39_RS03900 WP_258556638.1
B5C39_RS02240 WP_011206101.1
B5C39_RS02245 WP_011206102.1
B5C39_RS02250 WP_011206103.1
B5C39_RS02255 WP_052259117.1
B5C39_RS02260 WP_232039591.1
B5C39_RS02275 WP_011206106.1
B5C39_RS02280 WP_011206107.1
B5C39_RS02285 WP_011206108.1
B5C39_RS02290 WP_011206109.1
B5C39_RS02295 WP_011206110.1
B5C39_RS02300 WP_088172536.1
B5C39_RS02310 WP_011206113.1
B5C39_RS02315 WP_011206114.1
B5C39_RS02320 WP_011206115.1
B5C39_RS02325 WP_011206116.1
B5C39_RS02330 WP_011206117.1
B5C39_RS02335 WP_011206118.1
B5C39_RS02340 WP_011206119.1
B5C39_RS02345 WP_011206120.1
B5C39_RS02355 WP_011206121.1
B5C39_RS02360 WP_011206122.1
B5C39_RS02365 WP_011206123.1
B5C39_RS02370 WP_011206124.1
B5C39_RS02375 WP_011206125.1
B5C39_RS02380 WP_044284784.1
B5C39_RS02385 WP_011206127.1
B5C39_RS02395 WP_044284785.1
B5C39_RS02400 WP_011206130.1
B5C39_RS02405 WP_011206131.1
B5C39_RS02455 WP_011206132.1
B5C39_RS02465 WP_011206134.1
B5C39_RS02470 WP_011206135.1
B5C39_RS02475 WP_011206136.1
B5C39_RS02480 WP_011206137.1
B5C39_RS03935 WP_206600680.1
B5C39_RS02485 WP_202943179.1
B5C39_RS03650 WP_158209055.1
B5C39_RS03825 WP_011206236.1
B5C39_RS02495 WP_011206238.1
B5C39_RS02500 WP_011206239.1
B5C39_RS02505 WP_011206240.1
B5C39_RS02510 WP_011206241.1
B5C39_RS02515 WP_011206242.1
B5C39_RS02520 WP_011206243.1
B5C39_RS02525 WP_044284796.1
B5C39_RS02530 WP_011206245.1
B5C39_RS02535 WP_011284169.1
B5C39_RS02540 WP_011206247.1
B5C39_RS02545 WP_044284797.1
B5C39_RS02550 WP_011206250.1
B5C39_RS02555 WP_011206251.1
B5C39_RS02560 WP_232039535.1
B5C39_RS02565 WP_011206253.1
B5C39_RS02570 WP_011206255.1
B5C39_RS02575 WP_011206256.1
B5C39_RS02580 WP_011206257.1
B5C39_RS02585 WP_011206258.1
B5C39_RS03740 WP_241499462.1
B5C39_RS03830 WP_011206260.1
B5C39_RS02595 WP_129640575.1
B5C39_RS03835 WP_088172539.1
B5C39_RS02605 WP_011206263.1
B5C39_RS02610 WP_011206264.1
B5C39_RS02615 WP_011206265.1
B5C39_RS02625 WP_011206266.1
B5C39_RS02630 WP_011284186.1
B5C39_RS02635 WP_011206268.1
B5C39_RS02640 WP_011206269.1
B5C39_RS02645 WP_088172540.1
B5C39_RS02650 WP_011206271.1
B5C39_RS02655 WP_232039539.1
B5C39_RS02660 WP_011206273.1
B5C39_RS02665 WP_044284798.1
B5C39_RS02670 WP_088172542.1
B5C39_RS02675 WP_011206277.1
B5C39_RS02680 WP_232039541.1
B5C39_RS02685 WP_011206279.1
B5C39_RS02690 WP_088172544.1
B5C39_RS02695 WP_088172546.1
B5C39_RS02700 WP_011206282.1
B5C39_RS02705 WP_011206283.1
B5C39_RS02715 WP_011206284.1
B5C39_RS02720 WP_081430781.1
B5C39_RS02725 WP_011206286.1
B5C39_RS02730 WP_011206287.1
B5C39_RS02735 WP_044284799.1
B5C39_RS03950 WP_011206289.1
B5C39_RS02745 WP_011206290.1
B5C39_RS02750 WP_011206291.1
B5C39_RS02755 WP_011206292.1
B5C39_RS02760 WP_011206293.1
B5C39_RS03840 WP_088172547.1
B5C39_RS03845 WP_232039545.1
B5C39_RS03850 WP_241499463.1
B5C39_RS02790 WP_011206296.1
B5C39_RS02795 WP_011206297.1
B5C39_RS02800 WP_011206298.1
B5C39_RS02805 WP_011206299.1
B5C39_RS02810 WP_011206300.1
B5C39_RS02815 WP_011206301.1
B5C39_RS02820 WP_011206302.1
B5C39_RS02825 WP_011206303.1
B5C39_RS02830 WP_011206304.1
B5C39_RS02835 WP_011206305.1
B5C39_RS02840 WP_011206306.1
B5C39_RS02845 WP_011206307.1
B5C39_RS02850 WP_011206308.1
B5C39_RS02855 WP_011206309.1
B5C39_RS02860 WP_011206310.1
B5C39_RS02865 WP_011206311.1
B5C39_RS02870 WP_011206312.1
B5C39_RS02875 WP_011206313.1
B5C39_RS03700 WP_011206314.1
B5C39_RS02885 WP_011206315.1
B5C39_RS02890 WP_011206316.1
B5C39_RS02895 WP_011206317.1
B5C39_RS02900 WP_011206318.1
B5C39_RS02905 WP_011206319.1
B5C39_RS02910 WP_011206320.1
B5C39_RS02915 WP_011206321.1
B5C39_RS02920 WP_011206322.1
B5C39_RS02925 WP_011206323.1
B5C39_RS02930 WP_011206324.1
B5C39_RS02935 WP_011290300.1
B5C39_RS02940 WP_011206326.1
B5C39_RS02945 WP_088172548.1
B5C39_RS02950 WP_011206328.1
B5C39_RS02955 WP_011206329.1
B5C39_RS02960 WP_011206330.1
B5C39_RS02965 WP_011206331.1
B5C39_RS03905 WP_011206332.1
B5C39_RS02975 WP_011206333.1
B5C39_RS02980 WP_011206334.1
B5C39_RS02985 WP_011206335.1
B5C39_RS02990 WP_011206336.1
B5C39_RS02995 WP_011206337.1
B5C39_RS03000 WP_011206338.1
B5C39_RS03005 WP_011206339.1
B5C39_RS03010 WP_011206340.1
B5C39_RS03015 WP_011206341.1
B5C39_RS03020 WP_011206342.1
B5C39_RS03865 WP_232039548.1
B5C39_RS03030 WP_044284839.1
B5C39_RS03035 WP_011206345.1
B5C39_RS03040 WP_011206346.1
B5C39_RS03045 WP_011206347.1
B5C39_RS03050 WP_011206348.1
B5C39_RS03055 WP_011206349.1
B5C39_RS03060 WP_011206350.1
B5C39_RS03870 WP_011206351.1
B5C39_RS03070 WP_228365393.1
B5C39_RS03910 WP_269076338.1
B5C39_RS03075 WP_011206354.1
B5C39_RS03080 WP_011206354.1
B5C39_RS03085 WP_011206371.1
B5C39_RS03090 WP_241499464.1
B5C39_RS03095 WP_011206139.1
B5C39_RS03745 WP_044284786.1
B5C39_RS03105 WP_011206140.1
B5C39_RS03110 WP_011206141.1
B5C39_RS03115 WP_011206142.1
B5C39_RS03120 WP_011206143.1
B5C39_RS03130 WP_011206145.1
B5C39_RS03875 WP_241499465.1
B5C39_RS03880 WP_232039517.1
B5C39_RS03140 WP_011206147.1
B5C39_RS03145 WP_011206148.1
B5C39_RS03915 WP_277620667.1
B5C39_RS03150 WP_088172553.1
B5C39_RS03155 WP_173670105.1
B5C39_RS03160 WP_011206153.1
B5C39_RS03165 WP_011206153.1
B5C39_RS03170 WP_011206154.1
B5C39_RS03175 WP_011206155.1
B5C39_RS03180 WP_238374144.1
B5C39_RS03955 WP_088172558.1
B5C39_RS03190 WP_088172554.1
B5C39_RS03195 WP_011206158.1
B5C39_RS03200 WP_011206159.1
B5C39_RS03205 WP_011206160.1
B5C39_RS03210 WP_011206161.1
B5C39_RS03215 WP_011206162.1
B5C39_RS03220 WP_011206163.1
B5C39_RS03225 WP_011206164.1
B5C39_RS03750 WP_088172555.1
B5C39_RS03235 WP_323749055.1
B5C39_RS03240 WP_011206167.1
B5C39_RS03245 WP_011206168.1
B5C39_RS03250 WP_011206169.1
B5C39_RS03255 WP_011206170.1
B5C39_RS03890 WP_232039520.1
B5C39_RS03265 WP_088172556.1
B5C39_RS03270 WP_044284791.1
B5C39_RS03275 WP_011206173.1
B5C39_RS03280 WP_011206174.1
B5C39_RS03285 WP_011206175.1
B5C39_RS03290 WP_011206176.1
B5C39_RS03295 WP_011206177.1
B5C39_RS03300 WP_011206178.1
B5C39_RS03305 WP_011206179.1
B5C39_RS03310 WP_011206180.1
B5C39_RS03315 WP_014579787.1
B5C39_RS03320 WP_011206182.1
B5C39_RS03325 WP_011206183.1
B5C39_RS03330 WP_011206184.1
B5C39_RS03335 WP_011206185.1
B5C39_RS03895 WP_232039525.1
B5C39_RS03345 WP_187145846.1
B5C39_RS03660 WP_158209056.1
B5C39_RS03350 WP_011206187.1
B5C39_RS03355 WP_238374145.1
B5C39_RS03360 WP_011206189.1
B5C39_RS03365 WP_011206190.1
B5C39_RS03670 WP_158209057.1
B5C39_RS03705 WP_173670106.1
B5C39_RS03710 WP_011206191.1
B5C39_RS03715 WP_173670107.1
B5C39_RS03925 WP_258555395.1
B5C39_RS03720 WP_165255037.1
B5C39_RS03410 WP_011206194.1
B5C39_RS03420 WP_011206195.1
B5C39_RS03425 WP_011206196.1
B5C39_RS03430 WP_011206197.1
B5C39_RS03435 WP_011206198.1
B5C39_RS03440 WP_011206199.1
B5C39_RS03445 WP_011206200.1
B5C39_RS03450 WP_088172557.1
B5C39_RS03455 WP_011206202.1
B5C39_RS03460 WP_011206203.1
B5C39_RS03465 WP_011206204.1
B5C39_RS03470 WP_011206205.1
B5C39_RS03475 WP_011206206.1
B5C39_RS03480 WP_011206207.1
B5C39_RS03485 WP_044284793.1
B5C39_RS03490 WP_011206209.1
B5C39_RS03495 WP_232039529.1
B5C39_RS03500 WP_011206211.1
B5C39_RS03505 WP_011206212.1
B5C39_RS03510 WP_220200502.1
B5C39_RS03515 WP_011206214.1
B5C39_RS03520 WP_011206215.1
B5C39_RS03525 WP_011206216.1
B5C39_RS03530 WP_011206217.1
B5C39_RS03725 WP_011206218.1
B5C39_RS03535 WP_011206219.1
B5C39_RS03540 WP_011206219.1
B5C39_RS03545 WP_011206221.1
B5C39_RS03550 WP_011206222.1
B5C39_RS03555 WP_011206223.1
B5C39_RS03560 WP_011206224.1
B5C39_RS03565 WP_011206225.1
B5C39_RS03570 WP_044284794.1
B5C39_RS03575 WP_011206227.1
B5C39_RS03580 WP_011206228.1
B5C39_RS03585 WP_011206229.1
B5C39_RS03590 WP_011206230.1
B5C39_RS03595 WP_011206231.1
B5C39_RS03600 WP_011206232.1
B5C39_RS03615 WP_011206232.1
B5C39_RS03675 WP_158209059.1
B5C39_RS03620 WP_088172559.1
