NB626_RS00005 WP_044272251.1
NB626_RS00345 WP_135618519.1
NB626_RS00350 WP_135618519.1
NB626_RS00355 WP_404924369.1
NB626_RS00360 WP_404924503.1
NB626_RS00365 WP_011283885.1
NB626_RS00370 WP_404924370.1
NB626_RS00375 WP_041361533.1
NB626_RS00380 WP_404924371.1
NB626_RS00385 WP_014579573.1
NB626_RS00390 WP_404924372.1
NB626_RS00395 WP_011205921.1
NB626_RS00400 WP_011205922.1
NB626_RS00405 WP_011205923.1
NB626_RS00410 WP_135618529.1
NB626_RS00415 WP_011205925.1
NB626_RS00420 WP_146379477.1
NB626_RS00425 WP_404924373.1
NB626_RS00430 WP_404924374.1
NB626_RS00435 WP_088172525.1
NB626_RS00440 WP_404924375.1
NB626_RS00445 WP_011206358.1
NB626_RS00450 WP_404924376.1
NB626_RS00455 WP_404924377.1
NB626_RS00460 WP_404924378.1
NB626_RS00465 WP_135618745.1
NB626_RS00470 WP_160584945.1
NB626_RS00475 WP_160584947.1
NB626_RS00480 WP_404924379.1
NB626_RS00485 WP_404924380.1
NB626_RS00490 WP_404924382.1
NB626_RS00495 WP_160584953.1
NB626_RS00500 WP_404924383.1
NB626_RS00505 WP_044889050.1
NB626_RS00510 WP_044889050.1
NB626_RS00515 WP_404924384.1
NB626_RS00520 WP_404924385.1
NB626_RS00525 WP_404924386.1
NB626_RS00530 WP_011206135.1
NB626_RS00535 WP_011206134.1
NB626_RS00540 WP_135618533.1
NB626_RS00590 WP_011206131.1
NB626_RS00595 WP_404924387.1
NB626_RS00600 WP_404924388.1
NB626_RS00605 WP_404924389.1
NB626_RS00610 WP_404924390.1
NB626_RS00615 WP_404924391.1
NB626_RS00620 WP_044272311.1
NB626_RS00625 WP_044272311.1
NB626_RS00630 WP_094521764.1
NB626_RS00635 WP_308507044.1
NB626_RS00640 WP_011290004.1
NB626_RS00650 WP_160585148.1
NB626_RS00655 WP_011206119.1
NB626_RS00660 WP_146379484.1
NB626_RS00665 WP_404924392.1
NB626_RS00670 WP_404924393.1
NB626_RS00675 WP_404924394.1
NB626_RS00680 WP_404924395.1
NB626_RS00685 WP_404924396.1
NB626_RS00695 WP_404924397.1
NB626_RS00700 WP_404924398.1
NB626_RS00705 WP_404924399.1
NB626_RS00710 WP_404924400.1
NB626_RS00715 WP_020835565.1
NB626_RS00720 WP_404924401.1
NB626_RS00735 WP_404924402.1
NB626_RS00740 WP_404924403.1
NB626_RS00745 WP_011206103.1
NB626_RS00750 WP_011290017.1
NB626_RS00755 WP_011206101.1
NB626_RS00765 WP_404924404.1
NB626_RS00770 WP_011290019.1
NB626_RS00775 WP_269076320.1
NB626_RS00780 WP_011290021.1
NB626_RS00785 WP_044272325.1
NB626_RS00790 WP_011290023.1
NB626_RS00795 WP_094521583.1
NB626_RS00800 WP_011206094.1
NB626_RS00805 WP_011206094.1
NB626_RS00810 WP_404912207.1
NB626_RS00815 WP_020835572.1
NB626_RS00820 WP_020835573.1
NB626_RS00825 WP_404924405.1
NB626_RS00830 WP_404924405.1
NB626_RS00835 WP_011290029.1
NB626_RS00840 WP_011283930.1
NB626_RS00845 WP_011206086.1
NB626_RS00850 WP_020835574.1
NB626_RS00860 WP_160588272.1
NB626_RS00865 WP_404924406.1
NB626_RS00870 WP_404924407.1
NB626_RS00880 WP_404924408.1
NB626_RS00885 WP_404924409.1
NB626_RS00890 WP_404924410.1
NB626_RS00895 WP_011290034.1
NB626_RS00900 WP_020835579.1
NB626_RS00905 WP_020835580.1
NB626_RS00910 WP_404924411.1
NB626_RS00915 WP_160584807.1
NB626_RS00920 WP_404924412.1
NB626_RS00925 WP_404924413.1
NB626_RS00935 WP_044272343.1
NB626_RS00940 WP_011290039.1
NB626_RS00945 WP_011206072.1
NB626_RS00950 WP_011206071.1
NB626_RS00955 WP_404924414.1
NB626_RS00960 WP_011206069.1
NB626_RS00965 WP_404924415.1
NB626_RS00970 WP_135618587.1
NB626_RS00975 WP_011290044.1
NB626_RS00980 WP_011283949.1
NB626_RS00985 WP_011206064.1
NB626_RS00990 WP_011206063.1
NB626_RS00995 WP_011290046.1
NB626_RS01000 WP_011206061.1
NB626_RS01005 WP_041361583.1
NB626_RS01010 WP_135618593.1
NB626_RS01015 WP_404924485.1
NB626_RS01020 WP_404924416.1
NB626_RS01025 WP_404924417.1
NB626_RS01030 WP_225973017.1
NB626_RS01035 WP_225973017.1
NB626_RS01040 WP_011206054.1
NB626_RS01045 WP_044272348.1
NB626_RS01050 WP_404924418.1
NB626_RS01055 WP_146379519.1
NB626_RS01060 WP_011290054.1
NB626_RS01065 WP_011290054.1
NB626_RS01070 WP_011206048.1
NB626_RS01075 WP_011283963.1
NB626_RS01080 WP_011206047.1
NB626_RS01085 WP_011290055.1
NB626_RS01090 WP_014579616.1
NB626_RS01095 WP_404924419.1
NB626_RS01100 WP_020835590.1
NB626_RS01105 WP_011290058.1
NB626_RS01110 WP_011206041.1
NB626_RS01115 WP_020835592.1
NB626_RS01120 WP_011206039.1
NB626_RS01125 WP_011206038.1
NB626_RS01130 WP_404924420.1
NB626_RS01135 WP_011206036.1
NB626_RS01140 WP_011206035.1
NB626_RS01145 WP_014579611.1
NB626_RS01150 WP_020835596.1
NB626_RS01155 WP_011206032.1
NB626_RS01160 WP_011290064.1
NB626_RS01165 WP_404924421.1
NB626_RS01170 WP_011206028.1
NB626_RS01175 WP_011206027.1
NB626_RS01180 WP_011206027.1
NB626_RS01185 WP_011206025.1
NB626_RS01190 WP_146379524.1
NB626_RS01195 WP_014579601.1
NB626_RS01200 WP_220190741.1
NB626_RS01205 WP_404924422.1
NB626_RS01210 WP_404924423.1
NB626_RS01215 WP_233688672.1
NB626_RS01220 WP_404924424.1
NB626_RS01225 WP_011206016.1
NB626_RS01230 WP_011290073.1
NB626_RS01235 WP_160606761.1
NB626_RS01240 WP_160606763.1
NB626_RS01245 WP_160606763.1
NB626_RS01250 WP_404924425.1
NB626_RS01255 WP_011290077.1
NB626_RS01260 WP_011290078.1
NB626_RS01265 WP_011283989.1
NB626_RS01270 WP_404924426.1
NB626_RS01275 WP_011206006.1
NB626_RS01280 WP_011206005.1
NB626_RS01285 WP_020835615.1
NB626_RS01290 WP_020835616.1
NB626_RS01295 WP_404924427.1
NB626_RS01300 WP_404924428.1
NB626_RS01305 WP_228366127.1
NB626_RS01310 WP_404924429.1
NB626_RS01315 WP_404924430.1
NB626_RS01320 WP_094521610.1
NB626_RS01325 WP_404924431.1
NB626_RS01330 WP_160587988.1
NB626_RS01335 WP_160587990.1
NB626_RS01340 WP_146379542.1
NB626_RS01345 WP_146379542.1
NB626_RS01350 WP_404924432.1
NB626_RS01355 WP_404924433.1
NB626_RS01360 WP_011290093.1
NB626_RS01365 WP_011205986.1
NB626_RS01370 WP_308507042.1
NB626_RS01375 WP_404924434.1
NB626_RS01380 WP_146379545.1
NB626_RS01385 WP_160585558.1
NB626_RS01390 WP_404924435.1
NB626_RS01395 WP_232039579.1
NB626_RS01400 WP_187145661.1
NB626_RS01405 WP_041361605.1
NB626_RS01410 WP_041361605.1
NB626_RS01415 WP_404924436.1
NB626_RS01420 WP_160590503.1
NB626_RS01425 WP_014579714.1
NB626_RS01430 WP_146379551.1
NB626_RS01435 WP_404924437.1
NB626_RS01440 WP_160585680.1
NB626_RS01445 WP_404924439.1
NB626_RS01450 WP_011205969.1
NB626_RS01455 WP_011290108.1
NB626_RS01460 WP_135618686.1
NB626_RS01465 WP_160588241.1
NB626_RS01470 WP_011205965.1
NB626_RS01475 WP_011284027.1
NB626_RS01480 WP_020835640.1
NB626_RS01485 WP_011205962.1
NB626_RS01490 WP_404924440.1
NB626_RS01495 WP_404924441.1
NB626_RS01500 WP_020835642.1
NB626_RS01505 WP_011284032.1
NB626_RS01510 WP_020835643.1
NB626_RS01515 WP_404924442.1
NB626_RS01520 WP_404924442.1
NB626_RS01525 WP_011205955.1
NB626_RS01530 WP_011205954.1
NB626_RS01535 WP_011290118.1
NB626_RS01540 WP_011205952.1
NB626_RS01545 WP_146379559.1
NB626_RS01550 WP_160585089.1
NB626_RS01555 WP_404924443.1
NB626_RS01560 WP_404924444.1
NB626_RS01565 WP_233417364.1
NB626_RS01570 WP_404924445.1
NB626_RS01575 WP_404924446.1
NB626_RS01580 WP_014579732.1
NB626_RS01585 WP_404924447.1
NB626_RS01590 WP_011284046.1
NB626_RS01620 WP_160588225.1
NB626_RS01625 WP_014579735.1
NB626_RS01630 WP_160588227.1
NB626_RS01635 WP_011205939.1
NB626_RS01640 WP_146379568.1
NB626_RS01645 WP_020835656.1
NB626_RS01650 WP_011290131.1
NB626_RS01655 WP_404924448.1
NB626_RS01660 WP_011284055.1
NB626_RS01665 WP_404924449.1
NB626_RS01670 WP_011205932.1
NB626_RS01675 WP_011205931.1
NB626_RS01680 WP_225973030.1
NB626_RS01685 WP_225973031.1
NB626_RS01690 WP_135618726.1
NB626_RS01695 WP_404924486.1
NB626_RS01700 WP_404924486.1
NB626_RS01705 WP_011206141.1
NB626_RS01710 WP_404924450.1
NB626_RS01715 WP_348572081.1
NB626_RS01720 WP_404924451.1
NB626_RS01725 WP_404924452.1
NB626_RS01730 WP_404924453.1
NB626_RS01735 WP_404924454.1
NB626_RS01740 WP_135618763.1
NB626_RS01745 WP_404924455.1
NB626_RS01750 WP_404924456.1
NB626_RS01755 WP_404924457.1
NB626_RS01760 WP_011290145.1
NB626_RS01765 WP_011290145.1
NB626_RS01770 WP_371863322.1
NB626_RS01775 WP_404924458.1
NB626_RS01780 WP_404924459.1
NB626_RS01785 WP_404924460.1
NB626_RS01790 WP_225973034.1
NB626_RS01795 WP_404924461.1
NB626_RS01800 WP_404924462.1
NB626_RS01805 WP_160606777.1
NB626_RS01810 WP_404924463.1
NB626_RS01815 WP_011206161.1
NB626_RS01820 WP_404924487.1
NB626_RS01825 WP_404924464.1
NB626_RS01830 WP_146379581.1
NB626_RS01835 WP_404924465.1
NB626_RS01840 WP_404924488.1
NB626_RS01845 WP_404924466.1
NB626_RS01850 WP_404924489.1
NB626_RS01855 WP_404924467.1
NB626_RS01860 WP_014579752.1
NB626_RS01865 WP_404924468.1
NB626_RS01870 WP_011206170.1
NB626_RS01875 WP_225973036.1
NB626_RS01880 WP_011290161.1
NB626_RS01885 WP_404924469.1
NB626_RS01890 WP_404924470.1
NB626_RS01895 WP_404924471.1
NB626_RS01900 WP_404924472.1
NB626_RS01905 WP_404924473.1
NB626_RS01910 WP_146379623.1
NB626_RS01915 WP_404911819.1
NB626_RS01920 WP_160587877.1
NB626_RS01925 WP_160587877.1
NB626_RS01930 WP_011284100.1
NB626_RS01935 WP_146379618.1
NB626_RS01940 WP_404924474.1
NB626_RS01945 WP_404924475.1
NB626_RS01950 WP_404924476.1
NB626_RS01955 WP_011290177.1
NB626_RS01960 WP_404924477.1
NB626_RS01965 WP_052259119.1
NB626_RS01970 WP_404924478.1
NB626_RS01975 WP_404924479.1
NB626_RS01980 WP_404924480.1
NB626_RS01985 WP_135618818.1
NB626_RS01990 WP_404924504.1
NB626_RS02000 WP_011290181.1
NB626_RS02005 WP_143826160.1
NB626_RS02010 WP_258555257.1
NB626_RS02015 WP_044272453.1
NB626_RS02020 WP_225972966.1
NB626_RS02025 WP_258555396.1
NB626_RS02040 WP_011206194.1
NB626_RS02045 WP_014579804.1
NB626_RS02050 WP_011206196.1
NB626_RS02055 WP_146379611.1
NB626_RS02060 WP_146379611.1
NB626_RS02065 WP_404924481.1
NB626_RS02070 WP_011206200.1
NB626_RS02075 WP_011206200.1
NB626_RS02080 WP_404924482.1
NB626_RS02085 WP_404924483.1
NB626_RS02090 WP_160590029.1
NB626_RS02095 WP_404924484.1
NB626_RS02100 WP_348571612.1
NB626_RS02105 WP_011206207.1
NB626_RS02110 WP_404924203.1
NB626_RS02115 WP_011290197.1
NB626_RS02120 WP_308507057.1
NB626_RS02125 WP_404924204.1
NB626_RS02130 WP_404924205.1
NB626_RS02135 WP_404924206.1
NB626_RS02140 WP_404924490.1
NB626_RS02145 WP_404924490.1
NB626_RS02150 WP_404924490.1
NB626_RS02155 WP_014579823.1
NB626_RS02160 WP_014579824.1
NB626_RS02165 WP_011206218.1
NB626_RS02170 WP_404924207.1
NB626_RS02175 WP_404924207.1
NB626_RS02180 WP_020835728.1
NB626_RS02185 WP_011284142.1
NB626_RS02190 WP_404924208.1
NB626_RS02195 WP_146379594.1
NB626_RS02200 WP_404924209.1
NB626_RS02205 WP_404924210.1
NB626_RS02210 WP_404924211.1
NB626_RS02215 WP_020835732.1
NB626_RS02220 WP_020835733.1
NB626_RS02225 WP_135618864.1
NB626_RS02230 WP_011206231.1
NB626_RS02235 WP_011284150.1
NB626_RS02250 WP_404924212.1
NB626_RS02255 WP_404924491.1
NB626_RS02260 WP_160612820.1
NB626_RS02265 WP_404924492.1
NB626_RS02270 WP_215742022.1
NB626_RS02275 WP_404924493.1
NB626_RS02280 WP_404924213.1
NB626_RS02285 WP_002557988.1
NB626_RS02290 WP_002557988.1
NB626_RS02295 WP_404924214.1
NB626_RS02300 WP_404924215.1
NB626_RS02305 WP_404924216.1
NB626_RS02310 WP_404924217.1
NB626_RS02315 WP_404924218.1
NB626_RS02320 WP_404924219.1
NB626_RS02325 WP_404923944.1
NB626_RS02330 WP_160576975.1
NB626_RS02335 WP_404924220.1
NB626_RS02340 WP_404923946.1
NB626_RS02345 WP_404924221.1
NB626_RS02350 WP_404924494.1
NB626_RS02355 WP_404924222.1
NB626_RS02360 WP_225972974.1
NB626_RS02365 WP_146379626.1
NB626_RS02370 WP_404924223.1
NB626_RS02375 WP_011206239.1
NB626_RS02380 WP_146379628.1
NB626_RS02385 WP_135618880.1
NB626_RS02390 WP_146379630.1
NB626_RS02395 WP_146379630.1
NB626_RS02400 WP_146379631.1
NB626_RS02405 WP_225972975.1
NB626_RS02410 WP_011284169.1
NB626_RS02415 WP_011206247.1
NB626_RS02420 WP_404924224.1
NB626_RS02425 WP_011290222.1
NB626_RS02430 WP_020835755.1
NB626_RS02435 WP_348571647.1
NB626_RS02440 WP_404924225.1
NB626_RS02445 WP_404924226.1
NB626_RS02450 WP_011290226.1
NB626_RS02455 WP_011206256.1
NB626_RS02460 WP_160607686.1
NB626_RS02465 WP_011290228.1
NB626_RS02470 WP_404924227.1
NB626_RS02475 WP_148174330.1
NB626_RS02480 WP_404924228.1
NB626_RS02485 WP_404924229.1
NB626_RS02490 WP_011290245.1
NB626_RS02495 WP_404924230.1
NB626_RS02500 WP_404923958.1
NB626_RS02505 WP_011284186.1
NB626_RS02510 WP_404924231.1
NB626_RS02515 WP_404924232.1
NB626_RS02520 WP_404924233.1
NB626_RS02525 WP_404924234.1
NB626_RS02530 WP_404924235.1
NB626_RS02535 WP_404924236.1
NB626_RS02540 WP_404924237.1
NB626_RS02545 WP_404924238.1
NB626_RS02550 WP_404924239.1
NB626_RS02555 WP_404924240.1
NB626_RS02560 WP_404924240.1
NB626_RS02565 WP_225972984.1
NB626_RS02570 WP_404924241.1
NB626_RS02575 WP_404924242.1
NB626_RS02580 WP_404924242.1
NB626_RS02585 WP_404924243.1
NB626_RS02590 WP_404924244.1
NB626_RS02595 WP_404924245.1
NB626_RS02600 WP_146379652.1
NB626_RS02605 WP_020835781.1
NB626_RS02615 WP_404924246.1
NB626_RS02620 WP_135619210.1
NB626_RS02625 WP_404924247.1
NB626_RS02630 WP_011206287.1
NB626_RS02635 WP_179221158.1
NB626_RS02640 WP_011206289.1
NB626_RS02645 WP_041361671.1
NB626_RS02650 WP_404924248.1
NB626_RS02655 WP_011206292.1
NB626_RS02660 WP_011206293.1
NB626_RS02675 WP_404924249.1
NB626_RS02680 WP_404924250.1
NB626_RS02685 WP_280996645.1
NB626_RS02690 WP_404924495.1
NB626_RS02695 WP_020835790.1
NB626_RS02700 WP_011206297.1
NB626_RS02705 WP_011206298.1
NB626_RS02710 WP_011206299.1
NB626_RS02715 WP_404924251.1
NB626_RS02720 WP_404924252.1
NB626_RS02725 WP_094521719.1
NB626_RS02730 WP_404924253.1
NB626_RS02735 WP_404924254.1
NB626_RS02740 WP_020835797.1
NB626_RS02745 WP_146379664.1
NB626_RS02750 WP_404924255.1
NB626_RS02755 WP_404924256.1
NB626_RS02760 WP_011206309.1
NB626_RS02765 WP_011206310.1
NB626_RS02770 WP_011206311.1
NB626_RS02775 WP_404924496.1
NB626_RS02780 WP_404924257.1
NB626_RS02785 WP_011206313.1
NB626_RS02790 WP_192894279.1
NB626_RS02795 WP_404924258.1
NB626_RS02800 WP_404924259.1
NB626_RS02805 WP_135618962.1
NB626_RS02810 WP_404924260.1
NB626_RS02815 WP_404924261.1
NB626_RS02820 WP_011206320.1
NB626_RS02825 WP_404924262.1
NB626_RS02830 WP_011290297.1
NB626_RS02835 WP_404924263.1
NB626_RS02840 WP_011290300.1
NB626_RS02845 WP_404924264.1
NB626_RS02850 WP_404911934.1
NB626_RS02855 WP_404924265.1
NB626_RS02860 WP_404924266.1
NB626_RS02865 WP_160585659.1
NB626_RS02870 WP_404924267.1
NB626_RS02875 WP_044272557.1
NB626_RS02880 WP_404924268.1
NB626_RS02885 WP_020835817.1
NB626_RS02890 WP_011206334.1
NB626_RS02895 WP_011206335.1
NB626_RS02900 WP_404924269.1
NB626_RS02905 WP_020835820.1
NB626_RS02910 WP_404924270.1
NB626_RS02915 WP_011284253.1
NB626_RS02920 WP_011290314.1
NB626_RS02925 WP_179696078.1
NB626_RS02930 WP_404924272.1
NB626_RS02935 WP_404924273.1
NB626_RS02940 WP_404924274.1
NB626_RS02945 WP_160587842.1
NB626_RS02950 WP_404924275.1
NB626_RS02955 WP_233688497.1
NB626_RS02960 WP_404924276.1
NB626_RS02965 WP_404924277.1
NB626_RS02970 WP_160585684.1
NB626_RS02975 WP_041361798.1
NB626_RS02980 WP_404924278.1
NB626_RS02985 WP_258555242.1
NB626_RS02990 WP_146379686.1
NB626_RS02995 WP_404924279.1
NB626_RS03000 WP_011206373.1
NB626_RS03005 WP_014579936.1
NB626_RS03010 WP_011206375.1
NB626_RS03015 WP_135619006.1
NB626_RS03020 WP_135619006.1
NB626_RS03025 WP_135619006.1
NB626_RS03030 WP_011290331.1
NB626_RS03035 WP_020835837.1
NB626_RS03040 WP_041361684.1
NB626_RS03045 WP_404924280.1
NB626_RS03050 WP_404924281.1
NB626_RS03055 WP_011206384.1
NB626_RS03060 WP_011206385.1
NB626_RS03065 WP_404924282.1
NB626_RS03070 WP_225972996.1
NB626_RS03075 WP_404924283.1
NB626_RS03080 WP_404924284.1
NB626_RS03085 WP_011290340.1
NB626_RS03090 WP_011206391.1
NB626_RS03095 WP_011206391.1
NB626_RS03100 WP_308507032.1
NB626_RS03105 WP_404924285.1
NB626_RS03110 WP_011284289.1
NB626_RS03115 WP_146379698.1
NB626_RS03120 WP_404924286.1
NB626_RS03125 WP_011290347.1
NB626_RS03130 WP_020835851.1
NB626_RS03135 WP_020835852.1
NB626_RS03140 WP_135619036.1
NB626_RS03145 WP_020835854.1
NB626_RS03150 WP_011290352.1
NB626_RS03155 WP_146379704.1
NB626_RS03160 WP_041361690.1
NB626_RS03165 WP_404924287.1
NB626_RS03170 WP_404924288.1
NB626_RS03175 WP_404924289.1
NB626_RS03180 WP_404924290.1
NB626_RS03185 WP_404924291.1
NB626_RS03190 WP_404924292.1
NB626_RS03195 WP_404924293.1
NB626_RS03200 WP_404924497.1
NB626_RS03205 WP_404924294.1
NB626_RS03210 WP_404924498.1
NB626_RS03215 WP_404924295.1
NB626_RS03220 WP_404924499.1
NB626_RS03225 WP_404924296.1
NB626_RS03230 WP_002557698.1
NB626_RS03235 WP_020835860.1
NB626_RS03240 WP_243216310.1
NB626_RS03245 WP_020835862.1
NB626_RS03250 WP_404924297.1
NB626_RS03255 WP_404924298.1
NB626_RS03260 WP_011206424.1
NB626_RS03265 WP_011206425.1
NB626_RS03270 WP_160600929.1
NB626_RS03275 WP_228366113.1
NB626_RS03280 WP_404924299.1
NB626_RS03285 WP_404912006.1
NB626_RS03290 WP_404924300.1
NB626_RS03295 WP_404924301.1
NB626_RS03300 WP_011290372.1
NB626_RS03305 WP_404924302.1
NB626_RS03310 WP_011206433.1
NB626_RS03315 WP_404924303.1
NB626_RS03320 WP_011206435.1
NB626_RS03325 WP_404924022.1
NB626_RS03330 WP_404913668.1
NB626_RS03335 WP_404924304.1
NB626_RS03340 WP_041361696.1
NB626_RS03345 WP_160585271.1
NB626_RS03350 WP_160585273.1
NB626_RS03355 WP_160585275.1
NB626_RS03360 WP_146379727.1
NB626_RS03365 WP_020835880.1
NB626_RS03370 WP_081642895.1
NB626_RS03375 WP_160585278.1
NB626_RS03380 WP_160588066.1
NB626_RS03385 WP_160588068.1
NB626_RS03390 WP_404924305.1
NB626_RS03395 WP_404924306.1
NB626_RS03400 WP_404924307.1
NB626_RS03410 WP_020835888.1
NB626_RS03415 WP_020835889.1
NB626_RS03420 WP_011206453.1
NB626_RS03425 WP_041361699.1
NB626_RS03430 WP_404924308.1
NB626_RS03435 WP_404924309.1
NB626_RS03440 WP_404924310.1
NB626_RS03445 WP_011206458.1
NB626_RS03455 WP_011206459.1
NB626_RS03460 WP_404924311.1
NB626_RS03465 WP_404924312.1
NB626_RS03470 WP_404924313.1
NB626_RS03475 WP_404924314.1
NB626_RS03480 WP_404924315.1
NB626_RS03485 WP_146379740.1
NB626_RS03490 WP_404924316.1
NB626_RS03495 WP_404924317.1
NB626_RS03500 WP_160585238.1
NB626_RS03505 WP_404924318.1
NB626_RS03510 WP_404924318.1
NB626_RS03515 WP_404924319.1
NB626_RS03520 WP_404924320.1
NB626_RS03525 WP_404924321.1
NB626_RS03530 WP_308704613.1
NB626_RS03535 WP_020835902.1
NB626_RS03540 WP_020835902.1
NB626_RS03545 WP_404924322.1
NB626_RS03550 WP_020835904.1
NB626_RS03555 WP_404924323.1
NB626_RS03560 WP_404924324.1
NB626_RS03565 WP_404924500.1
NB626_RS03570 WP_404912058.1
NB626_RS03575 WP_404924325.1
NB626_RS03580 WP_404924501.1
NB626_RS03585 WP_160584907.1
NB626_RS03590 WP_404924327.1
NB626_RS03595 WP_011206487.1
NB626_RS03605 WP_011206488.1
NB626_RS03610 WP_232039558.1
NB626_RS03615 WP_014580012.1
NB626_RS03620 WP_011206490.1
NB626_RS03625 WP_404924328.1
NB626_RS03630 WP_404924330.1
NB626_RS03635 WP_160585582.1
NB626_RS03640 WP_160588182.1
NB626_RS03645 WP_011206494.1
NB626_RS03650 WP_404924331.1
NB626_RS03655 WP_011290421.1
NB626_RS03660 WP_228366117.1
NB626_RS03665 WP_011290423.1
NB626_RS03670 WP_011290423.1
NB626_RS03675 WP_404924332.1
NB626_RS03685 WP_404924333.1
NB626_RS03690 WP_011284373.1
NB626_RS03695 WP_404924334.1
NB626_RS03700 WP_404924335.1
NB626_RS03705 WP_020835917.1
NB626_RS03710 WP_404924336.1
NB626_RS03715 WP_160584892.1
NB626_RS03720 WP_404924337.1
NB626_RS03725 WP_011206510.1
NB626_RS03730 WP_404924338.1
NB626_RS03735 WP_404924339.1
NB626_RS03740 WP_404924340.1
NB626_RS03745 WP_404924341.1
NB626_RS03750 WP_404924342.1
NB626_RS03755 WP_404924343.1
NB626_RS03760 WP_404924344.1
NB626_RS03775 WP_348571896.1
NB626_RS03780 WP_050195472.1
NB626_RS03785 WP_041361715.1
NB626_RS03790 WP_011206522.1
NB626_RS03795 WP_404924345.1
NB626_RS03800 WP_404924346.1
NB626_RS03805 WP_404924347.1
NB626_RS03810 WP_404924348.1
NB626_RS03815 WP_011206527.1
NB626_RS03820 WP_014580051.1
NB626_RS03825 WP_011206529.1
