HZK19_RS00005 WP_179220973.1
HZK19_RS00605 WP_179221020.1
HZK19_RS00610 WP_179221021.1
HZK19_RS00625 WP_237697228.1
HZK19_RS00630 WP_179221022.1
HZK19_RS00635 WP_011206103.1
HZK19_RS00640 WP_179221023.1
HZK19_RS00645 WP_011206101.1
HZK19_RS00655 WP_179221024.1
HZK19_RS00660 WP_160585617.1
HZK19_RS00665 WP_011290023.1
HZK19_RS00670 WP_011290024.1
HZK19_RS00675 WP_011206094.1
HZK19_RS00680 WP_011206093.1
HZK19_RS00685 WP_020835572.1
HZK19_RS00690 WP_179221025.1
HZK19_RS00695 WP_041361572.1
HZK19_RS00700 WP_011290028.1
HZK19_RS00705 WP_011290029.1
HZK19_RS00710 WP_011283930.1
HZK19_RS00715 WP_011206086.1
HZK19_RS00720 WP_020835574.1
HZK19_RS00730 WP_179221026.1
HZK19_RS00735 WP_020835576.1
HZK19_RS00740 WP_011283934.1
HZK19_RS00750 WP_240536635.1
HZK19_RS00755 WP_179221028.1
HZK19_RS00760 WP_179221029.1
HZK19_RS00765 WP_179221030.1
HZK19_RS00770 WP_179221031.1
HZK19_RS00775 WP_011206076.1
HZK19_RS00780 WP_179221032.1
HZK19_RS00790 WP_179221033.1
HZK19_RS00795 WP_011206073.1
HZK19_RS00800 WP_011206072.1
HZK19_RS00805 WP_179221034.1
HZK19_RS00810 WP_179221035.1
HZK19_RS00815 WP_179221036.1
HZK19_RS00820 WP_011206068.1
HZK19_RS00825 WP_179221037.1
HZK19_RS00830 WP_011206066.1
HZK19_RS00835 WP_011283949.1
HZK19_RS00840 WP_011283950.1
HZK19_RS00845 WP_179221038.1
HZK19_RS00850 WP_179221039.1
HZK19_RS00855 WP_011206061.1
HZK19_RS00860 WP_220200845.1
HZK19_RS00865 WP_179221040.1
HZK19_RS00870 WP_011283955.1
HZK19_RS00875 WP_179221041.1
HZK19_RS00880 WP_044284742.1
HZK19_RS00885 WP_011283957.1
HZK19_RS00890 WP_179221042.1
HZK19_RS00895 WP_014579622.1
HZK19_RS00900 WP_044284597.1
HZK19_RS00905 WP_011283961.1
HZK19_RS00910 WP_135618610.1
HZK19_RS00915 WP_011206049.1
HZK19_RS00920 WP_011206048.1
HZK19_RS00925 WP_011283963.1
HZK19_RS00930 WP_011206047.1
HZK19_RS00935 WP_011206046.1
HZK19_RS00940 WP_014579616.1
HZK19_RS00945 WP_011206044.1
HZK19_RS00950 WP_160585191.1
HZK19_RS00955 WP_179221043.1
HZK19_RS00960 WP_020835591.1
HZK19_RS00965 WP_179221044.1
HZK19_RS00970 WP_011206039.1
HZK19_RS00975 WP_011206038.1
HZK19_RS00980 WP_179221045.1
HZK19_RS00985 WP_011206036.1
HZK19_RS00990 WP_011206035.1
HZK19_RS00995 WP_014579611.1
HZK19_RS01000 WP_044284599.1
HZK19_RS01005 WP_011206032.1
HZK19_RS01010 WP_179221046.1
HZK19_RS03950 WP_179221047.1
HZK19_RS01020 WP_011206028.1
HZK19_RS01025 WP_014579605.1
HZK19_RS01030 WP_014579604.1
HZK19_RS01035 WP_179221048.1
HZK19_RS01040 WP_011290067.1
HZK19_RS01045 WP_014579601.1
HZK19_RS01050 WP_167871263.1
HZK19_RS01055 WP_011283978.1
HZK19_RS01060 WP_179221049.1
HZK19_RS01065 WP_179221049.1
HZK19_RS01070 WP_179221050.1
HZK19_RS01075 WP_179221051.1
HZK19_RS01080 WP_011206016.1
HZK19_RS01085 WP_179221052.1
HZK19_RS01090 WP_011206014.1
HZK19_RS01095 WP_179221053.1
HZK19_RS01100 WP_179221054.1
HZK19_RS01105 WP_044284822.1
HZK19_RS01110 WP_020835610.1
HZK19_RS01115 WP_160587980.1
HZK19_RS01120 WP_011283989.1
HZK19_RS01125 WP_179221055.1
HZK19_RS01130 WP_011206006.1
HZK19_RS01135 WP_011206005.1
HZK19_RS01140 WP_020835615.1
HZK19_RS01145 WP_160584684.1
HZK19_RS01150 WP_179221056.1
HZK19_RS01155 WP_179221057.1
HZK19_RS01160 WP_228366127.1
HZK19_RS01165 WP_179221058.1
HZK19_RS01170 WP_011283999.1
HZK19_RS01175 WP_011283999.1
HZK19_RS01180 WP_179221288.1
HZK19_RS01185 WP_135618654.1
HZK19_RS01190 WP_160584731.1
HZK19_RS01195 WP_179221059.1
HZK19_RS01200 WP_179221060.1
HZK19_RS01205 WP_179221061.1
HZK19_RS01210 WP_179221062.1
HZK19_RS01215 WP_240536637.1
HZK19_RS01220 WP_179221063.1
HZK19_RS01225 WP_240536638.1
HZK19_RS01230 WP_160606544.1
HZK19_RS01235 WP_179221064.1
HZK19_RS01240 WP_011205981.1
HZK19_RS03720 WP_240536639.1
HZK19_RS03725 WP_094521768.1
HZK19_RS01260 WP_179221065.1
HZK19_RS01265 WP_179221066.1
HZK19_RS01270 WP_179221067.1
HZK19_RS01275 WP_014579714.1
HZK19_RS01280 WP_011205973.1
HZK19_RS01285 WP_179221068.1
HZK19_RS01290 WP_179221069.1
HZK19_RS01295 WP_179221070.1
HZK19_RS01300 WP_011205969.1
HZK19_RS01305 WP_179221071.1
HZK19_RS01310 WP_179221072.1
HZK19_RS01315 WP_179221073.1
HZK19_RS01320 WP_011205965.1
HZK19_RS01325 WP_011284027.1
HZK19_RS01330 WP_179221074.1
HZK19_RS01335 WP_011205962.1
HZK19_RS01340 WP_179221075.1
HZK19_RS01345 WP_020835642.1
HZK19_RS01350 WP_011284032.1
HZK19_RS01355 WP_020835643.1
HZK19_RS01360 WP_160588252.1
HZK19_RS01365 WP_020835645.1
HZK19_RS01370 WP_179221076.1
HZK19_RS01375 WP_011205954.1
HZK19_RS01380 WP_011205953.1
HZK19_RS01385 WP_011205952.1
HZK19_RS01390 WP_179221077.1
HZK19_RS01395 WP_011290120.1
HZK19_RS01400 WP_179221078.1
HZK19_RS01405 WP_011205948.1
HZK19_RS03730 WP_276310607.1
HZK19_RS01415 WP_179221080.1
HZK19_RS01420 WP_179221081.1
HZK19_RS01425 WP_014579732.1
HZK19_RS01430 WP_179221082.1
HZK19_RS01435 WP_011284046.1
HZK19_RS01465 WP_179221083.1
HZK19_RS01470 WP_179221084.1
HZK19_RS01475 WP_179221085.1
HZK19_RS01480 WP_179221086.1
HZK19_RS01485 WP_146379568.1
HZK19_RS01490 WP_011205937.1
HZK19_RS01495 WP_179221087.1
HZK19_RS01500 WP_179221088.1
HZK19_RS01505 WP_011284055.1
HZK19_RS01510 WP_011284056.1
HZK19_RS01515 WP_011205932.1
HZK19_RS01520 WP_179221089.1
HZK19_RS03735 WP_240536640.1
HZK19_RS03740 WP_240536641.1
HZK19_RS01530 WP_240536642.1
HZK19_RS01535 WP_240536643.1
HZK19_RS01540 WP_240536643.1
HZK19_RS01545 WP_179221091.1
HZK19_RS01550 WP_179221292.1
HZK19_RS01555 WP_240536665.1
HZK19_RS01560 WP_179221092.1
HZK19_RS01565 WP_179221093.1
HZK19_RS01570 WP_011290137.1
HZK19_RS01575 WP_179221094.1
HZK19_RS01580 WP_179221095.1
HZK19_RS01585 WP_240536645.1
HZK19_RS01590 WP_179221096.1
HZK19_RS03870 WP_269076340.1
HZK19_RS01595 WP_179221097.1
HZK19_RS01600 WP_240536646.1
HZK19_RS03745 WP_240536647.1
HZK19_RS01610 WP_179221099.1
HZK19_RS01615 WP_011206153.1
HZK19_RS01620 WP_334199378.1
HZK19_RS01625 WP_179221100.1
HZK19_RS01630 WP_179221101.1
HZK19_RS01635 WP_240536648.1
HZK19_RS03955 WP_225973034.1
HZK19_RS01645 WP_179221103.1
HZK19_RS01650 WP_146379492.1
HZK19_RS01655 WP_179221104.1
HZK19_RS01660 WP_179221105.1
HZK19_RS01665 WP_011206160.1
HZK19_RS01670 WP_011206161.1
HZK19_RS03750 WP_240536649.1
HZK19_RS01675 WP_240536650.1
HZK19_RS01680 WP_179221106.1
HZK19_RS01685 WP_179221107.1
HZK19_RS01690 WP_157696714.1
HZK19_RS01695 WP_179221294.1
HZK19_RS01700 WP_179221108.1
HZK19_RS01705 WP_179221108.1
HZK19_RS01710 WP_179221109.1
HZK19_RS01715 WP_044272440.1
HZK19_RS01720 WP_094521655.1
HZK19_RS01725 WP_094521655.1
HZK19_RS01730 WP_240536651.1
HZK19_RS01735 WP_094521657.1
HZK19_RS01740 WP_160587871.1
HZK19_RS01745 WP_011206177.1
HZK19_RS01750 WP_240536652.1
HZK19_RS01755 WP_011206179.1
HZK19_RS01760 WP_179221110.1
HZK19_RS01765 WP_014579787.1
HZK19_RS01770 WP_011206182.1
HZK19_RS01775 WP_179221111.1
HZK19_RS01780 WP_179221112.1
HZK19_RS01785 WP_094521665.1
HZK19_RS01790 WP_240536653.1
HZK19_RS03755 WP_240536654.1
HZK19_RS01800 WP_240536655.1
HZK19_RS01805 WP_179221113.1
HZK19_RS01810 WP_179221114.1
HZK19_RS01815 WP_240536656.1
HZK19_RS01820 WP_135618818.1
HZK19_RS01825 WP_179221115.1
HZK19_RS01835 WP_011290181.1
HZK19_RS01845 WP_179221116.1
HZK19_RS03875 WP_258555257.1
HZK19_RS03760 WP_236607972.1
HZK19_RS01855 WP_240536657.1
HZK19_RS03880 WP_258555395.1
HZK19_RS03885 WP_258556645.1
HZK19_RS01870 WP_020835708.1
HZK19_RS01875 WP_014579804.1
HZK19_RS01880 WP_011206196.1
HZK19_RS01885 WP_020835709.1
HZK19_RS01890 WP_179221117.1
HZK19_RS01895 WP_011290189.1
HZK19_RS01900 WP_011206200.1
HZK19_RS01905 WP_011206200.1
HZK19_RS01910 WP_020835714.1
HZK19_RS03920 WP_179221118.1
HZK19_RS01920 WP_179221119.1
HZK19_RS01925 WP_179221120.1
HZK19_RS01930 WP_179221121.1
HZK19_RS01935 WP_179221122.1
HZK19_RS01940 WP_135618846.1
HZK19_RS01945 WP_135618848.1
HZK19_RS01950 WP_179221124.1
HZK19_RS01955 WP_240536660.1
HZK19_RS01960 WP_179221125.1
HZK19_RS01965 WP_240536661.1
HZK19_RS01970 WP_240536662.1
HZK19_RS01975 WP_179221126.1
HZK19_RS01980 WP_179221127.1
HZK19_RS01985 WP_179221128.1
HZK19_RS01990 WP_014579824.1
HZK19_RS01995 WP_011206218.1
HZK19_RS02000 WP_179221129.1
HZK19_RS02005 WP_179221130.1
HZK19_RS02010 WP_011206221.1
HZK19_RS02015 WP_011206222.1
HZK19_RS02020 WP_179221131.1
HZK19_RS02025 WP_011206224.1
HZK19_RS02030 WP_179221132.1
HZK19_RS02035 WP_240536587.1
HZK19_RS02040 WP_011206227.1
HZK19_RS02045 WP_044272477.1
HZK19_RS02050 WP_044272480.1
HZK19_RS02055 WP_179221134.1
HZK19_RS02060 WP_011206231.1
HZK19_RS02065 WP_011284150.1
HZK19_RS03675 WP_094521686.1
HZK19_RS02080 WP_240536667.1
HZK19_RS03960 WP_240536667.1
HZK19_RS02090 WP_179221135.1
HZK19_RS02100 WP_240536668.1
HZK19_RS03685 WP_179221135.1
HZK19_RS02105 WP_218833876.1
HZK19_RS02110 WP_179221136.1
HZK19_RS02115 WP_002557988.1
HZK19_RS02120 WP_002557988.1
HZK19_RS03770 WP_233688423.1
HZK19_RS03775 WP_233688424.1
HZK19_RS03780 WP_240536588.1
HZK19_RS02140 WP_240536588.1
HZK19_RS02145 WP_002557992.1
HZK19_RS02150 WP_002557993.1
HZK19_RS02155 WP_011284157.1
HZK19_RS02160 WP_240536589.1
HZK19_RS03785 WP_240536590.1
HZK19_RS03690 WP_218833871.1
HZK19_RS03965 WP_218833871.1
HZK19_RS02175 WP_218833877.1
HZK19_RS02180 WP_179221137.1
HZK19_RS02185 WP_160585202.1
HZK19_RS02190 WP_011206239.1
HZK19_RS02195 WP_011206240.1
HZK19_RS02200 WP_135618880.1
HZK19_RS02205 WP_011206242.1
HZK19_RS02210 WP_179221138.1
HZK19_RS02215 WP_160585203.1
HZK19_RS02220 WP_179221139.1
HZK19_RS02225 WP_011284169.1
HZK19_RS02230 WP_011206247.1
HZK19_RS02235 WP_014579826.1
HZK19_RS02240 WP_135618886.1
HZK19_RS02245 WP_135619204.1
HZK19_RS02250 WP_240536592.1
HZK19_RS02255 WP_179221141.1
HZK19_RS02260 WP_135618892.1
HZK19_RS02265 WP_011206256.1
HZK19_RS02270 WP_179221142.1
HZK19_RS02275 WP_011290228.1
HZK19_RS03695 WP_240536593.1
HZK19_RS03790 WP_011206260.1
HZK19_RS02290 WP_318036674.1
HZK19_RS03795 WP_240536594.1
HZK19_RS03800 WP_240536595.1
HZK19_RS02300 WP_179221143.1
HZK19_RS02305 WP_179221144.1
HZK19_RS02310 WP_240536596.1
HZK19_RS02315 WP_011284186.1
HZK19_RS02320 WP_011206268.1
HZK19_RS03805 WP_240536597.1
HZK19_RS03810 WP_240536598.1
HZK19_RS02330 WP_179221145.1
HZK19_RS02335 WP_044284661.1
HZK19_RS02340 WP_240536599.1
HZK19_RS02345 WP_179221147.1
HZK19_RS02350 WP_240536600.1
HZK19_RS02355 WP_179221149.1
HZK19_RS02360 WP_179221150.1
HZK19_RS02365 WP_240536601.1
HZK19_RS02370 WP_240536602.1
HZK19_RS03815 WP_240536603.1
HZK19_RS03820 WP_240536604.1
HZK19_RS02375 WP_240536605.1
HZK19_RS02380 WP_179221152.1
HZK19_RS02385 WP_179221153.1
HZK19_RS02390 WP_179221154.1
HZK19_RS02395 WP_179221155.1
HZK19_RS02405 WP_179221156.1
HZK19_RS02410 WP_135619210.1
HZK19_RS02415 WP_179221157.1
HZK19_RS02420 WP_146379654.1
HZK19_RS02425 WP_179221158.1
HZK19_RS03970 WP_011206289.1
HZK19_RS02435 WP_179221159.1
HZK19_RS02440 WP_011206291.1
HZK19_RS02445 WP_011206292.1
HZK19_RS02450 WP_011206293.1
HZK19_RS02465 WP_011284212.1
HZK19_RS02470 WP_233688469.1
HZK19_RS03825 WP_225972989.1
HZK19_RS02480 WP_179221160.1
HZK19_RS02485 WP_179221161.1
HZK19_RS02490 WP_179221162.1
HZK19_RS02495 WP_179221163.1
HZK19_RS02500 WP_179221164.1
HZK19_RS02505 WP_014579890.1
HZK19_RS02510 WP_011206302.1
HZK19_RS02515 WP_179221165.1
HZK19_RS02520 WP_179221165.1
HZK19_RS02525 WP_146379663.1
HZK19_RS02530 WP_020835798.1
HZK19_RS02535 WP_011206307.1
HZK19_RS02540 WP_179221167.1
HZK19_RS02545 WP_179221167.1
HZK19_RS02550 WP_135618955.1
HZK19_RS02555 WP_179221168.1
HZK19_RS02560 WP_179221169.1
HZK19_RS02565 WP_011206313.1
HZK19_RS02570 WP_011206314.1
HZK19_RS02575 WP_011206315.1
HZK19_RS02580 WP_179221170.1
HZK19_RS02585 WP_011206317.1
HZK19_RS02590 WP_179221171.1
HZK19_RS02595 WP_179221172.1
HZK19_RS02600 WP_011206320.1
HZK19_RS02605 WP_179221173.1
HZK19_RS02610 WP_135618967.1
HZK19_RS02615 WP_011206323.1
HZK19_RS02620 WP_179221174.1
HZK19_RS02625 WP_011290300.1
HZK19_RS02630 WP_179221175.1
HZK19_RS02635 WP_179221175.1
HZK19_RS02640 WP_179221176.1
HZK19_RS02645 WP_179221177.1
HZK19_RS02650 WP_041361678.1
HZK19_RS02655 WP_179221178.1
HZK19_RS02660 WP_276310604.1
HZK19_RS03890 WP_276310605.1
HZK19_RS03895 WP_179221179.1
HZK19_RS02670 WP_179221180.1
HZK19_RS02675 WP_011206334.1
HZK19_RS02680 WP_179221181.1
HZK19_RS02685 WP_179221182.1
HZK19_RS02690 WP_179221183.1
HZK19_RS02695 WP_179221184.1
HZK19_RS02700 WP_179221185.1
HZK19_RS02705 WP_011290314.1
HZK19_RS02710 WP_179221186.1
HZK19_RS03840 WP_240536607.1
HZK19_RS02725 WP_240536608.1
HZK19_RS02730 WP_011206345.1
HZK19_RS02735 WP_160608072.1
HZK19_RS02740 WP_160615699.1
HZK19_RS02745 WP_011206348.1
HZK19_RS02750 WP_160600765.1
HZK19_RS02755 WP_179221187.1
HZK19_RS02760 WP_160600802.1
HZK19_RS02765 WP_240536609.1
HZK19_RS03900 WP_276310606.1
HZK19_RS02770 WP_179221188.1
HZK19_RS02775 WP_179221189.1
HZK19_RS02780 WP_011284269.1
HZK19_RS02785 WP_160587850.1
HZK19_RS02790 WP_011206375.1
HZK19_RS02795 WP_135619006.1
HZK19_RS02800 WP_135619008.1
HZK19_RS02805 WP_179221190.1
HZK19_RS02810 WP_011290331.1
HZK19_RS02815 WP_020835837.1
HZK19_RS02820 WP_179221191.1
HZK19_RS02825 WP_179221192.1
HZK19_RS02830 WP_020835840.1
HZK19_RS02835 WP_011206384.1
HZK19_RS02840 WP_011206385.1
HZK19_RS02845 WP_179221193.1
HZK19_RS02850 WP_228365394.1
HZK19_RS02855 WP_179221194.1
HZK19_RS02860 WP_179221195.1
HZK19_RS02865 WP_011206390.1
HZK19_RS02870 WP_011206391.1
HZK19_RS02875 WP_160600789.1
HZK19_RS02880 WP_179221196.1
HZK19_RS02885 WP_240536610.1
HZK19_RS02890 WP_179221197.1
HZK19_RS02895 WP_160600792.1
HZK19_RS02900 WP_179221198.1
HZK19_RS02905 WP_011206399.1
HZK19_RS02910 WP_011206400.1
HZK19_RS02915 WP_160585229.1
HZK19_RS02920 WP_160585231.1
HZK19_RS02925 WP_179221199.1
HZK19_RS02930 WP_014579955.1
HZK19_RS02935 WP_011206405.1
HZK19_RS02940 WP_011206406.1
HZK19_RS02945 WP_011206407.1
HZK19_RS02950 WP_020835856.1
HZK19_RS02955 WP_011284299.1
HZK19_RS02960 WP_179221200.1
HZK19_RS02965 WP_020835859.1
HZK19_RS02970 WP_240536611.1
HZK19_RS03845 WP_233688517.1
HZK19_RS02980 WP_240536612.1
HZK19_RS03850 WP_240536613.1
HZK19_RS02990 WP_179221201.1
HZK19_RS02995 WP_179221202.1
HZK19_RS03000 WP_179221203.1
HZK19_RS03005 WP_179221204.1
HZK19_RS03010 WP_240536614.1
HZK19_RS03015 WP_179221205.1
HZK19_RS03020 WP_240536615.1
HZK19_RS03025 WP_011206356.1
HZK19_RS03030 WP_179221206.1
HZK19_RS03035 WP_094521569.1
HZK19_RS03855 WP_240536616.1
HZK19_RS03045 WP_011206358.1
HZK19_RS03050 WP_179221207.1
HZK19_RS03055 WP_240536617.1
HZK19_RS03060 WP_094521557.1
HZK19_RS03065 WP_179221208.1
HZK19_RS03070 WP_179221209.1
HZK19_RS03075 WP_179221210.1
HZK19_RS03080 WP_179221211.1
HZK19_RS03085 WP_179221212.1
HZK19_RS03090 WP_240536618.1
HZK19_RS03095 WP_135618906.1
HZK19_RS03100 WP_179221215.1
HZK19_RS03105 WP_179221216.1
HZK19_RS03110 WP_050195447.1
HZK19_RS03115 WP_011206424.1
HZK19_RS03120 WP_135619059.1
HZK19_RS03125 WP_011290369.1
HZK19_RS03130 WP_240536619.1
HZK19_RS03135 WP_135619062.1
HZK19_RS03140 WP_011206429.1
HZK19_RS03145 WP_179221218.1
HZK19_RS03150 WP_179221219.1
HZK19_RS03155 WP_179221220.1
HZK19_RS03160 WP_011206433.1
HZK19_RS03165 WP_179221221.1
HZK19_RS03170 WP_011206435.1
HZK19_RS03175 WP_179221222.1
HZK19_RS03180 WP_179221223.1
HZK19_RS03185 WP_179221224.1
HZK19_RS03190 WP_179221225.1
HZK19_RS03195 WP_160585273.1
HZK19_RS03200 WP_011206441.1
HZK19_RS03205 WP_179221226.1
HZK19_RS03210 WP_179221227.1
HZK19_RS03215 WP_160600945.1
HZK19_RS03220 WP_179221228.1
HZK19_RS03225 WP_179221229.1
HZK19_RS03230 WP_179221230.1
HZK19_RS03235 WP_179221231.1
HZK19_RS03240 WP_179221232.1
HZK19_RS03245 WP_179221233.1
HZK19_RS03250 WP_146379492.1
HZK19_RS03255 WP_179221234.1
HZK19_RS03265 WP_179221235.1
HZK19_RS03270 WP_160601134.1
HZK19_RS03275 WP_014579987.1
HZK19_RS03280 WP_179221236.1
HZK19_RS03285 WP_179221237.1
HZK19_RS03290 WP_179221238.1
HZK19_RS03295 WP_011206457.1
HZK19_RS03300 WP_011206458.1
HZK19_RS03310 WP_011206459.1
HZK19_RS03315 WP_179221239.1
HZK19_RS03320 WP_240536620.1
HZK19_RS03325 WP_179221240.1
HZK19_RS03330 WP_179221241.1
HZK19_RS03335 WP_179221242.1
HZK19_RS03340 WP_011290398.1
HZK19_RS03345 WP_179221243.1
HZK19_RS03350 WP_179221244.1
HZK19_RS03355 WP_146379743.1
HZK19_RS03360 WP_011206469.1
HZK19_RS03365 WP_179221245.1
HZK19_RS03370 WP_179221246.1
HZK19_RS03375 WP_179221247.1
HZK19_RS03380 WP_179221248.1
HZK19_RS03385 WP_011206475.1
HZK19_RS03390 WP_011206475.1
HZK19_RS03395 WP_240536621.1
HZK19_RS03400 WP_179221250.1
HZK19_RS03405 WP_179221251.1
HZK19_RS03410 WP_179221252.1
HZK19_RS03415 WP_179221253.1
HZK19_RS03420 WP_179221254.1
HZK19_RS03425 WP_179221255.1
HZK19_RS03430 WP_044272663.1
HZK19_RS03435 WP_179221256.1
HZK19_RS03440 WP_011206487.1
HZK19_RS03450 WP_011206488.1
HZK19_RS03455 WP_240536622.1
HZK19_RS03460 WP_014580012.1
HZK19_RS03465 WP_135619140.1
HZK19_RS03470 WP_014580014.1
HZK19_RS03475 WP_011206492.1
HZK19_RS03480 WP_179221258.1
HZK19_RS03485 WP_179221259.1
HZK19_RS03490 WP_011284367.1
HZK19_RS03495 WP_011284368.1
HZK19_RS03500 WP_240536623.1
HZK19_RS03505 WP_179221261.1
HZK19_RS03510 WP_179221262.1
HZK19_RS03515 WP_179221263.1
HZK19_RS03525 WP_179221264.1
HZK19_RS03530 WP_011284373.1
HZK19_RS03535 WP_179221265.1
HZK19_RS03540 WP_179221266.1
HZK19_RS03545 WP_179221267.1
HZK19_RS03550 WP_011284377.1
HZK19_RS03555 WP_179221268.1
HZK19_RS03560 WP_179221269.1
HZK19_RS03565 WP_011206510.1
HZK19_RS03570 WP_179221270.1
HZK19_RS03575 WP_179221271.1
HZK19_RS03580 WP_179221272.1
HZK19_RS03585 WP_179221273.1
HZK19_RS03590 WP_240536624.1
HZK19_RS03860 WP_240536625.1
HZK19_RS03865 WP_240536626.1
HZK19_RS03600 WP_179221274.1
HZK19_RS03615 WP_179221275.1
HZK19_RS03620 WP_011206520.1
HZK19_RS03625 WP_179221276.1
HZK19_RS03630 WP_011206522.1
HZK19_RS03635 WP_179221277.1
HZK19_RS03640 WP_179221278.1
HZK19_RS03645 WP_179221279.1
HZK19_RS03650 WP_179221280.1
HZK19_RS03655 WP_179221281.1
HZK19_RS03660 WP_011284394.1
HZK19_RS03665 WP_011206529.1
