MHP7448_RS00005 WP_044272251.1
MHP7448_RS02310 WP_011290238.1
MHP7448_RS02315 WP_011290239.1
MHP7448_RS02320 WP_148174331.1
MHP7448_RS02325 WP_044272504.1
MHP7448_RS02330 WP_044272507.1
MHP7448_RS02335 WP_011290242.1
MHP7448_RS02340 WP_041361554.1
MHP7448_RS02345 WP_020835551.1
MHP7448_RS02350 WP_041361551.1
MHP7448_RS02355 WP_011290245.1
MHP7448_RS02360 WP_011290246.1
MHP7448_RS02365 WP_044272509.1
MHP7448_RS02370 WP_011290248.1
MHP7448_RS02375 WP_014579864.1
MHP7448_RS02380 WP_081420850.1
MHP7448_RS02385 WP_011290251.1
MHP7448_RS02390 WP_011206271.1
MHP7448_RS02395 WP_228366098.1
MHP7448_RS02400 WP_011290254.1
MHP7448_RS02405 WP_044272514.1
MHP7448_RS02410 WP_011290256.1
MHP7448_RS02415 WP_044272517.1
MHP7448_RS02420 WP_081420852.1
MHP7448_RS02425 WP_081420852.1
MHP7448_RS02430 WP_228366099.1
MHP7448_RS02435 WP_044272519.1
MHP7448_RS02440 WP_044272522.1
MHP7448_RS02445 WP_044272526.1
MHP7448_RS02450 WP_020835781.1
MHP7448_RS02460 WP_044272529.1
MHP7448_RS02465 WP_044272532.1
MHP7448_RS02470 WP_044272534.1
MHP7448_RS02475 WP_011206287.1
MHP7448_RS02480 WP_011290271.1
MHP7448_RS02485 WP_011206289.1
MHP7448_RS02490 WP_041361671.1
MHP7448_RS02495 WP_044272538.1
MHP7448_RS02500 WP_011206292.1
MHP7448_RS02505 WP_011206293.1
MHP7448_RS04020 WP_011290274.1
MHP7448_RS04025 WP_228366101.1
MHP7448_RS04030 WP_228366102.1
MHP7448_RS02535 WP_044272542.1
MHP7448_RS02540 WP_011290278.1
MHP7448_RS02545 WP_044272546.1
MHP7448_RS02550 WP_011206299.1
MHP7448_RS02555 WP_020835793.1
MHP7448_RS02560 WP_014579890.1
MHP7448_RS02565 WP_011290282.1
MHP7448_RS02570 WP_044272549.1
MHP7448_RS02575 WP_011290284.1
MHP7448_RS02580 WP_011206305.1
MHP7448_RS02585 WP_011290285.1
MHP7448_RS02590 WP_044272552.1
MHP7448_RS02595 WP_011290287.1
MHP7448_RS02600 WP_011290288.1
MHP7448_RS04135 WP_011290288.1
MHP7448_RS02610 WP_011284228.1
MHP7448_RS02615 WP_041361674.1
MHP7448_RS02620 WP_011290290.1
MHP7448_RS03915 WP_011206314.1
MHP7448_RS02630 WP_011206315.1
MHP7448_RS02635 WP_041361676.1
MHP7448_RS02640 WP_011290293.1
MHP7448_RS02645 WP_020835805.1
MHP7448_RS02650 WP_044272553.1
MHP7448_RS02655 WP_011206320.1
MHP7448_RS02660 WP_011290296.1
MHP7448_RS02665 WP_011290297.1
MHP7448_RS02670 WP_011290298.1
MHP7448_RS02675 WP_011290299.1
MHP7448_RS02680 WP_011290300.1
MHP7448_RS02685 WP_044272554.1
MHP7448_RS02690 WP_011290302.1
MHP7448_RS02695 WP_011290303.1
MHP7448_RS02700 WP_011290304.1
MHP7448_RS02705 WP_044272556.1
MHP7448_RS02710 WP_011290306.1
MHP7448_RS02715 WP_044272557.1
MHP7448_RS04110 WP_044272559.1
MHP7448_RS02725 WP_011206333.1
MHP7448_RS02730 WP_011290309.1
MHP7448_RS02735 WP_011206335.1
MHP7448_RS02740 WP_011290310.1
MHP7448_RS02745 WP_011290311.1
MHP7448_RS02750 WP_011290312.1
MHP7448_RS02755 WP_011290313.1
MHP7448_RS02760 WP_011290314.1
MHP7448_RS02765 WP_011290315.1
MHP7448_RS04045 WP_020835822.1
MHP7448_RS03920 WP_228366104.1
MHP7448_RS03675 WP_228366105.1
MHP7448_RS02785 WP_011290318.1
MHP7448_RS02790 WP_044272560.1
MHP7448_RS02795 WP_011206347.1
MHP7448_RS02800 WP_228366106.1
MHP7448_RS02805 WP_020835828.1
MHP7448_RS02810 WP_020835829.1
MHP7448_RS02815 WP_044272727.1
MHP7448_RS02820 WP_228365393.1
MHP7448_RS04090 WP_258555242.1
MHP7448_RS02825 WP_044272563.1
MHP7448_RS02830 WP_044272566.1
MHP7448_RS02835 WP_011206373.1
MHP7448_RS02840 WP_044272567.1
MHP7448_RS02845 WP_011290327.1
MHP7448_RS02850 WP_011290328.1
MHP7448_RS02855 WP_011290329.1
MHP7448_RS02865 WP_044272572.1
MHP7448_RS02870 WP_011290331.1
MHP7448_RS02875 WP_020835837.1
MHP7448_RS02880 WP_011290333.1
MHP7448_RS02885 WP_011290334.1
MHP7448_RS02890 WP_011290335.1
MHP7448_RS02895 WP_011206384.1
MHP7448_RS02900 WP_011206385.1
MHP7448_RS02905 WP_044272575.1
MHP7448_RS02910 WP_225972996.1
MHP7448_RS02915 WP_044272578.1
MHP7448_RS02920 WP_044272582.1
MHP7448_RS02925 WP_011290340.1
MHP7448_RS02930 WP_011206391.1
MHP7448_RS02935 WP_011290341.1
MHP7448_RS04050 WP_228366107.1
MHP7448_RS02950 WP_011290343.1
MHP7448_RS02955 WP_011290344.1
MHP7448_RS02960 WP_011290345.1
MHP7448_RS02965 WP_044272729.1
MHP7448_RS02970 WP_011290347.1
MHP7448_RS02975 WP_020835851.1
MHP7448_RS02980 WP_011290349.1
MHP7448_RS02985 WP_044272588.1
MHP7448_RS02990 WP_011290351.1
MHP7448_RS02995 WP_011290352.1
MHP7448_RS03000 WP_011206405.1
MHP7448_RS03005 WP_041361690.1
MHP7448_RS03010 WP_011206407.1
MHP7448_RS04055 WP_228366108.1
MHP7448_RS04060 WP_228366109.1
MHP7448_RS03020 WP_011284299.1
MHP7448_RS03025 WP_044272591.1
MHP7448_RS03030 WP_011290355.1
MHP7448_RS03035 WP_228366110.1
MHP7448_RS03040 WP_011290357.1
MHP7448_RS03045 WP_044272594.1
MHP7448_RS03055 WP_228366111.1
MHP7448_RS04065 WP_044272600.1
MHP7448_RS03065 WP_228366112.1
MHP7448_RS04070 WP_044272603.1
MHP7448_RS03080 WP_002557698.1
MHP7448_RS03085 WP_011290363.1
MHP7448_RS03090 WP_044272610.1
MHP7448_RS03095 WP_020835862.1
MHP7448_RS03100 WP_081420854.1
MHP7448_RS03105 WP_011290367.1
MHP7448_RS03115 WP_011206424.1
MHP7448_RS03120 WP_011290368.1
MHP7448_RS03125 WP_011290369.1
MHP7448_RS03130 WP_228366113.1
MHP7448_RS03135 WP_011290370.1
MHP7448_RS03140 WP_011206429.1
MHP7448_RS03145 WP_044272613.1
MHP7448_RS03150 WP_011290372.1
MHP7448_RS03155 WP_011290373.1
MHP7448_RS03160 WP_011206433.1
MHP7448_RS03165 WP_044272614.1
MHP7448_RS03170 WP_011206435.1
MHP7448_RS03175 WP_187145658.1
MHP7448_RS03180 WP_044272617.1
MHP7448_RS03935 WP_179221224.1
MHP7448_RS03190 WP_011290377.1
MHP7448_RS03195 WP_020835877.1
MHP7448_RS03200 WP_044272620.1
MHP7448_RS03205 WP_044272624.1
MHP7448_RS03210 WP_014579979.1
MHP7448_RS03215 WP_011206445.1
MHP7448_RS03220 WP_011290381.1
MHP7448_RS03225 WP_011290382.1
MHP7448_RS03230 WP_020835883.1
MHP7448_RS03235 WP_044272630.1
MHP7448_RS03240 WP_044272631.1
MHP7448_RS03245 WP_020835887.1
MHP7448_RS03255 WP_044272634.1
MHP7448_RS03260 WP_044272637.1
MHP7448_RS03265 WP_011290389.1
MHP7448_RS03270 WP_044272639.1
MHP7448_RS03275 WP_014579989.1
MHP7448_RS03280 WP_011290391.1
MHP7448_RS03285 WP_011206457.1
MHP7448_RS03290 WP_011206458.1
MHP7448_RS03300 WP_011206459.1
MHP7448_RS03305 WP_044272640.1
MHP7448_RS03310 WP_044272642.1
MHP7448_RS03315 WP_044272644.1
MHP7448_RS03320 WP_044272647.1
MHP7448_RS03325 WP_228366114.1
MHP7448_RS03330 WP_011290398.1
MHP7448_RS03335 WP_011290399.1
MHP7448_RS03340 WP_011290400.1
MHP7448_RS03345 WP_011290401.1
MHP7448_RS03350 WP_011290402.1
MHP7448_RS03355 WP_044272652.1
MHP7448_RS03360 WP_044272653.1
MHP7448_RS03365 WP_011290405.1
MHP7448_RS03370 WP_044272656.1
MHP7448_RS03375 WP_020835902.1
MHP7448_RS03845 WP_020835902.1
MHP7448_RS03380 WP_228366115.1
MHP7448_RS03385 WP_044272658.1
MHP7448_RS03390 WP_011290410.1
MHP7448_RS03395 WP_020835906.1
MHP7448_RS03400 WP_044272660.1
MHP7448_RS03405 WP_011290413.1
MHP7448_RS03410 WP_011206484.1
MHP7448_RS03415 WP_044272663.1
MHP7448_RS03420 WP_044272665.1
MHP7448_RS03425 WP_011206487.1
MHP7448_RS03435 WP_011284103.1
MHP7448_RS03940 WP_187145659.1
MHP7448_RS03440 WP_011206488.1
MHP7448_RS04140 WP_232039558.1
MHP7448_RS03795 WP_011290416.1
MHP7448_RS03450 WP_011206490.1
MHP7448_RS03455 WP_011290418.1
MHP7448_RS03460 WP_041361708.1
MHP7448_RS03465 WP_011206493.1
MHP7448_RS03470 WP_011206494.1
MHP7448_RS03475 WP_011290420.1
MHP7448_RS03480 WP_011290421.1
MHP7448_RS03485 WP_228366117.1
MHP7448_RS03490 WP_011290423.1
MHP7448_RS03495 WP_187145660.1
MHP7448_RS03500 WP_011290425.1
MHP7448_RS03510 WP_011206502.1
MHP7448_RS03515 WP_011284373.1
MHP7448_RS03520 WP_020835915.1
MHP7448_RS03525 WP_044272669.1
MHP7448_RS03530 WP_044272671.1
MHP7448_RS03535 WP_011290429.1
MHP7448_RS03540 WP_011290430.1
MHP7448_RS03545 WP_011290431.1
MHP7448_RS03550 WP_011206510.1
MHP7448_RS03555 WP_011290432.1
MHP7448_RS03560 WP_044272673.1
MHP7448_RS03565 WP_081420855.1
MHP7448_RS03570 WP_044272675.1
MHP7448_RS03575 WP_011290436.1
MHP7448_RS03580 WP_011290437.1
MHP7448_RS03585 WP_011290438.1
MHP7448_RS03600 WP_011290440.1
MHP7448_RS03605 WP_011290441.1
MHP7448_RS03610 WP_044272678.1
MHP7448_RS03615 WP_011290443.1
MHP7448_RS03620 WP_011290444.1
MHP7448_RS03625 WP_011290445.1
MHP7448_RS03630 WP_011290446.1
MHP7448_RS03635 WP_228366118.1
MHP7448_RS03640 WP_044272680.1
MHP7448_RS03645 WP_011290449.1
MHP7448_RS03650 WP_011284394.1
