MHP168L_RS00005 WP_014579516.1
MHP168L_RS01545 WP_014579731.1
MHP168L_RS01550 WP_014579732.1
MHP168L_RS01555 WP_014579733.1
MHP168L_RS01560 WP_011284046.1
MHP168L_RS01590 WP_014579734.1
MHP168L_RS01595 WP_014579735.1
MHP168L_RS01600 WP_014579736.1
MHP168L_RS01605 WP_014579737.1
MHP168L_RS01610 WP_014579738.1
MHP168L_RS01615 WP_014579739.1
MHP168L_RS01620 WP_011284053.1
MHP168L_RS01625 WP_014579740.1
MHP168L_RS01630 WP_014579741.1
MHP168L_RS01635 WP_011284056.1
MHP168L_RS01640 WP_011205932.1
MHP168L_RS01645 WP_014579742.1
MHP168L_RS01650 WP_016340203.1
MHP168L_RS01655 WP_233417362.1
MHP168L_RS01660 WP_014579745.1
MHP168L_RS01665 WP_016340204.1
MHP168L_RS01670 WP_016340205.1
MHP168L_RS01675 WP_044889050.1
MHP168L_RS01680 WP_044889034.1
MHP168L_RS01685 WP_081450695.1
MHP168L_RS04070 WP_044284632.1
MHP168L_RS01695 WP_014579750.1
MHP168L_RS01700 WP_020835684.1
MHP168L_RS01705 WP_014579752.1
MHP168L_RS01710 WP_014579753.1
MHP168L_RS01715 WP_233417365.1
MHP168L_RS03865 WP_016340207.1
MHP168L_RS01725 WP_014579755.1
MHP168L_RS01730 WP_014579756.1
MHP168L_RS01735 WP_016340208.1
MHP168L_RS01740 WP_014579758.1
MHP168L_RS01745 WP_014579759.1
MHP168L_RS01750 WP_014579760.1
MHP168L_RS01755 WP_014579761.1
MHP168L_RS01760 WP_014579762.1
MHP168L_RS04140 WP_225973034.1
MHP168L_RS01765 WP_228365421.1
MHP168L_RS01770 WP_011284074.1
MHP168L_RS01775 WP_044277993.1
MHP168L_RS03830 WP_158520146.1
MHP168L_RS01780 WP_014579765.1
MHP168L_RS01785 WP_014579766.1
MHP168L_RS01790 WP_014579767.1
MHP168L_RS01795 WP_014579768.1
MHP168L_RS03870 WP_167513696.1
MHP168L_RS01800 WP_014579769.1
MHP168L_RS04080 WP_014579770.1
MHP168L_RS01805 WP_014579771.1
MHP168L_RS01810 WP_228365422.1
MHP168L_RS01815 WP_187286318.1
MHP168L_RS01825 WP_014579775.1
MHP168L_RS01830 WP_011284063.1
MHP168L_RS01835 WP_014579776.1
MHP168L_RS01840 WP_014579777.1
MHP168L_RS01845 WP_081632347.1
MHP168L_RS01850 WP_081450695.1
MHP168L_RS01855 WP_014579779.1
MHP168L_RS01860 WP_014579780.1
MHP168L_RS01865 WP_014579781.1
MHP168L_RS03970 WP_228365423.1
MHP168L_RS03975 WP_228365424.1
MHP168L_RS01875 WP_014579782.1
MHP168L_RS01880 WP_014579783.1
MHP168L_RS01885 WP_014579784.1
MHP168L_RS01890 WP_016340210.1
MHP168L_RS01900 WP_044277998.1
MHP168L_RS01905 WP_014579786.1
MHP168L_RS01910 WP_014579787.1
MHP168L_RS01915 WP_011206182.1
MHP168L_RS01920 WP_014579789.1
MHP168L_RS01925 WP_014579790.1
MHP168L_RS01930 WP_228365425.1
MHP168L_RS03980 WP_228365426.1
MHP168L_RS03875 WP_052293597.1
MHP168L_RS03835 WP_158520147.1
MHP168L_RS03985 WP_014579793.1
MHP168L_RS01950 WP_014579794.1
MHP168L_RS01955 WP_228365427.1
MHP168L_RS01960 WP_014579796.1
MHP168L_RS01965 WP_014579797.1
MHP168L_RS03820 WP_143826160.1
MHP168L_RS04085 WP_269076332.1
MHP168L_RS01970 WP_014579799.1
MHP168L_RS04090 WP_258555395.1
MHP168L_RS04095 WP_258556645.1
MHP168L_RS01995 WP_011206194.1
MHP168L_RS02005 WP_014579804.1
MHP168L_RS02010 WP_014579805.1
MHP168L_RS02015 WP_011206197.1
MHP168L_RS02020 WP_016340211.1
MHP168L_RS02025 WP_016340212.1
MHP168L_RS02030 WP_016340213.1
MHP168L_RS02035 WP_014579809.1
MHP168L_RS03990 WP_233417363.1
MHP168L_RS03995 WP_081632348.1
MHP168L_RS02045 WP_014579810.1
MHP168L_RS02050 WP_014579811.1
MHP168L_RS02055 WP_014579812.1
MHP168L_RS02060 WP_016340214.1
MHP168L_RS02065 WP_014579814.1
MHP168L_RS02070 WP_014579815.1
MHP168L_RS02075 WP_014579816.1
MHP168L_RS02080 WP_233417344.1
MHP168L_RS02085 WP_014579818.1
MHP168L_RS02090 WP_233417345.1
MHP168L_RS02095 WP_233417346.1
MHP168L_RS02100 WP_014579821.1
MHP168L_RS02105 WP_016340217.1
MHP168L_RS02110 WP_014579823.1
MHP168L_RS02115 WP_014579824.1
MHP168L_RS03885 WP_011206218.1
MHP168L_RS02120 WP_081450698.1
MHP168L_RS02125 WP_014579826.1
MHP168L_RS02130 WP_011206247.1
MHP168L_RS02135 WP_016340218.1
MHP168L_RS04000 WP_233417347.1
MHP168L_RS04005 WP_016340219.1
MHP168L_RS02145 WP_014579830.1
MHP168L_RS02150 WP_014579831.1
MHP168L_RS02155 WP_014579832.1
MHP168L_RS02160 WP_014579833.1
MHP168L_RS02165 WP_014579834.1
MHP168L_RS02170 WP_011206239.1
MHP168L_RS02175 WP_014579835.1
MHP168L_RS02180 WP_044278005.1
MHP168L_RS04010 WP_228365382.1
MHP168L_RS03840 WP_011206235.1
MHP168L_RS02190 WP_318023914.1
MHP168L_RS03890 WP_044889037.1
MHP168L_RS02210 WP_014579838.1
MHP168L_RS02215 WP_011206231.1
MHP168L_RS02220 WP_081450698.1
MHP168L_RS02225 WP_016340221.1
MHP168L_RS02230 WP_014579839.1
MHP168L_RS02235 WP_014579840.1
MHP168L_RS02240 WP_014579841.1
MHP168L_RS02245 WP_044278006.1
MHP168L_RS02250 WP_014579843.1
MHP168L_RS02255 WP_011206224.1
MHP168L_RS02260 WP_014579844.1
MHP168L_RS02265 WP_014579845.1
MHP168L_RS02270 WP_014579846.1
MHP168L_RS02275 WP_016340222.1
MHP168L_RS02280 WP_016340223.1
MHP168L_RS02285 WP_081450695.1
MHP168L_RS02290 WP_014579849.1
MHP168L_RS02295 WP_014579850.1
MHP168L_RS02300 WP_228365384.1
MHP168L_RS02305 WP_044889038.1
MHP168L_RS02310 WP_014579853.1
MHP168L_RS02315 WP_011206256.1
MHP168L_RS02320 WP_014579854.1
MHP168L_RS02325 WP_044278009.1
MHP168L_RS02330 WP_016340224.1
MHP168L_RS02335 WP_318023915.1
MHP168L_RS02340 WP_044889040.1
MHP168L_RS02345 WP_233417348.1
MHP168L_RS02350 WP_014579859.1
MHP168L_RS02355 WP_014579860.1
MHP168L_RS02360 WP_014579861.1
MHP168L_RS02365 WP_044278010.1
MHP168L_RS02370 WP_011284186.1
MHP168L_RS02375 WP_014579864.1
MHP168L_RS02380 WP_081632350.1
MHP168L_RS02385 WP_016340226.1
MHP168L_RS02390 WP_011206271.1
MHP168L_RS02395 WP_228365385.1
MHP168L_RS02400 WP_014579868.1
MHP168L_RS02405 WP_044278012.1
MHP168L_RS02410 WP_014579870.1
MHP168L_RS02415 WP_014579871.1
MHP168L_RS04015 WP_228365386.1
MHP168L_RS04020 WP_228365387.1
MHP168L_RS02430 WP_233417349.1
MHP168L_RS02435 WP_016340229.1
MHP168L_RS02440 WP_044889041.1
MHP168L_RS02445 WP_044889042.1
MHP168L_RS02450 WP_014579875.1
MHP168L_RS02455 WP_014579876.1
MHP168L_RS02465 WP_014579877.1
MHP168L_RS02470 WP_081632352.1
MHP168L_RS02475 WP_016340231.1
MHP168L_RS02480 WP_014579880.1
MHP168L_RS02485 WP_044278019.1
MHP168L_RS04145 WP_011206289.1
MHP168L_RS02495 WP_014579882.1
MHP168L_RS02500 WP_014579883.1
MHP168L_RS02505 WP_014579884.1
MHP168L_RS02510 WP_014579885.1
MHP168L_RS02525 WP_044278021.1
MHP168L_RS02530 WP_044278023.1
MHP168L_RS02535 WP_014579886.1
MHP168L_RS04025 WP_233417351.1
MHP168L_RS02545 WP_014579888.1
MHP168L_RS02550 WP_011206297.1
MHP168L_RS02555 WP_011206298.1
MHP168L_RS02560 WP_011284218.1
MHP168L_RS02565 WP_014579889.1
MHP168L_RS02570 WP_014579890.1
MHP168L_RS02575 WP_011206302.1
MHP168L_RS02580 WP_014579891.1
MHP168L_RS02585 WP_016340233.1
MHP168L_RS02590 WP_011206305.1
MHP168L_RS02595 WP_014579893.1
MHP168L_RS02600 WP_014579894.1
MHP168L_RS02605 WP_014579895.1
MHP168L_RS02610 WP_044278026.1
MHP168L_RS02615 WP_014579897.1
MHP168L_RS02620 WP_014579898.1
MHP168L_RS04030 WP_233417353.1
MHP168L_RS02625 WP_016340234.1
MHP168L_RS02630 WP_011206313.1
MHP168L_RS03895 WP_179695988.1
MHP168L_RS02640 WP_014579901.1
MHP168L_RS02645 WP_014579902.1
MHP168L_RS02650 WP_014579903.1
MHP168L_RS02655 WP_014579904.1
MHP168L_RS02660 WP_014579905.1
MHP168L_RS02665 WP_011206320.1
MHP168L_RS02670 WP_014579907.1
MHP168L_RS02675 WP_014579908.1
MHP168L_RS02680 WP_014579909.1
MHP168L_RS02685 WP_014579910.1
MHP168L_RS04035 WP_044278027.1
MHP168L_RS02695 WP_011290300.1
MHP168L_RS02700 WP_014579911.1
MHP168L_RS02705 WP_016340235.1
MHP168L_RS02710 WP_016340236.1
MHP168L_RS02715 WP_016340237.1
MHP168L_RS02720 WP_014579915.1
MHP168L_RS02725 WP_016340238.1
MHP168L_RS04120 WP_014579917.1
MHP168L_RS02735 WP_011206333.1
MHP168L_RS02740 WP_014579918.1
MHP168L_RS02745 WP_011206335.1
MHP168L_RS02750 WP_014579919.1
MHP168L_RS02755 WP_011206337.1
MHP168L_RS02760 WP_014579920.1
MHP168L_RS02765 WP_014579921.1
MHP168L_RS02770 WP_011290314.1
MHP168L_RS02775 WP_014579922.1
MHP168L_RS02780 WP_014579924.1
MHP168L_RS02785 WP_014579925.1
MHP168L_RS02790 WP_228365390.1
MHP168L_RS02795 WP_044278028.1
MHP168L_RS02800 WP_014579928.1
MHP168L_RS02805 WP_014579929.1
MHP168L_RS02810 WP_014579930.1
MHP168L_RS02815 WP_014579931.1
MHP168L_RS02820 WP_014579932.1
MHP168L_RS04050 WP_228365392.1
MHP168L_RS02830 WP_228365393.1
MHP168L_RS04100 WP_258555242.1
MHP168L_RS02835 WP_014579934.1
MHP168L_RS02840 WP_016340239.1
MHP168L_RS02845 WP_011284269.1
MHP168L_RS02850 WP_014579936.1
MHP168L_RS02855 WP_011206375.1
MHP168L_RS02860 WP_011206376.1
MHP168L_RS02865 WP_011284272.1
MHP168L_RS02870 WP_014579937.1
MHP168L_RS02875 WP_011290331.1
MHP168L_RS02880 WP_014579938.1
MHP168L_RS02885 WP_016340240.1
MHP168L_RS02890 WP_014579941.1
MHP168L_RS02895 WP_014579942.1
MHP168L_RS02900 WP_011206384.1
MHP168L_RS02905 WP_011206385.1
MHP168L_RS02910 WP_014579943.1
MHP168L_RS02915 WP_228365394.1
MHP168L_RS02920 WP_014579945.1
MHP168L_RS02925 WP_014579946.1
MHP168L_RS02930 WP_011206390.1
MHP168L_RS02935 WP_011206391.1
MHP168L_RS02940 WP_014579948.1
MHP168L_RS02945 WP_014579949.1
MHP168L_RS02955 WP_014579950.1
MHP168L_RS02960 WP_016340241.1
MHP168L_RS02965 WP_016340242.1
MHP168L_RS02970 WP_016340243.1
MHP168L_RS02975 WP_011206399.1
MHP168L_RS02980 WP_011206400.1
MHP168L_RS02985 WP_014579953.1
MHP168L_RS02990 WP_011206402.1
MHP168L_RS02995 WP_044278032.1
MHP168L_RS03000 WP_014579955.1
MHP168L_RS03005 WP_011206405.1
MHP168L_RS03010 WP_014579956.1
MHP168L_RS03015 WP_016340244.1
MHP168L_RS03020 WP_011206408.1
MHP168L_RS03025 WP_044278034.1
MHP168L_RS03030 WP_233417354.1
MHP168L_RS04055 WP_016340245.1
MHP168L_RS03040 WP_081450695.1
MHP168L_RS03045 WP_002557698.1
MHP168L_RS03050 WP_014579961.1
MHP168L_RS03055 WP_014579962.1
MHP168L_RS03060 WP_014579964.1
MHP168L_RS03065 WP_014579965.1
MHP168L_RS03070 WP_014579966.1
MHP168L_RS03075 WP_011206424.1
MHP168L_RS03080 WP_011206425.1
MHP168L_RS03085 WP_014579967.1
MHP168L_RS03090 WP_228366113.1
MHP168L_RS03095 WP_014579968.1
MHP168L_RS03100 WP_014579969.1
MHP168L_RS03105 WP_014579970.1
MHP168L_RS03110 WP_011290372.1
MHP168L_RS03115 WP_014579971.1
MHP168L_RS03120 WP_011206433.1
MHP168L_RS03125 WP_014579972.1
MHP168L_RS03130 WP_011206435.1
MHP168L_RS03135 WP_200859210.1
MHP168L_RS03140 WP_016340246.1
MHP168L_RS03150 WP_014579976.1
MHP168L_RS03155 WP_014579977.1
MHP168L_RS03160 WP_011206441.1
MHP168L_RS03165 WP_016340247.1
MHP168L_RS03170 WP_014579979.1
MHP168L_RS03175 WP_011206445.1
MHP168L_RS03180 WP_014579980.1
MHP168L_RS03185 WP_014579981.1
MHP168L_RS03190 WP_014579982.1
MHP168L_RS03195 WP_044889045.1
MHP168L_RS03200 WP_014579983.1
MHP168L_RS03205 WP_014579984.1
MHP168L_RS03215 WP_014579985.1
MHP168L_RS03220 WP_014579986.1
MHP168L_RS03225 WP_014579987.1
MHP168L_RS03230 WP_016340248.1
MHP168L_RS03235 WP_014579989.1
MHP168L_RS03240 WP_014579990.1
MHP168L_RS03245 WP_011206457.1
MHP168L_RS03250 WP_011206458.1
MHP168L_RS03260 WP_011206459.1
MHP168L_RS03265 WP_014579991.1
MHP168L_RS03270 WP_014579992.1
MHP168L_RS03275 WP_014579993.1
MHP168L_RS03280 WP_014579994.1
MHP168L_RS03285 WP_011206465.1
MHP168L_RS03290 WP_014579995.1
MHP168L_RS03295 WP_014579996.1
MHP168L_RS03300 WP_011206468.1
MHP168L_RS03305 WP_011206469.1
MHP168L_RS03310 WP_014579997.1
MHP168L_RS03315 WP_044278039.1
MHP168L_RS03320 WP_014579999.1
MHP168L_RS03325 WP_228365396.1
MHP168L_RS03330 WP_011206475.1
MHP168L_RS03825 WP_011206475.1
MHP168L_RS03335 WP_014580002.1
MHP168L_RS03340 WP_014580003.1
MHP168L_RS03345 WP_014580004.1
MHP168L_RS03350 WP_044278116.1
MHP168L_RS03355 WP_016340251.1
MHP168L_RS03360 WP_014580007.1
MHP168L_RS03365 WP_014580008.1
MHP168L_RS03370 WP_014580009.1
MHP168L_RS03375 WP_014580010.1
MHP168L_RS03380 WP_011206487.1
MHP168L_RS03390 WP_011206488.1
MHP168L_RS03395 WP_014580011.1
MHP168L_RS03780 WP_014580012.1
MHP168L_RS03400 WP_014580013.1
MHP168L_RS03405 WP_014580014.1
MHP168L_RS03410 WP_014580015.1
MHP168L_RS03415 WP_011206493.1
MHP168L_RS03420 WP_011206494.1
MHP168L_RS03425 WP_011284367.1
MHP168L_RS03430 WP_011284368.1
MHP168L_RS03435 WP_233417356.1
MHP168L_RS03440 WP_014580018.1
MHP168L_RS03445 WP_187286326.1
MHP168L_RS03450 WP_014580020.1
MHP168L_RS03460 WP_011206502.1
MHP168L_RS03465 WP_011284373.1
MHP168L_RS03470 WP_014580021.1
MHP168L_RS03475 WP_014580022.1
MHP168L_RS03480 WP_014580023.1
MHP168L_RS03485 WP_014580023.1
MHP168L_RS03490 WP_044889046.1
MHP168L_RS03495 WP_014580026.1
MHP168L_RS03500 WP_011206510.1
MHP168L_RS03505 WP_014580027.1
MHP168L_RS03510 WP_014580028.1
MHP168L_RS03515 WP_143826159.1
MHP168L_RS03520 WP_016340255.1
MHP168L_RS03525 WP_016340256.1
MHP168L_RS03530 WP_014580032.1
MHP168L_RS03535 WP_014580033.1
MHP168L_RS03540 WP_014580034.1
MHP168L_RS03545 WP_014580035.1
MHP168L_RS03550 WP_228365397.1
MHP168L_RS04060 WP_011206365.1
MHP168L_RS04065 WP_052293599.1
MHP168L_RS03560 WP_014580037.1
MHP168L_RS03565 WP_011206358.1
MHP168L_RS03570 WP_016340257.1
MHP168L_RS03575 WP_011206356.1
MHP168L_RS03580 WP_014580039.1
MHP168L_RS03585 WP_014580040.1
MHP168L_RS03590 WP_014580041.1
MHP168L_RS03595 WP_187286313.1
MHP168L_RS03615 WP_014580043.1
