NB624_RS00005 WP_044272251.1
NB624_RS01535 WP_011284056.1
NB624_RS01540 WP_011205932.1
NB624_RS01545 WP_404924140.1
NB624_RS01550 WP_404924140.1
NB624_RS01555 WP_404924141.1
NB624_RS01560 WP_240536643.1
NB624_RS01565 WP_240536643.1
NB624_RS01570 WP_404924142.1
NB624_RS01575 WP_404924628.1
NB624_RS01580 WP_404924629.1
NB624_RS01585 WP_404924629.1
NB624_RS01590 WP_011206141.1
NB624_RS01595 WP_011206142.1
NB624_RS01600 WP_146379571.1
NB624_RS01605 WP_179221095.1
NB624_RS01610 WP_404924192.1
NB624_RS01615 WP_404924144.1
NB624_RS01620 WP_135618763.1
NB624_RS01625 WP_404924145.1
NB624_RS01630 WP_404924619.1
NB624_RS01635 WP_404924620.1
NB624_RS01640 WP_404924147.1
NB624_RS01645 WP_404924147.1
NB624_RS01650 WP_404924147.1
NB624_RS01655 WP_371863322.1
NB624_RS01660 WP_404924149.1
NB624_RS01665 WP_404924150.1
NB624_RS01670 WP_404924151.1
NB624_RS01675 WP_225973034.1
NB624_RS01680 WP_404924153.1
NB624_RS01685 WP_404924154.1
NB624_RS01690 WP_404924155.1
NB624_RS01695 WP_020835676.1
NB624_RS01700 WP_020835677.1
NB624_RS01705 WP_020835678.1
NB624_RS01710 WP_160606775.1
NB624_RS01715 WP_404924156.1
NB624_RS01720 WP_404924621.1
NB624_RS01725 WP_404924630.1
NB624_RS01730 WP_404924158.1
NB624_RS01735 WP_371807679.1
NB624_RS01740 WP_404923974.1
NB624_RS01745 WP_404924159.1
NB624_RS01750 WP_404924622.1
NB624_RS01755 WP_404924623.1
NB624_RS01760 WP_404924161.1
NB624_RS01765 WP_404924162.1
NB624_RS01770 WP_404924163.1
NB624_RS01775 WP_404924164.1
NB624_RS01780 WP_404924165.1
NB624_RS01785 WP_404924166.1
NB624_RS01790 WP_404924167.1
NB624_RS01795 WP_404924168.1
NB624_RS01800 WP_011290172.1
NB624_RS01805 WP_011290172.1
NB624_RS01810 WP_011284100.1
NB624_RS01815 WP_348572112.1
NB624_RS01820 WP_404924169.1
NB624_RS01825 WP_404924170.1
NB624_RS01830 WP_404924171.1
NB624_RS01835 WP_404924172.1
NB624_RS01840 WP_157696717.1
NB624_RS01845 WP_404924173.1
NB624_RS01850 WP_404924174.1
NB624_RS01855 WP_404924175.1
NB624_RS01860 WP_404924176.1
NB624_RS01865 WP_020835703.1
NB624_RS01870 WP_158632000.1
NB624_RS01880 WP_404924177.1
NB624_RS01885 WP_308507028.1
NB624_RS01890 WP_404924178.1
NB624_RS01895 WP_258555395.1
NB624_RS01900 WP_258555396.1
NB624_RS01915 WP_404924179.1
NB624_RS01920 WP_014579804.1
NB624_RS01925 WP_011206196.1
NB624_RS01930 WP_404924180.1
NB624_RS01935 WP_347952479.1
NB624_RS01940 WP_404924181.1
NB624_RS01945 WP_020835712.1
NB624_RS01950 WP_404924624.1
NB624_RS01955 WP_160587900.1
NB624_RS01960 WP_020835716.1
NB624_RS01965 WP_404924182.1
NB624_RS01970 WP_160585598.1
NB624_RS01975 WP_404924183.1
NB624_RS01980 WP_011206207.1
NB624_RS01985 WP_135618848.1
NB624_RS01990 WP_011290197.1
NB624_RS01995 WP_404924184.1
NB624_RS02000 WP_404911774.1
NB624_RS02005 WP_404924185.1
NB624_RS02010 WP_404924625.1
NB624_RS02015 WP_404924631.1
NB624_RS02020 WP_404924632.1
NB624_RS02025 WP_014579823.1
NB624_RS02030 WP_404924187.1
NB624_RS02035 WP_011206218.1
NB624_RS02040 WP_404924188.1
NB624_RS02045 WP_404924633.1
NB624_RS02050 WP_020835728.1
NB624_RS02055 WP_011284142.1
NB624_RS02060 WP_011206223.1
NB624_RS02065 WP_011206224.1
NB624_RS02070 WP_014580032.1
NB624_RS02075 WP_160585706.1
NB624_RS02080 WP_404923919.1
NB624_RS02085 WP_404923919.1
NB624_RS02090 WP_404912404.1
NB624_RS02095 WP_404923920.1
NB624_RS02100 WP_404923921.1
NB624_RS02105 WP_404923922.1
NB624_RS02110 WP_011206361.1
NB624_RS02115 WP_404923923.1
NB624_RS02120 WP_404923924.1
NB624_RS02125 WP_011206358.1
NB624_RS02130 WP_404923925.1
NB624_RS02135 WP_094521569.1
NB624_RS02140 WP_404923926.1
NB624_RS02145 WP_404923927.1
NB624_RS02150 WP_404923928.1
NB624_RS02155 WP_404923929.1
NB624_RS02160 WP_404923930.1
NB624_RS02165 WP_404913756.1
NB624_RS02170 WP_404924571.1
NB624_RS02175 WP_404924572.1
NB624_RS02180 WP_347952210.1
NB624_RS02185 WP_404912425.1
NB624_RS02190 WP_020835733.1
NB624_RS02195 WP_146379589.1
NB624_RS02200 WP_011290212.1
NB624_RS02205 WP_011290213.1
NB624_RS02220 WP_404923931.1
NB624_RS02225 WP_404924573.1
NB624_RS02230 WP_404924193.1
NB624_RS02235 WP_404924574.1
NB624_RS02240 WP_404924634.1
NB624_RS02245 WP_404923934.1
NB624_RS02250 WP_404923935.1
NB624_RS02255 WP_404923935.1
NB624_RS02260 WP_233688424.1
NB624_RS02265 WP_020835740.1
NB624_RS02270 WP_020835740.1
NB624_RS02275 WP_404923936.1
NB624_RS02280 WP_404923937.1
NB624_RS02285 WP_404923938.1
NB624_RS02290 WP_404923940.1
NB624_RS02295 WP_404923941.1
NB624_RS02300 WP_404923942.1
NB624_RS02305 WP_404923943.1
NB624_RS02310 WP_404923944.1
NB624_RS02315 WP_404924575.1
NB624_RS02320 WP_404923945.1
NB624_RS02325 WP_404924576.1
NB624_RS02330 WP_404924635.1
NB624_RS02335 WP_404923949.1
NB624_RS02340 WP_258555377.1
NB624_RS02345 WP_404924577.1
NB624_RS02350 WP_011290214.1
NB624_RS02355 WP_011206239.1
NB624_RS02360 WP_011284163.1
NB624_RS02365 WP_044272490.1
NB624_RS02370 WP_146379630.1
NB624_RS02375 WP_014579831.1
NB624_RS02380 WP_404923951.1
NB624_RS02385 WP_225972975.1
NB624_RS02390 WP_011284169.1
NB624_RS02395 WP_192894278.1
NB624_RS02400 WP_220200503.1
NB624_RS02405 WP_094521693.1
NB624_RS02410 WP_146379633.1
NB624_RS02415 WP_404924578.1
NB624_RS02420 WP_404924225.1
NB624_RS02425 WP_404924579.1
NB624_RS02430 WP_011290226.1
NB624_RS02435 WP_011206256.1
NB624_RS02440 WP_404923954.1
NB624_RS02445 WP_160585249.1
NB624_RS02450 WP_404923955.1
NB624_RS02455 WP_404924636.1
NB624_RS02460 WP_404924580.1
NB624_RS02465 WP_225972978.1
NB624_RS02470 WP_011284183.1
NB624_RS02475 WP_404923957.1
NB624_RS02480 WP_404923958.1
NB624_RS02485 WP_404923958.1
NB624_RS02490 WP_160585296.1
NB624_RS02495 WP_404924581.1
NB624_RS02500 WP_404923961.1
NB624_RS02505 WP_404923962.1
NB624_RS02510 WP_404923963.1
NB624_RS02515 WP_404923964.1
NB624_RS02520 WP_020835771.1
NB624_RS02525 WP_020835772.1
NB624_RS02530 WP_404923965.1
NB624_RS02535 WP_404923965.1
NB624_RS02540 WP_240536333.1
NB624_RS02545 WP_404923967.1
NB624_RS02550 WP_404924582.1
NB624_RS02555 WP_404924583.1
NB624_RS02560 WP_404924584.1
NB624_RS02565 WP_404924585.1
NB624_RS02570 WP_404923971.1
NB624_RS02575 WP_020835781.1
NB624_RS02585 WP_044272529.1
NB624_RS02590 WP_167871270.1
NB624_RS02595 WP_404923972.1
NB624_RS02600 WP_146379654.1
NB624_RS02605 WP_179221158.1
NB624_RS02610 WP_011206289.1
NB624_RS02615 WP_041361671.1
NB624_RS02620 WP_404923973.1
NB624_RS02625 WP_011206292.1
NB624_RS02630 WP_160606809.1
NB624_RS02645 WP_258555362.1
NB624_RS02650 WP_225972988.1
NB624_RS02655 WP_404924586.1
NB624_RS02660 WP_404923974.1
NB624_RS02665 WP_404924196.1
NB624_RS02670 WP_160588321.1
NB624_RS02675 WP_146379659.1
NB624_RS02680 WP_011206298.1
NB624_RS02685 WP_348571747.1
NB624_RS02690 WP_404923975.1
NB624_RS02695 WP_014579890.1
NB624_RS02700 WP_404924587.1
NB624_RS02705 WP_348602552.1
NB624_RS02710 WP_160585006.1
NB624_RS02715 WP_404923976.1
NB624_RS02720 WP_160608046.1
NB624_RS02725 WP_044272552.1
NB624_RS02730 WP_404924588.1
NB624_RS02735 WP_404924588.1
NB624_RS02740 WP_011206309.1
NB624_RS02745 WP_404923977.1
NB624_RS02750 WP_011284228.1
NB624_RS02755 WP_404924197.1
NB624_RS02760 WP_404923978.1
NB624_RS02765 WP_404923979.1
NB624_RS02770 WP_404923980.1
NB624_RS02775 WP_404924637.1
NB624_RS02780 WP_404923981.1
NB624_RS02785 WP_135618962.1
NB624_RS02790 WP_020835805.1
NB624_RS02795 WP_160585667.1
NB624_RS02800 WP_011206320.1
NB624_RS02805 WP_404924589.1
NB624_RS02810 WP_404924590.1
NB624_RS02815 WP_404923983.1
NB624_RS02820 WP_404923984.1
NB624_RS02825 WP_404923985.1
NB624_RS02830 WP_011290300.1
NB624_RS02835 WP_404924591.1
NB624_RS02840 WP_404924592.1
NB624_RS02845 WP_404923988.1
NB624_RS02850 WP_041361678.1
NB624_RS02855 WP_404924593.1
NB624_RS02860 WP_404911941.1
NB624_RS02865 WP_020835817.1
NB624_RS02870 WP_020835818.1
NB624_RS02875 WP_011206335.1
NB624_RS02880 WP_011206335.1
NB624_RS02885 WP_020835820.1
NB624_RS02890 WP_404923992.1
NB624_RS02895 WP_404923974.1
NB624_RS02900 WP_011290313.1
NB624_RS02905 WP_011290314.1
NB624_RS02910 WP_404923993.1
NB624_RS02915 WP_404923994.1
NB624_RS02920 WP_160608078.1
NB624_RS02925 WP_011290318.1
NB624_RS02930 WP_020835826.1
NB624_RS02935 WP_011206347.1
NB624_RS02940 WP_404924594.1
NB624_RS02945 WP_404923997.1
NB624_RS02950 WP_404923998.1
NB624_RS02955 WP_258555565.1
NB624_RS02960 WP_404923999.1
NB624_RS02965 WP_404924000.1
NB624_RS02970 WP_404924001.1
NB624_RS02975 WP_011206373.1
NB624_RS02980 WP_404924595.1
NB624_RS02985 WP_011206375.1
NB624_RS02990 WP_135619006.1
NB624_RS02995 WP_011290329.1
NB624_RS03000 WP_404924002.1
NB624_RS03005 WP_011290331.1
NB624_RS03010 WP_020835837.1
NB624_RS03015 WP_135619012.1
NB624_RS03020 WP_404924003.1
NB624_RS03025 WP_404924004.1
NB624_RS03030 WP_011206384.1
NB624_RS03035 WP_011206385.1
NB624_RS03040 WP_404924005.1
NB624_RS03045 WP_225972996.1
NB624_RS03050 WP_020835843.1
NB624_RS03055 WP_404924007.1
NB624_RS03060 WP_011290340.1
NB624_RS03065 WP_135619026.1
NB624_RS03070 WP_135619026.1
NB624_RS03075 WP_308507032.1
NB624_RS03080 WP_404924596.1
NB624_RS03085 WP_011284289.1
NB624_RS03090 WP_011284290.1
NB624_RS03095 WP_404924597.1
NB624_RS03100 WP_404924009.1
NB624_RS03105 WP_020835851.1
NB624_RS03110 WP_160588325.1
NB624_RS03115 WP_044284696.1
NB624_RS03120 WP_020835854.1
NB624_RS03125 WP_160608089.1
NB624_RS03130 WP_041361688.1
NB624_RS03135 WP_041361690.1
NB624_RS03140 WP_011206407.1
NB624_RS03145 WP_404924010.1
NB624_RS03150 WP_404924011.1
NB624_RS03155 WP_404924012.1
NB624_RS03160 WP_404924013.1
NB624_RS03165 WP_404924598.1
NB624_RS03170 WP_404924599.1
NB624_RS03175 WP_404924198.1
NB624_RS03180 WP_404924015.1
NB624_RS03185 WP_404912458.1
NB624_RS03190 WP_404924016.1
NB624_RS03195 WP_404924199.1
NB624_RS03200 WP_404924017.1
NB624_RS03205 WP_179221201.1
NB624_RS03210 WP_020835860.1
NB624_RS03215 WP_243216310.1
NB624_RS03220 WP_020835862.1
NB624_RS03225 WP_220190663.1
NB624_RS03230 WP_011206422.1
NB624_RS03235 WP_011206424.1
NB624_RS03240 WP_011290368.1
NB624_RS03245 WP_160600929.1
NB624_RS03250 WP_404924600.1
NB624_RS03255 WP_404924019.1
NB624_RS03260 WP_160585645.1
NB624_RS03265 WP_160585645.1
NB624_RS03270 WP_011290372.1
NB624_RS03275 WP_404924021.1
NB624_RS03280 WP_011206433.1
NB624_RS03285 WP_020835872.1
NB624_RS03290 WP_011206435.1
NB624_RS03295 WP_404924022.1
NB624_RS03300 WP_404924023.1
NB624_RS03305 WP_404924024.1
NB624_RS03310 WP_041361696.1
NB624_RS03315 WP_404924025.1
NB624_RS03320 WP_160585273.1
NB624_RS03325 WP_044272620.1
NB624_RS03330 WP_160607775.1
NB624_RS03335 WP_014579979.1
NB624_RS03340 WP_011206445.1
NB624_RS03345 WP_404924026.1
NB624_RS03350 WP_404924026.1
NB624_RS03355 WP_020835883.1
NB624_RS03360 WP_404924027.1
NB624_RS03365 WP_404924601.1
NB624_RS03370 WP_404924601.1
NB624_RS03380 WP_020835888.1
NB624_RS03385 WP_044272637.1
NB624_RS03390 WP_011206453.1
NB624_RS03395 WP_404924029.1
NB624_RS03400 WP_404924030.1
NB624_RS03405 WP_011290391.1
NB624_RS03410 WP_011206457.1
NB624_RS03415 WP_011206458.1
NB624_RS03425 WP_011206459.1
NB624_RS03430 WP_160585219.1
NB624_RS03435 WP_404924031.1
NB624_RS03440 WP_404924032.1
NB624_RS03445 WP_347952302.1
NB624_RS03450 WP_404924602.1
NB624_RS03455 WP_404924034.1
NB624_RS03460 WP_146379741.1
NB624_RS03465 WP_404924035.1
NB624_RS03470 WP_160585238.1
NB624_RS03475 WP_011206469.1
NB624_RS03480 WP_011206469.1
NB624_RS03485 WP_404924036.1
NB624_RS03490 WP_404912046.1
NB624_RS03495 WP_404924603.1
NB624_RS03500 WP_146379747.1
NB624_RS03505 WP_146379747.1
NB624_RS03510 WP_404924604.1
NB624_RS03515 WP_404924039.1
NB624_RS03520 WP_011206484.1
NB624_RS03525 WP_044272663.1
NB624_RS03530 WP_404924041.1
NB624_RS03535 WP_404924042.1
NB624_RS03545 WP_011206488.1
NB624_RS03550 WP_041361706.1
NB624_RS03555 WP_011290416.1
NB624_RS03560 WP_011206490.1
NB624_RS03565 WP_011290418.1
NB624_RS03570 WP_179695855.1
NB624_RS03575 WP_011206493.1
NB624_RS03580 WP_011206494.1
NB624_RS03585 WP_011284367.1
NB624_RS03590 WP_160600741.1
NB624_RS03595 WP_228366117.1
NB624_RS03600 WP_404924044.1
NB624_RS03605 WP_404924044.1
NB624_RS03610 WP_404924045.1
NB624_RS03620 WP_011206502.1
NB624_RS03625 WP_404912074.1
NB624_RS03630 WP_404924046.1
NB624_RS03635 WP_404924047.1
NB624_RS03640 WP_020835917.1
NB624_RS03645 WP_041361711.1
NB624_RS03650 WP_404924048.1
NB624_RS03655 WP_347952324.1
NB624_RS03660 WP_011206510.1
NB624_RS03665 WP_404924049.1
NB624_RS03670 WP_404924049.1
NB624_RS03675 WP_404924050.1
NB624_RS03680 WP_404924605.1
NB624_RS03685 WP_404924606.1
NB624_RS03690 WP_404924608.1
NB624_RS03695 WP_404924610.1
NB624_RS03710 WP_011290440.1
NB624_RS03715 WP_011284387.1
NB624_RS03720 WP_404924054.1
NB624_RS03725 WP_160588098.1
NB624_RS03730 WP_160588100.1
NB624_RS03735 WP_404924055.1
NB624_RS03740 WP_404924056.1
NB624_RS03745 WP_404924057.1
NB624_RS03750 WP_146379773.1
NB624_RS03755 WP_014580051.1
NB624_RS03760 WP_011206529.1
