GOM18_RS00005 WP_179695828.1
GOM18_RS00405 WP_146379753.1
GOM18_RS00410 WP_011290421.1
GOM18_RS04270 WP_011290422.1
GOM18_RS00420 WP_179695856.1
GOM18_RS00425 WP_258556512.1
GOM18_RS04275 WP_179695857.1
GOM18_RS00440 WP_011206502.1
GOM18_RS00445 WP_011284373.1
GOM18_RS00450 WP_179695858.1
GOM18_RS04280 WP_179695859.1
GOM18_RS00460 WP_014580023.1
GOM18_RS00465 WP_011284377.1
GOM18_RS00470 WP_179695860.1
GOM18_RS00475 WP_179695861.1
GOM18_RS00480 WP_011206510.1
GOM18_RS00485 WP_160584888.1
GOM18_RS00490 WP_179695862.1
GOM18_RS00495 WP_179695863.1
GOM18_RS04285 WP_179695864.1
GOM18_RS00505 WP_179695865.1
GOM18_RS04290 WP_179695866.1
GOM18_RS03765 WP_258556513.1
GOM18_RS03770 WP_258556514.1
GOM18_RS00530 WP_160588095.1
GOM18_RS00535 WP_011284387.1
GOM18_RS04295 WP_179695867.1
GOM18_RS00545 WP_011206522.1
GOM18_RS00550 WP_135619170.1
GOM18_RS00555 WP_179695868.1
GOM18_RS00560 WP_258556515.1
GOM18_RS00565 WP_179695869.1
GOM18_RS00570 WP_179695870.1
GOM18_RS00575 WP_014580051.1
GOM18_RS00580 WP_011206529.1
GOM18_RS00585 WP_044272251.1
GOM18_RS00590 WP_179695871.1
GOM18_RS00595 WP_179695872.1
GOM18_RS00600 WP_011205843.1
GOM18_RS04300 WP_160588112.1
GOM18_RS00610 WP_179695873.1
GOM18_RS00615 WP_020835484.1
GOM18_RS00620 WP_179695874.1
GOM18_RS04305 WP_179695875.1
GOM18_RS00630 WP_011205849.1
GOM18_RS00635 WP_179695876.1
GOM18_RS00640 WP_179695877.1
GOM18_RS00645 WP_011283834.1
GOM18_RS00650 WP_094521535.1
GOM18_RS00655 WP_011289937.1
GOM18_RS03800 WP_258556516.1
GOM18_RS00665 WP_041361519.1
GOM18_RS00670 WP_225973003.1
GOM18_RS03805 WP_258555487.1
GOM18_RS00680 WP_179695878.1
GOM18_RS03145 WP_179695878.1
GOM18_RS03150 WP_179696088.1
GOM18_RS03155 WP_094521610.1
GOM18_RS03160 WP_220200531.1
GOM18_RS03165 WP_158209054.1
GOM18_RS03170 WP_179696089.1
GOM18_RS03175 WP_179696090.1
GOM18_RS03180 WP_179696096.1
GOM18_RS03185 WP_094521614.1
GOM18_RS03190 WP_094521615.1
GOM18_RS04520 WP_179696091.1
GOM18_RS03200 WP_179696092.1
GOM18_RS04525 WP_308507042.1
GOM18_RS04530 WP_233688696.1
GOM18_RS03215 WP_011205983.1
GOM18_RS03220 WP_179696093.1
GOM18_RS03225 WP_011205981.1
GOM18_RS03230 WP_258556582.1
GOM18_RS03235 WP_179696094.1
GOM18_RS03240 WP_179696094.1
GOM18_RS03245 WP_179696097.1
GOM18_RS03250 WP_179696098.1
GOM18_RS03255 WP_179696099.1
GOM18_RS03260 WP_011206200.1
GOM18_RS03265 WP_179696100.1
GOM18_RS03270 WP_179696101.1
GOM18_RS03275 WP_011290187.1
GOM18_RS03280 WP_011206196.1
GOM18_RS03285 WP_014579804.1
GOM18_RS04535 WP_220200538.1
GOM18_RS04175 WP_258555396.1
GOM18_RS04180 WP_225972966.1
GOM18_RS04185 WP_258556584.1
GOM18_RS04190 WP_308705296.1
GOM18_RS04195 WP_143826160.1
GOM18_RS03325 WP_011290181.1
GOM18_RS03330 WP_011290181.1
GOM18_RS03340 WP_158632000.1
GOM18_RS03345 WP_179696103.1
GOM18_RS03350 WP_179696104.1
GOM18_RS03355 WP_258556588.1
GOM18_RS03360 WP_179696106.1
GOM18_RS03365 WP_157696717.1
GOM18_RS03370 WP_179696107.1
GOM18_RS03375 WP_052259119.1
GOM18_RS04200 WP_258555394.1
GOM18_RS03385 WP_258556589.1
GOM18_RS03390 WP_160606457.1
GOM18_RS03395 WP_146379617.1
GOM18_RS03400 WP_146379618.1
GOM18_RS03405 WP_011284100.1
GOM18_RS03410 WP_179696108.1
GOM18_RS03415 WP_011290172.1
GOM18_RS03420 WP_258556590.1
GOM18_RS03425 WP_258556590.1
GOM18_RS03435 WP_011206101.1
GOM18_RS03440 WP_179221023.1
GOM18_RS03445 WP_011206103.1
GOM18_RS03450 WP_052259108.1
GOM18_RS03455 WP_258556592.1
GOM18_RS03470 WP_160584793.1
GOM18_RS03475 WP_146379493.1
GOM18_RS03480 WP_146379493.1
GOM18_RS03485 WP_160590103.1
GOM18_RS03490 WP_258555658.1
GOM18_RS03495 WP_179696111.1
GOM18_RS03500 WP_179696112.1
GOM18_RS04590 WP_308704619.1
GOM18_RS04210 WP_041361634.1
GOM18_RS03510 WP_179696113.1
GOM18_RS03515 WP_179696110.1
GOM18_RS03520 WP_179696110.1
GOM18_RS03525 WP_179696076.1
GOM18_RS03530 WP_179696077.1
GOM18_RS03535 WP_167513696.1
GOM18_RS03540 WP_179696115.1
GOM18_RS04215 WP_014579770.1
GOM18_RS03550 WP_011284067.1
GOM18_RS03555 WP_225973032.1
GOM18_RS03560 WP_011290139.1
GOM18_RS03565 WP_011290139.1
GOM18_RS03570 WP_179696116.1
GOM18_RS03575 WP_179696117.1
GOM18_RS03580 WP_179696117.1
GOM18_RS03585 WP_179696118.1
GOM18_RS04540 WP_308705297.1
GOM18_RS03595 WP_179696120.1
GOM18_RS03600 WP_179696120.1
GOM18_RS04545 WP_308705298.1
GOM18_RS03610 WP_179696122.1
GOM18_RS03615 WP_135618730.1
GOM18_RS03620 WP_011206141.1
GOM18_RS03625 WP_011206142.1
GOM18_RS03630 WP_179696123.1
GOM18_RS03635 WP_179696123.1
GOM18_RS03640 WP_179696124.1
GOM18_RS03645 WP_179696124.1
GOM18_RS04550 WP_179696125.1
GOM18_RS04555 WP_179696126.1
GOM18_RS00685 WP_179696126.1
GOM18_RS00695 WP_011206487.1
GOM18_RS04310 WP_179695880.1
GOM18_RS00705 WP_179695881.1
GOM18_RS00710 WP_011206484.1
GOM18_RS04315 WP_179695882.1
GOM18_RS00720 WP_179695883.1
GOM18_RS00725 WP_179695884.1
GOM18_RS04320 WP_179695885.1
GOM18_RS04325 WP_308705275.1
GOM18_RS03830 WP_258556526.1
GOM18_RS04565 WP_258556526.1
GOM18_RS04570 WP_258556530.1
GOM18_RS00745 WP_258556530.1
GOM18_RS04335 WP_179695887.1
GOM18_RS04340 WP_308705276.1
GOM18_RS04345 WP_179695889.1
GOM18_RS00765 WP_179695890.1
GOM18_RS04350 WP_179695891.1
GOM18_RS00775 WP_011206469.1
GOM18_RS00780 WP_135619119.1
GOM18_RS00785 WP_179695892.1
GOM18_RS00790 WP_179695893.1
GOM18_RS00795 WP_020835897.1
GOM18_RS03875 WP_258556527.1
GOM18_RS03880 WP_308705278.1
GOM18_RS00805 WP_179695894.1
GOM18_RS00810 WP_179695895.1
GOM18_RS04355 WP_308705279.1
GOM18_RS00820 WP_179695896.1
GOM18_RS00825 WP_011206459.1
GOM18_RS00835 WP_179695897.1
GOM18_RS00840 WP_011206457.1
GOM18_RS04360 WP_179695898.1
GOM18_RS00850 WP_014579989.1
GOM18_RS00855 WP_179695899.1
GOM18_RS00860 WP_011284337.1
GOM18_RS00865 WP_179695900.1
GOM18_RS04365 WP_020835888.1
GOM18_RS00880 WP_014579984.1
GOM18_RS00885 WP_179695901.1
GOM18_RS00890 WP_179695902.1
GOM18_RS00895 WP_179695903.1
GOM18_RS00900 WP_179695904.1
GOM18_RS00905 WP_179695905.1
GOM18_RS00910 WP_011206445.1
GOM18_RS00915 WP_014579979.1
GOM18_RS00920 WP_179695906.1
GOM18_RS00925 WP_020835878.1
GOM18_RS00930 WP_160585273.1
GOM18_RS00935 WP_160585271.1
GOM18_RS00940 WP_179221224.1
GOM18_RS00945 WP_179695907.1
GOM18_RS00950 WP_179695908.1
GOM18_RS00955 WP_011206435.1
GOM18_RS00960 WP_020835872.1
GOM18_RS00965 WP_011206433.1
GOM18_RS00970 WP_135619070.1
GOM18_RS00975 WP_011290372.1
GOM18_RS00980 WP_179695909.1
GOM18_RS00985 WP_160585645.1
GOM18_RS00990 WP_179695910.1
GOM18_RS04370 WP_011206427.1
GOM18_RS01000 WP_179695911.1
GOM18_RS01005 WP_011206425.1
GOM18_RS01010 WP_011206424.1
GOM18_RS01015 WP_050195447.1
GOM18_RS01020 WP_179695912.1
GOM18_RS01025 WP_014579964.1
GOM18_RS01030 WP_179695913.1
GOM18_RS01035 WP_179695914.1
GOM18_RS01040 WP_179221201.1
GOM18_RS03910 WP_258556528.1
GOM18_RS04575 WP_258556528.1
GOM18_RS01055 WP_179695915.1
GOM18_RS01060 WP_044272591.1
GOM18_RS01065 WP_011284299.1
GOM18_RS01070 WP_179695916.1
GOM18_RS01075 WP_146379706.1
GOM18_RS01080 WP_160615603.1
GOM18_RS01085 WP_146379704.1
GOM18_RS01090 WP_146379703.1
GOM18_RS01095 WP_146379702.1
GOM18_RS01100 WP_044272588.1
GOM18_RS04375 WP_160588325.1
GOM18_RS01110 WP_020835851.1
GOM18_RS01115 WP_011290347.1
GOM18_RS01120 WP_179695917.1
GOM18_RS01125 WP_146379698.1
GOM18_RS04380 WP_011284289.1
GOM18_RS01135 WP_020835847.1
GOM18_RS03930 WP_228366107.1
GOM18_RS01145 WP_179695918.1
GOM18_RS01150 WP_179695919.1
GOM18_RS01155 WP_011284284.1
GOM18_RS01160 WP_179695920.1
GOM18_RS01165 WP_020835843.1
GOM18_RS01170 WP_225972996.1
GOM18_RS01175 WP_179695921.1
GOM18_RS01180 WP_011206385.1
GOM18_RS01185 WP_011206384.1
GOM18_RS01190 WP_160584971.1
GOM18_RS01195 WP_179695922.1
GOM18_RS01200 WP_179695923.1
GOM18_RS01205 WP_011206380.1
GOM18_RS01210 WP_179695924.1
GOM18_RS01215 WP_179695925.1
GOM18_RS01220 WP_179695926.1
GOM18_RS01225 WP_011206376.1
GOM18_RS01230 WP_011206375.1
GOM18_RS01235 WP_179695927.1
GOM18_RS01240 WP_179695928.1
GOM18_RS01245 WP_160607724.1
GOM18_RS01250 WP_050195463.1
GOM18_RS01255 WP_179695931.1
GOM18_RS01260 WP_179695932.1
GOM18_RS01265 WP_020835500.1
GOM18_RS01270 WP_052259122.1
GOM18_RS01275 WP_179695933.1
GOM18_RS01280 WP_179695934.1
GOM18_RS01285 WP_179695935.1
GOM18_RS01290 WP_011289957.1
GOM18_RS03935 WP_308705282.1
GOM18_RS01300 WP_179695936.1
GOM18_RS03940 WP_160606529.1
GOM18_RS04385 WP_225973007.1
GOM18_RS01315 WP_011205880.1
GOM18_RS01320 WP_014579544.1
GOM18_RS01325 WP_179695937.1
GOM18_RS01330 WP_011205883.1
GOM18_RS01335 WP_179695938.1
GOM18_RS03665 WP_044284571.1
GOM18_RS01345 WP_020835510.1
GOM18_RS01350 WP_044284572.1
GOM18_RS01355 WP_011283865.1
GOM18_RS01360 WP_179695939.1
GOM18_RS01365 WP_011205891.1
GOM18_RS01370 WP_179695940.1
GOM18_RS01375 WP_179695941.1
GOM18_RS01380 WP_011289973.1
GOM18_RS01385 WP_225973008.1
GOM18_RS01390 WP_011289974.1
GOM18_RS01395 WP_020835518.1
GOM18_RS01400 WP_011289976.1
GOM18_RS01405 WP_050195448.1
GOM18_RS01410 WP_179695942.1
GOM18_RS01415 WP_011289979.1
GOM18_RS01420 WP_308705283.1
GOM18_RS01425 WP_011289981.1
GOM18_RS01430 WP_179695943.1
GOM18_RS01435 WP_160584761.1
GOM18_RS04390 WP_179695944.1
GOM18_RS01445 WP_179695945.1
GOM18_RS01450 WP_179695946.1
GOM18_RS01455 WP_041361531.1
GOM18_RS01460 WP_011289986.1
GOM18_RS01465 WP_146379475.1
GOM18_RS01470 WP_160585532.1
GOM18_RS01475 WP_179695947.1
GOM18_RS01480 WP_041361533.1
GOM18_RS01485 WP_011283887.1
GOM18_RS01490 WP_179695948.1
GOM18_RS01495 WP_179695949.1
GOM18_RS01500 WP_011205921.1
GOM18_RS01505 WP_011205922.1
GOM18_RS01510 WP_011205923.1
GOM18_RS01515 WP_011283891.1
GOM18_RS01520 WP_011205925.1
GOM18_RS01525 WP_044284773.1
GOM18_RS01530 WP_179695950.1
GOM18_RS01535 WP_179695951.1
GOM18_RS01540 WP_179695952.1
GOM18_RS01545 WP_179695953.1
GOM18_RS01550 WP_179695954.1
GOM18_RS01600 WP_160584739.1
GOM18_RS01605 WP_179695955.1
GOM18_RS01610 WP_258556536.1
GOM18_RS01615 WP_258556536.1
GOM18_RS01620 WP_179695956.1
GOM18_RS01625 WP_179695957.1
GOM18_RS01630 WP_179695958.1
GOM18_RS01635 WP_179695959.1
GOM18_RS01640 WP_308705284.1
GOM18_RS01645 WP_011206121.1
GOM18_RS01655 WP_011206120.1
GOM18_RS01660 WP_179695961.1
GOM18_RS01665 WP_146379484.1
GOM18_RS01670 WP_179695962.1
GOM18_RS04395 WP_179695963.1
GOM18_RS01680 WP_179695964.1
GOM18_RS01685 WP_179695965.1
GOM18_RS01690 WP_011206113.1
GOM18_RS01700 WP_179695966.1
GOM18_RS01705 WP_179695967.1
GOM18_RS01710 WP_011283978.1
GOM18_RS01715 WP_167871263.1
GOM18_RS01720 WP_014579601.1
GOM18_RS01725 WP_011290067.1
GOM18_RS01730 WP_011206025.1
GOM18_RS01735 WP_050195474.1
GOM18_RS01740 WP_160585185.1
GOM18_RS01745 WP_011206028.1
GOM18_RS04580 WP_041361593.1
GOM18_RS01755 WP_011290064.1
GOM18_RS01760 WP_011206032.1
GOM18_RS01765 WP_179695968.1
GOM18_RS01770 WP_014579611.1
GOM18_RS01775 WP_011206035.1
GOM18_RS01780 WP_011206036.1
GOM18_RS01785 WP_041361589.1
GOM18_RS01790 WP_011206038.1
GOM18_RS01795 WP_011206039.1
GOM18_RS01800 WP_160606682.1
GOM18_RS01805 WP_020835591.1
GOM18_RS01810 WP_179695969.1
GOM18_RS01815 WP_020835590.1
GOM18_RS01820 WP_011206044.1
GOM18_RS01825 WP_014579616.1
GOM18_RS01830 WP_011290055.1
GOM18_RS01835 WP_011206047.1
GOM18_RS01840 WP_011283963.1
GOM18_RS01845 WP_011206048.1
GOM18_RS01850 WP_011206049.1
GOM18_RS01855 WP_011290054.1
GOM18_RS01860 WP_146379519.1
GOM18_RS01865 WP_179695970.1
GOM18_RS01870 WP_179695973.1
GOM18_RS01875 WP_044284668.1
GOM18_RS01880 WP_160606819.1
GOM18_RS01890 WP_094521716.1
GOM18_RS01895 WP_135619210.1
GOM18_RS01900 WP_179695974.1
GOM18_RS01905 WP_011206287.1
GOM18_RS01910 WP_011284209.1
GOM18_RS01915 WP_011206289.1
GOM18_RS01920 WP_011206290.1
GOM18_RS01925 WP_179695975.1
GOM18_RS01930 WP_011206292.1
GOM18_RS01935 WP_011206293.1
GOM18_RS01950 WP_179695976.1
GOM18_RS03975 WP_258556542.1
GOM18_RS01960 WP_179695977.1
GOM18_RS01965 WP_011206297.1
GOM18_RS01970 WP_179695978.1
GOM18_RS01975 WP_160585009.1
GOM18_RS01980 WP_179695979.1
GOM18_RS01985 WP_014579890.1
GOM18_RS01990 WP_011290282.1
GOM18_RS01995 WP_179695980.1
GOM18_RS02000 WP_179695981.1
GOM18_RS02005 WP_179695982.1
GOM18_RS02010 WP_146379664.1
GOM18_RS02015 WP_041361673.1
GOM18_RS02020 WP_179695983.1
GOM18_RS02025 WP_179695984.1
GOM18_RS02030 WP_179695985.1
GOM18_RS02035 WP_011284228.1
GOM18_RS02040 WP_179695986.1
GOM18_RS02045 WP_179695987.1
GOM18_RS03980 WP_179695988.1
GOM18_RS02055 WP_011206315.1
GOM18_RS02060 WP_146379669.1
GOM18_RS02065 WP_179695989.1
GOM18_RS02070 WP_160590129.1
GOM18_RS02075 WP_044272553.1
GOM18_RS02080 WP_011206320.1
GOM18_RS02085 WP_179695990.1
GOM18_RS02090 WP_014579908.1
GOM18_RS03985 WP_258556545.1
GOM18_RS02100 WP_179695991.1
GOM18_RS02105 WP_011290300.1
GOM18_RS02110 WP_020835811.1
GOM18_RS02115 WP_179695992.1
GOM18_RS04400 WP_179695993.1
GOM18_RS02125 WP_179695994.1
GOM18_RS04405 WP_020835815.1
GOM18_RS04410 WP_179695995.1
GOM18_RS02140 WP_179695996.1
GOM18_RS04415 WP_179695997.1
GOM18_RS02150 WP_011206335.1
GOM18_RS02155 WP_179695998.1
GOM18_RS02160 WP_179695999.1
GOM18_RS02165 WP_179696000.1
GOM18_RS02170 WP_179696001.1
GOM18_RS02175 WP_179696001.1
GOM18_RS02185 WP_179696004.1
GOM18_RS02190 WP_160585598.1
GOM18_RS02195 WP_179696005.1
GOM18_RS02200 WP_011206207.1
GOM18_RS02205 WP_135618848.1
GOM18_RS02210 WP_011290197.1
GOM18_RS04420 WP_308705286.1
GOM18_RS02220 WP_179696008.1
GOM18_RS04425 WP_220200501.1
GOM18_RS04430 WP_220200502.1
GOM18_RS04435 WP_011206214.1
GOM18_RS02240 WP_179696009.1
GOM18_RS02245 WP_094521681.1
GOM18_RS02250 WP_014579824.1
GOM18_RS02255 WP_011206218.1
GOM18_RS04440 WP_179696010.1
GOM18_RS02265 WP_179696011.1
GOM18_RS02270 WP_179696012.1
GOM18_RS02275 WP_011284142.1
GOM18_RS02280 WP_179696013.1
GOM18_RS02285 WP_011206224.1
GOM18_RS02290 WP_179696014.1
GOM18_RS02295 WP_179696015.1
GOM18_RS02300 WP_160587946.1
GOM18_RS02305 WP_020835732.1
GOM18_RS02310 WP_020835733.1
GOM18_RS02315 WP_146379589.1
GOM18_RS02320 WP_011290212.1
GOM18_RS02325 WP_179696016.1
GOM18_RS04045 WP_258556549.1
GOM18_RS02340 WP_308705288.1
GOM18_RS02345 WP_160585767.1
GOM18_RS02350 WP_237697200.1
GOM18_RS02355 WP_160585768.1
GOM18_RS02360 WP_179696017.1
GOM18_RS02365 WP_011206239.1
GOM18_RS02370 WP_135618878.1
GOM18_RS02375 WP_135618880.1
GOM18_RS02380 WP_179696018.1
GOM18_RS02385 WP_179696019.1
GOM18_RS02390 WP_146379631.1
GOM18_RS02395 WP_011290219.1
GOM18_RS02400 WP_011284169.1
GOM18_RS02405 WP_179696020.1
GOM18_RS02410 WP_220200503.1
GOM18_RS02415 WP_094521693.1
GOM18_RS02420 WP_020835755.1
GOM18_RS02425 WP_179696021.1
GOM18_RS02430 WP_179696022.1
GOM18_RS02435 WP_011290226.1
GOM18_RS02440 WP_179696023.1
GOM18_RS04445 WP_179696024.1
GOM18_RS02450 WP_160585249.1
GOM18_RS02455 WP_179696025.1
GOM18_RS02460 WP_308705289.1
GOM18_RS04450 WP_308705287.1
GOM18_RS02465 WP_258556552.1
GOM18_RS02470 WP_011284183.1
GOM18_RS02475 WP_179696038.1
GOM18_RS02480 WP_258556553.1
GOM18_RS02485 WP_179696026.1
GOM18_RS02490 WP_020835765.1
GOM18_RS02495 WP_179696027.1
GOM18_RS02500 WP_179696028.1
GOM18_RS02505 WP_011206271.1
GOM18_RS02510 WP_258556554.1
GOM18_RS02515 WP_179696030.1
GOM18_RS02520 WP_258556555.1
GOM18_RS02525 WP_179696032.1
GOM18_RS02530 WP_179696033.1
GOM18_RS02535 WP_258556556.1
GOM18_RS02540 WP_258556557.1
GOM18_RS02545 WP_258556557.1
GOM18_RS02550 WP_308705291.1
GOM18_RS04455 WP_135618726.1
GOM18_RS02560 WP_135618726.1
GOM18_RS02565 WP_258556564.1
GOM18_RS02570 WP_258556565.1
GOM18_RS04060 WP_240536641.1
GOM18_RS04460 WP_308705290.1
GOM18_RS02580 WP_179696042.1
GOM18_RS02585 WP_011205932.1
GOM18_RS02590 WP_011284056.1
GOM18_RS02595 WP_011284055.1
GOM18_RS02600 WP_020835657.1
GOM18_RS02605 WP_011205936.1
GOM18_RS04465 WP_179696043.1
GOM18_RS02615 WP_011290129.1
GOM18_RS04470 WP_179696044.1
GOM18_RS02625 WP_179696045.1
GOM18_RS02630 WP_014579735.1
GOM18_RS04475 WP_179696046.1
GOM18_RS02690 WP_011284046.1
GOM18_RS02695 WP_179696047.1
GOM18_RS02700 WP_179696048.1
GOM18_RS02705 WP_160585095.1
GOM18_RS04480 WP_020835649.1
GOM18_RS04485 WP_308705292.1
GOM18_RS02720 WP_011284040.1
GOM18_RS02725 WP_179696049.1
GOM18_RS02730 WP_011290120.1
GOM18_RS02735 WP_020835646.1
GOM18_RS02740 WP_179696050.1
GOM18_RS02745 WP_011205953.1
GOM18_RS02750 WP_011205954.1
GOM18_RS02755 WP_011205955.1
GOM18_RS02760 WP_020835645.1
GOM18_RS02765 WP_179696051.1
GOM18_RS02770 WP_011205958.1
GOM18_RS02775 WP_011284032.1
GOM18_RS02780 WP_020835642.1
GOM18_RS02785 WP_044284615.1
GOM18_RS02790 WP_179696052.1
GOM18_RS02795 WP_011284027.1
GOM18_RS02800 WP_179696053.1
GOM18_RS02805 WP_179696054.1
GOM18_RS02810 WP_179696055.1
GOM18_RS02815 WP_179696056.1
GOM18_RS02820 WP_011205969.1
GOM18_RS02825 WP_179696057.1
GOM18_RS04490 WP_179696058.1
GOM18_RS02835 WP_179696059.1
GOM18_RS02840 WP_011205973.1
GOM18_RS02845 WP_014579714.1
GOM18_RS02850 WP_179696060.1
GOM18_RS02855 WP_094521621.1
GOM18_RS02860 WP_011205977.1
GOM18_RS03675 WP_258556567.1
GOM18_RS02870 WP_258556567.1
GOM18_RS02875 WP_258556567.1
GOM18_RS02880 WP_179696062.1
GOM18_RS02885 WP_179696063.1
GOM18_RS02890 WP_160584670.1
GOM18_RS02895 WP_179696064.1
GOM18_RS02900 WP_011206014.1
GOM18_RS02905 WP_160584674.1
GOM18_RS02910 WP_179696065.1
GOM18_RS02915 WP_146379533.1
GOM18_RS02920 WP_011290077.1
GOM18_RS02925 WP_011290078.1
GOM18_RS02930 WP_011283989.1
GOM18_RS02935 WP_179221055.1
GOM18_RS02940 WP_011206006.1
GOM18_RS02945 WP_011206005.1
GOM18_RS02950 WP_179696066.1
GOM18_RS02955 WP_179696067.1
GOM18_RS02960 WP_179696068.1
GOM18_RS04495 WP_020835619.1
GOM18_RS02970 WP_258556571.1
GOM18_RS02975 WP_258556571.1
GOM18_RS03680 WP_308705293.1
GOM18_RS03685 WP_258556573.1
GOM18_RS04500 WP_011290156.1
GOM18_RS04505 WP_179696070.1
GOM18_RS02995 WP_179696071.1
GOM18_RS03000 WP_011290153.1
GOM18_RS03005 WP_020835676.1
GOM18_RS03010 WP_160606777.1
GOM18_RS03015 WP_179696072.1
GOM18_RS03020 WP_179696073.1
GOM18_RS04585 WP_225973034.1
GOM18_RS03030 WP_228366131.1
GOM18_RS04510 WP_179696074.1
GOM18_RS03040 WP_179696075.1
GOM18_RS03045 WP_308705295.1
GOM18_RS03050 WP_011290145.1
GOM18_RS03055 WP_179696076.1
GOM18_RS03060 WP_179696077.1
GOM18_RS03065 WP_179696077.1
GOM18_RS03070 WP_011290314.1
GOM18_RS03075 WP_179696078.1
GOM18_RS04125 WP_258556577.1
GOM18_RS04130 WP_258556578.1
GOM18_RS03090 WP_258556579.1
GOM18_RS03095 WP_011206345.1
GOM18_RS03100 WP_179696079.1
GOM18_RS03105 WP_179696080.1
GOM18_RS03110 WP_179696081.1
GOM18_RS03115 WP_179696082.1
GOM18_RS03120 WP_179696083.1
GOM18_RS03125 WP_228365393.1
GOM18_RS04135 WP_258555242.1
GOM18_RS03130 WP_179696084.1
GOM18_RS04515 WP_179696085.1
GOM18_RS03140 WP_179696086.1
