FEF30_RS00010 WP_011206465.1
FEF30_RS02520 WP_002557988.1
FEF30_RS02525 WP_233688423.1
FEF30_RS02530 WP_020835740.1
FEF30_RS02535 WP_020835740.1
FEF30_RS02540 WP_002557992.1
FEF30_RS02545 WP_243216175.1
FEF30_RS02550 WP_243216176.1
FEF30_RS02555 WP_243216178.1
FEF30_RS04345 WP_243216179.1
FEF30_RS04350 WP_243216180.1
FEF30_RS02570 WP_243216234.1
FEF30_RS02575 WP_081430767.1
FEF30_RS02580 WP_237697200.1
FEF30_RS02585 WP_243216181.1
FEF30_RS02590 WP_243216182.1
FEF30_RS02595 WP_011206239.1
FEF30_RS02600 WP_135618878.1
FEF30_RS02605 WP_146379629.1
FEF30_RS02610 WP_135618882.1
FEF30_RS02615 WP_011206243.1
FEF30_RS02620 WP_243216184.1
FEF30_RS02625 WP_160601112.1
FEF30_RS02630 WP_011284169.1
FEF30_RS02635 WP_179696020.1
FEF30_RS02640 WP_243216186.1
FEF30_RS02645 WP_243216187.1
FEF30_RS02650 WP_011206251.1
FEF30_RS02655 WP_243216189.1
FEF30_RS02660 WP_243216192.1
FEF30_RS02665 WP_243216193.1
FEF30_RS02670 WP_011206256.1
FEF30_RS04355 WP_243216195.1
FEF30_RS02680 WP_243216198.1
FEF30_RS02685 WP_243216199.1
FEF30_RS02690 WP_308705306.1
FEF30_RS02695 WP_052269173.1
FEF30_RS02700 WP_243216200.1
FEF30_RS02705 WP_014579859.1
FEF30_RS02710 WP_243216236.1
FEF30_RS02715 WP_243216202.1
FEF30_RS02720 WP_011284186.1
FEF30_RS02725 WP_020835765.1
FEF30_RS02730 WP_243216203.1
FEF30_RS02735 WP_243216204.1
FEF30_RS02740 WP_011206271.1
FEF30_RS02745 WP_243216205.1
FEF30_RS02750 WP_243216206.1
FEF30_RS02755 WP_243216207.1
FEF30_RS02760 WP_243216208.1
FEF30_RS02765 WP_243216210.1
FEF30_RS02770 WP_243216212.1
FEF30_RS02775 WP_243216215.1
FEF30_RS02780 WP_243216218.1
FEF30_RS02785 WP_243216220.1
FEF30_RS02790 WP_243216222.1
FEF30_RS02795 WP_146379652.1
FEF30_RS02800 WP_160585153.1
FEF30_RS02810 WP_243216224.1
FEF30_RS02815 WP_044272532.1
FEF30_RS02820 WP_044272534.1
FEF30_RS02825 WP_011206287.1
FEF30_RS02830 WP_011290271.1
FEF30_RS02835 WP_011206289.1
FEF30_RS02840 WP_041361671.1
FEF30_RS02845 WP_243216226.1
FEF30_RS02850 WP_011206292.1
FEF30_RS02855 WP_011206293.1
FEF30_RS02870 WP_243216228.1
FEF30_RS02875 WP_228366101.1
FEF30_RS02880 WP_228366101.1
FEF30_RS02885 WP_243216238.1
FEF30_RS02890 WP_179221160.1
FEF30_RS02895 WP_243216240.1
FEF30_RS02900 WP_160606445.1
FEF30_RS02905 WP_160600959.1
FEF30_RS02910 WP_243216242.1
FEF30_RS02915 WP_014579890.1
FEF30_RS02920 WP_011206302.1
FEF30_RS02925 WP_011206303.1
FEF30_RS02930 WP_011206304.1
FEF30_RS02935 WP_233688475.1
FEF30_RS02940 WP_011206306.1
FEF30_RS02945 WP_233688476.1
FEF30_RS02950 WP_233688477.1
FEF30_RS02955 WP_011206309.1
FEF30_RS02960 WP_011206310.1
FEF30_RS02965 WP_011284228.1
FEF30_RS02970 WP_243216245.1
FEF30_RS02975 WP_243216248.1
FEF30_RS02980 WP_179695988.1
FEF30_RS02985 WP_243216250.1
FEF30_RS02990 WP_243216251.1
FEF30_RS02995 WP_243216252.1
FEF30_RS03000 WP_243216254.1
FEF30_RS03005 WP_243216256.1
FEF30_RS03010 WP_011206320.1
FEF30_RS03015 WP_243216257.1
FEF30_RS03020 WP_243216258.1
FEF30_RS03025 WP_243216259.1
FEF30_RS03030 WP_243216261.1
FEF30_RS03035 WP_011290300.1
FEF30_RS03040 WP_243216263.1
FEF30_RS03045 WP_243216266.1
FEF30_RS04360 WP_243216269.1
FEF30_RS03055 WP_243216270.1
FEF30_RS04365 WP_243216271.1
FEF30_RS03065 WP_243216272.1
FEF30_RS04370 WP_308704549.1
FEF30_RS03080 WP_011206333.1
FEF30_RS04375 WP_011290309.1
FEF30_RS03090 WP_011206335.1
FEF30_RS03095 WP_243216273.1
FEF30_RS03100 WP_011290311.1
FEF30_RS03105 WP_243216274.1
FEF30_RS03110 WP_011290313.1
FEF30_RS03115 WP_011290314.1
FEF30_RS03120 WP_243216276.1
FEF30_RS03125 WP_243216277.1
FEF30_RS03130 WP_228366104.1
FEF30_RS03135 WP_228366105.1
FEF30_RS03140 WP_243216280.1
FEF30_RS03145 WP_044284687.1
FEF30_RS03150 WP_011206347.1
FEF30_RS03155 WP_020835827.1
FEF30_RS03160 WP_020835828.1
FEF30_RS03165 WP_020835829.1
FEF30_RS03170 WP_041361798.1
FEF30_RS03175 WP_228365393.1
FEF30_RS03180 WP_228365393.1
FEF30_RS04060 WP_258555242.1
FEF30_RS03185 WP_243216282.1
FEF30_RS04380 WP_243216285.1
FEF30_RS03195 WP_011284269.1
FEF30_RS03200 WP_014579936.1
FEF30_RS03205 WP_011284271.1
FEF30_RS03210 WP_243216288.1
FEF30_RS03215 WP_243216290.1
FEF30_RS03220 WP_243216292.1
FEF30_RS03225 WP_011206379.1
FEF30_RS03230 WP_243216293.1
FEF30_RS03235 WP_243216296.1
FEF30_RS03240 WP_243216299.1
FEF30_RS03245 WP_243216301.1
FEF30_RS03250 WP_011206384.1
FEF30_RS03255 WP_011206385.1
FEF30_RS03260 WP_044272575.1
FEF30_RS03265 WP_225972996.1
FEF30_RS03270 WP_044272578.1
FEF30_RS03275 WP_044272582.1
FEF30_RS03280 WP_011290340.1
FEF30_RS03285 WP_135619026.1
FEF30_RS03290 WP_020835845.1
FEF30_RS03295 WP_228366107.1
FEF30_RS03300 WP_011290343.1
FEF30_RS04385 WP_011284289.1
FEF30_RS03310 WP_011284290.1
FEF30_RS03315 WP_243216302.1
FEF30_RS03320 WP_011290347.1
FEF30_RS03325 WP_020835851.1
FEF30_RS03330 WP_243216303.1
FEF30_RS03335 WP_135619036.1
FEF30_RS03340 WP_243216305.1
FEF30_RS03345 WP_011290352.1
FEF30_RS03350 WP_011206405.1
FEF30_RS03355 WP_041361690.1
FEF30_RS03360 WP_011206407.1
FEF30_RS03365 WP_020835856.1
FEF30_RS03370 WP_020835857.1
FEF30_RS03375 WP_243216307.1
FEF30_RS03380 WP_020835859.1
FEF30_RS03385 WP_020835859.1
FEF30_RS04470 WP_020835859.1
FEF30_RS03395 WP_002557698.1
FEF30_RS03400 WP_011290363.1
FEF30_RS03405 WP_243216310.1
FEF30_RS03410 WP_020835862.1
FEF30_RS04475 WP_020835862.1
FEF30_RS03420 WP_011290367.1
FEF30_RS03425 WP_011206424.1
FEF30_RS03430 WP_243216312.1
FEF30_RS03435 WP_011290369.1
FEF30_RS04390 WP_228366113.1
FEF30_RS03445 WP_243216314.1
FEF30_RS03450 WP_011206429.1
FEF30_RS03455 WP_243216317.1
FEF30_RS03460 WP_011290372.1
FEF30_RS03465 WP_135619070.1
FEF30_RS03470 WP_011206433.1
FEF30_RS03475 WP_243216318.1
FEF30_RS03480 WP_011206435.1
FEF30_RS03485 WP_243216321.1
FEF30_RS03490 WP_243216323.1
FEF30_RS03495 WP_243216326.1
FEF30_RS03500 WP_233688536.1
FEF30_RS03505 WP_011206441.1
FEF30_RS03510 WP_243216329.1
FEF30_RS03515 WP_179221227.1
FEF30_RS03520 WP_160590181.1
FEF30_RS03525 WP_243216331.1
FEF30_RS04480 WP_243216331.1
FEF30_RS03535 WP_243216334.1
FEF30_RS03540 WP_243216334.1
FEF30_RS03545 WP_179695901.1
FEF30_RS03550 WP_233688544.1
FEF30_RS04395 WP_020835888.1
FEF30_RS03565 WP_160601134.1
FEF30_RS03570 WP_011206453.1
FEF30_RS03575 WP_243216335.1
FEF30_RS03580 WP_014579989.1
FEF30_RS04400 WP_243216339.1
FEF30_RS03590 WP_044284717.1
FEF30_RS03595 WP_011206458.1
FEF30_RS03605 WP_011206459.1
FEF30_RS03610 WP_044272640.1
FEF30_RS04405 WP_243216342.1
FEF30_RS03620 WP_044272644.1
FEF30_RS03625 WP_243216344.1
FEF30_RS03630 WP_243216347.1
FEF30_RS04485 WP_243216347.1
FEF30_RS04490 WP_243216347.1
FEF30_RS04495 WP_243216347.1
FEF30_RS03645 WP_243216349.1
FEF30_RS03650 WP_243216349.1
FEF30_RS03655 WP_243216349.1
FEF30_RS03660 WP_243216351.1
FEF30_RS03665 WP_243216351.1
FEF30_RS03670 WP_243216351.1
FEF30_RS03675 WP_243216353.1
