VQY17_RS00005 WP_347952339.1
VQY17_RS01615 WP_347952438.1
VQY17_RS01620 WP_347952485.1
VQY17_RS01625 WP_347952439.1
VQY17_RS01630 WP_011206141.1
VQY17_RS01635 WP_011206142.1
VQY17_RS01640 WP_347952440.1
VQY17_RS01645 WP_347952441.1
VQY17_RS01650 WP_347952442.1
VQY17_RS01655 WP_160585827.1
VQY17_RS01660 WP_347952443.1
VQY17_RS01665 WP_277620667.1
VQY17_RS01670 WP_347952444.1
VQY17_RS01675 WP_167513696.1
VQY17_RS01680 WP_347952445.1
VQY17_RS01685 WP_011290145.1
VQY17_RS01690 WP_011290145.1
VQY17_RS01695 WP_347952446.1
VQY17_RS01700 WP_347952447.1
VQY17_RS01705 WP_228366131.1
VQY17_RS01710 WP_225973034.1
VQY17_RS01715 WP_347952448.1
VQY17_RS01720 WP_347952449.1
VQY17_RS01725 WP_347952450.1
VQY17_RS01730 WP_347952451.1
VQY17_RS01735 WP_011206159.1
VQY17_RS01740 WP_020835676.1
VQY17_RS01745 WP_020835677.1
VQY17_RS01750 WP_347952452.1
VQY17_RS01755 WP_347952453.1
VQY17_RS01760 WP_347952454.1
VQY17_RS01765 WP_347952455.1
VQY17_RS01770 WP_347952456.1
VQY17_RS01775 WP_347952486.1
VQY17_RS01780 WP_347952457.1
VQY17_RS01785 WP_014579752.1
VQY17_RS01790 WP_347952458.1
VQY17_RS01795 WP_011206170.1
VQY17_RS01800 WP_347952459.1
VQY17_RS01805 WP_347952460.1
VQY17_RS01810 WP_347952461.1
VQY17_RS01815 WP_347952462.1
VQY17_RS01820 WP_044284635.1
VQY17_RS01825 WP_347952463.1
VQY17_RS01830 WP_347952464.1
VQY17_RS01835 WP_347952465.1
VQY17_RS01840 WP_347952466.1
VQY17_RS01845 WP_347952467.1
VQY17_RS01850 WP_308507017.1
VQY17_RS01855 WP_347952468.1
VQY17_RS01860 WP_347952469.1
VQY17_RS01865 WP_347952470.1
VQY17_RS01870 WP_347952471.1
VQY17_RS01875 WP_347952472.1
VQY17_RS01880 WP_160607878.1
VQY17_RS01885 WP_160585755.1
VQY17_RS01890 WP_020835697.1
VQY17_RS01895 WP_347952473.1
VQY17_RS01900 WP_308507026.1
VQY17_RS01905 WP_347952474.1
VQY17_RS01910 WP_192894277.1
VQY17_RS01915 WP_220190677.1
VQY17_RS01920 WP_347952475.1
VQY17_RS01925 WP_347952476.1
VQY17_RS01930 WP_135618818.1
VQY17_RS01935 WP_158632000.1
VQY17_RS01945 WP_160606463.1
VQY17_RS01950 WP_011284111.1
VQY17_RS01955 WP_347952477.1
VQY17_RS01960 WP_237697246.1
VQY17_RS01965 WP_258556644.1
VQY17_RS01970 WP_258555396.1
VQY17_RS01985 WP_347952478.1
VQY17_RS01990 WP_014579804.1
VQY17_RS01995 WP_011206196.1
VQY17_RS02000 WP_146379611.1
VQY17_RS02005 WP_347952479.1
VQY17_RS02010 WP_347952480.1
VQY17_RS02015 WP_011206200.1
VQY17_RS02020 WP_347952481.1
VQY17_RS02025 WP_347952482.1
VQY17_RS02030 WP_347952198.1
VQY17_RS02035 WP_347952199.1
VQY17_RS02040 WP_011290194.1
VQY17_RS02045 WP_347952200.1
VQY17_RS02050 WP_011206207.1
VQY17_RS02055 WP_160606591.1
VQY17_RS02060 WP_160606593.1
VQY17_RS02065 WP_347952201.1
VQY17_RS02070 WP_347952202.1
VQY17_RS02075 WP_347952203.1
VQY17_RS02080 WP_220191052.1
VQY17_RS02085 WP_146379601.1
VQY17_RS02090 WP_347952204.1
VQY17_RS02095 WP_011206216.1
VQY17_RS02100 WP_014579824.1
VQY17_RS02105 WP_011206218.1
VQY17_RS02110 WP_347952205.1
VQY17_RS02115 WP_347952206.1
VQY17_RS02120 WP_347952207.1
VQY17_RS02125 WP_011284142.1
VQY17_RS02130 WP_347952208.1
VQY17_RS02135 WP_011206223.1
VQY17_RS02140 WP_011206224.1
VQY17_RS02145 WP_347952209.1
VQY17_RS02150 WP_225973040.1
VQY17_RS02155 WP_347952210.1
VQY17_RS02160 WP_020835732.1
VQY17_RS02165 WP_020835733.1
VQY17_RS02170 WP_135618864.1
VQY17_RS02175 WP_347952211.1
VQY17_RS02180 WP_347952212.1
VQY17_RS02195 WP_347952213.1
VQY17_RS02200 WP_347952487.1
VQY17_RS02205 WP_011206235.1
VQY17_RS02210 WP_020835748.1
VQY17_RS02215 WP_148285449.1
VQY17_RS02220 WP_011290214.1
VQY17_RS02225 WP_011206239.1
VQY17_RS02230 WP_011284163.1
VQY17_RS02235 WP_044272490.1
VQY17_RS02240 WP_347952214.1
VQY17_RS02245 WP_014579831.1
VQY17_RS02250 WP_146379631.1
VQY17_RS02255 WP_347952215.1
VQY17_RS02260 WP_011284169.1
VQY17_RS02265 WP_192894278.1
VQY17_RS02270 WP_347952216.1
VQY17_RS02275 WP_094521693.1
VQY17_RS02280 WP_020835755.1
VQY17_RS02285 WP_347952217.1
VQY17_RS02290 WP_347952218.1
VQY17_RS02295 WP_160590303.1
VQY17_RS02300 WP_011206256.1
VQY17_RS02305 WP_347952219.1
VQY17_RS02310 WP_160585249.1
VQY17_RS02315 WP_347952220.1
VQY17_RS02320 WP_347952220.1
VQY17_RS02325 WP_347952221.1
VQY17_RS02330 WP_347952222.1
VQY17_RS02335 WP_011284183.1
VQY17_RS02340 WP_347952223.1
VQY17_RS02345 WP_347952224.1
VQY17_RS02350 WP_347952225.1
VQY17_RS02355 WP_347952226.1
VQY17_RS02360 WP_347952227.1
VQY17_RS02365 WP_347952228.1
VQY17_RS02370 WP_041361661.1
VQY17_RS02375 WP_347952229.1
VQY17_RS02380 WP_146379646.1
VQY17_RS02385 WP_347952230.1
VQY17_RS02390 WP_347952231.1
VQY17_RS02395 WP_347952232.1
VQY17_RS02400 WP_347952488.1
VQY17_RS02405 WP_347952233.1
VQY17_RS02410 WP_347952234.1
VQY17_RS02415 WP_347952235.1
VQY17_RS02420 WP_347952236.1
VQY17_RS02425 WP_020835781.1
VQY17_RS02435 WP_347952237.1
VQY17_RS02440 WP_347952489.1
VQY17_RS02445 WP_347952238.1
VQY17_RS02450 WP_014579880.1
VQY17_RS02455 WP_179221158.1
VQY17_RS02460 WP_011206289.1
VQY17_RS02465 WP_347952239.1
VQY17_RS02470 WP_347952240.1
VQY17_RS02475 WP_011206292.1
VQY17_RS02480 WP_011206293.1
VQY17_RS02495 WP_347952241.1
VQY17_RS02500 WP_347952490.1
VQY17_RS02505 WP_020835790.1
VQY17_RS02510 WP_347952242.1
VQY17_RS02515 WP_347952243.1
VQY17_RS02520 WP_011206299.1
VQY17_RS02525 WP_347952244.1
VQY17_RS02530 WP_014579890.1
VQY17_RS02535 WP_160600961.1
VQY17_RS02540 WP_347952245.1
VQY17_RS02545 WP_347952246.1
VQY17_RS02550 WP_146379663.1
VQY17_RS02555 WP_020835798.1
VQY17_RS02560 WP_044272552.1
VQY17_RS02565 WP_347952247.1
VQY17_RS02570 WP_011206309.1
VQY17_RS02575 WP_011206310.1
VQY17_RS02580 WP_011284228.1
VQY17_RS02585 WP_347952248.1
VQY17_RS02590 WP_011206313.1
VQY17_RS02595 WP_179695988.1
VQY17_RS02600 WP_011206315.1
VQY17_RS02605 WP_146379669.1
VQY17_RS02610 WP_347952249.1
VQY17_RS02615 WP_020835805.1
VQY17_RS02620 WP_044284681.1
VQY17_RS02625 WP_011206320.1
VQY17_RS02630 WP_347952250.1
VQY17_RS02635 WP_011290297.1
VQY17_RS02640 WP_347952251.1
VQY17_RS02645 WP_347952252.1
VQY17_RS02650 WP_011290300.1
VQY17_RS02655 WP_020835811.1
VQY17_RS02660 WP_347952253.1
VQY17_RS02665 WP_347952254.1
VQY17_RS02670 WP_146379677.1
VQY17_RS02675 WP_347952255.1
VQY17_RS02680 WP_347952256.1
VQY17_RS02685 WP_020835817.1
VQY17_RS02690 WP_011206334.1
VQY17_RS02695 WP_179221181.1
VQY17_RS02700 WP_347952257.1
VQY17_RS02705 WP_020835820.1
VQY17_RS02710 WP_347952258.1
VQY17_RS02715 WP_347952259.1
VQY17_RS02720 WP_011290314.1
VQY17_RS02725 WP_160585687.1
VQY17_RS02730 WP_347952260.1
VQY17_RS02735 WP_347952261.1
VQY17_RS02740 WP_011206345.1
VQY17_RS02745 WP_044284687.1
VQY17_RS02750 WP_160615699.1
VQY17_RS02755 WP_280996773.1
VQY17_RS02760 WP_020835828.1
VQY17_RS02765 WP_347952262.1
VQY17_RS02770 WP_041361798.1
VQY17_RS02775 WP_347952263.1
VQY17_RS02780 WP_258555242.1
VQY17_RS02785 WP_044272563.1
VQY17_RS02790 WP_347952264.1
VQY17_RS02795 WP_011284269.1
VQY17_RS02800 WP_011206374.1
VQY17_RS02805 WP_011206375.1
VQY17_RS02810 WP_011206376.1
VQY17_RS02815 WP_011284272.1
VQY17_RS02820 WP_347952265.1
VQY17_RS02825 WP_011290331.1
VQY17_RS02830 WP_020835837.1
VQY17_RS02835 WP_135619012.1
VQY17_RS02840 WP_347952266.1
VQY17_RS02845 WP_160584971.1
VQY17_RS02850 WP_011206384.1
VQY17_RS02855 WP_011206385.1
VQY17_RS02860 WP_020835841.1
VQY17_RS02865 WP_228365394.1
VQY17_RS02870 WP_020835843.1
VQY17_RS02875 WP_020835844.1
VQY17_RS02880 WP_011206390.1
VQY17_RS02885 WP_011206391.1
VQY17_RS02890 WP_011290341.1
VQY17_RS02895 WP_011290341.1
VQY17_RS02900 WP_347952267.1
VQY17_RS02905 WP_347952268.1
VQY17_RS02910 WP_011284289.1
VQY17_RS02915 WP_146379698.1
VQY17_RS02920 WP_347952269.1
VQY17_RS02925 WP_347952270.1
VQY17_RS02930 WP_011290347.1
VQY17_RS02935 WP_160585227.1
VQY17_RS02940 WP_160585229.1
VQY17_RS02945 WP_044284696.1
VQY17_RS02950 WP_347952271.1
VQY17_RS02955 WP_160585630.1
VQY17_RS02960 WP_135619040.1
VQY17_RS02965 WP_011206406.1
VQY17_RS02970 WP_347952272.1
VQY17_RS02975 WP_347952273.1
VQY17_RS02980 WP_347952274.1
VQY17_RS02985 WP_347952275.1
VQY17_RS02990 WP_347952276.1
VQY17_RS02995 WP_347952277.1
VQY17_RS03000 WP_347952278.1
VQY17_RS03005 WP_347952279.1
VQY17_RS03010 WP_347952280.1
VQY17_RS03015 WP_347952281.1
VQY17_RS03020 WP_347952282.1
VQY17_RS03025 WP_347952281.1
VQY17_RS03030 WP_347952282.1
VQY17_RS03035 WP_002557698.1
VQY17_RS03040 WP_020835860.1
VQY17_RS03045 WP_347952283.1
VQY17_RS03050 WP_020835862.1
VQY17_RS03055 WP_347952284.1
VQY17_RS03060 WP_146379717.1
VQY17_RS03065 WP_347952285.1
VQY17_RS03070 WP_347952286.1
VQY17_RS03075 WP_160600929.1
VQY17_RS03080 WP_228366113.1
VQY17_RS03085 WP_347952287.1
VQY17_RS03090 WP_160585645.1
VQY17_RS03095 WP_160585644.1
VQY17_RS03100 WP_011290372.1
VQY17_RS03105 WP_011206432.1
VQY17_RS03110 WP_011206433.1
VQY17_RS03115 WP_020835872.1
VQY17_RS03120 WP_011206435.1
VQY17_RS03125 WP_187145658.1
VQY17_RS03130 WP_347952288.1
VQY17_RS03135 WP_347952289.1
VQY17_RS03140 WP_347952290.1
VQY17_RS03145 WP_044272620.1
VQY17_RS03150 WP_160585640.1
VQY17_RS03155 WP_160585639.1
VQY17_RS03160 WP_160585638.1
VQY17_RS03165 WP_347952291.1
VQY17_RS03170 WP_347952292.1
VQY17_RS03175 WP_347952293.1
VQY17_RS03180 WP_347952294.1
VQY17_RS03185 WP_347952295.1
VQY17_RS03190 WP_347952296.1
VQY17_RS03195 WP_347952297.1
VQY17_RS03200 WP_347952297.1
VQY17_RS03210 WP_020835888.1
VQY17_RS03215 WP_020835889.1
VQY17_RS03220 WP_011206453.1
VQY17_RS03225 WP_041361699.1
VQY17_RS03230 WP_020835892.1
VQY17_RS03235 WP_347952298.1
VQY17_RS03240 WP_011206457.1
VQY17_RS03245 WP_011206458.1
VQY17_RS03255 WP_011206459.1
VQY17_RS03260 WP_347952299.1
VQY17_RS03265 WP_347952300.1
VQY17_RS03270 WP_347952301.1
VQY17_RS03275 WP_258555699.1
VQY17_RS03280 WP_347952302.1
VQY17_RS03285 WP_347952303.1
VQY17_RS03290 WP_347952304.1
VQY17_RS03295 WP_011290399.1
VQY17_RS03300 WP_146379742.1
VQY17_RS03305 WP_011290401.1
VQY17_RS03310 WP_011206469.1
VQY17_RS03315 WP_347952305.1
VQY17_RS03320 WP_347952306.1
VQY17_RS03325 WP_347952307.1
VQY17_RS03330 WP_347952308.1
VQY17_RS03335 WP_347952309.1
VQY17_RS03340 WP_347952310.1
VQY17_RS03345 WP_160584917.1
VQY17_RS03350 WP_160585589.1
VQY17_RS03355 WP_347952311.1
VQY17_RS03360 WP_347952311.1
VQY17_RS03365 WP_347952312.1
VQY17_RS03370 WP_347952313.1
VQY17_RS03375 WP_014580009.1
VQY17_RS03380 WP_347952314.1
VQY17_RS03385 WP_237697222.1
VQY17_RS03390 WP_347952315.1
VQY17_RS03400 WP_011206488.1
VQY17_RS03405 WP_232039558.1
VQY17_RS03410 WP_014580012.1
VQY17_RS03415 WP_094521520.1
VQY17_RS03420 WP_011290418.1
VQY17_RS03425 WP_347952316.1
VQY17_RS03430 WP_011206493.1
VQY17_RS03435 WP_347952317.1
VQY17_RS03440 WP_347952318.1
VQY17_RS03445 WP_347952319.1
VQY17_RS03450 WP_011290421.1
VQY17_RS03455 WP_228366117.1
VQY17_RS03460 WP_347952320.1
VQY17_RS03465 WP_347952321.1
VQY17_RS03470 WP_160588173.1
VQY17_RS03480 WP_011206502.1
VQY17_RS03485 WP_146379758.1
VQY17_RS03490 WP_160588152.1
VQY17_RS03495 WP_347952322.1
VQY17_RS03500 WP_160588156.1
VQY17_RS03505 WP_041361711.1
VQY17_RS03510 WP_347952323.1
VQY17_RS03515 WP_347952324.1
VQY17_RS03520 WP_011206510.1
VQY17_RS03525 WP_347952325.1
VQY17_RS03530 WP_347952326.1
VQY17_RS03535 WP_347952327.1
VQY17_RS03540 WP_347952328.1
VQY17_RS03545 WP_347952329.1
VQY17_RS03550 WP_347952330.1
VQY17_RS03555 WP_347952331.1
VQY17_RS03570 WP_347952332.1
VQY17_RS03575 WP_011284387.1
VQY17_RS03580 WP_160606495.1
VQY17_RS03585 WP_160588098.1
VQY17_RS03590 WP_347952333.1
VQY17_RS03595 WP_347952334.1
VQY17_RS03600 WP_347952335.1
VQY17_RS03605 WP_347952336.1
VQY17_RS03610 WP_347952337.1
VQY17_RS03615 WP_347952338.1
VQY17_RS03620 WP_011206529.1
