EHI52_RS00005 WP_044272251.1
EHI52_RS00730 WP_146379499.1
EHI52_RS00735 WP_011283930.1
EHI52_RS00740 WP_011206086.1
EHI52_RS00745 WP_146379500.1
EHI52_RS00755 WP_146379501.1
EHI52_RS00760 WP_020835576.1
EHI52_RS00765 WP_011283934.1
EHI52_RS00775 WP_192894285.1
EHI52_RS00780 WP_146379503.1
EHI52_RS00785 WP_135618573.1
EHI52_RS00790 WP_146379504.1
EHI52_RS00795 WP_146379505.1
EHI52_RS00800 WP_146379506.1
EHI52_RS00805 WP_225973015.1
EHI52_RS00815 WP_044272343.1
EHI52_RS00820 WP_146379507.1
EHI52_RS00825 WP_011206072.1
EHI52_RS00830 WP_146379508.1
EHI52_RS00835 WP_146379509.1
EHI52_RS03650 WP_192894286.1
EHI52_RS00845 WP_146379510.1
EHI52_RS00850 WP_146379511.1
EHI52_RS00855 WP_135618589.1
EHI52_RS00860 WP_044277967.1
EHI52_RS00865 WP_011206064.1
EHI52_RS00870 WP_094521594.1
EHI52_RS00875 WP_011290046.1
EHI52_RS00880 WP_011206061.1
EHI52_RS00885 WP_225973016.1
EHI52_RS00890 WP_146379512.1
EHI52_RS00895 WP_146379513.1
EHI52_RS00900 WP_044284596.1
EHI52_RS00905 WP_225973017.1
EHI52_RS00910 WP_146379514.1
EHI52_RS00915 WP_011206054.1
EHI52_RS00920 WP_044272348.1
EHI52_RS00925 WP_146379515.1
EHI52_RS03720 WP_225973018.1
EHI52_RS03725 WP_225973019.1
EHI52_RS00935 WP_135618608.1
EHI52_RS03730 WP_225973020.1
EHI52_RS03735 WP_220190648.1
EHI52_RS00945 WP_220190648.1
EHI52_RS00950 WP_146379516.1
EHI52_RS03740 WP_225973021.1
EHI52_RS03745 WP_225973022.1
EHI52_RS00960 WP_146379517.1
EHI52_RS00965 WP_225973043.1
EHI52_RS03750 WP_225973023.1
EHI52_RS00970 WP_225973044.1
EHI52_RS03755 WP_225973024.1
EHI52_RS03760 WP_225973025.1
EHI52_RS00975 WP_225973026.1
EHI52_RS00980 WP_146379518.1
EHI52_RS00985 WP_002557993.1
EHI52_RS00990 WP_002557992.1
EHI52_RS00995 WP_002557992.1
EHI52_RS01000 WP_146379519.1
EHI52_RS01005 WP_011290054.1
EHI52_RS01010 WP_011206049.1
EHI52_RS01015 WP_011206048.1
EHI52_RS01020 WP_011283963.1
EHI52_RS01025 WP_011206047.1
EHI52_RS01030 WP_011290055.1
EHI52_RS01035 WP_014579616.1
EHI52_RS01040 WP_146379520.1
EHI52_RS01045 WP_020835590.1
EHI52_RS01050 WP_011290058.1
EHI52_RS01055 WP_011206041.1
EHI52_RS01060 WP_020835592.1
EHI52_RS01065 WP_011206039.1
EHI52_RS01070 WP_011206038.1
EHI52_RS01075 WP_041361589.1
EHI52_RS01080 WP_011206036.1
EHI52_RS01085 WP_011206035.1
EHI52_RS01090 WP_146379521.1
EHI52_RS01095 WP_146379522.1
EHI52_RS01100 WP_011206032.1
EHI52_RS01105 WP_011290064.1
EHI52_RS03905 WP_041361593.1
EHI52_RS01115 WP_011206028.1
EHI52_RS01120 WP_014579605.1
EHI52_RS01125 WP_146379523.1
EHI52_RS01130 WP_011206025.1
EHI52_RS01135 WP_146379524.1
EHI52_RS01140 WP_014579601.1
EHI52_RS01145 WP_220190741.1
EHI52_RS01150 WP_146379525.1
EHI52_RS01155 WP_146379526.1
EHI52_RS01160 WP_146379527.1
EHI52_RS01165 WP_146379528.1
EHI52_RS01170 WP_146379529.1
EHI52_RS01175 WP_011206016.1
EHI52_RS01180 WP_146379530.1
EHI52_RS01185 WP_011206014.1
EHI52_RS01190 WP_146379531.1
EHI52_RS01195 WP_146379532.1
EHI52_RS01200 WP_146379533.1
EHI52_RS01205 WP_146379534.1
EHI52_RS01210 WP_146379535.1
EHI52_RS01215 WP_146379536.1
EHI52_RS01220 WP_146379537.1
EHI52_RS01230 WP_011206006.1
EHI52_RS01235 WP_011206005.1
EHI52_RS01240 WP_146379538.1
EHI52_RS01245 WP_044272373.1
EHI52_RS01250 WP_146379539.1
EHI52_RS01255 WP_044272377.1
EHI52_RS03655 WP_192894287.1
EHI52_RS01265 WP_146379540.1
EHI52_RS01270 WP_094521610.1
EHI52_RS01275 WP_146379541.1
EHI52_RS03630 WP_158209054.1
EHI52_RS01280 WP_146379779.1
EHI52_RS01285 WP_146379542.1
EHI52_RS01290 WP_146379780.1
EHI52_RS01295 WP_020835624.1
EHI52_RS01300 WP_146379543.1
EHI52_RS01305 WP_146379544.1
EHI52_RS01310 WP_135618664.1
EHI52_RS01315 WP_014579703.1
EHI52_RS03765 WP_225973028.1
EHI52_RS01325 WP_146379545.1
EHI52_RS01330 WP_146379546.1
EHI52_RS01335 WP_146379547.1
EHI52_RS01345 WP_225973029.1
EHI52_RS03770 WP_014579710.1
EHI52_RS01355 WP_146379548.1
EHI52_RS01360 WP_146379549.1
EHI52_RS01365 WP_146379550.1
EHI52_RS01370 WP_014579714.1
EHI52_RS01375 WP_146379551.1
EHI52_RS01380 WP_146379552.1
EHI52_RS01385 WP_146379553.1
EHI52_RS01390 WP_146379554.1
EHI52_RS01395 WP_011205969.1
EHI52_RS01400 WP_011290108.1
EHI52_RS01405 WP_135618686.1
EHI52_RS01410 WP_020835639.1
EHI52_RS01415 WP_011205965.1
EHI52_RS01420 WP_011284027.1
EHI52_RS01425 WP_192894288.1
EHI52_RS01430 WP_011205962.1
EHI52_RS01435 WP_146379556.1
EHI52_RS01440 WP_020835642.1
EHI52_RS01445 WP_146379557.1
EHI52_RS01450 WP_020835643.1
EHI52_RS01455 WP_146379558.1
EHI52_RS01460 WP_020835645.1
EHI52_RS01465 WP_011205955.1
EHI52_RS01470 WP_011205954.1
EHI52_RS01475 WP_011205953.1
EHI52_RS01480 WP_011205952.1
EHI52_RS01485 WP_146379559.1
EHI52_RS01490 WP_146379560.1
EHI52_RS01495 WP_146379561.1
EHI52_RS01500 WP_146379562.1
EHI52_RS01505 WP_233417364.1
EHI52_RS01510 WP_146379563.1
EHI52_RS01515 WP_146379564.1
EHI52_RS01520 WP_014579732.1
EHI52_RS01525 WP_146379565.1
EHI52_RS01530 WP_011284046.1
EHI52_RS01560 WP_146379566.1
EHI52_RS01565 WP_014579735.1
EHI52_RS01570 WP_146379567.1
EHI52_RS01575 WP_135618714.1
EHI52_RS01580 WP_146379568.1
EHI52_RS01585 WP_020835656.1
EHI52_RS01590 WP_011290131.1
EHI52_RS01595 WP_020835657.1
EHI52_RS01600 WP_011284055.1
EHI52_RS01605 WP_011284056.1
EHI52_RS01610 WP_011205932.1
EHI52_RS01615 WP_011205931.1
EHI52_RS01620 WP_225973030.1
EHI52_RS01625 WP_225973030.1
EHI52_RS01630 WP_135618726.1
EHI52_RS01635 WP_240536496.1
EHI52_RS01640 WP_225973046.1
EHI52_RS01645 WP_020835661.1
EHI52_RS01650 WP_146379570.1
EHI52_RS01655 WP_011206141.1
EHI52_RS01660 WP_011290137.1
EHI52_RS01665 WP_146379571.1
EHI52_RS01675 WP_146379572.1
EHI52_RS01680 WP_225973032.1
EHI52_RS01685 WP_011284067.1
EHI52_RS01690 WP_146379573.1
EHI52_RS03775 WP_225973033.1
EHI52_RS01700 WP_192894289.1
EHI52_RS01705 WP_011290145.1
EHI52_RS01710 WP_011290145.1
EHI52_RS01715 WP_146379575.1
EHI52_RS01720 WP_146379576.1
EHI52_RS01725 WP_146379577.1
EHI52_RS03910 WP_225973034.1
EHI52_RS01735 WP_146379578.1
EHI52_RS01740 WP_011290150.1
EHI52_RS01745 WP_146379579.1
EHI52_RS01750 WP_135618777.1
EHI52_RS01755 WP_011206161.1
EHI52_RS01760 WP_225973035.1
EHI52_RS01765 WP_146379580.1
EHI52_RS01770 WP_146379581.1
EHI52_RS01775 WP_146379582.1
EHI52_RS01780 WP_146379583.1
EHI52_RS01785 WP_146379584.1
EHI52_RS01790 WP_192894290.1
EHI52_RS01795 WP_011206170.1
EHI52_RS01800 WP_225973036.1
EHI52_RS01810 WP_146379586.1
EHI52_RS03875 WP_275087581.1
EHI52_RS01820 WP_146379587.1
EHI52_RS01825 WP_318026087.1
EHI52_RS03780 WP_225973037.1
EHI52_RS01840 WP_146379588.1
EHI52_RS01845 WP_011290212.1
EHI52_RS01850 WP_146379589.1
EHI52_RS01855 WP_146379590.1
EHI52_RS01860 WP_020835732.1
EHI52_RS01865 WP_146379591.1
EHI52_RS01870 WP_225973040.1
EHI52_RS01875 WP_146379593.1
EHI52_RS01880 WP_146379594.1
EHI52_RS01885 WP_146379595.1
EHI52_RS01890 WP_011284142.1
EHI52_RS01895 WP_146379596.1
EHI52_RS01900 WP_146379597.1
EHI52_RS01905 WP_146379598.1
EHI52_RS03665 WP_011206218.1
EHI52_RS01910 WP_014579824.1
EHI52_RS01915 WP_146379599.1
EHI52_RS01920 WP_146379600.1
EHI52_RS01925 WP_146379601.1
EHI52_RS01930 WP_225973041.1
EHI52_RS01935 WP_220200854.1
EHI52_RS01940 WP_014579818.1
EHI52_RS01945 WP_225973042.1
EHI52_RS01950 WP_011290197.1
EHI52_RS01955 WP_146379604.1
EHI52_RS01960 WP_011206207.1
EHI52_RS01965 WP_146379605.1
EHI52_RS01970 WP_146379606.1
EHI52_RS01975 WP_011290193.1
EHI52_RS01980 WP_146379607.1
EHI52_RS01985 WP_146379608.1
EHI52_RS01990 WP_225972964.1
EHI52_RS01995 WP_011206200.1
EHI52_RS02000 WP_146379609.1
EHI52_RS02005 WP_146379610.1
EHI52_RS02010 WP_146379611.1
EHI52_RS02015 WP_011206196.1
EHI52_RS02020 WP_014579804.1
EHI52_RS02030 WP_011206194.1
EHI52_RS02045 WP_225972965.1
EHI52_RS03785 WP_225972966.1
EHI52_RS02055 WP_225972967.1
EHI52_RS03790 WP_225972968.1
EHI52_RS03915 WP_240536501.1
EHI52_RS02070 WP_146379612.1
EHI52_RS03635 WP_158632000.1
EHI52_RS02075 WP_146379613.1
EHI52_RS02080 WP_225972969.1
EHI52_RS02085 WP_146379615.1
EHI52_RS02090 WP_014579793.1
EHI52_RS03640 WP_158520147.1
EHI52_RS03670 WP_192894277.1
EHI52_RS03800 WP_225972970.1
EHI52_RS02105 WP_225972971.1
EHI52_RS02110 WP_146379616.1
EHI52_RS02115 WP_146379617.1
EHI52_RS02120 WP_146379618.1
EHI52_RS02125 WP_011284100.1
EHI52_RS02130 WP_020835695.1
EHI52_RS02135 WP_146379619.1
EHI52_RS02140 WP_146379620.1
EHI52_RS02145 WP_146379621.1
EHI52_RS03870 WP_041361634.1
EHI52_RS03920 WP_236607974.1
EHI52_RS02160 WP_014579783.1
EHI52_RS02170 WP_146379623.1
EHI52_RS02175 WP_146379624.1
EHI52_RS02180 WP_225972972.1
EHI52_RS02185 WP_225972972.1
EHI52_RS02190 WP_094521655.1
EHI52_RS02195 WP_094521655.1
EHI52_RS02200 WP_146379625.1
EHI52_RS03810 WP_146379625.1
EHI52_RS03645 WP_158632001.1
EHI52_RS02210 WP_011284103.1
EHI52_RS02215 WP_225972974.1
EHI52_RS02220 WP_146379626.1
EHI52_RS02225 WP_146379627.1
EHI52_RS02230 WP_011206239.1
EHI52_RS02235 WP_146379628.1
EHI52_RS02240 WP_146379629.1
EHI52_RS02245 WP_146379630.1
EHI52_RS02250 WP_014579831.1
EHI52_RS02255 WP_146379631.1
EHI52_RS02260 WP_011290219.1
EHI52_RS02265 WP_011284169.1
EHI52_RS02270 WP_192894278.1
EHI52_RS02275 WP_146379632.1
EHI52_RS02280 WP_094521693.1
EHI52_RS02285 WP_146379633.1
EHI52_RS02290 WP_225972976.1
EHI52_RS02295 WP_146379635.1
EHI52_RS02300 WP_146379636.1
EHI52_RS02305 WP_146379637.1
EHI52_RS02310 WP_146379638.1
EHI52_RS02315 WP_011290228.1
EHI52_RS02320 WP_011290229.1
EHI52_RS02325 WP_225973050.1
EHI52_RS03815 WP_225972977.1
EHI52_RS02330 WP_225972978.1
EHI52_RS02335 WP_011290245.1
EHI52_RS02340 WP_146379639.1
EHI52_RS02350 WP_225972979.1
EHI52_RS02355 WP_146379640.1
EHI52_RS02360 WP_146379641.1
EHI52_RS02365 WP_225972980.1
EHI52_RS02370 WP_146379643.1
EHI52_RS02375 WP_146379644.1
EHI52_RS02380 WP_225972981.1
EHI52_RS02385 WP_146379646.1
EHI52_RS02390 WP_225972982.1
EHI52_RS02395 WP_146379648.1
EHI52_RS02400 WP_146379649.1
EHI52_RS02405 WP_225972983.1
EHI52_RS02410 WP_225972984.1
EHI52_RS03820 WP_225972985.1
EHI52_RS03825 WP_225972986.1
EHI52_RS02420 WP_146379651.1
EHI52_RS02425 WP_146379652.1
EHI52_RS02430 WP_020835781.1
EHI52_RS02440 WP_044272529.1
EHI52_RS02445 WP_044272532.1
EHI52_RS02450 WP_146379653.1
EHI52_RS02455 WP_146379654.1
EHI52_RS02460 WP_179221158.1
EHI52_RS03925 WP_011206289.1
EHI52_RS02470 WP_041361671.1
EHI52_RS02475 WP_146379656.1
EHI52_RS02480 WP_146379657.1
EHI52_RS02485 WP_011206293.1
EHI52_RS03880 WP_258555362.1
EHI52_RS02500 WP_225972988.1
EHI52_RS03830 WP_225972989.1
EHI52_RS02510 WP_146379658.1
EHI52_RS02515 WP_146379659.1
EHI52_RS02520 WP_146379660.1
EHI52_RS02525 WP_146379661.1
EHI52_RS02530 WP_020835793.1
EHI52_RS02535 WP_014579890.1
EHI52_RS02540 WP_011290282.1
EHI52_RS02545 WP_044272549.1
EHI52_RS02550 WP_146379662.1
EHI52_RS02555 WP_146379663.1
EHI52_RS02560 WP_146379664.1
EHI52_RS02565 WP_041361673.1
EHI52_RS02570 WP_146379665.1
EHI52_RS02575 WP_011206309.1
EHI52_RS02580 WP_146379666.1
EHI52_RS02585 WP_011284228.1
EHI52_RS02590 WP_146379667.1
EHI52_RS02595 WP_146379668.1
EHI52_RS03675 WP_192894279.1
EHI52_RS02605 WP_011206315.1
EHI52_RS02610 WP_146379669.1
EHI52_RS02615 WP_135618962.1
EHI52_RS02620 WP_020835805.1
EHI52_RS02625 WP_146379670.1
EHI52_RS02630 WP_011206320.1
EHI52_RS02635 WP_146379671.1
EHI52_RS02640 WP_146379672.1
EHI52_RS02645 WP_094521725.1
EHI52_RS02650 WP_146379673.1
EHI52_RS02655 WP_011290300.1
EHI52_RS02660 WP_146379674.1
EHI52_RS02665 WP_146379675.1
EHI52_RS02670 WP_146379676.1
EHI52_RS02675 WP_146379677.1
EHI52_RS02680 WP_146379678.1
EHI52_RS02685 WP_146379679.1
EHI52_RS03885 WP_146379680.1
EHI52_RS02695 WP_020835817.1
EHI52_RS02700 WP_011206334.1
EHI52_RS02705 WP_011206335.1
EHI52_RS02710 WP_146379681.1
EHI52_RS02715 WP_020835820.1
EHI52_RS02720 WP_146379682.1
EHI52_RS02725 WP_011290313.1
EHI52_RS02730 WP_011290314.1
EHI52_RS02735 WP_146379683.1
EHI52_RS02740 WP_225972991.1
EHI52_RS02745 WP_225972992.1
EHI52_RS02750 WP_146379684.1
EHI52_RS02755 WP_011206345.1
EHI52_RS02760 WP_135618990.1
EHI52_RS02765 WP_146379685.1
EHI52_RS02770 WP_020835827.1
EHI52_RS02775 WP_020835828.1
EHI52_RS02780 WP_225972993.1
EHI52_RS03845 WP_225972994.1
EHI52_RS02790 WP_225972995.1
EHI52_RS03890 WP_258555422.1
EHI52_RS02795 WP_146379686.1
EHI52_RS02800 WP_146379687.1
EHI52_RS02805 WP_011206373.1
EHI52_RS02810 WP_146379688.1
EHI52_RS02815 WP_011206375.1
EHI52_RS02820 WP_135619006.1
EHI52_RS02825 WP_146379689.1
EHI52_RS02830 WP_146379690.1
EHI52_RS02835 WP_011290331.1
EHI52_RS02840 WP_020835837.1
EHI52_RS02845 WP_135619012.1
EHI52_RS02850 WP_146379691.1
EHI52_RS02855 WP_020835840.1
EHI52_RS02860 WP_011206384.1
EHI52_RS02865 WP_146379692.1
EHI52_RS02870 WP_020835841.1
EHI52_RS02875 WP_225972996.1
EHI52_RS02880 WP_146379693.1
EHI52_RS02885 WP_146379694.1
EHI52_RS02890 WP_146379695.1
EHI52_RS02895 WP_011206391.1
EHI52_RS02900 WP_146379696.1
EHI52_RS03850 WP_225972997.1
EHI52_RS02915 WP_146379697.1
EHI52_RS02920 WP_011284289.1
EHI52_RS02925 WP_146379698.1
EHI52_RS02930 WP_146379699.1
EHI52_RS02935 WP_146379700.1
EHI52_RS02940 WP_020835851.1
EHI52_RS02945 WP_146379701.1
EHI52_RS02950 WP_044272588.1
EHI52_RS02955 WP_146379702.1
EHI52_RS02960 WP_146379703.1
EHI52_RS02965 WP_146379704.1
EHI52_RS02970 WP_146379705.1
EHI52_RS02975 WP_146379706.1
EHI52_RS02980 WP_146379707.1
EHI52_RS02985 WP_011284299.1
EHI52_RS02995 WP_044272591.1
EHI52_RS03000 WP_146379708.1
EHI52_RS03010 WP_225972998.1
EHI52_RS03855 WP_146379709.1
EHI52_RS03025 WP_225972999.1
EHI52_RS03860 WP_146379710.1
EHI52_RS03045 WP_225973000.1
EHI52_RS03865 WP_146379712.1
EHI52_RS03055 WP_094521497.1
EHI52_RS03060 WP_146379713.1
EHI52_RS03065 WP_146379714.1
EHI52_RS03070 WP_146379715.1
EHI52_RS03075 WP_146379716.1
EHI52_RS03080 WP_192894280.1
EHI52_RS03085 WP_146379717.1
EHI52_RS03095 WP_011206424.1
EHI52_RS03100 WP_011284312.1
EHI52_RS03105 WP_146379719.1
EHI52_RS03110 WP_011206427.1
EHI52_RS03115 WP_146379720.1
EHI52_RS03120 WP_146379721.1
EHI52_RS03125 WP_146379722.1
EHI52_RS03130 WP_011290372.1
EHI52_RS03135 WP_135619070.1
EHI52_RS03140 WP_011206433.1
EHI52_RS03145 WP_020835872.1
EHI52_RS03150 WP_011206435.1
EHI52_RS03155 WP_192894281.1
EHI52_RS03160 WP_146379724.1
EHI52_RS03695 WP_179221224.1
EHI52_RS03170 WP_146379725.1
EHI52_RS03175 WP_146379726.1
EHI52_RS03180 WP_044272620.1
EHI52_RS03185 WP_146379727.1
EHI52_RS03190 WP_020835880.1
EHI52_RS03195 WP_081642895.1
EHI52_RS03200 WP_081642900.1
EHI52_RS03205 WP_146379728.1
EHI52_RS03210 WP_020835883.1
EHI52_RS03215 WP_146379729.1
EHI52_RS03220 WP_146379730.1
EHI52_RS03225 WP_020835887.1
EHI52_RS03235 WP_020835888.1
EHI52_RS03240 WP_044272637.1
EHI52_RS03245 WP_011206453.1
EHI52_RS03250 WP_146379731.1
EHI52_RS03255 WP_146379732.1
EHI52_RS03260 WP_146379733.1
EHI52_RS03265 WP_146379734.1
EHI52_RS03270 WP_011206458.1
EHI52_RS03280 WP_011206459.1
EHI52_RS03285 WP_146379735.1
EHI52_RS03290 WP_146379736.1
EHI52_RS03295 WP_146379737.1
EHI52_RS03300 WP_146379738.1
EHI52_RS03305 WP_146379739.1
EHI52_RS03310 WP_146379740.1
EHI52_RS03315 WP_146379741.1
EHI52_RS03320 WP_146379742.1
EHI52_RS03325 WP_146379743.1
EHI52_RS03330 WP_011206469.1
EHI52_RS03335 WP_146379744.1
EHI52_RS03340 WP_146379745.1
EHI52_RS03345 WP_146379746.1
EHI52_RS03350 WP_044272656.1
EHI52_RS03355 WP_146379747.1
EHI52_RS03360 WP_146379748.1
EHI52_RS03365 WP_146379749.1
EHI52_RS03370 WP_011290413.1
EHI52_RS03375 WP_011206484.1
EHI52_RS03380 WP_014580009.1
EHI52_RS03385 WP_146379750.1
EHI52_RS03390 WP_011206487.1
EHI52_RS03400 WP_011206488.1
EHI52_RS03405 WP_041361706.1
EHI52_RS03410 WP_014580012.1
EHI52_RS03415 WP_094521520.1
EHI52_RS03420 WP_011290418.1
EHI52_RS03425 WP_146379751.1
EHI52_RS03430 WP_146379752.1
EHI52_RS03435 WP_011206494.1
EHI52_RS03440 WP_146379753.1
EHI52_RS03445 WP_011290421.1
EHI52_RS03450 WP_225973001.1
EHI52_RS03455 WP_011290423.1
EHI52_RS03460 WP_192894282.1
EHI52_RS03465 WP_146379756.1
EHI52_RS03475 WP_146379757.1
EHI52_RS03480 WP_146379758.1
EHI52_RS03485 WP_020835915.1
EHI52_RS03490 WP_146379759.1
EHI52_RS03495 WP_020835917.1
EHI52_RS03500 WP_041361711.1
EHI52_RS03505 WP_146379760.1
EHI52_RS03510 WP_146379761.1
EHI52_RS03515 WP_011206510.1
EHI52_RS03520 WP_146379762.1
EHI52_RS03525 WP_146379763.1
EHI52_RS03530 WP_146379764.1
EHI52_RS03535 WP_146379492.1
EHI52_RS03895 WP_275087579.1
EHI52_RS03540 WP_146379765.1
EHI52_RS03545 WP_146379766.1
EHI52_RS03550 WP_146379767.1
EHI52_RS03555 WP_192894283.1
EHI52_RS03570 WP_011290440.1
EHI52_RS03575 WP_011284387.1
EHI52_RS03580 WP_146379768.1
EHI52_RS03585 WP_011290443.1
EHI52_RS03590 WP_146379769.1
EHI52_RS03595 WP_146379770.1
EHI52_RS03600 WP_146379771.1
EHI52_RS03605 WP_146379772.1
EHI52_RS03610 WP_146379773.1
EHI52_RS03615 WP_011284394.1
EHI52_RS03620 WP_011206529.1
