B5M19_RS00005 WP_088764574.1
B5M19_RS00650 WP_228365425.1
B5M19_RS04070 WP_228365426.1
B5M19_RS03885 WP_052293597.1
B5M19_RS04075 WP_014579793.1
B5M19_RS00670 WP_014579794.1
B5M19_RS00675 WP_228365427.1
B5M19_RS00680 WP_014579796.1
B5M19_RS00685 WP_014579797.1
B5M19_RS03820 WP_143826160.1
B5M19_RS00700 WP_014579799.1
B5M19_RS04570 WP_258555395.1
B5M19_RS04575 WP_258556645.1
B5M19_RS00725 WP_011206194.1
B5M19_RS00735 WP_014579804.1
B5M19_RS00740 WP_014579805.1
B5M19_RS00745 WP_011206197.1
B5M19_RS00750 WP_014579806.1
B5M19_RS00755 WP_014579807.1
B5M19_RS00760 WP_014579808.1
B5M19_RS00765 WP_014579809.1
B5M19_RS00770 WP_252862134.1
B5M19_RS04080 WP_088764586.1
B5M19_RS00780 WP_014579810.1
B5M19_RS00785 WP_014579811.1
B5M19_RS00790 WP_014579812.1
B5M19_RS00795 WP_014579813.1
B5M19_RS00800 WP_088764587.1
B5M19_RS00805 WP_014579815.1
B5M19_RS00810 WP_014579816.1
B5M19_RS00815 WP_228365379.1
B5M19_RS00820 WP_014579818.1
B5M19_RS00825 WP_228365380.1
B5M19_RS00830 WP_233417346.1
B5M19_RS00835 WP_014579821.1
B5M19_RS00840 WP_014579822.1
B5M19_RS00845 WP_014579823.1
B5M19_RS00850 WP_014579824.1
B5M19_RS03895 WP_011206218.1
B5M19_RS00855 WP_088764588.1
B5M19_RS00860 WP_011206335.1
B5M19_RS00865 WP_252862135.1
B5M19_RS00870 WP_011206333.1
B5M19_RS04580 WP_014579917.1
B5M19_RS00880 WP_014579916.1
B5M19_RS00885 WP_014579915.1
B5M19_RS00890 WP_014579914.1
B5M19_RS00895 WP_088764589.1
B5M19_RS00900 WP_252862136.1
B5M19_RS04095 WP_252862137.1
B5M19_RS04100 WP_252862137.1
B5M19_RS04105 WP_252862138.1
B5M19_RS00905 WP_014579911.1
B5M19_RS00910 WP_011290300.1
B5M19_RS04110 WP_044278027.1
B5M19_RS00915 WP_014579910.1
B5M19_RS04115 WP_014579909.1
B5M19_RS00925 WP_014579908.1
B5M19_RS04120 WP_014579908.1
B5M19_RS00930 WP_252862139.1
B5M19_RS00935 WP_011206320.1
B5M19_RS00940 WP_014579905.1
B5M19_RS00945 WP_014579904.1
B5M19_RS00950 WP_014579903.1
B5M19_RS00955 WP_014579902.1
B5M19_RS00960 WP_014579901.1
B5M19_RS03900 WP_179695988.1
B5M19_RS00970 WP_011206313.1
B5M19_RS00975 WP_016340234.1
B5M19_RS04125 WP_016340234.1
B5M19_RS00980 WP_014579898.1
B5M19_RS00985 WP_252862140.1
B5M19_RS04130 WP_252862140.1
B5M19_RS00990 WP_044278026.1
B5M19_RS00995 WP_014579895.1
B5M19_RS01000 WP_014579894.1
B5M19_RS01005 WP_014579893.1
B5M19_RS01010 WP_011206305.1
B5M19_RS01015 WP_014579892.1
B5M19_RS01020 WP_014579891.1
B5M19_RS01025 WP_011206302.1
B5M19_RS01030 WP_014579890.1
B5M19_RS04135 WP_318025241.1
B5M19_RS01035 WP_252862141.1
B5M19_RS01040 WP_011284218.1
B5M19_RS01045 WP_011206298.1
B5M19_RS01050 WP_011206297.1
B5M19_RS01055 WP_014579888.1
B5M19_RS01060 WP_014579737.1
B5M19_RS01065 WP_014579736.1
B5M19_RS01070 WP_014579735.1
B5M19_RS01075 WP_252862142.1
B5M19_RS01100 WP_088764591.1
B5M19_RS01105 WP_014579733.1
B5M19_RS01110 WP_014579732.1
B5M19_RS01115 WP_014579731.1
B5M19_RS01120 WP_014579730.1
B5M19_RS01125 WP_088764590.1
B5M19_RS01135 WP_011284040.1
B5M19_RS01140 WP_014579728.1
B5M19_RS01145 WP_011290120.1
B5M19_RS01150 WP_252862143.1
B5M19_RS04140 WP_252862143.1
B5M19_RS01155 WP_011205952.1
B5M19_RS01160 WP_014579726.1
B5M19_RS01165 WP_011205954.1
B5M19_RS01170 WP_011205955.1
B5M19_RS01175 WP_011205956.1
B5M19_RS01180 WP_011205957.1
B5M19_RS01185 WP_014579725.1
B5M19_RS01190 WP_011290114.1
B5M19_RS01195 WP_014579724.1
B5M19_RS01200 WP_014579723.1
B5M19_RS01205 WP_011205962.1
B5M19_RS01210 WP_044284614.1
B5M19_RS01215 WP_011284027.1
B5M19_RS01220 WP_011205965.1
B5M19_RS01225 WP_014579721.1
B5M19_RS01230 WP_044277984.1
B5M19_RS01235 WP_011284023.1
B5M19_RS01240 WP_011205969.1
B5M19_RS01245 WP_014579718.1
B5M19_RS04145 WP_014579718.1
B5M19_RS04150 WP_252862144.1
B5M19_RS01255 WP_014579716.1
B5M19_RS01265 WP_252862145.1
B5M19_RS01270 WP_011206408.1
B5M19_RS01275 WP_011206407.1
B5M19_RS01280 WP_014579956.1
B5M19_RS01285 WP_011206405.1
B5M19_RS01290 WP_014579955.1
B5M19_RS04155 WP_290124225.1
B5M19_RS04160 WP_290124226.1
B5M19_RS01300 WP_011206402.1
B5M19_RS01305 WP_252862146.1
B5M19_RS04165 WP_252862146.1
B5M19_RS01310 WP_011206400.1
B5M19_RS01315 WP_011206399.1
B5M19_RS01320 WP_014579952.1
B5M19_RS01325 WP_290124227.1
B5M19_RS01330 WP_088764593.1
B5M19_RS01335 WP_011206395.1
B5M19_RS01340 WP_228365395.1
B5M19_RS01350 WP_014579949.1
B5M19_RS01355 WP_014579948.1
B5M19_RS01360 WP_011206391.1
B5M19_RS01365 WP_011206390.1
B5M19_RS01370 WP_014579946.1
B5M19_RS01375 WP_014579945.1
B5M19_RS01380 WP_044278029.1
B5M19_RS01385 WP_014579943.1
B5M19_RS01390 WP_011206385.1
B5M19_RS01395 WP_011206384.1
B5M19_RS01400 WP_014579942.1
B5M19_RS01405 WP_014579941.1
B5M19_RS01410 WP_016340240.1
B5M19_RS01415 WP_014579938.1
B5M19_RS01420 WP_011290331.1
B5M19_RS01425 WP_014579937.1
B5M19_RS01430 WP_011284272.1
B5M19_RS01435 WP_011206376.1
B5M19_RS04170 WP_011206376.1
B5M19_RS04175 WP_011206376.1
B5M19_RS04180 WP_011206376.1
B5M19_RS01445 WP_252862148.1
B5M19_RS01450 WP_002557698.1
B5M19_RS01455 WP_014579961.1
B5M19_RS01460 WP_014579962.1
B5M19_RS01465 WP_014579964.1
B5M19_RS01470 WP_014579965.1
B5M19_RS01475 WP_014579966.1
B5M19_RS01480 WP_088764594.1
B5M19_RS01490 WP_011206425.1
B5M19_RS01495 WP_014579967.1
B5M19_RS01500 WP_011206427.1
B5M19_RS01505 WP_014579968.1
B5M19_RS01510 WP_014579969.1
B5M19_RS01515 WP_014579970.1
B5M19_RS01520 WP_011290372.1
B5M19_RS01525 WP_014579971.1
B5M19_RS01530 WP_011206433.1
B5M19_RS01535 WP_014579972.1
B5M19_RS01540 WP_011206435.1
B5M19_RS04185 WP_011206435.1
B5M19_RS04190 WP_011206435.1
B5M19_RS04195 WP_011206435.1
B5M19_RS01550 WP_016340246.1
B5M19_RS03905 WP_189220786.1
B5M19_RS01560 WP_014579976.1
B5M19_RS01565 WP_014579977.1
B5M19_RS01570 WP_011206441.1
B5M19_RS04200 WP_011206441.1
B5M19_RS04205 WP_252862149.1
B5M19_RS01580 WP_252862150.1
B5M19_RS01585 WP_011206445.1
B5M19_RS01590 WP_014579980.1
B5M19_RS01595 WP_014579981.1
B5M19_RS04210 WP_014579981.1
B5M19_RS04215 WP_014579981.1
B5M19_RS04220 WP_014579981.1
B5M19_RS04225 WP_014579981.1
B5M19_RS04595 WP_014579981.1
B5M19_RS04235 WP_014579981.1
B5M19_RS01610 WP_014579983.1
B5M19_RS01615 WP_252862151.1
B5M19_RS04240 WP_252862151.1
B5M19_RS01620 WP_014579621.1
B5M19_RS01625 WP_014579622.1
B5M19_RS01630 WP_014579623.1
B5M19_RS01635 WP_011283957.1
B5M19_RS01640 WP_011206056.1
B5M19_RS01645 WP_014579624.1
B5M19_RS01650 WP_088764595.1
B5M19_RS01655 WP_014579626.1
B5M19_RS01660 WP_014579627.1
B5M19_RS01665 WP_014579628.1
B5M19_RS01670 WP_011206062.1
B5M19_RS01675 WP_014579629.1
B5M19_RS01680 WP_011206064.1
B5M19_RS01685 WP_044277967.1
B5M19_RS01690 WP_011206066.1
B5M19_RS01695 WP_011206067.1
B5M19_RS01700 WP_014579631.1
B5M19_RS03910 WP_011206069.1
B5M19_RS01710 WP_014579632.1
B5M19_RS04245 WP_252862152.1
B5M19_RS01715 WP_252862153.1
B5M19_RS01720 WP_011206072.1
B5M19_RS01725 WP_014579634.1
B5M19_RS01730 WP_044277969.1
B5M19_RS01740 WP_225973015.1
B5M19_RS01745 WP_011206076.1
B5M19_RS01750 WP_014579637.1
B5M19_RS01755 WP_014579638.1
B5M19_RS01760 WP_014579639.1
B5M19_RS01765 WP_044277971.1
B5M19_RS01770 WP_228365410.1
B5M19_RS01780 WP_011283934.1
B5M19_RS01785 WP_252862154.1
B5M19_RS04250 WP_252862154.1
B5M19_RS01790 WP_088764596.1
B5M19_RS01800 WP_011206085.1
B5M19_RS01805 WP_011206086.1
B5M19_RS01810 WP_014579645.1
B5M19_RS01815 WP_014579646.1
B5M19_RS01820 WP_011206089.1
B5M19_RS01825 WP_014579647.1
B5M19_RS01830 WP_014579648.1
B5M19_RS01835 WP_014579649.1
B5M19_RS01840 WP_088764597.1
B5M19_RS01845 WP_088764598.1
B5M19_RS01850 WP_011283924.1
B5M19_RS01855 WP_011283923.1
B5M19_RS01860 WP_011206097.1
B5M19_RS04255 WP_016340194.1
B5M19_RS04260 WP_016340194.1
B5M19_RS04265 WP_016340194.1
B5M19_RS01870 WP_011283834.1
B5M19_RS01875 WP_252862155.1
B5M19_RS04270 WP_252862155.1
B5M19_RS04275 WP_252862156.1
B5M19_RS04280 WP_252862156.1
B5M19_RS01885 WP_011205849.1
B5M19_RS01890 WP_252862157.1
B5M19_RS04610 WP_252862157.1
B5M19_RS01895 WP_011205847.1
B5M19_RS01900 WP_252862158.1
B5M19_RS01905 WP_014579519.1
B5M19_RS01910 WP_011205844.1
B5M19_RS01915 WP_011205843.1
B5M19_RS01920 WP_014579518.1
B5M19_RS04615 WP_252862163.1
B5M19_RS01925 WP_252862159.1
B5M19_RS01930 WP_252862160.1
B5M19_RS04290 WP_252862160.1
B5M19_RS01935 WP_011206529.1
B5M19_RS01940 WP_014580051.1
B5M19_RS01945 WP_014580050.1
B5M19_RS01950 WP_014580049.1
B5M19_RS01955 WP_228365398.1
B5M19_RS01960 WP_014580047.1
B5M19_RS01965 WP_014580046.1
B5M19_RS04295 WP_014580046.1
B5M19_RS01970 WP_252862161.1
B5M19_RS01975 WP_252862162.1
B5M19_RS01980 WP_189220788.1
B5M19_RS01985 WP_011206520.1
B5M19_RS01990 WP_014580043.1
B5M19_RS02010 WP_187286313.1
B5M19_RS02015 WP_014580041.1
B5M19_RS04300 WP_014580041.1
B5M19_RS04305 WP_014580041.1
B5M19_RS02025 WP_014579766.1
B5M19_RS02030 WP_014579765.1
B5M19_RS02040 WP_044277993.1
B5M19_RS02045 WP_011284074.1
B5M19_RS04310 WP_011284074.1
B5M19_RS04315 WP_011284074.1
B5M19_RS02055 WP_014579762.1
B5M19_RS02060 WP_014579761.1
B5M19_RS02065 WP_014579760.1
B5M19_RS02070 WP_014579759.1
B5M19_RS02075 WP_014579758.1
B5M19_RS02080 WP_044277991.1
B5M19_RS02085 WP_143826161.1
B5M19_RS02090 WP_014579755.1
B5M19_RS02095 WP_088764599.1
B5M19_RS02100 WP_252862164.1
B5M19_RS02105 WP_014579753.1
B5M19_RS02110 WP_014579752.1
B5M19_RS02115 WP_020835684.1
B5M19_RS02120 WP_014579750.1
B5M19_RS04320 WP_237697241.1
B5M19_RS04325 WP_252862165.1
B5M19_RS02130 WP_088764600.1
B5M19_RS02135 WP_014579673.1
B5M19_RS02140 WP_014579672.1
B5M19_RS02145 WP_014579671.1
B5M19_RS02150 WP_011206005.1
B5M19_RS02155 WP_011206006.1
B5M19_RS02165 WP_014579667.1
B5M19_RS02170 WP_014579666.1
B5M19_RS02175 WP_014579665.1
B5M19_RS02180 WP_011283987.1
B5M19_RS02185 WP_252862166.1
B5M19_RS04330 WP_252862166.1
B5M19_RS04335 WP_252862166.1
B5M19_RS04340 WP_252862167.1
B5M19_RS02195 WP_011206013.1
B5M19_RS02200 WP_011206014.1
B5M19_RS02205 WP_011206015.1
B5M19_RS02210 WP_011206016.1
B5M19_RS04345 WP_252862168.1
B5M19_RS04350 WP_252862169.1
B5M19_RS02220 WP_011290071.1
B5M19_RS02225 WP_011290071.1
B5M19_RS04355 WP_228365413.1
B5M19_RS02235 WP_014579675.1
B5M19_RS02240 WP_014579676.1
B5M19_RS02245 WP_014579677.1
B5M19_RS02250 WP_014579678.1
B5M19_RS02255 WP_014579679.1
B5M19_RS03915 WP_189220791.1
B5M19_RS02265 WP_252862170.1
B5M19_RS02270 WP_014579681.1
B5M19_RS04360 WP_252862171.1
B5M19_RS02280 WP_014579682.1
B5M19_RS02285 WP_014579683.1
B5M19_RS02295 WP_014579684.1
B5M19_RS02305 WP_014579686.1
B5M19_RS02310 WP_014579687.1
B5M19_RS02315 WP_014579688.1
B5M19_RS02320 WP_014579689.1
B5M19_RS04365 WP_228365414.1
B5M19_RS03875 WP_044277979.1
B5M19_RS02335 WP_014579691.1
B5M19_RS04370 WP_252862172.1
B5M19_RS02350 WP_014579694.1
B5M19_RS02355 WP_011283999.1
B5M19_RS02360 WP_011283999.1
B5M19_RS02365 WP_014579586.1
B5M19_RS02370 WP_014579587.1
B5M19_RS02375 WP_014579588.1
B5M19_RS02380 WP_014579589.1
B5M19_RS02385 WP_228365407.1
B5M19_RS02390 WP_014579591.1
B5M19_RS02400 WP_011206120.1
B5M19_RS02405 WP_014579592.1
B5M19_RS02410 WP_014579593.1
B5M19_RS02415 WP_014579594.1
B5M19_RS02420 WP_014579595.1
B5M19_RS02425 WP_014579596.1
B5M19_RS02430 WP_044277961.1
B5M19_RS02435 WP_014579598.1
B5M19_RS02445 WP_014579598.1
B5M19_RS04375 WP_252862173.1
B5M19_RS02450 WP_252862174.1
B5M19_RS02455 WP_252862174.1
B5M19_RS02460 WP_252862176.1
B5M19_RS02465 WP_189220795.1
B5M19_RS03925 WP_189220797.1
B5M19_RS02470 WP_252862177.1
B5M19_RS04380 WP_252862178.1
B5M19_RS02475 WP_252862179.1
B5M19_RS02480 WP_011206337.1
B5M19_RS02485 WP_014579920.1
B5M19_RS02490 WP_014579921.1
B5M19_RS02495 WP_011290314.1
B5M19_RS02500 WP_014579922.1
B5M19_RS02505 WP_014579924.1
B5M19_RS02510 WP_014579925.1
B5M19_RS02515 WP_228365390.1
B5M19_RS02520 WP_044278028.1
B5M19_RS02525 WP_014579928.1
B5M19_RS02530 WP_014579929.1
B5M19_RS02535 WP_014579930.1
B5M19_RS02540 WP_014579931.1
B5M19_RS02545 WP_143826165.1
B5M19_RS02550 WP_252862180.1
B5M19_RS02555 WP_228365393.1
B5M19_RS04585 WP_258555242.1
B5M19_RS02560 WP_014579934.1
B5M19_RS02565 WP_011205973.1
B5M19_RS02570 WP_014579714.1
B5M19_RS02575 WP_014579713.1
B5M19_RS02580 WP_014579712.1
B5M19_RS02585 WP_014579711.1
B5M19_RS03930 WP_252862181.1
B5M19_RS02595 WP_014579709.1
B5M19_RS04385 WP_228365417.1
B5M19_RS04390 WP_014579707.1
B5M19_RS04395 WP_044277983.1
B5M19_RS02610 WP_014579705.1
B5M19_RS02615 WP_011205983.1
B5M19_RS04400 WP_228365416.1
B5M19_RS04405 WP_252862182.1
B5M19_RS04410 WP_252862183.1
B5M19_RS02630 WP_014579702.1
B5M19_RS02635 WP_088764605.1
B5M19_RS02640 WP_252862184.1
B5M19_RS04415 WP_228365387.1
B5M19_RS04420 WP_228365386.1
B5M19_RS02655 WP_252862185.1
B5M19_RS02660 WP_014579870.1
B5M19_RS02665 WP_044278012.1
B5M19_RS02670 WP_014579868.1
B5M19_RS02675 WP_228365385.1
B5M19_RS02680 WP_011206271.1
B5M19_RS02685 WP_252862186.1
B5M19_RS04425 WP_252862186.1
B5M19_RS02695 WP_252862187.1
B5M19_RS02700 WP_014579864.1
B5M19_RS02705 WP_011284186.1
B5M19_RS02710 WP_044278010.1
B5M19_RS02720 WP_011290211.1
B5M19_RS02725 WP_014579839.1
B5M19_RS02730 WP_014579840.1
B5M19_RS02735 WP_014579841.1
B5M19_RS02740 WP_044278006.1
B5M19_RS02745 WP_014579843.1
B5M19_RS02750 WP_011206224.1
B5M19_RS02755 WP_014579844.1
B5M19_RS02760 WP_014579845.1
B5M19_RS02765 WP_014579846.1
B5M19_RS02770 WP_014579846.1
B5M19_RS02775 WP_014579848.1
B5M19_RS02790 WP_014579885.1
B5M19_RS02795 WP_014579884.1
B5M19_RS02800 WP_014579883.1
B5M19_RS02805 WP_014579882.1
B5M19_RS02810 WP_011206289.1
B5M19_RS02815 WP_044278019.1
B5M19_RS02820 WP_014579880.1
B5M19_RS02825 WP_014579879.1
B5M19_RS02830 WP_081450704.1
B5M19_RS02835 WP_014579877.1
B5M19_RS02845 WP_014579876.1
B5M19_RS02850 WP_014579875.1
B5M19_RS02855 WP_014580032.1
B5M19_RS04430 WP_014580033.1
B5M19_RS02865 WP_088764608.1
B5M19_RS04435 WP_088764608.1
B5M19_RS04440 WP_088764608.1
B5M19_RS02875 WP_228365397.1
B5M19_RS04445 WP_011206365.1
B5M19_RS04450 WP_052293599.1
B5M19_RS02885 WP_014580037.1
B5M19_RS02890 WP_011206358.1
B5M19_RS02895 WP_014580038.1
B5M19_RS03935 WP_014580038.1
B5M19_RS02905 WP_014580039.1
B5M19_RS02910 WP_014579826.1
B5M19_RS02915 WP_011206247.1
B5M19_RS04620 WP_011206247.1
B5M19_RS04455 WP_252862188.1
B5M19_RS02925 WP_252862189.1
B5M19_RS02930 WP_014579830.1
B5M19_RS02935 WP_014579831.1
B5M19_RS02940 WP_014579832.1
B5M19_RS02945 WP_014579833.1
B5M19_RS02950 WP_014579834.1
B5M19_RS02955 WP_011206239.1
B5M19_RS04460 WP_011206239.1
B5M19_RS02960 WP_252862190.1
B5M19_RS02965 WP_044278005.1
B5M19_RS04465 WP_228365382.1
B5M19_RS03940 WP_158209055.1
B5M19_RS04625 WP_158209055.1
B5M19_RS04470 WP_252862191.1
B5M19_RS02985 WP_088764609.1
B5M19_RS02990 WP_014579992.1
B5M19_RS02995 WP_014579991.1
B5M19_RS03000 WP_011206459.1
B5M19_RS03010 WP_252862192.1
B5M19_RS03015 WP_011206457.1
B5M19_RS03020 WP_014579990.1
B5M19_RS03025 WP_014579989.1
B5M19_RS03030 WP_088764610.1
B5M19_RS03035 WP_014579987.1
B5M19_RS03040 WP_014579986.1
B5M19_RS03045 WP_014579985.1
B5M19_RS03050 WP_014579652.1
B5M19_RS03055 WP_252862193.1
B5M19_RS04475 WP_252862193.1
B5M19_RS03065 WP_011206101.1
B5M19_RS03070 WP_011206102.1
B5M19_RS04480 WP_011206103.1
B5M19_RS03075 WP_252862194.1
B5M19_RS03080 WP_233417361.1
B5M19_RS03090 WP_014579656.1
B5M19_RS03095 WP_014579657.1
B5M19_RS03100 WP_011206469.1
B5M19_RS03105 WP_011206468.1
B5M19_RS03110 WP_014579996.1
B5M19_RS03115 WP_014579995.1
B5M19_RS03120 WP_011206465.1
B5M19_RS03125 WP_014579994.1
B5M19_RS03130 WP_011206035.1
B5M19_RS03135 WP_014579611.1
B5M19_RS03140 WP_014579610.1
B5M19_RS03145 WP_014579609.1
B5M19_RS03150 WP_088764611.1
B5M19_RS04630 WP_014579607.1
B5M19_RS03160 WP_011206028.1
B5M19_RS03165 WP_014579605.1
B5M19_RS03170 WP_014579604.1
B5M19_RS03175 WP_014579603.1
B5M19_RS03180 WP_014579602.1
B5M19_RS03185 WP_014579601.1
B5M19_RS03190 WP_044277963.1
B5M19_RS03195 WP_088764612.1
B5M19_RS03200 WP_088764612.1
B5M19_RS03205 WP_044278009.1
B5M19_RS03210 WP_014579854.1
B5M19_RS03215 WP_011206256.1
B5M19_RS03220 WP_014579853.1
B5M19_RS03225 WP_044889038.1
B5M19_RS03230 WP_228365384.1
B5M19_RS03235 WP_014579850.1
B5M19_RS03240 WP_014579849.1
B5M19_RS03245 WP_252862195.1
B5M19_RS03255 WP_252862196.1
B5M19_RS03260 WP_252862197.1
B5M19_RS03265 WP_014579745.1
B5M19_RS03270 WP_252862198.1
B5M19_RS03275 WP_014579743.1
B5M19_RS03280 WP_014579742.1
B5M19_RS04485 WP_252862199.1
B5M19_RS04490 WP_088764614.1
B5M19_RS03295 WP_014579777.1
B5M19_RS03300 WP_014579776.1
B5M19_RS03305 WP_011284063.1
B5M19_RS03310 WP_014579775.1
B5M19_RS04495 WP_014579775.1
B5M19_RS03320 WP_187286318.1
B5M19_RS03325 WP_014579772.1
B5M19_RS03330 WP_014579771.1
B5M19_RS04500 WP_014579771.1
B5M19_RS03335 WP_252862200.1
B5M19_RS04505 WP_252862200.1
B5M19_RS03340 WP_252862201.1
B5M19_RS03345 WP_041361589.1
B5M19_RS03350 WP_011206038.1
B5M19_RS03355 WP_011206039.1
B5M19_RS03360 WP_011206040.1
B5M19_RS03365 WP_020835591.1
B5M19_RS03370 WP_014579615.1
B5M19_RS03375 WP_011206043.1
B5M19_RS03380 WP_011206044.1
B5M19_RS03385 WP_014579616.1
B5M19_RS03390 WP_014579617.1
B5M19_RS03395 WP_011206047.1
B5M19_RS03400 WP_011283963.1
B5M19_RS03405 WP_014579618.1
B5M19_RS03410 WP_088764615.1
B5M19_RS03415 WP_088764616.1
B5M19_RS03420 WP_044277964.1
B5M19_RS03425 WP_011206135.1
B5M19_RS03430 WP_014579579.1
B5M19_RS04510 WP_014579579.1
B5M19_RS03440 WP_088764617.1
B5M19_RS03490 WP_044277958.1
B5M19_RS03500 WP_011206110.1
B5M19_RS04515 WP_011206110.1
B5M19_RS03505 WP_252862202.1
B5M19_RS03510 WP_252862203.1
B5M19_RS04520 WP_252862204.1
B5M19_RS04525 WP_252862205.1
B5M19_RS03515 WP_252862206.1
B5M19_RS03520 WP_011284269.1
B5M19_RS03525 WP_011205932.1
B5M19_RS03530 WP_011284056.1
B5M19_RS03535 WP_014579741.1
B5M19_RS03540 WP_014579740.1
B5M19_RS03545 WP_011284053.1
B5M19_RS03550 WP_014579739.1
B5M19_RS03555 WP_014579738.1
B5M19_RS03945 WP_189220800.1
B5M19_RS03565 WP_088764618.1
B5M19_RS03570 WP_088764619.1
B5M19_RS03950 WP_252862207.1
B5M19_RS03580 WP_252862208.1
