MHJ_RS00005 WP_044272251.1
MHJ_RS00675 WP_011283924.1
MHJ_RS00680 WP_011206094.1
MHJ_RS00685 WP_044284589.1
MHJ_RS00690 WP_020835572.1
MHJ_RS00695 WP_014579648.1
MHJ_RS00700 WP_041361572.1
MHJ_RS00705 WP_011206089.1
MHJ_RS00710 WP_318023745.1
MHJ_RS00715 WP_011283930.1
MHJ_RS00720 WP_011206086.1
MHJ_RS00725 WP_011206085.1
MHJ_RS00730 WP_044284590.1
MHJ_RS00735 WP_016340193.1
MHJ_RS00740 WP_011283934.1
MHJ_RS00750 WP_237697229.1
MHJ_RS00755 WP_011283936.1
MHJ_RS00760 WP_020835579.1
MHJ_RS00765 WP_044284591.1
MHJ_RS00770 WP_044284592.1
MHJ_RS00775 WP_044284593.1
MHJ_RS00780 WP_237697230.1
MHJ_RS00790 WP_044272343.1
MHJ_RS00795 WP_011283943.1
MHJ_RS00800 WP_011283944.1
MHJ_RS00805 WP_011206071.1
MHJ_RS00810 WP_044284594.1
MHJ_RS03785 WP_044284595.1
MHJ_RS00820 WP_011206068.1
MHJ_RS00825 WP_011283948.1
MHJ_RS00830 WP_011206066.1
MHJ_RS00835 WP_011283949.1
MHJ_RS00840 WP_011283950.1
MHJ_RS00845 WP_011283951.1
MHJ_RS00850 WP_011283952.1
MHJ_RS00855 WP_011206061.1
MHJ_RS00860 WP_220200845.1
MHJ_RS00865 WP_011283954.1
MHJ_RS00870 WP_011283955.1
MHJ_RS00875 WP_044284596.1
MHJ_RS00880 WP_044284742.1
MHJ_RS00885 WP_011283957.1
MHJ_RS00890 WP_011283958.1
MHJ_RS00895 WP_014579622.1
MHJ_RS00900 WP_044284597.1
MHJ_RS00905 WP_011283961.1
MHJ_RS00910 WP_011206050.1
MHJ_RS00915 WP_011283962.1
MHJ_RS00920 WP_011206048.1
MHJ_RS00925 WP_011283963.1
MHJ_RS00930 WP_011206047.1
MHJ_RS00935 WP_011206046.1
MHJ_RS00940 WP_011283965.1
MHJ_RS00945 WP_011206044.1
MHJ_RS00950 WP_044284598.1
MHJ_RS00955 WP_011206042.1
MHJ_RS00960 WP_193325078.1
MHJ_RS00965 WP_011283968.1
MHJ_RS00970 WP_011206039.1
MHJ_RS00975 WP_011206038.1
MHJ_RS00980 WP_011206037.1
MHJ_RS00985 WP_011206036.1
MHJ_RS00990 WP_011206035.1
MHJ_RS00995 WP_014579611.1
MHJ_RS01000 WP_044284599.1
MHJ_RS01005 WP_011206032.1
MHJ_RS01010 WP_011206031.1
MHJ_RS04015 WP_044284600.1
MHJ_RS01020 WP_011206028.1
MHJ_RS01025 WP_011283973.1
MHJ_RS01030 WP_011283974.1
MHJ_RS01035 WP_011206025.1
MHJ_RS01040 WP_011283976.1
MHJ_RS01045 WP_014579601.1
MHJ_RS01050 WP_011283978.1
MHJ_RS01055 WP_011283979.1
MHJ_RS01060 WP_011283980.1
MHJ_RS01065 WP_011283981.1
MHJ_RS01070 WP_044284601.1
MHJ_RS01075 WP_011206016.1
MHJ_RS01080 WP_011206015.1
MHJ_RS01085 WP_011206014.1
MHJ_RS01090 WP_044284602.1
MHJ_RS01095 WP_020835608.1
MHJ_RS01100 WP_041361598.1
MHJ_RS01105 WP_011283987.1
MHJ_RS01110 WP_011283988.1
MHJ_RS01115 WP_011283989.1
MHJ_RS01120 WP_044284603.1
MHJ_RS01130 WP_011283991.1
MHJ_RS01135 WP_011206005.1
MHJ_RS01140 WP_011206004.1
MHJ_RS01145 WP_011206003.1
MHJ_RS01150 WP_044284604.1
MHJ_RS01155 WP_044284605.1
MHJ_RS01160 WP_237697231.1
MHJ_RS03830 WP_237697232.1
MHJ_RS01175 WP_044284608.1
MHJ_RS01180 WP_011283999.1
MHJ_RS01185 WP_014579695.1
MHJ_RS03755 WP_158209054.1
MHJ_RS01190 WP_011284001.1
MHJ_RS01195 WP_011284002.1
MHJ_RS01200 WP_011284003.1
MHJ_RS01205 WP_014579699.1
MHJ_RS01210 WP_044284609.1
MHJ_RS01215 WP_011284006.1
MHJ_RS01220 WP_044284610.1
MHJ_RS01225 WP_014579703.1
MHJ_RS03835 WP_237697233.1
MHJ_RS01235 WP_011205983.1
MHJ_RS01240 WP_011284010.1
MHJ_RS01245 WP_011284011.1
MHJ_RS01250 WP_237697234.1
MHJ_RS01255 WP_193325079.1
MHJ_RS01260 WP_237697235.1
MHJ_RS01265 WP_011284015.1
MHJ_RS01270 WP_011284016.1
MHJ_RS01275 WP_044284611.1
MHJ_RS01280 WP_011284018.1
MHJ_RS01285 WP_011284019.1
MHJ_RS01290 WP_044284612.1
MHJ_RS01295 WP_044284613.1
MHJ_RS01300 WP_011284022.1
MHJ_RS01305 WP_011205969.1
MHJ_RS01310 WP_011284023.1
MHJ_RS01315 WP_011284024.1
MHJ_RS01320 WP_011205966.1
MHJ_RS01325 WP_011205965.1
MHJ_RS01330 WP_011284027.1
MHJ_RS01335 WP_044284614.1
MHJ_RS01340 WP_011205962.1
MHJ_RS01345 WP_044284615.1
MHJ_RS01350 WP_020835642.1
MHJ_RS01355 WP_011284032.1
MHJ_RS01360 WP_011205958.1
MHJ_RS01365 WP_044284743.1
MHJ_RS01370 WP_011205956.1
MHJ_RS01375 WP_011205955.1
MHJ_RS01380 WP_011284036.1
MHJ_RS01385 WP_011205953.1
MHJ_RS01390 WP_011205952.1
MHJ_RS01395 WP_044284616.1
MHJ_RS01400 WP_011284038.1
MHJ_RS01405 WP_044284617.1
MHJ_RS01410 WP_011284040.1
MHJ_RS03840 WP_269076329.1
MHJ_RS01420 WP_044284619.1
MHJ_RS01425 WP_044284620.1
MHJ_RS01430 WP_014579732.1
MHJ_RS01435 WP_011284045.1
MHJ_RS01440 WP_011284046.1
MHJ_RS01470 WP_011284047.1
MHJ_RS01475 WP_014579735.1
MHJ_RS01480 WP_044284744.1
MHJ_RS01485 WP_044284621.1
MHJ_RS01490 WP_011284051.1
MHJ_RS01495 WP_044284745.1
MHJ_RS01500 WP_011284053.1
MHJ_RS01505 WP_044284622.1
MHJ_RS01510 WP_011284055.1
MHJ_RS01515 WP_011284056.1
MHJ_RS01520 WP_011205932.1
MHJ_RS01525 WP_011284057.1
MHJ_RS01530 WP_237697249.1
MHJ_RS03845 WP_237697236.1
MHJ_RS01535 WP_237697237.1
MHJ_RS01540 WP_044284624.1
MHJ_RS03975 WP_269076328.1
MHJ_RS03820 WP_044284625.1
MHJ_RS01550 WP_011284062.1
MHJ_RS01555 WP_011206141.1
MHJ_RS01560 WP_011284063.1
MHJ_RS01565 WP_011284064.1
MHJ_RS01575 WP_011284065.1
MHJ_RS01580 WP_225973032.1
MHJ_RS01585 WP_011284067.1
MHJ_RS03980 WP_014579770.1
MHJ_RS01590 WP_044284626.1
MHJ_RS03760 WP_167513696.1
MHJ_RS03850 WP_237697238.1
MHJ_RS01600 WP_011284071.1
MHJ_RS01605 WP_011284072.1
MHJ_RS03625 WP_011284072.1
MHJ_RS01610 WP_011284073.1
MHJ_RS01615 WP_011284074.1
MHJ_RS01620 WP_237697239.1
MHJ_RS04020 WP_225973034.1
MHJ_RS01625 WP_044284629.1
MHJ_RS01630 WP_011284077.1
MHJ_RS01635 WP_011284078.1
MHJ_RS01640 WP_014579759.1
MHJ_RS01645 WP_011206161.1
MHJ_RS01650 WP_011284080.1
MHJ_RS01655 WP_011284081.1
MHJ_RS01660 WP_011284082.1
MHJ_RS01665 WP_044284630.1
MHJ_RS01670 WP_323749056.1
MHJ_RS01675 WP_011284083.1
MHJ_RS01680 WP_011284084.1
MHJ_RS01685 WP_014579752.1
MHJ_RS01690 WP_020835684.1
MHJ_RS01695 WP_011206170.1
MHJ_RS03855 WP_237697241.1
MHJ_RS01705 WP_044284633.1
MHJ_RS01710 WP_044284634.1
MHJ_RS01715 WP_044284635.1
MHJ_RS03860 WP_237697242.1
MHJ_RS03865 WP_228365424.1
MHJ_RS01725 WP_044284636.1
MHJ_RS01730 WP_044284637.1
MHJ_RS01740 WP_011284096.1
MHJ_RS01745 WP_011206179.1
MHJ_RS01750 WP_011284098.1
MHJ_RS01755 WP_044284638.1
MHJ_RS01760 WP_011284100.1
MHJ_RS01765 WP_044284639.1
MHJ_RS01770 WP_011284102.1
MHJ_RS01775 WP_011284103.1
MHJ_RS01780 WP_237697243.1
MHJ_RS01785 WP_237697244.1
MHJ_RS03870 WP_044284640.1
MHJ_RS01795 WP_148166899.1
MHJ_RS01805 WP_011284107.1
MHJ_RS01810 WP_237697245.1
MHJ_RS01815 WP_011284109.1
MHJ_RS01820 WP_011284110.1
MHJ_RS04025 WP_011284111.1
MHJ_RS03765 WP_167513695.1
MHJ_RS01830 WP_237697246.1
MHJ_RS03985 WP_258555395.1
MHJ_RS03990 WP_258556645.1
MHJ_RS01855 WP_011206194.1
MHJ_RS01865 WP_014579804.1
MHJ_RS01870 WP_044284644.1
MHJ_RS01875 WP_011284119.1
MHJ_RS01880 WP_044284645.1
MHJ_RS01885 WP_011284121.1
MHJ_RS01890 WP_011206200.1
MHJ_RS01895 WP_044284646.1
MHJ_RS01900 WP_044278002.1
MHJ_RS04005 WP_011284124.1
MHJ_RS01910 WP_011284125.1
MHJ_RS01915 WP_011284126.1
MHJ_RS01920 WP_011284127.1
MHJ_RS01925 WP_011284128.1
MHJ_RS01930 WP_011206207.1
MHJ_RS01935 WP_052259109.1
MHJ_RS01940 WP_011284130.1
MHJ_RS01945 WP_232039529.1
MHJ_RS01950 WP_014579818.1
MHJ_RS01955 WP_237697247.1
MHJ_RS01960 WP_020835723.1
MHJ_RS01965 WP_011284135.1
MHJ_RS01970 WP_011284136.1
MHJ_RS01975 WP_011206216.1
MHJ_RS01980 WP_011284138.1
MHJ_RS03770 WP_011206218.1
MHJ_RS01985 WP_011284139.1
MHJ_RS01990 WP_011284140.1
MHJ_RS01995 WP_011284141.1
MHJ_RS02000 WP_011284142.1
MHJ_RS02005 WP_011284143.1
MHJ_RS02010 WP_011206224.1
MHJ_RS02015 WP_011284144.1
MHJ_RS02020 WP_044284648.1
MHJ_RS02025 WP_044284649.1
MHJ_RS02030 WP_011206228.1
MHJ_RS02035 WP_044272480.1
MHJ_RS02040 WP_011284149.1
MHJ_RS02045 WP_011206231.1
MHJ_RS02050 WP_011284150.1
MHJ_RS02065 WP_044284650.1
MHJ_RS02070 WP_202793361.1
MHJ_RS03645 WP_011284151.1
MHJ_RS02080 WP_011284152.1
MHJ_RS02085 WP_002557988.1
MHJ_RS03650 WP_002557988.1
MHJ_RS02110 WP_148166903.1
MHJ_RS03660 WP_148166903.1
MHJ_RS02130 WP_044284652.1
MHJ_RS02135 WP_002557993.1
MHJ_RS02140 WP_011284157.1
MHJ_RS03880 WP_237697197.1
MHJ_RS03885 WP_237697198.1
MHJ_RS03890 WP_237697199.1
MHJ_RS03895 WP_044284653.1
MHJ_RS02155 WP_237697250.1
MHJ_RS03670 WP_160585767.1
MHJ_RS03585 WP_237697200.1
MHJ_RS03590 WP_052259111.1
MHJ_RS02165 WP_011284162.1
MHJ_RS02170 WP_011206239.1
MHJ_RS02175 WP_011284163.1
MHJ_RS02180 WP_044284655.1
MHJ_RS02185 WP_011284165.1
MHJ_RS02190 WP_011206243.1
MHJ_RS02195 WP_011284167.1
MHJ_RS02200 WP_011284168.1
MHJ_RS02205 WP_011284169.1
MHJ_RS02210 WP_193325075.1
MHJ_RS02215 WP_014579826.1
MHJ_RS02220 WP_011284172.1
MHJ_RS02225 WP_011284173.1
MHJ_RS02230 WP_237697203.1
MHJ_RS02235 WP_011284175.1
MHJ_RS02240 WP_011284176.1
MHJ_RS02245 WP_011206256.1
MHJ_RS02250 WP_044284657.1
MHJ_RS02255 WP_011284179.1
MHJ_RS03790 WP_011284180.1
MHJ_RS02265 WP_044284658.1
MHJ_RS02270 WP_225972978.1
MHJ_RS02275 WP_011284183.1
MHJ_RS02280 WP_011284184.1
MHJ_RS02285 WP_044284659.1
MHJ_RS02290 WP_011284186.1
MHJ_RS02295 WP_044284660.1
MHJ_RS02300 WP_148166905.1
MHJ_RS02305 WP_011284189.1
MHJ_RS02310 WP_044284661.1
MHJ_RS02315 WP_237697204.1
MHJ_RS02320 WP_011284192.1
MHJ_RS02325 WP_044284663.1
MHJ_RS02330 WP_011284194.1
MHJ_RS02335 WP_044284664.1
MHJ_RS02340 WP_237697205.1
MHJ_RS02345 WP_011284197.1
MHJ_RS03775 WP_167513697.1
MHJ_RS02355 WP_237697206.1
MHJ_RS03900 WP_237697207.1
MHJ_RS03905 WP_011284201.1
MHJ_RS02365 WP_044284666.1
MHJ_RS02370 WP_044284667.1
MHJ_RS02375 WP_044284668.1
MHJ_RS02380 WP_044284669.1
MHJ_RS02390 WP_044284670.1
MHJ_RS02395 WP_044284671.1
MHJ_RS02400 WP_044284672.1
MHJ_RS02405 WP_011206287.1
MHJ_RS02410 WP_011284209.1
MHJ_RS04030 WP_011206289.1
MHJ_RS02420 WP_044284673.1
MHJ_RS02425 WP_044284674.1
MHJ_RS02430 WP_011206292.1
MHJ_RS02435 WP_011206293.1
MHJ_RS03910 WP_011284212.1
MHJ_RS03915 WP_044284675.1
MHJ_RS03920 WP_237697209.1
MHJ_RS03925 WP_237697210.1
MHJ_RS02470 WP_044284676.1
MHJ_RS02475 WP_011284216.1
MHJ_RS02480 WP_011206298.1
MHJ_RS02485 WP_011284218.1
MHJ_RS02490 WP_014579889.1
MHJ_RS02495 WP_014579889.1
MHJ_RS02500 WP_011284221.1
MHJ_RS02505 WP_011206303.1
MHJ_RS02510 WP_011284223.1
MHJ_RS02515 WP_011284224.1
MHJ_RS02520 WP_011284225.1
MHJ_RS02525 WP_014579894.1
MHJ_RS02530 WP_011284227.1
MHJ_RS02535 WP_011206309.1
MHJ_RS02540 WP_011206310.1
MHJ_RS02545 WP_011284228.1
MHJ_RS02550 WP_044284677.1
MHJ_RS02555 WP_011206313.1
MHJ_RS03800 WP_179695988.1
MHJ_RS02565 WP_011206315.1
MHJ_RS02570 WP_044284678.1
MHJ_RS02580 WP_011206317.1
MHJ_RS02585 WP_044284680.1
MHJ_RS02590 WP_044284681.1
MHJ_RS02595 WP_011206320.1
MHJ_RS02600 WP_044284682.1
MHJ_RS02605 WP_011284237.1
MHJ_RS02610 WP_011284238.1
MHJ_RS02615 WP_011284239.1
MHJ_RS02620 WP_020835810.1
MHJ_RS02625 WP_044284683.1
MHJ_RS02630 WP_011284242.1
MHJ_RS02635 WP_011284243.1
MHJ_RS02640 WP_011284244.1
MHJ_RS02645 WP_044284684.1
MHJ_RS02650 WP_011284246.1
MHJ_RS02655 WP_011206331.1
MHJ_RS04010 WP_044284685.1
MHJ_RS02665 WP_011284249.1
MHJ_RS02670 WP_011206334.1
MHJ_RS02675 WP_011206335.1
MHJ_RS02680 WP_011284251.1
MHJ_RS02685 WP_011206337.1
MHJ_RS02690 WP_011284252.1
MHJ_RS02695 WP_011284253.1
MHJ_RS02700 WP_011206340.1
MHJ_RS02705 WP_011284254.1
MHJ_RS02710 WP_011206342.1
MHJ_RS03940 WP_237697212.1
MHJ_RS02720 WP_237697213.1
MHJ_RS02725 WP_011206345.1
MHJ_RS02730 WP_044284687.1
MHJ_RS02735 WP_011284258.1
MHJ_RS02740 WP_044284688.1
MHJ_RS02745 WP_044284689.1
MHJ_RS02750 WP_011284262.1
MHJ_RS02755 WP_044284759.1
MHJ_RS02760 WP_044284760.1
MHJ_RS02765 WP_228365393.1
MHJ_RS02770 WP_044284690.1
MHJ_RS02775 WP_044284691.1
MHJ_RS02780 WP_044284692.1
MHJ_RS02785 WP_011284269.1
MHJ_RS02790 WP_011206374.1
MHJ_RS02795 WP_011284271.1
MHJ_RS02800 WP_011206376.1
MHJ_RS02805 WP_011284272.1
MHJ_RS02810 WP_011206378.1
MHJ_RS02815 WP_011206379.1
MHJ_RS02820 WP_011206380.1
MHJ_RS02825 WP_011284275.1
MHJ_RS02830 WP_011284276.1
MHJ_RS02835 WP_011284277.1
MHJ_RS02840 WP_011206384.1
MHJ_RS02845 WP_011206385.1
MHJ_RS02850 WP_014579943.1
MHJ_RS02855 WP_228365394.1
MHJ_RS02860 WP_011284281.1
MHJ_RS02865 WP_044284693.1
MHJ_RS02870 WP_044284694.1
MHJ_RS02875 WP_011284284.1
MHJ_RS02880 WP_011206391.1
MHJ_RS02885 WP_011284286.1
MHJ_RS03945 WP_011206393.1
MHJ_RS02900 WP_011284288.1
MHJ_RS02905 WP_011284289.1
MHJ_RS02910 WP_011284290.1
MHJ_RS02915 WP_011284291.1
MHJ_RS02920 WP_044284695.1
MHJ_RS02925 WP_011206399.1
MHJ_RS02930 WP_011206400.1
MHJ_RS02935 WP_011284294.1
MHJ_RS02940 WP_044284696.1
MHJ_RS02945 WP_011284296.1
MHJ_RS02950 WP_011206404.1
MHJ_RS02955 WP_011206405.1
MHJ_RS02960 WP_011206406.1
MHJ_RS02965 WP_011206407.1
MHJ_RS02970 WP_011206408.1
MHJ_RS02975 WP_011284299.1
MHJ_RS02980 WP_237697214.1
MHJ_RS03950 WP_044284697.1
MHJ_RS02990 WP_011284262.1
MHJ_RS02995 WP_237697215.1
MHJ_RS03955 WP_081430770.1
MHJ_RS03005 WP_002557698.1
MHJ_RS03010 WP_044284698.1
MHJ_RS03015 WP_044284699.1
MHJ_RS03020 WP_044284700.1
MHJ_RS03025 WP_011284308.1
MHJ_RS03030 WP_044284701.1
MHJ_RS03035 WP_044284702.1
MHJ_RS03040 WP_148166908.1
MHJ_RS03045 WP_011206422.1
MHJ_RS03050 WP_011206424.1
MHJ_RS03055 WP_011284312.1
MHJ_RS03060 WP_011284313.1
MHJ_RS03065 WP_228366113.1
MHJ_RS03070 WP_011284315.1
MHJ_RS03075 WP_011284316.1
MHJ_RS03080 WP_011284317.1
MHJ_RS03085 WP_011206431.1
MHJ_RS03090 WP_011206432.1
MHJ_RS03095 WP_011206433.1
MHJ_RS03100 WP_044284703.1
MHJ_RS03105 WP_011206435.1
MHJ_RS03110 WP_193325076.1
MHJ_RS03115 WP_044284704.1
MHJ_RS03125 WP_011284321.1
MHJ_RS03130 WP_044284706.1
MHJ_RS03135 WP_020835878.1
MHJ_RS03140 WP_044284707.1
MHJ_RS03145 WP_014579979.1
MHJ_RS03150 WP_011206445.1
MHJ_RS03155 WP_011284327.1
MHJ_RS03160 WP_044284709.1
MHJ_RS03165 WP_044284710.1
MHJ_RS03170 WP_044284711.1
MHJ_RS03175 WP_044284712.1
MHJ_RS03180 WP_044284713.1
MHJ_RS03185 WP_044284714.1
MHJ_RS03190 WP_014579984.1
MHJ_RS03200 WP_044284715.1
MHJ_RS03205 WP_014579986.1
MHJ_RS03210 WP_011284337.1
MHJ_RS03215 WP_044284716.1
MHJ_RS03220 WP_014579989.1
MHJ_RS03225 WP_011284340.1
MHJ_RS03230 WP_044284717.1
MHJ_RS03235 WP_011206458.1
MHJ_RS03245 WP_011206459.1
MHJ_RS03250 WP_044284718.1
MHJ_RS03255 WP_237697216.1
MHJ_RS03260 WP_044284720.1
MHJ_RS03265 WP_237697251.1
MHJ_RS03960 WP_237697217.1
MHJ_RS03270 WP_011206465.1
MHJ_RS03275 WP_011284346.1
MHJ_RS03280 WP_011284347.1
MHJ_RS03285 WP_011206468.1
MHJ_RS03290 WP_011206469.1
MHJ_RS03295 WP_044284721.1
MHJ_RS03300 WP_044284722.1
MHJ_RS03305 WP_011284350.1
MHJ_RS03310 WP_237697218.1
MHJ_RS03315 WP_011284352.1
MHJ_RS03750 WP_011284352.1
MHJ_RS03320 WP_237697219.1
MHJ_RS03325 WP_044284724.1
MHJ_RS03330 WP_044284725.1
MHJ_RS03335 WP_237697220.1
MHJ_RS03340 WP_044284726.1
MHJ_RS03345 WP_011206483.1
MHJ_RS03350 WP_044284727.1
MHJ_RS03355 WP_044272663.1
MHJ_RS03360 WP_237697221.1
MHJ_RS03965 WP_237697222.1
MHJ_RS03365 WP_011206487.1
MHJ_RS03375 WP_011284361.1
MHJ_RS03380 WP_232039558.1
MHJ_RS03705 WP_081430772.1
MHJ_RS03385 WP_044284728.1
MHJ_RS03390 WP_011284364.1
MHJ_RS03395 WP_044284729.1
MHJ_RS03400 WP_011206493.1
MHJ_RS03405 WP_011206494.1
MHJ_RS03410 WP_011284367.1
MHJ_RS03415 WP_011284368.1
MHJ_RS03420 WP_237697223.1
MHJ_RS03425 WP_011284370.1
MHJ_RS03430 WP_044284730.1
MHJ_RS03435 WP_011284372.1
MHJ_RS03445 WP_011206502.1
MHJ_RS03450 WP_011284373.1
MHJ_RS03455 WP_044284731.1
MHJ_RS03460 WP_044284732.1
MHJ_RS03465 WP_014580023.1
MHJ_RS03470 WP_011284377.1
MHJ_RS03475 WP_011284378.1
MHJ_RS03480 WP_011284379.1
MHJ_RS03485 WP_011206510.1
MHJ_RS03490 WP_011284380.1
MHJ_RS03495 WP_044284733.1
MHJ_RS03500 WP_148166910.1
MHJ_RS03505 WP_044284734.1
MHJ_RS03510 WP_011284384.1
MHJ_RS03515 WP_011284385.1
MHJ_RS03995 WP_269076327.1
MHJ_RS03530 WP_011284386.1
MHJ_RS03535 WP_011284387.1
MHJ_RS03540 WP_044284735.1
MHJ_RS03545 WP_011284389.1
MHJ_RS03550 WP_011284390.1
MHJ_RS03555 WP_011284391.1
MHJ_RS03560 WP_237697224.1
MHJ_RS03565 WP_044284736.1
MHJ_RS03570 WP_011206527.1
MHJ_RS03575 WP_011284394.1
MHJ_RS03580 WP_011206529.1
