NB625_RS00005 WP_044272251.1
NB625_RS00495 WP_404924081.1
NB625_RS00500 WP_404924082.1
NB625_RS00505 WP_146379482.1
NB625_RS00510 WP_146379482.1
NB625_RS00515 WP_041361727.1
NB625_RS00520 WP_044272311.1
NB625_RS00525 WP_404924083.1
NB625_RS00530 WP_014579589.1
NB625_RS00535 WP_225973012.1
NB625_RS00540 WP_011206121.1
NB625_RS00550 WP_160585148.1
NB625_RS00555 WP_179695961.1
NB625_RS00560 WP_011206118.1
NB625_RS00565 WP_404924084.1
NB625_RS00570 WP_179221014.1
NB625_RS00575 WP_160606838.1
NB625_RS00580 WP_404924085.1
NB625_RS00585 WP_011206113.1
NB625_RS00595 WP_011206113.1
NB625_RS00600 WP_404924086.1
NB625_RS00605 WP_220190741.1
NB625_RS00610 WP_014579601.1
NB625_RS00615 WP_146379524.1
NB625_RS00620 WP_011206025.1
NB625_RS00625 WP_050195474.1
NB625_RS00630 WP_014579605.1
NB625_RS00635 WP_011206028.1
NB625_RS00640 WP_404924087.1
NB625_RS00645 WP_011206031.1
NB625_RS00650 WP_011206032.1
NB625_RS00655 WP_020835596.1
NB625_RS00660 WP_014579611.1
NB625_RS00665 WP_011206035.1
NB625_RS00670 WP_011206036.1
NB625_RS00675 WP_041361589.1
NB625_RS00680 WP_011206038.1
NB625_RS00685 WP_011206039.1
NB625_RS00690 WP_020835592.1
NB625_RS00695 WP_020835591.1
NB625_RS00700 WP_011290058.1
NB625_RS00705 WP_020835590.1
NB625_RS00710 WP_404924088.1
NB625_RS00715 WP_160585193.1
NB625_RS00720 WP_020835589.1
NB625_RS00725 WP_011206047.1
NB625_RS00730 WP_011283963.1
NB625_RS00735 WP_011206048.1
NB625_RS00740 WP_011206049.1
NB625_RS00745 WP_011290054.1
NB625_RS00750 WP_404924089.1
NB625_RS00755 WP_011206052.1
NB625_RS00760 WP_044272348.1
NB625_RS00765 WP_011206054.1
NB625_RS00770 WP_404924090.1
NB625_RS00775 WP_011206056.1
NB625_RS00780 WP_404924091.1
NB625_RS00785 WP_011283955.1
NB625_RS00790 WP_135618593.1
NB625_RS00795 WP_041361583.1
NB625_RS00800 WP_011206061.1
NB625_RS00805 WP_135618591.1
NB625_RS00810 WP_094521594.1
NB625_RS00815 WP_404924092.1
NB625_RS00820 WP_404924093.1
NB625_RS00825 WP_011290044.1
NB625_RS00830 WP_011290043.1
NB625_RS00835 WP_404924094.1
NB625_RS00840 WP_011206069.1
NB625_RS00845 WP_160606691.1
NB625_RS00850 WP_011206071.1
NB625_RS00855 WP_011206072.1
NB625_RS00860 WP_011290039.1
NB625_RS00865 WP_044272343.1
NB625_RS00875 WP_014579636.1
NB625_RS00880 WP_404924095.1
NB625_RS00885 WP_404924096.1
NB625_RS00890 WP_146379504.1
NB625_RS00895 WP_146379504.1
NB625_RS00900 WP_011290034.1
NB625_RS00905 WP_404924097.1
NB625_RS00915 WP_011283934.1
NB625_RS00920 WP_404924098.1
NB625_RS00925 WP_404924099.1
NB625_RS00935 WP_146379500.1
NB625_RS00940 WP_011206086.1
NB625_RS00945 WP_011283930.1
NB625_RS00950 WP_011290029.1
NB625_RS00955 WP_011290029.1
NB625_RS00960 WP_041361572.1
NB625_RS00965 WP_179695841.1
NB625_RS00970 WP_404924100.1
NB625_RS00975 WP_404912207.1
NB625_RS00980 WP_404912207.1
NB625_RS00985 WP_011206094.1
NB625_RS00990 WP_094521583.1
NB625_RS00995 WP_011290023.1
NB625_RS01000 WP_044272325.1
NB625_RS01005 WP_011290021.1
NB625_RS01010 WP_269076320.1
NB625_RS01015 WP_011290019.1
NB625_RS01020 WP_041361566.1
NB625_RS01030 WP_160584795.1
NB625_RS01035 WP_011206102.1
NB625_RS01040 WP_011206103.1
NB625_RS01045 WP_404924101.1
NB625_RS01050 WP_404924102.1
NB625_RS01065 WP_404924103.1
NB625_RS01070 WP_011290013.1
NB625_RS01075 WP_404924104.1
NB625_RS01080 WP_404924105.1
NB625_RS01085 WP_404924106.1
NB625_RS01090 WP_011206110.1
NB625_RS01095 WP_404924107.1
NB625_RS01100 WP_011290071.1
NB625_RS01105 WP_404924108.1
NB625_RS01110 WP_011206016.1
NB625_RS01115 WP_094521603.1
NB625_RS01120 WP_011206014.1
NB625_RS01125 WP_020835607.1
NB625_RS01130 WP_020835607.1
NB625_RS01135 WP_404924109.1
NB625_RS01140 WP_404924110.1
NB625_RS01145 WP_404924111.1
NB625_RS01150 WP_404924112.1
NB625_RS01155 WP_404924113.1
NB625_RS01160 WP_011206006.1
NB625_RS01165 WP_011206005.1
NB625_RS01170 WP_020835615.1
NB625_RS01175 WP_404924114.1
NB625_RS01180 WP_404924115.1
NB625_RS01185 WP_044272377.1
NB625_RS01190 WP_404912290.1
NB625_RS01195 WP_404912290.1
NB625_RS01200 WP_094521610.1
NB625_RS01205 WP_404924117.1
NB625_RS01210 WP_158209054.1
NB625_RS01215 WP_011205992.1
NB625_RS01220 WP_011290089.1
NB625_RS01225 WP_404924189.1
NB625_RS01230 WP_404924118.1
NB625_RS01235 WP_404924119.1
NB625_RS01240 WP_404924120.1
NB625_RS01245 WP_011205986.1
NB625_RS01250 WP_014579703.1
NB625_RS01255 WP_404924121.1
NB625_RS01260 WP_404924122.1
NB625_RS01265 WP_011205983.1
NB625_RS01270 WP_404924123.1
NB625_RS01275 WP_404924124.1
NB625_RS01280 WP_404924125.1
NB625_RS01285 WP_187145661.1
NB625_RS01290 WP_041361605.1
NB625_RS01295 WP_020835632.1
NB625_RS01300 WP_011290103.1
NB625_RS01305 WP_044272388.1
NB625_RS01310 WP_011284018.1
NB625_RS01315 WP_011205973.1
NB625_RS01320 WP_044272391.1
NB625_RS01325 WP_020835635.1
NB625_RS01330 WP_404924190.1
NB625_RS01335 WP_404924126.1
NB625_RS01340 WP_404924127.1
NB625_RS01345 WP_160585678.1
NB625_RS01350 WP_404924128.1
NB625_RS01355 WP_011205965.1
NB625_RS01360 WP_011284027.1
NB625_RS01365 WP_404924129.1
NB625_RS01370 WP_011205962.1
NB625_RS01375 WP_404924130.1
NB625_RS01380 WP_020835642.1
NB625_RS01385 WP_146379557.1
NB625_RS01390 WP_020835643.1
NB625_RS01395 WP_404924131.1
NB625_RS01400 WP_404924131.1
NB625_RS01405 WP_011205955.1
NB625_RS01410 WP_011205954.1
NB625_RS01415 WP_404924132.1
NB625_RS01420 WP_011205952.1
NB625_RS01425 WP_404924133.1
NB625_RS01430 WP_160606641.1
NB625_RS01435 WP_404924134.1
NB625_RS01440 WP_160590282.1
NB625_RS01445 WP_233417364.1
NB625_RS01450 WP_404924135.1
NB625_RS01455 WP_404924136.1
NB625_RS01460 WP_146379564.1
NB625_RS01465 WP_014579732.1
NB625_RS01470 WP_404924137.1
NB625_RS01475 WP_011284046.1
NB625_RS01505 WP_160585099.1
NB625_RS01510 WP_014579735.1
NB625_RS01515 WP_404924138.1
NB625_RS01520 WP_011205939.1
NB625_RS01525 WP_146379568.1
NB625_RS01530 WP_020835656.1
NB625_RS01535 WP_404924139.1
NB625_RS01540 WP_020835657.1
NB625_RS01545 WP_011284055.1
NB625_RS01550 WP_011284056.1
NB625_RS01555 WP_011205932.1
NB625_RS01560 WP_404924140.1
NB625_RS01565 WP_404924140.1
NB625_RS01570 WP_404924141.1
NB625_RS01575 WP_240536643.1
NB625_RS01580 WP_240536643.1
NB625_RS01585 WP_404924142.1
NB625_RS01590 WP_404924191.1
NB625_RS01595 WP_404924191.1
NB625_RS01600 WP_011206141.1
NB625_RS01605 WP_011206142.1
NB625_RS01610 WP_404924143.1
NB625_RS01615 WP_179221095.1
NB625_RS01620 WP_404924192.1
NB625_RS01625 WP_404924144.1
NB625_RS01630 WP_135618763.1
NB625_RS01635 WP_404924145.1
NB625_RS01640 WP_404924146.1
NB625_RS01645 WP_404924147.1
NB625_RS01650 WP_404924148.1
NB625_RS01655 WP_404924148.1
NB625_RS01660 WP_371863322.1
NB625_RS01665 WP_404924149.1
NB625_RS01670 WP_404924150.1
NB625_RS01675 WP_404924151.1
NB625_RS01680 WP_225973034.1
NB625_RS01685 WP_404924153.1
NB625_RS01690 WP_404924154.1
NB625_RS01695 WP_404924155.1
NB625_RS01700 WP_020835676.1
NB625_RS01705 WP_020835677.1
NB625_RS01710 WP_020835678.1
NB625_RS01715 WP_160606775.1
NB625_RS01720 WP_404924156.1
NB625_RS01725 WP_404924157.1
NB625_RS01730 WP_404924158.1
NB625_RS01735 WP_371807679.1
NB625_RS01740 WP_404923974.1
NB625_RS01745 WP_404924159.1
NB625_RS01750 WP_404924160.1
NB625_RS01755 WP_404924161.1
NB625_RS01760 WP_404924162.1
NB625_RS01765 WP_404924163.1
NB625_RS01770 WP_404924164.1
NB625_RS01775 WP_404924165.1
NB625_RS01780 WP_404924166.1
NB625_RS01785 WP_404924167.1
NB625_RS01790 WP_404924168.1
NB625_RS01795 WP_011290172.1
NB625_RS01800 WP_011290172.1
NB625_RS01805 WP_011284100.1
NB625_RS01810 WP_348572112.1
NB625_RS01815 WP_404924169.1
NB625_RS01820 WP_404924170.1
NB625_RS01825 WP_404924171.1
NB625_RS01830 WP_404924172.1
NB625_RS01835 WP_157696717.1
NB625_RS01840 WP_404924173.1
NB625_RS01845 WP_404924174.1
NB625_RS01850 WP_404924175.1
NB625_RS01855 WP_404924176.1
NB625_RS01860 WP_020835703.1
NB625_RS01865 WP_158632000.1
NB625_RS01875 WP_404924177.1
NB625_RS01880 WP_308507028.1
NB625_RS01885 WP_404924178.1
NB625_RS01890 WP_258555395.1
NB625_RS01895 WP_258555396.1
NB625_RS01910 WP_404924179.1
NB625_RS01915 WP_014579804.1
NB625_RS01920 WP_011206196.1
NB625_RS01925 WP_404924180.1
NB625_RS01930 WP_347952479.1
NB625_RS01935 WP_404924181.1
NB625_RS01940 WP_020835712.1
NB625_RS01945 WP_020835712.1
NB625_RS01950 WP_160587900.1
NB625_RS01955 WP_020835716.1
NB625_RS01960 WP_404924182.1
NB625_RS01965 WP_160585598.1
NB625_RS01970 WP_404924183.1
NB625_RS01975 WP_011206207.1
NB625_RS01980 WP_135618848.1
NB625_RS01985 WP_011290197.1
NB625_RS01990 WP_404924184.1
NB625_RS01995 WP_404911774.1
NB625_RS02000 WP_404924185.1
NB625_RS02005 WP_404924186.1
NB625_RS02010 WP_160607660.1
NB625_RS02015 WP_160607660.1
NB625_RS02020 WP_014579823.1
NB625_RS02025 WP_404924187.1
NB625_RS02030 WP_011206218.1
NB625_RS02035 WP_404924188.1
NB625_RS02040 WP_404924188.1
NB625_RS02045 WP_020835728.1
NB625_RS02050 WP_011284142.1
NB625_RS02055 WP_011206223.1
NB625_RS02060 WP_011206224.1
NB625_RS02065 WP_014580032.1
NB625_RS02070 WP_160585706.1
NB625_RS02075 WP_404923919.1
NB625_RS02080 WP_404923919.1
NB625_RS02085 WP_404912404.1
NB625_RS02090 WP_404923920.1
NB625_RS02095 WP_404923921.1
NB625_RS02100 WP_404923922.1
NB625_RS02105 WP_011206361.1
NB625_RS02110 WP_404923923.1
NB625_RS02115 WP_404923924.1
NB625_RS02120 WP_011206358.1
NB625_RS02125 WP_404923925.1
NB625_RS02130 WP_094521569.1
NB625_RS02135 WP_404923926.1
NB625_RS02140 WP_404923927.1
NB625_RS02145 WP_404923928.1
NB625_RS02150 WP_404923929.1
NB625_RS02155 WP_404923930.1
NB625_RS02160 WP_011290207.1
NB625_RS02165 WP_225973040.1
NB625_RS02170 WP_347952210.1
NB625_RS02175 WP_404912425.1
NB625_RS02180 WP_020835733.1
NB625_RS02185 WP_146379589.1
NB625_RS02190 WP_011290212.1
NB625_RS02195 WP_011290213.1
NB625_RS02210 WP_404923931.1
NB625_RS02215 WP_404923932.1
NB625_RS02220 WP_404924193.1
NB625_RS02225 WP_404923933.1
NB625_RS02230 WP_404924194.1
NB625_RS02235 WP_404923934.1
NB625_RS02240 WP_404923935.1
NB625_RS02245 WP_404923935.1
NB625_RS02250 WP_243234977.1
NB625_RS02255 WP_233688424.1
NB625_RS02260 WP_020835740.1
NB625_RS02265 WP_020835740.1
NB625_RS02270 WP_404923936.1
NB625_RS02275 WP_404923937.1
NB625_RS02280 WP_404923938.1
NB625_RS02285 WP_404923939.1
NB625_RS02290 WP_404923940.1
NB625_RS02295 WP_404923941.1
NB625_RS02300 WP_404923942.1
NB625_RS02305 WP_404923943.1
NB625_RS02310 WP_404923944.1
NB625_RS02315 WP_160576975.1
NB625_RS02320 WP_404923945.1
NB625_RS02325 WP_404923946.1
NB625_RS02330 WP_404923947.1
NB625_RS02335 WP_404924195.1
NB625_RS02340 WP_404923948.1
NB625_RS02345 WP_404923949.1
NB625_RS02350 WP_258555377.1
NB625_RS02355 WP_404923950.1
NB625_RS02360 WP_011290214.1
NB625_RS02365 WP_011206239.1
NB625_RS02370 WP_011284163.1
NB625_RS02375 WP_044272490.1
NB625_RS02380 WP_146379630.1
NB625_RS02385 WP_014579831.1
NB625_RS02390 WP_404923951.1
NB625_RS02395 WP_233688433.1
NB625_RS02400 WP_011284169.1
NB625_RS02405 WP_192894278.1
NB625_RS02410 WP_220200503.1
NB625_RS02415 WP_094521693.1
NB625_RS02420 WP_146379633.1
NB625_RS02425 WP_404923952.1
NB625_RS02430 WP_404923953.1
NB625_RS02435 WP_160585790.1
NB625_RS02440 WP_011290226.1
NB625_RS02445 WP_011206256.1
NB625_RS02450 WP_404923954.1
NB625_RS02455 WP_160585249.1
NB625_RS02460 WP_404923955.1
NB625_RS02465 WP_404923956.1
NB625_RS02470 WP_225972978.1
NB625_RS02475 WP_011284183.1
NB625_RS02480 WP_404923957.1
NB625_RS02485 WP_404923958.1
NB625_RS02490 WP_011284186.1
NB625_RS02495 WP_404923959.1
NB625_RS02500 WP_404923960.1
NB625_RS02505 WP_404923961.1
NB625_RS02510 WP_404923962.1
NB625_RS02515 WP_404923963.1
NB625_RS02520 WP_404923964.1
NB625_RS02525 WP_020835771.1
NB625_RS02530 WP_020835772.1
NB625_RS02535 WP_404923965.1
NB625_RS02540 WP_404923966.1
NB625_RS02545 WP_240536333.1
NB625_RS02550 WP_404923967.1
NB625_RS02555 WP_404923968.1
NB625_RS02560 WP_404923969.1
NB625_RS02565 WP_404923970.1
NB625_RS02570 WP_404923971.1
NB625_RS02575 WP_020835781.1
NB625_RS02585 WP_044272529.1
NB625_RS02590 WP_167871270.1
NB625_RS02595 WP_404923972.1
NB625_RS02600 WP_146379654.1
NB625_RS02605 WP_179221158.1
NB625_RS02610 WP_011206289.1
NB625_RS02615 WP_041361671.1
NB625_RS02620 WP_404923973.1
NB625_RS02625 WP_011206292.1
NB625_RS02630 WP_160606809.1
NB625_RS02645 WP_258555362.1
NB625_RS02650 WP_225972988.1
NB625_RS02655 WP_404923974.1
NB625_RS02660 WP_404924196.1
NB625_RS02665 WP_160588321.1
NB625_RS02670 WP_146379659.1
NB625_RS02675 WP_011206298.1
NB625_RS02680 WP_348571747.1
NB625_RS02685 WP_404923975.1
NB625_RS02690 WP_014579890.1
NB625_RS02695 WP_094521719.1
NB625_RS02700 WP_348602552.1
NB625_RS02705 WP_160585006.1
NB625_RS02710 WP_404923976.1
NB625_RS02715 WP_160608046.1
NB625_RS02720 WP_044272552.1
NB625_RS02725 WP_160585762.1
NB625_RS02730 WP_011206309.1
NB625_RS02735 WP_404923977.1
NB625_RS02740 WP_011284228.1
NB625_RS02745 WP_404924197.1
NB625_RS02750 WP_404923978.1
NB625_RS02755 WP_404923979.1
NB625_RS02760 WP_404923980.1
NB625_RS02765 WP_011206315.1
NB625_RS02770 WP_404923981.1
NB625_RS02775 WP_135618962.1
NB625_RS02780 WP_020835805.1
NB625_RS02785 WP_160585667.1
NB625_RS02790 WP_011206320.1
NB625_RS02795 WP_404923982.1
NB625_RS02800 WP_404923983.1
NB625_RS02805 WP_404923984.1
NB625_RS02810 WP_404923985.1
NB625_RS02815 WP_011290300.1
NB625_RS02820 WP_404923986.1
NB625_RS02825 WP_404911934.1
NB625_RS02830 WP_404923987.1
NB625_RS02835 WP_404923988.1
NB625_RS02840 WP_041361678.1
NB625_RS02845 WP_404923989.1
NB625_RS02850 WP_404923990.1
NB625_RS02855 WP_404911941.1
NB625_RS02860 WP_020835817.1
NB625_RS02865 WP_020835818.1
NB625_RS02870 WP_011206335.1
NB625_RS02875 WP_404923991.1
NB625_RS02880 WP_020835820.1
NB625_RS02885 WP_404923992.1
NB625_RS02890 WP_404923974.1
NB625_RS02895 WP_011290313.1
NB625_RS02900 WP_011290314.1
NB625_RS02905 WP_404923993.1
NB625_RS02910 WP_404923994.1
NB625_RS02915 WP_404923995.1
NB625_RS02920 WP_011290318.1
NB625_RS02925 WP_020835826.1
NB625_RS02930 WP_011206347.1
NB625_RS02935 WP_404923996.1
NB625_RS02940 WP_404923997.1
NB625_RS02945 WP_404923998.1
NB625_RS02950 WP_258555565.1
NB625_RS02955 WP_404923999.1
NB625_RS02960 WP_404924000.1
NB625_RS02965 WP_404924001.1
NB625_RS02970 WP_011206373.1
NB625_RS02975 WP_011206373.1
NB625_RS02980 WP_011206375.1
NB625_RS02985 WP_135619006.1
NB625_RS02990 WP_011290329.1
NB625_RS02995 WP_404924002.1
NB625_RS03000 WP_011290331.1
NB625_RS03005 WP_020835837.1
NB625_RS03010 WP_135619012.1
NB625_RS03015 WP_404924003.1
NB625_RS03020 WP_404924004.1
NB625_RS03025 WP_011206384.1
NB625_RS03030 WP_011206385.1
NB625_RS03035 WP_404924005.1
NB625_RS03040 WP_225972996.1
NB625_RS03045 WP_020835843.1
NB625_RS03050 WP_404924007.1
NB625_RS03055 WP_011290340.1
NB625_RS03060 WP_135619026.1
NB625_RS03065 WP_135619026.1
NB625_RS03070 WP_269076331.1
NB625_RS03075 WP_308507032.1
NB625_RS03080 WP_258555814.1
NB625_RS03085 WP_011284289.1
NB625_RS03090 WP_011284290.1
NB625_RS03095 WP_404924008.1
NB625_RS03100 WP_404924009.1
NB625_RS03105 WP_020835851.1
NB625_RS03110 WP_160588325.1
NB625_RS03115 WP_044284696.1
NB625_RS03120 WP_020835854.1
NB625_RS03125 WP_160608089.1
NB625_RS03130 WP_041361688.1
NB625_RS03135 WP_041361690.1
NB625_RS03140 WP_011206407.1
NB625_RS03145 WP_404924010.1
NB625_RS03150 WP_404924011.1
NB625_RS03155 WP_404924012.1
NB625_RS03160 WP_404924013.1
NB625_RS03165 WP_404924014.1
NB625_RS03170 WP_404924198.1
NB625_RS03175 WP_404924015.1
NB625_RS03180 WP_404912458.1
NB625_RS03185 WP_404924016.1
NB625_RS03190 WP_404924199.1
NB625_RS03195 WP_404924017.1
NB625_RS03200 WP_179221201.1
NB625_RS03205 WP_020835860.1
NB625_RS03210 WP_243216310.1
NB625_RS03215 WP_020835862.1
NB625_RS03220 WP_220190663.1
NB625_RS03225 WP_011206422.1
NB625_RS03230 WP_011206424.1
NB625_RS03235 WP_011290368.1
NB625_RS03240 WP_160600929.1
NB625_RS03245 WP_404924018.1
NB625_RS03250 WP_404924019.1
NB625_RS03255 WP_160585645.1
NB625_RS03260 WP_404924200.1
NB625_RS03265 WP_404924020.1
NB625_RS03270 WP_011290372.1
NB625_RS03275 WP_404924021.1
NB625_RS03280 WP_011206433.1
NB625_RS03285 WP_020835872.1
NB625_RS03290 WP_011206435.1
NB625_RS03295 WP_404924022.1
NB625_RS03300 WP_404924023.1
NB625_RS03305 WP_404924024.1
NB625_RS03310 WP_041361696.1
NB625_RS03315 WP_404924025.1
NB625_RS03320 WP_160585273.1
NB625_RS03325 WP_044272620.1
NB625_RS03330 WP_044272620.1
NB625_RS03335 WP_014579979.1
NB625_RS03340 WP_011206445.1
NB625_RS03345 WP_404924026.1
NB625_RS03350 WP_404924026.1
NB625_RS03355 WP_020835883.1
NB625_RS03360 WP_404924027.1
NB625_RS03365 WP_404924028.1
NB625_RS03370 WP_020835887.1
NB625_RS03380 WP_020835888.1
NB625_RS03385 WP_044272637.1
NB625_RS03390 WP_011206453.1
NB625_RS03395 WP_404924029.1
NB625_RS03400 WP_404924030.1
NB625_RS03405 WP_011290391.1
NB625_RS03410 WP_011206457.1
NB625_RS03415 WP_011206458.1
NB625_RS03425 WP_011206459.1
NB625_RS03430 WP_160585219.1
NB625_RS03435 WP_404924031.1
NB625_RS03440 WP_404924032.1
NB625_RS03445 WP_347952302.1
NB625_RS03450 WP_404924033.1
NB625_RS03455 WP_404924034.1
NB625_RS03460 WP_146379741.1
NB625_RS03465 WP_404924035.1
NB625_RS03470 WP_160585238.1
NB625_RS03475 WP_011206469.1
NB625_RS03480 WP_011206469.1
NB625_RS03485 WP_404924036.1
NB625_RS03490 WP_404912046.1
NB625_RS03495 WP_404924037.1
NB625_RS03500 WP_146379747.1
NB625_RS03505 WP_146379747.1
NB625_RS03510 WP_404924201.1
NB625_RS03515 WP_404924038.1
NB625_RS03520 WP_404924039.1
NB625_RS03525 WP_011206484.1
NB625_RS03530 WP_044272663.1
NB625_RS03535 WP_404924041.1
NB625_RS03540 WP_404924042.1
NB625_RS03550 WP_011206488.1
NB625_RS03555 WP_232039558.1
NB625_RS03560 WP_011290416.1
NB625_RS03565 WP_011206490.1
NB625_RS03570 WP_404924043.1
NB625_RS03575 WP_179695855.1
NB625_RS03580 WP_011206493.1
NB625_RS03585 WP_011206494.1
NB625_RS03590 WP_011284367.1
NB625_RS03595 WP_160600741.1
NB625_RS03600 WP_011290422.1
NB625_RS03605 WP_404924044.1
NB625_RS03610 WP_404924044.1
NB625_RS03615 WP_404924045.1
NB625_RS03625 WP_011206502.1
NB625_RS03630 WP_404912074.1
NB625_RS03635 WP_404924046.1
NB625_RS03640 WP_404924047.1
NB625_RS03645 WP_020835917.1
NB625_RS03650 WP_041361711.1
NB625_RS03655 WP_404924048.1
NB625_RS03660 WP_347952324.1
NB625_RS03665 WP_011206510.1
NB625_RS03670 WP_404924049.1
NB625_RS03675 WP_404924049.1
NB625_RS03680 WP_404924050.1
NB625_RS03685 WP_404924051.1
NB625_RS03690 WP_404924052.1
NB625_RS03695 WP_404924053.1
NB625_RS03710 WP_011290440.1
NB625_RS03715 WP_011284387.1
NB625_RS03720 WP_404924054.1
NB625_RS03725 WP_160588098.1
NB625_RS03730 WP_160588100.1
NB625_RS03735 WP_404924055.1
NB625_RS03740 WP_404924056.1
NB625_RS03745 WP_404924057.1
NB625_RS03750 WP_146379773.1
NB625_RS03755 WP_014580051.1
NB625_RS03760 WP_011206529.1
