EXC50_RS00005 WP_011205840.1
EXC50_RS01670 WP_011206376.1
EXC50_RS01675 WP_011206377.1
EXC50_RS01680 WP_011206378.1
EXC50_RS01685 WP_011206379.1
EXC50_RS01690 WP_011206380.1
EXC50_RS01695 WP_011206381.1
EXC50_RS01700 WP_011206382.1
EXC50_RS01705 WP_011284277.1
EXC50_RS01710 WP_011206384.1
EXC50_RS01715 WP_011206385.1
EXC50_RS01720 WP_011206386.1
EXC50_RS01725 WP_173670097.1
EXC50_RS01730 WP_011206388.1
EXC50_RS01735 WP_011206389.1
EXC50_RS01740 WP_011206390.1
EXC50_RS01745 WP_011206391.1
EXC50_RS01750 WP_011206392.1
EXC50_RS04055 WP_011206393.1
EXC50_RS01765 WP_232039550.1
EXC50_RS01770 WP_011206395.1
EXC50_RS01775 WP_044284804.1
EXC50_RS01780 WP_044284805.1
EXC50_RS01785 WP_011206399.1
EXC50_RS01790 WP_011206400.1
EXC50_RS01795 WP_011206401.1
EXC50_RS01800 WP_011206402.1
EXC50_RS01805 WP_011206403.1
EXC50_RS01810 WP_011206404.1
EXC50_RS01815 WP_011206405.1
EXC50_RS01820 WP_011206406.1
EXC50_RS01825 WP_011206407.1
EXC50_RS01830 WP_011206408.1
EXC50_RS01835 WP_011206409.1
EXC50_RS01845 WP_011206410.1
EXC50_RS04060 WP_011206411.1
EXC50_RS01855 WP_011205920.1
EXC50_RS01865 WP_011206415.1
EXC50_RS04065 WP_129640589.1
EXC50_RS01885 WP_002557698.1
EXC50_RS01890 WP_011206418.1
EXC50_RS01895 WP_011206419.1
EXC50_RS01900 WP_011206420.1
EXC50_RS01905 WP_011206421.1
EXC50_RS01910 WP_011206422.1
EXC50_RS01915 WP_011206424.1
EXC50_RS01920 WP_011206425.1
EXC50_RS01925 WP_011206426.1
EXC50_RS01930 WP_228366113.1
EXC50_RS01935 WP_011206428.1
EXC50_RS01940 WP_011206429.1
EXC50_RS01945 WP_011206430.1
EXC50_RS01950 WP_011206431.1
EXC50_RS01955 WP_011206432.1
EXC50_RS01960 WP_011206433.1
EXC50_RS01965 WP_088172514.1
EXC50_RS01970 WP_011206435.1
EXC50_RS01975 WP_011206436.1
EXC50_RS01980 WP_011206437.1
EXC50_RS01990 WP_011206439.1
EXC50_RS01995 WP_011206440.1
EXC50_RS02000 WP_011206441.1
EXC50_RS02005 WP_011206442.1
EXC50_RS02010 WP_011206444.1
EXC50_RS02015 WP_011206445.1
EXC50_RS02020 WP_081430784.1
EXC50_RS02025 WP_011206447.1
EXC50_RS02030 WP_088172515.1
EXC50_RS02040 WP_011206448.1
EXC50_RS02045 WP_011206449.1
EXC50_RS02050 WP_011206450.1
EXC50_RS02060 WP_020835888.1
EXC50_RS02065 WP_011206452.1
EXC50_RS02070 WP_011206453.1
EXC50_RS02075 WP_011206454.1
EXC50_RS02080 WP_088172518.1
EXC50_RS02085 WP_011206456.1
EXC50_RS02090 WP_011206457.1
EXC50_RS02095 WP_011206458.1
EXC50_RS02105 WP_011206459.1
EXC50_RS02110 WP_011206460.1
EXC50_RS02115 WP_232039553.1
EXC50_RS02120 WP_011206462.1
EXC50_RS02125 WP_011206463.1
EXC50_RS02130 WP_011206464.1
EXC50_RS02135 WP_011206465.1
EXC50_RS02140 WP_088172519.1
EXC50_RS02145 WP_011206467.1
EXC50_RS02150 WP_011206468.1
EXC50_RS02155 WP_011206469.1
EXC50_RS02160 WP_011206470.1
EXC50_RS02165 WP_011206471.1
EXC50_RS02170 WP_011206472.1
EXC50_RS02175 WP_232039555.1
EXC50_RS02180 WP_011206475.1
EXC50_RS02185 WP_011206475.1
EXC50_RS02190 WP_011206477.1
EXC50_RS04070 WP_232039557.1
EXC50_RS02195 WP_011206479.1
EXC50_RS02200 WP_011206480.1
EXC50_RS02205 WP_044284849.1
EXC50_RS02210 WP_011206482.1
EXC50_RS02215 WP_011206483.1
EXC50_RS02220 WP_011206484.1
EXC50_RS02225 WP_011206485.1
EXC50_RS02230 WP_011206486.1
EXC50_RS02235 WP_011206487.1
EXC50_RS02245 WP_129640593.1
EXC50_RS02250 WP_232039558.1
EXC50_RS02255 WP_014580012.1
EXC50_RS02260 WP_011206490.1
EXC50_RS02265 WP_011206491.1
EXC50_RS02270 WP_011206492.1
EXC50_RS02275 WP_011206493.1
EXC50_RS02280 WP_011206494.1
EXC50_RS02285 WP_011206495.1
EXC50_RS02290 WP_011206496.1
EXC50_RS02295 WP_011206497.1
EXC50_RS02300 WP_044284809.1
EXC50_RS02305 WP_173670098.1
EXC50_RS02310 WP_011206501.1
EXC50_RS02320 WP_011206502.1
EXC50_RS02325 WP_011206503.1
EXC50_RS02330 WP_011206504.1
EXC50_RS02335 WP_011206505.1
EXC50_RS02340 WP_011206506.1
EXC50_RS02345 WP_011206507.1
EXC50_RS02350 WP_011206508.1
EXC50_RS02355 WP_011206509.1
EXC50_RS02360 WP_011206510.1
EXC50_RS02365 WP_011206511.1
EXC50_RS02370 WP_011206512.1
EXC50_RS02375 WP_011206513.1
EXC50_RS02380 WP_011206514.1
EXC50_RS02385 WP_129640595.1
EXC50_RS02390 WP_011206516.1
EXC50_RS02395 WP_011206517.1
EXC50_RS02410 WP_011206518.1
EXC50_RS02415 WP_011206520.1
EXC50_RS02420 WP_011206521.1
EXC50_RS02425 WP_011206522.1
EXC50_RS02430 WP_011206523.1
EXC50_RS02435 WP_011206524.1
EXC50_RS02440 WP_011206525.1
EXC50_RS02445 WP_011206526.1
EXC50_RS02450 WP_011206527.1
EXC50_RS02455 WP_014580051.1
EXC50_RS02460 WP_011206529.1
EXC50_RS04075 WP_232039571.1
EXC50_RS04080 WP_232039573.1
EXC50_RS04085 WP_232039575.1
EXC50_RS02475 WP_011206363.1
EXC50_RS02480 WP_129640602.1
EXC50_RS02485 WP_011206361.1
EXC50_RS02490 WP_129640604.1
EXC50_RS02495 WP_129640606.1
EXC50_RS02500 WP_011206359.1
EXC50_RS02505 WP_011206358.1
EXC50_RS02510 WP_129640608.1
EXC50_RS02515 WP_129640610.1
EXC50_RS02520 WP_011206355.1
EXC50_RS02525 WP_232039577.1
EXC50_RS04090 WP_011205929.1
EXC50_RS02530 WP_011205930.1
EXC50_RS02535 WP_011205931.1
EXC50_RS02540 WP_011205932.1
EXC50_RS02545 WP_011205933.1
EXC50_RS02550 WP_011205934.1
EXC50_RS02555 WP_011205935.1
EXC50_RS02560 WP_011205936.1
EXC50_RS02565 WP_011205937.1
EXC50_RS02570 WP_011205938.1
EXC50_RS02575 WP_011205939.1
EXC50_RS02580 WP_011205940.1
EXC50_RS02585 WP_011205941.1
EXC50_RS02590 WP_044284819.1
EXC50_RS02620 WP_011284046.1
EXC50_RS02625 WP_011205943.1
EXC50_RS02630 WP_011205944.1
EXC50_RS02635 WP_011205945.1
EXC50_RS02640 WP_011205946.1
EXC50_RS02645 WP_318023859.1
EXC50_RS02650 WP_011205948.1
EXC50_RS02655 WP_011205949.1
EXC50_RS02660 WP_011205950.1
EXC50_RS02665 WP_011205951.1
EXC50_RS02670 WP_011205952.1
EXC50_RS02675 WP_011205953.1
EXC50_RS02680 WP_011205954.1
EXC50_RS02685 WP_011205955.1
EXC50_RS02690 WP_011205956.1
EXC50_RS02695 WP_011205957.1
EXC50_RS02700 WP_011205958.1
EXC50_RS02705 WP_011205959.1
EXC50_RS02710 WP_011205960.1
EXC50_RS02715 WP_044284774.1
EXC50_RS02720 WP_011205962.1
EXC50_RS02725 WP_044284614.1
EXC50_RS02730 WP_011205964.1
EXC50_RS02735 WP_011205965.1
EXC50_RS02740 WP_011205966.1
EXC50_RS02745 WP_011205967.1
EXC50_RS02750 WP_044284775.1
EXC50_RS02755 WP_011205969.1
EXC50_RS02760 WP_011205970.1
EXC50_RS02765 WP_011205971.1
EXC50_RS02770 WP_011205972.1
EXC50_RS02775 WP_011205973.1
EXC50_RS02780 WP_044284820.1
EXC50_RS02785 WP_044284776.1
EXC50_RS02790 WP_011205976.1
EXC50_RS02795 WP_011205977.1
EXC50_RS04095 WP_014579710.1
EXC50_RS02805 WP_011205979.1
EXC50_RS02810 WP_232039579.1
EXC50_RS02815 WP_011205981.1
EXC50_RS02820 WP_011205982.1
EXC50_RS02825 WP_011205983.1
EXC50_RS04100 WP_011205984.1
EXC50_RS02835 WP_014579703.1
EXC50_RS02840 WP_011205986.1
EXC50_RS02845 WP_011205987.1
EXC50_RS02850 WP_011205988.1
EXC50_RS02855 WP_011205989.1
EXC50_RS02860 WP_044284777.1
EXC50_RS02865 WP_011205991.1
EXC50_RS02870 WP_011205992.1
EXC50_RS04105 WP_158209054.1
EXC50_RS02875 WP_129640612.1
EXC50_RS02880 WP_011283999.1
EXC50_RS02885 WP_129640614.1
EXC50_RS04110 WP_232039581.1
EXC50_RS04115 WP_232039583.1
EXC50_RS02900 WP_052259116.1
EXC50_RS02905 WP_129640616.1
EXC50_RS02910 WP_011206002.1
EXC50_RS02915 WP_011206003.1
EXC50_RS02920 WP_011206004.1
EXC50_RS02925 WP_011206005.1
EXC50_RS02930 WP_011206006.1
EXC50_RS02940 WP_011206007.1
EXC50_RS02945 WP_011206008.1
EXC50_RS02950 WP_011206009.1
EXC50_RS02955 WP_011206010.1
EXC50_RS02960 WP_044284822.1
EXC50_RS02965 WP_011206012.1
EXC50_RS02970 WP_011206013.1
EXC50_RS02975 WP_011206014.1
EXC50_RS02980 WP_011206015.1
EXC50_RS02985 WP_011206016.1
EXC50_RS02990 WP_011206017.1
EXC50_RS02995 WP_011206018.1
EXC50_RS03000 WP_129640618.1
EXC50_RS03005 WP_129640620.1
EXC50_RS03010 WP_011283978.1
EXC50_RS03015 WP_014579601.1
EXC50_RS03020 WP_011206024.1
EXC50_RS03025 WP_011206025.1
EXC50_RS03030 WP_011206026.1
EXC50_RS03035 WP_011206027.1
EXC50_RS03040 WP_011206028.1
EXC50_RS03045 WP_011206030.1
EXC50_RS03050 WP_011206031.1
EXC50_RS03055 WP_011206032.1
EXC50_RS03060 WP_011206033.1
EXC50_RS03065 WP_014579611.1
EXC50_RS03070 WP_011206035.1
EXC50_RS03075 WP_011206036.1
EXC50_RS03080 WP_011206037.1
EXC50_RS03085 WP_011206038.1
EXC50_RS03090 WP_011206039.1
EXC50_RS03095 WP_011206040.1
EXC50_RS03100 WP_011206041.1
EXC50_RS03105 WP_011206042.1
EXC50_RS03110 WP_011206043.1
EXC50_RS03115 WP_011206044.1
EXC50_RS03120 WP_011206045.1
EXC50_RS03125 WP_011206046.1
EXC50_RS03130 WP_011206047.1
EXC50_RS03135 WP_011283963.1
EXC50_RS03140 WP_011206048.1
EXC50_RS03145 WP_011206049.1
EXC50_RS03150 WP_011206050.1
EXC50_RS03155 WP_011206051.1
EXC50_RS03160 WP_011206052.1
EXC50_RS03165 WP_011206053.1
EXC50_RS03170 WP_011206054.1
EXC50_RS03175 WP_011206055.1
EXC50_RS03180 WP_011206056.1
EXC50_RS03185 WP_011206057.1
EXC50_RS03190 WP_011283955.1
EXC50_RS03195 WP_011206059.1
EXC50_RS03200 WP_011206060.1
EXC50_RS03205 WP_011206061.1
EXC50_RS03210 WP_011206062.1
EXC50_RS03215 WP_011206063.1
EXC50_RS03220 WP_011206064.1
EXC50_RS03225 WP_011206065.1
EXC50_RS03230 WP_011206066.1
EXC50_RS03235 WP_011206067.1
EXC50_RS03240 WP_011206068.1
EXC50_RS03950 WP_011206069.1
EXC50_RS03250 WP_011206070.1
EXC50_RS03255 WP_011206071.1
EXC50_RS03260 WP_011206072.1
EXC50_RS03265 WP_011206073.1
EXC50_RS03270 WP_052259123.1
EXC50_RS03280 WP_232039585.1
EXC50_RS03285 WP_011206076.1
EXC50_RS03290 WP_088172534.1
EXC50_RS03295 WP_011206078.1
EXC50_RS03300 WP_011206079.1
EXC50_RS03305 WP_011206080.1
EXC50_RS03310 WP_232039586.1
EXC50_RS03320 WP_011283934.1
EXC50_RS03325 WP_011206083.1
EXC50_RS03330 WP_129640622.1
EXC50_RS03340 WP_011206085.1
EXC50_RS03345 WP_011206086.1
EXC50_RS03350 WP_011206087.1
EXC50_RS03355 WP_044284780.1
EXC50_RS03360 WP_011206089.1
EXC50_RS03365 WP_011206090.1
EXC50_RS03370 WP_011206091.1
EXC50_RS03375 WP_011206092.1
EXC50_RS03380 WP_011206093.1
EXC50_RS03385 WP_011206094.1
EXC50_RS03390 WP_011206095.1
EXC50_RS03395 WP_011206096.1
EXC50_RS03400 WP_011206097.1
EXC50_RS03405 WP_011206098.1
EXC50_RS04245 WP_258556638.1
EXC50_RS03415 WP_232039589.1
EXC50_RS03420 WP_011206100.1
EXC50_RS03430 WP_011206101.1
EXC50_RS03435 WP_011206102.1
EXC50_RS03440 WP_011206103.1
EXC50_RS03445 WP_052259117.1
EXC50_RS03450 WP_232039591.1
EXC50_RS03465 WP_011206106.1
EXC50_RS03470 WP_011206107.1
EXC50_RS03475 WP_011206108.1
EXC50_RS03480 WP_011206109.1
EXC50_RS03485 WP_011206110.1
EXC50_RS03490 WP_011206110.1
EXC50_RS04120 WP_232039607.1
EXC50_RS03500 WP_011206113.1
EXC50_RS03505 WP_011206114.1
EXC50_RS03510 WP_011206115.1
EXC50_RS03515 WP_011206116.1
EXC50_RS03520 WP_011206117.1
EXC50_RS03525 WP_011206118.1
EXC50_RS03530 WP_011206119.1
EXC50_RS03535 WP_011206120.1
EXC50_RS03545 WP_011206121.1
EXC50_RS03550 WP_011206122.1
EXC50_RS03555 WP_011206123.1
EXC50_RS03560 WP_129640624.1
EXC50_RS03565 WP_011206125.1
EXC50_RS03570 WP_044284784.1
EXC50_RS03575 WP_011206127.1
EXC50_RS04125 WP_011206128.1
EXC50_RS03580 WP_044284785.1
EXC50_RS03585 WP_011206130.1
EXC50_RS03590 WP_011206131.1
EXC50_RS03640 WP_011206132.1
EXC50_RS03650 WP_011206134.1
EXC50_RS03655 WP_011206135.1
EXC50_RS03660 WP_129640626.1
EXC50_RS03665 WP_011206137.1
EXC50_RS03670 WP_011206371.1
EXC50_RS03675 WP_011206370.1
EXC50_RS03680 WP_044284843.1
EXC50_RS03685 WP_232039593.1
EXC50_RS03690 WP_129640628.1
EXC50_RS03695 WP_228365397.1
EXC50_RS04130 WP_232039595.1
EXC50_RS04135 WP_232039597.1
EXC50_RS04140 WP_232039599.1
EXC50_RS04145 WP_232039601.1
EXC50_RS04150 WP_232039604.1
EXC50_RS03705 WP_129640630.1
EXC50_RS03710 WP_129640632.1
EXC50_RS03715 WP_129640632.1
EXC50_RS04155 WP_232039612.1
EXC50_RS04160 WP_232039614.1
EXC50_RS03725 WP_232039616.1
EXC50_RS03730 WP_044284843.1
EXC50_RS03735 WP_232039593.1
EXC50_RS03740 WP_129640628.1
EXC50_RS03745 WP_228365397.1
EXC50_RS03750 WP_129640637.1
EXC50_RS03755 WP_011206363.1
EXC50_RS03760 WP_129640555.1
EXC50_RS03765 WP_011206361.1
EXC50_RS03770 WP_011206360.1
EXC50_RS03775 WP_011206359.1
EXC50_RS03780 WP_129640639.1
EXC50_RS04165 WP_129640639.1
EXC50_RS03790 WP_232039618.1
EXC50_RS03795 WP_011206358.1
EXC50_RS03800 WP_129640553.1
EXC50_RS03805 WP_011206356.1
EXC50_RS03810 WP_011206355.1
EXC50_RS03815 WP_011206287.1
EXC50_RS03820 WP_044284799.1
EXC50_RS03825 WP_011206289.1
EXC50_RS04170 WP_232039621.1
