MHP168_RS00005 WP_014579516.1
MHP168_RS01015 WP_044277974.1
MHP168_RS01030 WP_014579656.1
MHP168_RS01035 WP_014579657.1
MHP168_RS01045 WP_081450695.1
MHP168_RS01050 WP_014579659.1
MHP168_RS01055 WP_014579660.1
MHP168_RS01060 WP_011206110.1
MHP168_RS01070 WP_014579661.1
MHP168_RS01075 WP_011290071.1
MHP168_RS01080 WP_014579662.1
MHP168_RS01085 WP_011206016.1
MHP168_RS01090 WP_011206015.1
MHP168_RS01095 WP_011206014.1
MHP168_RS01100 WP_011206013.1
MHP168_RS01105 WP_014579663.1
MHP168_RS01110 WP_014579664.1
MHP168_RS01115 WP_011283987.1
MHP168_RS01120 WP_014579665.1
MHP168_RS01125 WP_014579666.1
MHP168_RS01130 WP_014579667.1
MHP168_RS01140 WP_014579669.1
MHP168_RS01145 WP_011206005.1
MHP168_RS01150 WP_014579671.1
MHP168_RS01155 WP_014579672.1
MHP168_RS01160 WP_014579673.1
MHP168_RS01165 WP_014579674.1
MHP168_RS03915 WP_228365412.1
MHP168_RS03920 WP_228365413.1
MHP168_RS01175 WP_014579675.1
MHP168_RS01180 WP_014579676.1
MHP168_RS01185 WP_014579677.1
MHP168_RS01190 WP_014579678.1
MHP168_RS01195 WP_014579679.1
MHP168_RS03925 WP_014579680.1
MHP168_RS01205 WP_014579681.1
MHP168_RS01210 WP_011290238.1
MHP168_RS01215 WP_014579682.1
MHP168_RS01220 WP_014579683.1
MHP168_RS01230 WP_014579684.1
MHP168_RS01235 WP_014579686.1
MHP168_RS01240 WP_014579687.1
MHP168_RS01245 WP_014579688.1
MHP168_RS01250 WP_014579689.1
MHP168_RS03930 WP_228365414.1
MHP168_RS01260 WP_044277979.1
MHP168_RS01265 WP_014579691.1
MHP168_RS03860 WP_187286317.1
MHP168_RS01270 WP_228365415.1
MHP168_RS01275 WP_014579694.1
MHP168_RS01280 WP_011283999.1
MHP168_RS01285 WP_014579695.1
MHP168_RS01290 WP_011284001.1
MHP168_RS01300 WP_014579697.1
MHP168_RS01305 WP_011284003.1
MHP168_RS01310 WP_014579699.1
MHP168_RS01315 WP_014579700.1
MHP168_RS01320 WP_014579701.1
MHP168_RS01325 WP_014579702.1
MHP168_RS01330 WP_014579703.1
MHP168_RS03935 WP_228365416.1
MHP168_RS01340 WP_011205983.1
MHP168_RS01345 WP_014579705.1
MHP168_RS03940 WP_044277983.1
MHP168_RS03945 WP_014579707.1
MHP168_RS03950 WP_228365417.1
MHP168_RS01365 WP_014579709.1
MHP168_RS03865 WP_228365418.1
MHP168_RS01375 WP_014579711.1
MHP168_RS01380 WP_014579712.1
MHP168_RS01385 WP_014579713.1
MHP168_RS01390 WP_014579714.1
MHP168_RS01395 WP_011205973.1
MHP168_RS01400 WP_081450696.1
MHP168_RS01405 WP_014579716.1
MHP168_RS01410 WP_014579717.1
MHP168_RS01415 WP_014579718.1
MHP168_RS01420 WP_011205969.1
MHP168_RS01425 WP_011284023.1
MHP168_RS01430 WP_044277984.1
MHP168_RS01435 WP_014579721.1
MHP168_RS01440 WP_011205965.1
MHP168_RS01445 WP_011284027.1
MHP168_RS01450 WP_044277987.1
MHP168_RS01455 WP_011205962.1
MHP168_RS01460 WP_014579723.1
MHP168_RS01465 WP_014579724.1
MHP168_RS01470 WP_011290114.1
MHP168_RS01475 WP_014579725.1
MHP168_RS01480 WP_011205957.1
MHP168_RS01485 WP_011205956.1
MHP168_RS01490 WP_011205955.1
MHP168_RS01495 WP_011205954.1
MHP168_RS01500 WP_014579726.1
MHP168_RS01505 WP_011205952.1
MHP168_RS01510 WP_014579727.1
MHP168_RS01515 WP_011290120.1
MHP168_RS01520 WP_014579728.1
MHP168_RS01525 WP_011284040.1
MHP168_RS01530 WP_233417364.1
MHP168_RS01535 WP_014579730.1
MHP168_RS01540 WP_014579731.1
MHP168_RS01545 WP_014579732.1
MHP168_RS01550 WP_014579733.1
MHP168_RS01555 WP_011284046.1
MHP168_RS01585 WP_014579734.1
MHP168_RS01590 WP_014579735.1
MHP168_RS01595 WP_014579736.1
MHP168_RS01600 WP_014579737.1
MHP168_RS01605 WP_014579738.1
MHP168_RS01610 WP_014579739.1
MHP168_RS01615 WP_011284053.1
MHP168_RS01620 WP_014579740.1
MHP168_RS01625 WP_014579741.1
MHP168_RS01630 WP_011284056.1
MHP168_RS01635 WP_011205932.1
MHP168_RS01640 WP_014579742.1
MHP168_RS01645 WP_014579743.1
MHP168_RS01650 WP_228365419.1
MHP168_RS01655 WP_014579745.1
MHP168_RS01660 WP_014579746.1
MHP168_RS03815 WP_014579746.1
MHP168_RS01665 WP_014579748.1
MHP168_RS03735 WP_228365420.1
MHP168_RS01670 WP_014579750.1
MHP168_RS01675 WP_020835684.1
MHP168_RS01680 WP_014579752.1
MHP168_RS01685 WP_014579753.1
MHP168_RS01690 WP_233417365.1
MHP168_RS03955 WP_044277988.1
MHP168_RS01700 WP_081450695.1
MHP168_RS04105 WP_081450695.1
MHP168_RS01710 WP_014579755.1
MHP168_RS01715 WP_014579756.1
MHP168_RS01720 WP_044277991.1
MHP168_RS01725 WP_014579758.1
MHP168_RS01730 WP_014579759.1
MHP168_RS01735 WP_014579760.1
MHP168_RS01740 WP_014579761.1
MHP168_RS01745 WP_014579762.1
MHP168_RS03745 WP_225973034.1
MHP168_RS01750 WP_228365421.1
MHP168_RS01755 WP_011284074.1
MHP168_RS01760 WP_044277993.1
MHP168_RS03870 WP_158520146.1
MHP168_RS01765 WP_014579765.1
MHP168_RS01770 WP_014579766.1
MHP168_RS01775 WP_014579767.1
MHP168_RS01780 WP_014579768.1
MHP168_RS03960 WP_167513696.1
MHP168_RS01785 WP_014579769.1
MHP168_RS04045 WP_014579770.1
MHP168_RS01790 WP_014579771.1
MHP168_RS01795 WP_228365422.1
MHP168_RS01800 WP_187286318.1
MHP168_RS01810 WP_014579775.1
MHP168_RS01815 WP_011284063.1
MHP168_RS01820 WP_014579776.1
MHP168_RS01825 WP_014579777.1
MHP168_RS01830 WP_014579778.1
MHP168_RS01835 WP_081450695.1
MHP168_RS01840 WP_014579779.1
MHP168_RS01845 WP_014579780.1
MHP168_RS01850 WP_014579781.1
MHP168_RS03965 WP_228365423.1
MHP168_RS03970 WP_228365424.1
MHP168_RS01860 WP_014579782.1
MHP168_RS01865 WP_014579783.1
MHP168_RS01870 WP_014579784.1
MHP168_RS01875 WP_014579785.1
MHP168_RS01880 WP_044277998.1
MHP168_RS01885 WP_014579786.1
MHP168_RS01890 WP_014579787.1
MHP168_RS01895 WP_011206182.1
MHP168_RS01900 WP_014579789.1
MHP168_RS01905 WP_014579790.1
MHP168_RS01910 WP_228365425.1
MHP168_RS03975 WP_228365426.1
MHP168_RS03875 WP_052293597.1
MHP168_RS03880 WP_158520147.1
MHP168_RS01925 WP_014579793.1
MHP168_RS01930 WP_014579794.1
MHP168_RS01935 WP_228365427.1
MHP168_RS01940 WP_014579796.1
MHP168_RS01945 WP_014579797.1
MHP168_RS03840 WP_143826160.1
MHP168_RS04050 WP_269076332.1
MHP168_RS01955 WP_014579799.1
MHP168_RS03980 WP_014579800.1
MHP168_RS04055 WP_258556645.1
MHP168_RS01975 WP_011206194.1
MHP168_RS01985 WP_014579804.1
MHP168_RS01990 WP_014579805.1
MHP168_RS01995 WP_011206197.1
MHP168_RS02000 WP_014579806.1
MHP168_RS02005 WP_014579807.1
MHP168_RS02010 WP_014579808.1
MHP168_RS02015 WP_014579809.1
MHP168_RS02020 WP_044278002.1
MHP168_RS04085 WP_011284124.1
MHP168_RS02030 WP_014579810.1
MHP168_RS02035 WP_014579811.1
MHP168_RS02040 WP_014579812.1
MHP168_RS02045 WP_014579813.1
MHP168_RS02050 WP_014579814.1
MHP168_RS02055 WP_014579815.1
MHP168_RS02060 WP_014579816.1
MHP168_RS02065 WP_228365379.1
MHP168_RS02070 WP_014579818.1
MHP168_RS02075 WP_228365380.1
MHP168_RS02080 WP_014579820.1
MHP168_RS02085 WP_014579821.1
MHP168_RS02090 WP_014579822.1
MHP168_RS02095 WP_014579823.1
MHP168_RS02100 WP_014579824.1
MHP168_RS03890 WP_011206218.1
MHP168_RS02105 WP_081450698.1
MHP168_RS02110 WP_014579826.1
MHP168_RS02115 WP_011206247.1
MHP168_RS02120 WP_014579828.1
MHP168_RS02125 WP_228365381.1
MHP168_RS02130 WP_014579830.1
MHP168_RS02135 WP_014579831.1
MHP168_RS02140 WP_014579832.1
MHP168_RS02145 WP_014579833.1
MHP168_RS02150 WP_014579834.1
MHP168_RS02155 WP_011206239.1
MHP168_RS02160 WP_014579835.1
MHP168_RS02165 WP_044278005.1
MHP168_RS03985 WP_228365382.1
MHP168_RS03895 WP_158209055.1
MHP168_RS02175 WP_014579837.1
MHP168_RS02190 WP_014579838.1
MHP168_RS02195 WP_011206231.1
MHP168_RS02200 WP_081450695.1
MHP168_RS02205 WP_011290211.1
MHP168_RS02210 WP_014579839.1
MHP168_RS02215 WP_014579840.1
MHP168_RS02220 WP_014579841.1
MHP168_RS02225 WP_044278006.1
MHP168_RS02230 WP_014579843.1
MHP168_RS02235 WP_011206224.1
MHP168_RS02240 WP_014579844.1
MHP168_RS02245 WP_014579845.1
MHP168_RS02250 WP_014579846.1
MHP168_RS02255 WP_014579847.1
MHP168_RS02260 WP_014579848.1
MHP168_RS02265 WP_081450695.1
MHP168_RS02270 WP_014579849.1
MHP168_RS02275 WP_014579850.1
MHP168_RS02280 WP_228365384.1
MHP168_RS03990 WP_014579852.1
MHP168_RS02290 WP_014579853.1
MHP168_RS02295 WP_011206256.1
MHP168_RS02300 WP_014579854.1
MHP168_RS02305 WP_044278009.1
MHP168_RS02310 WP_014579856.1
MHP168_RS02315 WP_014579857.1
MHP168_RS02320 WP_014579858.1
MHP168_RS02325 WP_014579859.1
MHP168_RS02330 WP_014579860.1
MHP168_RS02335 WP_014579861.1
MHP168_RS02340 WP_044278010.1
MHP168_RS02345 WP_011284186.1
MHP168_RS02350 WP_014579864.1
MHP168_RS02355 WP_081450699.1
MHP168_RS02360 WP_014579866.1
MHP168_RS02365 WP_011206271.1
MHP168_RS02370 WP_228365385.1
MHP168_RS02375 WP_014579868.1
MHP168_RS02380 WP_044278012.1
MHP168_RS02385 WP_014579870.1
MHP168_RS02390 WP_014579871.1
MHP168_RS03995 WP_228365386.1
MHP168_RS04000 WP_228365387.1
MHP168_RS02405 WP_228365388.1
MHP168_RS02410 WP_014579874.1
MHP168_RS02415 WP_044278014.1
MHP168_RS02420 WP_044278015.1
MHP168_RS02425 WP_014579875.1
MHP168_RS02430 WP_014579876.1
MHP168_RS02440 WP_014579877.1
MHP168_RS02445 WP_081450704.1
MHP168_RS02450 WP_014579879.1
MHP168_RS02455 WP_014579880.1
MHP168_RS02460 WP_044278019.1
MHP168_RS02465 WP_011206289.1
MHP168_RS02470 WP_014579882.1
MHP168_RS02475 WP_014579883.1
MHP168_RS02480 WP_014579884.1
MHP168_RS02485 WP_014579885.1
MHP168_RS02500 WP_044278021.1
MHP168_RS02505 WP_044278023.1
MHP168_RS02510 WP_014579886.1
MHP168_RS04005 WP_014579887.1
MHP168_RS02520 WP_014579888.1
MHP168_RS02525 WP_011206297.1
MHP168_RS02530 WP_011206298.1
MHP168_RS02535 WP_011284218.1
MHP168_RS02540 WP_014579889.1
MHP168_RS02545 WP_014579890.1
MHP168_RS02550 WP_011206302.1
MHP168_RS02555 WP_014579891.1
MHP168_RS02560 WP_014579892.1
MHP168_RS02565 WP_011206305.1
MHP168_RS02570 WP_014579893.1
MHP168_RS02575 WP_014579894.1
MHP168_RS02580 WP_014579895.1
MHP168_RS02585 WP_044278026.1
MHP168_RS02590 WP_014579897.1
MHP168_RS02595 WP_014579898.1
MHP168_RS02600 WP_014579899.1
MHP168_RS02605 WP_011206313.1
MHP168_RS03900 WP_179695988.1
MHP168_RS02615 WP_014579901.1
MHP168_RS02620 WP_014579902.1
MHP168_RS02625 WP_014579903.1
MHP168_RS02630 WP_014579904.1
MHP168_RS02635 WP_014579905.1
MHP168_RS02640 WP_014579906.1
MHP168_RS02645 WP_014579907.1
MHP168_RS02650 WP_014579908.1
MHP168_RS02655 WP_014579909.1
MHP168_RS02660 WP_014579910.1
MHP168_RS04010 WP_044278027.1
MHP168_RS02670 WP_011290300.1
MHP168_RS02675 WP_014579911.1
MHP168_RS02680 WP_014579912.1
MHP168_RS02685 WP_014579913.1
MHP168_RS02690 WP_014579914.1
MHP168_RS02695 WP_014579915.1
MHP168_RS02700 WP_014579916.1
MHP168_RS04090 WP_014579917.1
MHP168_RS02710 WP_011206333.1
MHP168_RS02715 WP_014579918.1
MHP168_RS02720 WP_011206335.1
MHP168_RS02725 WP_014579919.1
MHP168_RS02730 WP_011206337.1
MHP168_RS02735 WP_014579920.1
MHP168_RS02740 WP_014579921.1
MHP168_RS02745 WP_011290314.1
MHP168_RS02750 WP_014579922.1
MHP168_RS02755 WP_014579924.1
MHP168_RS02760 WP_014579925.1
MHP168_RS02765 WP_228365390.1
MHP168_RS02770 WP_044278028.1
MHP168_RS02775 WP_014579928.1
MHP168_RS02780 WP_014579929.1
MHP168_RS02785 WP_228365391.1
MHP168_RS02790 WP_014579931.1
MHP168_RS02795 WP_014579932.1
MHP168_RS04025 WP_228365392.1
MHP168_RS02805 WP_228365393.1
MHP168_RS04060 WP_258555242.1
MHP168_RS02810 WP_014579934.1
MHP168_RS02815 WP_014579935.1
MHP168_RS02820 WP_081450695.1
MHP168_RS02825 WP_011284269.1
MHP168_RS02830 WP_014579936.1
MHP168_RS02835 WP_011206375.1
MHP168_RS02840 WP_011206376.1
MHP168_RS02845 WP_011284272.1
MHP168_RS02850 WP_014579937.1
MHP168_RS02855 WP_011290331.1
MHP168_RS02860 WP_014579938.1
MHP168_RS02865 WP_014579939.1
MHP168_RS02870 WP_014579941.1
MHP168_RS02875 WP_014579942.1
MHP168_RS02880 WP_011206384.1
MHP168_RS02885 WP_011206385.1
MHP168_RS02890 WP_014579943.1
MHP168_RS02895 WP_228365394.1
MHP168_RS02900 WP_014579945.1
MHP168_RS02905 WP_014579946.1
MHP168_RS02910 WP_011206390.1
MHP168_RS02915 WP_011206391.1
MHP168_RS02920 WP_014579948.1
MHP168_RS04065 WP_269076331.1
MHP168_RS02925 WP_014579949.1
MHP168_RS02935 WP_228365395.1
MHP168_RS02940 WP_011206395.1
MHP168_RS02945 WP_014579951.1
MHP168_RS02950 WP_014579952.1
MHP168_RS02955 WP_011206399.1
MHP168_RS02960 WP_011206400.1
MHP168_RS02965 WP_014579953.1
MHP168_RS02970 WP_011206402.1
MHP168_RS02975 WP_044278032.1
MHP168_RS02980 WP_014579955.1
MHP168_RS02985 WP_011206405.1
MHP168_RS02990 WP_014579956.1
MHP168_RS02995 WP_011206407.1
MHP168_RS03000 WP_011206408.1
MHP168_RS03005 WP_044278034.1
MHP168_RS03010 WP_044278034.1
MHP168_RS03015 WP_014579958.1
MHP168_RS03020 WP_014579959.1
MHP168_RS03025 WP_081450695.1
MHP168_RS03030 WP_002557698.1
MHP168_RS03035 WP_014579961.1
MHP168_RS03040 WP_014579962.1
MHP168_RS03045 WP_014579964.1
MHP168_RS03050 WP_014579965.1
MHP168_RS03055 WP_014579966.1
MHP168_RS03060 WP_011206424.1
MHP168_RS03065 WP_011206425.1
MHP168_RS03070 WP_014579967.1
MHP168_RS03075 WP_011206427.1
MHP168_RS03080 WP_014579968.1
MHP168_RS03085 WP_014579969.1
MHP168_RS03090 WP_014579970.1
MHP168_RS03095 WP_011290372.1
MHP168_RS03100 WP_014579971.1
MHP168_RS03105 WP_011206433.1
MHP168_RS03110 WP_014579972.1
MHP168_RS03115 WP_011206435.1
MHP168_RS03120 WP_187286312.1
MHP168_RS03125 WP_014579974.1
MHP168_RS03135 WP_014579976.1
MHP168_RS03140 WP_014579977.1
MHP168_RS03145 WP_011206441.1
MHP168_RS03150 WP_014579978.1
MHP168_RS03155 WP_014579979.1
MHP168_RS03160 WP_011206445.1
MHP168_RS03165 WP_014579980.1
MHP168_RS03170 WP_014579981.1
MHP168_RS03175 WP_014579982.1
MHP168_RS03180 WP_014579982.1
MHP168_RS03185 WP_014579983.1
MHP168_RS03190 WP_014579984.1
MHP168_RS03200 WP_014579985.1
MHP168_RS03205 WP_014579986.1
MHP168_RS03210 WP_014579987.1
MHP168_RS03215 WP_014579988.1
MHP168_RS03220 WP_014579989.1
MHP168_RS03225 WP_014579990.1
MHP168_RS03230 WP_011206457.1
MHP168_RS03235 WP_011206458.1
MHP168_RS03245 WP_011206459.1
MHP168_RS03250 WP_014579991.1
MHP168_RS03255 WP_014579992.1
MHP168_RS03260 WP_014579993.1
MHP168_RS03265 WP_014579994.1
MHP168_RS03270 WP_011206465.1
MHP168_RS03275 WP_014579995.1
MHP168_RS03280 WP_014579996.1
MHP168_RS03285 WP_011206468.1
MHP168_RS03290 WP_011206469.1
MHP168_RS03295 WP_014579997.1
MHP168_RS03300 WP_044278039.1
MHP168_RS03305 WP_014579999.1
MHP168_RS03310 WP_228365396.1
MHP168_RS03315 WP_011206475.1
MHP168_RS03845 WP_011206475.1
MHP168_RS03320 WP_014580002.1
MHP168_RS03325 WP_014580003.1
MHP168_RS03330 WP_014580004.1
MHP168_RS03335 WP_044278116.1
MHP168_RS03340 WP_014580006.1
MHP168_RS03345 WP_014580007.1
MHP168_RS03350 WP_014580008.1
MHP168_RS03355 WP_014580009.1
MHP168_RS03360 WP_014580010.1
MHP168_RS03365 WP_011206487.1
MHP168_RS03375 WP_011206488.1
MHP168_RS03380 WP_014580011.1
MHP168_RS03790 WP_014580012.1
MHP168_RS03385 WP_014580013.1
MHP168_RS03390 WP_014580014.1
MHP168_RS03395 WP_014580015.1
MHP168_RS03400 WP_011206493.1
MHP168_RS03405 WP_011206494.1
MHP168_RS03410 WP_011284367.1
MHP168_RS03415 WP_011284368.1
MHP168_RS03420 WP_044278043.1
MHP168_RS03425 WP_014580018.1
MHP168_RS03430 WP_014580019.1
MHP168_RS03435 WP_014580020.1
MHP168_RS03445 WP_011206502.1
MHP168_RS03450 WP_011284373.1
MHP168_RS03455 WP_014580021.1
MHP168_RS03460 WP_014580022.1
MHP168_RS03465 WP_014580023.1
MHP168_RS03470 WP_011284377.1
MHP168_RS03475 WP_044278045.1
MHP168_RS03480 WP_014580026.1
MHP168_RS03485 WP_011206510.1
MHP168_RS03490 WP_014580027.1
MHP168_RS03495 WP_014580028.1
MHP168_RS03500 WP_148218555.1
MHP168_RS03505 WP_081450695.1
MHP168_RS03510 WP_014580030.1
MHP168_RS03515 WP_014580031.1
MHP168_RS03520 WP_014580032.1
MHP168_RS03525 WP_014580033.1
MHP168_RS03530 WP_014580034.1
MHP168_RS03535 WP_014580035.1
MHP168_RS03540 WP_228365397.1
MHP168_RS04030 WP_011206365.1
MHP168_RS04035 WP_052293599.1
MHP168_RS03550 WP_014580037.1
MHP168_RS03555 WP_011206358.1
MHP168_RS03560 WP_014580038.1
MHP168_RS03565 WP_011206356.1
MHP168_RS03570 WP_014580039.1
MHP168_RS03575 WP_014580040.1
MHP168_RS03580 WP_014580041.1
MHP168_RS03585 WP_187286313.1
MHP168_RS03590 WP_081450695.1
MHP168_RS03595 WP_044278046.1
MHP168_RS03610 WP_014580043.1
MHP168_RS03615 WP_011206520.1
MHP168_RS03620 WP_014580044.1
MHP168_RS03625 WP_014580045.1
MHP168_RS03630 WP_014580046.1
MHP168_RS03635 WP_014580047.1
MHP168_RS03640 WP_228365398.1
MHP168_RS03645 WP_014580049.1
MHP168_RS03650 WP_014580050.1
MHP168_RS03655 WP_014580051.1
MHP168_RS03660 WP_011206529.1
