Orthogroup	MHP_131B_genes	MHP_TB1_genes
OG0000287	NB627_RS02705	B5M19_RS01050
OG0000288	NB627_RS02715	B5M19_RS01040
OG0000289	NB627_RS02720	B5M19_RS01035
OG0000290	NB627_RS02840	B5M19_RS04120
OG0000291	NB627_RS02825	B5M19_RS00935
OG0000292	NB627_RS02820	B5M19_RS00940
OG0000293	NB627_RS02815	B5M19_RS00945
OG0000294	NB627_RS02805	B5M19_RS00955
OG0000295	NB627_RS02800	B5M19_RS00960
OG0000296	NB627_RS02755	B5M19_RS01000
OG0000297	NB627_RS02750	B5M19_RS01005
OG0000298	NB627_RS00175	B5M19_RS00085
OG0000299	NB627_RS00195	B5M19_RS00110
OG0000300	NB627_RS00385	B5M19_RS00300
OG0000301	NB627_RS00420	B5M19_RS00340
OG0000302	NB627_RS00425	B5M19_RS00345
OG0000303	NB627_RS00670	B5M19_RS02410
OG0000304	NB627_RS01195	B5M19_RS03190
OG0000305	NB627_RS03070	B5M19_RS01385
OG0000306	NB627_RS02995	B5M19_RS02560
OG0000307	NB627_RS02955	B5M19_RS02525
OG0000308	NB627_RS02855	B5M19_RS00905
OG0000309	NB627_RS02790	B5M19_RS00970
OG0000310	NB627_RS02710	B5M19_RS01045
OG0000311	NB627_RS02665	B5M19_RS02790
OG0000312	NB627_RS02650	B5M19_RS02805
OG0000313	NB627_RS01725	B5M19_RS03300
OG0000314	NB627_RS02095	B5M19_RS00780
OG0000315	NB627_RS02125	B5M19_RS00810
OG0000316	NB627_RS02135	B5M19_RS00820
OG0000317	NB627_RS02235	B5M19_RS02720
OG0000318	NB627_RS02155	B5M19_RS00825
OG0000319	NB627_RS02390	B5M19_RS02945
OG0000320	NB627_RS02530	B5M19_RS04425
OG0000321	NB627_RS01455	B5M19_RS01240
OG0000322	NB627_RS01510	B5M19_RS01195
OG0000323	NB627_RS01640	B5M19_RS01065
OG0000324	NB627_RS02430	B5M19_RS03240
OG0000325	NB627_RS00815	B5M19_RS01845
OG0000326	NB627_RS00910	B5M19_RS01750
OG0000327	NB627_RS00915	B5M19_RS01745
OG0000328	NB627_RS01005	B5M19_RS01660
OG0000329	NB627_RS01025	B5M19_RS01640
OG0000330	NB627_RS01220	B5M19_RS02210
OG0000331	NB627_RS03160	B5M19_RS01285
OG0000332	NB627_RS03305	B5M19_RS01520
OG0000333	NB627_RS03315	B5M19_RS01530
OG0000334	NB627_RS03420	B5M19_RS03040
OG0000335	NB627_RS03430	B5M19_RS03030
OG0000336	NB627_RS03605	B5M19_RS00505
OG0000337	NB627_RS03780	B5M19_RS01985
OG0000338	NB627_RS03820	B5M19_RS01940
OG0000339	NB627_RS02500	B5M19_RS03615
OG0000340	NB627_RS01435	B5M19_RS02565
OG0000341	NB627_RS02455	B5M19_RS03220
OG0000342	NB627_RS00845	B5M19_RS01815
OG0000343	NB627_RS03325	B5M19_RS04195
OG0000344	NB627_RS00685	B5M19_RS02425
OG0000345	NB627_RS01140	B5M19_RS03135
OG0000346	NB627_RS03610	B5M19_RS04590
OG0000347	NB627_RS01535	B5M19_RS01170
OG0000348	NB627_RS00920	B5M19_RS01740
OG0000349	NB627_RS03670	B5M19_RS00440
OG0000350	NB627_RS02945	B5M19_RS02515
OG0000351	NB627_RS00600	B5M19_RS03490
OG0000352	NB627_RS02075	B5M19_RS00755
OG0000353	NB627_RS01500	B5M19_RS01200
OG0000354	NB627_RS00745	B5M19_RS03080
OG0000355	NB627_RS02050	B5M19_RS00725
OG0000356	NB627_RS02130	B5M19_RS00815
OG0000357	NB627_RS03285	B5M19_RS01500
OG0000358	NB627_RS03290	B5M19_RS01505
OG0000359	NB627_RS00890	B5M19_RS01770
OG0000360	NB627_RS00275	B5M19_RS00195
OG0000361	NB627_RS00305	B5M19_RS00225
OG0000362	NB627_RS02730	B5M19_RS01025
OG0000363	NB627_RS01575	B5M19_RS01125
OG0000364	NB627_RS02025	B5M19_RS00700
OG0000365	NB627_RS02180	B5M19_RS02775
OG0000366	NB627_RS02200	B5M19_RS02750
OG0000367	NB627_RS02215	B5M19_RS02740
OG0000368	NB627_RS00060	B5M19_RS04270
OG0000369	NB627_RS00025	B5M19_RS01910
OG0000370	NB627_RS00020	B5M19_RS01915
OG0000371	NB627_RS00015	B5M19_RS01920
OG0000372	NB627_RS00010	B5M19_RS01925
OG0000373	NB627_RS03810	B5M19_RS01950
OG0000374	NB627_RS03800	B5M19_RS01960
OG0000375	NB627_RS02385	B5M19_RS02950
OG0000376	NB627_RS02545	B5M19_RS02670
OG0000377	NB627_RS02535	B5M19_RS02680
OG0000378	NB627_RS01415	B5M19_RS02585
OG0000379	NB627_RS01495	B5M19_RS01205
OG0000380	NB627_RS01525	B5M19_RS01180
OG0000381	NB627_RS01565	B5M19_RS01140
OG0000382	NB627_RS01595	B5M19_RS01105
OG0000383	NB627_RS01635	B5M19_RS01070
OG0000384	NB627_RS00625	B5M19_RS02365
OG0000385	NB627_RS00630	B5M19_RS02370
OG0000386	NB627_RS00650	B5M19_RS02390
OG0000387	NB627_RS00675	B5M19_RS02415
OG0000388	NB627_RS00680	B5M19_RS02420
OG0000389	NB627_RS00725	B5M19_RS03095
OG0000390	NB627_RS03090	B5M19_RS01365
OG0000391	NB627_RS03080	B5M19_RS01375
OG0000392	NB627_RS03055	B5M19_RS01400
OG0000393	NB627_RS03000	B5M19_RS03515
OG0000394	NB627_RS02920	B5M19_RS02490
OG0000395	NB627_RS02915	B5M19_RS02485
OG0000396	NB627_RS02610	B5M19_RS02845
OG0000397	NB627_RS02060	B5M19_RS00740
OG0000398	NB627_RS02065	B5M19_RS00745
OG0000399	NB627_RS02110	B5M19_RS00795
OG0000400	NB627_RS03250	B5M19_RS01460
OG0000401	NB627_RS03310	B5M19_RS01525
OG0000402	NB627_RS03320	B5M19_RS01535
OG0000405	NB627_RS03380	B5M19_RS01590
OG0000406	NB627_RS03435	B5M19_RS03025
OG0000407	NB627_RS03440	B5M19_RS03020
OG0000408	NB627_RS03445	B5M19_RS03015
OG0000409	NB627_RS03450	B5M19_RS03010
OG0000410	NB627_RS03515	B5M19_RS03100
OG0000411	NB627_RS03500	B5M19_RS03110
OG0000412	NB627_RS03495	B5M19_RS03115
OG0000413	NB627_RS01650	B5M19_RS03555
OG0000414	NB627_RS01660	B5M19_RS03545
OG0000415	NB627_RS01665	B5M19_RS03540
OG0000416	NB627_RS01675	B5M19_RS03530
OG0000417	NB627_RS02450	B5M19_RS03225
OG0000418	NB627_RS02440	B5M19_RS03230
OG0000419	NB627_RS00825	B5M19_RS01835
OG0000420	NB627_RS00860	B5M19_RS01800
OG0000421	NB627_RS00900	B5M19_RS01765
OG0000422	NB627_RS00905	B5M19_RS01755
OG0000423	NB627_RS00965	B5M19_RS01700
OG0000424	NB627_RS00970	B5M19_RS01695
OG0000425	NB627_RS00980	B5M19_RS01685
OG0000426	NB627_RS00985	B5M19_RS01680
OG0000427	NB627_RS01010	B5M19_RS01655
OG0000430	NB627_RS01175	B5M19_RS03170
OG0000431	NB627_RS01185	B5M19_RS03180
OG0000432	NB627_RS01215	B5M19_RS04345
OG0000433	NB627_RS01230	B5M19_RS02200
OG0000434	NB627_RS01235	B5M19_RS02195
OG0000435	NB627_RS01250	B5M19_RS02180
OG0000436	NB627_RS01275	B5M19_RS02150
OG0000437	NB627_RS01285	B5M19_RS02140
OG0000438	NB627_RS01290	B5M19_RS02135
OG0000439	NB627_RS01295	B5M19_RS02130
OG0000440	NB627_RS03140	B5M19_RS04165
OG0000441	NB627_RS03185	B5M19_RS01265
OG0000442	NB627_RS00145	B5M19_RS00055
OG0000443	NB627_RS00190	B5M19_RS00105
OG0000444	NB627_RS00205	B5M19_RS00120
OG0000445	NB627_RS00230	B5M19_RS00145
OG0000446	NB627_RS00255	B5M19_RS00175
OG0000447	NB627_RS00260	B5M19_RS00180
OG0000448	NB627_RS00290	B5M19_RS00210
OG0000449	NB627_RS00315	B5M19_RS00235
OG0000450	NB627_RS00325	B5M19_RS00245
OG0000451	NB627_RS00380	B5M19_RS00295
OG0000452	NB627_RS00405	B5M19_RS00330
OG0000453	NB627_RS00535	B5M19_RS04040
OG0000454	NB627_RS00520	B5M19_RS03255
OG0000455	NB627_RS03715	B5M19_RS00395
OG0000456	NB627_RS03595	B5M19_RS00515
OG0000457	NB627_RS03565	B5M19_RS00540
OG0000458	NB627_RS02700	B5M19_RS01055
OG0000459	NB627_RS02725	B5M19_RS01030
OG0000460	NB627_RS02735	B5M19_RS01020
OG0000461	NB627_RS02780	B5M19_RS04125
OG0000462	NB627_RS02775	B5M19_RS00980
OG0000463	NB627_RS02770	B5M19_RS04130
OG0000464	NB627_RS02765	B5M19_RS00990
OG0000465	NB627_RS02760	B5M19_RS00995
OG0000467	NB627_RS02865	B5M19_RS00895
OG0000468	NB627_RS02105	B5M19_RS00790
OG0000469	NB627_RS02165	B5M19_RS00850
OG0000470	NB627_RS00960	B5M19_RS03910
OG0000471	NB627_RS01040	B5M19_RS01625
OG0000472	NB627_RS03520	B5M19_RS00580
OG0000474	NB627_RS03705	B5M19_RS00405
OG0000475	NB627_RS03710	B5M19_RS00400
OG0000476	NB627_RS01685	B5M19_RS03280
OG0000477	NB627_RS02810	B5M19_RS00950
OG0000478	NB627_RS03645	B5M19_RS00465
OG0000479	NB627_RS01450	B5M19_RS04145
OG0000480	NB627_RS02170	B5M19_RS03895
OG0000481	NB627_RS00935	B5M19_RS01730
OG0000482	NB627_RS01320	B5M19_RS03730
OG0000483	NB627_RS02220	B5M19_RS02735
OG0000484	NB627_RS00200	B5M19_RS00115
OG0000485	NB627_RS01280	B5M19_RS02145
OG0000486	NB627_RS02470	B5M19_RS03205
OG0000488	NB627_RS02185	B5M19_RS02770
OG0000490	NB627_RS03815	B5M19_RS01945
OG0000491	NB627_RS01470	B5M19_RS01225
OG0000492	NB627_RS01555	B5M19_RS04140
OG0000493	NB627_RS00690	B5M19_RS02430
OG0000494	NB627_RS00750	B5M19_RS03075
OG0000497	NB627_RS03010	B5M19_RS01445
OG0000498	NB627_RS02925	B5M19_RS02495
OG0000499	NB627_RS02890	B5M19_RS00870
OG0000500	NB627_RS02070	B5M19_RS00750
OG0000501	NB627_RS03260	B5M19_RS01470
OG0000504	NB627_RS01015	B5M19_RS01650
OG0000505	NB627_RS01050	B5M19_RS03420
OG0000506	NB627_RS01060	B5M19_RS03410
OG0000507	NB627_RS01095	B5M19_RS03375
OG0000508	NB627_RS00250	B5M19_RS00170
OG0000509	NB627_RS00285	B5M19_RS00205
OG0000510	NB627_RS00300	B5M19_RS00215
OG0000511	NB627_RS00540	B5M19_RS03685
OG0000512	NB627_RS02740	B5M19_RS01015
OG0000513	NB627_RS03630	B5M19_RS00480
OG0000514	NB627_RS03050	B5M19_RS01405
OG0000517	NB627_RS00065	B5M19_RS01870
OG0000518	NB627_RS03300	B5M19_RS01515
OG0000520	NB627_RS01035	B5M19_RS01635
OG0000521	NB627_RS00265	B5M19_RS00185
OG0000523	NB627_RS03560	B5M19_RS00545
OG0000524	NB627_RS02860	B5M19_RS00900
OG0000525	NB627_RS03525	B5M19_RS00575
OG0000526	NB627_RS01970	B5M19_RS04070
OG0000527	NB627_RS01910	B5M19_RS04065
OG0000531	NB627_RS01530	B5M19_RS01175
OG0000532	NB627_RS01755	B5M19_RS04500
OG0000533	NB627_RS00710	B5M19_RS04515
OG0000538	NB627_RS01240	B5M19_RS04340
OG0000540	NB627_RS02830	B5M19_RS00930
OG0000543	NB627_RS00515	B5M19_RS04430
OG0000544	NB627_RS01370	B5M19_RS04410
OG0000544	NB627_RS01375	B5M19_RS04405
OG0000545	NB627_RS01955	B5M19_RS00645
OG0000546	NB627_RS02975	B5M19_RS02545
OG0000551	NB627_RS03170	B5M19_RS01275
OG0000553	NB627_RS02875	B5M19_RS00885
OG0000554	NB627_RS02565	B5M19_RS02655
OG0000555	NB627_RS03105	B5M19_RS01350
OG0000556	NB627_RS00460	B5M19_RS02885
OG0000557	NB627_RS01385	B5M19_RS02615
OG0000558	NB627_RS01345	B5M19_RS03655
OG0000559	NB627_RS01830	B5M19_RS02075
OG0000560	NB627_RS01940	B5M19_RS00635
OG0000561	NB627_RS01225	B5M19_RS02205
OG0000562	NB627_RS01945	B5M19_RS00640
OG0000563	NB627_RS01935	B5M19_RS00625
OG0000564	NB627_RS01410	B5M19_RS03930
OG0000565	NB627_RS02010	B5M19_RS00685
