gene_callers_id	source	accession	function	e_value
180	NCBI_PGAP	WP_160605383.1	tRNA (guanosine(46)-N7)-methyltransferase TrmB (trmB)	0
181	NCBI_PGAP	WP_002557977.1	M17 family metallopeptidase	0
182	NCBI_PGAP	WP_258555111.1	Mhp366/Mhp367 family surface (lipo)protein	0
183	NCBI_PGAP	WP_160605387.1	trypsin-like peptidase domain-containing protein	0
184	NCBI_PGAP	WP_220190753.1	LppA-related lipoprotein	0
185	NCBI_PGAP	WP_160605389.1	ribosome biogenesis GTP-binding protein YihA/YsxC (yihA)	0
188	NCBI_PGAP	WP_160605396.1	DUF1410 domain-containing protein	0
189	NCBI_PGAP	WP_160605398.1	50S ribosomal protein L1 (rplA)	0
190	NCBI_PGAP	WP_039387548.1	50S ribosomal protein L11 (rplK)	0
191	NCBI_PGAP	WP_160605400.1	RluA family pseudouridine synthase	0
192	NCBI_PGAP	WP_160605402.1	Dps family protein	0
193	NCBI_PGAP	WP_002557667.1	50S ribosomal protein L31 (rpmE)	0
194	NCBI_PGAP	WP_002557668.1	FMN-dependent NADH-azoreductase	0
195	NCBI_PGAP	WP_160603116.1	FMN-dependent NADH-azoreductase	0
196	NCBI_PGAP	WP_160605404.1	ABC transporter permease	0
197	NCBI_PGAP	WP_160581406.1	ABC transporter ATP-binding protein	0
198	NCBI_PGAP	WP_160581408.1	methionine adenosyltransferase (metK)	0
199	NCBI_PGAP	WP_002557673.1	TIGR00282 family metallophosphoesterase	0
200	NCBI_PGAP	WP_160605406.1	redox-regulated ATPase YchF (ychF)	0
201	NCBI_PGAP	WP_039387554.1	30S ribosomal protein S18 (rpsR)	0
202	NCBI_PGAP	WP_160605408.1	single-stranded DNA-binding protein	0
203	NCBI_PGAP	WP_160581414.1	30S ribosomal protein S6 (rpsF)	0
204	NCBI_PGAP	WP_231237866.1	Rho termination factor N-terminal domain-containing protein	0
206	NCBI_PGAP	WP_160605412.1	DnaD domain protein	0
207	NCBI_PGAP	WP_160605414.1	HAD-IIB family hydrolase	0
208	NCBI_PGAP	WP_160605416.1	HinT-interacting membrane complex protein P80	0
209	NCBI_PGAP	WP_220190755.1	HinT-interacting membrane complex lipoprotein P60	0
210	NCBI_PGAP	WP_002557684.1	histidine triad protein HinT (hinT)	0
211	NCBI_PGAP	WP_160605420.1	Mhp366/Mhp367 family surface (lipo)protein	0
212	NCBI_PGAP	WP_160605422.1	Mhp366/Mhp367 family surface (lipo)protein	0
213	NCBI_PGAP	WP_160605424.1	APC family permease	0
214	NCBI_PGAP	WP_160605426.1	MIP/aquaporin family protein	0
215	NCBI_PGAP	WP_160605428.1	glycerol kinase GlpK (glpK)	0
216	NCBI_PGAP	WP_220190081.1	ABC transporter thiamine pyrophosphate-binding lipoprotein p37/Cypl (cypl)	0
217	NCBI_PGAP	WP_160581429.1	ATP-binding cassette domain-containing protein	0
218	NCBI_PGAP	WP_220190778.1	ABC transporter permease subunit	0
219	NCBI_PGAP	WP_160581431.1	MAG0490 family ComEA-like DNA-binding protein	0
220	NCBI_PGAP	WP_308705446.1	ComEC/Rec2 family competence protein	0
221	NCBI_PGAP	WP_160605432.1	DNA polymerase III subunit delta (holA)	0
222	NCBI_PGAP	WP_160605434.1	DEAD/DEAH box helicase family protein	0
223	NCBI_PGAP	WP_220190802.1	DNA methyltransferase	0
224	NCBI_PGAP	WP_160605649.1	PTS transporter subunit EIIC	0
226	NCBI_PGAP	WP_160605454.1	DEAD/DEAH box helicase family protein	0
227	NCBI_PGAP	WP_002557749.1	CTP synthase	0
228	NCBI_PGAP	WP_160603234.1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (pgsA)	0
229	NCBI_PGAP	WP_002557751.1	MHJ_0274 family protein	0
230	NCBI_PGAP	WP_160603232.1	type I DNA topoisomerase (topA)	0
231	NCBI_PGAP	WP_002557753.1	50S ribosomal protein L19 (rplS)	0
232	NCBI_PGAP	WP_002557754.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD (trmD)	0
233	NCBI_PGAP	WP_002557755.1	30S ribosomal protein S16 (rpsP)	0
235	NCBI_PGAP	WP_160605456.1	DUF2779 domain-containing protein	0
236	NCBI_PGAP	WP_160605458.1	Holliday junction branch migration DNA helicase RuvB (ruvB)	0
237	NCBI_PGAP	WP_039387782.1	Holliday junction branch migration protein RuvA (ruvA)	0
239	NCBI_PGAP	WP_002557760.1	ATP-dependent helicase	0
241	NCBI_PGAP	WP_160605462.1	asparagine--tRNA ligase (asnS)	0
242	NCBI_PGAP	WP_160605464.1	serine hydroxymethyltransferase (glyA)	0
244	NCBI_PGAP	WP_160583989.1	class 1b ribonucleoside-diphosphate reductase subunit beta (nrdF)	0
245	NCBI_PGAP	WP_002557766.1	class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI (nrdI)	0
246	NCBI_PGAP	WP_160583987.1	class 1b ribonucleoside-diphosphate reductase subunit alpha (nrdE)	0
247	NCBI_PGAP	WP_002557768.1	50S ribosomal protein L28 (rpmB)	0
248	NCBI_PGAP	WP_002557769.1	50S ribosomal protein L20 (rplT)	0
249	NCBI_PGAP	WP_039387628.1	50S ribosomal protein L35 (rpmI)	0
250	NCBI_PGAP	WP_039387630.1	translation initiation factor IF-3 (infC)	0
251	NCBI_PGAP	WP_002557773.1	pyruvate kinase (pyk)	0
252	NCBI_PGAP	WP_160581303.1	leucine-rich repeat domain-containing protein	0
254	NCBI_PGAP	WP_002557776.1	M20/M25/M40 family metallo-hydrolase	0
255	NCBI_PGAP	WP_039387785.1	uracil-DNA glycosylase	0
256	NCBI_PGAP	WP_160605468.1	50S ribosomal protein L21 (rplU)	0
257	NCBI_PGAP	WP_002557779.1	50S ribosomal protein L27 (rpmA)	0
258	NCBI_PGAP	WP_002557780.1	alpha/beta fold hydrolase	0
259	NCBI_PGAP	WP_002557781.1	YitT family protein	0
260	NCBI_PGAP	WP_002557782.1	hexose phosphate transporter	0
261	NCBI_PGAP	WP_160605470.1	L-lactate dehydrogenase	0
262	NCBI_PGAP	WP_308705450.1	DUF31 family putative serine protease	0
263	NCBI_PGAP	WP_002557784.1	peptide chain release factor 1 (prfA)	0
264	NCBI_PGAP	WP_160605472.1	peptide chain release factor N(5)-glutamine methyltransferase	0
265	NCBI_PGAP	WP_160581307.1	glutamate--tRNA ligase (gltX)	0
267	NCBI_PGAP	WP_039387638.1	tRNA (cytidine(34)-2'-O)-methyltransferase	0
268	NCBI_PGAP	WP_160605474.1	TrmH family RNA methyltransferase	0
269	NCBI_PGAP	WP_308507115.1	chromate transporter	0
270	NCBI_PGAP	WP_160605476.1	chromate transporter	0
271	NCBI_PGAP	WP_160583979.1	MAGa7180 family putative nuclease	0
272	NCBI_PGAP	WP_160605479.1	Hsp33 family molecular chaperone HslO	0
273	NCBI_PGAP	WP_002557794.1	trigger factor (tig)	0
275	NCBI_PGAP	WP_002557796.1	ribulose-phosphate 3-epimerase	0
276	NCBI_PGAP	WP_160581357.1	ribosome small subunit-dependent GTPase A (rsgA)	0
277	NCBI_PGAP	WP_002557798.1	guanylate kinase (gmk)	0
278	NCBI_PGAP	WP_002557799.1	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD (rsmD)	0
279	NCBI_PGAP	WP_002557800.1	DNA repair protein RecO (recO)	0
280	NCBI_PGAP	WP_002557801.1	GTPase Era (era)	0
281	NCBI_PGAP	WP_002557802.1	cytidine deaminase (cdd)	0
282	NCBI_PGAP	WP_002557803.1	rRNA maturation RNase YbeY (ybeY)	0
283	NCBI_PGAP	WP_039387644.1	MAG1140 family protein	0
284	NCBI_PGAP	WP_039387645.1	Mbov_0121 family peptidase domain-containing ABC transporter	0
285	NCBI_PGAP	WP_160583855.1	phosphopentomutase	0
286	NCBI_PGAP	WP_236681775.1	transcription antitermination protein NusB	0
288	NCBI_PGAP	WP_002557809.1	TlyA family RNA methyltransferase	0
289	NCBI_PGAP	WP_160581348.1	aminotransferase class V-fold PLP-dependent enzyme	0
290	NCBI_PGAP	WP_039387651.1	iron-sulfur cluster assembly scaffold protein	0
291	NCBI_PGAP	WP_160581347.1	pseudouridine synthase	0
292	NCBI_PGAP	WP_160581345.1	50S ribosomal protein L17 (rplQ)	0
293	NCBI_PGAP	WP_002557813.1	DNA-directed RNA polymerase subunit alpha	0
294	NCBI_PGAP	WP_002557814.1	30S ribosomal protein S11 (rpsK)	0
295	NCBI_PGAP	WP_002557815.1	30S ribosomal protein S13 (rpsM)	0
296	NCBI_PGAP	WP_002557816.1	50S ribosomal protein L36 (rpmJ)	0
297	NCBI_PGAP	WP_002557817.1	translation initiation factor IF-1 (infA)	0
298	NCBI_PGAP	WP_002557818.1	type I methionyl aminopeptidase (map)	0
299	NCBI_PGAP	WP_160581343.1	adenylate kinase family protein	0
300	NCBI_PGAP	WP_160605481.1	preprotein translocase subunit SecY (secY)	0
301	NCBI_PGAP	WP_160605483.1	50S ribosomal protein L15 (rplO)	0
302	NCBI_PGAP	WP_160605485.1	30S ribosomal protein S5 (rpsE)	0
303	NCBI_PGAP	WP_160603160.1	50S ribosomal protein L18 (rplR)	0
304	NCBI_PGAP	WP_002557824.1	50S ribosomal protein L6 (rplF)	0
305	NCBI_PGAP	WP_002557825.1	30S ribosomal protein S8 (rpsH)	0
306	NCBI_PGAP	WP_002557826.1	type Z 30S ribosomal protein S14	0
307	NCBI_PGAP	WP_002557827.1	50S ribosomal protein L5 (rplE)	0
308	NCBI_PGAP	WP_160581337.1	50S ribosomal protein L24 (rplX)	0
309	NCBI_PGAP	WP_002557829.1	50S ribosomal protein L14 (rplN)	0
310	NCBI_PGAP	WP_051054304.1	30S ribosomal protein S17 (rpsQ)	0
311	NCBI_PGAP	WP_002557831.1	50S ribosomal protein L29 (rpmC)	0
312	NCBI_PGAP	WP_002557832.1	50S ribosomal protein L16 (rplP)	0
313	NCBI_PGAP	WP_002557833.1	30S ribosomal protein S3 (rpsC)	0
314	NCBI_PGAP	WP_002557834.1	50S ribosomal protein L22 (rplV)	0
315	NCBI_PGAP	WP_002557835.1	30S ribosomal protein S19 (rpsS)	0
316	NCBI_PGAP	WP_002557836.1	50S ribosomal protein L2 (rplB)	0
317	NCBI_PGAP	WP_002557837.1	50S ribosomal protein L23 (rplW)	0
318	NCBI_PGAP	WP_002557838.1	50S ribosomal protein L4 (rplD)	0
319	NCBI_PGAP	WP_002557839.1	50S ribosomal protein L3 (rplC)	0
320	NCBI_PGAP	WP_002557840.1	30S ribosomal protein S10 (rpsJ)	0
322	NCBI_PGAP	WP_160605487.1	16S rRNA (uracil(1498)-N(3))-methyltransferase	0
323	NCBI_PGAP	WP_160603164.1	alanine--tRNA ligase (alaS)	0
324	NCBI_PGAP	WP_160605489.1	Holliday junction resolvase RuvX (ruvX)	0
325	NCBI_PGAP	WP_002557845.1	aminoacyl-tRNA hydrolase (pth)	0
326	NCBI_PGAP	WP_160583871.1	tRNA lysidine(34) synthetase TilS (tilS)	0
327	NCBI_PGAP	WP_160605491.1	ATP-dependent zinc metalloprotease FtsH (ftsH)	0
328	NCBI_PGAP	WP_002557848.1	lysine--tRNA ligase (lysS)	0
329	NCBI_PGAP	WP_002557849.1	HAD family hydrolase	0
330	NCBI_PGAP	WP_002557850.1	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE (mnmE)	0
331	NCBI_PGAP	WP_160581215.1	ABC-F family ATP-binding cassette domain-containing protein	0
332	NCBI_PGAP	WP_160581217.1	PTS fructose transporter subunit IIABC	0
336	NCBI_PGAP	WP_220190779.1	ABC transporter permease	0
337	NCBI_PGAP	WP_002557857.1	ABC transporter permease	0
338	NCBI_PGAP	WP_039387661.1	ABC transporter ATP-binding protein	0
339	NCBI_PGAP	WP_002557860.1	ABC transporter ATP-binding protein	0
340	NCBI_PGAP	WP_160605495.1	PDxFFG protein	0
342	NCBI_PGAP	WP_160583887.1	PTS sugar transporter subunit IIA	0
343	NCBI_PGAP	WP_002557864.1	mannitol-1-phosphate 5-dehydrogenase	0
344	NCBI_PGAP	WP_160583891.1	PTS mannitol transporter subunit IICB	0
345	NCBI_PGAP	WP_002557866.1	MurR/RpiR family transcriptional regulator	0
346	NCBI_PGAP	WP_002557867.1	PTS ascorbate transporter subunit IIC	0
347	NCBI_PGAP	WP_002557868.1	PTS sugar transporter subunit IIB	0
348	NCBI_PGAP	WP_039387665.1	PTS sugar transporter subunit IIA	0
352	NCBI_PGAP	WP_002557873.1	d-ribulose-5-phosphate 3 epimerase	0
353	NCBI_PGAP	WP_160605651.1	ATP-binding cassette domain-containing protein	0
358	NCBI_PGAP	WP_002557510.1	division/cell wall cluster transcriptional repressor MraZ	0
359	NCBI_PGAP	WP_002557511.1	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH (rsmH)	0
360	NCBI_PGAP	WP_039387606.1	cell division protein FtsZ	0
361	NCBI_PGAP	WP_002557514.1	nicotinate phosphoribosyltransferase	0
362	NCBI_PGAP	WP_160583937.1	tRNA1(Val) (adenine(37)-N6)-methyltransferase	0
363	NCBI_PGAP	WP_160605510.1	methionine--tRNA ligase (metG)	0
364	NCBI_PGAP	WP_002557517.1	ECF transporter S component	0
365	NCBI_PGAP	WP_002557518.1	ribonuclease III (rnc)	0
367	NCBI_PGAP	WP_160583943.1	Mhp366/Mhp367 family surface (lipo)protein	0
368	NCBI_PGAP	WP_160581160.1	3-keto-L-gulonate-6-phosphate decarboxylase UlaD	0
369	NCBI_PGAP	WP_002557523.1	L-ribulose-5-phosphate 3-epimerase	0
370	NCBI_PGAP	WP_160605512.1	L-ribulose-5-phosphate 4-epimerase	0
371	NCBI_PGAP	WP_160605514.1	HAD family hydrolase	0
372	NCBI_PGAP	WP_160581167.1	MPN499 family protein	0
374	NCBI_PGAP	WP_002557528.1	YbhB/YbcL family Raf kinase inhibitor-like protein	0
375	NCBI_PGAP	WP_002557529.1	tRNA 2-thiouridine(34) synthase MnmA (mnmA)	0
376	NCBI_PGAP	WP_002557530.1	MAGa3780 family membrane protein	0
377	NCBI_PGAP	WP_160605518.1	transketolase	0
378	NCBI_PGAP	WP_160583957.1	elongation factor P (efp)	0
379	NCBI_PGAP	WP_160605520.1	protein translocase subunit SecDF (secDF)	0
380	NCBI_PGAP	WP_002557534.1	histidine--tRNA ligase (hisS)	0
381	NCBI_PGAP	WP_002557535.1	aspartate--tRNA ligase (aspS)	0
382	NCBI_PGAP	WP_039387777.1	30S ribosomal protein S20 (rpsT)	0
383	NCBI_PGAP	WP_160581180.1	Mbov_0399 family ICE element protein	0
384	NCBI_PGAP	WP_160605522.1	Mbov_0397 family ICE element conjugal transfer ATPase	0
385	NCBI_PGAP	WP_160583965.1	Mbov_0396 family ICE element transmembrane protein	0
386	NCBI_PGAP	WP_039387610.1	Mbov_0395 family pilin-like conjugal transfer protein	0
387	NCBI_PGAP	WP_160605524.1	DNA-processing protein DprA	0
388	NCBI_PGAP	WP_160605526.1	phosphopyruvate hydratase (eno)	0
389	NCBI_PGAP	WP_002557542.1	serine--tRNA ligase (serS)	0
390	NCBI_PGAP	WP_002557543.1	DJ-1/PfpI family protein	0
391	NCBI_PGAP	WP_160581189.1	alpha/beta fold hydrolase	0
392	NCBI_PGAP	WP_002557545.1	lipoate--protein ligase	0
394	NCBI_PGAP	WP_308705452.1	DNA polymerase III subunit gamma/tau (dnaX)	0
395	NCBI_PGAP	WP_039387613.1	YbaB/EbfC family nucleoid-associated protein	0
396	NCBI_PGAP	WP_002557548.1	recombination protein RecR	0
397	NCBI_PGAP	WP_002557549.1	dTMP kinase (tmk)	0
398	NCBI_PGAP	WP_002557550.1	DNA polymerase III delta subunit	0
399	NCBI_PGAP	WP_002557551.1	16S rRNA (cytidine(1402)-2'-O)-methyltransferase (rsmI)	0
400	NCBI_PGAP	WP_002557552.1	hypoxanthine phosphoribosyltransferase (hpt)	0
401	NCBI_PGAP	WP_160581199.1	energy-coupling factor transporter ATPase	0
402	NCBI_PGAP	WP_002557554.1	ATP-binding cassette domain-containing protein	0
