gene_callers_id	source	accession	function	e_value
81	NCBI_PGAP	WP_220189978.1	ribosome biogenesis GTPase YlqF (ylqF)	0
83	NCBI_PGAP	WP_002557572.1	excinuclease ABC subunit UvrA (uvrA)	0
84	NCBI_PGAP	WP_002557573.1	ribonuclease J	0
86	NCBI_PGAP	WP_002557575.1	DUF2130 domain-containing protein	0
87	NCBI_PGAP	WP_002557576.1	dUTP diphosphatase	0
88	NCBI_PGAP	WP_002557577.1	peroxiredoxin	0
89	NCBI_PGAP	WP_002557578.1	prolipoprotein diacylglyceryl transferase	0
90	NCBI_PGAP	WP_039387509.1	NAD(P)/FAD-dependent oxidoreductase	0
91	NCBI_PGAP	WP_002557580.1	P97 family adhesin	0
92	NCBI_PGAP	WP_002557581.1	P110/LppT family adhesin N-terminal domain	0
93	NCBI_PGAP	WP_051054279.1	ATP-dependent Clp protease ATP-binding subunit	0
94	NCBI_PGAP	WP_002557584.1	triose-phosphate isomerase (tpiA)	0
95	NCBI_PGAP	WP_002557585.1	30S ribosomal protein S15 (rpsO)	0
96	NCBI_PGAP	WP_039387510.1	DUF3899 domain-containing protein	0
97	NCBI_PGAP	WP_002557587.1	P110/LppT family adhesin N-terminal domain	0
98	NCBI_PGAP	WP_002557588.1	P97 family adhesin	0
99	NCBI_PGAP	WP_002557589.1	DNA gyrase subunit B	0
101	NCBI_PGAP	WP_002557590.1	6-phosphofructokinase (pfkA)	0
103	NCBI_PGAP	WP_002557592.1	APC family permease	0
104	NCBI_PGAP	WP_002557593.1	adenine phosphoribosyltransferase	0
105	NCBI_PGAP	WP_002557594.1	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha (pdhA)	0
106	NCBI_PGAP	WP_002557595.1	alpha-ketoacid dehydrogenase subunit beta	0
112	NCBI_PGAP	WP_002557602.1	potassium transporter TrkG	0
113	NCBI_PGAP	WP_002557603.1	TrkA family potassium uptake protein	0
115	NCBI_PGAP	WP_002557605.1	putative cysteine peptidase	0
116	NCBI_PGAP	WP_002557606.1	ABC transporter ATP-binding protein	0
117	NCBI_PGAP	WP_002557607.1	ABC transporter permease	0
118	NCBI_PGAP	WP_002557608.1	ABC transporter permease	0
120	NCBI_PGAP	WP_002557610.1	leucine-rich repeat domain-containing protein	0
121	NCBI_PGAP	WP_002557611.1	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	0
123	NCBI_PGAP	WP_002557613.1	UMP kinase (pyrH)	0
124	NCBI_PGAP	WP_002557614.1	ribosome-recycling factor	0
125	NCBI_PGAP	WP_002557615.1	phosphatidate cytidylyltransferase	0
126	NCBI_PGAP	WP_039387516.1	PolC-type DNA polymerase III	0
127	NCBI_PGAP	WP_002557618.1	glucose-6-phosphate isomerase	0
129	NCBI_PGAP	WP_002557620.1	peptide-methionine (R)-S-oxide reductase MsrB (msrB)	0
130	NCBI_PGAP	WP_002557621.1	DNA gyrase subunit A (gyrA)	0
131	NCBI_PGAP	WP_002557622.1	deoxyribose-phosphate aldolase (deoC)	0
132	NCBI_PGAP	WP_002557623.1	uracil phosphoribosyltransferase (upp)	0
133	NCBI_PGAP	WP_002557624.1	MPN527 family putative ECF transporter permease subunit	0
134	NCBI_PGAP	WP_002557625.1	endopeptidase La (lon)	0
135	NCBI_PGAP	WP_002557626.1	elongation factor Tu (tuf)	0
136	NCBI_PGAP	WP_002557627.1	SGNH/GDSL hydrolase family protein	0
138	NCBI_PGAP	WP_039387523.1	oligoendopeptidase F (pepF)	0
143	NCBI_PGAP	WP_002557634.1	ROK family protein	0
145	NCBI_PGAP	WP_002557636.1	sugar ABC transporter permease	0
146	NCBI_PGAP	WP_039387525.1	sugar ABC transporter ATP-binding protein	0
147	NCBI_PGAP	WP_002557638.1	sugar-binding protein	0
148	NCBI_PGAP	WP_002557639.1	phosphotransacetylase	0
149	NCBI_PGAP	WP_002557640.1	acetate/propionate family kinase	0
150	NCBI_PGAP	WP_002557641.1	dihydrolipoyl dehydrogenase (lpdA)	0
151	NCBI_PGAP	WP_002557642.1	2-oxo acid dehydrogenase subunit E2	0
152	NCBI_PGAP	WP_201771013.1	putative immunoglobulin-blocking virulence protein	0
153	NCBI_PGAP	WP_002557646.1	OppA family ABC transporter substrate-binding lipoprotein	0
154	NCBI_PGAP	WP_002557647.1	ABC transporter permease	0
155	NCBI_PGAP	WP_002557648.1	ABC transporter permease	0
156	NCBI_PGAP	WP_002557649.1	ABC transporter ATP-binding protein	0
157	NCBI_PGAP	WP_002557650.1	ATP-binding cassette domain-containing protein	0
159	NCBI_PGAP	WP_002557996.1	MGA_1079 family surface serine endopeptidase	0
160	NCBI_PGAP	WP_039387531.1	P110/LppT family adhesin N-terminal domain	0
161	NCBI_PGAP	WP_039387533.1	P97 family adhesin	0
162	NCBI_PGAP	WP_039387535.1	type I phosphomannose isomerase catalytic subunit	0
163	NCBI_PGAP	WP_002558002.1	PTS sugar transporter subunit IIA	0
164	NCBI_PGAP	WP_002558003.1	phosphoglycerate kinase	0
166	NCBI_PGAP	WP_002558005.1	DNA integrity scanning protein DisA nucleotide-binding domain protein	0
167	NCBI_PGAP	WP_002558006.1	magnesium transporter (mgtE)	0
169	NCBI_PGAP	WP_039387750.1	Cof-type HAD-IIB family hydrolase	0
170	NCBI_PGAP	WP_002558009.1	MSC_0624 family F1-like ATPase-associated membrane protein	0
171	NCBI_PGAP	WP_002558010.1	DUF2714 domain-containing protein	0
172	NCBI_PGAP	WP_196792423.1	MSC_0622 family F1-like ATPase gamma subunit	0
173	NCBI_PGAP	WP_039387539.1	MSC_0621 family F1-like ATPase epsilon subunit	0
174	NCBI_PGAP	WP_039387541.1	MSC_0620 family F1-like ATPase-associated subunit	0
175	NCBI_PGAP	WP_002558013.1	MSC_0619 family F1-like ATPase alpha subunit	0
176	NCBI_PGAP	WP_002558014.1	MSC_0618 family F1-like ATPase beta subunit	0
177	NCBI_PGAP	WP_002558016.1	Cof-type HAD-IIB family hydrolase	0
178	NCBI_PGAP	WP_002558017.1	nicotinate-nucleotide adenylyltransferase	0
179	NCBI_PGAP	WP_002558018.1	5'-methylthioadenosine nucleosidase / S-adenosylhomocysteine nucleosidase	0
180	NCBI_PGAP	WP_002558019.1	YebC/PmpR family DNA-binding transcriptional regulator	0
181	NCBI_PGAP	WP_002558020.1	NAD(+) synthase (nadE)	0
182	NCBI_PGAP	WP_408605777.1	MSC_0622 family F1-like ATPase gamma subunit	0
183	NCBI_PGAP	WP_039387539.1	MSC_0621 family F1-like ATPase epsilon subunit	0
184	NCBI_PGAP	WP_039387541.1	MSC_0620 family F1-like ATPase-associated subunit	0
185	NCBI_PGAP	WP_002558013.1	MSC_0619 family F1-like ATPase alpha subunit	0
186	NCBI_PGAP	WP_002558014.1	MSC_0618 family F1-like ATPase beta subunit	0
187	NCBI_PGAP	WP_002558016.1	Cof-type HAD-IIB family hydrolase	0
188	NCBI_PGAP	WP_002558017.1	nicotinate-nucleotide adenylyltransferase	0
189	NCBI_PGAP	WP_002558018.1	5'-methylthioadenosine nucleosidase / S-adenosylhomocysteine nucleosidase	0
190	NCBI_PGAP	WP_002558019.1	YebC/PmpR family DNA-binding transcriptional regulator	0
191	NCBI_PGAP	WP_002558020.1	NAD(+) synthase (nadE)	0
192	NCBI_PGAP	WP_002557985.1	phosphoenolpyruvate--protein phosphotransferase (ptsP)	0
194	NCBI_PGAP	WP_231237889.1	ABC transporter permease	0
195	NCBI_PGAP	WP_002557982.1	ABC transporter ATP-binding protein	0
196	NCBI_PGAP	WP_002557981.1	aromatic motif membrane protein	0
197	NCBI_PGAP	WP_002557980.1	aromatic motif membrane protein	0
199	NCBI_PGAP	WP_002557978.1	tRNA (guanosine(46)-N7)-methyltransferase TrmB (trmB)	0
200	NCBI_PGAP	WP_002557977.1	M17 family metallopeptidase	0
201	NCBI_PGAP	WP_051054340.1	Mhp366/Mhp367 family surface (lipo)protein	0
202	NCBI_PGAP	WP_002557975.1	Mhp366/Mhp367 family surface (lipo)protein	0
203	NCBI_PGAP	WP_231237888.1	LppA-related lipoprotein	0
204	NCBI_PGAP	WP_002557972.1	ribosome biogenesis GTP-binding protein YihA/YsxC (yihA)	0
208	NCBI_PGAP	WP_002557663.1	50S ribosomal protein L1 (rplA)	0
209	NCBI_PGAP	WP_039387548.1	50S ribosomal protein L11 (rplK)	0
210	NCBI_PGAP	WP_002557665.1	RluA family pseudouridine synthase	0
211	NCBI_PGAP	WP_039387550.1	DNA starvation/stationary phase protection protein	0
212	NCBI_PGAP	WP_002557667.1	50S ribosomal protein L31 (rpmE)	0
213	NCBI_PGAP	WP_002557668.1	FMN-dependent NADH-azoreductase	0
214	NCBI_PGAP	WP_002557669.1	FMN-dependent NADH-azoreductase	0
215	NCBI_PGAP	WP_002557670.1	ABC transporter permease	0
216	NCBI_PGAP	WP_002557671.1	ABC transporter ATP-binding protein	0
217	NCBI_PGAP	WP_002557672.1	methionine adenosyltransferase (metK)	0
218	NCBI_PGAP	WP_002557673.1	TIGR00282 family metallophosphoesterase	0
219	NCBI_PGAP	WP_002557674.1	redox-regulated ATPase YchF (ychF)	0
220	NCBI_PGAP	WP_039387554.1	30S ribosomal protein S18 (rpsR)	0
221	NCBI_PGAP	WP_002557676.1	single-stranded DNA-binding protein	0
222	NCBI_PGAP	WP_002557677.1	30S ribosomal protein S6 (rpsF)	0
223	NCBI_PGAP	WP_231237866.1	Rho termination factor N-terminal domain-containing protein	0
225	NCBI_PGAP	WP_002557680.1	DnaD domain protein	0
226	NCBI_PGAP	WP_002557681.1	HAD-IIB family hydrolase	0
227	NCBI_PGAP	WP_002557682.1	HinT-interacting membrane complex protein P80	0
228	NCBI_PGAP	WP_002557683.1	HinT-interacting membrane complex lipoprotein P60	0
229	NCBI_PGAP	WP_002557684.1	histidine triad protein HinT (hinT)	0
230	NCBI_PGAP	WP_039387558.1	Mhp366/Mhp367 family surface (lipo)protein	0
231	NCBI_PGAP	WP_039387561.1	Mhp366/Mhp367 family surface (lipo)protein	0
232	NCBI_PGAP	WP_039387562.1	APC family permease	0
233	NCBI_PGAP	WP_002557689.1	MIP/aquaporin family protein	0
234	NCBI_PGAP	WP_039387564.1	glycerol kinase GlpK (glpK)	0
235	NCBI_PGAP	WP_002557691.1	ABC transporter thiamine pyrophosphate-binding lipoprotein p37/Cypl (cypl)	0
236	NCBI_PGAP	WP_002557692.1	ATP-binding cassette domain-containing protein	0
237	NCBI_PGAP	WP_039387760.1	ABC transporter permease subunit	0
238	NCBI_PGAP	WP_039387569.1	MAG0490 family ComEA-like DNA-binding protein	0
239	NCBI_PGAP	WP_231237867.1	ComEC/Rec2 family competence protein	0
240	NCBI_PGAP	WP_039387574.1	DNA polymerase III subunit delta (holA)	0
241	NCBI_PGAP	WP_002557696.1	DEAD/DEAH box helicase family protein	0
242	NCBI_PGAP	WP_318023896.1	site-specific DNA-methyltransferase	0
244	NCBI_PGAP	WP_039387763.1	proline--tRNA ligase (proS)	0
245	NCBI_PGAP	WP_002557461.1	thioredoxin family protein	0
246	NCBI_PGAP	WP_039387578.1	ATP-binding cassette domain-containing protein	0
247	NCBI_PGAP	WP_002557458.1	YigZ family protein	0
248	NCBI_PGAP	WP_236681783.1	carbohydrate ABC transporter permease	0
249	NCBI_PGAP	WP_236681784.1	carbohydrate ABC transporter permease	0
250	NCBI_PGAP	WP_002557455.1	ABC transporter ATP-binding protein	0
251	NCBI_PGAP	WP_002557454.1	P68 family surface lipoprotein	0
252	NCBI_PGAP	WP_002557453.1	phospho-furanose lactonase	0
253	NCBI_PGAP	WP_002557452.1	PTS ascorbate transporter subunit IIC	0
254	NCBI_PGAP	WP_002557451.1	PTS sugar transporter subunit IIB	0
255	NCBI_PGAP	WP_002557450.1	PTS sugar transporter subunit IIA	0
256	NCBI_PGAP	WP_002557449.1	P97 family adhesin	0
257	NCBI_PGAP	WP_002557448.1	P110/LppT family adhesin N-terminal domain	0
259	NCBI_PGAP	WP_039387592.1	carbohydrate ABC transporter permease	0
260	NCBI_PGAP	WP_002557446.1	carbohydrate ABC transporter permease	0
261	NCBI_PGAP	WP_002557445.1	ATP-binding cassette domain-containing protein	0
262	NCBI_PGAP	WP_002557444.1	thermonuclease family protein	0
263	NCBI_PGAP	WP_052234586.1	P68 family surface lipoprotein	0
264	NCBI_PGAP	WP_039387594.1	P68 family surface lipoprotein	0
266	NCBI_PGAP	WP_236681786.1	DNA methyltransferase	0
268	NCBI_PGAP	WP_201771015.1	site-specific DNA-methyltransferase	0
269	NCBI_PGAP	WP_002557987.1	DEAD/DEAH box helicase	0
274	NCBI_PGAP	WP_039387603.1	S8 family serine peptidase	0
276	NCBI_PGAP	WP_236681788.1	site-specific DNA-methyltransferase	0
277	NCBI_PGAP	WP_002557507.1	DEAD/DEAH box helicase family protein	0
280	NCBI_PGAP	WP_002557510.1	division/cell wall cluster transcriptional repressor MraZ	0
281	NCBI_PGAP	WP_002557511.1	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH (rsmH)	0
282	NCBI_PGAP	WP_236681771.1	cell division protein FtsZ	0
283	NCBI_PGAP	WP_002557514.1	nicotinate phosphoribosyltransferase	0
284	NCBI_PGAP	WP_002557515.1	tRNA1(Val) (adenine(37)-N6)-methyltransferase	0
285	NCBI_PGAP	WP_002557516.1	methionine--tRNA ligase (metG)	0
286	NCBI_PGAP	WP_002557517.1	ECF transporter S component	0
287	NCBI_PGAP	WP_002557518.1	ribonuclease III (rnc)	0
289	NCBI_PGAP	WP_002557520.1	Mhp366/Mhp367 family surface (lipo)protein	0
290	NCBI_PGAP	WP_002557522.1	3-keto-L-gulonate-6-phosphate decarboxylase UlaD	0
291	NCBI_PGAP	WP_002557523.1	L-ribulose-5-phosphate 3-epimerase	0
292	NCBI_PGAP	WP_002557524.1	L-ribulose-5-phosphate 4-epimerase	0
293	NCBI_PGAP	WP_002557525.1	HAD family hydrolase	0
294	NCBI_PGAP	WP_002557526.1	MPN499 family protein	0
296	NCBI_PGAP	WP_002557528.1	YbhB/YbcL family Raf kinase inhibitor-like protein	0
297	NCBI_PGAP	WP_002557529.1	tRNA 2-thiouridine(34) synthase MnmA (mnmA)	0
298	NCBI_PGAP	WP_002557530.1	MAGa3780 family membrane protein	0
299	NCBI_PGAP	WP_039387775.1	transketolase	0
300	NCBI_PGAP	WP_002557532.1	elongation factor P (efp)	0
301	NCBI_PGAP	WP_002557533.1	protein translocase subunit SecDF (secDF)	0
302	NCBI_PGAP	WP_002557534.1	histidine--tRNA ligase (hisS)	0
303	NCBI_PGAP	WP_002557535.1	aspartate--tRNA ligase (aspS)	0
304	NCBI_PGAP	WP_039387777.1	30S ribosomal protein S20 (rpsT)	0
305	NCBI_PGAP	WP_002557537.1	Mbov_0399 family ICE element protein	0
306	NCBI_PGAP	WP_002557538.1	Mbov_0397 family ICE element conjugal transfer ATPase	0
307	NCBI_PGAP	WP_051054268.1	Mbov_0396 family ICE element transmembrane protein	0
308	NCBI_PGAP	WP_039387610.1	Mbov_0395 family pilin-like conjugal transfer protein	0
309	NCBI_PGAP	WP_002557540.1	DNA-processing protein DprA	0
310	NCBI_PGAP	WP_002557541.1	phosphopyruvate hydratase (eno)	0
311	NCBI_PGAP	WP_002557542.1	serine--tRNA ligase (serS)	0
312	NCBI_PGAP	WP_002557543.1	DJ-1/PfpI family protein	0
313	NCBI_PGAP	WP_002557544.1	alpha/beta fold hydrolase	0
314	NCBI_PGAP	WP_002557545.1	lipoate--protein ligase	0
316	NCBI_PGAP	WP_002557547.1	DNA polymerase III subunit gamma/tau (dnaX)	0
317	NCBI_PGAP	WP_039387613.1	YbaB/EbfC family nucleoid-associated protein	0
318	NCBI_PGAP	WP_002557548.1	recombination protein RecR	0
319	NCBI_PGAP	WP_002557549.1	dTMP kinase (tmk)	0
320	NCBI_PGAP	WP_002557550.1	DNA polymerase III delta subunit	0
321	NCBI_PGAP	WP_002557551.1	16S rRNA (cytidine(1402)-2'-O)-methyltransferase (rsmI)	0
322	NCBI_PGAP	WP_039387615.1	hypoxanthine phosphoribosyltransferase (hpt)	0
323	NCBI_PGAP	WP_002557553.1	energy-coupling factor transporter ATPase	0
324	NCBI_PGAP	WP_002557554.1	ATP-binding cassette domain-containing protein	0
325	NCBI_PGAP	WP_002557555.1	energy-coupling factor transporter transmembrane protein EcfT	0
326	NCBI_PGAP	WP_002557556.1	NAD-dependent DNA ligase LigA (ligA)	0
327	NCBI_PGAP	WP_002557557.1	nucleotidyltransferase	0
328	NCBI_PGAP	WP_002557558.1	cation-translocating P-type ATPase	0
329	NCBI_PGAP	WP_002557559.1	SsrA-binding protein SmpB (smpB)	0
330	NCBI_PGAP	WP_323749062.1	thermonuclease family protein	0
331	NCBI_PGAP	WP_002557561.1	P110/LppT family adhesin N-terminal domain	0
332	NCBI_PGAP	WP_002557562.1	P97 family adhesin	0
334	NCBI_PGAP	WP_002557564.1	phenylalanine--tRNA ligase subunit beta	0
335	NCBI_PGAP	WP_002557565.1	50S ribosomal protein L32 (rpmF)	0
336	NCBI_PGAP	WP_002557566.1	tRNA pseudouridine(55) synthase TruB (truB)	0
337	NCBI_PGAP	WP_002557567.1	YcsE-related riboflavin metabolism phosphatase	0
338	NCBI_PGAP	WP_039387619.1	FAD synthase	0
339	NCBI_PGAP	WP_002557569.1	MurR/RpiR family transcriptional regulator	0
340	NCBI_PGAP	WP_236681772.1	type III restriction endonuclease subunit M	0
342	NCBI_PGAP	WP_002557749.1	CTP synthase	0
343	NCBI_PGAP	WP_002557750.1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (pgsA)	0
344	NCBI_PGAP	WP_002557751.1	MHJ_0274 family protein	0
345	NCBI_PGAP	WP_002557752.1	type I DNA topoisomerase (topA)	0
346	NCBI_PGAP	WP_002557753.1	50S ribosomal protein L19 (rplS)	0
347	NCBI_PGAP	WP_002557754.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD (trmD)	0
348	NCBI_PGAP	WP_002557755.1	30S ribosomal protein S16 (rpsP)	0
350	NCBI_PGAP	WP_039387623.1	DUF2779 domain-containing protein	0
351	NCBI_PGAP	WP_002557757.1	Holliday junction branch migration DNA helicase RuvB (ruvB)	0
352	NCBI_PGAP	WP_039387782.1	Holliday junction branch migration protein RuvA (ruvA)	0
354	NCBI_PGAP	WP_002557760.1	ATP-dependent helicase	0
355	NCBI_PGAP	WP_002557761.1	RDD family protein	0
356	NCBI_PGAP	WP_039387626.1	asparagine--tRNA ligase (asnS)	0
357	NCBI_PGAP	WP_002557763.1	serine hydroxymethyltransferase (glyA)	0
359	NCBI_PGAP	WP_002557765.1	class 1b ribonucleoside-diphosphate reductase subunit beta (nrdF)	0
360	NCBI_PGAP	WP_002557766.1	class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI (nrdI)	0
361	NCBI_PGAP	WP_002557767.1	class 1b ribonucleoside-diphosphate reductase subunit alpha (nrdE)	0
362	NCBI_PGAP	WP_002557768.1	50S ribosomal protein L28 (rpmB)	0
363	NCBI_PGAP	WP_002557769.1	50S ribosomal protein L20 (rplT)	0
364	NCBI_PGAP	WP_039387628.1	50S ribosomal protein L35 (rpmI)	0
365	NCBI_PGAP	WP_039387630.1	translation initiation factor IF-3 (infC)	0
366	NCBI_PGAP	WP_002557773.1	pyruvate kinase (pyk)	0
367	NCBI_PGAP	WP_002557774.1	leucine-rich repeat domain-containing protein	0
369	NCBI_PGAP	WP_002557776.1	M20/M25/M40 family metallo-hydrolase	0
370	NCBI_PGAP	WP_039387785.1	uracil-DNA glycosylase	0
371	NCBI_PGAP	WP_002557778.1	50S ribosomal protein L21 (rplU)	0
372	NCBI_PGAP	WP_002557779.1	50S ribosomal protein L27 (rpmA)	0
373	NCBI_PGAP	WP_002557780.1	alpha/beta fold hydrolase	0
374	NCBI_PGAP	WP_002557781.1	YitT family protein	0
375	NCBI_PGAP	WP_002557782.1	hexose phosphate transporter	0
376	NCBI_PGAP	WP_002557783.1	L-lactate dehydrogenase	0
377	NCBI_PGAP	WP_236681774.1	DUF31 family protein	0
378	NCBI_PGAP	WP_002557784.1	peptide chain release factor 1 (prfA)	0
379	NCBI_PGAP	WP_002557785.1	peptide chain release factor N(5)-glutamine methyltransferase	0
380	NCBI_PGAP	WP_002557786.1	glutamate--tRNA ligase (gltX)	0
382	NCBI_PGAP	WP_039387638.1	tRNA (cytidine(34)-2'-O)-methyltransferase	0
383	NCBI_PGAP	WP_081605285.1	RNA methyltransferase	0
384	NCBI_PGAP	WP_002557790.1	chromate transporter	0
385	NCBI_PGAP	WP_002557791.1	chromate transporter	0
386	NCBI_PGAP	WP_002557792.1	MAGa7180 family putative nuclease	0
387	NCBI_PGAP	WP_002557793.1	Hsp33 family molecular chaperone HslO	0
388	NCBI_PGAP	WP_002557794.1	trigger factor (tig)	0
390	NCBI_PGAP	WP_002557796.1	ribulose-phosphate 3-epimerase	0
391	NCBI_PGAP	WP_002557797.1	ribosome small subunit-dependent GTPase A (rsgA)	0
392	NCBI_PGAP	WP_002557798.1	guanylate kinase (gmk)	0
393	NCBI_PGAP	WP_002557799.1	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD (rsmD)	0
394	NCBI_PGAP	WP_002557800.1	DNA repair protein RecO (recO)	0
395	NCBI_PGAP	WP_002557801.1	GTPase Era (era)	0
396	NCBI_PGAP	WP_002557802.1	cytidine deaminase (cdd)	0
397	NCBI_PGAP	WP_002557803.1	rRNA maturation RNase YbeY (ybeY)	0
398	NCBI_PGAP	WP_039387644.1	MAG1140 family protein	0
399	NCBI_PGAP	WP_039387645.1	Mbov_0121 family peptidase domain-containing ABC transporter	0
400	NCBI_PGAP	WP_002557806.1	phosphopentomutase	0
401	NCBI_PGAP	WP_236681775.1	transcription antitermination protein NusB	0
403	NCBI_PGAP	WP_002557809.1	TlyA family RNA methyltransferase	0
404	NCBI_PGAP	WP_002557810.1	aminotransferase class V-fold PLP-dependent enzyme	0
405	NCBI_PGAP	WP_039387651.1	iron-sulfur cluster assembly scaffold protein	0
406	NCBI_PGAP	WP_002557811.1	pseudouridine synthase	0
