Orthogroup	MFC_MF33_genes	MHP_ES2_genes
OG0000062	DR085_RS02230	E5E95_RS03805
OG0000063	DR085_RS02225	E5E95_RS03800
OG0000064	DR085_RS02215	E5E95_RS03790
OG0000065	DR085_RS01895	E5E95_RS02365
OG0000066	DR085_RS01765	E5E95_RS01370
OG0000068	DR085_RS00460	E5E95_RS00645
OG0000069	DR085_RS00630	E5E95_RS03015
OG0000070	DR085_RS00940	E5E95_RS02685
OG0000071	DR085_RS01590	E5E95_RS03485
OG0000072	DR085_RS03730	E5E95_RS03490
OG0000073	DR085_RS02070	E5E95_RS00705
OG0000074	DR085_RS03690	E5E95_RS00900
OG0000076	DR085_RS00190	E5E95_RS00355
OG0000077	DR085_RS00275	E5E95_RS00445
OG0000078	DR085_RS00755	E5E95_RS01790
OG0000079	DR085_RS00860	E5E95_RS02760
OG0000080	DR085_RS03275	E5E95_RS03935
OG0000081	DR085_RS00170	E5E95_RS00335
OG0000082	DR085_RS00920	E5E95_RS02605
OG0000083	DR085_RS03000	E5E95_RS02140
OG0000084	DR085_RS02830	E5E95_RS02165
OG0000085	DR085_RS02835	E5E95_RS02170
OG0000086	DR085_RS03880	E5E95_RS02180
OG0000087	DR085_RS02860	E5E95_RS02195
OG0000088	DR085_RS02865	E5E95_RS02200
OG0000089	DR085_RS02875	E5E95_RS02210
OG0000090	DR085_RS02335	E5E95_RS00070
OG0000091	DR085_RS02320	E5E95_RS00055
OG0000092	DR085_RS02305	E5E95_RS00040
OG0000093	DR085_RS02300	E5E95_RS00035
OG0000094	DR085_RS02295	E5E95_RS00030
OG0000095	DR085_RS02270	E5E95_RS00005
OG0000096	DR085_RS02265	E5E95_RS03840
OG0000097	DR085_RS02245	E5E95_RS03820
OG0000098	DR085_RS02235	E5E95_RS03810
OG0000099	DR085_RS02430	E5E95_RS03760
OG0000100	DR085_RS02440	E5E95_RS03740
OG0000101	DR085_RS02445	E5E95_RS03735
OG0000102	DR085_RS02455	E5E95_RS01815
OG0000103	DR085_RS01930	E5E95_RS02330
OG0000104	DR085_RS01925	E5E95_RS02335
OG0000105	DR085_RS01910	E5E95_RS02350
OG0000106	DR085_RS01900	E5E95_RS02360
OG0000107	DR085_RS01890	E5E95_RS02370
OG0000108	DR085_RS01885	E5E95_RS02375
OG0000109	DR085_RS01880	E5E95_RS02380
OG0000110	DR085_RS01875	E5E95_RS02595
OG0000111	DR085_RS01870	E5E95_RS02590
OG0000112	DR085_RS01860	E5E95_RS02580
OG0000113	DR085_RS03750	E5E95_RS02560
OG0000114	DR085_RS01835	E5E95_RS04300
OG0000115	DR085_RS01825	E5E95_RS02535
OG0000116	DR085_RS01815	E5E95_RS01315
OG0000117	DR085_RS01810	E5E95_RS01320
OG0000118	DR085_RS01780	E5E95_RS01355
OG0000119	DR085_RS01775	E5E95_RS01360
OG0000120	DR085_RS01760	E5E95_RS01375
OG0000121	DR085_RS01735	E5E95_RS01400
OG0000122	DR085_RS01730	E5E95_RS01405
OG0000123	DR085_RS01710	E5E95_RS01425
OG0000124	DR085_RS01705	E5E95_RS01430
OG0000125	DR085_RS01700	E5E95_RS01435
OG0000126	DR085_RS01690	E5E95_RS01445
OG0000127	DR085_RS01680	E5E95_RS01455
OG0000128	DR085_RS01665	E5E95_RS01470
OG0000129	DR085_RS01660	E5E95_RS01475
OG0000130	DR085_RS01650	E5E95_RS01485
OG0000131	DR085_RS01620	E5E95_RS01515
OG0000132	DR085_RS03735	E5E95_RS01530
OG0000133	DR085_RS00350	E5E95_RS00530
OG0000134	DR085_RS03640	E5E95_RS00535
OG0000135	DR085_RS00370	E5E95_RS00550
OG0000136	DR085_RS00375	E5E95_RS00555
OG0000137	DR085_RS00405	E5E95_RS00585
OG0000138	DR085_RS00435	E5E95_RS00620
OG0000139	DR085_RS00465	E5E95_RS00650
OG0000140	DR085_RS00470	E5E95_RS00655
OG0000141	DR085_RS00510	E5E95_RS03135
OG0000142	DR085_RS03655	E5E95_RS03130
OG0000143	DR085_RS00540	E5E95_RS03105
OG0000144	DR085_RS00550	E5E95_RS03095
OG0000145	DR085_RS00560	E5E95_RS03085
OG0000146	DR085_RS00570	E5E95_RS03075
OG0000147	DR085_RS00575	E5E95_RS03070
OG0000148	DR085_RS00590	E5E95_RS03055
OG0000149	DR085_RS00600	E5E95_RS03045
OG0000150	DR085_RS00615	E5E95_RS03030
OG0000151	DR085_RS00670	E5E95_RS02985
OG0000152	DR085_RS00675	E5E95_RS02980
OG0000153	DR085_RS00680	E5E95_RS02975
OG0000154	DR085_RS00690	E5E95_RS02965
OG0000155	DR085_RS00710	E5E95_RS02925
OG0000156	DR085_RS00730	E5E95_RS02915
OG0000157	DR085_RS03660	E5E95_RS02910
OG0000158	DR085_RS03665	E5E95_RS02905
OG0000159	DR085_RS00970	E5E95_RS04310
OG0000160	DR085_RS00975	E5E95_RS02665
OG0000161	DR085_RS00985	E5E95_RS02660
OG0000162	DR085_RS02725	E5E95_RS02650
OG0000163	DR085_RS02720	E5E95_RS02645
OG0000164	DR085_RS03860	E5E95_RS01630
OG0000165	DR085_RS02810	E5E95_RS02055
OG0000166	DR085_RS02780	E5E95_RS02080
OG0000167	DR085_RS02765	E5E95_RS02095
OG0000168	DR085_RS02760	E5E95_RS02100
OG0000169	DR085_RS01405	E5E95_RS03255
OG0000170	DR085_RS01420	E5E95_RS03270
OG0000171	DR085_RS01430	E5E95_RS03280
OG0000172	DR085_RS01435	E5E95_RS03285
OG0000173	DR085_RS01440	E5E95_RS03290
OG0000174	DR085_RS01445	E5E95_RS03295
OG0000175	DR085_RS01460	E5E95_RS03310
OG0000176	DR085_RS01500	E5E95_RS03360
OG0000177	DR085_RS01505	E5E95_RS03365
OG0000178	DR085_RS01510	E5E95_RS03370
OG0000179	DR085_RS01520	E5E95_RS03380
OG0000180	DR085_RS01525	E5E95_RS03385
OG0000181	DR085_RS03715	E5E95_RS03435
OG0000182	DR085_RS01550	E5E95_RS03445
OG0000183	DR085_RS01585	E5E95_RS03480
OG0000184	DR085_RS02950	E5E95_RS03525
OG0000185	DR085_RS02935	E5E95_RS03510
OG0000186	DR085_RS02180	E5E95_RS01540
OG0000187	DR085_RS02165	E5E95_RS01555
OG0000188	DR085_RS02155	E5E95_RS01565
OG0000189	DR085_RS03775	E5E95_RS02415
OG0000190	DR085_RS02140	E5E95_RS02410
OG0000191	DR085_RS02120	E5E95_RS02390
OG0000192	DR085_RS02110	E5E95_RS01235
OG0000193	DR085_RS02095	E5E95_RS01225
OG0000194	DR085_RS02085	E5E95_RS00690
OG0000195	DR085_RS02080	E5E95_RS00695
OG0000196	DR085_RS03770	E5E95_RS00715
OG0000197	DR085_RS02055	E5E95_RS00720
OG0000198	DR085_RS02040	E5E95_RS00735
OG0000199	DR085_RS02035	E5E95_RS00740
OG0000200	DR085_RS02020	E5E95_RS00755
OG0000201	DR085_RS02010	E5E95_RS00765
OG0000202	DR085_RS01955	E5E95_RS00820
OG0000203	DR085_RS01950	E5E95_RS00825
OG0000204	DR085_RS03675	E5E95_RS00830
OG0000205	DR085_RS00995	E5E95_RS00835
OG0000206	DR085_RS01015	E5E95_RS00855
OG0000207	DR085_RS01030	E5E95_RS00870
OG0000208	DR085_RS01035	E5E95_RS00875
OG0000209	DR085_RS01040	E5E95_RS00880
OG0000210	DR085_RS01085	E5E95_RS00925
OG0000211	DR085_RS01095	E5E95_RS00955
OG0000212	DR085_RS01105	E5E95_RS00965
OG0000213	DR085_RS01110	E5E95_RS00970
OG0000214	DR085_RS01115	E5E95_RS00975
OG0000215	DR085_RS01120	E5E95_RS00980
OG0000216	DR085_RS01125	E5E95_RS00985
OG0000217	DR085_RS01130	E5E95_RS00995
OG0000218	DR085_RS03695	E5E95_RS01000
OG0000219	DR085_RS01145	E5E95_RS01005
OG0000220	DR085_RS01150	E5E95_RS01010
OG0000221	DR085_RS01155	E5E95_RS01015
OG0000222	DR085_RS01160	E5E95_RS01020
OG0000223	DR085_RS01165	E5E95_RS01025
OG0000224	DR085_RS01175	E5E95_RS01035
OG0000225	DR085_RS01185	E5E95_RS01045
OG0000226	DR085_RS01190	E5E95_RS01050
OG0000227	DR085_RS01195	E5E95_RS01055
OG0000228	DR085_RS03930	E5E95_RS04285
OG0000229	DR085_RS01205	E5E95_RS01065
OG0000230	DR085_RS01210	E5E95_RS01070
OG0000231	DR085_RS01220	E5E95_RS01080
OG0000232	DR085_RS01230	E5E95_RS01090
OG0000233	DR085_RS01240	E5E95_RS01110
OG0000234	DR085_RS01270	E5E95_RS01145
OG0000235	DR085_RS01280	E5E95_RS01155
OG0000236	DR085_RS01285	E5E95_RS01160
OG0000237	DR085_RS01305	E5E95_RS01165
OG0000238	DR085_RS01310	E5E95_RS01175
OG0000239	DR085_RS01340	E5E95_RS03145
OG0000240	DR085_RS01345	E5E95_RS03150
OG0000241	DR085_RS01355	E5E95_RS03160
OG0000242	DR085_RS01360	E5E95_RS03165
OG0000243	DR085_RS01365	E5E95_RS03170
OG0000244	DR085_RS01375	E5E95_RS03180
OG0000245	DR085_RS01385	E5E95_RS03190
OG0000246	DR085_RS02350	E5E95_RS00130
OG0000247	DR085_RS02360	E5E95_RS00140
OG0000248	DR085_RS02385	E5E95_RS00150
OG0000249	DR085_RS02390	E5E95_RS00155
OG0000250	DR085_RS00015	E5E95_RS00170
OG0000251	DR085_RS00045	E5E95_RS00205
OG0000252	DR085_RS00055	E5E95_RS00215
OG0000253	DR085_RS00060	E5E95_RS00220
OG0000254	DR085_RS00070	E5E95_RS00230
OG0000255	DR085_RS00075	E5E95_RS00240
OG0000256	DR085_RS00080	E5E95_RS00245
OG0000257	DR085_RS00105	E5E95_RS00270
OG0000258	DR085_RS00115	E5E95_RS00280
OG0000259	DR085_RS00145	E5E95_RS00310
OG0000260	DR085_RS00155	E5E95_RS00320
OG0000261	DR085_RS03635	E5E95_RS00330
OG0000262	DR085_RS00180	E5E95_RS00350
OG0000263	DR085_RS00195	E5E95_RS00360
OG0000264	DR085_RS00210	E5E95_RS00375
OG0000265	DR085_RS00220	E5E95_RS00385
OG0000266	DR085_RS00235	E5E95_RS00400
OG0000267	DR085_RS00250	E5E95_RS00415
OG0000268	DR085_RS00255	E5E95_RS00420
OG0000269	DR085_RS00270	E5E95_RS00435
OG0000270	DR085_RS03815	E5E95_RS03710
OG0000271	DR085_RS02505	E5E95_RS03705
OG0000272	DR085_RS02510	E5E95_RS03700
OG0000273	DR085_RS02515	E5E95_RS03695
OG0000274	DR085_RS02530	E5E95_RS03675
OG0000275	DR085_RS03820	E5E95_RS03670
OG0000276	DR085_RS02540	E5E95_RS03665
OG0000277	DR085_RS03825	E5E95_RS03655
OG0000278	DR085_RS02555	E5E95_RS03650
OG0000279	DR085_RS02565	E5E95_RS03640
OG0000280	DR085_RS02570	E5E95_RS03635
OG0000281	DR085_RS02575	E5E95_RS03630
OG0000282	DR085_RS02600	E5E95_RS03605
OG0000283	DR085_RS02605	E5E95_RS03600
OG0000284	DR085_RS02610	E5E95_RS03595
OG0000285	DR085_RS03840	E5E95_RS03590
OG0000286	DR085_RS00925	E5E95_RS04305
OG0000287	DR085_RS00900	E5E95_RS02720
OG0000288	DR085_RS00890	E5E95_RS02730
OG0000289	DR085_RS00885	E5E95_RS02735
OG0000290	DR085_RS03270	E5E95_RS02845
OG0000291	DR085_RS00785	E5E95_RS02835
OG0000292	DR085_RS00790	E5E95_RS02830
OG0000293	DR085_RS00795	E5E95_RS02825
OG0000294	DR085_RS00805	E5E95_RS02815
OG0000295	DR085_RS00810	E5E95_RS02810
OG0000296	DR085_RS00850	E5E95_RS02770
OG0000297	DR085_RS00855	E5E95_RS02765
OG0000298	DR085_RS00010	E5E95_RS00165
OG0000299	DR085_RS00030	E5E95_RS00190
OG0000300	DR085_RS00205	E5E95_RS00370
OG0000301	DR085_RS00240	E5E95_RS00405
OG0000302	DR085_RS00245	E5E95_RS00410
OG0000303	DR085_RS00380	E5E95_RS00560
OG0000304	DR085_RS00415	E5E95_RS01095
OG0000305	DR085_RS00565	E5E95_RS03080
OG0000306	DR085_RS00650	E5E95_RS03005
OG0000307	DR085_RS00685	E5E95_RS02970
OG0000308	DR085_RS00765	E5E95_RS02875
OG0000309	DR085_RS00820	E5E95_RS02800
OG0000310	DR085_RS00895	E5E95_RS02725
OG0000311	DR085_RS00945	E5E95_RS02690
OG0000312	DR085_RS00965	E5E95_RS02675
OG0000313	DR085_RS02700	E5E95_RS01620
OG0000314	DR085_RS02785	E5E95_RS02075
OG0000315	DR085_RS02755	E5E95_RS02105
OG0000316	DR085_RS02745	E5E95_RS02115
OG0000317	DR085_RS02870	E5E95_RS02205
OG0000318	DR085_RS03900	E5E95_RS02120
OG0000319	DR085_RS01915	E5E95_RS02345
OG0000320	DR085_RS01850	E5E95_RS02570
OG0000321	DR085_RS01785	E5E95_RS01350
OG0000322	DR085_RS01740	E5E95_RS01395
OG0000323	DR085_RS01610	E5E95_RS01525
OG0000324	DR085_RS02115	E5E95_RS02385
OG0000325	DR085_RS02075	E5E95_RS00700
OG0000326	DR085_RS01980	E5E95_RS00795
OG0000327	DR085_RS01975	E5E95_RS00800
OG0000328	DR085_RS01045	E5E95_RS00885
OG0000329	DR085_RS01065	E5E95_RS00905
OG0000330	DR085_RS01250	E5E95_RS01120
OG0000331	DR085_RS01370	E5E95_RS03175
OG0000332	DR085_RS01470	E5E95_RS03320
OG0000333	DR085_RS01480	E5E95_RS03330
OG0000334	DR085_RS01545	E5E95_RS03440
OG0000335	DR085_RS03720	E5E95_RS03450
OG0000336	DR085_RS03835	E5E95_RS03620
OG0000337	DR085_RS02220	E5E95_RS03795
OG0000338	DR085_RS02260	E5E95_RS03835
OG0000339	DR085_RS01830	E5E95_RS02540
OG0000340	DR085_RS01805	E5E95_RS01330
OG0000341	DR085_RS02135	E5E95_RS02405
OG0000342	DR085_RS02045	E5E95_RS00730
OG0000343	DR085_RS01490	E5E95_RS03340
OG0000344	DR085_RS00395	E5E95_RS00575
OG0000345	DR085_RS01180	E5E95_RS01040
OG0000346	DR085_RS03830	E5E95_RS03625
OG0000347	DR085_RS01715	E5E95_RS01420
OG0000348	DR085_RS03760	E5E95_RS00805
OG0000349	DR085_RS02520	E5E95_RS03685
OG0000350	DR085_RS00655	E5E95_RS02960
OG0000351	DR085_RS00330	E5E95_RS00495
OG0000352	DR085_RS02815	E5E95_RS02050
OG0000353	DR085_RS01745	E5E95_RS01390
OG0000354	DR085_RS00450	E5E95_RS00635
OG0000355	DR085_RS03855	E5E95_RS02020
OG0000356	DR085_RS03870	E5E95_RS02110
OG0000357	DR085_RS03705	E5E95_RS03300
OG0000358	DR085_RS01455	E5E95_RS03305
OG0000359	DR085_RS03765	E5E95_RS00775
OG0000360	DR085_RS00110	E5E95_RS00275
OG0000361	DR085_RS00140	E5E95_RS00305
OG0000362	DR085_RS00875	E5E95_RS02745
OG0000363	DR085_RS03935	E5E95_RS03985
OG0000365	DR085_RS03915	E5E95_RS02150
OG0000366	DR085_RS02840	E5E95_RS02175
OG0000367	DR085_RS02850	E5E95_RS02185
OG0000368	DR085_RS02325	E5E95_RS00060
OG0000369	DR085_RS03780	E5E95_RS00025
OG0000370	DR085_RS02285	E5E95_RS00020
OG0000371	DR085_RS02280	E5E95_RS00015
OG0000372	DR085_RS02275	E5E95_RS00010
OG0000373	DR085_RS02250	E5E95_RS03825
OG0000374	DR085_RS02240	E5E95_RS03815
OG0000375	DR085_RS01920	E5E95_RS02340
OG0000376	DR085_RS01865	E5E95_RS02585
OG0000377	DR085_RS01855	E5E95_RS02575
OG0000378	DR085_RS01820	E5E95_RS01310
OG0000379	DR085_RS01750	E5E95_RS01385
OG0000380	DR085_RS01725	E5E95_RS01410
OG0000381	DR085_RS01685	E5E95_RS01450
OG0000382	DR085_RS01655	E5E95_RS01480
OG0000383	DR085_RS01615	E5E95_RS01520
OG0000384	DR085_RS00335	E5E95_RS00515
OG0000385	DR085_RS00340	E5E95_RS00520
OG0000386	DR085_RS00360	E5E95_RS00540
OG0000387	DR085_RS00385	E5E95_RS00565
OG0000388	DR085_RS03645	E5E95_RS00570
OG0000389	DR085_RS00430	E5E95_RS00615
OG0000390	DR085_RS00545	E5E95_RS03100
OG0000391	DR085_RS00555	E5E95_RS03090
OG0000392	DR085_RS00580	E5E95_RS03065
OG0000393	DR085_RS00635	E5E95_RS03010
OG0000394	DR085_RS00700	E5E95_RS02940
OG0000395	DR085_RS00705	E5E95_RS02930
OG0000397	DR085_RS02665	E5E95_RS02035
OG0000398	DR085_RS02660	E5E95_RS02040
OG0000399	DR085_RS02770	E5E95_RS02090
OG0000400	DR085_RS01415	E5E95_RS03265
OG0000401	DR085_RS01475	E5E95_RS03325
OG0000402	DR085_RS01485	E5E95_RS03335
OG0000403	DR085_RS01495	E5E95_RS03345
OG0000404	DR085_RS03710	E5E95_RS03375
OG0000405	DR085_RS01530	E5E95_RS03390
OG0000406	DR085_RS01560	E5E95_RS03455
OG0000407	DR085_RS03725	E5E95_RS03460
OG0000408	DR085_RS01570	E5E95_RS03465
OG0000409	DR085_RS01575	E5E95_RS03470
OG0000410	DR085_RS02955	E5E95_RS03530
OG0000411	DR085_RS02945	E5E95_RS03520
OG0000412	DR085_RS02940	E5E95_RS03515
OG0000413	DR085_RS02185	E5E95_RS01535
OG0000414	DR085_RS02175	E5E95_RS01545
OG0000415	DR085_RS02170	E5E95_RS01550
OG0000416	DR085_RS02160	E5E95_RS01560
OG0000417	DR085_RS02130	E5E95_RS02400
OG0000418	DR085_RS02125	E5E95_RS02395
OG0000419	DR085_RS02065	E5E95_RS00710
OG0000420	DR085_RS02030	E5E95_RS00745
OG0000421	DR085_RS01995	E5E95_RS00780
OG0000422	DR085_RS01985	E5E95_RS00790
OG0000423	DR085_RS01005	E5E95_RS00845
OG0000424	DR085_RS01010	E5E95_RS00850
OG0000425	DR085_RS01020	E5E95_RS00860
OG0000426	DR085_RS03680	E5E95_RS00865
OG0000427	DR085_RS03685	E5E95_RS00890
OG0000428	DR085_RS01075	E5E95_RS00915
OG0000429	DR085_RS01170	E5E95_RS01030
OG0000430	DR085_RS01215	E5E95_RS01075
OG0000431	DR085_RS01225	E5E95_RS01085
OG0000432	DR085_RS01245	E5E95_RS01115
OG0000433	DR085_RS01255	E5E95_RS01130
OG0000434	DR085_RS01260	E5E95_RS01135
OG0000435	DR085_RS01275	E5E95_RS01150
OG0000436	DR085_RS01315	E5E95_RS01180
OG0000437	DR085_RS01325	E5E95_RS01190
OG0000438	DR085_RS03700	E5E95_RS01195
OG0000439	DR085_RS01335	E5E95_RS01200
OG0000440	DR085_RS01350	E5E95_RS03155
OG0000441	DR085_RS01390	E5E95_RS03195
OG0000442	DR085_RS02355	E5E95_RS00135
OG0000443	DR085_RS00025	E5E95_RS00185
OG0000444	DR085_RS00040	E5E95_RS00200
OG0000445	DR085_RS00065	E5E95_RS00225
OG0000446	DR085_RS00090	E5E95_RS00255
OG0000447	DR085_RS00095	E5E95_RS00260
OG0000448	DR085_RS00125	E5E95_RS00290
OG0000449	DR085_RS00150	E5E95_RS00315
OG0000450	DR085_RS00160	E5E95_RS00325
OG0000451	DR085_RS00200	E5E95_RS00365
OG0000452	DR085_RS00225	E5E95_RS00390
OG0000453	DR085_RS00260	E5E95_RS00425
OG0000455	DR085_RS03810	E5E95_RS03730
OG0000456	DR085_RS02595	E5E95_RS03610
OG0000457	DR085_RS02620	E5E95_RS03585
OG0000458	DR085_RS00905	E5E95_RS02715
OG0000459	DR085_RS00880	E5E95_RS02740
OG0000460	DR085_RS00870	E5E95_RS02750
OG0000461	DR085_RS00825	E5E95_RS02795
OG0000462	DR085_RS00830	E5E95_RS02790
OG0000463	DR085_RS00835	E5E95_RS02785
OG0000464	DR085_RS00840	E5E95_RS02780
OG0000465	DR085_RS00845	E5E95_RS02775
OG0000466	DR085_RS00230	E5E95_RS00395
OG0000467	DR085_RS03670	E5E95_RS02880
OG0000468	DR085_RS02775	E5E95_RS02085
OG0000469	DR085_RS02995	E5E95_RS02145
OG0000470	DR085_RS01000	E5E95_RS03895
OG0000471	DR085_RS01080	E5E95_RS00920
OG0000472	DR085_RS02645	E5E95_RS03540
OG0000473	DR085_RS02495	E5E95_RS03715
OG0000474	DR085_RS02490	E5E95_RS03720
OG0000475	DR085_RS02485	E5E95_RS03725
OG0000476	DR085_RS02450	E5E95_RS01570
OG0000477	DR085_RS00800	E5E95_RS02820
OG0000478	DR085_RS02545	E5E95_RS03660
OG0000479	DR085_RS01790	E5E95_RS01345
OG0000480	DR085_RS03170	E5E95_RS03865
OG0000481	DR085_RS01960	E5E95_RS00815
OG0000482	DR085_RS02100	E5E95_RS01230
OG0000483	DR085_RS02855	E5E95_RS02190
OG0000484	DR085_RS03630	E5E95_RS00195
OG0000485	DR085_RS01320	E5E95_RS01185
OG0000486	DR085_RS02150	E5E95_RS02420
OG0000487	DR085_RS03905	E5E95_RS02125
OG0000488	DR085_RS02825	E5E95_RS02160
OG0000489	DR085_RS02315	E5E95_RS00050
OG0000490	DR085_RS02255	E5E95_RS03830
OG0000491	DR085_RS01770	E5E95_RS01365
OG0000492	DR085_RS01695	E5E95_RS01440
OG0000493	DR085_RS00400	E5E95_RS00580
OG0000494	DR085_RS00455	E5E95_RS00640
OG0000495	DR085_RS00610	E5E95_RS03035
OG0000496	DR085_RS00620	E5E95_RS03025
OG0000497	DR085_RS00625	E5E95_RS03020
OG0000500	DR085_RS02655	E5E95_RS02045
OG0000501	DR085_RS01425	E5E95_RS04280, E5E95_RS04275
OG0000502	DR085_RS02090	E5E95_RS01220
OG0000503	DR085_RS02015	E5E95_RS00760
OG0000504	DR085_RS01055	E5E95_RS00895
OG0000506	DR085_RS01100	E5E95_RS00960
OG0000508	DR085_RS00085	E5E95_RS00250
OG0000509	DR085_RS00120	E5E95_RS00285
OG0000510	DR085_RS00130	E5E95_RS00295
OG0000511	DR085_RS00265	E5E95_RS00430
OG0000512	DR085_RS00865	E5E95_RS02755
OG0000513	DR085_RS02560	E5E95_RS03645
OG0000514	DR085_RS00585	E5E95_RS03060
OG0000516	DR085_RS02970	E5E95_RS02130
OG0000517	DR085_RS02330	E5E95_RS00065
OG0000518	DR085_RS01465	E5E95_RS03315
OG0000519	DR085_RS01990	E5E95_RS00785
OG0000520	DR085_RS01070	E5E95_RS00910
OG0000521	DR085_RS00100	E5E95_RS00265
OG0000522	DR085_RS00135	E5E95_RS00300
OG0000523	DR085_RS02625	E5E95_RS03580
OG0000528	DR085_RS02980	E5E95_RS02135
OG0000529	DR085_RS01905	E5E95_RS02355
OG0000531	DR085_RS01720	E5E95_RS01415
OG0000532	DR085_RS00490	E5E95_RS01740
OG0000533	DR085_RS01235	E5E95_RS00600
OG0000534	DR085_RS00215	E5E95_RS00380
OG0000535	DR085_RS02310	E5E95_RS00045
OG0000536	DR085_RS02425	E5E95_RS03765
OG0000537	DR085_RS02050	E5E95_RS00725
OG0000538	DR085_RS01265	E5E95_RS01140
OG0000539	DR085_RS00050	E5E95_RS00210
OG0000541	DR085_RS00725	E5E95_RS02920
OG0000547	DR085_RS00535	E5E95_RS03110
OG0000548	DR085_RS02705	E5E95_RS01615
OG0000549	DR085_RS02650	E5E95_RS03535
OG0000550	DR085_RS02525	E5E95_RS03680
OG0000555	DR085_RS03230	E5E95_RS04170
OG0000589	DR085_RS02910	E5E95_RS02260
OG0000596	DR085_RS02375	E5E95_RS01845
OG0000598	DR085_RS02370	E5E95_RS01850
OG0000599	DR085_RS02365	E5E95_RS01855
OG0000602	DR085_RS02820	E5E95_RS02155
