Orthogroup	MHP_MHP691_genes	MHP_UFV01_genes
OG0000146	DR087_RS01435	FEF30_RS03255
OG0000147	DR087_RS01430	FEF30_RS03250
OG0000148	DR087_RS01415	FEF30_RS03235
OG0000149	DR087_RS01405	FEF30_RS03225
OG0000150	DR087_RS01390	FEF30_RS03210
OG0000151	DR087_RS03290	FEF30_RS03160
OG0000152	DR087_RS03285	FEF30_RS03155
OG0000153	DR087_RS03280	FEF30_RS03150
OG0000154	DR087_RS03270	FEF30_RS03140
OG0000155	DR087_RS03545	FEF30_RS03100
OG0000156	DR087_RS01225	FEF30_RS03090
OG0000157	DR087_RS04555	FEF30_RS04375
OG0000158	DR087_RS04560	FEF30_RS04370
OG0000159	DR087_RS04805	FEF30_RS02835
OG0000160	DR087_RS02460	FEF30_RS02830
OG0000161	DR087_RS02455	FEF30_RS02825
OG0000162	DR087_RS02445	FEF30_RS02815
OG0000163	DR087_RS02440	FEF30_RS02810
OG0000164	DR087_RS03205	FEF30_RS01925
OG0000165	DR087_RS01520	FEF30_RS02320
OG0000166	DR087_RS00005	FEF30_RS02340
OG0000167	DR087_RS00020	FEF30_RS02355
OG0000168	DR087_RS00025	FEF30_RS02360
OG0000169	DR087_RS01010	FEF30_RS03395
OG0000170	DR087_RS00990	FEF30_RS04475
OG0000171	DR087_RS00980	FEF30_RS03420
OG0000172	DR087_RS00975	FEF30_RS03425
OG0000173	DR087_RS00970	FEF30_RS03430
OG0000174	DR087_RS00965	FEF30_RS03435
OG0000175	DR087_RS00950	FEF30_RS03450
OG0000176	DR087_RS00900	FEF30_RS03495
OG0000177	DR087_RS00895	FEF30_RS03500
OG0000178	DR087_RS00890	FEF30_RS03505
OG0000179	DR087_RS00880	FEF30_RS03515
OG0000180	DR087_RS00875	FEF30_RS03520
OG0000181	DR087_RS04520	FEF30_RS04395
OG0000182	DR087_RS00820	FEF30_RS03570
OG0000183	DR087_RS00785	FEF30_RS03605
OG0000184	DR087_RS02140	FEF30_RS00025
OG0000185	DR087_RS02155	FEF30_RS00010
OG0000186	DR087_RS04735	FEF30_RS04275
OG0000187	DR087_RS03425	FEF30_RS01855
OG0000188	DR087_RS03415	FEF30_RS01865
OG0000189	DR087_RS04425	FEF30_RS04355
OG0000190	DR087_RS00260	FEF30_RS02670
OG0000191	DR087_RS00240	FEF30_RS02650
OG0000192	DR087_RS02805	FEF30_RS01530
OG0000193	DR087_RS02790	FEF30_RS01515
OG0000194	DR087_RS02185	FEF30_RS01000
OG0000195	DR087_RS02190	FEF30_RS01005
OG0000196	DR087_RS02210	FEF30_RS01025
OG0000197	DR087_RS02215	FEF30_RS01030
OG0000198	DR087_RS02230	FEF30_RS01045
OG0000199	DR087_RS02235	FEF30_RS01050
OG0000200	DR087_RS02250	FEF30_RS01065
OG0000201	DR087_RS02260	FEF30_RS01075
OG0000202	DR087_RS02315	FEF30_RS01130
OG0000203	DR087_RS02320	FEF30_RS01135
OG0000204	DR087_RS04700	FEF30_RS01140
OG0000205	DR087_RS02610	FEF30_RS01145
OG0000206	DR087_RS02590	FEF30_RS01165
OG0000207	DR087_RS02575	FEF30_RS01180
OG0000208	DR087_RS02570	FEF30_RS01185
OG0000209	DR087_RS02565	FEF30_RS01190
OG0000210	DR087_RS02520	FEF30_RS01235
OG0000211	DR087_RS02630	FEF30_RS01245
OG0000212	DR087_RS02640	FEF30_RS01255
OG0000213	DR087_RS02645	FEF30_RS01260
OG0000214	DR087_RS02650	FEF30_RS01265
OG0000215	DR087_RS02655	FEF30_RS01270
OG0000216	DR087_RS02660	FEF30_RS01275
OG0000217	DR087_RS02665	FEF30_RS01280
OG0000218	DR087_RS02675	FEF30_RS01290
OG0000219	DR087_RS02680	FEF30_RS01295
OG0000220	DR087_RS02685	FEF30_RS01300
OG0000221	DR087_RS02690	FEF30_RS01305
OG0000222	DR087_RS02695	FEF30_RS01310
OG0000223	DR087_RS02700	FEF30_RS01315
OG0000224	DR087_RS02710	FEF30_RS01325
OG0000225	DR087_RS02720	FEF30_RS01335
OG0000226	DR087_RS02725	FEF30_RS01340
OG0000227	DR087_RS02730	FEF30_RS01345
OG0000228	DR087_RS04810	FEF30_RS04410
OG0000229	DR087_RS02740	FEF30_RS01355
OG0000230	DR087_RS02745	FEF30_RS01360
OG0000231	DR087_RS02755	FEF30_RS01370
OG0000232	DR087_RS02765	FEF30_RS01380
OG0000233	DR087_RS02010	FEF30_RS01405
OG0000234	DR087_RS01970	FEF30_RS01440
OG0000235	DR087_RS01960	FEF30_RS01450
OG0000236	DR087_RS01955	FEF30_RS01455
OG0000237	DR087_RS01950	FEF30_RS01460
OG0000238	DR087_RS01940	FEF30_RS01465
OG0000239	DR087_RS03355	FEF30_RS03320
OG0000240	DR087_RS03350	FEF30_RS03325
OG0000241	DR087_RS03340	FEF30_RS03335
OG0000242	DR087_RS03365	FEF30_RS03340
OG0000243	DR087_RS03370	FEF30_RS03345
OG0000244	DR087_RS03380	FEF30_RS03355
OG0000245	DR087_RS03390	FEF30_RS03365
OG0000246	DR087_RS00560	FEF30_RS00455
OG0000247	DR087_RS02415	FEF30_RS00465
OG0000248	DR087_RS02405	FEF30_RS00475
OG0000249	DR087_RS02400	FEF30_RS03675, FEF30_RS00480
OG0000250	DR087_RS02385	FEF30_RS00495
OG0000251	DR087_RS02350	FEF30_RS00525
OG0000252	DR087_RS02340	FEF30_RS00535
OG0000253	DR087_RS02335	FEF30_RS00540
OG0000254	DR087_RS02325	FEF30_RS00550
OG0000255	DR087_RS01760	FEF30_RS00555
OG0000256	DR087_RS01765	FEF30_RS00560
OG0000257	DR087_RS01790	FEF30_RS00585
OG0000258	DR087_RS01800	FEF30_RS00595
OG0000259	DR087_RS01830	FEF30_RS00625
OG0000260	DR087_RS01840	FEF30_RS00635
OG0000261	DR087_RS04615	FEF30_RS04195
OG0000262	DR087_RS01865	FEF30_RS00660
OG0000263	DR087_RS01880	FEF30_RS00675
OG0000264	DR087_RS01895	FEF30_RS00690
OG0000265	DR087_RS01910	FEF30_RS00700
OG0000266	DR087_RS03015	FEF30_RS00715
OG0000267	DR087_RS03030	FEF30_RS00730
OG0000268	DR087_RS03035	FEF30_RS00735
OG0000269	DR087_RS03050	FEF30_RS00750
OG0000270	DR087_RS04505	FEF30_RS04155
OG0000271	DR087_RS00715	FEF30_RS00205
OG0000272	DR087_RS00710	FEF30_RS00200
OG0000273	DR087_RS00705	FEF30_RS00195
OG0000274	DR087_RS00685	FEF30_RS00175
OG0000275	DR087_RS04495	FEF30_RS04145
OG0000276	DR087_RS00675	FEF30_RS00165
OG0000277	DR087_RS00665	FEF30_RS00155
OG0000278	DR087_RS00660	FEF30_RS00150
OG0000279	DR087_RS00650	FEF30_RS00140
OG0000280	DR087_RS00645	FEF30_RS00135
OG0000281	DR087_RS00640	FEF30_RS00130
OG0000282	DR087_RS04485	FEF30_RS04135
OG0000283	DR087_RS00610	FEF30_RS00100
OG0000284	DR087_RS00605	FEF30_RS00095
OG0000285	DR087_RS04480	FEF30_RS04130
OG0000286	DR087_RS02425	FEF30_RS02795
OG0000287	DR087_RS02940	FEF30_RS02895
OG0000288	DR087_RS02950	FEF30_RS02905
OG0000289	DR087_RS02955	FEF30_RS02910
OG0000290	DR087_RS01285	FEF30_RS03020
OG0000291	DR087_RS01295	FEF30_RS03010
OG0000292	DR087_RS01300	FEF30_RS03005
OG0000293	DR087_RS01305	FEF30_RS03000
OG0000294	DR087_RS01315	FEF30_RS02990
OG0000295	DR087_RS01320	FEF30_RS02985
OG0000296	DR087_RS02990	FEF30_RS02945
OG0000297	DR087_RS02985	FEF30_RS02940
OG0000298	DR087_RS02390	FEF30_RS00490
OG0000299	DR087_RS02365	FEF30_RS00510
OG0000300	DR087_RS01890	FEF30_RS00685
OG0000301	DR087_RS03020	FEF30_RS00720
OG0000302	DR087_RS03025	FEF30_RS00725
OG0000303	DR087_RS02895	FEF30_RS00870
OG0000304	DR087_RS02770	FEF30_RS01385
OG0000305	DR087_RS01440	FEF30_RS03260
OG0000306	DR087_RS01365	FEF30_RS03185
OG0000307	DR087_RS03275	FEF30_RS03145
OG0000308	DR087_RS01265	FEF30_RS03040
OG0000309	DR087_RS01330	FEF30_RS02975
OG0000310	DR087_RS02945	FEF30_RS02900
OG0000311	DR087_RS02485	FEF30_RS02855
OG0000312	DR087_RS02470	FEF30_RS02840
OG0000313	DR087_RS03215	FEF30_RS01915
OG0000314	DR087_RS01500	FEF30_RS02335
OG0000315	DR087_RS00030	FEF30_RS02365
OG0000316	DR087_RS00040	FEF30_RS02375
OG0000317	DR087_RS00130	FEF30_RS02470
OG0000318	DR087_RS04400	FEF30_RS04320
OG0000319	DR087_RS00195	FEF30_RS02605
OG0000320	DR087_RS01720	FEF30_RS02735
OG0000321	DR087_RS01195	FEF30_RS01645
OG0000322	DR087_RS01150	FEF30_RS01695
OG0000323	DR087_RS01020	FEF30_RS01825
OG0000324	DR087_RS00235	FEF30_RS02645
OG0000325	DR087_RS02195	FEF30_RS01010
OG0000326	DR087_RS02290	FEF30_RS01105
OG0000327	DR087_RS02295	FEF30_RS01110
OG0000328	DR087_RS02560	FEF30_RS01195
OG0000329	DR087_RS02540	FEF30_RS01215
OG0000330	DR087_RS01995	FEF30_RS01415
OG0000331	DR087_RS03375	FEF30_RS03350
OG0000332	DR087_RS00940	FEF30_RS03460
OG0000333	DR087_RS00930	FEF30_RS03470
OG0000334	DR087_RS00825	FEF30_RS03565
OG0000335	DR087_RS00815	FEF30_RS03575
OG0000336	DR087_RS04490	FEF30_RS04140
OG0000337	DR087_RS00385	FEF30_RS00285
OG0000338	DR087_RS00425	FEF30_RS00325
OG0000339	DR087_RS01745	FEF30_RS02710
OG0000340	DR087_RS01215	FEF30_RS01625
OG0000341	DR087_RS00255	FEF30_RS02665
OG0000342	DR087_RS02225	FEF30_RS01040
OG0000343	DR087_RS00920	FEF30_RS03480
OG0000344	DR087_RS02910	FEF30_RS00885
OG0000345	DR087_RS02715	FEF30_RS01330
OG0000346	DR087_RS00635	FEF30_RS00125
OG0000347	DR087_RS01125	FEF30_RS01720
OG0000348	DR087_RS02300	FEF30_RS01115
OG0000349	DR087_RS04500	FEF30_RS04150
OG0000350	DR087_RS03265	FEF30_RS03135
OG0000351	DR087_RS03115	FEF30_RS00805
OG0000352	DR087_RS01525	FEF30_RS02315
OG0000353	DR087_RS01155	FEF30_RS01690
OG0000354	DR087_RS03150	FEF30_RS00950
OG0000355	DR087_RS04595	FEF30_RS04310
OG0000356	DR087_RS04395	FEF30_RS04315
OG0000357	DR087_RS04525	FEF30_RS04390
OG0000358	DR087_RS00955	FEF30_RS03445
OG0000359	DR087_RS04665	FEF30_RS04215
OG0000360	DR087_RS01795	FEF30_RS00590
OG0000361	DR087_RS01825	FEF30_RS00620
OG0000362	DR087_RS02965	FEF30_RS02920
OG0000363	DR087_RS04545	FEF30_RS01760
OG0000365	DR087_RS04420	FEF30_RS04335
OG0000366	DR087_RS00100	FEF30_RS02440
OG0000367	DR087_RS00110	FEF30_RS02450
OG0000368	DR087_RS00490	FEF30_RS00390
OG0000369	DR087_RS04455	FEF30_RS04170
OG0000371	DR087_RS04765	FEF30_RS00345
OG0000372	DR087_RS00440	FEF30_RS00340
OG0000373	DR087_RS00415	FEF30_RS00315
OG0000374	DR087_RS00405	FEF30_RS00305
OG0000375	DR087_RS00190	FEF30_RS02600
OG0000376	DR087_RS01705	FEF30_RS02750
OG0000377	DR087_RS01715	FEF30_RS02740
OG0000378	DR087_RS03315	FEF30_RS01605
OG0000379	DR087_RS01160	FEF30_RS01685
OG0000380	DR087_RS01135	FEF30_RS01710
OG0000381	DR087_RS01095	FEF30_RS01750
OG0000382	DR087_RS01065	FEF30_RS01780
OG0000383	DR087_RS01025	FEF30_RS01820
OG0000384	DR087_RS03460	FEF30_RS00825
OG0000385	DR087_RS03455	FEF30_RS00830
OG0000386	DR087_RS02875	FEF30_RS00850
OG0000387	DR087_RS02900	FEF30_RS00875
OG0000388	DR087_RS04720	FEF30_RS04205
OG0000389	DR087_RS03170	FEF30_RS00930
OG0000390	DR087_RS01460	FEF30_RS03280
OG0000391	DR087_RS01450	FEF30_RS03270
OG0000392	DR087_RS01425	FEF30_RS03245
OG0000393	DR087_RS04575	FEF30_RS04380
OG0000394	DR087_RS03560	FEF30_RS03110
OG0000395	DR087_RS03550	FEF30_RS03105
OG0000396	DR087_RS02430	FEF30_RS02800
OG0000397	DR087_RS01540	FEF30_RS02300
OG0000398	DR087_RS01535	FEF30_RS02305
OG0000399	DR087_RS00015	FEF30_RS02350
OG0000400	DR087_RS00995	FEF30_RS03405
OG0000401	DR087_RS00935	FEF30_RS03465
OG0000402	DR087_RS00925	FEF30_RS03475
OG0000403	DR087_RS00915	FEF30_RS03485
OG0000404	DR087_RS00885	FEF30_RS03510
OG0000405	DR087_RS00870	FEF30_RS04480
OG0000406	DR087_RS00810	FEF30_RS03580
OG0000407	DR087_RS04515	FEF30_RS04400
OG0000408	DR087_RS00800	FEF30_RS03590
OG0000409	DR087_RS00795	FEF30_RS03595
OG0000410	DR087_RS02135	FEF30_RS00030
OG0000411	DR087_RS02145	FEF30_RS00020
OG0000412	DR087_RS02150	FEF30_RS00015
OG0000413	DR087_RS00355	FEF30_RS01835
OG0000414	DR087_RS03435	FEF30_RS01845
OG0000415	DR087_RS03430	FEF30_RS01850
OG0000416	DR087_RS03420	FEF30_RS01860
OG0000417	DR087_RS00250	FEF30_RS02660
OG0000418	DR087_RS00245	FEF30_RS02655
OG0000419	DR087_RS02205	FEF30_RS01020
OG0000420	DR087_RS02240	FEF30_RS01055
OG0000421	DR087_RS02275	FEF30_RS01090
OG0000422	DR087_RS02285	FEF30_RS01100
OG0000423	DR087_RS02600	FEF30_RS01155
OG0000424	DR087_RS02595	FEF30_RS01160
OG0000425	DR087_RS02585	FEF30_RS01170
OG0000426	DR087_RS04695	FEF30_RS04220
OG0000427	DR087_RS04690	FEF30_RS04225
OG0000428	DR087_RS02530	FEF30_RS01225
OG0000429	DR087_RS02705	FEF30_RS01320
OG0000430	DR087_RS02750	FEF30_RS01365
OG0000431	DR087_RS02760	FEF30_RS01375
OG0000432	DR087_RS02000	FEF30_RS01410
OG0000433	DR087_RS01985	FEF30_RS01425
OG0000434	DR087_RS01980	FEF30_RS01430
OG0000435	DR087_RS01965	FEF30_RS01445
OG0000436	DR087_RS01935	FEF30_RS01470
OG0000437	DR087_RS01925	FEF30_RS01480
OG0000438	DR087_RS01920	FEF30_RS01485
OG0000439	DR087_RS04620	FEF30_RS04235
OG0000440	DR087_RS03345	FEF30_RS03330
OG0000441	DR087_RS03395	FEF30_RS03370
OG0000442	DR087_RS04770	FEF30_RS00460
OG0000443	DR087_RS02370	FEF30_RS00505
OG0000444	DR087_RS02355	FEF30_RS00520
OG0000445	DR087_RS02330	FEF30_RS00545
OG0000446	DR087_RS01775	FEF30_RS00570
OG0000447	DR087_RS01780	FEF30_RS00575
OG0000448	DR087_RS01810	FEF30_RS00605
OG0000449	DR087_RS01835	FEF30_RS00630
OG0000450	DR087_RS01845	FEF30_RS00640
OG0000451	DR087_RS01885	FEF30_RS00680
OG0000452	DR087_RS03005	FEF30_RS00705
OG0000453	DR087_RS03040	FEF30_RS00740
OG0000455	DR087_RS00740	FEF30_RS00230
OG0000456	DR087_RS00620	FEF30_RS00110
OG0000457	DR087_RS00595	FEF30_RS00085
OG0000458	DR087_RS02935	FEF30_RS02890
OG0000459	DR087_RS02960	FEF30_RS02915
OG0000460	DR087_RS02970	FEF30_RS02925
OG0000461	DR087_RS01335	FEF30_RS02970
OG0000462	DR087_RS01340	FEF30_RS02965
OG0000463	DR087_RS01350	FEF30_RS02960
OG0000464	DR087_RS03000	FEF30_RS02955
OG0000465	DR087_RS02995	FEF30_RS02950
OG0000466	DR087_RS03010	FEF30_RS00710
OG0000467	DR087_RS04570	FEF30_RS04360
OG0000468	DR087_RS00010	FEF30_RS02345
OG0000469	DR087_RS00070	FEF30_RS02405
OG0000470	DR087_RS03755	FEF30_RS01150
OG0000471	DR087_RS02525	FEF30_RS01230
OG0000472	DR087_RS02125	FEF30_RS00040
OG0000473	DR087_RS00725	FEF30_RS00215
OG0000474	DR087_RS00730	FEF30_RS00220
OG0000475	DR087_RS00735	FEF30_RS00225
OG0000476	DR087_RS03410	FEF30_RS01870
OG0000477	DR087_RS01310	FEF30_RS02995
OG0000478	DR087_RS00670	FEF30_RS00160
OG0000479	DR087_RS01200	FEF30_RS01640
OG0000480	DR087_RS03730	FEF30_RS02410
OG0000481	DR087_RS02310	FEF30_RS01125
OG0000482	DR087_RS02795	FEF30_RS01520
OG0000483	DR087_RS00115	FEF30_RS02455
OG0000484	DR087_RS04670	FEF30_RS04190
OG0000485	DR087_RS01930	FEF30_RS01475
OG0000486	DR087_RS00270	FEF30_RS02680
OG0000487	DR087_RS04405	FEF30_RS04325
OG0000488	DR087_RS00085	FEF30_RS02425
OG0000489	DR087_RS00480	FEF30_RS00380
OG0000490	DR087_RS00420	FEF30_RS00320
OG0000491	DR087_RS01180	FEF30_RS01660
OG0000492	DR087_RS01105	FEF30_RS01740
OG0000493	DR087_RS02915	FEF30_RS00890
OG0000494	DR087_RS03145	FEF30_RS00955
OG0000495	DR087_RS01395	FEF30_RS03215
OG0000496	DR087_RS01385	FEF30_RS03205
OG0000497	DR087_RS01380	FEF30_RS03200
OG0000498	DR087_RS03245	FEF30_RS03115
OG0000499	DR087_RS01235	FEF30_RS03080
OG0000500	DR087_RS01530	FEF30_RS02310
OG0000502	DR087_RS02785	FEF30_RS01510
OG0000503	DR087_RS02255	FEF30_RS01070
OG0000504	DR087_RS02550	FEF30_RS01205
OG0000505	DR087_RS02625	FEF30_RS01240
OG0000506	DR087_RS02635	FEF30_RS01250
OG0000507	DR087_RS02670	FEF30_RS01285
OG0000508	DR087_RS01770	FEF30_RS00565
OG0000509	DR087_RS01805	FEF30_RS00600
OG0000510	DR087_RS01815	FEF30_RS00610
OG0000511	DR087_RS03045	FEF30_RS00745
OG0000512	DR087_RS02975	FEF30_RS02930
OG0000513	DR087_RS00655	FEF30_RS00145
OG0000514	DR087_RS01420	FEF30_RS03240
OG0000515	DR087_RS01610	FEF30_RS01895, FEF30_RS01890, FEF30_RS01885
OG0000516	DR087_RS04410	FEF30_RS04330
OG0000517	DR087_RS00495	FEF30_RS00395
OG0000518	DR087_RS00945	FEF30_RS03455
OG0000519	DR087_RS02280	FEF30_RS01095
OG0000520	DR087_RS02535	FEF30_RS01220
OG0000521	DR087_RS01785	FEF30_RS00580
OG0000522	DR087_RS01820	FEF30_RS00615
OG0000523	DR087_RS00590	FEF30_RS00080
OG0000524	DR087_RS01260	FEF30_RS03045
OG0000525	DR087_RS04645	FEF30_RS04105
OG0000526	DR087_RS04050	FEF30_RS02235
OG0000528	DR087_RS04415	FEF30_RS02395
OG0000529	DR087_RS00205	FEF30_RS02615
OG0000530	DR087_RS01735	FEF30_RS02720
OG0000531	DR087_RS01130	FEF30_RS01715
OG0000532	DR087_RS03180	FEF30_RS01945
OG0000533	DR087_RS03510	FEF30_RS00915
OG0000534	DR087_RS01900	FEF30_RS00695
OG0000535	DR087_RS04460	FEF30_RS04175
OG0000537	DR087_RS02220	FEF30_RS01035
OG0000538	DR087_RS01975	FEF30_RS01435
OG0000539	DR087_RS02345	FEF30_RS00530
OG0000540	DR087_RS01290	FEF30_RS03015
OG0000541	DR087_RS01220	FEF30_RS03095
OG0000542	DR087_RS01870	FEF30_RS00665
OG0000544	DR087_RS04710	FEF30_RS04245
OG0000545	DR087_RS01630	FEF30_RS02225
OG0000546	DR087_RS04305	FEF30_RS03165
OG0000547	DR087_RS01470	FEF30_RS03290
OG0000548	DR087_RS03220	FEF30_RS01910
OG0000549	DR087_RS04650	FEF30_RS04100
OG0000550	DR087_RS00690	FEF30_RS00180
