Orthogroup	MFC_MF29_protein	MHP_MHP679_protein
OG0000212	WP_160581429.1	WP_011206207.1
OG0000213	WP_002557693.1	WP_160585173.1
OG0000214	WP_002557703.1	WP_160590199.1
OG0000215	WP_160581256.1	WP_160590197.1
OG0000216	WP_002557707.1	WP_011206424.1
OG0000217	WP_002557708.1	WP_160585649.1
OG0000218	WP_002557709.1	WP_160590195.1
OG0000219	WP_160581261.1	WP_160590191.1
OG0000220	WP_160581263.1	WP_135619070.1
OG0000221	WP_160581265.1	WP_160590189.1
OG0000222	WP_160581268.1	WP_160590187.1
OG0000223	WP_160581270.1	WP_160585273.1
OG0000224	WP_002557721.1	WP_044272620.1
OG0000225	WP_160581272.1	WP_160590185.1
OG0000226	WP_160581274.1	WP_160590183.1
OG0000227	WP_002557725.1	WP_160590181.1
OG0000228	WP_002557726.1	WP_160590179.1
OG0000229	WP_039387691.1	WP_160590523.1
OG0000230	WP_002557729.1	WP_011206453.1
OG0000231	WP_002557731.1	WP_160590340.1
OG0000232	WP_160581280.1	WP_160590342.1
OG0000233	WP_002557733.1	WP_011206457.1
OG0000234	WP_002557734.1	WP_011206458.1
OG0000235	WP_002557735.1	WP_011206459.1
OG0000236	WP_160581284.1	WP_160590344.1
OG0000237	WP_002557739.1	WP_011206469.1
OG0000238	WP_160581467.1	WP_011206468.1
OG0000239	WP_160581469.1	WP_160590352.1
OG0000240	WP_002557742.1	WP_160590350.1
OG0000241	WP_002557743.1	WP_020835897.1
OG0000242	WP_160581401.1	WP_160590452.1
OG0000243	WP_160581290.1	WP_146379568.1
OG0000244	WP_160581292.1	WP_160590268.1
OG0000245	WP_002557751.1	WP_011290131.1
OG0000246	WP_002557752.1	WP_160590266.1
OG0000247	WP_002557753.1	WP_011284055.1
OG0000248	WP_002557754.1	WP_011284056.1
OG0000249	WP_002557755.1	WP_011205932.1
OG0000250	WP_160581293.1	WP_160590301.1
OG0000251	WP_002557757.1	WP_011206256.1
OG0000252	WP_002557760.1	WP_258555694.1
OG0000253	WP_002557761.1	WP_135619204.1
OG0000254	WP_160581299.1	WP_011284001.1
OG0000255	WP_002557766.1	WP_011283999.1
OG0000256	WP_160581301.1	WP_160590375.1
OG0000257	WP_002557768.1	WP_160590430.1
OG0000258	WP_002557769.1	WP_011290024.1
OG0000259	WP_039387630.1	WP_011206093.1
OG0000260	WP_002557773.1	WP_160590432.1
OG0000261	WP_160581303.1	WP_179695841.1
OG0000262	WP_002557775.1	WP_041361572.1
OG0000263	WP_002557778.1	WP_011283930.1
OG0000264	WP_002557779.1	WP_011206086.1
OG0000265	WP_220200575.1	WP_020835574.1
OG0000266	WP_002557781.1	WP_020835575.1
OG0000267	WP_160581305.1	WP_020835576.1
OG0000268	WP_002557783.1	WP_011283934.1
OG0000269	WP_002557784.1	WP_011206080.1
OG0000270	WP_002557785.1	WP_160590497.1
OG0000271	WP_160581307.1	WP_146379504.1
OG0000272	WP_002557791.1	WP_160590491.1
OG0000273	WP_160581315.1	WP_011206072.1
OG0000274	WP_160581361.1	WP_308704708.1
OG0000275	WP_160581359.1	WP_160585610.1
OG0000276	WP_002557796.1	WP_135618585.1
OG0000277	WP_160581357.1	WP_135618587.1
OG0000278	WP_002557798.1	WP_011290044.1
OG0000279	WP_002557799.1	WP_011206065.1
OG0000280	WP_258555790.1	WP_011206064.1
OG0000281	WP_160581354.1	WP_094521594.1
OG0000282	WP_002557802.1	WP_160590413.1
OG0000283	WP_002557803.1	WP_011206061.1
OG0000284	WP_160581348.1	WP_011206054.1
OG0000285	WP_160581347.1	WP_011206052.1
OG0000286	WP_002557813.1	WP_011206050.1
OG0000287	WP_002557814.1	WP_011206049.1
OG0000288	WP_002557815.1	WP_011206048.1
OG0000289	WP_002557816.1	WP_011283963.1
OG0000290	WP_002557817.1	WP_011206047.1
OG0000291	WP_160581343.1	WP_160590389.1
OG0000292	WP_160581341.1	WP_011206044.1
OG0000293	WP_160581339.1	WP_011290058.1
OG0000294	WP_002557823.1	WP_011206041.1
OG0000295	WP_002557824.1	WP_160590391.1
OG0000296	WP_002557825.1	WP_011206039.1
OG0000297	WP_002557826.1	WP_011206038.1
OG0000298	WP_002557827.1	WP_041361589.1
OG0000299	WP_002557831.1	WP_160590395.1
OG0000300	WP_002557832.1	WP_011206032.1
OG0000301	WP_002557833.1	WP_011206031.1
OG0000302	WP_002557834.1	WP_094521599.1
OG0000303	WP_002557835.1	WP_011206028.1
OG0000304	WP_160581335.1	WP_160585185.1
OG0000305	WP_002557837.1	WP_094521600.1
OG0000306	WP_160581334.1	WP_011206025.1
OG0000307	WP_002557839.1	WP_160590397.1
OG0000308	WP_002557840.1	WP_014579601.1
OG0000309	WP_160581330.1	WP_011290071.1
OG0000310	WP_160581328.1	WP_160590251.1
OG0000311	WP_002557845.1	WP_011206014.1
OG0000312	WP_160581326.1	WP_160590253.1
OG0000313	WP_318026671.1	WP_160590255.1
OG0000314	WP_002557849.1	WP_160584678.1
OG0000315	WP_002557850.1	WP_011290078.1
OG0000316	WP_160581215.1	WP_011283989.1
OG0000317	WP_002557855.1	WP_160590257.1
OG0000318	WP_002557856.1	WP_011283991.1
OG0000319	WP_002557857.1	WP_011206005.1
OG0000320	WP_160581219.1	WP_160590259.1
OG0000321	WP_160581221.1	WP_160590261.1
OG0000322	WP_160581223.1	WP_160590263.1
OG0000323	WP_002557863.1	WP_146379700.1
OG0000324	WP_002557864.1	WP_020835851.1
OG0000325	WP_160581244.1	WP_160585229.1
OG0000326	WP_002557866.1	WP_044272588.1
OG0000327	WP_160581246.1	WP_146379702.1
OG0000328	WP_002557868.1	WP_146379703.1
OG0000329	WP_002557870.1	WP_011206406.1
OG0000330	WP_002557872.1	WP_135619044.1
OG0000331	WP_160581250.1	WP_135619046.1
OG0000332	WP_160581082.1	WP_258555717.1
OG0000333	WP_160581080.1	WP_258555718.1
OG0000334	WP_160581077.1	WP_308704696.1
OG0000335	WP_160581069.1	WP_243215933.1
OG0000336	WP_160581063.1	WP_146379459.1
OG0000337	WP_160581059.1	WP_011289957.1
OG0000338	WP_160581057.1	WP_044272282.1
OG0000339	WP_160581053.1	WP_011205880.1
OG0000340	WP_002557891.1	WP_146379462.1
OG0000341	WP_002557892.1	WP_146379463.1
OG0000342	WP_160581051.1	WP_011205883.1
OG0000343	WP_160581049.1	WP_160589983.1
OG0000344	WP_002557895.1	WP_044284571.1
OG0000345	WP_160581047.1	WP_160589986.1
OG0000346	WP_002557898.1	WP_014579550.1
OG0000347	WP_002557899.1	WP_011205889.1
OG0000348	WP_002557900.1	WP_094521758.1
OG0000349	WP_002557901.1	WP_135618497.1
OG0000350	WP_002557902.1	WP_014579553.1
OG0000351	WP_002557903.1	WP_146379468.1
OG0000352	WP_002557904.1	WP_011289973.1
OG0000353	WP_160581044.1	WP_011289974.1
OG0000354	WP_220190183.1	WP_020835518.1
OG0000355	WP_160581042.1	WP_011205897.1
OG0000356	WP_160581040.1	WP_011289977.1
OG0000357	WP_160581038.1	WP_135618505.1
OG0000358	WP_160581036.1	WP_020835520.1
OG0000359	WP_002557912.1	WP_160584763.1
OG0000360	WP_160581035.1	WP_011289982.1
OG0000361	WP_002557914.1	WP_160589995.1
OG0000362	WP_160581032.1	WP_160589998.1
OG0000363	WP_002557919.1	WP_135618519.1
OG0000364	WP_160581024.1	WP_160584756.1
OG0000365	WP_160581022.1	WP_160590002.1
OG0000366	WP_160581017.1	WP_011283887.1
OG0000367	WP_002557927.1	WP_044284579.1
OG0000368	WP_002557928.1	WP_160584747.1
OG0000369	WP_002557930.1	WP_011205923.1
OG0000370	WP_160581015.1	WP_146379477.1
OG0000371	WP_160581013.1	WP_146379478.1
OG0000372	WP_002557935.1	WP_160590007.1
OG0000373	WP_002557936.1	WP_011206134.1
OG0000374	WP_160581138.1	WP_160590360.1
OG0000375	WP_160581371.1	WP_160590356.1
OG0000376	WP_002557946.1	WP_160590354.1
OG0000377	WP_002557947.1	WP_146379758.1
OG0000378	WP_002557948.1	WP_011206502.1
OG0000379	WP_160581373.1	WP_220191147.1
OG0000380	WP_160581375.1	WP_160590207.1
OG0000381	WP_160581377.1	WP_228366117.1
OG0000382	WP_002557954.1	WP_011290421.1
OG0000383	WP_160581382.1	WP_011206494.1
OG0000384	WP_002557959.1	WP_011290418.1
OG0000385	WP_002557960.1	WP_011206490.1
OG0000386	WP_002557961.1	WP_011290416.1
OG0000387	WP_160581386.1	WP_011206487.1
OG0000388	WP_160581388.1	WP_160590212.1
OG0000389	WP_002557965.1	WP_160590214.1
OG0000390	WP_160581390.1	WP_160590216.1
OG0000391	WP_002557967.1	WP_160584909.1
OG0000392	WP_160581392.1	WP_160590218.1
OG0000393	WP_160580983.1	WP_146379652.1
OG0000394	WP_002557978.1	WP_160590143.1
OG0000395	WP_002557980.1	WP_011206299.1
OG0000396	WP_160580975.1	WP_160590139.1
OG0000397	WP_002557984.1	WP_044272549.1
OG0000398	WP_002558003.1	WP_160590123.1
OG0000399	WP_002558005.1	WP_011206320.1
OG0000400	WP_160580955.1	WP_160590127.1
OG0000401	WP_002558007.1	WP_160590129.1
OG0000402	WP_160580957.1	WP_160590133.1
OG0000403	WP_160580958.1	WP_160590135.1
OG0000404	WP_160580962.1	WP_220200762.1
OG0000405	WP_002558013.1	WP_011284228.1
OG0000406	WP_002558017.1	WP_011284227.1
OG0000407	WP_160580964.1	WP_041361673.1
OG0000408	WP_160580966.1	WP_011284225.1
OG0000409	WP_160581061.1	WP_160589980.1
OG0000410	WP_039387487.1	WP_011205878.1
OG0000411	WP_039387496.1	WP_041361533.1
OG0000412	WP_039387501.1	WP_160590003.1
OG0000413	WP_039387504.1	WP_011205925.1
OG0000414	WP_160580856.1	WP_011206118.1
OG0000415	WP_160580864.1	WP_011283978.1
OG0000416	WP_258555751.1	WP_160590159.1
OG0000417	WP_160580924.1	WP_160590460.1
OG0000418	WP_220200546.1	WP_160590113.1
OG0000419	WP_160580950.1	WP_160590117.1
OG0000420	WP_160580960.1	WP_160590137.1
OG0000421	WP_160580977.1	WP_160590141.1
OG0000422	WP_039387548.1	WP_011206293.1
OG0000423	WP_039387554.1	WP_011206141.1
OG0000424	WP_039387562.1	WP_160590026.1
OG0000425	WP_160581431.1	WP_160585171.1
OG0000426	WP_160581432.1	WP_160590036.1
OG0000427	WP_160581441.1	WP_146379589.1
OG0000428	WP_039387592.1	WP_014579824.1
OG0000429	WP_160581470.1	WP_220190711.1
OG0000430	WP_308704654.1	WP_308704706.1
OG0000431	WP_160581169.1	WP_160590446.1
OG0000432	WP_039387610.1	WP_011205969.1
OG0000433	WP_039387613.1	WP_020835642.1
OG0000434	WP_160581463.1	WP_160590272.1
OG0000435	WP_160581297.1	WP_094521693.1
OG0000436	WP_039387628.1	WP_011206094.1
OG0000437	WP_039387636.1	WP_160590495.1
OG0000438	WP_160581309.1	WP_160590493.1
OG0000439	WP_039387641.1	WP_011206069.1
OG0000440	WP_220200580.1	WP_041361583.1
OG0000441	WP_160581352.1	WP_011206056.1
OG0000442	WP_039387651.1	WP_014579622.1
OG0000443	WP_039387658.1	WP_011206016.1
OG0000444	WP_039387665.1	WP_146379704.1
OG0000445	WP_039387681.1	WP_011290372.1
OG0000446	WP_039387683.1	WP_011206433.1
OG0000447	WP_160581276.1	WP_160590521.1
OG0000448	WP_160581278.1	WP_160590338.1
OG0000449	WP_039387704.1	WP_011206488.1
OG0000450	WP_039387707.1	WP_041361708.1
OG0000451	WP_039387713.1	WP_160588156.1
OG0000452	WP_039387719.1	WP_011205931.1
OG0000453	WP_160581112.1	WP_011290441.1
OG0000454	WP_039387723.1	WP_011284394.1
OG0000455	WP_039387750.1	WP_160590131.1
OG0000456	WP_160581439.1	WP_160590061.1
OG0000457	WP_160581172.1	WP_160590509.1
OG0000458	WP_039387777.1	WP_011205973.1
OG0000459	WP_039387782.1	WP_160590303.1
OG0000460	WP_039387785.1	WP_094521586.1
OG0000461	WP_039387808.1	WP_011206435.1
OG0000462	WP_160581379.1	WP_160590209.1
OG0000463	WP_258555777.1	WP_160590295.1
OG0000464	WP_051054279.1	WP_160590335.1
OG0000465	WP_051054304.1	WP_160590393.1
OG0000466	WP_081605287.1	WP_232039558.1
OG0000467	WP_160581124.1	WP_160590364.1
OG0000468	WP_081605280.1	WP_011205955.1
OG0000469	WP_308704659.1	WP_240536364.1
OG0000470	WP_160580898.1	WP_020835837.1
OG0000471	WP_155897264.1	WP_094521522.1
OG0000472	WP_169742226.1	WP_011206218.1
OG0000473	WP_308704660.1	WP_308704712.1
OG0000474	WP_220200545.1	WP_160590468.1
OG0000475	WP_220190748.1	WP_308704698.1
OG0000476	WP_220190833.1	WP_160590018.1
OG0000477	WP_236681784.1	WP_160590070.1
OG0000478	WP_308704656.1	WP_160590290.1
OG0000479	WP_220200544.1	WP_308507047.1
OG0000480	WP_231237866.1	WP_011206194.1
OG0000481	WP_308507120.1	WP_308704699.1
OG0000482	WP_002557710.1	WP_228366113.1
OG0000483	WP_160581259.1	WP_160588052.1
OG0000484	WP_231237877.1	WP_225973007.1
OG0000485	WP_231237879.1	WP_225973008.1
OG0000486	WP_258555761.1	WP_160589992.1
OG0000487	WP_255454460.1	WP_011290282.1
OG0000488	WP_308704657.1	WP_160590201.1
OG0000489	WP_334199004.1	WP_308704679.1
OG0000491	WP_160581087.1	WP_011283834.1
OG0000492	WP_308704650.1	WP_160588112.1
OG0000493	WP_002557476.1	WP_044272260.1
OG0000494	WP_160581098.1	WP_146379773.1
OG0000496	WP_160581171.1	WP_146379640.1
OG0000497	WP_002557546.1	WP_011205962.1
OG0000498	WP_160581196.1	WP_146379558.1
OG0000499	WP_160581205.1	WP_160590286.1
OG0000500	WP_160580848.1	WP_160590327.1
OG0000501	WP_160580862.1	WP_160585737.1
OG0000502	WP_160580870.1	WP_160590403.1
OG0000504	WP_160580905.1	WP_160590151.1
OG0000505	WP_002557639.1	WP_011290314.1
OG0000506	WP_002557640.1	WP_160590539.1
OG0000507	WP_160580943.1	WP_011206333.1
OG0000508	WP_002557673.1	WP_160585153.1
OG0000509	WP_160581254.1	WP_220200770.1
OG0000510	WP_160581266.1	WP_220200769.1
OG0000511	WP_258555660.1	WP_258555660.1
OG0000512	WP_160581295.1	WP_160590305.1
OG0000513	WP_160581350.1	WP_146379514.1
OG0000514	WP_160581345.1	WP_011290053.1
OG0000515	WP_002557821.1	WP_160585191.1
OG0000516	WP_160581337.1	WP_011206036.1
OG0000517	WP_160581026.1	WP_011289986.1
OG0000518	WP_160581019.1	WP_011205913.1
OG0000519	WP_002557926.1	WP_020835528.1
OG0000520	WP_160581011.1	WP_160590005.1
OG0000522	WP_160581395.1	WP_160590222.1
OG0000523	WP_160581397.1	WP_160590224.1
OG0000524	WP_160580973.1	WP_014579890.1
OG0000525	WP_002557985.1	WP_160585006.1
OG0000526	WP_002558014.1	WP_011206310.1
OG0000527	WP_002558016.1	WP_011206309.1
OG0000528	WP_039387498.1	WP_011205922.1
OG0000529	WP_220200547.1	WP_160590115.1
OG0000530	WP_160581425.1	WP_011290194.1
OG0000531	WP_160581369.1	WP_041361711.1
OG0000532	WP_220200585.1	WP_160590358.1
OG0000533	WP_201771017.1	WP_160590377.1
OG0000534	WP_039387661.1	WP_020835615.1
OG0000535	WP_160580894.1	WP_160590157.1
OG0000536	WP_258555787.1	WP_160585249.1
OG0000539	WP_002557806.1	WP_011283955.1
OG0000540	WP_308704662.1	WP_160590456.1
OG0000541	WP_160581228.1	WP_160590097.1
OG0000542	WP_160581120.1	WP_160590368.1
OG0000543	WP_160581332.1	WP_160584784.1
OG0000546	WP_258555783.1	WP_135619042.1
OG0000564	WP_011290233.1	WP_011290233.1
OG0000605	WP_160581489.1	WP_160590513.1
OG0000606	WP_014579679.1	WP_160590095.1
OG0000607	WP_014579687.1	WP_014579687.1
OG0000619	WP_002557988.1	WP_160590515.1
OG0000620	WP_160581480.1	WP_011284157.1
OG0000621	WP_160581232.1	WP_258555662.1, WP_258555661.1
OG0000622	WP_258555775.1	WP_160590313.1
OG0000624	WP_160580930.1	WP_160590418.1
OG0000625	WP_002557992.1	WP_258555727.1
OG0000626	WP_160580932.1	WP_167871266.1
OG0000632	WP_011290238.1	WP_160590091.1
OG0000633	WP_160581237.1	WP_160581237.1
OG0000636	WP_014579683.1	WP_014579683.1
OG0000637	WP_258555782.1	WP_258555663.1
OG0000669	WP_041361554.1	WP_014579677.1
OG0000670	WP_044277979.1	WP_044277979.1
OG0000671	WP_160581224.1	WP_014579675.1
OG0000672	WP_160581226.1	WP_014579676.1
OG0000673	WP_160581230.1	WP_160590093.1
