Orthogroup	MHP_J_genes	MFC_ATCC27716_genes
OG0000069	MHJ_RS02785	MFC_RS01075
OG0000070	MHJ_RS02430	MFC_RS01215
OG0000071	MHJ_RS03250	MFC_RS01630
OG0000072	MHJ_RS03255	MFC_RS01635
OG0000073	MHJ_RS00685	MFC_RS03395, MFC_RS03390
OG0000074	MHJ_RS00875	MFC_RS03400
OG0000075	MHJ_RS00320	MFC_RS02565
OG0000076	MHJ_RS00335	MFC_RS02580
OG0000077	MHJ_RS00425	MFC_RS02670
OG0000078	MHJ_RS01625	MFC_RS03005
OG0000079	MHJ_RS02515	MFC_RS02930, MFC_RS03120
OG0000080	MHJ_RS03800	MFC_RS03315
OG0000081	MHJ_RS00315	MFC_RS03430, MFC_RS02560
OG0000082	MHJ_RS02340, MHJ_RS03775	MFC_RS02870
OG0000083	MHJ_RS01975	MFC_RS00040
OG0000084	MHJ_RS02000	MFC_RS00070
OG0000085	MHJ_RS02005	MFC_RS00075
OG0000086	MHJ_RS02015	MFC_RS00085
OG0000087	MHJ_RS02030	MFC_RS03320
OG0000088	MHJ_RS02035	MFC_RS00105
OG0000089	MHJ_RS02045	MFC_RS00115
OG0000090	MHJ_RS00070	MFC_RS00165
OG0000091	MHJ_RS00055	MFC_RS00180
OG0000092	MHJ_RS00040	MFC_RS00195
OG0000093	MHJ_RS00035	MFC_RS00200
OG0000094	MHJ_RS00030	MFC_RS00205
OG0000095	MHJ_RS00005	MFC_RS00230
OG0000096	MHJ_RS03580	MFC_RS00235
OG0000097	MHJ_RS03560	MFC_RS00255
OG0000098	MHJ_RS03550	MFC_RS00265
OG0000099	MHJ_RS03505	MFC_RS00320
OG0000100	MHJ_RS03490	MFC_RS00335
OG0000101	MHJ_RS03485	MFC_RS00340
OG0000102	MHJ_RS01650	MFC_RS00350
OG0000103	MHJ_RS02165	MFC_RS00405
OG0000104	MHJ_RS02170	MFC_RS00410
OG0000105	MHJ_RS02185	MFC_RS00425
OG0000106	MHJ_RS02195	MFC_RS00435
OG0000107	MHJ_RS02205	MFC_RS00445
OG0000108	MHJ_RS02210	MFC_RS00450
OG0000109	MHJ_RS02215	MFC_RS00455
OG0000110	MHJ_RS02330	MFC_RS00460
OG0000111	MHJ_RS02325	MFC_RS00465
OG0000112	MHJ_RS02315	MFC_RS00475
OG0000113	MHJ_RS02295	MFC_RS00490
OG0000114	MHJ_RS02285	MFC_RS00500
OG0000115	MHJ_RS02275	MFC_RS00510
OG0000116	MHJ_RS01270	MFC_RS00520
OG0000117	MHJ_RS01275	MFC_RS00525
OG0000118	MHJ_RS01310	MFC_RS00555
OG0000119	MHJ_RS01315	MFC_RS00560
OG0000120	MHJ_RS01330	MFC_RS00575
OG0000121	MHJ_RS01355	MFC_RS00600
OG0000122	MHJ_RS01360	MFC_RS00605
OG0000123	MHJ_RS01380	MFC_RS00625
OG0000124	MHJ_RS01385	MFC_RS00630
OG0000125	MHJ_RS01390	MFC_RS00635
OG0000126	MHJ_RS01400	MFC_RS00645
OG0000127	MHJ_RS01410	MFC_RS00655
OG0000128	MHJ_RS01425	MFC_RS00670
OG0000129	MHJ_RS01430	MFC_RS00675
OG0000130	MHJ_RS01440	MFC_RS00685
OG0000131	MHJ_RS01470	MFC_RS00715
OG0000132	MHJ_RS01485	MFC_RS00735
OG0000133	MHJ_RS00515	MFC_RS00805
OG0000134	MHJ_RS00520	MFC_RS00810
OG0000135	MHJ_RS00535	MFC_RS00825
OG0000136	MHJ_RS00540	MFC_RS00830
OG0000137	MHJ_RS00575	MFC_RS00860
OG0000138	MHJ_RS00605	MFC_RS00885
OG0000139	MHJ_RS00635	MFC_RS00915
OG0000140	MHJ_RS00640	MFC_RS00920
OG0000141	MHJ_RS02910	MFC_RS00955
OG0000142	MHJ_RS02905	MFC_RS00960
OG0000143	MHJ_RS02880	MFC_RS00985
OG0000144	MHJ_RS02870	MFC_RS00995
OG0000145	MHJ_RS02855	MFC_RS01005
OG0000146	MHJ_RS02845	MFC_RS01015
OG0000147	MHJ_RS02840	MFC_RS01020
OG0000148	MHJ_RS02825	MFC_RS01035
OG0000149	MHJ_RS02815	MFC_RS01045
OG0000150	MHJ_RS02800	MFC_RS01060
OG0000151	MHJ_RS02745	MFC_RS01115
OG0000152	MHJ_RS02740	MFC_RS01120
OG0000153	MHJ_RS02735	MFC_RS01125
OG0000154	MHJ_RS02725	MFC_RS01135
OG0000155	MHJ_RS02685	MFC_RS01155
OG0000156	MHJ_RS02675	MFC_RS01175
OG0000157	MHJ_RS02670	MFC_RS01180
OG0000158	MHJ_RS04010	MFC_RS01190
OG0000159	MHJ_RS04030	MFC_RS01245
OG0000160	MHJ_RS02410	MFC_RS01250
OG0000161	MHJ_RS02405	MFC_RS01255
OG0000162	MHJ_RS02395	MFC_RS01265
OG0000163	MHJ_RS02390	MFC_RS01270
OG0000164	MHJ_RS01565	MFC_RS01300
OG0000165	MHJ_RS01890	MFC_RS01345
OG0000166	MHJ_RS01915	MFC_RS01365
OG0000167	MHJ_RS01930	MFC_RS01380
OG0000168	MHJ_RS01935	MFC_RS01385
OG0000169	MHJ_RS03005	MFC_RS01430
OG0000170	MHJ_RS03035	MFC_RS01455
OG0000171	MHJ_RS03045	MFC_RS01465
OG0000172	MHJ_RS03050	MFC_RS01470
OG0000173	MHJ_RS03055	MFC_RS01475
OG0000174	MHJ_RS03060	MFC_RS01480
OG0000175	MHJ_RS03075	MFC_RS01495
OG0000176	MHJ_RS03125	MFC_RS01540
OG0000177	MHJ_RS03130	MFC_RS01545
OG0000178	MHJ_RS03135	MFC_RS01550
OG0000179	MHJ_RS03145	MFC_RS01560
OG0000180	MHJ_RS03150	MFC_RS01565
OG0000181	MHJ_RS03200	MFC_RS01580
OG0000182	MHJ_RS03210	MFC_RS01590
OG0000183	MHJ_RS03245	MFC_RS01625
OG0000184	MHJ_RS03285	MFC_RS01655
OG0000185	MHJ_RS03270	MFC_RS01670
OG0000186	MHJ_RS01495	MFC_RS01710
OG0000187	MHJ_RS01510	MFC_RS01725
OG0000188	MHJ_RS01520	MFC_RS01735
OG0000189	MHJ_RS02250	MFC_RS03385
OG0000190	MHJ_RS02245	MFC_RS01750
OG0000191	MHJ_RS02225	MFC_RS01770
OG0000192	MHJ_RS01190	MFC_RS01780
OG0000193	MHJ_RS01180	MFC_RS01795
OG0000194	MHJ_RS00670	MFC_RS01805
OG0000195	MHJ_RS00675	MFC_RS01810
OG0000196	MHJ_RS00695	MFC_RS01830
OG0000197	MHJ_RS00700	MFC_RS01835
OG0000198	MHJ_RS00715	MFC_RS01850
OG0000199	MHJ_RS00720	MFC_RS01855
OG0000200	MHJ_RS00730	MFC_RS01865
OG0000201	MHJ_RS00740	MFC_RS01875
OG0000202	MHJ_RS00795	MFC_RS01930
OG0000203	MHJ_RS00800	MFC_RS01935
OG0000204	MHJ_RS00805	MFC_RS01940
OG0000205	MHJ_RS00810	MFC_RS01945
OG0000206	MHJ_RS00830	MFC_RS01965
OG0000207	MHJ_RS00845	MFC_RS01980
OG0000208	MHJ_RS00850	MFC_RS01985
OG0000209	MHJ_RS00855	MFC_RS01990
OG0000210	MHJ_RS00900	MFC_RS02040
OG0000211	MHJ_RS00910	MFC_RS02050
OG0000212	MHJ_RS00920	MFC_RS02060
OG0000213	MHJ_RS00925	MFC_RS02065
OG0000214	MHJ_RS00930	MFC_RS02070
OG0000215	MHJ_RS00935	MFC_RS02075
OG0000216	MHJ_RS00940	MFC_RS02080
OG0000217	MHJ_RS00945	MFC_RS02085
OG0000218	MHJ_RS00955	MFC_RS02095
OG0000219	MHJ_RS00960	MFC_RS02100
OG0000220	MHJ_RS00965	MFC_RS02105
OG0000221	MHJ_RS00970	MFC_RS02110
OG0000222	MHJ_RS00975	MFC_RS03235
OG0000223	MHJ_RS00980	MFC_RS02115
OG0000224	MHJ_RS00990	MFC_RS02125
OG0000225	MHJ_RS01000	MFC_RS02135
OG0000226	MHJ_RS01005	MFC_RS02140
OG0000227	MHJ_RS01010	MFC_RS02145
OG0000228	MHJ_RS04015	MFC_RS03530
OG0000229	MHJ_RS01020	MFC_RS02155
OG0000230	MHJ_RS01025	MFC_RS02160
OG0000231	MHJ_RS01035	MFC_RS02170
OG0000232	MHJ_RS01045	MFC_RS02180
OG0000233	MHJ_RS01065	MFC_RS02190
OG0000234	MHJ_RS01100	MFC_RS02220
OG0000235	MHJ_RS01110	MFC_RS02230
OG0000236	MHJ_RS01115	MFC_RS02235
OG0000237	MHJ_RS01120	MFC_RS02250
OG0000238	MHJ_RS01130	MFC_RS02255
OG0000239	MHJ_RS02925	MFC_RS02285
OG0000240	MHJ_RS02930	MFC_RS02290
OG0000241	MHJ_RS02940	MFC_RS02300
OG0000242	MHJ_RS02945	MFC_RS02305
OG0000243	MHJ_RS02950	MFC_RS02310
OG0000244	MHJ_RS02960	MFC_RS02320
OG0000245	MHJ_RS02970	MFC_RS02330
OG0000246	MHJ_RS00115	MFC_RS02345
OG0000247	MHJ_RS00125	MFC_RS02355
OG0000248	MHJ_RS00135	MFC_RS02380
OG0000249	MHJ_RS00140	MFC_RS02385
OG0000250	MHJ_RS00155	MFC_RS02400
OG0000251	MHJ_RS00185	MFC_RS02430
OG0000252	MHJ_RS00195	MFC_RS02440
OG0000253	MHJ_RS00200	MFC_RS02445
OG0000254	MHJ_RS00210	MFC_RS02455
OG0000255	MHJ_RS00220	MFC_RS02465
OG0000256	MHJ_RS00225	MFC_RS02470
OG0000257	MHJ_RS00250	MFC_RS02495
OG0000258	MHJ_RS00260	MFC_RS02505
OG0000259	MHJ_RS00290	MFC_RS02535
OG0000260	MHJ_RS00300	MFC_RS02545
OG0000261	MHJ_RS00310	MFC_RS02555
OG0000262	MHJ_RS00325	MFC_RS02570
OG0000263	MHJ_RS00340	MFC_RS02585
OG0000264	MHJ_RS00355	MFC_RS02600
OG0000265	MHJ_RS00365	MFC_RS02610
OG0000266	MHJ_RS00380	MFC_RS02625
OG0000267	MHJ_RS00395	MFC_RS02640
OG0000268	MHJ_RS00400	MFC_RS02645
OG0000269	MHJ_RS00415	MFC_RS02660
OG0000270	MHJ_RS03460	MFC_RS02720
OG0000271	MHJ_RS03455	MFC_RS02725
OG0000272	MHJ_RS03450	MFC_RS02730
OG0000273	MHJ_RS03445	MFC_RS02735
OG0000274	MHJ_RS03425	MFC_RS02755
OG0000275	MHJ_RS03420	MFC_RS03455
OG0000276	MHJ_RS03415	MFC_RS02765
OG0000277	MHJ_RS03405	MFC_RS02775
OG0000278	MHJ_RS03400	MFC_RS02780
OG0000279	MHJ_RS03390	MFC_RS02790
OG0000280	MHJ_RS03385	MFC_RS02795
OG0000281	MHJ_RS03705	MFC_RS03255
OG0000282	MHJ_RS03360	MFC_RS02820
OG0000283	MHJ_RS03355	MFC_RS02825
OG0000284	MHJ_RS03350	MFC_RS02830
OG0000285	MHJ_RS03345	MFC_RS02835
OG0000286	MHJ_RS02375	MFC_RS02865
OG0000287	MHJ_RS02475	MFC_RS02890
OG0000288	MHJ_RS02485	MFC_RS02900
OG0000289	MHJ_RS02495	MFC_RS02905
OG0000290	MHJ_RS02605	MFC_RS03030
OG0000291	MHJ_RS02595	MFC_RS03040
OG0000292	MHJ_RS02590	MFC_RS03045
OG0000293	MHJ_RS02585	MFC_RS03050
OG0000294	MHJ_RS02570	MFC_RS03060
OG0000295	MHJ_RS02565	MFC_RS03065
OG0000296	MHJ_RS02525	MFC_RS03110
OG0000297	MHJ_RS02520	MFC_RS03115
OG0000298	MHJ_RS00150	MFC_RS02395
OG0000299	MHJ_RS00170	MFC_RS02415
OG0000300	MHJ_RS00350	MFC_RS02595
OG0000301	MHJ_RS00385	MFC_RS02630
OG0000302	MHJ_RS00390	MFC_RS02635
OG0000303	MHJ_RS00545	MFC_RS00835
OG0000304	MHJ_RS01050	MFC_RS00865
OG0000305	MHJ_RS02850	MFC_RS01010
OG0000306	MHJ_RS02775	MFC_RS01090
OG0000307	MHJ_RS02730	MFC_RS01130
OG0000308	MHJ_RS02625	MFC_RS03020
OG0000309	MHJ_RS02555	MFC_RS03075
OG0000310	MHJ_RS02480	MFC_RS02895
OG0000311	MHJ_RS02435	MFC_RS01220
OG0000312	MHJ_RS02420	MFC_RS01240
OG0000313	MHJ_RS01555	MFC_RS01290
OG0000314	MHJ_RS01910	MFC_RS01360
OG0000315	MHJ_RS01940	MFC_RS01390
OG0000316	MHJ_RS01950	MFC_RS01400
OG0000317	MHJ_RS02040	MFC_RS00110
OG0000318	MHJ_RS01955	MFC_RS00020
OG0000319	MHJ_RS02180	MFC_RS00420
OG0000320	MHJ_RS02305	MFC_RS00485
OG0000321	MHJ_RS01305	MFC_RS00550
OG0000322	MHJ_RS01350	MFC_RS00595
OG0000323	MHJ_RS01480	MFC_RS00725
OG0000324	MHJ_RS02220	MFC_RS01775
OG0000325	MHJ_RS00680	MFC_RS01815
OG0000326	MHJ_RS00770	MFC_RS01905
OG0000327	MHJ_RS00775	MFC_RS01910
OG0000328	MHJ_RS00860	MFC_RS01995
OG0000329	MHJ_RS00880	MFC_RS02020
OG0000330	MHJ_RS01075	MFC_RS02200
OG0000331	MHJ_RS02955	MFC_RS02315
OG0000332	MHJ_RS03085	MFC_RS01505
OG0000333	MHJ_RS03095	MFC_RS01515
OG0000334	MHJ_RS03205	MFC_RS01585
OG0000335	MHJ_RS03215	MFC_RS01595
OG0000336	MHJ_RS03375	MFC_RS02805
OG0000337	MHJ_RS03535	MFC_RS00280
OG0000338	MHJ_RS03575	MFC_RS00240
OG0000339	MHJ_RS02280	MFC_RS00505
OG0000340	MHJ_RS01285	MFC_RS00530
OG0000341	MHJ_RS02240	MFC_RS01755
OG0000342	MHJ_RS00710	MFC_RS01845
OG0000343	MHJ_RS03105	MFC_RS01525
OG0000344	MHJ_RS00560	MFC_RS00850
OG0000345	MHJ_RS00995	MFC_RS02130
OG0000346	MHJ_RS03380	MFC_RS02800
OG0000347	MHJ_RS01375	MFC_RS00620
OG0000348	MHJ_RS00780	MFC_RS01915
OG0000349	MHJ_RS03435	MFC_RS02745
OG0000350	MHJ_RS02720	MFC_RS03345
OG0000351	MHJ_RS00475	MFC_RS00785
OG0000352	MHJ_RS01885	MFC_RS01340
OG0000353	MHJ_RS01345	MFC_RS00590
OG0000354	MHJ_RS00620	MFC_RS00900
OG0000355	MHJ_RS01855	MFC_RS01315
OG0000356	MHJ_RS01945	MFC_RS01395
OG0000357	MHJ_RS03065	MFC_RS01485
OG0000358	MHJ_RS03070	MFC_RS01490
OG0000359	MHJ_RS00750	MFC_RS01885
OG0000360	MHJ_RS00255	MFC_RS02500
OG0000361	MHJ_RS00285	MFC_RS02530
OG0000362	MHJ_RS02500	MFC_RS02915
OG0000363	MHJ_RS03840	MFC_RS00660
OG0000365	MHJ_RS01985	MFC_RS00050
OG0000366	MHJ_RS02010	MFC_RS00080
OG0000367	MHJ_RS02020	MFC_RS00090
OG0000368	MHJ_RS00060	MFC_RS00175
OG0000369	MHJ_RS00025	MFC_RS00210
OG0000370	MHJ_RS00020	MFC_RS00215
OG0000371	MHJ_RS00015	MFC_RS00220
OG0000372	MHJ_RS00010	MFC_RS00225
OG0000373	MHJ_RS03565	MFC_RS00250
OG0000374	MHJ_RS03555	MFC_RS00260
OG0000375	MHJ_RS02175	MFC_RS00415
OG0000376	MHJ_RS02320	MFC_RS00470
OG0000377	MHJ_RS02310	MFC_RS00480
OG0000378	MHJ_RS01265	MFC_RS00515
OG0000379	MHJ_RS01340	MFC_RS00585
OG0000380	MHJ_RS01365	MFC_RS00610
OG0000381	MHJ_RS01405	MFC_RS00650
OG0000382	MHJ_RS01435	MFC_RS00680
OG0000383	MHJ_RS01475	MFC_RS00720
OG0000384	MHJ_RS00500	MFC_RS00790
OG0000385	MHJ_RS00505	MFC_RS00795
OG0000386	MHJ_RS00525	MFC_RS00815
OG0000387	MHJ_RS00550	MFC_RS00840
OG0000388	MHJ_RS00555	MFC_RS00845
OG0000389	MHJ_RS00600	MFC_RS00880
OG0000390	MHJ_RS02875	MFC_RS00990
OG0000391	MHJ_RS02865	MFC_RS01000
OG0000392	MHJ_RS02835	MFC_RS01030
OG0000393	MHJ_RS02780	MFC_RS01080
OG0000394	MHJ_RS02695	MFC_RS01145
OG0000395	MHJ_RS02690	MFC_RS01150
OG0000396	MHJ_RS02380	MFC_RS01280
OG0000397	MHJ_RS01870	MFC_RS01325
OG0000398	MHJ_RS01875	MFC_RS01330
OG0000399	MHJ_RS01925	MFC_RS01375
OG0000400	MHJ_RS03030	MFC_RS01450
OG0000401	MHJ_RS03090	MFC_RS01510
OG0000402	MHJ_RS03100	MFC_RS01520
OG0000403	MHJ_RS03110	MFC_RS01530
OG0000404	MHJ_RS03140	MFC_RS03375, MFC_RS01555
OG0000405	MHJ_RS03155	MFC_RS01570
OG0000406	MHJ_RS03220	MFC_RS01600
OG0000407	MHJ_RS03225	MFC_RS01605
OG0000408	MHJ_RS03230	MFC_RS01610
OG0000409	MHJ_RS03235	MFC_RS01615
OG0000410	MHJ_RS03290	MFC_RS01650
OG0000411	MHJ_RS03280	MFC_RS01660
OG0000412	MHJ_RS03275	MFC_RS01665
OG0000413	MHJ_RS01490	MFC_RS01705
OG0000414	MHJ_RS01500	MFC_RS01715
OG0000415	MHJ_RS01505	MFC_RS01720
OG0000416	MHJ_RS01515	MFC_RS01730
OG0000417	MHJ_RS02235	MFC_RS01760
OG0000418	MHJ_RS02230	MFC_RS01765
OG0000419	MHJ_RS00690	MFC_RS01825
OG0000420	MHJ_RS00725	MFC_RS01860
OG0000421	MHJ_RS00755	MFC_RS01890
OG0000422	MHJ_RS00765	MFC_RS01900
OG0000423	MHJ_RS00820	MFC_RS01955
OG0000424	MHJ_RS00825	MFC_RS01960
OG0000425	MHJ_RS00835	MFC_RS01970
OG0000426	MHJ_RS00840	MFC_RS01975
OG0000427	MHJ_RS00865	MFC_RS02000
OG0000428	MHJ_RS00890	MFC_RS02030
OG0000429	MHJ_RS00985	MFC_RS02120
OG0000430	MHJ_RS01030	MFC_RS02165
OG0000431	MHJ_RS01040	MFC_RS02175
OG0000432	MHJ_RS01070	MFC_RS02195
OG0000433	MHJ_RS01085	MFC_RS02205
OG0000434	MHJ_RS01090	MFC_RS02210
OG0000435	MHJ_RS01105	MFC_RS02225
OG0000436	MHJ_RS01135	MFC_RS03535
OG0000437	MHJ_RS01145	MFC_RS02270
OG0000438	MHJ_RS01150	MFC_RS02275
OG0000439	MHJ_RS01155	MFC_RS02280
OG0000440	MHJ_RS02935	MFC_RS02295
OG0000441	MHJ_RS02975	MFC_RS02335
OG0000442	MHJ_RS00120	MFC_RS02350
OG0000443	MHJ_RS00165	MFC_RS02410
OG0000444	MHJ_RS00180	MFC_RS02425
OG0000445	MHJ_RS00205	MFC_RS02450
OG0000446	MHJ_RS00235	MFC_RS02480
OG0000447	MHJ_RS00240	MFC_RS02485
OG0000448	MHJ_RS00270	MFC_RS02515
OG0000449	MHJ_RS00295	MFC_RS02540
OG0000450	MHJ_RS00305	MFC_RS02550
OG0000451	MHJ_RS00345	MFC_RS02590
OG0000452	MHJ_RS00370	MFC_RS02615
OG0000453	MHJ_RS00405	MFC_RS02650
OG0000454	MHJ_RS01590	MFC_RS03440, MFC_RS03435
OG0000455	MHJ_RS03480	MFC_RS02700
OG0000456	MHJ_RS03365	MFC_RS02815
OG0000457	MHJ_RS03340	MFC_RS02840
OG0000458	MHJ_RS02470	MFC_RS02885
OG0000460	MHJ_RS02505	MFC_RS02920
OG0000461	MHJ_RS02550	MFC_RS03080
OG0000462	MHJ_RS02545	MFC_RS03085
OG0000463	MHJ_RS02540	MFC_RS03090
OG0000464	MHJ_RS02535	MFC_RS03100
OG0000465	MHJ_RS02530	MFC_RS03105
OG0000466	MHJ_RS00375	MFC_RS02620
OG0000467	MHJ_RS02640	MFC_RS03500
OG0000468	MHJ_RS01920	MFC_RS01370
OG0000469	MHJ_RS01980	MFC_RS00045
OG0000470	MHJ_RS03785	MFC_RS01950
OG0000471	MHJ_RS00895	MFC_RS02035
OG0000472	MHJ_RS03300	MFC_RS01680
OG0000473	MHJ_RS03465	MFC_RS02715
OG0000474	MHJ_RS03470	MFC_RS02710
OG0000475	MHJ_RS03475	MFC_RS02705
OG0000476	MHJ_RS01525	MFC_RS00345
OG0000477	MHJ_RS02580	MFC_RS03055
OG0000478	MHJ_RS03410	MFC_RS02770
OG0000479	MHJ_RS01300	MFC_RS00545
OG0000480	MHJ_RS03770	MFC_RS03300
OG0000481	MHJ_RS00790	MFC_RS01925
OG0000482	MHJ_RS01185	MFC_RS01790
OG0000483	MHJ_RS02025	MFC_RS00095
OG0000484	MHJ_RS00175	MFC_RS02420
OG0000487	MHJ_RS01960	MFC_RS00025
OG0000488	MHJ_RS01995	MFC_RS00065
OG0000489	MHJ_RS00050	MFC_RS00185
OG0000490	MHJ_RS03570	MFC_RS00245
OG0000491	MHJ_RS01320	MFC_RS00565
OG0000492	MHJ_RS01395	MFC_RS00640
OG0000493	MHJ_RS00565	MFC_RS00855
OG0000494	MHJ_RS00625	MFC_RS00905
OG0000495	MHJ_RS02805	MFC_RS01055
OG0000496	MHJ_RS02795	MFC_RS01065
OG0000497	MHJ_RS02790	MFC_RS01070
OG0000498	MHJ_RS02700	MFC_RS01140
OG0000499	MHJ_RS02665	MFC_RS01185
OG0000500	MHJ_RS01880	MFC_RS01335
OG0000501	MHJ_RS03040	MFC_RS01460
OG0000502	MHJ_RS01175	MFC_RS01800
OG0000503	MHJ_RS00735	MFC_RS01870
OG0000504	MHJ_RS00870	MFC_RS02005
OG0000505	MHJ_RS00905	MFC_RS02045
OG0000506	MHJ_RS00915	MFC_RS02055
OG0000507	MHJ_RS00950	MFC_RS02090
OG0000508	MHJ_RS00230	MFC_RS02475
OG0000509	MHJ_RS00265	MFC_RS02510
OG0000510	MHJ_RS00275	MFC_RS02520
OG0000511	MHJ_RS00410	MFC_RS02655
OG0000512	MHJ_RS02510	MFC_RS02925
OG0000513	MHJ_RS03395	MFC_RS02785
OG0000516	MHJ_RS01965	MFC_RS00030
OG0000517	MHJ_RS00065	MFC_RS00170
OG0000518	MHJ_RS03080	MFC_RS01500
OG0000519	MHJ_RS00760	MFC_RS01895
OG0000520	MHJ_RS00885	MFC_RS02025
OG0000521	MHJ_RS00245	MFC_RS02490
OG0000522	MHJ_RS00280	MFC_RS02525
OG0000523	MHJ_RS03335	MFC_RS02845
OG0000524	MHJ_RS02635	MFC_RS03015
OG0000525	MHJ_RS03305	MFC_RS01685
OG0000528	MHJ_RS01970	MFC_RS00035
OG0000529	MHJ_RS02190	MFC_RS00430
OG0000530	MHJ_RS02290	MFC_RS00495
OG0000531	MHJ_RS01370	MFC_RS00615
OG0000532	MHJ_RS01585	MFC_RS00940
OG0000533	MHJ_RS00585	MFC_RS02185
OG0000534	MHJ_RS00360	MFC_RS02605
OG0000535	MHJ_RS00045	MFC_RS00190
OG0000536	MHJ_RS03510	MFC_RS00315
OG0000537	MHJ_RS00705	MFC_RS01840
OG0000538	MHJ_RS01095	MFC_RS02215
OG0000539	MHJ_RS00190	MFC_RS02435
OG0000540	MHJ_RS02600	MFC_RS03035
OG0000541	MHJ_RS02680	MFC_RS01170
OG0000542	MHJ_RS00330	MFC_RS02575
OG0000547	MHJ_RS02885	MFC_RS00980
OG0000548	MHJ_RS01550	MFC_RS01285
OG0000549	MHJ_RS03295	MFC_RS01675
OG0000550	MHJ_RS03430	MFC_RS02750
OG0000551	MHJ_RS02965	MFC_RS02325
OG0000555	MHJ_RS03945	MFC_RS03340
OG0000589	MHJ_RS03650	MFC_RS03260
OG0000595	MHJ_RS03020	MFC_RS01440
OG0000596	MHJ_RS01685	MFC_RS02370
OG0000597	MHJ_RS03015	MFC_RS01435
OG0000598	MHJ_RS01690	MFC_RS02365
OG0000599	MHJ_RS01695	MFC_RS02360
OG0000602	MHJ_RS01990	MFC_RS00055
