Orthogroup	MHP_J_genes	MHP_UFV01_genes
OG0000189	MHJ_RS02250	FEF30_RS04355
OG0000190	MHJ_RS02245	FEF30_RS02670
OG0000191	MHJ_RS02225	FEF30_RS02650
OG0000192	MHJ_RS01190	FEF30_RS01530
OG0000193	MHJ_RS01180	FEF30_RS01515
OG0000194	MHJ_RS00670	FEF30_RS01000
OG0000195	MHJ_RS00675	FEF30_RS01005
OG0000196	MHJ_RS00695	FEF30_RS01025
OG0000197	MHJ_RS00700	FEF30_RS01030
OG0000198	MHJ_RS00715	FEF30_RS01045
OG0000199	MHJ_RS00720	FEF30_RS01050
OG0000200	MHJ_RS00730	FEF30_RS01065
OG0000201	MHJ_RS00740	FEF30_RS01075
OG0000202	MHJ_RS00795	FEF30_RS01130
OG0000203	MHJ_RS00800	FEF30_RS01135
OG0000204	MHJ_RS00805	FEF30_RS01140
OG0000205	MHJ_RS00810	FEF30_RS01145
OG0000206	MHJ_RS00830	FEF30_RS01165
OG0000207	MHJ_RS00845	FEF30_RS01180
OG0000208	MHJ_RS00850	FEF30_RS01185
OG0000209	MHJ_RS00855	FEF30_RS01190
OG0000210	MHJ_RS00900	FEF30_RS01235
OG0000211	MHJ_RS00910	FEF30_RS01245
OG0000212	MHJ_RS00920	FEF30_RS01255
OG0000213	MHJ_RS00925	FEF30_RS01260
OG0000214	MHJ_RS00930	FEF30_RS01265
OG0000215	MHJ_RS00935	FEF30_RS01270
OG0000216	MHJ_RS00940	FEF30_RS01275
OG0000217	MHJ_RS00945	FEF30_RS01280
OG0000218	MHJ_RS00955	FEF30_RS01290
OG0000219	MHJ_RS00960	FEF30_RS01295
OG0000220	MHJ_RS00965	FEF30_RS01300
OG0000221	MHJ_RS00970	FEF30_RS01305
OG0000222	MHJ_RS00975	FEF30_RS01310
OG0000223	MHJ_RS00980	FEF30_RS01315
OG0000224	MHJ_RS00990	FEF30_RS01325
OG0000225	MHJ_RS01000	FEF30_RS01335
OG0000226	MHJ_RS01005	FEF30_RS01340
OG0000227	MHJ_RS01010	FEF30_RS01345
OG0000228	MHJ_RS04015	FEF30_RS04410
OG0000229	MHJ_RS01020	FEF30_RS01355
OG0000230	MHJ_RS01025	FEF30_RS01360
OG0000231	MHJ_RS01035	FEF30_RS01370
OG0000232	MHJ_RS01045	FEF30_RS01380
OG0000233	MHJ_RS01065	FEF30_RS01405
OG0000234	MHJ_RS01100	FEF30_RS01440
OG0000235	MHJ_RS01110	FEF30_RS01450
OG0000236	MHJ_RS01115	FEF30_RS01455
OG0000237	MHJ_RS01120	FEF30_RS01460
OG0000238	MHJ_RS01130	FEF30_RS01465
OG0000239	MHJ_RS02925	FEF30_RS03320
OG0000240	MHJ_RS02930	FEF30_RS03325
OG0000241	MHJ_RS02940	FEF30_RS03335
OG0000242	MHJ_RS02945	FEF30_RS03340
OG0000243	MHJ_RS02950	FEF30_RS03345
OG0000244	MHJ_RS02960	FEF30_RS03355
OG0000245	MHJ_RS02970	FEF30_RS03365
OG0000246	MHJ_RS00115	FEF30_RS00455
OG0000247	MHJ_RS00125	FEF30_RS00465
OG0000248	MHJ_RS00135	FEF30_RS00475
OG0000249	MHJ_RS00140	FEF30_RS03675, FEF30_RS00480
OG0000250	MHJ_RS00155	FEF30_RS00495
OG0000251	MHJ_RS00185	FEF30_RS00525
OG0000252	MHJ_RS00195	FEF30_RS00535
OG0000253	MHJ_RS00200	FEF30_RS00540
OG0000254	MHJ_RS00210	FEF30_RS00550
OG0000255	MHJ_RS00220	FEF30_RS00555
OG0000256	MHJ_RS00225	FEF30_RS00560
OG0000257	MHJ_RS00250	FEF30_RS00585
OG0000258	MHJ_RS00260	FEF30_RS00595
OG0000259	MHJ_RS00290	FEF30_RS00625
OG0000260	MHJ_RS00300	FEF30_RS00635
OG0000261	MHJ_RS00310	FEF30_RS04195
OG0000262	MHJ_RS00325	FEF30_RS00660
OG0000263	MHJ_RS00340	FEF30_RS00675
OG0000264	MHJ_RS00355	FEF30_RS00690
OG0000265	MHJ_RS00365	FEF30_RS00700
OG0000266	MHJ_RS00380	FEF30_RS00715
OG0000267	MHJ_RS00395	FEF30_RS00730
OG0000268	MHJ_RS00400	FEF30_RS00735
OG0000269	MHJ_RS00415	FEF30_RS00750
OG0000270	MHJ_RS03460	FEF30_RS04155
OG0000271	MHJ_RS03455	FEF30_RS00205
OG0000272	MHJ_RS03450	FEF30_RS00200
OG0000273	MHJ_RS03445	FEF30_RS00195
OG0000274	MHJ_RS03425	FEF30_RS00175
OG0000275	MHJ_RS03420	FEF30_RS04145
OG0000276	MHJ_RS03415	FEF30_RS00165
OG0000277	MHJ_RS03405	FEF30_RS00155
OG0000278	MHJ_RS03400	FEF30_RS00150
OG0000279	MHJ_RS03390	FEF30_RS00140
OG0000280	MHJ_RS03385	FEF30_RS00135
OG0000281	MHJ_RS03705	FEF30_RS00130
OG0000282	MHJ_RS03360	FEF30_RS04135
OG0000283	MHJ_RS03355	FEF30_RS00100
OG0000284	MHJ_RS03350	FEF30_RS00095
OG0000285	MHJ_RS03345	FEF30_RS04130
OG0000286	MHJ_RS02375	FEF30_RS02795
OG0000287	MHJ_RS02475	FEF30_RS02895
OG0000288	MHJ_RS02485	FEF30_RS02905
OG0000289	MHJ_RS02495	FEF30_RS02910
OG0000290	MHJ_RS02605	FEF30_RS03020
OG0000291	MHJ_RS02595	FEF30_RS03010
OG0000292	MHJ_RS02590	FEF30_RS03005
OG0000293	MHJ_RS02585	FEF30_RS03000
OG0000294	MHJ_RS02570	FEF30_RS02990
OG0000295	MHJ_RS02565	FEF30_RS02985
OG0000296	MHJ_RS02525	FEF30_RS02945
OG0000297	MHJ_RS02520	FEF30_RS02940
OG0000298	MHJ_RS00150	FEF30_RS00490
OG0000299	MHJ_RS00170	FEF30_RS00510
OG0000300	MHJ_RS00350	FEF30_RS00685
OG0000301	MHJ_RS00385	FEF30_RS00720
OG0000302	MHJ_RS00390	FEF30_RS00725
OG0000303	MHJ_RS00545	FEF30_RS00870
OG0000304	MHJ_RS01050	FEF30_RS01385
OG0000305	MHJ_RS02850	FEF30_RS03260
OG0000306	MHJ_RS02775	FEF30_RS03185
OG0000307	MHJ_RS02730	FEF30_RS03145
OG0000308	MHJ_RS02625	FEF30_RS03040
OG0000309	MHJ_RS02555	FEF30_RS02975
OG0000310	MHJ_RS02480	FEF30_RS02900
OG0000311	MHJ_RS02435	FEF30_RS02855
OG0000312	MHJ_RS02420	FEF30_RS02840
OG0000313	MHJ_RS01555	FEF30_RS01915
OG0000314	MHJ_RS01910	FEF30_RS02335
OG0000315	MHJ_RS01940	FEF30_RS02365
OG0000316	MHJ_RS01950	FEF30_RS02375
OG0000317	MHJ_RS02040	FEF30_RS02470
OG0000318	MHJ_RS01955	FEF30_RS04320
OG0000319	MHJ_RS02180	FEF30_RS02605
OG0000320	MHJ_RS02305	FEF30_RS02735
OG0000321	MHJ_RS01305	FEF30_RS01645
OG0000322	MHJ_RS01350	FEF30_RS01695
OG0000323	MHJ_RS01480	FEF30_RS01825
OG0000324	MHJ_RS02220	FEF30_RS02645
OG0000325	MHJ_RS00680	FEF30_RS01010
OG0000326	MHJ_RS00770	FEF30_RS01105
OG0000327	MHJ_RS00775	FEF30_RS01110
OG0000328	MHJ_RS00860	FEF30_RS01195
OG0000329	MHJ_RS00880	FEF30_RS01215
OG0000330	MHJ_RS01075	FEF30_RS01415
OG0000331	MHJ_RS02955	FEF30_RS03350
OG0000332	MHJ_RS03085	FEF30_RS03460
OG0000333	MHJ_RS03095	FEF30_RS03470
OG0000334	MHJ_RS03205	FEF30_RS03565
OG0000335	MHJ_RS03215	FEF30_RS03575
OG0000336	MHJ_RS03375	FEF30_RS04140
OG0000337	MHJ_RS03535	FEF30_RS00285
OG0000338	MHJ_RS03575	FEF30_RS00325
OG0000339	MHJ_RS02280	FEF30_RS02710
OG0000340	MHJ_RS01285	FEF30_RS01625
OG0000341	MHJ_RS02240	FEF30_RS02665
OG0000342	MHJ_RS00710	FEF30_RS01040
OG0000343	MHJ_RS03105	FEF30_RS03480
OG0000344	MHJ_RS00560	FEF30_RS00885
OG0000345	MHJ_RS00995	FEF30_RS01330
OG0000346	MHJ_RS03380	FEF30_RS00125
OG0000347	MHJ_RS01375	FEF30_RS01720
OG0000348	MHJ_RS00780	FEF30_RS01115
OG0000349	MHJ_RS03435	FEF30_RS04150
OG0000350	MHJ_RS02720	FEF30_RS03135
OG0000351	MHJ_RS00475	FEF30_RS00805
OG0000352	MHJ_RS01885	FEF30_RS02315
OG0000353	MHJ_RS01345	FEF30_RS01690
OG0000354	MHJ_RS00620	FEF30_RS00950
OG0000355	MHJ_RS01855	FEF30_RS04310
OG0000356	MHJ_RS01945	FEF30_RS04315
OG0000357	MHJ_RS03065	FEF30_RS04390
OG0000358	MHJ_RS03070	FEF30_RS03445
OG0000359	MHJ_RS00750	FEF30_RS04215
OG0000360	MHJ_RS00255	FEF30_RS00590
OG0000361	MHJ_RS00285	FEF30_RS00620
OG0000362	MHJ_RS02500	FEF30_RS02920
OG0000363	MHJ_RS03840	FEF30_RS01760
OG0000364	MHJ_RS01830	FEF30_RS02275
OG0000365	MHJ_RS01985	FEF30_RS04335
OG0000366	MHJ_RS02010	FEF30_RS02440
OG0000367	MHJ_RS02020	FEF30_RS02450
OG0000368	MHJ_RS00060	FEF30_RS00390
OG0000369	MHJ_RS00025	FEF30_RS04170
OG0000370	MHJ_RS00020	FEF30_RS00350
OG0000371	MHJ_RS00015	FEF30_RS00345
OG0000372	MHJ_RS00010	FEF30_RS00340
OG0000373	MHJ_RS03565	FEF30_RS00315
OG0000374	MHJ_RS03555	FEF30_RS00305
OG0000375	MHJ_RS02175	FEF30_RS02600
OG0000376	MHJ_RS02320	FEF30_RS02750
OG0000377	MHJ_RS02310	FEF30_RS02740
OG0000378	MHJ_RS01265	FEF30_RS01605
OG0000379	MHJ_RS01340	FEF30_RS01685
OG0000380	MHJ_RS01365	FEF30_RS01710
OG0000381	MHJ_RS01405	FEF30_RS01750
OG0000382	MHJ_RS01435	FEF30_RS01780
OG0000383	MHJ_RS01475	FEF30_RS01820
OG0000384	MHJ_RS00500	FEF30_RS00825
OG0000385	MHJ_RS00505	FEF30_RS00830
OG0000386	MHJ_RS00525	FEF30_RS00850
OG0000387	MHJ_RS00550	FEF30_RS00875
OG0000388	MHJ_RS00555	FEF30_RS04205
OG0000389	MHJ_RS00600	FEF30_RS00930
OG0000390	MHJ_RS02875	FEF30_RS03280
OG0000391	MHJ_RS02865	FEF30_RS03270
OG0000392	MHJ_RS02835	FEF30_RS03245
OG0000393	MHJ_RS02780	FEF30_RS04380
OG0000394	MHJ_RS02695	FEF30_RS03110
OG0000395	MHJ_RS02690	FEF30_RS03105
OG0000396	MHJ_RS02380	FEF30_RS02800
OG0000397	MHJ_RS01870	FEF30_RS02300
OG0000398	MHJ_RS01875	FEF30_RS02305
OG0000399	MHJ_RS01925	FEF30_RS02350
OG0000400	MHJ_RS03030	FEF30_RS03405
OG0000401	MHJ_RS03090	FEF30_RS03465
OG0000402	MHJ_RS03100	FEF30_RS03475
OG0000403	MHJ_RS03110	FEF30_RS03485
OG0000404	MHJ_RS03140	FEF30_RS03510
OG0000405	MHJ_RS03155	FEF30_RS04480
OG0000406	MHJ_RS03220	FEF30_RS03580
OG0000407	MHJ_RS03225	FEF30_RS04400
OG0000408	MHJ_RS03230	FEF30_RS03590
OG0000409	MHJ_RS03235	FEF30_RS03595
OG0000410	MHJ_RS03290	FEF30_RS00030
OG0000411	MHJ_RS03280	FEF30_RS00020
OG0000412	MHJ_RS03275	FEF30_RS00015
OG0000413	MHJ_RS01490	FEF30_RS01835
OG0000414	MHJ_RS01500	FEF30_RS01845
OG0000415	MHJ_RS01505	FEF30_RS01850
OG0000416	MHJ_RS01515	FEF30_RS01860
OG0000417	MHJ_RS02235	FEF30_RS02660
OG0000418	MHJ_RS02230	FEF30_RS02655
OG0000419	MHJ_RS00690	FEF30_RS01020
OG0000420	MHJ_RS00725	FEF30_RS01055
OG0000421	MHJ_RS00755	FEF30_RS01090
OG0000422	MHJ_RS00765	FEF30_RS01100
OG0000423	MHJ_RS00820	FEF30_RS01155
OG0000424	MHJ_RS00825	FEF30_RS01160
OG0000425	MHJ_RS00835	FEF30_RS01170
OG0000426	MHJ_RS00840	FEF30_RS04220
OG0000427	MHJ_RS00865	FEF30_RS04225
OG0000428	MHJ_RS00890	FEF30_RS01225
OG0000429	MHJ_RS00985	FEF30_RS01320
OG0000430	MHJ_RS01030	FEF30_RS01365
OG0000431	MHJ_RS01040	FEF30_RS01375
OG0000432	MHJ_RS01070	FEF30_RS01410
OG0000433	MHJ_RS01085	FEF30_RS01425
OG0000434	MHJ_RS01090	FEF30_RS01430
OG0000435	MHJ_RS01105	FEF30_RS01445
OG0000436	MHJ_RS01135	FEF30_RS01470
OG0000437	MHJ_RS01145	FEF30_RS01480
OG0000438	MHJ_RS01150	FEF30_RS01485
OG0000439	MHJ_RS01155	FEF30_RS04235
OG0000440	MHJ_RS02935	FEF30_RS03330
OG0000441	MHJ_RS02975	FEF30_RS03370
OG0000442	MHJ_RS00120	FEF30_RS00460
OG0000443	MHJ_RS00165	FEF30_RS00505
OG0000444	MHJ_RS00180	FEF30_RS00520
OG0000445	MHJ_RS00205	FEF30_RS00545
OG0000446	MHJ_RS00235	FEF30_RS00570
OG0000447	MHJ_RS00240	FEF30_RS00575
OG0000448	MHJ_RS00270	FEF30_RS00605
OG0000449	MHJ_RS00295	FEF30_RS00630
OG0000450	MHJ_RS00305	FEF30_RS00640
OG0000451	MHJ_RS00345	FEF30_RS00680
OG0000452	MHJ_RS00370	FEF30_RS00705
OG0000453	MHJ_RS00405	FEF30_RS00740
OG0000455	MHJ_RS03480	FEF30_RS00230
OG0000456	MHJ_RS03365	FEF30_RS00110
OG0000457	MHJ_RS03340	FEF30_RS00085
OG0000458	MHJ_RS02470	FEF30_RS02890
OG0000460	MHJ_RS02505	FEF30_RS02925
OG0000461	MHJ_RS02550	FEF30_RS02970
OG0000462	MHJ_RS02545	FEF30_RS02965
OG0000463	MHJ_RS02540	FEF30_RS02960
OG0000464	MHJ_RS02535	FEF30_RS02955
OG0000465	MHJ_RS02530	FEF30_RS02950
OG0000466	MHJ_RS00375	FEF30_RS00710
OG0000467	MHJ_RS02640	FEF30_RS04360
OG0000468	MHJ_RS01920	FEF30_RS02345
OG0000469	MHJ_RS01980	FEF30_RS02405
OG0000470	MHJ_RS03785	FEF30_RS01150
OG0000471	MHJ_RS00895	FEF30_RS01230
OG0000472	MHJ_RS03300	FEF30_RS00040
OG0000473	MHJ_RS03465	FEF30_RS00215
OG0000474	MHJ_RS03470	FEF30_RS00220
OG0000475	MHJ_RS03475	FEF30_RS00225
OG0000476	MHJ_RS01525	FEF30_RS01870
OG0000477	MHJ_RS02580	FEF30_RS02995
OG0000478	MHJ_RS03410	FEF30_RS00160
OG0000479	MHJ_RS01300	FEF30_RS01640
OG0000480	MHJ_RS03770	FEF30_RS02410
OG0000481	MHJ_RS00790	FEF30_RS01125
OG0000482	MHJ_RS01185	FEF30_RS01520
OG0000483	MHJ_RS02025	FEF30_RS02455
OG0000484	MHJ_RS00175	FEF30_RS04190
OG0000485	MHJ_RS01140	FEF30_RS01475
OG0000486	MHJ_RS02255	FEF30_RS02680
OG0000487	MHJ_RS01960	FEF30_RS04325
OG0000488	MHJ_RS01995	FEF30_RS02425
OG0000489	MHJ_RS00050	FEF30_RS00380
OG0000490	MHJ_RS03570	FEF30_RS00320
OG0000491	MHJ_RS01320	FEF30_RS01660
OG0000492	MHJ_RS01395	FEF30_RS01740
OG0000493	MHJ_RS00565	FEF30_RS00890
OG0000494	MHJ_RS00625	FEF30_RS00955
OG0000495	MHJ_RS02805	FEF30_RS03215
OG0000496	MHJ_RS02795	FEF30_RS03205
OG0000497	MHJ_RS02790	FEF30_RS03200
OG0000498	MHJ_RS02700	FEF30_RS03115
OG0000499	MHJ_RS02665	FEF30_RS03080
OG0000500	MHJ_RS01880	FEF30_RS02310
OG0000502	MHJ_RS01175	FEF30_RS01510
OG0000503	MHJ_RS00735	FEF30_RS01070
