Orthogroup	MHP_J_genes	MHP_MHP694_genes
OG0000141	MHJ_RS02910	DR099_RS01035
OG0000142	MHJ_RS02905	DR099_RS04350
OG0000143	MHJ_RS02880	DR099_RS01060
OG0000144	MHJ_RS02870	DR099_RS01070
OG0000145	MHJ_RS02855	DR099_RS01080
OG0000146	MHJ_RS02845	DR099_RS01090
OG0000147	MHJ_RS02840	DR099_RS01095
OG0000148	MHJ_RS02825	DR099_RS01110
OG0000149	MHJ_RS02815	DR099_RS01120
OG0000150	MHJ_RS02800	DR099_RS01135
OG0000151	MHJ_RS02745	DR099_RS00010
OG0000152	MHJ_RS02740	DR099_RS00015
OG0000153	MHJ_RS02735	DR099_RS00020
OG0000154	MHJ_RS02725	DR099_RS00030
OG0000155	MHJ_RS02685	DR099_RS00070
OG0000156	MHJ_RS02675	DR099_RS00080
OG0000157	MHJ_RS02670	DR099_RS04275
OG0000158	MHJ_RS04010	DR099_RS04280
OG0000159	MHJ_RS04030	DR099_RS02635
OG0000160	MHJ_RS02410	DR099_RS02640
OG0000161	MHJ_RS02405	DR099_RS02645
OG0000162	MHJ_RS02395	DR099_RS02655
OG0000163	MHJ_RS02390	DR099_RS02660
OG0000164	MHJ_RS01565	DR099_RS01350
OG0000165	MHJ_RS01890	DR099_RS00435
OG0000166	MHJ_RS01915	DR099_RS01185
OG0000167	MHJ_RS01930	DR099_RS01195
OG0000168	MHJ_RS01935	DR099_RS01200
OG0000169	MHJ_RS03005	DR099_RS03360
OG0000170	MHJ_RS03035	DR099_RS02110
OG0000171	MHJ_RS03045	DR099_RS02100
OG0000172	MHJ_RS03050	DR099_RS02095
OG0000173	MHJ_RS03055	DR099_RS02090
OG0000174	MHJ_RS03060	DR099_RS02085
OG0000175	MHJ_RS03075	DR099_RS02070
OG0000176	MHJ_RS03125	DR099_RS02020
OG0000177	MHJ_RS03130	DR099_RS02015
OG0000178	MHJ_RS03135	DR099_RS02010
OG0000179	MHJ_RS03145	DR099_RS02000
OG0000180	MHJ_RS03150	DR099_RS01995
OG0000181	MHJ_RS03200	DR099_RS04545
OG0000182	MHJ_RS03210	DR099_RS02895
OG0000183	MHJ_RS03245	DR099_RS02930
OG0000184	MHJ_RS03285	DR099_RS02550
OG0000185	MHJ_RS03270	DR099_RS02565
OG0000186	MHJ_RS01495	DR099_RS04400
OG0000187	MHJ_RS01510	DR099_RS01405
OG0000188	MHJ_RS01520	DR099_RS01395
OG0000189	MHJ_RS02250	DR099_RS04540
OG0000190	MHJ_RS02245	DR099_RS02780
OG0000191	MHJ_RS02225	DR099_RS02800
OG0000192	MHJ_RS01190	DR099_RS03285
OG0000193	MHJ_RS01180	DR099_RS03270
OG0000194	MHJ_RS00670	DR099_RS01660
OG0000195	MHJ_RS00675	DR099_RS01655
OG0000196	MHJ_RS00695	DR099_RS01635
OG0000197	MHJ_RS00700	DR099_RS01630
OG0000198	MHJ_RS00715	DR099_RS01615
OG0000199	MHJ_RS00720	DR099_RS01610
OG0000200	MHJ_RS00730	DR099_RS01595
OG0000201	MHJ_RS00740	DR099_RS01585
OG0000202	MHJ_RS00795	DR099_RS01530
OG0000203	MHJ_RS00800	DR099_RS01525
OG0000204	MHJ_RS00805	DR099_RS04445
OG0000205	MHJ_RS00810	DR099_RS01975
OG0000206	MHJ_RS00830	DR099_RS01955
OG0000207	MHJ_RS00845	DR099_RS01940
OG0000208	MHJ_RS00850	DR099_RS01935
OG0000209	MHJ_RS00855	DR099_RS01930
OG0000210	MHJ_RS00900	DR099_RS01885
OG0000211	MHJ_RS00910	DR099_RS01875
OG0000212	MHJ_RS00920	DR099_RS01865
OG0000213	MHJ_RS00925	DR099_RS01860
OG0000214	MHJ_RS00930	DR099_RS01855
OG0000215	MHJ_RS00935	DR099_RS01850
OG0000216	MHJ_RS00940	DR099_RS01845
OG0000217	MHJ_RS00945	DR099_RS01840
OG0000218	MHJ_RS00955	DR099_RS01830
OG0000219	MHJ_RS00960	DR099_RS01825
OG0000220	MHJ_RS00965	DR099_RS01820
OG0000221	MHJ_RS00970	DR099_RS01815
OG0000222	MHJ_RS00975	DR099_RS01810
OG0000223	MHJ_RS00980	DR099_RS01805
OG0000224	MHJ_RS00990	DR099_RS01795
OG0000225	MHJ_RS01000	DR099_RS01785
OG0000226	MHJ_RS01005	DR099_RS01780
OG0000227	MHJ_RS01010	DR099_RS01775
OG0000228	MHJ_RS04015	DR099_RS04635
OG0000229	MHJ_RS01020	DR099_RS01765
OG0000230	MHJ_RS01025	DR099_RS01760
OG0000231	MHJ_RS01035	DR099_RS01750
OG0000232	MHJ_RS01045	DR099_RS01740
OG0000233	MHJ_RS01065	DR099_RS02310
OG0000234	MHJ_RS01100	DR099_RS02345
OG0000235	MHJ_RS01110	DR099_RS02355
OG0000236	MHJ_RS01115	DR099_RS02360
OG0000237	MHJ_RS01120	DR099_RS02365
OG0000238	MHJ_RS01130	DR099_RS02375
OG0000239	MHJ_RS02925	DR099_RS03120
OG0000240	MHJ_RS02930	DR099_RS03115
OG0000241	MHJ_RS02940	DR099_RS03105
OG0000242	MHJ_RS02945	DR099_RS03100
OG0000243	MHJ_RS02950	DR099_RS03095
OG0000244	MHJ_RS02960	DR099_RS04150
OG0000245	MHJ_RS02970	DR099_RS03075
OG0000246	MHJ_RS00115	DR099_RS03135
OG0000247	MHJ_RS00125	DR099_RS00845
OG0000248	MHJ_RS00135	DR099_RS00835
OG0000249	MHJ_RS00140	DR099_RS00830
OG0000250	MHJ_RS00155	DR099_RS00815
OG0000251	MHJ_RS00185	DR099_RS00780
OG0000252	MHJ_RS00195	DR099_RS00770
OG0000253	MHJ_RS00200	DR099_RS00765
OG0000254	MHJ_RS00210	DR099_RS00755
OG0000255	MHJ_RS00220	DR099_RS00745
OG0000256	MHJ_RS00225	DR099_RS00740
OG0000257	MHJ_RS00250	DR099_RS00715
OG0000258	MHJ_RS00260	DR099_RS00705
OG0000259	MHJ_RS00290	DR099_RS00675
OG0000260	MHJ_RS00300	DR099_RS00665
OG0000261	MHJ_RS00310	DR099_RS04325
OG0000262	MHJ_RS00325	DR099_RS00640
OG0000263	MHJ_RS00340	DR099_RS00625
OG0000264	MHJ_RS00355	DR099_RS00610
OG0000265	MHJ_RS00365	DR099_RS00600
OG0000266	MHJ_RS00380	DR099_RS02955
OG0000267	MHJ_RS00395	DR099_RS02970
OG0000268	MHJ_RS00400	DR099_RS02975
OG0000269	MHJ_RS00415	DR099_RS02990
OG0000270	MHJ_RS03460	DR099_RS04575
OG0000271	MHJ_RS03455	DR099_RS03245
OG0000272	MHJ_RS03450	DR099_RS03250
OG0000273	MHJ_RS03445	DR099_RS03255
OG0000274	MHJ_RS03425	DR099_RS02295
OG0000275	MHJ_RS03420	DR099_RS04485
OG0000276	MHJ_RS03415	DR099_RS02285
OG0000277	MHJ_RS03405	DR099_RS02275
OG0000278	MHJ_RS03400	DR099_RS02270
OG0000279	MHJ_RS03390	DR099_RS02260
OG0000280	MHJ_RS03385	DR099_RS02255
OG0000281	MHJ_RS03705	DR099_RS02250
OG0000282	MHJ_RS03360	DR099_RS04475
OG0000283	MHJ_RS03355	DR099_RS02220
OG0000284	MHJ_RS03350	DR099_RS02215
OG0000285	MHJ_RS03345	DR099_RS04470
OG0000286	MHJ_RS02375	DR099_RS02675
OG0000287	MHJ_RS02475	DR099_RS00270
OG0000288	MHJ_RS02485	DR099_RS00260
OG0000289	MHJ_RS02495	DR099_RS00255
OG0000290	MHJ_RS02605	DR099_RS00145
OG0000291	MHJ_RS02595	DR099_RS00155
OG0000292	MHJ_RS02590	DR099_RS00160
OG0000293	MHJ_RS02585	DR099_RS00165
OG0000294	MHJ_RS02570	DR099_RS00175
OG0000295	MHJ_RS02565	DR099_RS00180
OG0000296	MHJ_RS02525	DR099_RS00220
OG0000297	MHJ_RS02520	DR099_RS00225
OG0000298	MHJ_RS00150	DR099_RS00820
OG0000299	MHJ_RS00170	DR099_RS00795
OG0000300	MHJ_RS00350	DR099_RS00615
OG0000301	MHJ_RS00385	DR099_RS02960
OG0000302	MHJ_RS00390	DR099_RS02965
OG0000303	MHJ_RS00545	DR099_RS02730
OG0000304	MHJ_RS01050	DR099_RS01735
OG0000305	MHJ_RS02850	DR099_RS01085
OG0000306	MHJ_RS02775	DR099_RS01160
OG0000307	MHJ_RS02730	DR099_RS00025
OG0000308	MHJ_RS02625	DR099_RS00125
OG0000309	MHJ_RS02555	DR099_RS00190
OG0000310	MHJ_RS02480	DR099_RS00265
OG0000311	MHJ_RS02435	DR099_RS02615
OG0000312	MHJ_RS02420	DR099_RS02630
OG0000313	MHJ_RS01555	DR099_RS01360
OG0000314	MHJ_RS01910	DR099_RS00455
OG0000315	MHJ_RS01940	DR099_RS01205
OG0000316	MHJ_RS01950	DR099_RS01215
OG0000317	MHJ_RS02040	DR099_RS01305
OG0000318	MHJ_RS01955	DR099_RS04365
OG0000319	MHJ_RS02180	DR099_RS02845
OG0000320	MHJ_RS02305	DR099_RS02180
OG0000321	MHJ_RS01305	DR099_RS00940
OG0000322	MHJ_RS01350	DR099_RS00985
OG0000323	MHJ_RS01480	DR099_RS01435
OG0000324	MHJ_RS02220	DR099_RS02805
OG0000325	MHJ_RS00680	DR099_RS01650
OG0000326	MHJ_RS00770	DR099_RS01555
OG0000327	MHJ_RS00775	DR099_RS01550
OG0000328	MHJ_RS00860	DR099_RS01925
OG0000329	MHJ_RS00880	DR099_RS01905
OG0000330	MHJ_RS01075	DR099_RS02320
OG0000331	MHJ_RS02955	DR099_RS03090
OG0000332	MHJ_RS03085	DR099_RS02060
OG0000333	MHJ_RS03095	DR099_RS02050
OG0000334	MHJ_RS03205	DR099_RS02890
OG0000335	MHJ_RS03215	DR099_RS02900
OG0000336	MHJ_RS03375	DR099_RS04480
OG0000337	MHJ_RS03535	DR099_RS00570
OG0000338	MHJ_RS03575	DR099_RS00530
OG0000339	MHJ_RS02280	DR099_RS03470
OG0000340	MHJ_RS01285	DR099_RS00920
OG0000341	MHJ_RS02240	DR099_RS02785
OG0000342	MHJ_RS00710	DR099_RS01620
OG0000343	MHJ_RS03105	DR099_RS02040
OG0000344	MHJ_RS00560	DR099_RS02745
OG0000345	MHJ_RS00995	DR099_RS01790
OG0000346	MHJ_RS03380	DR099_RS04645
OG0000347	MHJ_RS01375	DR099_RS01010
OG0000348	MHJ_RS00780	DR099_RS01545
OG0000349	MHJ_RS03435	DR099_RS04490
OG0000350	MHJ_RS02720	DR099_RS00035
OG0000351	MHJ_RS00475	DR099_RS04140
OG0000352	MHJ_RS01885	DR099_RS00430
OG0000353	MHJ_RS01345	DR099_RS00980
OG0000354	MHJ_RS00620	DR099_RS01700
OG0000355	MHJ_RS01855	DR099_RS04300
OG0000356	MHJ_RS01945	DR099_RS04360
OG0000357	MHJ_RS03065	DR099_RS04450
OG0000358	MHJ_RS03070	DR099_RS02075
OG0000359	MHJ_RS00750	DR099_RS04425
OG0000360	MHJ_RS00255	DR099_RS00710
OG0000361	MHJ_RS00285	DR099_RS00680
OG0000362	MHJ_RS02500	DR099_RS00245
OG0000363	MHJ_RS03840	DR099_RS04420
OG0000364	MHJ_RS03765	DR099_RS00375
OG0000365	MHJ_RS01985	DR099_RS04385
OG0000366	MHJ_RS02010	DR099_RS01275
OG0000367	MHJ_RS02020	DR099_RS01285
OG0000368	MHJ_RS00060	DR099_RS00465
OG0000369	MHJ_RS00025	DR099_RS04315
OG0000370	MHJ_RS00020	DR099_RS00505
OG0000371	MHJ_RS00015	DR099_RS00510
OG0000372	MHJ_RS00010	DR099_RS00515
OG0000373	MHJ_RS03565	DR099_RS00540
OG0000374	MHJ_RS03555	DR099_RS00550
OG0000375	MHJ_RS02175	DR099_RS02850
OG0000376	MHJ_RS02320	DR099_RS02165
OG0000377	MHJ_RS02310	DR099_RS02175
OG0000378	MHJ_RS01265	DR099_RS00900
OG0000379	MHJ_RS01340	DR099_RS00975
OG0000380	MHJ_RS01365	DR099_RS01000
OG0000381	MHJ_RS01405	DR099_RS01510
OG0000382	MHJ_RS01435	DR099_RS01480
OG0000383	MHJ_RS01475	DR099_RS01440
OG0000384	MHJ_RS00500	DR099_RS02685
OG0000385	MHJ_RS00505	DR099_RS02690
OG0000386	MHJ_RS00525	DR099_RS02710
OG0000387	MHJ_RS00550	DR099_RS02735
OG0000388	MHJ_RS00555	DR099_RS04535
OG0000389	MHJ_RS00600	DR099_RS01720
OG0000390	MHJ_RS02875	DR099_RS01065
OG0000391	MHJ_RS02865	DR099_RS01075
OG0000392	MHJ_RS02835	DR099_RS01100
OG0000393	MHJ_RS02780	DR099_RS04355
OG0000394	MHJ_RS02695	DR099_RS00060
OG0000395	MHJ_RS02690	DR099_RS00065
OG0000396	MHJ_RS02380	DR099_RS02670
OG0000397	MHJ_RS01870	DR099_RS00415
OG0000398	MHJ_RS01875	DR099_RS00420
OG0000399	MHJ_RS01925	DR099_RS01190
OG0000400	MHJ_RS03030	DR099_RS02115
OG0000401	MHJ_RS03090	DR099_RS02055
OG0000402	MHJ_RS03100	DR099_RS02045
OG0000403	MHJ_RS03110	DR099_RS02035
OG0000404	MHJ_RS03140	DR099_RS02005
OG0000405	MHJ_RS03155	DR099_RS01990
OG0000406	MHJ_RS03220	DR099_RS02905
OG0000407	MHJ_RS03225	DR099_RS04550
OG0000408	MHJ_RS03230	DR099_RS02915
OG0000409	MHJ_RS03235	DR099_RS02920
OG0000410	MHJ_RS03290	DR099_RS02545
OG0000411	MHJ_RS03280	DR099_RS02555
OG0000412	MHJ_RS03275	DR099_RS02560
OG0000413	MHJ_RS01490	DR099_RS01425
OG0000414	MHJ_RS01500	DR099_RS01415
OG0000415	MHJ_RS01505	DR099_RS01410
OG0000416	MHJ_RS01515	DR099_RS01400
OG0000417	MHJ_RS02235	DR099_RS02790
OG0000418	MHJ_RS02230	DR099_RS02795
OG0000419	MHJ_RS00690	DR099_RS01640
OG0000420	MHJ_RS00725	DR099_RS01605
OG0000421	MHJ_RS00755	DR099_RS01570
OG0000422	MHJ_RS00765	DR099_RS01560
OG0000423	MHJ_RS00820	DR099_RS01965
OG0000424	MHJ_RS00825	DR099_RS01960
OG0000425	MHJ_RS00835	DR099_RS01950
OG0000426	MHJ_RS00840	DR099_RS04440
OG0000427	MHJ_RS00865	DR099_RS04435
OG0000428	MHJ_RS00890	DR099_RS01895
OG0000429	MHJ_RS00985	DR099_RS01800
OG0000430	MHJ_RS01030	DR099_RS01755
OG0000431	MHJ_RS01040	DR099_RS01745
OG0000432	MHJ_RS01070	DR099_RS02315
OG0000433	MHJ_RS01085	DR099_RS02330
OG0000434	MHJ_RS01090	DR099_RS02335
OG0000435	MHJ_RS01105	DR099_RS02350
OG0000436	MHJ_RS01135	DR099_RS02380
OG0000437	MHJ_RS01145	DR099_RS02390
OG0000438	MHJ_RS01150	DR099_RS02395
OG0000439	MHJ_RS01155	DR099_RS04495
OG0000440	MHJ_RS02935	DR099_RS04560
OG0000441	MHJ_RS02975	DR099_RS03070
OG0000442	MHJ_RS00120	DR099_RS03130
OG0000443	MHJ_RS00165	DR099_RS00800
OG0000444	MHJ_RS00180	DR099_RS00785
OG0000445	MHJ_RS00205	DR099_RS00760
OG0000446	MHJ_RS00235	DR099_RS00730
OG0000447	MHJ_RS00240	DR099_RS00725
OG0000448	MHJ_RS00270	DR099_RS00695
OG0000449	MHJ_RS00295	DR099_RS00670
OG0000450	MHJ_RS00305	DR099_RS00660
OG0000451	MHJ_RS00345	DR099_RS00620
OG0000452	MHJ_RS00370	DR099_RS02945
OG0000453	MHJ_RS00405	DR099_RS02980
OG0000454	MHJ_RS01590	DR099_RS02505
OG0000455	MHJ_RS03480	DR099_RS03220
OG0000456	MHJ_RS03365	DR099_RS02230
OG0000457	MHJ_RS03340	DR099_RS02205
OG0000458	MHJ_RS02470	DR099_RS00275
OG0000460	MHJ_RS02505	DR099_RS00240
OG0000461	MHJ_RS02550	DR099_RS00195
OG0000462	MHJ_RS02545	DR099_RS00200
OG0000463	MHJ_RS02540	DR099_RS00205
OG0000464	MHJ_RS02535	DR099_RS00210
OG0000465	MHJ_RS02530	DR099_RS00215
OG0000466	MHJ_RS00375	DR099_RS02950
OG0000467	MHJ_RS02640	DR099_RS04290
OG0000469	MHJ_RS01980	DR099_RS01245
OG0000470	MHJ_RS03785	DR099_RS03645
OG0000471	MHJ_RS00895	DR099_RS01890
OG0000472	MHJ_RS03300	DR099_RS02535
OG0000473	MHJ_RS03465	DR099_RS03235
OG0000474	MHJ_RS03470	DR099_RS03230
OG0000475	MHJ_RS03475	DR099_RS03225
OG0000476	MHJ_RS01525	DR099_RS01390
OG0000477	MHJ_RS02580	DR099_RS00170
OG0000478	MHJ_RS03410	DR099_RS02280
OG0000479	MHJ_RS01300	DR099_RS00935
OG0000480	MHJ_RS03770	DR099_RS03640
OG0000481	MHJ_RS00790	DR099_RS01535
OG0000482	MHJ_RS01185	DR099_RS03275
OG0000483	MHJ_RS02025	DR099_RS01290
OG0000484	MHJ_RS00175	DR099_RS04330
OG0000485	MHJ_RS01140	DR099_RS02385
OG0000486	MHJ_RS02255	DR099_RS02770
OG0000487	MHJ_RS01960	DR099_RS04370
OG0000488	MHJ_RS01995	DR099_RS01260
OG0000489	MHJ_RS00050	DR099_RS00475
OG0000490	MHJ_RS03570	DR099_RS00535
OG0000491	MHJ_RS01320	DR099_RS00955
OG0000492	MHJ_RS01395	DR099_RS01030
OG0000493	MHJ_RS00565	DR099_RS02750
OG0000494	MHJ_RS00625	DR099_RS01695
OG0000495	MHJ_RS02805	DR099_RS01130
OG0000496	MHJ_RS02795	DR099_RS01140
OG0000497	MHJ_RS02790	DR099_RS01145
OG0000498	MHJ_RS02700	DR099_RS00055
OG0000499	MHJ_RS02665	DR099_RS00090
OG0000500	MHJ_RS01880	DR099_RS00425
OG0000501	MHJ_RS03040	DR099_RS02105
OG0000502	MHJ_RS01175	DR099_RS03265
OG0000503	MHJ_RS00735	DR099_RS01590
OG0000504	MHJ_RS00870	DR099_RS01915
OG0000505	MHJ_RS00905	DR099_RS01880
OG0000506	MHJ_RS00915	DR099_RS01870
OG0000507	MHJ_RS00950	DR099_RS01835
OG0000508	MHJ_RS00230	DR099_RS00735
OG0000509	MHJ_RS00265	DR099_RS00700
OG0000510	MHJ_RS00275	DR099_RS00690
OG0000511	MHJ_RS00410	DR099_RS02985
OG0000512	MHJ_RS02510	DR099_RS00235
OG0000513	MHJ_RS03395	DR099_RS02265
OG0000514	MHJ_RS02830	DR099_RS01105
OG0000515	MHJ_RS01535	DR099_RS03890
OG0000516	MHJ_RS01965	DR099_RS04375
OG0000517	MHJ_RS00065	DR099_RS00460
OG0000518	MHJ_RS03080	DR099_RS02065
OG0000519	MHJ_RS00760	DR099_RS01565
OG0000520	MHJ_RS00885	DR099_RS01900
OG0000521	MHJ_RS00245	DR099_RS00720
OG0000522	MHJ_RS00280	DR099_RS00685
OG0000523	MHJ_RS03335	DR099_RS02200
OG0000524	MHJ_RS02635	DR099_RS00120
OG0000525	MHJ_RS03305	DR099_RS04520
OG0000527	MHJ_RS03865	DR099_RS03420
OG0000528	MHJ_RS01970	DR099_RS04380
OG0000529	MHJ_RS02190	DR099_RS02835
OG0000530	MHJ_RS02290	DR099_RS03455
OG0000531	MHJ_RS01370	DR099_RS01005
OG0000532	MHJ_RS01585	DR099_RS04390
OG0000534	MHJ_RS00360	DR099_RS00605
OG0000535	MHJ_RS00045	DR099_RS04310
OG0000536	MHJ_RS03510	DR099_RS03325
OG0000537	MHJ_RS00705	DR099_RS01625
OG0000538	MHJ_RS01095	DR099_RS02340
OG0000539	MHJ_RS00190	DR099_RS00775
OG0000540	MHJ_RS02600	DR099_RS00150
OG0000541	MHJ_RS02680	DR099_RS00075
OG0000542	MHJ_RS00330	DR099_RS00635
OG0000544	MHJ_RS01225	DR099_RS04335
OG0000545	MHJ_RS01770	DR099_RS00315
OG0000546	MHJ_RS02755	DR099_RS03670
