Orthogroup	MHP_NCTC10127_genes	MHP_KM014_genes
OG0000154	EXC50_RS01605	CIB43_RS03680
OG0000155	EXC50_RS01565	CIB43_RS03645
OG0000156	EXC50_RS01555	CIB43_RS03635
OG0000157	EXC50_RS01550	CIB43_RS03625
OG0000158	EXC50_RS04235	CIB43_RS03620
OG0000159	EXC50_RS03825	CIB43_RS03385
OG0000160	EXC50_RS03820	CIB43_RS03380
OG0000161	EXC50_RS03815	CIB43_RS03375
OG0000163	EXC50_RS01285	CIB43_RS03370
OG0000164	EXC50_RS00550	CIB43_RS02495
OG0000165	EXC50_RS00885	CIB43_RS02840
OG0000166	EXC50_RS00905	CIB43_RS02860
OG0000167	EXC50_RS00920	CIB43_RS02875
OG0000168	EXC50_RS00925	CIB43_RS02880
OG0000169	EXC50_RS01885	CIB43_RS00130
OG0000171	EXC50_RS01910	CIB43_RS00155
OG0000172	EXC50_RS01915	CIB43_RS00160
OG0000173	EXC50_RS01920	CIB43_RS00165
OG0000174	EXC50_RS01925	CIB43_RS00170
OG0000175	EXC50_RS01940	CIB43_RS00190
OG0000176	EXC50_RS01990	CIB43_RS00235
OG0000177	EXC50_RS01995	CIB43_RS00240
OG0000178	EXC50_RS02000	CIB43_RS00245
OG0000179	EXC50_RS02010	CIB43_RS00255
OG0000180	EXC50_RS02015	CIB43_RS00260
OG0000181	EXC50_RS02060	CIB43_RS00310
OG0000182	EXC50_RS02070	CIB43_RS00320
OG0000183	EXC50_RS02105	CIB43_RS00355
OG0000184	EXC50_RS02150	CIB43_RS00430
OG0000185	EXC50_RS02135	CIB43_RS00380
OG0000186	EXC50_RS02565	CIB43_RS02400
OG0000187	EXC50_RS02550	CIB43_RS02410
OG0000188	EXC50_RS02540	CIB43_RS02425
OG0000189	EXC50_RS01150	CIB43_RS03200
OG0000190	EXC50_RS01145	CIB43_RS03195
OG0000191	EXC50_RS01125	CIB43_RS03180
OG0000192	EXC50_RS02870	CIB43_RS02085
OG0000193	EXC50_RS02880	CIB43_RS02075
OG0000194	EXC50_RS03395	CIB43_RS01560
OG0000195	EXC50_RS03390	CIB43_RS01565
OG0000196	EXC50_RS03370	CIB43_RS01585
OG0000197	EXC50_RS03365	CIB43_RS01590
OG0000198	EXC50_RS03350	CIB43_RS01605
OG0000199	EXC50_RS03345	CIB43_RS01615
OG0000200	EXC50_RS03330	CIB43_RS01630
OG0000201	EXC50_RS03320	CIB43_RS01635
OG0000202	EXC50_RS03265	CIB43_RS01690
OG0000203	EXC50_RS03260	CIB43_RS01695
OG0000204	EXC50_RS03255	CIB43_RS01700
OG0000205	EXC50_RS03250	CIB43_RS01705
OG0000206	EXC50_RS03230	CIB43_RS01735
OG0000207	EXC50_RS03215	CIB43_RS01740
OG0000208	EXC50_RS03210	CIB43_RS01745
OG0000209	EXC50_RS03205	CIB43_RS01750
OG0000210	EXC50_RS03160	CIB43_RS01800
OG0000211	EXC50_RS03150	CIB43_RS01805
OG0000212	EXC50_RS03140	CIB43_RS01815
OG0000213	EXC50_RS03135	CIB43_RS01820
OG0000214	EXC50_RS03130	CIB43_RS01825
OG0000215	EXC50_RS03125	CIB43_RS01830
OG0000216	EXC50_RS03120	CIB43_RS01835
OG0000217	EXC50_RS03115	CIB43_RS01845
OG0000218	EXC50_RS03105	CIB43_RS01850
OG0000219	EXC50_RS03100	CIB43_RS01855
OG0000220	EXC50_RS03095	CIB43_RS01860
OG0000221	EXC50_RS03090	CIB43_RS01865
OG0000222	EXC50_RS03085	CIB43_RS01870
OG0000223	EXC50_RS03080	CIB43_RS01875
OG0000225	EXC50_RS03060	CIB43_RS01895
OG0000226	EXC50_RS03055	CIB43_RS01900
OG0000227	EXC50_RS03050	CIB43_RS01905
OG0000228	EXC50_RS03045	CIB43_RS01910
OG0000229	EXC50_RS03040	CIB43_RS01915
OG0000230	EXC50_RS03035	CIB43_RS01920
OG0000231	EXC50_RS03025	CIB43_RS01935
OG0000232	EXC50_RS03015	CIB43_RS01940
OG0000233	EXC50_RS02995	CIB43_RS01965
OG0000234	EXC50_RS02960	CIB43_RS02000
OG0000235	EXC50_RS02950	CIB43_RS02005
OG0000236	EXC50_RS02945	CIB43_RS02010
OG0000237	EXC50_RS02940	CIB43_RS02015
OG0000238	EXC50_RS02930	CIB43_RS02025
OG0000239	EXC50_RS01785	CIB43_RS03860
OG0000240	EXC50_RS01790	CIB43_RS03870
OG0000241	EXC50_RS01800	CIB43_RS03875
OG0000242	EXC50_RS01805	CIB43_RS03880
OG0000243	EXC50_RS01810	CIB43_RS03885
OG0000244	EXC50_RS01820	CIB43_RS03900
OG0000245	EXC50_RS01830	CIB43_RS03905
OG0000246	EXC50_RS00140	CIB43_RS00845
OG0000247	EXC50_RS00150	CIB43_RS00850
OG0000248	EXC50_RS00160	CIB43_RS00875
OG0000250	EXC50_RS00180	CIB43_RS00885
OG0000251	EXC50_RS00215	CIB43_RS00925
OG0000252	EXC50_RS00225	CIB43_RS00930
OG0000253	EXC50_RS00230	CIB43_RS00940
OG0000254	EXC50_RS00240	CIB43_RS00950
OG0000255	EXC50_RS00250	CIB43_RS00955
OG0000256	EXC50_RS00255	CIB43_RS00960
OG0000257	EXC50_RS00280	CIB43_RS00985
OG0000258	EXC50_RS00290	CIB43_RS01015
OG0000259	EXC50_RS00320	CIB43_RS01030
OG0000260	EXC50_RS00330	CIB43_RS01045
OG0000262	EXC50_RS00360	CIB43_RS01075
OG0000263	EXC50_RS00375	CIB43_RS01080
OG0000264	EXC50_RS00390	CIB43_RS01100
OG0000265	EXC50_RS00400	CIB43_RS01110
OG0000266	EXC50_RS00420	CIB43_RS01120
OG0000267	EXC50_RS00435	CIB43_RS01135
OG0000268	EXC50_RS03665	CIB43_RS01305
OG0000269	EXC50_RS03650	CIB43_RS01320
OG0000270	EXC50_RS02335	CIB43_RS00575
OG0000271	EXC50_RS02330	CIB43_RS00570
OG0000272	EXC50_RS02325	CIB43_RS00565
OG0000273	EXC50_RS02320	CIB43_RS00560
OG0000274	EXC50_RS02300	CIB43_RS00545
OG0000275	EXC50_RS02295	CIB43_RS00535
OG0000276	EXC50_RS02290	CIB43_RS00530
OG0000277	EXC50_RS02280	CIB43_RS00525
OG0000278	EXC50_RS02275	CIB43_RS00515
OG0000279	EXC50_RS02265	CIB43_RS00510
OG0000280	EXC50_RS02260	CIB43_RS00500
OG0000281	EXC50_RS02255	CIB43_RS00495
OG0000283	EXC50_RS02225	CIB43_RS00475
OG0000284	EXC50_RS02220	CIB43_RS00460
OG0000285	EXC50_RS02215	CIB43_RS00455
OG0000286	EXC50_RS01270	CIB43_RS03345
OG0000287	EXC50_RS01365	CIB43_RS03440
OG0000288	EXC50_RS01375	CIB43_RS03450
OG0000289	EXC50_RS01380	CIB43_RS03455
OG0000290	EXC50_RS01490	CIB43_RS03565
OG0000291	EXC50_RS01480	CIB43_RS03560
OG0000292	EXC50_RS01475	CIB43_RS03550
OG0000293	EXC50_RS01470	CIB43_RS03545
OG0000294	EXC50_RS01460	CIB43_RS03540
OG0000295	EXC50_RS01455	CIB43_RS03530
OG0000296	EXC50_RS01415	CIB43_RS03495
OG0000297	EXC50_RS01410	CIB43_RS03485
OG0000298	EXC50_RS00175	CIB43_RS00880
OG0000299	EXC50_RS00200	CIB43_RS00915
OG0000300	EXC50_RS00385	CIB43_RS01090
OG0000301	EXC50_RS00425	CIB43_RS01125
OG0000302	EXC50_RS00430	CIB43_RS01130
OG0000303	EXC50_RS03525	CIB43_RS01455
OG0000304	EXC50_RS03010	CIB43_RS01950
OG0000305	EXC50_RS01720	CIB43_RS03795
OG0000306	EXC50_RS01645	CIB43_RS03725
OG0000307	EXC50_RS01610	CIB43_RS03685
OG0000308	EXC50_RS01510	CIB43_RS03600
OG0000309	EXC50_RS01445	CIB43_RS03520
OG0000310	EXC50_RS01370	CIB43_RS03445
OG0000311	EXC50_RS01330	CIB43_RS03405
OG0000312	EXC50_RS01315	CIB43_RS03390
OG0000313	EXC50_RS00540	CIB43_RS02485
OG0000314	EXC50_RS00900	CIB43_RS02855
OG0000315	EXC50_RS00930	CIB43_RS02885
OG0000316	EXC50_RS00940	CIB43_RS02895
OG0000317	EXC50_RS01030	CIB43_RS02985
OG0000318	EXC50_RS00945	CIB43_RS02900
OG0000319	EXC50_RS01080	CIB43_RS03125
OG0000320	EXC50_RS01215	CIB43_RS03270
OG0000321	EXC50_RS02755	CIB43_RS02200
OG0000322	EXC50_RS02710	CIB43_RS02245
OG0000323	EXC50_RS02580	CIB43_RS02375
OG0000324	EXC50_RS01120	CIB43_RS03170
OG0000325	EXC50_RS03385	CIB43_RS01570
OG0000326	EXC50_RS03290	CIB43_RS01665
OG0000327	EXC50_RS03285	CIB43_RS01670
OG0000328	EXC50_RS03200	CIB43_RS01760
OG0000329	EXC50_RS03180	CIB43_RS01775
OG0000330	EXC50_RS02985	CIB43_RS01970
OG0000331	EXC50_RS01815	CIB43_RS03890
OG0000332	EXC50_RS01950	CIB43_RS00200
OG0000333	EXC50_RS01960	CIB43_RS00210
OG0000334	EXC50_RS02065	CIB43_RS00315
OG0000335	EXC50_RS02075	CIB43_RS00340
OG0000336	EXC50_RS02245	CIB43_RS00485
OG0000337	EXC50_RS02415	CIB43_RS00655
OG0000338	EXC50_RS02455	CIB43_RS00695
OG0000339	EXC50_RS01185	CIB43_RS03235
OG0000340	EXC50_RS02775	CIB43_RS02185
OG0000341	EXC50_RS01140	CIB43_RS03190
OG0000342	EXC50_RS03355	CIB43_RS01600
OG0000343	EXC50_RS01970	CIB43_RS00215
OG0000344	EXC50_RS03510	CIB43_RS01465
OG0000345	EXC50_RS03065	CIB43_RS01890
OG0000346	EXC50_RS02250	CIB43_RS00490
OG0000347	EXC50_RS02685	CIB43_RS02270
OG0000348	EXC50_RS03280	CIB43_RS01685
OG0000349	EXC50_RS02310	CIB43_RS00550
OG0000350	EXC50_RS01600	CIB43_RS03675
OG0000351	EXC50_RS03590	CIB43_RS01385
OG0000352	EXC50_RS00880	CIB43_RS02830
OG0000353	EXC50_RS02715	CIB43_RS02240
OG0000354	EXC50_RS03450	CIB43_RS01515
OG0000355	EXC50_RS00850	CIB43_RS02805
OG0000356	EXC50_RS00935	CIB43_RS02890
OG0000357	EXC50_RS01930	CIB43_RS00175
OG0000358	EXC50_RS01935	CIB43_RS00180
OG0000359	EXC50_RS03310	CIB43_RS01650
OG0000360	EXC50_RS00285	CIB43_RS00990
OG0000361	EXC50_RS00315	CIB43_RS01020
OG0000362	EXC50_RS01390	CIB43_RS03475
OG0000363	EXC50_RS02645	CIB43_RS02310
OG0000364	EXC50_RS03920	CIB43_RS02775
OG0000369	EXC50_RS00025	CIB43_RS00725
OG0000370	EXC50_RS00020	CIB43_RS00720
OG0000378	EXC50_RS02795	CIB43_RS02160
OG0000379	EXC50_RS02720	CIB43_RS02235
OG0000380	EXC50_RS02695	CIB43_RS02260
OG0000381	EXC50_RS02655	CIB43_RS02300
OG0000385	EXC50_RS03565	CIB43_RS01405
OG0000389	EXC50_RS03470	CIB43_RS01490
OG0000394	EXC50_RS01575	CIB43_RS03660
OG0000396	EXC50_RS01275	CIB43_RS03350
OG0000403	EXC50_RS01975	CIB43_RS00220
OG0000404	EXC50_RS02005	CIB43_RS00250
OG0000405	EXC50_RS02020	CIB43_RS00265
OG0000409	EXC50_RS02095	CIB43_RS00345
OG0000412	EXC50_RS02140	CIB43_RS00390
OG0000417	EXC50_RS01135	CIB43_RS03185
OG0000428	EXC50_RS03170	CIB43_RS01785
OG0000429	EXC50_RS03075	CIB43_RS01885
OG0000430	EXC50_RS03030	CIB43_RS01925
OG0000434	EXC50_RS02970	CIB43_RS01985
OG0000436	EXC50_RS02925	CIB43_RS02030
OG0000437	EXC50_RS02915	CIB43_RS02065
OG0000441	EXC50_RS01835	CIB43_RS03910
OG0000451	EXC50_RS00380	CIB43_RS01085
OG0000453	EXC50_RS03660	CIB43_RS01315
OG0000457	EXC50_RS02210	CIB43_RS00450
OG0000459	EXC50_RS01385	CIB43_RS03460
OG0000463	EXC50_RS01430	CIB43_RS03515
OG0000464	EXC50_RS01425	CIB43_RS03500
OG0000466	EXC50_RS00415	CIB43_RS01115
OG0000468	EXC50_RS00910	CIB43_RS02870
OG0000471	EXC50_RS03165	CIB43_RS01790
OG0000473	EXC50_RS02340	CIB43_RS00580
OG0000474	EXC50_RS02345	CIB43_RS00585
OG0000475	EXC50_RS02350	CIB43_RS00595
OG0000482	EXC50_RS02875	CIB43_RS02080
OG0000485	EXC50_RS02920	CIB43_RS02035
OG0000486	EXC50_RS01155	CIB43_RS03205
OG0000487	EXC50_RS00950	CIB43_RS02915
OG0000488	EXC50_RS00985	CIB43_RS02940
OG0000489	EXC50_RS00050	CIB43_RS00750
OG0000491	EXC50_RS02740	CIB43_RS02220
OG0000492	EXC50_RS02665	CIB43_RS02290
OG0000495	EXC50_RS01675	CIB43_RS03750
OG0000502	EXC50_RS02885	CIB43_RS02070
OG0000504	EXC50_RS03190	CIB43_RS01770
OG0000506	EXC50_RS03145	CIB43_RS01810
OG0000508	EXC50_RS00260	CIB43_RS00980
OG0000517	EXC50_RS00065	CIB43_RS00765
OG0000519	EXC50_RS03300	CIB43_RS01660
OG0000520	EXC50_RS03175	CIB43_RS01780
OG0000523	EXC50_RS02205	CIB43_RS00445
OG0000526	EXC50_RS04005	CIB43_RS02720
OG0000527	EXC50_RS00720	CIB43_RS02640
OG0000529	EXC50_RS01090	CIB43_RS03135
OG0000530	EXC50_RS01200	CIB43_RS03250
OG0000531	EXC50_RS02690	CIB43_RS02265
OG0000537	EXC50_RS03360	CIB43_RS01595
OG0000538	EXC50_RS02965	CIB43_RS01990
OG0000543	EXC50_RS00505, EXC50_RS03730	CIB43_RS01215
OG0000544	EXC50_RS02835	CIB43_RS02125
OG0000545	EXC50_RS00770	CIB43_RS02715
OG0000546	EXC50_RS01630	CIB43_RS03705
OG0000553	EXC50_RS01530	CIB43_RS03610
OG0000554	EXC50_RS01245	CIB43_RS03295
OG0000557	EXC50_RS02825	CIB43_RS02130
OG0000558	EXC50_RS02855	CIB43_RS02100
OG0000559	EXC50_RS00655	CIB43_RS02575
OG0000560	EXC50_RS00760	CIB43_RS02680
OG0000561	EXC50_RS02980	CIB43_RS01980
OG0000562	EXC50_RS00765	CIB43_RS02685
OG0000563	EXC50_RS00750	CIB43_RS02670
OG0000564	EXC50_RS04095	CIB43_RS02155
OG0000565	EXC50_RS00810	CIB43_RS02760
OG0000566	EXC50_RS00800	CIB43_RS02740
OG0000568	EXC50_RS03400	CIB43_RS01555
OG0000569	EXC50_RS02850	CIB43_RS02105
OG0000570	EXC50_RS02845	CIB43_RS02110
OG0000571	EXC50_RS02840	CIB43_RS02115
OG0000572	EXC50_RS02820	CIB43_RS02135
OG0000573	EXC50_RS00650	CIB43_RS02570
OG0000574	EXC50_RS02780	CIB43_RS02175
OG0000575	EXC50_RS02865	CIB43_RS02090
OG0000576	EXC50_RS00610	CIB43_RS02530
OG0000577	EXC50_RS01505	CIB43_RS03580
OG0000579	EXC50_RS00740	CIB43_RS02660
OG0000580	EXC50_RS04050	CIB43_RS03710
OG0000581	EXC50_RS00725	CIB43_RS02645
OG0000584	EXC50_RS03755	CIB43_RS01255
OG0000588	EXC50_RS00600	CIB43_RS02525
OG0000590	EXC50_RS03745	CIB43_RS01190
OG0000592	EXC50_RS01495	CIB43_RS03570
OG0000594	EXC50_RS02860	CIB43_RS02095
OG0000600	EXC50_RS02480	CIB43_RS01175, CIB43_RS00040
OG0000600	EXC50_RS03760	CIB43_RS01260
OG0000601	EXC50_RS00755	CIB43_RS02675
OG0000603	EXC50_RS03765	CIB43_RS01270
OG0000606	EXC50_RS00730	CIB43_RS02655
OG0000608	EXC50_RS04000	CIB43_RS02700, CIB43_RS02695, CIB43_RS02705, CIB43_RS02690
OG0000609	EXC50_RS03905	CIB43_RS02730
OG0000616	EXC50_RS03795	CIB43_RS01280
OG0000620	EXC50_RS03885	CIB43_RS04010
