Orthogroup	MHP_NCTC10127_genes	MHP_98_genes
OG0000191	EXC50_RS01125	GOM18_RS02420
OG0000192	EXC50_RS02870	GOM18_RS03170
OG0000193	EXC50_RS02880	GOM18_RS03155
OG0000194	EXC50_RS03395	GOM18_RS00120
OG0000195	EXC50_RS03390	GOM18_RS00125
OG0000196	EXC50_RS03370	GOM18_RS00145
OG0000197	EXC50_RS03365	GOM18_RS00150
OG0000198	EXC50_RS03350	GOM18_RS00165
OG0000199	EXC50_RS03345	GOM18_RS00170
OG0000200	EXC50_RS03330	GOM18_RS00185
OG0000201	EXC50_RS03320	GOM18_RS00195
OG0000202	EXC50_RS03265	GOM18_RS00250
OG0000203	EXC50_RS03260	GOM18_RS00255
OG0000204	EXC50_RS03255	GOM18_RS00260
OG0000205	EXC50_RS03250	GOM18_RS00265
OG0000206	EXC50_RS03230	GOM18_RS00285
OG0000207	EXC50_RS03215	GOM18_RS00300
OG0000208	EXC50_RS03210	GOM18_RS00305
OG0000209	EXC50_RS03205	GOM18_RS00310
OG0000210	EXC50_RS03160	GOM18_RS00360
OG0000211	EXC50_RS03150	GOM18_RS01855
OG0000212	EXC50_RS03140	GOM18_RS01845
OG0000213	EXC50_RS03135	GOM18_RS01840
OG0000214	EXC50_RS03130	GOM18_RS01835
OG0000215	EXC50_RS03125	GOM18_RS01830
OG0000216	EXC50_RS03120	GOM18_RS01825
OG0000217	EXC50_RS03115	GOM18_RS01820
OG0000218	EXC50_RS03105	GOM18_RS01810
OG0000219	EXC50_RS03100	GOM18_RS01805
OG0000220	EXC50_RS03095	GOM18_RS01800
OG0000221	EXC50_RS03090	GOM18_RS01795
OG0000222	EXC50_RS03085	GOM18_RS01790
OG0000223	EXC50_RS03080	GOM18_RS01785
OG0000224	EXC50_RS03070	GOM18_RS01775
OG0000225	EXC50_RS03060	GOM18_RS01765
OG0000226	EXC50_RS03055	GOM18_RS01760
OG0000227	EXC50_RS03050	GOM18_RS01755
OG0000228	EXC50_RS03045	GOM18_RS04580
OG0000229	EXC50_RS03040	GOM18_RS01745
OG0000230	EXC50_RS03035	GOM18_RS01740
OG0000231	EXC50_RS03025	GOM18_RS01730
OG0000232	EXC50_RS03015	GOM18_RS01720
OG0000233	EXC50_RS02995	GOM18_RS02880
OG0000234	EXC50_RS02960	GOM18_RS02915
OG0000235	EXC50_RS02950	GOM18_RS02925
OG0000236	EXC50_RS02945	GOM18_RS02930
OG0000237	EXC50_RS02940	GOM18_RS02935
OG0000238	EXC50_RS02930	GOM18_RS02940
OG0000239	EXC50_RS01785	GOM18_RS01115
OG0000240	EXC50_RS01790	GOM18_RS01110
OG0000241	EXC50_RS01800	GOM18_RS01100
OG0000242	EXC50_RS01805	GOM18_RS01095
OG0000243	EXC50_RS01810	GOM18_RS01090
OG0000244	EXC50_RS01820	GOM18_RS01080
OG0000245	EXC50_RS01830	GOM18_RS01070
OG0000246	EXC50_RS00140	GOM18_RS01250
OG0000247	EXC50_RS00150	GOM18_RS01260
OG0000248	EXC50_RS00160	GOM18_RS01270
OG0000249	EXC50_RS00165	GOM18_RS01275
OG0000250	EXC50_RS00180	GOM18_RS01290
OG0000251	EXC50_RS00215	GOM18_RS01320
OG0000252	EXC50_RS00225	GOM18_RS01330
OG0000253	EXC50_RS00230	GOM18_RS01335
OG0000254	EXC50_RS00240	GOM18_RS01345
OG0000255	EXC50_RS00250	GOM18_RS01350
OG0000256	EXC50_RS00255	GOM18_RS01355
OG0000257	EXC50_RS00280	GOM18_RS01380
OG0000258	EXC50_RS00290	GOM18_RS01390
OG0000259	EXC50_RS00320	GOM18_RS01420
OG0000260	EXC50_RS00330	GOM18_RS01430
OG0000261	EXC50_RS00340	GOM18_RS04390
OG0000262	EXC50_RS00360	GOM18_RS01455
OG0000263	EXC50_RS00375	GOM18_RS01470
OG0000264	EXC50_RS00390	GOM18_RS01485
OG0000265	EXC50_RS00400	GOM18_RS01495
OG0000266	EXC50_RS00420	GOM18_RS01510
OG0000267	EXC50_RS00435	GOM18_RS01525
OG0000268	EXC50_RS03665	GOM18_RS01530
OG0000269	EXC50_RS03650	GOM18_RS01545
OG0000270	EXC50_RS02335	GOM18_RS04280
OG0000271	EXC50_RS02330	GOM18_RS00450
OG0000272	EXC50_RS02325	GOM18_RS00445
OG0000273	EXC50_RS02320	GOM18_RS00440
OG0000274	EXC50_RS02300	GOM18_RS00420
OG0000275	EXC50_RS02295	GOM18_RS04270
OG0000276	EXC50_RS02290	GOM18_RS00410
OG0000277	EXC50_RS02280	GOM18_RS00400
OG0000278	EXC50_RS02275	GOM18_RS00395
OG0000279	EXC50_RS02265	GOM18_RS00385
OG0000280	EXC50_RS02260	GOM18_RS00380
OG0000281	EXC50_RS02255	GOM18_RS00375
OG0000282	EXC50_RS02230	GOM18_RS04310
OG0000283	EXC50_RS02225	GOM18_RS00705
OG0000284	EXC50_RS02220	GOM18_RS00710
OG0000285	EXC50_RS02215	GOM18_RS04315
OG0000286	EXC50_RS01270	GOM18_RS01875
OG0000287	EXC50_RS01365	GOM18_RS01965
OG0000288	EXC50_RS01375	GOM18_RS01975
OG0000289	EXC50_RS01380	GOM18_RS01980
OG0000290	EXC50_RS01490	GOM18_RS02090
OG0000291	EXC50_RS01480	GOM18_RS02080
OG0000292	EXC50_RS01475	GOM18_RS02075
OG0000293	EXC50_RS01470	GOM18_RS02070
OG0000294	EXC50_RS01460	GOM18_RS02060
OG0000295	EXC50_RS01455	GOM18_RS02055
OG0000296	EXC50_RS01415	GOM18_RS02015
OG0000297	EXC50_RS01410	GOM18_RS02010
OG0000298	EXC50_RS00175	GOM18_RS01285
OG0000299	EXC50_RS00200	GOM18_RS03940
OG0000300	EXC50_RS00385	GOM18_RS01480
OG0000301	EXC50_RS00425	GOM18_RS01515
OG0000302	EXC50_RS00430	GOM18_RS01520
OG0000303	EXC50_RS03525	GOM18_RS01665
OG0000304	EXC50_RS03010	GOM18_RS01710
OG0000305	EXC50_RS01720	GOM18_RS01175
OG0000306	EXC50_RS01645	GOM18_RS03130
OG0000307	EXC50_RS01610	GOM18_RS03100
OG0000308	EXC50_RS01510	GOM18_RS02110
OG0000309	EXC50_RS01445	GOM18_RS02045
OG0000310	EXC50_RS01370	GOM18_RS01970
OG0000311	EXC50_RS01330	GOM18_RS01935
OG0000312	EXC50_RS01315	GOM18_RS01920
OG0000313	EXC50_RS00540	GOM18_RS03620
OG0000314	EXC50_RS00900	GOM18_RS03245
OG0000315	EXC50_RS00930	GOM18_RS02210
OG0000316	EXC50_RS00940	GOM18_RS02220
OG0000317	EXC50_RS01030	GOM18_RS02315
OG0000318	EXC50_RS00945	GOM18_RS04425
OG0000319	EXC50_RS01080	GOM18_RS02375
OG0000320	EXC50_RS01215	GOM18_RS02500
OG0000321	EXC50_RS02755	GOM18_RS02820
OG0000322	EXC50_RS02710	GOM18_RS02780
OG0000323	EXC50_RS02580	GOM18_RS02625
OG0000324	EXC50_RS01120	GOM18_RS02415
OG0000325	EXC50_RS03385	GOM18_RS00130
OG0000326	EXC50_RS03290	GOM18_RS00225
OG0000327	EXC50_RS03285	GOM18_RS00230
OG0000328	EXC50_RS03200	GOM18_RS00315
OG0000329	EXC50_RS03180	GOM18_RS00335
OG0000330	EXC50_RS02985	GOM18_RS02890
OG0000331	EXC50_RS01815	GOM18_RS01085
OG0000332	EXC50_RS01950	GOM18_RS00975
OG0000333	EXC50_RS01960	GOM18_RS00965
OG0000334	EXC50_RS02065	GOM18_RS00865
OG0000335	EXC50_RS02075	GOM18_RS00855
OG0000336	EXC50_RS02245	GOM18_RS04265
OG0000337	EXC50_RS02415	GOM18_RS00535
OG0000338	EXC50_RS02455	GOM18_RS00575
OG0000339	EXC50_RS01185	GOM18_RS02475
OG0000340	EXC50_RS02775	GOM18_RS02840
OG0000341	EXC50_RS01140	GOM18_RS02435
OG0000342	EXC50_RS03355	GOM18_RS00160
OG0000343	EXC50_RS01970	GOM18_RS00955
OG0000344	EXC50_RS03510	GOM18_RS01680
OG0000345	EXC50_RS03065	GOM18_RS01770
OG0000346	EXC50_RS02250	GOM18_RS00370
OG0000347	EXC50_RS02685	GOM18_RS02755
OG0000348	EXC50_RS03280	GOM18_RS00235
OG0000349	EXC50_RS02310	GOM18_RS04275
OG0000350	EXC50_RS01600	GOM18_RS03090
OG0000351	EXC50_RS03590	GOM18_RS01600
OG0000352	EXC50_RS00880	GOM18_RS03265
OG0000353	EXC50_RS02715	GOM18_RS02785
OG0000354	EXC50_RS03450	GOM18_RS03455
OG0000355	EXC50_RS00850	GOM18_RS04535
OG0000356	EXC50_RS00935	GOM18_RS04420
OG0000357	EXC50_RS01930	GOM18_RS04370
OG0000358	EXC50_RS01935	GOM18_RS00990
OG0000359	EXC50_RS03310	GOM18_RS04245
OG0000360	EXC50_RS00285	GOM18_RS01385
OG0000361	EXC50_RS00315	GOM18_RS01415
OG0000362	EXC50_RS01390	GOM18_RS01990
OG0000363	EXC50_RS02645	GOM18_RS04485
OG0000364	EXC50_RS03920	GOM18_RS04185
OG0000365	EXC50_RS00975	GOM18_RS04440
OG0000366	EXC50_RS01000	GOM18_RS02285
OG0000367	EXC50_RS01010	GOM18_RS02295
OG0000368	EXC50_RS00060	GOM18_RS00640
OG0000369	EXC50_RS00025	GOM18_RS04300
OG0000370	EXC50_RS00020	GOM18_RS00600
OG0000371	EXC50_RS00015	GOM18_RS00595
OG0000372	EXC50_RS00010	GOM18_RS00590
OG0000373	EXC50_RS02445	GOM18_RS00565
OG0000374	EXC50_RS02435	GOM18_RS00555
OG0000375	EXC50_RS01075	GOM18_RS02370
OG0000376	EXC50_RS01230	GOM18_RS02515
OG0000377	EXC50_RS01220	GOM18_RS02505
OG0000378	EXC50_RS02795	GOM18_RS02860
OG0000380	EXC50_RS02695	GOM18_RS02765
OG0000381	EXC50_RS02655	GOM18_RS02725
OG0000382	EXC50_RS02625	GOM18_RS02695
OG0000383	EXC50_RS02585	GOM18_RS02630
OG0000384	EXC50_RS03570	GOM18_RS01620
OG0000385	EXC50_RS03565	GOM18_RS01625
OG0000386	EXC50_RS03545	GOM18_RS01645
OG0000387	EXC50_RS03520	GOM18_RS01670
OG0000388	EXC50_RS03515	GOM18_RS04395
OG0000389	EXC50_RS03470	GOM18_RS03480
OG0000390	EXC50_RS01740	GOM18_RS01155
OG0000391	EXC50_RS01730	GOM18_RS01165
OG0000392	EXC50_RS01705	GOM18_RS01190
OG0000393	EXC50_RS01650	GOM18_RS04515
OG0000395	EXC50_RS01570	GOM18_RS02165
OG0000396	EXC50_RS01275	GOM18_RS01880
OG0000397	EXC50_RS00865	GOM18_RS03280
OG0000398	EXC50_RS00870	GOM18_RS03275
OG0000399	EXC50_RS00915	GOM18_RS02195
OG0000400	EXC50_RS01895	GOM18_RS01030
OG0000401	EXC50_RS01955	GOM18_RS00970
OG0000402	EXC50_RS01965	GOM18_RS00960
OG0000403	EXC50_RS01975	GOM18_RS00950
OG0000404	EXC50_RS02005	GOM18_RS00920
OG0000405	EXC50_RS02020	GOM18_RS00905
OG0000406	EXC50_RS02080	GOM18_RS00850
OG0000407	EXC50_RS02085	GOM18_RS04360
OG0000408	EXC50_RS02090	GOM18_RS00840
OG0000409	EXC50_RS02095	GOM18_RS00835
OG0000410	EXC50_RS02155	GOM18_RS00775
OG0000411	EXC50_RS02145	GOM18_RS00785
OG0000412	EXC50_RS02140	GOM18_RS00790
OG0000413	EXC50_RS02570	GOM18_RS02615
OG0000414	EXC50_RS02560	GOM18_RS02605
OG0000415	EXC50_RS02555	GOM18_RS02600
OG0000416	EXC50_RS02545	GOM18_RS02590
OG0000417	EXC50_RS01135	GOM18_RS02430
OG0000418	EXC50_RS01130	GOM18_RS02425
OG0000419	EXC50_RS03375	GOM18_RS00140
OG0000420	EXC50_RS03340	GOM18_RS00175
OG0000421	EXC50_RS03305	GOM18_RS00210
OG0000422	EXC50_RS03295	GOM18_RS00220
OG0000423	EXC50_RS03240	GOM18_RS00275
OG0000424	EXC50_RS03235	GOM18_RS00280
OG0000425	EXC50_RS03225	GOM18_RS00290
OG0000426	EXC50_RS03220	GOM18_RS04250
OG0000427	EXC50_RS03195	GOM18_RS04255
OG0000428	EXC50_RS03170	GOM18_RS00345
OG0000429	EXC50_RS03075	GOM18_RS01780
OG0000430	EXC50_RS03030	GOM18_RS01735
OG0000431	EXC50_RS03020	GOM18_RS01725
OG0000432	EXC50_RS02990	GOM18_RS02885
OG0000433	EXC50_RS02975	GOM18_RS02900
OG0000434	EXC50_RS02970	GOM18_RS02905
OG0000435	EXC50_RS02955	GOM18_RS02920
OG0000436	EXC50_RS02925	GOM18_RS02945
OG0000437	EXC50_RS02915	GOM18_RS02955
OG0000438	EXC50_RS02910	GOM18_RS02960
OG0000439	EXC50_RS02905	GOM18_RS04495
OG0000440	EXC50_RS01795	GOM18_RS04375
OG0000441	EXC50_RS01835	GOM18_RS01065
OG0000442	EXC50_RS00145	GOM18_RS01255
OG0000443	EXC50_RS00195	GOM18_RS01300
OG0000444	EXC50_RS00210	GOM18_RS01315
OG0000445	EXC50_RS00235	GOM18_RS03665
OG0000446	EXC50_RS00265	GOM18_RS01365
OG0000447	EXC50_RS00270	GOM18_RS01370
OG0000448	EXC50_RS00300	GOM18_RS01400
OG0000449	EXC50_RS00325	GOM18_RS01425
OG0000450	EXC50_RS00335	GOM18_RS01435
OG0000451	EXC50_RS00380	GOM18_RS01475
OG0000452	EXC50_RS00410	GOM18_RS01500
OG0000453	EXC50_RS03660	GOM18_RS01535
OG0000455	EXC50_RS02355	GOM18_RS00475
OG0000456	EXC50_RS02235	GOM18_RS00695
OG0000457	EXC50_RS02210	GOM18_RS00720
OG0000458	EXC50_RS01360	GOM18_RS01960
OG0000459	EXC50_RS01385	GOM18_RS01985
OG0000460	EXC50_RS01395	GOM18_RS01995
OG0000461	EXC50_RS01440	GOM18_RS02040
OG0000462	EXC50_RS01435	GOM18_RS02035
OG0000463	EXC50_RS01430	GOM18_RS02030
OG0000464	EXC50_RS01425	GOM18_RS02025
OG0000465	EXC50_RS01420	GOM18_RS02020
OG0000466	EXC50_RS00415	GOM18_RS01505
OG0000467	EXC50_RS01520	GOM18_RS04400
OG0000468	EXC50_RS00910	GOM18_RS02190
OG0000469	EXC50_RS00970	GOM18_RS02250
OG0000470	EXC50_RS03950	GOM18_RS00270
OG0000471	EXC50_RS03165	GOM18_RS00350
OG0000472	EXC50_RS02165	GOM18_RS00765
OG0000473	EXC50_RS02340	GOM18_RS00460
OG0000474	EXC50_RS02345	GOM18_RS00465
OG0000475	EXC50_RS02350	GOM18_RS00470
OG0000476	EXC50_RS02535	GOM18_RS02580
OG0000477	EXC50_RS01465	GOM18_RS02065
OG0000478	EXC50_RS02285	GOM18_RS00405
OG0000479	EXC50_RS02760	GOM18_RS02825
OG0000480	EXC50_RS03895	GOM18_RS02255
OG0000481	EXC50_RS03270	GOM18_RS00245
OG0000482	EXC50_RS02875	GOM18_RS03160
OG0000483	EXC50_RS01015	GOM18_RS02300
OG0000484	EXC50_RS00205	GOM18_RS04385
OG0000485	EXC50_RS02920	GOM18_RS02950
OG0000486	EXC50_RS01155	GOM18_RS02450
OG0000487	EXC50_RS00950	GOM18_RS04430
OG0000488	EXC50_RS00985	GOM18_RS02270
OG0000489	EXC50_RS00050	GOM18_RS00630
OG0000490	EXC50_RS02450	GOM18_RS00570
OG0000491	EXC50_RS02740	GOM18_RS02805
OG0000492	EXC50_RS02665	GOM18_RS02735
OG0000493	EXC50_RS03505	GOM18_RS01685
OG0000494	EXC50_RS03445	GOM18_RS03450
OG0000495	EXC50_RS01675	GOM18_RS01220
OG0000496	EXC50_RS01665	GOM18_RS01230
OG0000497	EXC50_RS01660	GOM18_RS01235
OG0000498	EXC50_RS01580	GOM18_RS03070
OG0000499	EXC50_RS01545	GOM18_RS02140
OG0000500	EXC50_RS00875	GOM18_RS03270
OG0000501	EXC50_RS01905	GOM18_RS01020
OG0000502	EXC50_RS02885	GOM18_RS03150
OG0000503	EXC50_RS03325	GOM18_RS00190
OG0000504	EXC50_RS03190	GOM18_RS00325
OG0000505	EXC50_RS03155	GOM18_RS01860
