Orthogroup	MHP_NCTC10127_genes	MHP_TB1_genes
OG0000021	EXC50_RS00715	B5M19_RS00590
OG0000021	EXC50_RS04125	B5M19_RS03625
OG0000022	EXC50_RS00615	B5M19_RS02040
OG0000022	EXC50_RS00670	B5M19_RS02090
OG0000024	EXC50_RS01585	B5M19_RS02500
OG0000024	EXC50_RS02815	B5M19_RS04395
OG0000025	EXC50_RS00620	B5M19_RS04315
OG0000025	EXC50_RS00665	B5M19_RS02085
OG0000026	EXC50_RS02725	B5M19_RS01210
OG0000026	EXC50_RS00645	B5M19_RS02065
OG0000027	EXC50_RS02185	B5M19_RS00565
OG0000027	EXC50_RS02200	B5M19_RS00550
OG0000028	EXC50_RS01265	B5M19_RS02470, B5M19_RS02460, B5M19_RS02465, B5M19_RS04380
OG0000029	EXC50_RS03005	B5M19_RS03200
OG0000029	EXC50_RS03475	B5M19_RS04520, B5M19_RS03510
OG0000030	EXC50_RS02175	B5M19_RS00570
OG0000030	EXC50_RS02195	B5M19_RS00555
OG0000031	EXC50_RS02515, EXC50_RS03805	B5M19_RS04360
OG0000031	EXC50_RS00545	B5M19_RS03305
OG0000032	EXC50_RS04070	B5M19_RS00560
OG0000033	EXC50_RS01260	B5M19_RS04375, B5M19_RS02455
OG0000035	EXC50_RS02045	B5M19_RS01610
OG0000035	EXC50_RS02025	B5M19_RS04235
OG0000036	EXC50_RS00115, EXC50_RS00130	B5M19_RS00040
OG0000039	EXC50_RS03975, EXC50_RS00560	B5M19_RS03320
OG0000040	EXC50_RS02120	B5M19_RS02985
OG0000041	EXC50_RS03415	B5M19_RS03050
OG0000042	EXC50_RS01780	B5M19_RS01320
OG0000043	EXC50_RS00860	B5M19_RS02270
OG0000044	EXC50_RS00745	B5M19_RS00620
OG0000045	EXC50_RS00570	B5M19_RS03325
OG0000047	EXC50_RS00500	B5M19_RS04440
OG0000047	EXC50_RS03955, EXC50_RS03735	B5M19_RS03245
OG0000048	EXC50_RS01040	B5M19_RS03695
OG0000049	EXC50_RS01890	B5M19_RS01455
OG0000050	EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295	B5M19_RS02825
OG0000051	EXC50_RS01500	B5M19_RS04110
OG0000052	EXC50_RS00075	B5M19_RS00005
OG0000053	EXC50_RS02640	B5M19_RS01120
OG0000054	EXC50_RS04250	B5M19_RS02800
OG0000055	EXC50_RS00135	B5M19_RS00045
OG0000056	EXC50_RS02375	B5M19_RS00375
OG0000057	EXC50_RS01765	B5M19_RS01340
OG0000058	EXC50_RS03810	B5M19_RS02905
OG0000059	EXC50_RS02510	B5M19_RS03915, B5M19_RS02265, B5M19_RS03935
OG0000060	EXC50_RS04110	B5M19_RS04370
OG0000061	EXC50_RS00525	B5M19_RS03265
OG0000062	EXC50_RS02425	B5M19_RS01970
OG0000063	EXC50_RS02420	B5M19_RS01975
OG0000064	EXC50_RS02410	B5M19_RS01990
OG0000065	EXC50_RS01100	B5M19_RS02925
OG0000066	EXC50_RS02735	B5M19_RS01220
OG0000067	EXC50_RS03560	B5M19_RS02375
OG0000068	EXC50_RS03440	B5M19_RS04480
OG0000069	EXC50_RS01655	B5M19_RS03520
OG0000070	EXC50_RS03840, EXC50_RS01325	B5M19_RS02795
OG0000071	EXC50_RS02110	B5M19_RS02995
OG0000072	EXC50_RS02115	B5M19_RS02990
OG0000073	EXC50_RS03380	B5M19_RS01840
OG0000074	EXC50_RS03185	B5M19_RS01645
OG0000075	EXC50_RS00355	B5M19_RS00265
OG0000076	EXC50_RS00370	B5M19_RS00280
OG0000077	EXC50_RS03640	B5M19_RS03440
OG0000078	EXC50_RS00635	B5M19_RS02055
OG0000079	EXC50_RS01405	B5M19_RS01010
OG0000080	EXC50_RS03930	B5M19_RS03900
OG0000081	EXC50_RS00350	B5M19_RS00260
OG0000082	EXC50_RS01250	B5M19_RS04420, B5M19_RS04415
OG0000083	EXC50_RS00965	B5M19_RS00845
OG0000084	EXC50_RS00990	B5M19_RS02760
OG0000085	EXC50_RS00995	B5M19_RS02755
OG0000086	EXC50_RS01005	B5M19_RS02745
OG0000087	EXC50_RS01020	B5M19_RS02730
OG0000088	EXC50_RS01025	B5M19_RS02725
OG0000089	EXC50_RS01035	B5M19_RS03690
OG0000090	EXC50_RS00070	B5M19_RS03775
OG0000091	EXC50_RS00055	B5M19_RS04280
OG0000092	EXC50_RS00040	B5M19_RS01895
OG0000093	EXC50_RS00035	B5M19_RS01900
OG0000094	EXC50_RS00030	B5M19_RS01905
OG0000095	EXC50_RS00005	B5M19_RS04290
OG0000096	EXC50_RS02460	B5M19_RS01935
OG0000097	EXC50_RS02440	B5M19_RS01955
OG0000098	EXC50_RS02430	B5M19_RS04295
OG0000099	EXC50_RS02380	B5M19_RS00370
OG0000100	EXC50_RS02365	B5M19_RS00385
OG0000101	EXC50_RS02360	B5M19_RS00390
OG0000102	EXC50_RS00660	B5M19_RS02080
OG0000103	EXC50_RS01065	B5M19_RS02960
OG0000104	EXC50_RS01070	B5M19_RS04460
OG0000105	EXC50_RS01085	B5M19_RS02940
OG0000106	EXC50_RS01095	B5M19_RS02930
OG0000107	EXC50_RS01105	B5M19_RS04455
OG0000108	EXC50_RS01110	B5M19_RS04620
OG0000109	EXC50_RS01115	B5M19_RS02910
OG0000110	EXC50_RS01240	B5M19_RS02660
OG0000111	EXC50_RS01235	B5M19_RS02665
OG0000112	EXC50_RS01225	B5M19_RS02675
OG0000113	EXC50_RS01205	B5M19_RS02700
OG0000114	EXC50_RS01195	B5M19_RS02710
OG0000115	EXC50_RS01180	B5M19_RS03610
OG0000116	EXC50_RS02790	B5M19_RS02580
OG0000117	EXC50_RS02785	B5M19_RS02575
OG0000118	EXC50_RS02750	B5M19_RS01235
OG0000119	EXC50_RS02745	B5M19_RS01230
OG0000120	EXC50_RS02730	B5M19_RS01215
OG0000121	EXC50_RS02705	B5M19_RS01190
OG0000122	EXC50_RS02700	B5M19_RS01185
OG0000123	EXC50_RS02680	B5M19_RS01165
OG0000124	EXC50_RS02675	B5M19_RS01160
OG0000125	EXC50_RS02670	B5M19_RS01155
OG0000126	EXC50_RS02660	B5M19_RS01145
OG0000127	EXC50_RS02650	B5M19_RS01135
OG0000128	EXC50_RS02635	B5M19_RS01115
OG0000129	EXC50_RS02630	B5M19_RS01110
OG0000130	EXC50_RS02620	B5M19_RS01100
OG0000131	EXC50_RS02590	B5M19_RS01075
OG0000132	EXC50_RS02575	B5M19_RS01060
OG0000133	EXC50_RS03555	B5M19_RS02380
OG0000134	EXC50_RS03550	B5M19_RS02385
OG0000135	EXC50_RS03535	B5M19_RS02400
OG0000136	EXC50_RS03530	B5M19_RS02405
OG0000137	EXC50_RS03500	B5M19_RS02445
OG0000138	EXC50_RS03465	B5M19_RS03090
OG0000139	EXC50_RS03435	B5M19_RS03070
OG0000140	EXC50_RS03430	B5M19_RS03065
OG0000141	EXC50_RS01775	B5M19_RS01330
OG0000142	EXC50_RS01770	B5M19_RS01335
OG0000143	EXC50_RS01745	B5M19_RS01360
OG0000144	EXC50_RS01735	B5M19_RS01370
OG0000145	EXC50_RS01725	B5M19_RS01380
OG0000146	EXC50_RS01715	B5M19_RS01390
OG0000147	EXC50_RS01710	B5M19_RS01395
OG0000148	EXC50_RS01695	B5M19_RS01410
OG0000149	EXC50_RS01685	B5M19_RS01420
OG0000150	EXC50_RS01670	B5M19_RS04180
OG0000151	EXC50_RS01625	B5M19_RS02540
OG0000152	EXC50_RS01620	B5M19_RS02535
OG0000153	EXC50_RS01615	B5M19_RS02530
OG0000154	EXC50_RS01605	B5M19_RS02520
OG0000155	EXC50_RS01565	B5M19_RS02480
OG0000156	EXC50_RS01555	B5M19_RS00860
OG0000157	EXC50_RS01550	B5M19_RS00865
OG0000158	EXC50_RS04235	B5M19_RS04580
OG0000159	EXC50_RS03825	B5M19_RS02810
OG0000160	EXC50_RS03820	B5M19_RS02815
OG0000161	EXC50_RS03815	B5M19_RS02820
OG0000162	EXC50_RS01290	B5M19_RS02830
OG0000163	EXC50_RS01285	B5M19_RS02835
OG0000164	EXC50_RS00550	B5M19_RS04495
OG0000165	EXC50_RS00885	B5M19_RS00760
OG0000166	EXC50_RS00905	B5M19_RS00785
OG0000167	EXC50_RS00920	B5M19_RS00800
OG0000168	EXC50_RS00925	B5M19_RS00805
OG0000169	EXC50_RS01885	B5M19_RS01450
OG0000170	EXC50_RS01900	B5M19_RS01465
OG0000171	EXC50_RS01910	B5M19_RS01475
OG0000172	EXC50_RS01915	B5M19_RS01480
OG0000173	EXC50_RS01920	B5M19_RS01490
OG0000174	EXC50_RS01925	B5M19_RS01495
OG0000175	EXC50_RS01940	B5M19_RS01510
OG0000176	EXC50_RS01990	B5M19_RS01560
OG0000177	EXC50_RS01995	B5M19_RS01565
OG0000178	EXC50_RS02000	B5M19_RS04200
OG0000179	EXC50_RS02010	B5M19_RS01580
OG0000180	EXC50_RS02015	B5M19_RS01585
OG0000181	EXC50_RS02060	B5M19_RS03045
OG0000182	EXC50_RS02070	B5M19_RS03035
OG0000183	EXC50_RS02105	B5M19_RS03000
OG0000184	EXC50_RS02150	B5M19_RS03105
OG0000185	EXC50_RS02135	B5M19_RS03120
OG0000186	EXC50_RS02565	B5M19_RS03550
OG0000187	EXC50_RS02550	B5M19_RS03535
OG0000188	EXC50_RS02540	B5M19_RS03525
OG0000189	EXC50_RS01150	B5M19_RS03210
OG0000190	EXC50_RS01145	B5M19_RS03215
OG0000191	EXC50_RS01125	B5M19_RS03235
OG0000192	EXC50_RS02870	B5M19_RS03675
OG0000193	EXC50_RS02880	B5M19_RS02360
OG0000194	EXC50_RS03395	B5M19_RS01855
OG0000195	EXC50_RS03390	B5M19_RS01850
OG0000196	EXC50_RS03370	B5M19_RS01830
OG0000197	EXC50_RS03365	B5M19_RS01825
OG0000198	EXC50_RS03350	B5M19_RS01810
OG0000199	EXC50_RS03345	B5M19_RS01805
OG0000200	EXC50_RS03330	B5M19_RS01790
OG0000201	EXC50_RS03320	B5M19_RS01780
OG0000202	EXC50_RS03265	B5M19_RS01725
OG0000203	EXC50_RS03260	B5M19_RS01720
OG0000204	EXC50_RS03255	B5M19_RS01715
OG0000205	EXC50_RS03250	B5M19_RS01710
OG0000206	EXC50_RS03230	B5M19_RS01690
OG0000207	EXC50_RS03215	B5M19_RS01675
OG0000208	EXC50_RS03210	B5M19_RS01670
OG0000209	EXC50_RS03205	B5M19_RS01665
OG0000210	EXC50_RS03160	B5M19_RS01620
OG0000211	EXC50_RS03150	B5M19_RS03415
OG0000212	EXC50_RS03140	B5M19_RS03405
OG0000213	EXC50_RS03135	B5M19_RS03400
OG0000214	EXC50_RS03130	B5M19_RS03395
OG0000215	EXC50_RS03125	B5M19_RS03390
OG0000216	EXC50_RS03120	B5M19_RS03385
OG0000217	EXC50_RS03115	B5M19_RS03380
OG0000218	EXC50_RS03105	B5M19_RS03370
OG0000219	EXC50_RS03100	B5M19_RS03365
OG0000220	EXC50_RS03095	B5M19_RS03360
OG0000221	EXC50_RS03090	B5M19_RS03355
OG0000222	EXC50_RS03085	B5M19_RS03350
OG0000223	EXC50_RS03080	B5M19_RS03345
OG0000224	EXC50_RS03070	B5M19_RS03130
OG0000225	EXC50_RS03060	B5M19_RS03140
OG0000226	EXC50_RS03055	B5M19_RS03145
OG0000227	EXC50_RS03050	B5M19_RS03150
OG0000228	EXC50_RS03045	B5M19_RS04630
OG0000229	EXC50_RS03040	B5M19_RS03160
OG0000230	EXC50_RS03035	B5M19_RS03165
OG0000231	EXC50_RS03025	B5M19_RS03175
OG0000232	EXC50_RS03015	B5M19_RS03185
OG0000233	EXC50_RS02995	B5M19_RS02225
OG0000234	EXC50_RS02960	B5M19_RS04335
OG0000235	EXC50_RS02950	B5M19_RS02175
OG0000236	EXC50_RS02945	B5M19_RS02170
OG0000237	EXC50_RS02940	B5M19_RS02165
OG0000238	EXC50_RS02930	B5M19_RS02155
OG0000239	EXC50_RS01785	B5M19_RS01315
OG0000240	EXC50_RS01790	B5M19_RS01310
OG0000241	EXC50_RS01800	B5M19_RS01300
OG0000242	EXC50_RS01805	B5M19_RS04160
OG0000243	EXC50_RS01810	B5M19_RS01290
OG0000244	EXC50_RS01820	B5M19_RS01280
OG0000245	EXC50_RS01830	B5M19_RS01270
OG0000246	EXC50_RS00140	B5M19_RS00050
OG0000247	EXC50_RS00150	B5M19_RS00060
OG0000248	EXC50_RS00160	B5M19_RS00070
OG0000249	EXC50_RS00165	B5M19_RS00075
OG0000250	EXC50_RS00180	B5M19_RS03880
OG0000251	EXC50_RS00215	B5M19_RS00125
OG0000252	EXC50_RS00225	B5M19_RS00135
OG0000253	EXC50_RS00230	B5M19_RS00140
OG0000254	EXC50_RS00240	B5M19_RS00150
OG0000255	EXC50_RS00250	B5M19_RS00160
OG0000256	EXC50_RS00255	B5M19_RS00165
OG0000257	EXC50_RS00280	B5M19_RS00190
OG0000258	EXC50_RS00290	B5M19_RS04020
OG0000259	EXC50_RS00320	B5M19_RS00230
OG0000260	EXC50_RS00330	B5M19_RS00240
OG0000261	EXC50_RS00340	B5M19_RS00250
OG0000262	EXC50_RS00360	B5M19_RS00270
OG0000263	EXC50_RS00375	B5M19_RS00285
OG0000264	EXC50_RS00390	B5M19_RS04030
OG0000265	EXC50_RS00400	B5M19_RS00315
OG0000266	EXC50_RS00420	B5M19_RS00335
OG0000267	EXC50_RS00435	B5M19_RS04035
OG0000268	EXC50_RS03665	B5M19_RS00355
OG0000269	EXC50_RS03650	B5M19_RS03680
OG0000270	EXC50_RS02335	B5M19_RS00415
OG0000271	EXC50_RS02330	B5M19_RS00420
OG0000272	EXC50_RS02325	B5M19_RS00425
OG0000273	EXC50_RS02320	B5M19_RS00430
OG0000274	EXC50_RS02300	B5M19_RS00450
OG0000275	EXC50_RS02295	B5M19_RS00455
OG0000276	EXC50_RS02290	B5M19_RS00460
OG0000277	EXC50_RS02280	B5M19_RS00470
OG0000278	EXC50_RS02275	B5M19_RS00475
OG0000279	EXC50_RS02265	B5M19_RS00485
OG0000280	EXC50_RS02260	B5M19_RS00490
OG0000281	EXC50_RS02255	B5M19_RS00495
OG0000282	EXC50_RS02230	B5M19_RS00520
OG0000283	EXC50_RS02225	B5M19_RS00525
OG0000284	EXC50_RS02220	B5M19_RS00530
OG0000285	EXC50_RS02215	B5M19_RS00535
OG0000286	EXC50_RS01270	B5M19_RS02850
OG0000287	EXC50_RS01365	B5M19_RS01050
OG0000288	EXC50_RS01375	B5M19_RS01040
OG0000289	EXC50_RS01380	B5M19_RS01035
OG0000290	EXC50_RS01490	B5M19_RS04120
OG0000291	EXC50_RS01480	B5M19_RS00935
OG0000292	EXC50_RS01475	B5M19_RS00940
OG0000293	EXC50_RS01470	B5M19_RS00945
OG0000294	EXC50_RS01460	B5M19_RS00955
OG0000295	EXC50_RS01455	B5M19_RS00960
OG0000296	EXC50_RS01415	B5M19_RS01000
OG0000297	EXC50_RS01410	B5M19_RS01005
OG0000298	EXC50_RS00175	B5M19_RS00085
OG0000299	EXC50_RS00200	B5M19_RS00110
OG0000300	EXC50_RS00385	B5M19_RS00300
OG0000301	EXC50_RS00425	B5M19_RS00340
OG0000302	EXC50_RS00430	B5M19_RS00345
OG0000303	EXC50_RS03525	B5M19_RS02410
OG0000304	EXC50_RS03010	B5M19_RS03190
OG0000305	EXC50_RS01720	B5M19_RS01385
OG0000306	EXC50_RS01645	B5M19_RS02560
OG0000307	EXC50_RS01610	B5M19_RS02525
OG0000308	EXC50_RS01510	B5M19_RS00905
OG0000309	EXC50_RS01445	B5M19_RS00970
OG0000310	EXC50_RS01370	B5M19_RS01045
OG0000311	EXC50_RS01330	B5M19_RS02790
OG0000312	EXC50_RS01315	B5M19_RS02805
OG0000313	EXC50_RS00540	B5M19_RS03300
OG0000314	EXC50_RS00900	B5M19_RS00780
OG0000315	EXC50_RS00930	B5M19_RS00810
OG0000316	EXC50_RS00940	B5M19_RS00820
OG0000317	EXC50_RS01030	B5M19_RS02720
OG0000318	EXC50_RS00945	B5M19_RS00825
OG0000319	EXC50_RS01080	B5M19_RS02945
OG0000320	EXC50_RS01215	B5M19_RS04425
OG0000321	EXC50_RS02755	B5M19_RS01240
OG0000322	EXC50_RS02710	B5M19_RS01195
OG0000323	EXC50_RS02580	B5M19_RS01065
OG0000324	EXC50_RS01120	B5M19_RS03240
OG0000325	EXC50_RS03385	B5M19_RS01845
OG0000326	EXC50_RS03290	B5M19_RS01750
OG0000327	EXC50_RS03285	B5M19_RS01745
OG0000328	EXC50_RS03200	B5M19_RS01660
OG0000329	EXC50_RS03180	B5M19_RS01640
OG0000330	EXC50_RS02985	B5M19_RS02210
OG0000331	EXC50_RS01815	B5M19_RS01285
OG0000332	EXC50_RS01950	B5M19_RS01520
OG0000333	EXC50_RS01960	B5M19_RS01530
OG0000334	EXC50_RS02065	B5M19_RS03040
OG0000335	EXC50_RS02075	B5M19_RS03030
OG0000336	EXC50_RS02245	B5M19_RS00505
OG0000337	EXC50_RS02415	B5M19_RS01985
OG0000338	EXC50_RS02455	B5M19_RS01940
OG0000339	EXC50_RS01185	B5M19_RS03615
OG0000340	EXC50_RS02775	B5M19_RS02565
OG0000341	EXC50_RS01140	B5M19_RS03220
OG0000342	EXC50_RS03355	B5M19_RS01815
OG0000343	EXC50_RS01970	B5M19_RS04195
OG0000344	EXC50_RS03510	B5M19_RS02425
OG0000345	EXC50_RS03065	B5M19_RS03135
OG0000346	EXC50_RS02250	B5M19_RS04590
OG0000347	EXC50_RS02685	B5M19_RS01170
OG0000348	EXC50_RS03280	B5M19_RS01740
OG0000349	EXC50_RS02310	B5M19_RS00440
OG0000350	EXC50_RS01600	B5M19_RS02515
OG0000351	EXC50_RS03590	B5M19_RS03490
OG0000352	EXC50_RS00880	B5M19_RS00755
OG0000353	EXC50_RS02715	B5M19_RS01200
OG0000354	EXC50_RS03450	B5M19_RS03080
OG0000355	EXC50_RS00850	B5M19_RS00725
OG0000356	EXC50_RS00935	B5M19_RS00815
OG0000357	EXC50_RS01930	B5M19_RS01500
OG0000358	EXC50_RS01935	B5M19_RS01505
OG0000359	EXC50_RS03310	B5M19_RS01770
OG0000360	EXC50_RS00285	B5M19_RS00195
OG0000361	EXC50_RS00315	B5M19_RS00225
OG0000362	EXC50_RS01390	B5M19_RS01025
OG0000363	EXC50_RS02645	B5M19_RS01125
OG0000364	EXC50_RS03915, EXC50_RS03920	B5M19_RS00700
OG0000365	EXC50_RS00975	B5M19_RS02775
OG0000366	EXC50_RS01000	B5M19_RS02750
OG0000367	EXC50_RS01010	B5M19_RS02740
OG0000368	EXC50_RS00060	B5M19_RS04270
OG0000369	EXC50_RS00025	B5M19_RS01910
OG0000370	EXC50_RS00020	B5M19_RS01915
OG0000371	EXC50_RS00015	B5M19_RS01920
OG0000372	EXC50_RS00010	B5M19_RS01925
OG0000373	EXC50_RS02445	B5M19_RS01950
OG0000374	EXC50_RS02435	B5M19_RS01960
OG0000375	EXC50_RS01075	B5M19_RS02950
OG0000376	EXC50_RS01230	B5M19_RS02670
OG0000377	EXC50_RS01220	B5M19_RS02680
OG0000378	EXC50_RS02795	B5M19_RS02585
OG0000379	EXC50_RS02720	B5M19_RS01205
OG0000380	EXC50_RS02695	B5M19_RS01180
OG0000381	EXC50_RS02655	B5M19_RS01140
OG0000382	EXC50_RS02625	B5M19_RS01105
OG0000383	EXC50_RS02585	B5M19_RS01070
OG0000384	EXC50_RS03570	B5M19_RS02365
OG0000385	EXC50_RS03565	B5M19_RS02370
OG0000386	EXC50_RS03545	B5M19_RS02390
OG0000387	EXC50_RS03520	B5M19_RS02415
OG0000388	EXC50_RS03515	B5M19_RS02420
OG0000389	EXC50_RS03470	B5M19_RS03095
OG0000390	EXC50_RS01740	B5M19_RS01365
OG0000391	EXC50_RS01730	B5M19_RS01375
OG0000392	EXC50_RS01705	B5M19_RS01400
OG0000393	EXC50_RS01650	B5M19_RS03515
OG0000394	EXC50_RS01575	B5M19_RS02490
OG0000395	EXC50_RS01570	B5M19_RS02485
OG0000396	EXC50_RS01275	B5M19_RS02845
OG0000397	EXC50_RS00865	B5M19_RS00740
OG0000398	EXC50_RS00870	B5M19_RS00745
OG0000399	EXC50_RS00915	B5M19_RS00795
OG0000400	EXC50_RS01895	B5M19_RS01460
OG0000401	EXC50_RS01955	B5M19_RS01525
OG0000402	EXC50_RS01965	B5M19_RS01535
OG0000404	EXC50_RS02005	B5M19_RS04205
OG0000405	EXC50_RS02020	B5M19_RS01590
OG0000406	EXC50_RS02080	B5M19_RS03025
OG0000407	EXC50_RS02085	B5M19_RS03020
OG0000408	EXC50_RS02090	B5M19_RS03015
OG0000409	EXC50_RS02095	B5M19_RS03010
OG0000410	EXC50_RS02155	B5M19_RS03100
OG0000411	EXC50_RS02145	B5M19_RS03110
OG0000412	EXC50_RS02140	B5M19_RS03115
OG0000413	EXC50_RS02570	B5M19_RS03555
OG0000414	EXC50_RS02560	B5M19_RS03545
OG0000415	EXC50_RS02555	B5M19_RS03540
OG0000416	EXC50_RS02545	B5M19_RS03530
OG0000417	EXC50_RS01135	B5M19_RS03225
OG0000418	EXC50_RS01130	B5M19_RS03230
OG0000419	EXC50_RS03375	B5M19_RS01835
OG0000420	EXC50_RS03340	B5M19_RS01800
OG0000421	EXC50_RS03305	B5M19_RS01765
OG0000422	EXC50_RS03295	B5M19_RS01755
OG0000423	EXC50_RS03240	B5M19_RS01700
OG0000424	EXC50_RS03235	B5M19_RS01695
OG0000425	EXC50_RS03225	B5M19_RS01685
OG0000426	EXC50_RS03220	B5M19_RS01680
OG0000427	EXC50_RS03195	B5M19_RS01655
OG0000428	EXC50_RS03170	B5M19_RS01630
OG0000430	EXC50_RS03030	B5M19_RS03170
OG0000431	EXC50_RS03020	B5M19_RS03180
OG0000432	EXC50_RS02990	B5M19_RS04345
OG0000433	EXC50_RS02975	B5M19_RS02200
OG0000434	EXC50_RS02970	B5M19_RS02195
OG0000435	EXC50_RS02955	B5M19_RS02180
OG0000436	EXC50_RS02925	B5M19_RS02150
OG0000437	EXC50_RS02915	B5M19_RS02140
OG0000438	EXC50_RS02910	B5M19_RS02135
OG0000439	EXC50_RS02905	B5M19_RS02130
OG0000440	EXC50_RS01795	B5M19_RS04165
OG0000441	EXC50_RS01835	B5M19_RS01265
OG0000442	EXC50_RS00145	B5M19_RS00055
OG0000443	EXC50_RS00195	B5M19_RS00105
OG0000444	EXC50_RS00210	B5M19_RS00120
OG0000445	EXC50_RS00235	B5M19_RS00145
OG0000446	EXC50_RS00265	B5M19_RS00175
OG0000447	EXC50_RS00270	B5M19_RS00180
OG0000448	EXC50_RS00300	B5M19_RS00210
OG0000449	EXC50_RS00325	B5M19_RS00235
OG0000450	EXC50_RS00335	B5M19_RS00245
OG0000451	EXC50_RS00380	B5M19_RS00295
OG0000452	EXC50_RS00410	B5M19_RS00330
OG0000453	EXC50_RS03660	B5M19_RS04040
OG0000454	EXC50_RS03725, EXC50_RS03855, EXC50_RS03675	B5M19_RS03255
OG0000455	EXC50_RS02355	B5M19_RS00395
OG0000456	EXC50_RS02235	B5M19_RS00515
OG0000457	EXC50_RS02210	B5M19_RS00540
OG0000458	EXC50_RS01360	B5M19_RS01055
OG0000459	EXC50_RS01385	B5M19_RS01030
OG0000460	EXC50_RS01395	B5M19_RS01020
OG0000461	EXC50_RS01440	B5M19_RS04125
OG0000462	EXC50_RS01435	B5M19_RS00980
OG0000463	EXC50_RS01430	B5M19_RS04130
OG0000464	EXC50_RS01425	B5M19_RS00990
OG0000465	EXC50_RS01420	B5M19_RS00995
OG0000467	EXC50_RS01520	B5M19_RS00895
OG0000468	EXC50_RS00910	B5M19_RS00790
OG0000469	EXC50_RS00970	B5M19_RS00850
OG0000470	EXC50_RS03950	B5M19_RS03910
OG0000471	EXC50_RS03165	B5M19_RS01625
OG0000472	EXC50_RS02165	B5M19_RS00580
OG0000473	EXC50_RS02340	B5M19_RS00410
OG0000474	EXC50_RS02345	B5M19_RS00405
OG0000475	EXC50_RS02350	B5M19_RS00400
OG0000476	EXC50_RS02535	B5M19_RS03280
OG0000477	EXC50_RS01465	B5M19_RS00950
OG0000478	EXC50_RS02285	B5M19_RS00465
OG0000479	EXC50_RS02760	B5M19_RS04145
OG0000480	EXC50_RS03895	B5M19_RS03895
OG0000481	EXC50_RS03270	B5M19_RS01730
OG0000482	EXC50_RS02875	B5M19_RS03730
OG0000483	EXC50_RS01015	B5M19_RS02735
OG0000484	EXC50_RS00205	B5M19_RS00115
OG0000485	EXC50_RS02920	B5M19_RS02145
OG0000486	EXC50_RS01155	B5M19_RS03205
OG0000487	EXC50_RS00950	B5M19_RS00830
OG0000488	EXC50_RS00985	B5M19_RS02770
OG0000489	EXC50_RS00050	B5M19_RS01885
OG0000490	EXC50_RS02450	B5M19_RS01945
OG0000491	EXC50_RS02740	B5M19_RS01225
OG0000492	EXC50_RS02665	B5M19_RS04140
OG0000493	EXC50_RS03505	B5M19_RS02430
OG0000494	EXC50_RS03445	B5M19_RS03075
OG0000495	EXC50_RS01675	B5M19_RS01430
OG0000497	EXC50_RS01660	B5M19_RS01445
OG0000498	EXC50_RS01580	B5M19_RS02495
OG0000499	EXC50_RS01545	B5M19_RS00870
OG0000500	EXC50_RS00875	B5M19_RS00750
OG0000501	EXC50_RS01905	B5M19_RS01470
OG0000502	EXC50_RS02885	B5M19_RS02350
OG0000503	EXC50_RS03325	B5M19_RS04250
