Orthogroup	MHP_NCTC10127_genes	MHP_ES2L_genes
OG0000057	EXC50_RS01765	HZK19_RS02885
OG0000058	EXC50_RS03810	HZK19_RS03020
OG0000059	EXC50_RS03800	HZK19_RS03030
OG0000059	EXC50_RS02510	HZK19_RS03855
OG0000060	EXC50_RS03960, EXC50_RS04110	HZK19_RS00080
OG0000061	EXC50_RS00525	HZK19_RS01820
OG0000062	EXC50_RS02425	HZK19_RS03630
OG0000063	EXC50_RS02420	HZK19_RS03625
OG0000064	EXC50_RS02410	HZK19_RS03615
OG0000065	EXC50_RS01100	HZK19_RS02220
OG0000066	EXC50_RS02735	HZK19_RS01320
OG0000067	EXC50_RS03560	HZK19_RS00515
OG0000068	EXC50_RS03440	HZK19_RS00635
OG0000069	EXC50_RS01655	HZK19_RS02780
OG0000070	EXC50_RS03840, EXC50_RS01325	HZK19_RS02445
OG0000071	EXC50_RS02110	HZK19_RS03315
OG0000072	EXC50_RS02115	HZK19_RS03320
OG0000073	EXC50_RS03380	HZK19_RS00680
OG0000074	EXC50_RS03185	HZK19_RS00875
OG0000075	EXC50_RS00355	HZK19_RS00325
OG0000076	EXC50_RS00370	HZK19_RS00340
OG0000077	EXC50_RS03640	HZK19_RS00425
OG0000078	EXC50_RS00635	HZK19_RS01645
OG0000079	EXC50_RS01405	HZK19_RS02525
OG0000080	EXC50_RS03930	HZK19_RS02570
OG0000081	EXC50_RS00350	HZK19_RS00320
OG0000082	EXC50_RS01250	HZK19_RS02365
OG0000083	EXC50_RS00965	HZK19_RS01985
OG0000084	EXC50_RS00990	HZK19_RS02015
OG0000085	EXC50_RS00995	HZK19_RS02020
OG0000086	EXC50_RS01005	HZK19_RS02030
OG0000087	EXC50_RS01020	HZK19_RS02045
OG0000088	EXC50_RS01025	HZK19_RS02050
OG0000089	EXC50_RS01035	HZK19_RS02060
OG0000090	EXC50_RS00070	HZK19_RS00070
OG0000091	EXC50_RS00055	HZK19_RS00055
OG0000092	EXC50_RS00040	HZK19_RS00040
OG0000093	EXC50_RS00035	HZK19_RS00035
OG0000094	EXC50_RS00030	HZK19_RS00030
OG0000095	EXC50_RS00005	HZK19_RS00005
OG0000096	EXC50_RS02460	HZK19_RS03665
OG0000097	EXC50_RS02440	HZK19_RS03645
OG0000098	EXC50_RS02430	HZK19_RS03635
OG0000099	EXC50_RS02380	HZK19_RS03585
OG0000100	EXC50_RS02365	HZK19_RS03570
OG0000101	EXC50_RS02360	HZK19_RS03565
OG0000102	EXC50_RS00660	HZK19_RS01675
OG0000103	EXC50_RS01065	HZK19_RS02185
OG0000104	EXC50_RS01070	HZK19_RS02190
OG0000105	EXC50_RS01085	HZK19_RS02205
OG0000106	EXC50_RS01095	HZK19_RS02215
OG0000107	EXC50_RS01105	HZK19_RS02225
OG0000108	EXC50_RS01110	HZK19_RS02230
OG0000109	EXC50_RS01115	HZK19_RS02235
OG0000110	EXC50_RS01240	HZK19_RS02355
OG0000111	EXC50_RS01235	HZK19_RS02350
OG0000112	EXC50_RS01225	HZK19_RS02340
OG0000113	EXC50_RS01205	HZK19_RS02320
OG0000114	EXC50_RS01195	HZK19_RS02310
OG0000115	EXC50_RS01180	HZK19_RS02300
OG0000116	EXC50_RS02790	HZK19_RS01265
OG0000117	EXC50_RS02785	HZK19_RS01270
OG0000118	EXC50_RS02750	HZK19_RS01305
OG0000119	EXC50_RS02745	HZK19_RS01310
OG0000120	EXC50_RS02730	HZK19_RS01325
OG0000121	EXC50_RS02705	HZK19_RS01350
OG0000122	EXC50_RS02700	HZK19_RS01355
OG0000123	EXC50_RS02680	HZK19_RS01375
OG0000124	EXC50_RS02675	HZK19_RS01380
OG0000125	EXC50_RS02670	HZK19_RS01385
OG0000126	EXC50_RS02660	HZK19_RS01395
OG0000127	EXC50_RS02650	HZK19_RS01405
OG0000128	EXC50_RS02635	HZK19_RS01420
OG0000129	EXC50_RS02630	HZK19_RS01425
OG0000130	EXC50_RS02620	HZK19_RS01435
OG0000131	EXC50_RS02590	HZK19_RS01465
OG0000132	EXC50_RS02575	HZK19_RS01480
OG0000133	EXC50_RS03555	HZK19_RS00520
OG0000134	EXC50_RS03550	HZK19_RS00525
OG0000135	EXC50_RS03535	HZK19_RS00540
OG0000136	EXC50_RS03530	HZK19_RS00545
OG0000137	EXC50_RS03500	HZK19_RS00575
OG0000138	EXC50_RS03465	HZK19_RS00610
OG0000139	EXC50_RS03435	HZK19_RS00640
OG0000140	EXC50_RS03430	HZK19_RS00645
OG0000141	EXC50_RS01775	HZK19_RS02895
OG0000142	EXC50_RS01770	HZK19_RS02890
OG0000143	EXC50_RS01745	HZK19_RS02870
OG0000144	EXC50_RS01735	HZK19_RS02860
OG0000145	EXC50_RS01725	HZK19_RS02850
OG0000146	EXC50_RS01715	HZK19_RS02840
OG0000147	EXC50_RS01710	HZK19_RS02835
OG0000148	EXC50_RS01695	HZK19_RS02820
OG0000149	EXC50_RS01685	HZK19_RS02810
OG0000150	EXC50_RS01670	HZK19_RS02795
OG0000151	EXC50_RS01625	HZK19_RS02750
OG0000152	EXC50_RS01620	HZK19_RS02745
OG0000153	EXC50_RS01615	HZK19_RS02740
OG0000154	EXC50_RS01605	HZK19_RS02730
OG0000155	EXC50_RS01565	HZK19_RS02690
OG0000156	EXC50_RS01555	HZK19_RS02680
OG0000157	EXC50_RS01550	HZK19_RS02675
OG0000158	EXC50_RS04235	HZK19_RS03895
OG0000159	EXC50_RS03825	HZK19_RS03970
OG0000160	EXC50_RS03820	HZK19_RS02425
OG0000161	EXC50_RS03815	HZK19_RS02420
OG0000162	EXC50_RS01290	HZK19_RS02410
OG0000163	EXC50_RS01285	HZK19_RS02405
OG0000164	EXC50_RS00550	HZK19_RS01575
OG0000165	EXC50_RS00885	HZK19_RS01905
OG0000166	EXC50_RS00905	HZK19_RS01925
OG0000167	EXC50_RS00920	HZK19_RS01940
OG0000168	EXC50_RS00925	HZK19_RS01945
OG0000169	EXC50_RS01885	HZK19_RS02990
OG0000170	EXC50_RS01900	HZK19_RS03005
OG0000171	EXC50_RS01910	HZK19_RS03110
OG0000172	EXC50_RS01915	HZK19_RS03115
OG0000173	EXC50_RS01920	HZK19_RS03120
OG0000174	EXC50_RS01925	HZK19_RS03125
OG0000175	EXC50_RS01940	HZK19_RS03140
OG0000176	EXC50_RS01990	HZK19_RS03190
OG0000177	EXC50_RS01995	HZK19_RS03195
OG0000178	EXC50_RS02000	HZK19_RS03200
OG0000179	EXC50_RS02010	HZK19_RS03210
OG0000180	EXC50_RS02015	HZK19_RS03215
OG0000181	EXC50_RS02060	HZK19_RS03265
OG0000182	EXC50_RS02070	HZK19_RS03275
OG0000183	EXC50_RS02105	HZK19_RS03310
OG0000184	EXC50_RS02150	HZK19_RS03355
OG0000185	EXC50_RS02135	HZK19_RS03340
OG0000186	EXC50_RS02565	HZK19_RS01490
OG0000187	EXC50_RS02550	HZK19_RS01505
OG0000188	EXC50_RS02540	HZK19_RS01515
OG0000189	EXC50_RS01150	HZK19_RS02270
OG0000190	EXC50_RS01145	HZK19_RS02265
OG0000191	EXC50_RS01125	HZK19_RS02245
OG0000192	EXC50_RS02870	HZK19_RS01180
OG0000193	EXC50_RS02880	HZK19_RS01175
OG0000194	EXC50_RS03395	HZK19_RS00665
OG0000195	EXC50_RS03390	HZK19_RS00670
OG0000196	EXC50_RS03370	HZK19_RS00690
OG0000197	EXC50_RS03365	HZK19_RS00695
OG0000198	EXC50_RS03350	HZK19_RS00710
OG0000199	EXC50_RS03345	HZK19_RS00715
OG0000200	EXC50_RS03330	HZK19_RS00730
OG0000201	EXC50_RS03320	HZK19_RS00740
OG0000202	EXC50_RS03265	HZK19_RS00795
OG0000203	EXC50_RS03260	HZK19_RS00800
OG0000204	EXC50_RS03255	HZK19_RS00805
OG0000205	EXC50_RS03250	HZK19_RS00810
OG0000206	EXC50_RS03230	HZK19_RS00830
OG0000207	EXC50_RS03215	HZK19_RS00845
OG0000208	EXC50_RS03210	HZK19_RS00850
OG0000209	EXC50_RS03205	HZK19_RS00855
OG0000210	EXC50_RS03160	HZK19_RS00900
OG0000211	EXC50_RS03150	HZK19_RS00910
OG0000212	EXC50_RS03140	HZK19_RS00920
OG0000213	EXC50_RS03135	HZK19_RS00925
OG0000214	EXC50_RS03130	HZK19_RS00930
OG0000215	EXC50_RS03125	HZK19_RS00935
OG0000216	EXC50_RS03120	HZK19_RS00940
OG0000217	EXC50_RS03115	HZK19_RS00945
OG0000218	EXC50_RS03105	HZK19_RS00955
OG0000219	EXC50_RS03100	HZK19_RS00960
OG0000220	EXC50_RS03095	HZK19_RS00965
OG0000221	EXC50_RS03090	HZK19_RS00970
OG0000222	EXC50_RS03085	HZK19_RS00975
OG0000223	EXC50_RS03080	HZK19_RS00980
OG0000224	EXC50_RS03070	HZK19_RS00990
OG0000225	EXC50_RS03060	HZK19_RS01000
OG0000226	EXC50_RS03055	HZK19_RS01005
OG0000227	EXC50_RS03050	HZK19_RS01010
OG0000228	EXC50_RS03045	HZK19_RS03950
OG0000229	EXC50_RS03040	HZK19_RS01020
OG0000230	EXC50_RS03035	HZK19_RS01025
OG0000231	EXC50_RS03025	HZK19_RS01035
OG0000232	EXC50_RS03015	HZK19_RS01045
OG0000233	EXC50_RS02995	HZK19_RS01070
OG0000234	EXC50_RS02960	HZK19_RS01105
OG0000235	EXC50_RS02950	HZK19_RS01115
OG0000236	EXC50_RS02945	HZK19_RS01120
OG0000237	EXC50_RS02940	HZK19_RS01125
OG0000238	EXC50_RS02930	HZK19_RS01130
OG0000239	EXC50_RS01785	HZK19_RS02905
OG0000240	EXC50_RS01790	HZK19_RS02910
OG0000241	EXC50_RS01800	HZK19_RS02920
OG0000242	EXC50_RS01805	HZK19_RS02925
OG0000243	EXC50_RS01810	HZK19_RS02930
OG0000244	EXC50_RS01820	HZK19_RS02940
OG0000245	EXC50_RS01830	HZK19_RS02950
OG0000246	EXC50_RS00140	HZK19_RS00125
OG0000247	EXC50_RS00150	HZK19_RS00135
OG0000248	EXC50_RS00160	HZK19_RS00145
OG0000249	EXC50_RS00165	HZK19_RS00150
OG0000250	EXC50_RS00180	HZK19_RS00165
OG0000251	EXC50_RS00215	HZK19_RS00195
OG0000252	EXC50_RS00225	HZK19_RS00205
OG0000253	EXC50_RS00230	HZK19_RS00210
OG0000254	EXC50_RS00240	HZK19_RS00220
OG0000255	EXC50_RS00250	HZK19_RS00225
OG0000256	EXC50_RS00255	HZK19_RS00230
OG0000257	EXC50_RS00280	HZK19_RS00255
OG0000258	EXC50_RS00290	HZK19_RS00265
OG0000259	EXC50_RS00320	HZK19_RS00295
OG0000260	EXC50_RS00330	HZK19_RS00305
OG0000261	EXC50_RS00340	HZK19_RS00315
OG0000262	EXC50_RS00360	HZK19_RS00330
OG0000263	EXC50_RS00375	HZK19_RS00345
OG0000264	EXC50_RS00390	HZK19_RS00360
OG0000265	EXC50_RS00400	HZK19_RS00370
OG0000266	EXC50_RS00420	HZK19_RS00385
OG0000267	EXC50_RS00435	HZK19_RS00400
OG0000268	EXC50_RS03665	HZK19_RS00405
OG0000269	EXC50_RS03650	HZK19_RS00420
OG0000270	EXC50_RS02335	HZK19_RS03540
OG0000271	EXC50_RS02330	HZK19_RS03535
OG0000272	EXC50_RS02325	HZK19_RS03530
OG0000273	EXC50_RS02320	HZK19_RS03525
OG0000274	EXC50_RS02300	HZK19_RS03505
OG0000275	EXC50_RS02295	HZK19_RS03500
OG0000276	EXC50_RS02290	HZK19_RS03495
OG0000277	EXC50_RS02280	HZK19_RS03485
OG0000278	EXC50_RS02275	HZK19_RS03480
OG0000279	EXC50_RS02265	HZK19_RS03470
OG0000280	EXC50_RS02260	HZK19_RS03465
OG0000281	EXC50_RS02255	HZK19_RS03460
OG0000282	EXC50_RS02230	HZK19_RS03435
OG0000283	EXC50_RS02225	HZK19_RS03430
OG0000284	EXC50_RS02220	HZK19_RS03425
OG0000285	EXC50_RS02215	HZK19_RS03420
OG0000286	EXC50_RS01270	HZK19_RS02390
OG0000287	EXC50_RS01365	HZK19_RS02485
OG0000288	EXC50_RS01375	HZK19_RS02495
OG0000289	EXC50_RS01380	HZK19_RS02500
OG0000290	EXC50_RS01490	HZK19_RS02610
OG0000291	EXC50_RS01480	HZK19_RS02600
OG0000292	EXC50_RS01475	HZK19_RS02595
OG0000293	EXC50_RS01470	HZK19_RS02590
OG0000294	EXC50_RS01460	HZK19_RS02580
OG0000295	EXC50_RS01455	HZK19_RS02575
OG0000296	EXC50_RS01415	HZK19_RS02535
OG0000297	EXC50_RS01410	HZK19_RS02530
OG0000298	EXC50_RS00175	HZK19_RS00160
OG0000299	EXC50_RS00200	HZK19_RS00180
OG0000300	EXC50_RS00385	HZK19_RS00355
OG0000301	EXC50_RS00425	HZK19_RS00390
OG0000302	EXC50_RS00430	HZK19_RS00395
OG0000303	EXC50_RS03525	HZK19_RS00550
OG0000304	EXC50_RS03010	HZK19_RS01055
OG0000305	EXC50_RS01720	HZK19_RS02845
OG0000306	EXC50_RS01645	HZK19_RS02770
OG0000307	EXC50_RS01610	HZK19_RS02735
OG0000308	EXC50_RS01510	HZK19_RS02635
OG0000309	EXC50_RS01445	HZK19_RS02565
OG0000310	EXC50_RS01370	HZK19_RS02490
OG0000311	EXC50_RS01330	HZK19_RS02450
OG0000312	EXC50_RS01315	HZK19_RS02435
OG0000313	EXC50_RS00540	HZK19_RS01565
OG0000314	EXC50_RS00900	HZK19_RS01920
OG0000315	EXC50_RS00930	HZK19_RS01950
OG0000316	EXC50_RS00940	HZK19_RS01960
OG0000317	EXC50_RS01030	HZK19_RS02055
OG0000318	EXC50_RS00945	HZK19_RS01965
OG0000319	EXC50_RS01080	HZK19_RS02200
OG0000320	EXC50_RS01215	HZK19_RS02330
OG0000321	EXC50_RS02755	HZK19_RS01300
OG0000322	EXC50_RS02710	HZK19_RS01345
OG0000323	EXC50_RS02580	HZK19_RS01475
OG0000324	EXC50_RS01120	HZK19_RS02240
OG0000325	EXC50_RS03385	HZK19_RS00675
OG0000326	EXC50_RS03290	HZK19_RS00770
OG0000327	EXC50_RS03285	HZK19_RS00775
OG0000328	EXC50_RS03200	HZK19_RS00860
OG0000329	EXC50_RS03180	HZK19_RS00880
OG0000330	EXC50_RS02985	HZK19_RS01080
OG0000331	EXC50_RS01815	HZK19_RS02935
OG0000332	EXC50_RS01950	HZK19_RS03150
OG0000333	EXC50_RS01960	HZK19_RS03160
OG0000334	EXC50_RS02065	HZK19_RS03270
OG0000335	EXC50_RS02075	HZK19_RS03280
OG0000336	EXC50_RS02245	HZK19_RS03450
OG0000337	EXC50_RS02415	HZK19_RS03620
OG0000338	EXC50_RS02455	HZK19_RS03660
OG0000339	EXC50_RS01185	HZK19_RS02305
OG0000340	EXC50_RS02775	HZK19_RS01280
OG0000341	EXC50_RS01140	HZK19_RS02260
OG0000342	EXC50_RS03355	HZK19_RS00705
OG0000343	EXC50_RS01970	HZK19_RS03170
OG0000344	EXC50_RS03510	HZK19_RS00565
OG0000345	EXC50_RS03065	HZK19_RS00995
OG0000346	EXC50_RS02250	HZK19_RS03455
OG0000347	EXC50_RS02685	HZK19_RS01370
OG0000348	EXC50_RS03280	HZK19_RS00780
OG0000349	EXC50_RS02310	HZK19_RS03515
OG0000350	EXC50_RS01600	HZK19_RS02725
OG0000351	EXC50_RS03590	HZK19_RS00480
OG0000352	EXC50_RS00880	HZK19_RS01895
OG0000353	EXC50_RS02715	HZK19_RS01340
OG0000354	EXC50_RS03450	HZK19_RS00625
OG0000355	EXC50_RS00850	HZK19_RS01870
OG0000356	EXC50_RS00935	HZK19_RS01955
OG0000357	EXC50_RS01930	HZK19_RS03130
OG0000358	EXC50_RS01935	HZK19_RS03135
OG0000359	EXC50_RS03310	HZK19_RS00750
OG0000360	EXC50_RS00285	HZK19_RS00260
OG0000361	EXC50_RS00315	HZK19_RS00290
OG0000362	EXC50_RS01390	HZK19_RS02510
OG0000363	EXC50_RS02645	HZK19_RS03730
OG0000364	EXC50_RS03915	HZK19_RS03760
OG0000364	EXC50_RS03920	HZK19_RS01855
OG0000365	EXC50_RS00975	HZK19_RS02000
OG0000366	EXC50_RS01000	HZK19_RS02025
OG0000367	EXC50_RS01010	HZK19_RS02035
OG0000368	EXC50_RS00060	HZK19_RS00060
OG0000369	EXC50_RS00025	HZK19_RS00025
OG0000370	EXC50_RS00020	HZK19_RS00020
OG0000371	EXC50_RS00015	HZK19_RS00015
OG0000372	EXC50_RS00010	HZK19_RS00010
OG0000373	EXC50_RS02445	HZK19_RS03650
OG0000374	EXC50_RS02435	HZK19_RS03640
OG0000375	EXC50_RS01075	HZK19_RS02195
OG0000376	EXC50_RS01230	HZK19_RS02345
OG0000377	EXC50_RS01220	HZK19_RS02335
OG0000378	EXC50_RS02795	HZK19_RS01260
OG0000379	EXC50_RS02720	HZK19_RS01335
OG0000380	EXC50_RS02695	HZK19_RS01360
OG0000381	EXC50_RS02655	HZK19_RS01400
OG0000382	EXC50_RS02625	HZK19_RS01430
OG0000383	EXC50_RS02585	HZK19_RS01470
OG0000384	EXC50_RS03570	HZK19_RS00505
OG0000385	EXC50_RS03565	HZK19_RS00510
OG0000386	EXC50_RS03545	HZK19_RS00530
OG0000387	EXC50_RS03520	HZK19_RS00555
OG0000388	EXC50_RS03515	HZK19_RS00560
OG0000389	EXC50_RS03470	HZK19_RS00605
OG0000390	EXC50_RS01740	HZK19_RS02865
OG0000391	EXC50_RS01730	HZK19_RS02855
OG0000392	EXC50_RS01705	HZK19_RS02830
OG0000393	EXC50_RS01650	HZK19_RS02775
OG0000394	EXC50_RS01575	HZK19_RS02700
OG0000395	EXC50_RS01570	HZK19_RS02695
OG0000396	EXC50_RS01275	HZK19_RS02395
OG0000397	EXC50_RS00865	HZK19_RS01880
OG0000398	EXC50_RS00870	HZK19_RS01885
OG0000399	EXC50_RS00915	HZK19_RS01935
OG0000400	EXC50_RS01895	HZK19_RS03000
OG0000401	EXC50_RS01955	HZK19_RS03155
OG0000402	EXC50_RS01965	HZK19_RS03165
OG0000403	EXC50_RS01975	HZK19_RS03175
OG0000404	EXC50_RS02005	HZK19_RS03205
OG0000405	EXC50_RS02020	HZK19_RS03220
OG0000406	EXC50_RS02080	HZK19_RS03285
OG0000407	EXC50_RS02085	HZK19_RS03290
OG0000408	EXC50_RS02090	HZK19_RS03295
OG0000409	EXC50_RS02095	HZK19_RS03300
OG0000410	EXC50_RS02155	HZK19_RS03360
OG0000411	EXC50_RS02145	HZK19_RS03350
OG0000412	EXC50_RS02140	HZK19_RS03345
OG0000413	EXC50_RS02570	HZK19_RS01485
OG0000414	EXC50_RS02560	HZK19_RS01495
OG0000415	EXC50_RS02555	HZK19_RS01500
OG0000416	EXC50_RS02545	HZK19_RS01510
OG0000417	EXC50_RS01135	HZK19_RS02255
OG0000418	EXC50_RS01130	HZK19_RS02250
OG0000419	EXC50_RS03375	HZK19_RS00685
OG0000420	EXC50_RS03340	HZK19_RS00720
OG0000421	EXC50_RS03305	HZK19_RS00755
OG0000422	EXC50_RS03295	HZK19_RS00765
OG0000423	EXC50_RS03240	HZK19_RS00820
OG0000424	EXC50_RS03235	HZK19_RS00825
OG0000425	EXC50_RS03225	HZK19_RS00835
OG0000426	EXC50_RS03220	HZK19_RS00840
OG0000427	EXC50_RS03195	HZK19_RS00865
OG0000428	EXC50_RS03170	HZK19_RS00890
OG0000429	EXC50_RS03075	HZK19_RS00985
OG0000430	EXC50_RS03030	HZK19_RS01030
OG0000431	EXC50_RS03020	HZK19_RS01040
OG0000432	EXC50_RS02990	HZK19_RS01075
OG0000433	EXC50_RS02975	HZK19_RS01090
OG0000434	EXC50_RS02970	HZK19_RS01095
OG0000435	EXC50_RS02955	HZK19_RS01110
OG0000436	EXC50_RS02925	HZK19_RS01135
OG0000437	EXC50_RS02915	HZK19_RS01145
OG0000438	EXC50_RS02910	HZK19_RS01150
OG0000439	EXC50_RS02905	HZK19_RS01155
OG0000440	EXC50_RS01795	HZK19_RS02915
OG0000441	EXC50_RS01835	HZK19_RS02955
OG0000442	EXC50_RS00145	HZK19_RS00130
OG0000443	EXC50_RS00195	HZK19_RS00175
OG0000444	EXC50_RS00210	HZK19_RS00190
OG0000445	EXC50_RS00235	HZK19_RS00215
OG0000446	EXC50_RS00265	HZK19_RS00240
OG0000447	EXC50_RS00270	HZK19_RS00245
OG0000448	EXC50_RS00300	HZK19_RS00275
OG0000449	EXC50_RS00325	HZK19_RS00300
OG0000450	EXC50_RS00335	HZK19_RS00310
OG0000451	EXC50_RS00380	HZK19_RS00350
OG0000452	EXC50_RS00410	HZK19_RS00375
OG0000453	EXC50_RS03660	HZK19_RS00410
OG0000454	EXC50_RS03725, EXC50_RS03855, EXC50_RS03675	HZK19_RS03100
OG0000455	EXC50_RS02355	HZK19_RS03560
OG0000456	EXC50_RS02235	HZK19_RS03440
OG0000457	EXC50_RS02210	HZK19_RS03415
OG0000458	EXC50_RS01360	HZK19_RS02480
OG0000459	EXC50_RS01385	HZK19_RS02505
OG0000460	EXC50_RS01395	HZK19_RS02520
OG0000461	EXC50_RS01440	HZK19_RS02560
OG0000462	EXC50_RS01435	HZK19_RS02555
OG0000463	EXC50_RS01430	HZK19_RS02550
OG0000465	EXC50_RS01420	HZK19_RS02545
OG0000466	EXC50_RS00415	HZK19_RS00380
OG0000467	EXC50_RS01520	HZK19_RS02645
OG0000468	EXC50_RS00910	HZK19_RS01930
OG0000469	EXC50_RS00970	HZK19_RS01990
OG0000470	EXC50_RS03950	HZK19_RS00815
OG0000471	EXC50_RS03165	HZK19_RS00895
OG0000472	EXC50_RS02165	HZK19_RS03370
OG0000473	EXC50_RS02340	HZK19_RS03545
OG0000474	EXC50_RS02345	HZK19_RS03550
OG0000475	EXC50_RS02350	HZK19_RS03555
OG0000476	EXC50_RS02535	HZK19_RS01520
OG0000477	EXC50_RS01465	HZK19_RS02585
OG0000478	EXC50_RS02285	HZK19_RS03490
OG0000479	EXC50_RS02760	HZK19_RS01295
OG0000480	EXC50_RS03895	HZK19_RS01995
OG0000481	EXC50_RS03270	HZK19_RS00790
OG0000483	EXC50_RS01015	HZK19_RS02040
OG0000484	EXC50_RS00205	HZK19_RS00185
OG0000485	EXC50_RS02920	HZK19_RS01140
OG0000486	EXC50_RS01155	HZK19_RS02275
OG0000487	EXC50_RS00950	HZK19_RS01970
OG0000488	EXC50_RS00985	HZK19_RS02010
OG0000489	EXC50_RS00050	HZK19_RS00050
OG0000490	EXC50_RS02450	HZK19_RS03655
OG0000491	EXC50_RS02740	HZK19_RS01315
OG0000492	EXC50_RS02665	HZK19_RS01390
OG0000493	EXC50_RS03505	HZK19_RS00570
OG0000494	EXC50_RS03445	HZK19_RS00630
OG0000495	EXC50_RS01675	HZK19_RS02800
OG0000496	EXC50_RS01665	HZK19_RS02790
OG0000497	EXC50_RS01660	HZK19_RS02785
OG0000498	EXC50_RS01580	HZK19_RS02705
OG0000499	EXC50_RS01545	HZK19_RS02670
OG0000500	EXC50_RS00875	HZK19_RS01890
