Orthogroup	MHP_NCTC10127_genes	MHP_ES2_genes
OG0000021	EXC50_RS04125	E5E95_RS03845
OG0000021	EXC50_RS03575	E5E95_RS00510
OG0000022	EXC50_RS00615	E5E95_RS01770
OG0000022	EXC50_RS00670	E5E95_RS01825
OG0000023	EXC50_RS00495, EXC50_RS03740	E5E95_RS01720, E5E95_RS04100, E5E95_RS04110, E5E95_RS04105
OG0000024	EXC50_RS01585	E5E95_RS02945
OG0000024	EXC50_RS02815	E5E95_RS01290
OG0000025	EXC50_RS00620	E5E95_RS01775
OG0000025	EXC50_RS00665	E5E95_RS01820
OG0000026	EXC50_RS02725	E5E95_RS01380
OG0000026	EXC50_RS00645	E5E95_RS01800
OG0000027	EXC50_RS02185	E5E95_RS03560
OG0000027	EXC50_RS02200	E5E95_RS03575
OG0000028	EXC50_RS01265	E5E95_RS02625
OG0000029	EXC50_RS03005	E5E95_RS01100
OG0000029	EXC50_RS03475	E5E95_RS00610
OG0000030	EXC50_RS02175	E5E95_RS03550
OG0000030	EXC50_RS02195	E5E95_RS03570
OG0000031	EXC50_RS00545	E5E95_RS01625
OG0000032	EXC50_RS04070	E5E95_RS03565
OG0000035	EXC50_RS02045	E5E95_RS03405
OG0000035	EXC50_RS02025	E5E95_RS03395
OG0000036	EXC50_RS00130	E5E95_RS00120
OG0000037	EXC50_RS03970	E5E95_RS04000
OG0000038	EXC50_RS03585	E5E95_RS00500
OG0000038	EXC50_RS00705	E5E95_RS01865
OG0000039	EXC50_RS03975	E5E95_RS01650
OG0000039	EXC50_RS00560	E5E95_RS01645
OG0000040	EXC50_RS02120	E5E95_RS03495
OG0000041	EXC50_RS03415	E5E95_RS00670
OG0000042	EXC50_RS01780	E5E95_RS03140
OG0000043	EXC50_RS00860	E5E95_RS02030
OG0000044	EXC50_RS04255	E5E95_RS04290
OG0000045	EXC50_RS00570	E5E95_RS01655
OG0000046	EXC50_RS02130	E5E95_RS03505
OG0000047	EXC50_RS00500	E5E95_RS01725
OG0000047	EXC50_RS03955, EXC50_RS03735	E5E95_RS04090
OG0000048	EXC50_RS01040	E5E95_RS02215
OG0000049	EXC50_RS01890	E5E95_RS03260
OG0000050	EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295	E5E95_RS02655
OG0000051	EXC50_RS01500	E5E95_RS02855
OG0000052	EXC50_RS00075	E5E95_RS00075
OG0000053	EXC50_RS02640	E5E95_RS01465
OG0000054	EXC50_RS04250	E5E95_RS02680
OG0000055	EXC50_RS00135	E5E95_RS00125
OG0000056	EXC50_RS02375	E5E95_RS03750
OG0000057	EXC50_RS01765	E5E95_RS03125
OG0000059	EXC50_RS02510	E5E95_RS02510
OG0000060	EXC50_RS04110	E5E95_RS01215
OG0000061	EXC50_RS00525	E5E95_RS01980
OG0000062	EXC50_RS02425	E5E95_RS03805
OG0000063	EXC50_RS02420	E5E95_RS03800
OG0000064	EXC50_RS02410	E5E95_RS03790
OG0000065	EXC50_RS01100	E5E95_RS02365
OG0000066	EXC50_RS02735	E5E95_RS01370
OG0000067	EXC50_RS03560	E5E95_RS00525
OG0000068	EXC50_RS03440	E5E95_RS00645
OG0000069	EXC50_RS01655	E5E95_RS03015
OG0000070	EXC50_RS03840, EXC50_RS01325	E5E95_RS02685
OG0000071	EXC50_RS02110	E5E95_RS03485
OG0000072	EXC50_RS02115	E5E95_RS03490
OG0000073	EXC50_RS03380	E5E95_RS00705
OG0000074	EXC50_RS03185	E5E95_RS00900
OG0000076	EXC50_RS00370	E5E95_RS00355
OG0000077	EXC50_RS03640	E5E95_RS00445
OG0000078	EXC50_RS00635	E5E95_RS01790
OG0000079	EXC50_RS01405	E5E95_RS02760
OG0000080	EXC50_RS03930	E5E95_RS03935
OG0000081	EXC50_RS00350	E5E95_RS00335
OG0000082	EXC50_RS01250	E5E95_RS02605
OG0000083	EXC50_RS00965	E5E95_RS02140
OG0000084	EXC50_RS00990	E5E95_RS02165
OG0000085	EXC50_RS00995	E5E95_RS02170
OG0000086	EXC50_RS01005	E5E95_RS02180
OG0000087	EXC50_RS01020	E5E95_RS02195
OG0000088	EXC50_RS01025	E5E95_RS02200
OG0000089	EXC50_RS01035	E5E95_RS02210
OG0000090	EXC50_RS00070	E5E95_RS00070
OG0000091	EXC50_RS00055	E5E95_RS00055
OG0000092	EXC50_RS00040	E5E95_RS00040
OG0000093	EXC50_RS00035	E5E95_RS00035
OG0000094	EXC50_RS00030	E5E95_RS00030
OG0000095	EXC50_RS00005	E5E95_RS00005
OG0000096	EXC50_RS02460	E5E95_RS03840
OG0000097	EXC50_RS02440	E5E95_RS03820
OG0000098	EXC50_RS02430	E5E95_RS03810
OG0000099	EXC50_RS02380	E5E95_RS03760
OG0000100	EXC50_RS02365	E5E95_RS03740
OG0000101	EXC50_RS02360	E5E95_RS03735
OG0000102	EXC50_RS00660	E5E95_RS01815
OG0000103	EXC50_RS01065	E5E95_RS02330
OG0000104	EXC50_RS01070	E5E95_RS02335
OG0000105	EXC50_RS01085	E5E95_RS02350
OG0000106	EXC50_RS01095	E5E95_RS02360
OG0000107	EXC50_RS01105	E5E95_RS02370
OG0000108	EXC50_RS01110	E5E95_RS02375
OG0000109	EXC50_RS01115	E5E95_RS02380
OG0000110	EXC50_RS01240	E5E95_RS02595
OG0000111	EXC50_RS01235	E5E95_RS02590
OG0000112	EXC50_RS01225	E5E95_RS02580
OG0000113	EXC50_RS01205	E5E95_RS02560
OG0000114	EXC50_RS01195	E5E95_RS04300
OG0000115	EXC50_RS01180	E5E95_RS02535
OG0000116	EXC50_RS02790	E5E95_RS01315
OG0000117	EXC50_RS02785	E5E95_RS01320
OG0000118	EXC50_RS02750	E5E95_RS01355
OG0000119	EXC50_RS02745	E5E95_RS01360
OG0000120	EXC50_RS02730	E5E95_RS01375
OG0000121	EXC50_RS02705	E5E95_RS01400
OG0000122	EXC50_RS02700	E5E95_RS01405
OG0000123	EXC50_RS02680	E5E95_RS01425
OG0000124	EXC50_RS02675	E5E95_RS01430
OG0000125	EXC50_RS02670	E5E95_RS01435
OG0000126	EXC50_RS02660	E5E95_RS01445
OG0000127	EXC50_RS02650	E5E95_RS01455
OG0000128	EXC50_RS02635	E5E95_RS01470
OG0000129	EXC50_RS02630	E5E95_RS01475
OG0000130	EXC50_RS02620	E5E95_RS01485
OG0000131	EXC50_RS02590	E5E95_RS01515
OG0000132	EXC50_RS02575	E5E95_RS01530
OG0000133	EXC50_RS03555	E5E95_RS00530
OG0000134	EXC50_RS03550	E5E95_RS00535
OG0000135	EXC50_RS03535	E5E95_RS00550
OG0000136	EXC50_RS03530	E5E95_RS00555
OG0000137	EXC50_RS03500	E5E95_RS00585
OG0000138	EXC50_RS03465	E5E95_RS00620
OG0000139	EXC50_RS03435	E5E95_RS00650
OG0000140	EXC50_RS03430	E5E95_RS00655
OG0000141	EXC50_RS01775	E5E95_RS03135
OG0000142	EXC50_RS01770	E5E95_RS03130
OG0000143	EXC50_RS01745	E5E95_RS03105
OG0000144	EXC50_RS01735	E5E95_RS03095
OG0000145	EXC50_RS01725	E5E95_RS03085
OG0000146	EXC50_RS01715	E5E95_RS03075
OG0000147	EXC50_RS01710	E5E95_RS03070
OG0000148	EXC50_RS01695	E5E95_RS03055
OG0000149	EXC50_RS01685	E5E95_RS03045
OG0000150	EXC50_RS01670	E5E95_RS03030
OG0000151	EXC50_RS01625	E5E95_RS02985
OG0000152	EXC50_RS01620	E5E95_RS02980
OG0000153	EXC50_RS01615	E5E95_RS02975
OG0000154	EXC50_RS01605	E5E95_RS02965
OG0000155	EXC50_RS01565	E5E95_RS02925
OG0000156	EXC50_RS01555	E5E95_RS02915
OG0000157	EXC50_RS01550	E5E95_RS02910
OG0000158	EXC50_RS04235	E5E95_RS02905
OG0000159	EXC50_RS03825	E5E95_RS04310
OG0000160	EXC50_RS03820	E5E95_RS02665
OG0000161	EXC50_RS03815	E5E95_RS02660
OG0000162	EXC50_RS01290	E5E95_RS02650
OG0000163	EXC50_RS01285	E5E95_RS02645
OG0000164	EXC50_RS00550	E5E95_RS01630
OG0000165	EXC50_RS00885	E5E95_RS02055
OG0000166	EXC50_RS00905	E5E95_RS02080
OG0000167	EXC50_RS00920	E5E95_RS02095
OG0000168	EXC50_RS00925	E5E95_RS02100
OG0000169	EXC50_RS01885	E5E95_RS03255
OG0000170	EXC50_RS01900	E5E95_RS03270
OG0000171	EXC50_RS01910	E5E95_RS03280
OG0000172	EXC50_RS01915	E5E95_RS03285
OG0000173	EXC50_RS01920	E5E95_RS03290
OG0000174	EXC50_RS01925	E5E95_RS03295
OG0000175	EXC50_RS01940	E5E95_RS03310
OG0000176	EXC50_RS01990	E5E95_RS03360
OG0000177	EXC50_RS01995	E5E95_RS03365
OG0000178	EXC50_RS02000	E5E95_RS03370
OG0000179	EXC50_RS02010	E5E95_RS03380
OG0000180	EXC50_RS02015	E5E95_RS03385
OG0000181	EXC50_RS02060	E5E95_RS03435
OG0000182	EXC50_RS02070	E5E95_RS03445
OG0000183	EXC50_RS02105	E5E95_RS03480
OG0000184	EXC50_RS02150	E5E95_RS03525
OG0000185	EXC50_RS02135	E5E95_RS03510
OG0000186	EXC50_RS02565	E5E95_RS01540
OG0000187	EXC50_RS02550	E5E95_RS01555
OG0000188	EXC50_RS02540	E5E95_RS01565
OG0000189	EXC50_RS01150	E5E95_RS02415
OG0000190	EXC50_RS01145	E5E95_RS02410
OG0000191	EXC50_RS01125	E5E95_RS02390
OG0000192	EXC50_RS02870	E5E95_RS01235
OG0000193	EXC50_RS02880	E5E95_RS01225
OG0000194	EXC50_RS03395	E5E95_RS00690
OG0000195	EXC50_RS03390	E5E95_RS00695
OG0000196	EXC50_RS03370	E5E95_RS00715
OG0000197	EXC50_RS03365	E5E95_RS00720
OG0000198	EXC50_RS03350	E5E95_RS00735
OG0000199	EXC50_RS03345	E5E95_RS00740
OG0000200	EXC50_RS03330	E5E95_RS00755
OG0000201	EXC50_RS03320	E5E95_RS00765
OG0000202	EXC50_RS03265	E5E95_RS00820
OG0000203	EXC50_RS03260	E5E95_RS00825
OG0000204	EXC50_RS03255	E5E95_RS00830
OG0000205	EXC50_RS03250	E5E95_RS00835
OG0000206	EXC50_RS03230	E5E95_RS00855
OG0000207	EXC50_RS03215	E5E95_RS00870
OG0000208	EXC50_RS03210	E5E95_RS00875
OG0000209	EXC50_RS03205	E5E95_RS00880
OG0000210	EXC50_RS03160	E5E95_RS00925
OG0000211	EXC50_RS03150	E5E95_RS00955
OG0000212	EXC50_RS03140	E5E95_RS00965
OG0000213	EXC50_RS03135	E5E95_RS00970
OG0000214	EXC50_RS03130	E5E95_RS00975
OG0000215	EXC50_RS03125	E5E95_RS00980
OG0000216	EXC50_RS03120	E5E95_RS00985
OG0000217	EXC50_RS03115	E5E95_RS00995
OG0000218	EXC50_RS03105	E5E95_RS01000
OG0000219	EXC50_RS03100	E5E95_RS01005
OG0000220	EXC50_RS03095	E5E95_RS01010
OG0000221	EXC50_RS03090	E5E95_RS01015
OG0000222	EXC50_RS03085	E5E95_RS01020
OG0000223	EXC50_RS03080	E5E95_RS01025
OG0000224	EXC50_RS03070	E5E95_RS01035
OG0000225	EXC50_RS03060	E5E95_RS01045
OG0000226	EXC50_RS03055	E5E95_RS01050
OG0000227	EXC50_RS03050	E5E95_RS01055
OG0000228	EXC50_RS03045	E5E95_RS04285
OG0000229	EXC50_RS03040	E5E95_RS01065
OG0000230	EXC50_RS03035	E5E95_RS01070
OG0000231	EXC50_RS03025	E5E95_RS01080
OG0000232	EXC50_RS03015	E5E95_RS01090
OG0000233	EXC50_RS02995	E5E95_RS01110
OG0000234	EXC50_RS02960	E5E95_RS01145
OG0000235	EXC50_RS02950	E5E95_RS01155
OG0000236	EXC50_RS02945	E5E95_RS01160
OG0000237	EXC50_RS02940	E5E95_RS01165
OG0000238	EXC50_RS02930	E5E95_RS01175
OG0000239	EXC50_RS01785	E5E95_RS03145
OG0000240	EXC50_RS01790	E5E95_RS03150
OG0000241	EXC50_RS01800	E5E95_RS03160
OG0000242	EXC50_RS01805	E5E95_RS03165
OG0000243	EXC50_RS01810	E5E95_RS03170
OG0000244	EXC50_RS01820	E5E95_RS03180
OG0000245	EXC50_RS01830	E5E95_RS03190
OG0000246	EXC50_RS00140	E5E95_RS00130
OG0000247	EXC50_RS00150	E5E95_RS00140
OG0000248	EXC50_RS00160	E5E95_RS00150
OG0000249	EXC50_RS00165	E5E95_RS00155
OG0000250	EXC50_RS00180	E5E95_RS00170
OG0000251	EXC50_RS00215	E5E95_RS00205
OG0000252	EXC50_RS00225	E5E95_RS00215
OG0000253	EXC50_RS00230	E5E95_RS00220
OG0000254	EXC50_RS00240	E5E95_RS00230
OG0000255	EXC50_RS00250	E5E95_RS00240
OG0000256	EXC50_RS00255	E5E95_RS00245
OG0000257	EXC50_RS00280	E5E95_RS00270
OG0000258	EXC50_RS00290	E5E95_RS00280
OG0000259	EXC50_RS00320	E5E95_RS00310
OG0000260	EXC50_RS00330	E5E95_RS00320
OG0000261	EXC50_RS00340	E5E95_RS00330
OG0000262	EXC50_RS00360	E5E95_RS00350
OG0000263	EXC50_RS00375	E5E95_RS00360
OG0000264	EXC50_RS00390	E5E95_RS00375
OG0000265	EXC50_RS00400	E5E95_RS00385
OG0000266	EXC50_RS00420	E5E95_RS00400
OG0000267	EXC50_RS00435	E5E95_RS00415
OG0000268	EXC50_RS03665	E5E95_RS00420
OG0000269	EXC50_RS03650	E5E95_RS00435
OG0000270	EXC50_RS02335	E5E95_RS03710
OG0000271	EXC50_RS02330	E5E95_RS03705
OG0000272	EXC50_RS02325	E5E95_RS03700
OG0000273	EXC50_RS02320	E5E95_RS03695
OG0000274	EXC50_RS02300	E5E95_RS03675
OG0000275	EXC50_RS02295	E5E95_RS03670
OG0000276	EXC50_RS02290	E5E95_RS03665
OG0000277	EXC50_RS02280	E5E95_RS03655
OG0000278	EXC50_RS02275	E5E95_RS03650
OG0000279	EXC50_RS02265	E5E95_RS03640
OG0000280	EXC50_RS02260	E5E95_RS03635
OG0000281	EXC50_RS02255	E5E95_RS03630
OG0000282	EXC50_RS02230	E5E95_RS03605
OG0000283	EXC50_RS02225	E5E95_RS03600
OG0000284	EXC50_RS02220	E5E95_RS03595
OG0000285	EXC50_RS02215	E5E95_RS03590
OG0000286	EXC50_RS01270	E5E95_RS04305
OG0000287	EXC50_RS01365	E5E95_RS02720
OG0000288	EXC50_RS01375	E5E95_RS02730
OG0000289	EXC50_RS01380	E5E95_RS02735
OG0000290	EXC50_RS01490	E5E95_RS02845
OG0000291	EXC50_RS01480	E5E95_RS02835
OG0000292	EXC50_RS01475	E5E95_RS02830
OG0000293	EXC50_RS01470	E5E95_RS02825
OG0000294	EXC50_RS01460	E5E95_RS02815
OG0000295	EXC50_RS01455	E5E95_RS02810
OG0000296	EXC50_RS01415	E5E95_RS02770
OG0000297	EXC50_RS01410	E5E95_RS02765
OG0000298	EXC50_RS00175	E5E95_RS00165
OG0000299	EXC50_RS00200	E5E95_RS00190
OG0000300	EXC50_RS00385	E5E95_RS00370
OG0000301	EXC50_RS00425	E5E95_RS00405
OG0000302	EXC50_RS00430	E5E95_RS00410
OG0000303	EXC50_RS03525	E5E95_RS00560
OG0000304	EXC50_RS03010	E5E95_RS01095
OG0000305	EXC50_RS01720	E5E95_RS03080
OG0000306	EXC50_RS01645	E5E95_RS03005
OG0000307	EXC50_RS01610	E5E95_RS02970
OG0000308	EXC50_RS01510	E5E95_RS02875
OG0000309	EXC50_RS01445	E5E95_RS02800
OG0000310	EXC50_RS01370	E5E95_RS02725
OG0000311	EXC50_RS01330	E5E95_RS02690
OG0000312	EXC50_RS01315	E5E95_RS02675
OG0000313	EXC50_RS00540	E5E95_RS01620
OG0000314	EXC50_RS00900	E5E95_RS02075
OG0000315	EXC50_RS00930	E5E95_RS02105
OG0000316	EXC50_RS00940	E5E95_RS02115
OG0000317	EXC50_RS01030	E5E95_RS02205
OG0000318	EXC50_RS00945	E5E95_RS02120
OG0000319	EXC50_RS01080	E5E95_RS02345
OG0000320	EXC50_RS01215	E5E95_RS02570
OG0000321	EXC50_RS02755	E5E95_RS01350
OG0000322	EXC50_RS02710	E5E95_RS01395
OG0000323	EXC50_RS02580	E5E95_RS01525
OG0000324	EXC50_RS01120	E5E95_RS02385
OG0000325	EXC50_RS03385	E5E95_RS00700
OG0000326	EXC50_RS03290	E5E95_RS00795
OG0000327	EXC50_RS03285	E5E95_RS00800
OG0000328	EXC50_RS03200	E5E95_RS00885
OG0000329	EXC50_RS03180	E5E95_RS00905
OG0000330	EXC50_RS02985	E5E95_RS01120
OG0000331	EXC50_RS01815	E5E95_RS03175
OG0000332	EXC50_RS01950	E5E95_RS03320
OG0000333	EXC50_RS01960	E5E95_RS03330
OG0000334	EXC50_RS02065	E5E95_RS03440
OG0000335	EXC50_RS02075	E5E95_RS03450
OG0000336	EXC50_RS02245	E5E95_RS03620
OG0000337	EXC50_RS02415	E5E95_RS03795
OG0000338	EXC50_RS02455	E5E95_RS03835
OG0000339	EXC50_RS01185	E5E95_RS02540
OG0000340	EXC50_RS02775	E5E95_RS01330
OG0000341	EXC50_RS01140	E5E95_RS02405
OG0000342	EXC50_RS03355	E5E95_RS00730
OG0000343	EXC50_RS01970	E5E95_RS03340
OG0000344	EXC50_RS03510	E5E95_RS00575
OG0000345	EXC50_RS03065	E5E95_RS01040
OG0000346	EXC50_RS02250	E5E95_RS03625
OG0000347	EXC50_RS02685	E5E95_RS01420
OG0000348	EXC50_RS03280	E5E95_RS00805
OG0000349	EXC50_RS02310	E5E95_RS03685
OG0000350	EXC50_RS01600	E5E95_RS02960
OG0000351	EXC50_RS03590	E5E95_RS00495
OG0000352	EXC50_RS00880	E5E95_RS02050
OG0000353	EXC50_RS02715	E5E95_RS01390
OG0000354	EXC50_RS03450	E5E95_RS00635
OG0000355	EXC50_RS00850	E5E95_RS02020
OG0000356	EXC50_RS00935	E5E95_RS02110
OG0000357	EXC50_RS01930	E5E95_RS03300
OG0000358	EXC50_RS01935	E5E95_RS03305
OG0000359	EXC50_RS03310	E5E95_RS00775
OG0000360	EXC50_RS00285	E5E95_RS00275
OG0000361	EXC50_RS00315	E5E95_RS00305
OG0000362	EXC50_RS01390	E5E95_RS02745
OG0000363	EXC50_RS02645	E5E95_RS03985
OG0000364	EXC50_RS03915, EXC50_RS03920	E5E95_RS01995
OG0000365	EXC50_RS00975	E5E95_RS02150
OG0000366	EXC50_RS01000	E5E95_RS02175
OG0000367	EXC50_RS01010	E5E95_RS02185
OG0000368	EXC50_RS00060	E5E95_RS00060
OG0000369	EXC50_RS00025	E5E95_RS00025
OG0000370	EXC50_RS00020	E5E95_RS00020
OG0000371	EXC50_RS00015	E5E95_RS00015
OG0000372	EXC50_RS00010	E5E95_RS00010
OG0000373	EXC50_RS02445	E5E95_RS03825
OG0000374	EXC50_RS02435	E5E95_RS03815
OG0000375	EXC50_RS01075	E5E95_RS02340
OG0000376	EXC50_RS01230	E5E95_RS02585
OG0000377	EXC50_RS01220	E5E95_RS02575
OG0000378	EXC50_RS02795	E5E95_RS01310
OG0000379	EXC50_RS02720	E5E95_RS01385
OG0000380	EXC50_RS02695	E5E95_RS01410
OG0000381	EXC50_RS02655	E5E95_RS01450
OG0000382	EXC50_RS02625	E5E95_RS01480
OG0000383	EXC50_RS02585	E5E95_RS01520
OG0000384	EXC50_RS03570	E5E95_RS00515
OG0000385	EXC50_RS03565	E5E95_RS00520
OG0000386	EXC50_RS03545	E5E95_RS00540
OG0000387	EXC50_RS03520	E5E95_RS00565
OG0000388	EXC50_RS03515	E5E95_RS00570
OG0000389	EXC50_RS03470	E5E95_RS00615
OG0000390	EXC50_RS01740	E5E95_RS03100
OG0000391	EXC50_RS01730	E5E95_RS03090
OG0000392	EXC50_RS01705	E5E95_RS03065
OG0000393	EXC50_RS01650	E5E95_RS03010
OG0000394	EXC50_RS01575	E5E95_RS02940
OG0000395	EXC50_RS01570	E5E95_RS02930
OG0000397	EXC50_RS00865	E5E95_RS02035
OG0000398	EXC50_RS00870	E5E95_RS02040
OG0000399	EXC50_RS00915	E5E95_RS02090
OG0000400	EXC50_RS01895	E5E95_RS03265
OG0000401	EXC50_RS01955	E5E95_RS03325
OG0000402	EXC50_RS01965	E5E95_RS03335
OG0000403	EXC50_RS01975	E5E95_RS03345
OG0000404	EXC50_RS02005	E5E95_RS03375
OG0000405	EXC50_RS02020	E5E95_RS03390
OG0000406	EXC50_RS02080	E5E95_RS03455
OG0000407	EXC50_RS02085	E5E95_RS03460
OG0000408	EXC50_RS02090	E5E95_RS03465
OG0000409	EXC50_RS02095	E5E95_RS03470
OG0000410	EXC50_RS02155	E5E95_RS03530
OG0000411	EXC50_RS02145	E5E95_RS03520
OG0000412	EXC50_RS02140	E5E95_RS03515
OG0000413	EXC50_RS02570	E5E95_RS01535
OG0000414	EXC50_RS02560	E5E95_RS01545
OG0000415	EXC50_RS02555	E5E95_RS01550
OG0000416	EXC50_RS02545	E5E95_RS01560
OG0000417	EXC50_RS01135	E5E95_RS02400
OG0000418	EXC50_RS01130	E5E95_RS02395
OG0000419	EXC50_RS03375	E5E95_RS00710
OG0000420	EXC50_RS03340	E5E95_RS00745
OG0000421	EXC50_RS03305	E5E95_RS00780
OG0000422	EXC50_RS03295	E5E95_RS00790
OG0000423	EXC50_RS03240	E5E95_RS00845
OG0000424	EXC50_RS03235	E5E95_RS00850
OG0000425	EXC50_RS03225	E5E95_RS00860
OG0000426	EXC50_RS03220	E5E95_RS00865
OG0000427	EXC50_RS03195	E5E95_RS00890
OG0000428	EXC50_RS03170	E5E95_RS00915
OG0000429	EXC50_RS03075	E5E95_RS01030
OG0000430	EXC50_RS03030	E5E95_RS01075
OG0000431	EXC50_RS03020	E5E95_RS01085
OG0000432	EXC50_RS02990	E5E95_RS01115
OG0000433	EXC50_RS02975	E5E95_RS01130
OG0000434	EXC50_RS02970	E5E95_RS01135
OG0000435	EXC50_RS02955	E5E95_RS01150
OG0000436	EXC50_RS02925	E5E95_RS01180
OG0000437	EXC50_RS02915	E5E95_RS01190
OG0000438	EXC50_RS02910	E5E95_RS01195
OG0000439	EXC50_RS02905	E5E95_RS01200
OG0000440	EXC50_RS01795	E5E95_RS03155
OG0000441	EXC50_RS01835	E5E95_RS03195
OG0000442	EXC50_RS00145	E5E95_RS00135
OG0000443	EXC50_RS00195	E5E95_RS00185
OG0000444	EXC50_RS00210	E5E95_RS00200
OG0000445	EXC50_RS00235	E5E95_RS00225
OG0000446	EXC50_RS00265	E5E95_RS00255
OG0000447	EXC50_RS00270	E5E95_RS00260
OG0000448	EXC50_RS00300	E5E95_RS00290
OG0000449	EXC50_RS00325	E5E95_RS00315
OG0000450	EXC50_RS00335	E5E95_RS00325
OG0000451	EXC50_RS00380	E5E95_RS00365
OG0000452	EXC50_RS00410	E5E95_RS00390
OG0000453	EXC50_RS03660	E5E95_RS00425
OG0000454	EXC50_RS03725, EXC50_RS03855, EXC50_RS03675	E5E95_RS01735, E5E95_RS02455
OG0000455	EXC50_RS02355	E5E95_RS03730
OG0000456	EXC50_RS02235	E5E95_RS03610
OG0000457	EXC50_RS02210	E5E95_RS03585
OG0000458	EXC50_RS01360	E5E95_RS02715
OG0000459	EXC50_RS01385	E5E95_RS02740
OG0000460	EXC50_RS01395	E5E95_RS02750
OG0000461	EXC50_RS01440	E5E95_RS02795
OG0000462	EXC50_RS01435	E5E95_RS02790
OG0000463	EXC50_RS01430	E5E95_RS02785
OG0000464	EXC50_RS01425	E5E95_RS02780
OG0000465	EXC50_RS01420	E5E95_RS02775
OG0000466	EXC50_RS00415	E5E95_RS00395
OG0000467	EXC50_RS01520	E5E95_RS02880
OG0000468	EXC50_RS00910	E5E95_RS02085
OG0000469	EXC50_RS00970	E5E95_RS02145
OG0000470	EXC50_RS03950	E5E95_RS03895
OG0000471	EXC50_RS03165	E5E95_RS00920
OG0000472	EXC50_RS02165	E5E95_RS03540
OG0000473	EXC50_RS02340	E5E95_RS03715
OG0000474	EXC50_RS02345	E5E95_RS03720
OG0000475	EXC50_RS02350	E5E95_RS03725
OG0000476	EXC50_RS02535	E5E95_RS01570
OG0000477	EXC50_RS01465	E5E95_RS02820
OG0000478	EXC50_RS02285	E5E95_RS03660
OG0000479	EXC50_RS02760	E5E95_RS01345
OG0000480	EXC50_RS03895	E5E95_RS03865
OG0000481	EXC50_RS03270	E5E95_RS00815
OG0000482	EXC50_RS02875	E5E95_RS01230
OG0000483	EXC50_RS01015	E5E95_RS02190
OG0000484	EXC50_RS00205	E5E95_RS00195
OG0000485	EXC50_RS02920	E5E95_RS01185
OG0000486	EXC50_RS01155	E5E95_RS02420
OG0000487	EXC50_RS00950	E5E95_RS02125
OG0000488	EXC50_RS00985	E5E95_RS02160
OG0000489	EXC50_RS00050	E5E95_RS00050
OG0000490	EXC50_RS02450	E5E95_RS03830
OG0000491	EXC50_RS02740	E5E95_RS01365
OG0000492	EXC50_RS02665	E5E95_RS01440
OG0000493	EXC50_RS03505	E5E95_RS00580
OG0000494	EXC50_RS03445	E5E95_RS00640
OG0000495	EXC50_RS01675	E5E95_RS03035
OG0000496	EXC50_RS01665	E5E95_RS03025
OG0000497	EXC50_RS01660	E5E95_RS03020
OG0000500	EXC50_RS00875	E5E95_RS02045
