Orthogroup	MHP_112B_proteins	MFC_MF33_proteins
OG0000299	WP_160606529.1	WP_039387487.1
OG0000300	WP_041361533.1	WP_039387496.1
OG0000301	WP_011289991.1	WP_039387501.1
OG0000302	WP_014579576.1	WP_039387504.1
OG0000303	WP_404912180.1	WP_039387509.1
OG0000304	WP_220190741.1	WP_160609254.1
OG0000305	WP_020835841.1	WP_160580890.1
OG0000306	WP_044272563.1	WP_160609272.1
OG0000307	WP_160585265.1	WP_160603060.1
OG0000308	WP_404911934.1	WP_160609284.1
OG0000309	WP_146379668.1	WP_039387539.1
OG0000310	WP_011206298.1	WP_160609293.1
OG0000311	WP_011206293.1	WP_039387548.1
OG0000312	WP_041361671.1	WP_160609301.1
OG0000313	WP_011206141.1	WP_039387554.1
OG0000314	WP_404911788.1	WP_160609427.1
OG0000315	WP_014579816.1	WP_160581431.1
OG0000316	WP_404911774.1	WP_160609424.1
OG0000317	WP_404912423.1	WP_039387578.1
OG0000318	WP_404911772.1	WP_160609440.1
OG0000319	WP_404913631.1	WP_039387606.1
OG0000320	WP_404911862.1	WP_160609355.1
OG0000321	WP_011205969.1	WP_039387610.1
OG0000322	WP_020835642.1	WP_039387613.1
OG0000323	WP_011290127.1	WP_039387619.1
OG0000324	WP_011290222.1	WP_160609369.1
OG0000325	WP_011206094.1	WP_039387628.1
OG0000326	WP_404913712.1	WP_039387636.1
OG0000327	WP_146379506.1	WP_160581309.1
OG0000328	WP_041361583.1	WP_039387644.1
OG0000329	WP_011206056.1	WP_039387648.1
OG0000330	WP_011206016.1	WP_039387658.1
OG0000331	WP_146379704.1	WP_039387665.1
OG0000332	WP_011290372.1	WP_039387681.1
OG0000333	WP_011206433.1	WP_039387683.1
OG0000334	WP_020835889.1	WP_160581276.1
OG0000335	WP_160606864.1	WP_160609336.1
OG0000336	WP_011206488.1	WP_039387704.1
OG0000337	WP_011284387.1	WP_039387722.1
OG0000338	WP_404912111.1	WP_160609381.1
OG0000339	WP_404911854.1	WP_160605518.1
OG0000340	WP_011205973.1	WP_039387777.1
OG0000341	WP_011290226.1	WP_039387782.1
OG0000342	WP_011290029.1	WP_160609365.1
OG0000343	WP_011206435.1	WP_039387808.1
OG0000344	WP_052269168.1	WP_160609253.1
OG0000345	WP_014579611.1	WP_051054304.1
OG0000346	WP_232039558.1	WP_308704741.1
OG0000347	WP_011205955.1	WP_081605280.1
OG0000348	WP_014579636.1	WP_308704659.1
OG0000349	WP_094521522.1	WP_155897264.1
OG0000350	WP_404911952.1	WP_220189980.1
OG0000351	WP_404912171.1	WP_220189978.1
OG0000352	WP_404911795.1	WP_220190084.1
OG0000353	WP_404912328.1	WP_002557547.1
OG0000354	WP_404912194.1	WP_220189979.1
OG0000355	WP_011206194.1	WP_308704742.1
OG0000356	WP_404913621.1	WP_308704743.1
OG0000357	WP_228366113.1	WP_160605540.1
OG0000358	WP_404913660.1	WP_160609327.1
OG0000359	WP_404913710.1	WP_308704737.1
OG0000360	WP_404912153.1	WP_231237879.1
OG0000361	WP_011289979.1	WP_258556748.1
OG0000362	WP_160600961.1	WP_258556596.1
OG0000363	WP_404913764.1	WP_334296055.1
OG0000365	WP_404912433.1	WP_160609445.1
OG0000366	WP_404912430.1	WP_160581449.1
OG0000367	WP_225973040.1	WP_160609433.1
OG0000368	WP_404912121.1	WP_160609388.1
OG0000369	WP_011205844.1	WP_160609384.1
OG0000370	WP_044272260.1	WP_002557476.1
OG0000371	WP_044272256.1	WP_160609383.1
OG0000372	WP_404912115.1	WP_002557478.1
OG0000373	WP_404912107.1	WP_160609380.1
OG0000374	WP_404912104.1	WP_160609379.1
OG0000375	WP_404911831.1	WP_002557511.1
OG0000376	WP_404911868.1	WP_160609356.1
OG0000377	WP_404913636.1	WP_002557526.1
OG0000378	WP_011205977.1	WP_160609352.1
OG0000379	WP_011205962.1	WP_002557546.1
OG0000380	WP_160588252.1	WP_002557550.1
OG0000381	WP_404913736.1	WP_160609346.1
OG0000382	WP_404912342.1	WP_160609343.1
OG0000383	WP_014579735.1	WP_160609342.1
OG0000384	WP_041361727.1	WP_160609247.1
OG0000385	WP_044272311.1	WP_160580848.1
OG0000386	WP_011290004.1	WP_160609250.1
OG0000387	WP_404913705.1	WP_160609251.1
OG0000388	WP_179221014.1	WP_308704722.1
OG0000389	WP_404912192.1	WP_002557589.1
OG0000390	WP_011290340.1	WP_160583674.1
OG0000391	WP_020835843.1	WP_160609263.1
OG0000392	WP_160607852.1	WP_160580892.1
OG0000393	WP_404911961.1	WP_160609269.1
OG0000394	WP_011290313.1	WP_002557640.1
OG0000395	WP_404911946.1	WP_160609278.1
OG0000396	WP_020835781.1	WP_160609422.1
OG0000397	WP_011206196.1	WP_002557680.1
OG0000398	WP_020835709.1	WP_160609418.1
OG0000399	WP_404911782.1	WP_220190081.1
OG0000400	WP_044272610.1	WP_160609325.1
OG0000401	WP_135619070.1	WP_160581263.1
OG0000402	WP_020835872.1	WP_002557715.1
OG0000403	WP_404913666.1	WP_160609330.1
OG0000404	WP_404912014.1	WP_039387689.1
OG0000405	WP_404913670.1	WP_160609334.1
OG0000406	WP_404912025.1	WP_002557731.1
OG0000407	WP_404912027.1	WP_160581280.1
OG0000408	WP_011206457.1	WP_002557733.1
OG0000409	WP_011206458.1	WP_002557734.1
OG0000410	WP_011206469.1	WP_002557739.1
OG0000411	WP_146379742.1	WP_160609439.1
OG0000412	WP_146379741.1	WP_160609438.1
OG0000413	WP_146379568.1	WP_002557749.1
OG0000414	WP_011290131.1	WP_002557751.1
OG0000415	WP_404912351.1	WP_002557752.1
OG0000416	WP_011284056.1	WP_002557754.1
OG0000417	WP_404911842.1	WP_160609371.1
OG0000418	WP_160588285.1	WP_220190045.1
OG0000419	WP_020835572.1	WP_002557773.1
OG0000420	WP_020835574.1	WP_220190044.1
OG0000421	WP_011206080.1	WP_160609362.1
OG0000422	WP_146379504.1	WP_160609361.1
OG0000423	WP_404912224.1	WP_002557796.1
OG0000424	WP_011290043.1	WP_160581357.1
OG0000425	WP_044277967.1	WP_160609310.1
OG0000426	WP_011206064.1	WP_160609311.1
OG0000427	WP_135618593.1	WP_160609339.1
OG0000428	WP_011206054.1	WP_160581348.1
OG0000429	WP_404912257.1	WP_160581337.1
OG0000430	WP_404912265.1	WP_160609317.1
OG0000431	WP_011290067.1	WP_002557839.1
OG0000432	WP_404912272.1	WP_160609318.1
OG0000433	WP_011206014.1	WP_002557845.1
OG0000435	WP_404912278.1	WP_160603168.1
OG0000437	WP_404912284.1	WP_160609321.1
OG0000438	WP_404912286.1	WP_160609322.1
OG0000439	WP_404912288.1	WP_160583885.1
OG0000440	WP_011290349.1	WP_160593441.1
OG0000441	WP_011284299.1	WP_160583926.1
OG0000442	WP_160607726.1	WP_160609389.1
OG0000443	WP_044272282.1	WP_160581057.1
OG0000444	WP_011205880.1	WP_002557890.1
OG0000445	WP_160585544.1	WP_002557895.1
OG0000446	WP_348602689.1	WP_002557901.1
OG0000447	WP_014579553.1	WP_160609237.1
OG0000448	WP_011289976.1	WP_160609240.1
OG0000449	WP_348571941.1	WP_002557912.1
OG0000450	WP_160588027.1	WP_002557914.1
OG0000451	WP_160585531.1	WP_002557923.1
OG0000452	WP_011205921.1	WP_002557928.1
OG0000453	WP_011283895.1	WP_002557934.1
OG0000455	WP_404912085.1	WP_160609403.1
OG0000456	WP_011206487.1	WP_160609410.1
OG0000457	WP_404913684.1	WP_002557968.1
OG0000458	WP_020835790.1	WP_002557977.1
OG0000459	WP_014579890.1	WP_002557982.1
OG0000460	WP_044272549.1	WP_160609291.1
OG0000461	WP_404913647.1	WP_160609288.1
OG0000462	WP_404911917.1	WP_160609289.1
OG0000463	WP_011206310.1	WP_002558014.1
OG0000464	WP_011206309.1	WP_002558016.1
OG0000465	WP_135618953.1	WP_160583624.1
OG0000466	WP_011205922.1	WP_039387498.1
OG0000467	WP_404911938.1	WP_220189982.1
OG0000468	WP_404911784.1	WP_160609425.1
OG0000469	WP_011290203.1	WP_160609446.1
OG0000470	WP_011206069.1	WP_039387641.1
OG0000471	WP_044272348.1	WP_039387651.1
OG0000472	WP_404913678.1	WP_160609415.1
OG0000473	WP_020835917.1	WP_039387713.1
OG0000474	WP_041361711.1	WP_039387714.1
OG0000475	WP_404912083.1	WP_220190068.1
OG0000476	WP_011205931.1	WP_039387719.1
OG0000477	WP_011206317.1	WP_039387750.1
OG0000478	WP_011284367.1	WP_160609407.1
OG0000479	WP_404912322.1	WP_258556770.1
OG0000480	WP_011206218.1	WP_169742226.1
OG0000481	WP_044272343.1	WP_002557790.1
OG0000482	WP_404913728.1	WP_334296056.1
OG0000483	WP_347952210.1	WP_258556792.1
OG0000484	WP_135618485.1	WP_308704720.1
OG0000485	WP_020835615.1	WP_039387661.1
OG0000486	WP_011290228.1	WP_236681773.1
OG0000487	WP_404913760.1	WP_052234586.1
OG0000488	WP_146379596.1	WP_160609431.1
OG0000489	WP_404913695.1	WP_160581091.1
OG0000490	WP_404912109.1	WP_002557481.1
OG0000492	WP_404913734.1	WP_160603196.1
OG0000493	WP_404912185.1	WP_160580862.1
OG0000494	WP_404913707.1	WP_160609257.1
OG0000495	WP_404911964.1	WP_002557622.1
OG0000496	WP_011290327.1	WP_160609267.1
OG0000497	WP_135619004.1	WP_160609268.1
OG0000498	WP_011290314.1	WP_002557639.1
OG0000499	WP_020835817.1	WP_002557649.1
OG0000500	WP_404913623.1	WP_160609417.1
OG0000501	WP_404911996.1	WP_160583899.1
OG0000502	WP_404912292.1	WP_160583987.1
OG0000503	WP_404912212.1	WP_002557782.1
OG0000504	WP_011283955.1	WP_002557806.1
OG0000505	WP_146379519.1	WP_160581345.1
OG0000507	WP_020835590.1	WP_002557821.1
OG0000508	WP_044272682.1	WP_002557900.1
OG0000511	WP_011206135.1	WP_002557935.1
OG0000512	WP_404911911.1	WP_002557985.1
OG0000513	WP_041361708.1	WP_160609408.1
OG0000514	WP_404911969.1	WP_160609264.1
OG0000516	WP_160607660.1	WP_160609441.1
OG0000517	WP_011283834.1	WP_002557466.1
OG0000518	WP_404913772.1	WP_160609329.1
OG0000521	WP_404913698.1	WP_002557903.1
OG0000522	WP_135618505.1	WP_002557909.1
OG0000523	WP_258555910.1	WP_160609413.1
OG0000528	WP_404912437.1	WP_160609442.1
OG0000530	WP_011284186.1	WP_002557529.1
OG0000532	WP_404913740.1	WP_258556750.1
OG0000533	WP_011290010.1	WP_002557841.1
OG0000534	WP_404912163.1	WP_002557926.1
OG0000535	WP_020835486.1	WP_160609386.1
OG0000536	WP_404913689.1	WP_160609395.1
OG0000542	WP_011289986.1	WP_160581026.1
OG0000551	WP_404913658.1	WP_258556764.1
OG0000555	WP_308507032.1	WP_258556752.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000596	WP_404912392.1	WP_160609391.1
OG0000598	WP_192894290.1	WP_160609390.1
OG0000599	WP_011206170.1	WP_160581075.1
OG0000602	WP_404913758.1	WP_160609430.1
