Orthogroup	MHP_KM014_genes	MFC_MF30_genes
OG0000100	CIB43_RS00610	DR084_RS02510
OG0000101	CIB43_RS00600	DR084_RS02505
OG0000102	CIB43_RS02580	DR084_RS02495
OG0000103	CIB43_RS03110	DR084_RS01780
OG0000104	CIB43_RS03120	DR084_RS01785
OG0000105	CIB43_RS03130	DR084_RS01800
OG0000106	CIB43_RS03140	DR084_RS01810
OG0000107	CIB43_RS03150	DR084_RS01820
OG0000108	CIB43_RS03155	DR084_RS01825
OG0000109	CIB43_RS03160	DR084_RS01830
OG0000110	CIB43_RS03290	DR084_RS01835
OG0000111	CIB43_RS03285	DR084_RS01840
OG0000112	CIB43_RS03280	DR084_RS01850
OG0000113	CIB43_RS03260	DR084_RS03550
OG0000114	CIB43_RS03245	DR084_RS01875
OG0000115	CIB43_RS03230	DR084_RS01885
OG0000116	CIB43_RS02165	DR084_RS01895
OG0000117	CIB43_RS02170	DR084_RS01900
OG0000118	CIB43_RS02205	DR084_RS01930
OG0000119	CIB43_RS02210	DR084_RS01935
OG0000120	CIB43_RS02230	DR084_RS01950
OG0000121	CIB43_RS02250	DR084_RS01975
OG0000122	CIB43_RS02255	DR084_RS01980
OG0000123	CIB43_RS02275	DR084_RS02000
OG0000124	CIB43_RS02280	DR084_RS02005
OG0000125	CIB43_RS02285	DR084_RS02010
OG0000126	CIB43_RS02295	DR084_RS02020
OG0000127	CIB43_RS02305	DR084_RS02030
OG0000128	CIB43_RS02320	DR084_RS02760
OG0000129	CIB43_RS02330	DR084_RS02765
OG0000130	CIB43_RS02335	DR084_RS02775
OG0000131	CIB43_RS02370	DR084_RS02805
OG0000132	CIB43_RS02385	DR084_RS03675
OG0000133	CIB43_RS01415	DR084_RS00350
OG0000134	CIB43_RS01425	DR084_RS03455
OG0000135	CIB43_RS01435	DR084_RS00370
OG0000136	CIB43_RS01440	DR084_RS00375
OG0000137	CIB43_RS01470	DR084_RS00405
OG0000138	CIB43_RS01495	DR084_RS00430
OG0000139	CIB43_RS01525	DR084_RS00460
OG0000140	CIB43_RS01540	DR084_RS00465
OG0000141	CIB43_RS03850	DR084_RS00490
OG0000142	CIB43_RS03845	DR084_RS03470
OG0000143	CIB43_RS03835	DR084_RS00520
OG0000144	CIB43_RS03815	DR084_RS00530
OG0000145	CIB43_RS03805	DR084_RS00540
OG0000146	CIB43_RS03790	DR084_RS00550
OG0000147	CIB43_RS03785	DR084_RS00555
OG0000148	CIB43_RS03780	DR084_RS00570
OG0000149	CIB43_RS03760	DR084_RS00580
OG0000150	CIB43_RS03745	DR084_RS00595
OG0000151	CIB43_RS03700	DR084_RS00645
OG0000152	CIB43_RS03695	DR084_RS00650
OG0000153	CIB43_RS03690	DR084_RS00655
OG0000154	CIB43_RS03680	DR084_RS00665
OG0000155	CIB43_RS03645	DR084_RS00685
OG0000156	CIB43_RS03635	DR084_RS00700
OG0000157	CIB43_RS03625	DR084_RS03475
OG0000158	CIB43_RS03620	DR084_RS03480
OG0000159	CIB43_RS03385	DR084_RS00950
OG0000160	CIB43_RS03380	DR084_RS00955
OG0000161	CIB43_RS03375	DR084_RS00960
OG0000163	CIB43_RS03370	DR084_RS00975
OG0000164	CIB43_RS02495	DR084_RS03490
OG0000165	CIB43_RS02840	DR084_RS01050
OG0000166	CIB43_RS02860	DR084_RS01070
OG0000167	CIB43_RS02875	DR084_RS01085
OG0000168	CIB43_RS02880	DR084_RS01090
OG0000169	CIB43_RS00130	DR084_RS02045
OG0000171	CIB43_RS00155	DR084_RS02070
OG0000172	CIB43_RS00160	DR084_RS02075
OG0000173	CIB43_RS00165	DR084_RS02080
OG0000174	CIB43_RS00170	DR084_RS02085
OG0000175	CIB43_RS00190	DR084_RS02100
OG0000176	CIB43_RS00235	DR084_RS02140
OG0000177	CIB43_RS00240	DR084_RS02145
OG0000178	CIB43_RS00245	DR084_RS02150
OG0000179	CIB43_RS00255	DR084_RS02160
OG0000180	CIB43_RS00260	DR084_RS02165
OG0000181	CIB43_RS00310	DR084_RS03570
OG0000182	CIB43_RS00320	DR084_RS02190
OG0000183	CIB43_RS00355	DR084_RS02225
OG0000184	CIB43_RS00430	DR084_RS02865
OG0000185	CIB43_RS00380	DR084_RS02880
OG0000186	CIB43_RS02400	DR084_RS01135
OG0000187	CIB43_RS02410	DR084_RS01150
OG0000188	CIB43_RS02425	DR084_RS01160
OG0000189	CIB43_RS03200	DR084_RS03510
OG0000190	CIB43_RS03195	DR084_RS01175
OG0000191	CIB43_RS03180	DR084_RS01195
OG0000192	CIB43_RS02085	DR084_RS01205
OG0000193	CIB43_RS02075	DR084_RS01220
OG0000194	CIB43_RS01560	DR084_RS01230
OG0000195	CIB43_RS01565	DR084_RS01235
OG0000196	CIB43_RS01585	DR084_RS03515
OG0000197	CIB43_RS01590	DR084_RS01260
OG0000198	CIB43_RS01605	DR084_RS01275
OG0000199	CIB43_RS01615	DR084_RS01280
OG0000200	CIB43_RS01630	DR084_RS01295
OG0000201	CIB43_RS01635	DR084_RS01305
OG0000202	CIB43_RS01690	DR084_RS01360
OG0000203	CIB43_RS01695	DR084_RS01365
OG0000204	CIB43_RS01700	DR084_RS01370
OG0000205	CIB43_RS01705	DR084_RS01375
OG0000206	CIB43_RS01735	DR084_RS01395
OG0000207	CIB43_RS01740	DR084_RS01410
OG0000208	CIB43_RS01745	DR084_RS01415
OG0000209	CIB43_RS01750	DR084_RS01420
OG0000210	CIB43_RS01800	DR084_RS01465
OG0000211	CIB43_RS01805	DR084_RS01475
OG0000212	CIB43_RS01815	DR084_RS01485
OG0000213	CIB43_RS01820	DR084_RS01490
OG0000214	CIB43_RS01825	DR084_RS01495
OG0000215	CIB43_RS01830	DR084_RS01500
OG0000216	CIB43_RS01835	DR084_RS01505
OG0000217	CIB43_RS01845	DR084_RS01510
OG0000218	CIB43_RS01850	DR084_RS01520
OG0000219	CIB43_RS01855	DR084_RS01525
OG0000220	CIB43_RS01860	DR084_RS01530
OG0000221	CIB43_RS01865	DR084_RS01535
OG0000222	CIB43_RS01870	DR084_RS01540
OG0000223	CIB43_RS01875	DR084_RS01545
OG0000225	CIB43_RS01895	DR084_RS01565
OG0000226	CIB43_RS01900	DR084_RS01570
OG0000227	CIB43_RS01905	DR084_RS01575
OG0000228	CIB43_RS01910	DR084_RS03705
OG0000229	CIB43_RS01915	DR084_RS01585
OG0000230	CIB43_RS01920	DR084_RS01590
OG0000231	CIB43_RS01935	DR084_RS01600
OG0000232	CIB43_RS01940	DR084_RS01610
OG0000233	CIB43_RS01965	DR084_RS01620
OG0000234	CIB43_RS02000	DR084_RS01650
OG0000235	CIB43_RS02005	DR084_RS01660
OG0000236	CIB43_RS02010	DR084_RS01665
OG0000237	CIB43_RS02015	DR084_RS01680
OG0000238	CIB43_RS02025	DR084_RS01685
OG0000239	CIB43_RS03860	DR084_RS01715
OG0000240	CIB43_RS03870	DR084_RS01720
OG0000241	CIB43_RS03875	DR084_RS01730
OG0000242	CIB43_RS03880	DR084_RS01735
OG0000243	CIB43_RS03885	DR084_RS01740
OG0000244	CIB43_RS03900	DR084_RS01750
OG0000245	CIB43_RS03905	DR084_RS01760
OG0000246	CIB43_RS00845	DR084_RS02385
OG0000247	CIB43_RS00850	DR084_RS02395
OG0000248	CIB43_RS00875	DR084_RS02420
OG0000250	CIB43_RS00885	DR084_RS00015
OG0000251	CIB43_RS00925	DR084_RS00045
OG0000252	CIB43_RS00930	DR084_RS00055
OG0000253	CIB43_RS00940	DR084_RS00060
OG0000254	CIB43_RS00950	DR084_RS00070
OG0000255	CIB43_RS00955	DR084_RS00075
OG0000256	CIB43_RS00960	DR084_RS00080
OG0000257	CIB43_RS00985	DR084_RS00105
OG0000258	CIB43_RS01015	DR084_RS00115
OG0000259	CIB43_RS01030	DR084_RS00145
OG0000260	CIB43_RS01045	DR084_RS00155
OG0000262	CIB43_RS01075	DR084_RS00180
OG0000263	CIB43_RS01080	DR084_RS00195
OG0000264	CIB43_RS01100	DR084_RS00210
OG0000265	CIB43_RS01110	DR084_RS00220
OG0000266	CIB43_RS01120	DR084_RS00235
OG0000267	CIB43_RS01135	DR084_RS00250
OG0000268	CIB43_RS01305	DR084_RS00255
OG0000269	CIB43_RS01320	DR084_RS00270
OG0000270	CIB43_RS00575	DR084_RS03610
OG0000271	CIB43_RS00570	DR084_RS02445
OG0000272	CIB43_RS00565	DR084_RS02440
OG0000273	CIB43_RS00560	DR084_RS02435
OG0000274	CIB43_RS00545	DR084_RS02555
OG0000275	CIB43_RS00535	DR084_RS03630
OG0000276	CIB43_RS00530	DR084_RS02565
OG0000277	CIB43_RS00525	DR084_RS03635
OG0000278	CIB43_RS00515	DR084_RS02580
OG0000279	CIB43_RS00510	DR084_RS02590
OG0000280	CIB43_RS00500	DR084_RS02595
OG0000281	CIB43_RS00495	DR084_RS02600
OG0000283	CIB43_RS00475	DR084_RS02630
OG0000284	CIB43_RS00460	DR084_RS02635
OG0000285	CIB43_RS00455	DR084_RS03650
OG0000286	CIB43_RS03345	DR084_RS00900
OG0000287	CIB43_RS03440	DR084_RS00875
OG0000288	CIB43_RS03450	DR084_RS00865
OG0000289	CIB43_RS03455	DR084_RS00860
OG0000290	CIB43_RS03565	DR084_RS00750
OG0000291	CIB43_RS03560	DR084_RS00760
OG0000292	CIB43_RS03550	DR084_RS00765
OG0000293	CIB43_RS03545	DR084_RS00770
OG0000294	CIB43_RS03540	DR084_RS00780
OG0000295	CIB43_RS03530	DR084_RS00785
OG0000296	CIB43_RS03495	DR084_RS00825
OG0000297	CIB43_RS03485	DR084_RS00830
OG0000298	CIB43_RS00880	DR084_RS00010
OG0000299	CIB43_RS00915	DR084_RS00030
OG0000300	CIB43_RS01090	DR084_RS00205
OG0000301	CIB43_RS01125	DR084_RS00240
OG0000302	CIB43_RS01130	DR084_RS00245
OG0000303	CIB43_RS01455	DR084_RS00380
OG0000304	CIB43_RS01950	DR084_RS00415
OG0000305	CIB43_RS03795	DR084_RS00545
OG0000306	CIB43_RS03725	DR084_RS00625
OG0000307	CIB43_RS03685	DR084_RS00660
OG0000308	CIB43_RS03600	DR084_RS00740
OG0000309	CIB43_RS03520	DR084_RS00795
OG0000310	CIB43_RS03445	DR084_RS00870
OG0000311	CIB43_RS03405	DR084_RS00925
OG0000312	CIB43_RS03390	DR084_RS00945
OG0000313	CIB43_RS02485	DR084_RS00995
OG0000314	CIB43_RS02855	DR084_RS01065
OG0000315	CIB43_RS02885	DR084_RS01095
OG0000316	CIB43_RS02895	DR084_RS01105
OG0000317	CIB43_RS02985	DR084_RS02730
OG0000318	CIB43_RS02900	DR084_RS03680
OG0000319	CIB43_RS03125	DR084_RS01795
OG0000320	CIB43_RS03270	DR084_RS01860
OG0000321	CIB43_RS02200	DR084_RS01925
OG0000322	CIB43_RS02245	DR084_RS01970
OG0000323	CIB43_RS02375	DR084_RS02815
OG0000324	CIB43_RS03170	DR084_RS01200
OG0000325	CIB43_RS01570	DR084_RS01240
OG0000326	CIB43_RS01665	DR084_RS01335
OG0000327	CIB43_RS01670	DR084_RS01340
OG0000328	CIB43_RS01760	DR084_RS01425
OG0000329	CIB43_RS01775	DR084_RS01445
OG0000330	CIB43_RS01970	DR084_RS01630
OG0000331	CIB43_RS03890	DR084_RS01745
OG0000332	CIB43_RS00200	DR084_RS02110
OG0000333	CIB43_RS00210	DR084_RS02120
OG0000334	CIB43_RS00315	DR084_RS02185
OG0000335	CIB43_RS00340	DR084_RS03575
OG0000336	CIB43_RS00485	DR084_RS03645
OG0000337	CIB43_RS00655	DR084_RS02255
OG0000338	CIB43_RS00695	DR084_RS02295
OG0000339	CIB43_RS03235	DR084_RS01880
OG0000340	CIB43_RS02185	DR084_RS01905
OG0000341	CIB43_RS03190	DR084_RS01180
OG0000342	CIB43_RS01600	DR084_RS01270
OG0000343	CIB43_RS00215	DR084_RS02130
OG0000344	CIB43_RS01465	DR084_RS00395
OG0000345	CIB43_RS01890	DR084_RS01560
OG0000346	CIB43_RS00490	DR084_RS03640
OG0000347	CIB43_RS02270	DR084_RS01995
OG0000348	CIB43_RS01685	DR084_RS03525
OG0000349	CIB43_RS00550	DR084_RS02545
OG0000350	CIB43_RS03675	DR084_RS02995
OG0000351	CIB43_RS01385	DR084_RS00330
OG0000352	CIB43_RS02830	DR084_RS01045
OG0000353	CIB43_RS02240	DR084_RS01965
OG0000354	CIB43_RS01515	DR084_RS00445
OG0000355	CIB43_RS02805	DR084_RS03495
OG0000356	CIB43_RS02890	DR084_RS03500
OG0000357	CIB43_RS00175	DR084_RS03560
OG0000358	CIB43_RS00180	DR084_RS02095
OG0000359	CIB43_RS01650	DR084_RS03520
OG0000360	CIB43_RS00990	DR084_RS00110
OG0000361	CIB43_RS01020	DR084_RS00140
OG0000362	CIB43_RS03475	DR084_RS00850
OG0000363	CIB43_RS02310	DR084_RS02040
OG0000369	CIB43_RS00725	DR084_RS03595
OG0000370	CIB43_RS00720	DR084_RS02320
OG0000378	CIB43_RS02160	DR084_RS01890
OG0000379	CIB43_RS02235	DR084_RS01960
OG0000380	CIB43_RS02260	DR084_RS01985
OG0000381	CIB43_RS02300	DR084_RS02025
OG0000385	CIB43_RS01405	DR084_RS00340
OG0000389	CIB43_RS01490	DR084_RS00425
OG0000394	CIB43_RS03660	DR084_RS00675
OG0000396	CIB43_RS03350	DR084_RS00985
OG0000403	CIB43_RS00220	DR084_RS02135
OG0000404	CIB43_RS00250	DR084_RS03565
OG0000405	CIB43_RS00265	DR084_RS02170
OG0000409	CIB43_RS00345	DR084_RS02215
OG0000412	CIB43_RS00390	DR084_RS02875
OG0000417	CIB43_RS03185	DR084_RS01185
OG0000428	CIB43_RS01785	DR084_RS01455
OG0000429	CIB43_RS01885	DR084_RS01550
OG0000430	CIB43_RS01925	DR084_RS01595
OG0000434	CIB43_RS01985	DR084_RS01640
OG0000436	CIB43_RS02030	DR084_RS01690
OG0000437	CIB43_RS02065	DR084_RS01700
OG0000441	CIB43_RS03910	DR084_RS01765
OG0000451	CIB43_RS01085	DR084_RS00200
OG0000453	CIB43_RS01315	DR084_RS00260
OG0000457	CIB43_RS00450	DR084_RS02645
OG0000459	CIB43_RS03460	DR084_RS00855
OG0000463	CIB43_RS03515	DR084_RS00810
OG0000464	CIB43_RS03500	DR084_RS00815
OG0000466	CIB43_RS01115	DR084_RS00230
OG0000468	CIB43_RS02870	DR084_RS01075
OG0000471	CIB43_RS01790	DR084_RS01460
OG0000473	CIB43_RS00580	DR084_RS02455
OG0000474	CIB43_RS00585	DR084_RS02460
OG0000475	CIB43_RS00595	DR084_RS02465
OG0000482	CIB43_RS02080	DR084_RS01215
OG0000485	CIB43_RS02035	DR084_RS01695
OG0000486	CIB43_RS03205	DR084_RS01165
OG0000487	CIB43_RS02915	DR084_RS03685
OG0000488	CIB43_RS02940	DR084_RS02685
OG0000489	CIB43_RS00750	DR084_RS02350
OG0000491	CIB43_RS02220	DR084_RS01940
OG0000492	CIB43_RS02290	DR084_RS02015
OG0000495	CIB43_RS03750	DR084_RS00590
OG0000502	CIB43_RS02070	DR084_RS01225
OG0000504	CIB43_RS01770	DR084_RS01435
OG0000506	CIB43_RS01810	DR084_RS01480
OG0000508	CIB43_RS00980	DR084_RS00085
OG0000517	CIB43_RS00765	DR084_RS02365
OG0000519	CIB43_RS01660	DR084_RS01325
OG0000520	CIB43_RS01780	DR084_RS01450
OG0000523	CIB43_RS00445	DR084_RS02650
OG0000529	CIB43_RS03135	DR084_RS01805
OG0000530	CIB43_RS03250	DR084_RS01870
OG0000531	CIB43_RS02265	DR084_RS01990
OG0000537	CIB43_RS01595	DR084_RS01265
OG0000538	CIB43_RS01990	DR084_RS01645
