Orthogroup	MHP_KM014_genes	MHP_NCTC10127_genes
OG0000225	CIB43_RS01895	EXC50_RS03060
OG0000226	CIB43_RS01900	EXC50_RS03055
OG0000227	CIB43_RS01905	EXC50_RS03050
OG0000228	CIB43_RS01910	EXC50_RS03045
OG0000229	CIB43_RS01915	EXC50_RS03040
OG0000230	CIB43_RS01920	EXC50_RS03035
OG0000231	CIB43_RS01935	EXC50_RS03025
OG0000232	CIB43_RS01940	EXC50_RS03015
OG0000233	CIB43_RS01965	EXC50_RS02995
OG0000234	CIB43_RS02000	EXC50_RS02960
OG0000235	CIB43_RS02005	EXC50_RS02950
OG0000236	CIB43_RS02010	EXC50_RS02945
OG0000237	CIB43_RS02015	EXC50_RS02940
OG0000238	CIB43_RS02025	EXC50_RS02930
OG0000239	CIB43_RS03860	EXC50_RS01785
OG0000240	CIB43_RS03870	EXC50_RS01790
OG0000241	CIB43_RS03875	EXC50_RS01800
OG0000242	CIB43_RS03880	EXC50_RS01805
OG0000243	CIB43_RS03885	EXC50_RS01810
OG0000244	CIB43_RS03900	EXC50_RS01820
OG0000245	CIB43_RS03905	EXC50_RS01830
OG0000246	CIB43_RS00845	EXC50_RS00140
OG0000247	CIB43_RS00850	EXC50_RS00150
OG0000248	CIB43_RS00875	EXC50_RS00160
OG0000250	CIB43_RS00885	EXC50_RS00180
OG0000251	CIB43_RS00925	EXC50_RS00215
OG0000252	CIB43_RS00930	EXC50_RS00225
OG0000253	CIB43_RS00940	EXC50_RS00230
OG0000254	CIB43_RS00950	EXC50_RS00240
OG0000255	CIB43_RS00955	EXC50_RS00250
OG0000256	CIB43_RS00960	EXC50_RS00255
OG0000257	CIB43_RS00985	EXC50_RS00280
OG0000258	CIB43_RS01015	EXC50_RS00290
OG0000259	CIB43_RS01030	EXC50_RS00320
OG0000260	CIB43_RS01045	EXC50_RS00330
OG0000262	CIB43_RS01075	EXC50_RS00360
OG0000263	CIB43_RS01080	EXC50_RS00375
OG0000264	CIB43_RS01100	EXC50_RS00390
OG0000265	CIB43_RS01110	EXC50_RS00400
OG0000266	CIB43_RS01120	EXC50_RS00420
OG0000267	CIB43_RS01135	EXC50_RS00435
OG0000268	CIB43_RS01305	EXC50_RS03665
OG0000269	CIB43_RS01320	EXC50_RS03650
OG0000270	CIB43_RS00575	EXC50_RS02335
OG0000271	CIB43_RS00570	EXC50_RS02330
OG0000272	CIB43_RS00565	EXC50_RS02325
OG0000273	CIB43_RS00560	EXC50_RS02320
OG0000274	CIB43_RS00545	EXC50_RS02300
OG0000275	CIB43_RS00535	EXC50_RS02295
OG0000276	CIB43_RS00530	EXC50_RS02290
OG0000277	CIB43_RS00525	EXC50_RS02280
OG0000278	CIB43_RS00515	EXC50_RS02275
OG0000279	CIB43_RS00510	EXC50_RS02265
OG0000280	CIB43_RS00500	EXC50_RS02260
OG0000281	CIB43_RS00495	EXC50_RS02255
OG0000283	CIB43_RS00475	EXC50_RS02225
OG0000284	CIB43_RS00460	EXC50_RS02220
OG0000285	CIB43_RS00455	EXC50_RS02215
OG0000286	CIB43_RS03345	EXC50_RS01270
OG0000287	CIB43_RS03440	EXC50_RS01365
OG0000288	CIB43_RS03450	EXC50_RS01375
OG0000289	CIB43_RS03455	EXC50_RS01380
OG0000290	CIB43_RS03565	EXC50_RS01490
OG0000291	CIB43_RS03560	EXC50_RS01480
OG0000292	CIB43_RS03550	EXC50_RS01475
OG0000293	CIB43_RS03545	EXC50_RS01470
OG0000294	CIB43_RS03540	EXC50_RS01460
OG0000295	CIB43_RS03530	EXC50_RS01455
OG0000296	CIB43_RS03495	EXC50_RS01415
OG0000297	CIB43_RS03485	EXC50_RS01410
OG0000298	CIB43_RS00880	EXC50_RS00175
OG0000299	CIB43_RS00915	EXC50_RS00200
OG0000300	CIB43_RS01090	EXC50_RS00385
OG0000301	CIB43_RS01125	EXC50_RS00425
OG0000302	CIB43_RS01130	EXC50_RS00430
OG0000303	CIB43_RS01455	EXC50_RS03525
OG0000304	CIB43_RS01950	EXC50_RS03010
OG0000305	CIB43_RS03795	EXC50_RS01720
OG0000306	CIB43_RS03725	EXC50_RS01645
OG0000307	CIB43_RS03685	EXC50_RS01610
OG0000308	CIB43_RS03600	EXC50_RS01510
OG0000309	CIB43_RS03520	EXC50_RS01445
OG0000310	CIB43_RS03445	EXC50_RS01370
OG0000311	CIB43_RS03405	EXC50_RS01330
OG0000312	CIB43_RS03390	EXC50_RS01315
OG0000313	CIB43_RS02485	EXC50_RS00540
OG0000314	CIB43_RS02855	EXC50_RS00900
OG0000315	CIB43_RS02885	EXC50_RS00930
OG0000316	CIB43_RS02895	EXC50_RS00940
OG0000317	CIB43_RS02985	EXC50_RS01030
OG0000318	CIB43_RS02900	EXC50_RS00945
OG0000319	CIB43_RS03125	EXC50_RS01080
OG0000320	CIB43_RS03270	EXC50_RS01215
OG0000321	CIB43_RS02200	EXC50_RS02755
OG0000322	CIB43_RS02245	EXC50_RS02710
OG0000323	CIB43_RS02375	EXC50_RS02580
OG0000324	CIB43_RS03170	EXC50_RS01120
OG0000325	CIB43_RS01570	EXC50_RS03385
OG0000326	CIB43_RS01665	EXC50_RS03290
OG0000327	CIB43_RS01670	EXC50_RS03285
OG0000328	CIB43_RS01760	EXC50_RS03200
OG0000329	CIB43_RS01775	EXC50_RS03180
OG0000330	CIB43_RS01970	EXC50_RS02985
OG0000331	CIB43_RS03890	EXC50_RS01815
OG0000332	CIB43_RS00200	EXC50_RS01950
OG0000333	CIB43_RS00210	EXC50_RS01960
OG0000334	CIB43_RS00315	EXC50_RS02065
OG0000335	CIB43_RS00340	EXC50_RS02075
OG0000336	CIB43_RS00485	EXC50_RS02245
OG0000337	CIB43_RS00655	EXC50_RS02415
OG0000338	CIB43_RS00695	EXC50_RS02455
OG0000339	CIB43_RS03235	EXC50_RS01185
OG0000340	CIB43_RS02185	EXC50_RS02775
OG0000341	CIB43_RS03190	EXC50_RS01140
OG0000342	CIB43_RS01600	EXC50_RS03355
OG0000343	CIB43_RS00215	EXC50_RS01970
OG0000344	CIB43_RS01465	EXC50_RS03510
OG0000345	CIB43_RS01890	EXC50_RS03065
OG0000346	CIB43_RS00490	EXC50_RS02250
OG0000347	CIB43_RS02270	EXC50_RS02685
OG0000348	CIB43_RS01685	EXC50_RS03280
OG0000349	CIB43_RS00550	EXC50_RS02310
OG0000350	CIB43_RS03675	EXC50_RS01600
OG0000351	CIB43_RS01385	EXC50_RS03590
OG0000352	CIB43_RS02830	EXC50_RS00880
OG0000353	CIB43_RS02240	EXC50_RS02715
OG0000354	CIB43_RS01515	EXC50_RS03450
OG0000355	CIB43_RS02805	EXC50_RS00850
OG0000356	CIB43_RS02890	EXC50_RS00935
OG0000357	CIB43_RS00175	EXC50_RS01930
OG0000358	CIB43_RS00180	EXC50_RS01935
OG0000359	CIB43_RS01650	EXC50_RS03310
OG0000360	CIB43_RS00990	EXC50_RS00285
OG0000361	CIB43_RS01020	EXC50_RS00315
OG0000362	CIB43_RS03475	EXC50_RS01390
OG0000363	CIB43_RS02310	EXC50_RS02645
OG0000364	CIB43_RS02775	EXC50_RS03920
OG0000369	CIB43_RS00725	EXC50_RS00025
OG0000370	CIB43_RS00720	EXC50_RS00020
OG0000378	CIB43_RS02160	EXC50_RS02795
OG0000379	CIB43_RS02235	EXC50_RS02720
OG0000380	CIB43_RS02260	EXC50_RS02695
OG0000381	CIB43_RS02300	EXC50_RS02655
OG0000385	CIB43_RS01405	EXC50_RS03565
OG0000389	CIB43_RS01490	EXC50_RS03470
OG0000394	CIB43_RS03660	EXC50_RS01575
OG0000396	CIB43_RS03350	EXC50_RS01275
OG0000403	CIB43_RS00220	EXC50_RS01975
OG0000404	CIB43_RS00250	EXC50_RS02005
OG0000405	CIB43_RS00265	EXC50_RS02020
OG0000409	CIB43_RS00345	EXC50_RS02095
OG0000412	CIB43_RS00390	EXC50_RS02140
OG0000417	CIB43_RS03185	EXC50_RS01135
OG0000428	CIB43_RS01785	EXC50_RS03170
OG0000429	CIB43_RS01885	EXC50_RS03075
OG0000430	CIB43_RS01925	EXC50_RS03030
OG0000434	CIB43_RS01985	EXC50_RS02970
OG0000436	CIB43_RS02030	EXC50_RS02925
OG0000437	CIB43_RS02065	EXC50_RS02915
OG0000441	CIB43_RS03910	EXC50_RS01835
OG0000451	CIB43_RS01085	EXC50_RS00380
OG0000453	CIB43_RS01315	EXC50_RS03660
OG0000457	CIB43_RS00450	EXC50_RS02210
OG0000459	CIB43_RS03460	EXC50_RS01385
OG0000463	CIB43_RS03515	EXC50_RS01430
OG0000464	CIB43_RS03500	EXC50_RS01425
OG0000466	CIB43_RS01115	EXC50_RS00415
OG0000468	CIB43_RS02870	EXC50_RS00910
OG0000471	CIB43_RS01790	EXC50_RS03165
OG0000473	CIB43_RS00580	EXC50_RS02340
OG0000474	CIB43_RS00585	EXC50_RS02345
OG0000475	CIB43_RS00595	EXC50_RS02350
OG0000482	CIB43_RS02080	EXC50_RS02875
OG0000485	CIB43_RS02035	EXC50_RS02920
OG0000486	CIB43_RS03205	EXC50_RS01155
OG0000487	CIB43_RS02915	EXC50_RS00950
OG0000488	CIB43_RS02940	EXC50_RS00985
OG0000489	CIB43_RS00750	EXC50_RS00050
OG0000491	CIB43_RS02220	EXC50_RS02740
OG0000492	CIB43_RS02290	EXC50_RS02665
OG0000495	CIB43_RS03750	EXC50_RS01675
OG0000502	CIB43_RS02070	EXC50_RS02885
OG0000504	CIB43_RS01770	EXC50_RS03190
OG0000506	CIB43_RS01810	EXC50_RS03145
OG0000508	CIB43_RS00980	EXC50_RS00260
OG0000517	CIB43_RS00765	EXC50_RS00065
OG0000519	CIB43_RS01660	EXC50_RS03300
OG0000520	CIB43_RS01780	EXC50_RS03175
OG0000523	CIB43_RS00445	EXC50_RS02205
OG0000526	CIB43_RS02720	EXC50_RS04005
OG0000527	CIB43_RS02640	EXC50_RS00720
OG0000529	CIB43_RS03135	EXC50_RS01090
OG0000530	CIB43_RS03250	EXC50_RS01200
OG0000531	CIB43_RS02265	EXC50_RS02690
OG0000537	CIB43_RS01595	EXC50_RS03360
OG0000538	CIB43_RS01990	EXC50_RS02965
OG0000543	CIB43_RS01215	EXC50_RS00505, EXC50_RS03730
OG0000544	CIB43_RS02125	EXC50_RS02835
OG0000545	CIB43_RS02715	EXC50_RS00770
OG0000546	CIB43_RS03705	EXC50_RS01630
OG0000553	CIB43_RS03610	EXC50_RS01530
OG0000554	CIB43_RS03295	EXC50_RS01245
OG0000557	CIB43_RS02130	EXC50_RS02825
OG0000558	CIB43_RS02100	EXC50_RS02855
OG0000559	CIB43_RS02575	EXC50_RS00655
OG0000560	CIB43_RS02680	EXC50_RS00760
OG0000561	CIB43_RS01980	EXC50_RS02980
OG0000562	CIB43_RS02685	EXC50_RS00765
OG0000563	CIB43_RS02670	EXC50_RS00750
OG0000564	CIB43_RS02155	EXC50_RS04095
OG0000565	CIB43_RS02760	EXC50_RS00810
OG0000566	CIB43_RS02740	EXC50_RS00800
OG0000568	CIB43_RS01555	EXC50_RS03400
OG0000569	CIB43_RS02105	EXC50_RS02850
OG0000570	CIB43_RS02110	EXC50_RS02845
OG0000571	CIB43_RS02115	EXC50_RS02840
OG0000572	CIB43_RS02135	EXC50_RS02820
OG0000573	CIB43_RS02570	EXC50_RS00650
OG0000574	CIB43_RS02175	EXC50_RS02780
OG0000575	CIB43_RS02090	EXC50_RS02865
OG0000576	CIB43_RS02530	EXC50_RS00610
OG0000577	CIB43_RS03580	EXC50_RS01505
OG0000579	CIB43_RS02660	EXC50_RS00740
OG0000580	CIB43_RS03710	EXC50_RS04050
OG0000581	CIB43_RS02645	EXC50_RS00725
OG0000584	CIB43_RS01255	EXC50_RS03755
OG0000588	CIB43_RS02525	EXC50_RS00600
OG0000590	CIB43_RS01190	EXC50_RS03745
OG0000592	CIB43_RS03570	EXC50_RS01495
OG0000594	CIB43_RS02095	EXC50_RS02860
OG0000600	CIB43_RS01175, CIB43_RS00040	EXC50_RS02480
OG0000600	CIB43_RS01260	EXC50_RS03760
OG0000601	CIB43_RS02675	EXC50_RS00755
OG0000603	CIB43_RS01270	EXC50_RS03765
OG0000606	CIB43_RS02655	EXC50_RS00730
OG0000608	CIB43_RS02700, CIB43_RS02695, CIB43_RS02705, CIB43_RS02690	EXC50_RS04000
OG0000609	CIB43_RS02730	EXC50_RS03905
OG0000616	CIB43_RS01280	EXC50_RS03795
OG0000620	CIB43_RS04010	EXC50_RS03885
