Orthogroup	MHP_KM014_genes	MHP_ES2_genes
OG0000234	CIB43_RS02000	E5E95_RS01145
OG0000235	CIB43_RS02005	E5E95_RS01155
OG0000236	CIB43_RS02010	E5E95_RS01160
OG0000237	CIB43_RS02015	E5E95_RS01165
OG0000238	CIB43_RS02025	E5E95_RS01175
OG0000239	CIB43_RS03860	E5E95_RS03145
OG0000240	CIB43_RS03870	E5E95_RS03150
OG0000241	CIB43_RS03875	E5E95_RS03160
OG0000242	CIB43_RS03880	E5E95_RS03165
OG0000243	CIB43_RS03885	E5E95_RS03170
OG0000244	CIB43_RS03900	E5E95_RS03180
OG0000245	CIB43_RS03905	E5E95_RS03190
OG0000246	CIB43_RS00845	E5E95_RS00130
OG0000247	CIB43_RS00850	E5E95_RS00140
OG0000248	CIB43_RS00875	E5E95_RS00150
OG0000250	CIB43_RS00885	E5E95_RS00170
OG0000251	CIB43_RS00925	E5E95_RS00205
OG0000252	CIB43_RS00930	E5E95_RS00215
OG0000253	CIB43_RS00940	E5E95_RS00220
OG0000254	CIB43_RS00950	E5E95_RS00230
OG0000255	CIB43_RS00955	E5E95_RS00240
OG0000256	CIB43_RS00960	E5E95_RS00245
OG0000257	CIB43_RS00985	E5E95_RS00270
OG0000258	CIB43_RS01015	E5E95_RS00280
OG0000259	CIB43_RS01030	E5E95_RS00310
OG0000260	CIB43_RS01045	E5E95_RS00320
OG0000262	CIB43_RS01075	E5E95_RS00350
OG0000263	CIB43_RS01080	E5E95_RS00360
OG0000264	CIB43_RS01100	E5E95_RS00375
OG0000265	CIB43_RS01110	E5E95_RS00385
OG0000266	CIB43_RS01120	E5E95_RS00400
OG0000267	CIB43_RS01135	E5E95_RS00415
OG0000268	CIB43_RS01305	E5E95_RS00420
OG0000269	CIB43_RS01320	E5E95_RS00435
OG0000270	CIB43_RS00575	E5E95_RS03710
OG0000271	CIB43_RS00570	E5E95_RS03705
OG0000272	CIB43_RS00565	E5E95_RS03700
OG0000273	CIB43_RS00560	E5E95_RS03695
OG0000274	CIB43_RS00545	E5E95_RS03675
OG0000275	CIB43_RS00535	E5E95_RS03670
OG0000276	CIB43_RS00530	E5E95_RS03665
OG0000277	CIB43_RS00525	E5E95_RS03655
OG0000278	CIB43_RS00515	E5E95_RS03650
OG0000279	CIB43_RS00510	E5E95_RS03640
OG0000280	CIB43_RS00500	E5E95_RS03635
OG0000281	CIB43_RS00495	E5E95_RS03630
OG0000283	CIB43_RS00475	E5E95_RS03600
OG0000284	CIB43_RS00460	E5E95_RS03595
OG0000285	CIB43_RS00455	E5E95_RS03590
OG0000286	CIB43_RS03345	E5E95_RS04305
OG0000287	CIB43_RS03440	E5E95_RS02720
OG0000288	CIB43_RS03450	E5E95_RS02730
OG0000289	CIB43_RS03455	E5E95_RS02735
OG0000290	CIB43_RS03565	E5E95_RS02845
OG0000291	CIB43_RS03560	E5E95_RS02835
OG0000292	CIB43_RS03550	E5E95_RS02830
OG0000293	CIB43_RS03545	E5E95_RS02825
OG0000294	CIB43_RS03540	E5E95_RS02815
OG0000295	CIB43_RS03530	E5E95_RS02810
OG0000296	CIB43_RS03495	E5E95_RS02770
OG0000297	CIB43_RS03485	E5E95_RS02765
OG0000298	CIB43_RS00880	E5E95_RS00165
OG0000299	CIB43_RS00915	E5E95_RS00190
OG0000300	CIB43_RS01090	E5E95_RS00370
OG0000301	CIB43_RS01125	E5E95_RS00405
OG0000302	CIB43_RS01130	E5E95_RS00410
OG0000303	CIB43_RS01455	E5E95_RS00560
OG0000304	CIB43_RS01950	E5E95_RS01095
OG0000305	CIB43_RS03795	E5E95_RS03080
OG0000306	CIB43_RS03725	E5E95_RS03005
OG0000307	CIB43_RS03685	E5E95_RS02970
OG0000308	CIB43_RS03600	E5E95_RS02875
OG0000309	CIB43_RS03520	E5E95_RS02800
OG0000310	CIB43_RS03445	E5E95_RS02725
OG0000311	CIB43_RS03405	E5E95_RS02690
OG0000312	CIB43_RS03390	E5E95_RS02675
OG0000313	CIB43_RS02485	E5E95_RS01620
OG0000314	CIB43_RS02855	E5E95_RS02075
OG0000315	CIB43_RS02885	E5E95_RS02105
OG0000316	CIB43_RS02895	E5E95_RS02115
OG0000317	CIB43_RS02985	E5E95_RS02205
OG0000318	CIB43_RS02900	E5E95_RS02120
OG0000319	CIB43_RS03125	E5E95_RS02345
OG0000320	CIB43_RS03270	E5E95_RS02570
OG0000321	CIB43_RS02200	E5E95_RS01350
OG0000322	CIB43_RS02245	E5E95_RS01395
OG0000323	CIB43_RS02375	E5E95_RS01525
OG0000324	CIB43_RS03170	E5E95_RS02385
OG0000325	CIB43_RS01570	E5E95_RS00700
OG0000326	CIB43_RS01665	E5E95_RS00795
OG0000327	CIB43_RS01670	E5E95_RS00800
OG0000328	CIB43_RS01760	E5E95_RS00885
OG0000329	CIB43_RS01775	E5E95_RS00905
OG0000330	CIB43_RS01970	E5E95_RS01120
OG0000331	CIB43_RS03890	E5E95_RS03175
OG0000332	CIB43_RS00200	E5E95_RS03320
OG0000333	CIB43_RS00210	E5E95_RS03330
OG0000334	CIB43_RS00315	E5E95_RS03440
OG0000335	CIB43_RS00340	E5E95_RS03450
OG0000336	CIB43_RS00485	E5E95_RS03620
OG0000337	CIB43_RS00655	E5E95_RS03795
OG0000338	CIB43_RS00695	E5E95_RS03835
OG0000339	CIB43_RS03235	E5E95_RS02540
OG0000340	CIB43_RS02185	E5E95_RS01330
OG0000341	CIB43_RS03190	E5E95_RS02405
OG0000342	CIB43_RS01600	E5E95_RS00730
OG0000343	CIB43_RS00215	E5E95_RS03340
OG0000344	CIB43_RS01465	E5E95_RS00575
OG0000345	CIB43_RS01890	E5E95_RS01040
OG0000346	CIB43_RS00490	E5E95_RS03625
OG0000347	CIB43_RS02270	E5E95_RS01420
OG0000348	CIB43_RS01685	E5E95_RS00805
OG0000349	CIB43_RS00550	E5E95_RS03685
OG0000350	CIB43_RS03675	E5E95_RS02960
OG0000351	CIB43_RS01385	E5E95_RS00495
OG0000352	CIB43_RS02830	E5E95_RS02050
OG0000353	CIB43_RS02240	E5E95_RS01390
OG0000354	CIB43_RS01515	E5E95_RS00635
OG0000355	CIB43_RS02805	E5E95_RS02020
OG0000356	CIB43_RS02890	E5E95_RS02110
OG0000357	CIB43_RS00175	E5E95_RS03300
OG0000358	CIB43_RS00180	E5E95_RS03305
OG0000359	CIB43_RS01650	E5E95_RS00775
OG0000360	CIB43_RS00990	E5E95_RS00275
OG0000361	CIB43_RS01020	E5E95_RS00305
OG0000362	CIB43_RS03475	E5E95_RS02745
OG0000363	CIB43_RS02310	E5E95_RS03985
OG0000364	CIB43_RS02775	E5E95_RS01995
OG0000369	CIB43_RS00725	E5E95_RS00025
OG0000370	CIB43_RS00720	E5E95_RS00020
OG0000378	CIB43_RS02160	E5E95_RS01310
OG0000379	CIB43_RS02235	E5E95_RS01385
OG0000380	CIB43_RS02260	E5E95_RS01410
OG0000381	CIB43_RS02300	E5E95_RS01450
OG0000385	CIB43_RS01405	E5E95_RS00520
OG0000389	CIB43_RS01490	E5E95_RS00615
OG0000394	CIB43_RS03660	E5E95_RS02940
OG0000403	CIB43_RS00220	E5E95_RS03345
OG0000404	CIB43_RS00250	E5E95_RS03375
OG0000405	CIB43_RS00265	E5E95_RS03390
OG0000409	CIB43_RS00345	E5E95_RS03470
OG0000412	CIB43_RS00390	E5E95_RS03515
OG0000417	CIB43_RS03185	E5E95_RS02400
OG0000428	CIB43_RS01785	E5E95_RS00915
OG0000429	CIB43_RS01885	E5E95_RS01030
OG0000430	CIB43_RS01925	E5E95_RS01075
OG0000434	CIB43_RS01985	E5E95_RS01135
OG0000436	CIB43_RS02030	E5E95_RS01180
OG0000437	CIB43_RS02065	E5E95_RS01190
OG0000441	CIB43_RS03910	E5E95_RS03195
OG0000451	CIB43_RS01085	E5E95_RS00365
OG0000453	CIB43_RS01315	E5E95_RS00425
OG0000457	CIB43_RS00450	E5E95_RS03585
OG0000459	CIB43_RS03460	E5E95_RS02740
OG0000463	CIB43_RS03515	E5E95_RS02785
OG0000464	CIB43_RS03500	E5E95_RS02780
OG0000466	CIB43_RS01115	E5E95_RS00395
OG0000468	CIB43_RS02870	E5E95_RS02085
OG0000471	CIB43_RS01790	E5E95_RS00920
OG0000473	CIB43_RS00580	E5E95_RS03715
OG0000474	CIB43_RS00585	E5E95_RS03720
OG0000475	CIB43_RS00595	E5E95_RS03725
OG0000482	CIB43_RS02080	E5E95_RS01230
OG0000485	CIB43_RS02035	E5E95_RS01185
OG0000486	CIB43_RS03205	E5E95_RS02420
OG0000487	CIB43_RS02915	E5E95_RS02125
OG0000488	CIB43_RS02940	E5E95_RS02160
OG0000489	CIB43_RS00750	E5E95_RS00050
OG0000491	CIB43_RS02220	E5E95_RS01365
OG0000492	CIB43_RS02290	E5E95_RS01440
OG0000495	CIB43_RS03750	E5E95_RS03035
OG0000502	CIB43_RS02070	E5E95_RS01220
OG0000504	CIB43_RS01770	E5E95_RS00895
OG0000506	CIB43_RS01810	E5E95_RS00960
OG0000508	CIB43_RS00980	E5E95_RS00250
OG0000517	CIB43_RS00765	E5E95_RS00065
OG0000519	CIB43_RS01660	E5E95_RS00785
OG0000520	CIB43_RS01780	E5E95_RS00910
OG0000523	CIB43_RS00445	E5E95_RS03580
OG0000526	CIB43_RS02720	E5E95_RS04020
OG0000527	CIB43_RS02640	E5E95_RS01880
OG0000529	CIB43_RS03135	E5E95_RS02355
OG0000531	CIB43_RS02265	E5E95_RS01415
OG0000537	CIB43_RS01595	E5E95_RS00725
OG0000538	CIB43_RS01990	E5E95_RS01140
OG0000543	CIB43_RS01215	E5E95_RS02460
OG0000544	CIB43_RS02125	E5E95_RS01270
OG0000545	CIB43_RS02715	E5E95_RS01945
OG0000546	CIB43_RS03705	E5E95_RS02990
OG0000552	CIB43_RS00225	E5E95_RS03350
OG0000553	CIB43_RS03610	E5E95_RS02890
OG0000554	CIB43_RS03295	E5E95_RS02600
OG0000556	CIB43_RS01290	E5E95_RS02515
OG0000557	CIB43_RS02130	E5E95_RS01280
OG0000558	CIB43_RS02100	E5E95_RS01250
OG0000559	CIB43_RS02575	E5E95_RS01810
OG0000560	CIB43_RS02680	E5E95_RS01930
OG0000561	CIB43_RS01980	E5E95_RS01125
OG0000562	CIB43_RS02685	E5E95_RS01935
OG0000563	CIB43_RS02670	E5E95_RS01920
OG0000564	CIB43_RS02155	E5E95_RS03980
OG0000565	CIB43_RS02760	E5E95_RS01985
OG0000566	CIB43_RS02740	E5E95_RS01975
OG0000568	CIB43_RS01555	E5E95_RS00685
OG0000569	CIB43_RS02105	E5E95_RS01255
OG0000570	CIB43_RS02110	E5E95_RS01260
OG0000571	CIB43_RS02115	E5E95_RS01265
OG0000572	CIB43_RS02135	E5E95_RS01285
OG0000573	CIB43_RS02570	E5E95_RS01805
OG0000574	CIB43_RS02175	E5E95_RS01325
OG0000575	CIB43_RS02090	E5E95_RS01240
OG0000576	CIB43_RS02530	E5E95_RS01765
OG0000577	CIB43_RS03580	E5E95_RS02860
OG0000579	CIB43_RS02660	E5E95_RS01900
OG0000580	CIB43_RS03710	E5E95_RS04160
OG0000581	CIB43_RS02645	E5E95_RS01885
OG0000584	CIB43_RS01255	E5E95_RS02485, E5E95_RS01705
OG0000585	CIB43_RS03105	E5E95_RS02325
OG0000588	CIB43_RS02525	E5E95_RS01755
OG0000589	CIB43_RS03055	E5E95_RS02260
OG0000590	CIB43_RS01190	E5E95_RS04210, E5E95_RS01715, E5E95_RS02475
OG0000592	CIB43_RS03570	E5E95_RS02850
OG0000594	CIB43_RS02095	E5E95_RS01245
OG0000595	CIB43_RS03920	E5E95_RS03205
OG0000597	CIB43_RS03915	E5E95_RS03200
OG0000600	CIB43_RS01175, CIB43_RS00040	E5E95_RS02490
OG0000601	CIB43_RS02675	E5E95_RS01925
OG0000603	CIB43_RS00060, CIB43_RS01270, CIB43_RS01170	E5E95_RS02495
OG0000606	CIB43_RS02655	E5E95_RS01890
OG0000608	CIB43_RS02700, CIB43_RS02695, CIB43_RS02705, CIB43_RS02690	E5E95_RS01940
OG0000609	CIB43_RS02730	E5E95_RS03860
OG0000613	CIB43_RS02785	E5E95_RS04035
OG0000614	CIB43_RS03070	E5E95_RS02285
OG0000620	CIB43_RS04010	E5E95_RS04025
OG0000674	CIB43_RS03970	E5E95_RS02520
