Orthogroup	MHP_KM014_genes	MHP_111A_genes
OG0000065	CIB43_RS03145	NB623_RS02390
OG0000068	CIB43_RS01520	NB623_RS00640
OG0000069	CIB43_RS03740	NB623_RS02980
OG0000070	CIB43_RS03400	NB623_RS02630
OG0000071	CIB43_RS00360	NB623_RS03425
OG0000072	CIB43_RS00375	NB623_RS03430
OG0000073	CIB43_RS01580	NB623_RS00710
OG0000075	CIB43_RS01060	NB623_RS00330
OG0000077	CIB43_RS01330	NB623_RS00430
OG0000078	CIB43_RS02560	NB623_RS01805
OG0000079	CIB43_RS03480	NB623_RS02720
OG0000080	CIB43_RS03525	NB623_RS02770
OG0000081	CIB43_RS01055	NB623_RS00325
OG0000083	CIB43_RS02935	NB623_RS02075
OG0000084	CIB43_RS02955	NB623_RS02045
OG0000086	CIB43_RS02970	NB623_RS02030
OG0000087	CIB43_RS02975	NB623_RS02015
OG0000088	CIB43_RS02980	NB623_RS02010
OG0000089	CIB43_RS02990	NB623_RS02000
OG0000090	CIB43_RS00770	NB623_RS00070
OG0000091	CIB43_RS00760	NB623_RS00055
OG0000092	CIB43_RS00745	NB623_RS00050
OG0000093	CIB43_RS00735	NB623_RS00035
OG0000094	CIB43_RS00730	NB623_RS00030
OG0000095	CIB43_RS00715	NB623_RS00005
OG0000096	CIB43_RS00700	NB623_RS03810
OG0000097	CIB43_RS00690	NB623_RS03790
OG0000100	CIB43_RS00610	NB623_RS03715
OG0000101	CIB43_RS00600	NB623_RS03710
OG0000102	CIB43_RS02580	NB623_RS01830
OG0000103	CIB43_RS03110	NB623_RS02355
OG0000104	CIB43_RS03120	NB623_RS02360
OG0000105	CIB43_RS03130	NB623_RS02380
OG0000106	CIB43_RS03140	NB623_RS02385
OG0000107	CIB43_RS03150	NB623_RS02395
OG0000108	CIB43_RS03155	NB623_RS02400
OG0000109	CIB43_RS03160	NB623_RS02405
OG0000110	CIB43_RS03290	NB623_RS02525
OG0000111	CIB43_RS03285	NB623_RS02520
OG0000112	CIB43_RS03280	NB623_RS02510
OG0000113	CIB43_RS03260	NB623_RS02490
OG0000114	CIB43_RS03245	NB623_RS02485
OG0000115	CIB43_RS03230	NB623_RS02470
OG0000116	CIB43_RS02165	NB623_RS01415
OG0000117	CIB43_RS02170	NB623_RS01420
OG0000118	CIB43_RS02205	NB623_RS01455
OG0000119	CIB43_RS02210	NB623_RS01465
OG0000120	CIB43_RS02230	NB623_RS01475
OG0000121	CIB43_RS02250	NB623_RS01505
OG0000122	CIB43_RS02255	NB623_RS01510
OG0000123	CIB43_RS02275	NB623_RS01530
OG0000124	CIB43_RS02280	NB623_RS01535
OG0000125	CIB43_RS02285	NB623_RS01545
OG0000126	CIB43_RS02295	NB623_RS01550
OG0000127	CIB43_RS02305	NB623_RS01560
OG0000128	CIB43_RS02320	NB623_RS01575
OG0000129	CIB43_RS02330	NB623_RS01580
OG0000130	CIB43_RS02335	NB623_RS01590
OG0000131	CIB43_RS02370	NB623_RS01620
OG0000132	CIB43_RS02385	NB623_RS01635
OG0000133	CIB43_RS01415	NB623_RS00525
OG0000134	CIB43_RS01425	NB623_RS00530
OG0000135	CIB43_RS01435	NB623_RS00545
OG0000136	CIB43_RS01440	NB623_RS00550
OG0000137	CIB43_RS01470	NB623_RS00590
OG0000138	CIB43_RS01495	NB623_RS00615
OG0000139	CIB43_RS01525	NB623_RS00645
OG0000140	CIB43_RS01540	NB623_RS00650
OG0000141	CIB43_RS03850	NB623_RS03095
OG0000142	CIB43_RS03845	NB623_RS03090
OG0000143	CIB43_RS03835	NB623_RS03075
OG0000144	CIB43_RS03815	NB623_RS03060
OG0000145	CIB43_RS03805	NB623_RS03050
OG0000146	CIB43_RS03790	NB623_RS03040
OG0000147	CIB43_RS03785	NB623_RS03035
OG0000148	CIB43_RS03780	NB623_RS03020
OG0000149	CIB43_RS03760	NB623_RS03010
OG0000150	CIB43_RS03745	NB623_RS02995
OG0000151	CIB43_RS03700	NB623_RS02945
OG0000152	CIB43_RS03695	NB623_RS02940
OG0000153	CIB43_RS03690	NB623_RS02935
OG0000154	CIB43_RS03680	NB623_RS02925
OG0000155	CIB43_RS03645	NB623_RS02885
OG0000156	CIB43_RS03635	NB623_RS02875
OG0000157	CIB43_RS03625	NB623_RS02870
OG0000158	CIB43_RS03620	NB623_RS02860
OG0000159	CIB43_RS03385	NB623_RS02615
OG0000160	CIB43_RS03380	NB623_RS02610
OG0000161	CIB43_RS03375	NB623_RS02605
OG0000163	CIB43_RS03370	NB623_RS02590
OG0000164	CIB43_RS02495	NB623_RS01725
OG0000165	CIB43_RS02840	NB623_RS02155
OG0000166	CIB43_RS02860	NB623_RS02135
OG0000167	CIB43_RS02875	NB623_RS02120
OG0000168	CIB43_RS02880	NB623_RS02115
OG0000169	CIB43_RS00130	NB623_RS03200
OG0000171	CIB43_RS00155	NB623_RS03225
OG0000172	CIB43_RS00160	NB623_RS03230
OG0000173	CIB43_RS00165	NB623_RS03235
OG0000174	CIB43_RS00170	NB623_RS03240
OG0000175	CIB43_RS00190	NB623_RS03265
OG0000176	CIB43_RS00235	NB623_RS03310
OG0000177	CIB43_RS00240	NB623_RS03315
OG0000178	CIB43_RS00245	NB623_RS03320
OG0000179	CIB43_RS00255	NB623_RS03330
OG0000180	CIB43_RS00260	NB623_RS03335
OG0000181	CIB43_RS00310	NB623_RS03375
OG0000182	CIB43_RS00320	NB623_RS03385
OG0000183	CIB43_RS00355	NB623_RS03420
OG0000184	CIB43_RS00430	NB623_RS03485
OG0000185	CIB43_RS00380	NB623_RS03475
OG0000186	CIB43_RS02400	NB623_RS01645
OG0000187	CIB43_RS02410	NB623_RS01660
OG0000188	CIB43_RS02425	NB623_RS01670
OG0000189	CIB43_RS03200	NB623_RS02445
OG0000190	CIB43_RS03195	NB623_RS02440
OG0000191	CIB43_RS03180	NB623_RS02415
OG0000192	CIB43_RS02085	NB623_RS01340
OG0000193	CIB43_RS02075	NB623_RS01325
OG0000194	CIB43_RS01560	NB623_RS00690
OG0000195	CIB43_RS01565	NB623_RS00695
OG0000196	CIB43_RS01585	NB623_RS00720
OG0000197	CIB43_RS01590	NB623_RS00730
OG0000198	CIB43_RS01605	NB623_RS00740
OG0000199	CIB43_RS01615	NB623_RS00745
OG0000200	CIB43_RS01630	NB623_RS00760
OG0000201	CIB43_RS01635	NB623_RS00770
OG0000202	CIB43_RS01690	NB623_RS00830
OG0000203	CIB43_RS01695	NB623_RS00835
OG0000204	CIB43_RS01700	NB623_RS00840
OG0000205	CIB43_RS01705	NB623_RS00845
OG0000206	CIB43_RS01735	NB623_RS00865
OG0000207	CIB43_RS01740	NB623_RS00880
OG0000208	CIB43_RS01745	NB623_RS00885
OG0000209	CIB43_RS01750	NB623_RS00890
OG0000210	CIB43_RS01800	NB623_RS00935
OG0000211	CIB43_RS01805	NB623_RS01070
OG0000212	CIB43_RS01815	NB623_RS01080
OG0000213	CIB43_RS01820	NB623_RS01085
OG0000214	CIB43_RS01825	NB623_RS01090
OG0000215	CIB43_RS01830	NB623_RS01095
OG0000216	CIB43_RS01835	NB623_RS01100
OG0000217	CIB43_RS01845	NB623_RS01105
OG0000218	CIB43_RS01850	NB623_RS01115
OG0000219	CIB43_RS01855	NB623_RS01120
OG0000220	CIB43_RS01860	NB623_RS01125
OG0000221	CIB43_RS01865	NB623_RS01130
OG0000222	CIB43_RS01870	NB623_RS01135
OG0000223	CIB43_RS01875	NB623_RS01140
OG0000225	CIB43_RS01895	NB623_RS01160
OG0000226	CIB43_RS01900	NB623_RS01165
OG0000227	CIB43_RS01905	NB623_RS01170
OG0000228	CIB43_RS01910	NB623_RS01175
OG0000229	CIB43_RS01915	NB623_RS01180
OG0000230	CIB43_RS01920	NB623_RS01185
OG0000231	CIB43_RS01935	NB623_RS01195
OG0000232	CIB43_RS01940	NB623_RS01205
OG0000233	CIB43_RS01965	NB623_RS01225
OG0000234	CIB43_RS02000	NB623_RS01260
OG0000235	CIB43_RS02005	NB623_RS01270
OG0000236	CIB43_RS02010	NB623_RS01275
OG0000237	CIB43_RS02015	NB623_RS01280
OG0000238	CIB43_RS02025	NB623_RS01285
OG0000239	CIB43_RS03860	NB623_RS03105
OG0000240	CIB43_RS03870	NB623_RS03110
OG0000241	CIB43_RS03875	NB623_RS03120
OG0000242	CIB43_RS03880	NB623_RS03125
OG0000243	CIB43_RS03885	NB623_RS03130
OG0000244	CIB43_RS03900	NB623_RS03140
OG0000245	CIB43_RS03905	NB623_RS03145
OG0000246	CIB43_RS00845	NB623_RS00130
OG0000247	CIB43_RS00850	NB623_RS00140
OG0000248	CIB43_RS00875	NB623_RS00150
OG0000250	CIB43_RS00885	NB623_RS00175
OG0000251	CIB43_RS00925	NB623_RS00205
OG0000252	CIB43_RS00930	NB623_RS00210
OG0000253	CIB43_RS00940	NB623_RS00215
OG0000254	CIB43_RS00950	NB623_RS00225
OG0000255	CIB43_RS00955	NB623_RS00230
OG0000256	CIB43_RS00960	NB623_RS00240
OG0000257	CIB43_RS00985	NB623_RS00260
OG0000258	CIB43_RS01015	NB623_RS00270
OG0000259	CIB43_RS01030	NB623_RS00300
OG0000260	CIB43_RS01045	NB623_RS00310
OG0000262	CIB43_RS01075	NB623_RS00340
OG0000263	CIB43_RS01080	NB623_RS00350
OG0000264	CIB43_RS01100	NB623_RS00365
OG0000265	CIB43_RS01110	NB623_RS00375
OG0000266	CIB43_RS01120	NB623_RS00390
OG0000267	CIB43_RS01135	NB623_RS00405
OG0000268	CIB43_RS01305	NB623_RS00410
OG0000269	CIB43_RS01320	NB623_RS00425
OG0000270	CIB43_RS00575	NB623_RS03685
OG0000271	CIB43_RS00570	NB623_RS03675
OG0000272	CIB43_RS00565	NB623_RS03670
OG0000273	CIB43_RS00560	NB623_RS03665
OG0000274	CIB43_RS00545	NB623_RS03650
OG0000275	CIB43_RS00535	NB623_RS03640
OG0000276	CIB43_RS00530	NB623_RS03635
OG0000277	CIB43_RS00525	NB623_RS03625
OG0000278	CIB43_RS00515	NB623_RS03620
OG0000279	CIB43_RS00510	NB623_RS03615
OG0000280	CIB43_RS00500	NB623_RS03605
OG0000281	CIB43_RS00495	NB623_RS03600
OG0000283	CIB43_RS00475	NB623_RS03565
OG0000284	CIB43_RS00460	NB623_RS03560
OG0000285	CIB43_RS00455	NB623_RS03555
OG0000286	CIB43_RS03345	NB623_RS02575
OG0000287	CIB43_RS03440	NB623_RS02675
OG0000288	CIB43_RS03450	NB623_RS02685
OG0000289	CIB43_RS03455	NB623_RS02690
OG0000290	CIB43_RS03565	NB623_RS02810
OG0000291	CIB43_RS03560	NB623_RS02800
OG0000292	CIB43_RS03550	NB623_RS02795
OG0000293	CIB43_RS03545	NB623_RS02790
OG0000294	CIB43_RS03540	NB623_RS02780
OG0000295	CIB43_RS03530	NB623_RS02775
OG0000296	CIB43_RS03495	NB623_RS02730
OG0000297	CIB43_RS03485	NB623_RS02725
OG0000298	CIB43_RS00880	NB623_RS00165
OG0000299	CIB43_RS00915	NB623_RS00185
OG0000300	CIB43_RS01090	NB623_RS00360
OG0000301	CIB43_RS01125	NB623_RS00395
OG0000302	CIB43_RS01130	NB623_RS00400
OG0000303	CIB43_RS01455	NB623_RS00555
OG0000304	CIB43_RS01950	NB623_RS01210
OG0000305	CIB43_RS03795	NB623_RS03045
OG0000306	CIB43_RS03725	NB623_RS02970
OG0000307	CIB43_RS03685	NB623_RS02930
OG0000308	CIB43_RS03600	NB623_RS02835
OG0000309	CIB43_RS03520	NB623_RS02765
OG0000310	CIB43_RS03445	NB623_RS02680
OG0000311	CIB43_RS03405	NB623_RS02635
OG0000312	CIB43_RS03390	NB623_RS02620
OG0000313	CIB43_RS02485	NB623_RS01715
OG0000314	CIB43_RS02855	NB623_RS02140
OG0000315	CIB43_RS02885	NB623_RS02110
OG0000316	CIB43_RS02895	NB623_RS02100
OG0000317	CIB43_RS02985	NB623_RS02005
OG0000318	CIB43_RS02900	NB623_RS02095
OG0000319	CIB43_RS03125	NB623_RS02370
OG0000320	CIB43_RS03270	NB623_RS02500
OG0000321	CIB43_RS02200	NB623_RS01450
OG0000322	CIB43_RS02245	NB623_RS01500
OG0000323	CIB43_RS02375	NB623_RS01630
OG0000324	CIB43_RS03170	NB623_RS02410
OG0000325	CIB43_RS01570	NB623_RS00705
OG0000326	CIB43_RS01665	NB623_RS00805
OG0000327	CIB43_RS01670	NB623_RS00810
OG0000328	CIB43_RS01760	NB623_RS00895
OG0000329	CIB43_RS01775	NB623_RS00915
OG0000330	CIB43_RS01970	NB623_RS01235
OG0000331	CIB43_RS03890	NB623_RS03135
OG0000332	CIB43_RS00200	NB623_RS03270
OG0000333	CIB43_RS00210	NB623_RS03280
OG0000334	CIB43_RS00315	NB623_RS03380
OG0000335	CIB43_RS00340	NB623_RS03390
OG0000336	CIB43_RS00485	NB623_RS03590
OG0000337	CIB43_RS00655	NB623_RS03765
OG0000338	CIB43_RS00695	NB623_RS03805
OG0000339	CIB43_RS03235	NB623_RS02475
OG0000340	CIB43_RS02185	NB623_RS01430
OG0000341	CIB43_RS03190	NB623_RS02435
OG0000342	CIB43_RS01600	NB623_RS00735
OG0000343	CIB43_RS00215	NB623_RS03290
OG0000344	CIB43_RS01465	NB623_RS00570
OG0000345	CIB43_RS01890	NB623_RS01155
OG0000346	CIB43_RS00490	NB623_RS03595
OG0000347	CIB43_RS02270	NB623_RS01525
OG0000348	CIB43_RS01685	NB623_RS00815
OG0000349	CIB43_RS00550	NB623_RS03655
OG0000350	CIB43_RS03675	NB623_RS02920
OG0000351	CIB43_RS01385	NB623_RS00480
OG0000352	CIB43_RS02830	NB623_RS02160
OG0000353	CIB43_RS02240	NB623_RS01490
OG0000354	CIB43_RS01515	NB623_RS00630
OG0000355	CIB43_RS02805	NB623_RS02185
OG0000356	CIB43_RS02890	NB623_RS02105
OG0000357	CIB43_RS00175	NB623_RS03245
OG0000358	CIB43_RS00180	NB623_RS03250
OG0000359	CIB43_RS01650	NB623_RS00780
OG0000360	CIB43_RS00990	NB623_RS00265
OG0000361	CIB43_RS01020	NB623_RS00295
OG0000362	CIB43_RS03475	NB623_RS02705
OG0000363	CIB43_RS02310	NB623_RS01565
OG0000369	CIB43_RS00725	NB623_RS00025
OG0000370	CIB43_RS00720	NB623_RS00020
OG0000378	CIB43_RS02160	NB623_RS01410
OG0000379	CIB43_RS02235	NB623_RS01485
OG0000380	CIB43_RS02260	NB623_RS01515
OG0000381	CIB43_RS02300	NB623_RS01555
OG0000385	CIB43_RS01405	NB623_RS00520
OG0000389	CIB43_RS01490	NB623_RS00610
OG0000394	CIB43_RS03660	NB623_RS02895
OG0000396	CIB43_RS03350	NB623_RS02580
OG0000403	CIB43_RS00220	NB623_RS03295
OG0000404	CIB43_RS00250	NB623_RS03325
OG0000405	CIB43_RS00265	NB623_RS03340
OG0000409	CIB43_RS00345	NB623_RS03410
OG0000417	CIB43_RS03185	NB623_RS02430
OG0000428	CIB43_RS01785	NB623_RS00925
OG0000429	CIB43_RS01885	NB623_RS01145
OG0000430	CIB43_RS01925	NB623_RS01190
OG0000434	CIB43_RS01985	NB623_RS01255
OG0000436	CIB43_RS02030	NB623_RS01290
OG0000437	CIB43_RS02065	NB623_RS01300
OG0000441	CIB43_RS03910	NB623_RS03150
OG0000451	CIB43_RS01085	NB623_RS00355
OG0000453	CIB43_RS01315	NB623_RS00415
OG0000457	CIB43_RS00450	NB623_RS03545
OG0000459	CIB43_RS03460	NB623_RS02700
OG0000463	CIB43_RS03515	NB623_RS02745
OG0000464	CIB43_RS03500	NB623_RS02740
OG0000466	CIB43_RS01115	NB623_RS00385
OG0000468	CIB43_RS02870	NB623_RS02130
OG0000471	CIB43_RS01790	NB623_RS00930
OG0000473	CIB43_RS00580	NB623_RS03690
OG0000474	CIB43_RS00585	NB623_RS03695
OG0000475	CIB43_RS00595	NB623_RS03700
OG0000482	CIB43_RS02080	NB623_RS01330
OG0000485	CIB43_RS02035	NB623_RS01295
OG0000486	CIB43_RS03205	NB623_RS02450
OG0000488	CIB43_RS02940	NB623_RS02055
OG0000495	CIB43_RS03750	NB623_RS03005
OG0000502	CIB43_RS02070	NB623_RS01320
OG0000504	CIB43_RS01770	NB623_RS00905
OG0000506	CIB43_RS01810	NB623_RS01075
OG0000517	CIB43_RS00765	NB623_RS00065
OG0000519	CIB43_RS01660	NB623_RS00795
OG0000520	CIB43_RS01780	NB623_RS00920
OG0000523	CIB43_RS00445	NB623_RS03540
OG0000526	CIB43_RS02720	NB623_RS02260
OG0000527	CIB43_RS02640	NB623_RS02315
OG0000531	CIB43_RS02265	NB623_RS01520
OG0000543	CIB43_RS01215	NB623_RS01930
OG0000544	CIB43_RS02125	NB623_RS01375
OG0000545	CIB43_RS02715	NB623_RS02270
OG0000546	CIB43_RS03705	NB623_RS02950
OG0000552	CIB43_RS00225	NB623_RS03300
OG0000553	CIB43_RS03610	NB623_RS02855
OG0000554	CIB43_RS03295	NB623_RS02535
OG0000557	CIB43_RS02130	NB623_RS01385
OG0000558	CIB43_RS02100	NB623_RS01355
OG0000559	CIB43_RS02575	NB623_RS01825
OG0000560	CIB43_RS02680	NB623_RS02290
OG0000561	CIB43_RS01980	NB623_RS01240
OG0000562	CIB43_RS02685	NB623_RS02280
OG0000563	CIB43_RS02670	NB623_RS02295
OG0000564	CIB43_RS02155	NB623_RS01405
OG0000565	CIB43_RS02760	NB623_RS02220
OG0000566	CIB43_RS02740	NB623_RS02240
OG0000568	CIB43_RS01555	NB623_RS00685
OG0000569	CIB43_RS02105	NB623_RS01360
OG0000570	CIB43_RS02110	NB623_RS01365
OG0000571	CIB43_RS02115	NB623_RS01370
OG0000572	CIB43_RS02135	NB623_RS01390
OG0000573	CIB43_RS02570	NB623_RS01820
OG0000574	CIB43_RS02175	NB623_RS01425
OG0000575	CIB43_RS02090	NB623_RS01350
OG0000576	CIB43_RS02530	NB623_RS01775
OG0000577	CIB43_RS03580	NB623_RS02825
OG0000579	CIB43_RS02660	NB623_RS02305
OG0000580	CIB43_RS03710	NB623_RS02955
OG0000581	CIB43_RS02645	NB623_RS02310
OG0000584	CIB43_RS01180, CIB43_RS00035, CIB43_RS01255	NB623_RS01955
OG0000585	CIB43_RS03105	NB623_RS02350
OG0000588	CIB43_RS02525	NB623_RS01765
OG0000589	CIB43_RS03055	NB623_RS01010
OG0000590	CIB43_RS01190	NB623_RS01945
OG0000592	CIB43_RS03570	NB623_RS02815
OG0000595	CIB43_RS03920	NB623_RS03160
OG0000597	CIB43_RS03915	NB623_RS03155
OG0000600	CIB43_RS01175, CIB43_RS00040, CIB43_RS01260	NB623_RS01960
OG0000603	CIB43_RS01270	NB623_RS01965
OG0000608	CIB43_RS02695, CIB43_RS02705, CIB43_RS02690	NB623_RS02275
OG0000609	CIB43_RS02730	NB623_RS02250
OG0000613	CIB43_RS02785	NB623_RS02205
OG0000614	CIB43_RS03070	NB623_RS00975
OG0000616	CIB43_RS01280	NB623_RS01975
OG0000624	CIB43_RS00230	NB623_RS03305
