Orthogroup	MHP_KM014_genes	MHP_7422_genes
OG0000183	CIB43_RS00355	MHL_RS03270
OG0000184	CIB43_RS00430	MHL_RS03310
OG0000185	CIB43_RS00380	MHL_RS03295
OG0000186	CIB43_RS02400	MHL_RS01605
OG0000187	CIB43_RS02410	MHL_RS01620
OG0000188	CIB43_RS02425	MHL_RS01630
OG0000189	CIB43_RS03200	MHL_RS02365
OG0000190	CIB43_RS03195	MHL_RS02360
OG0000191	CIB43_RS03180	MHL_RS02340
OG0000192	CIB43_RS02085	MHL_RS01300
OG0000193	CIB43_RS02075	MHL_RS01290
OG0000194	CIB43_RS01560	MHL_RS00780
OG0000195	CIB43_RS01565	MHL_RS00785
OG0000196	CIB43_RS01585	MHL_RS00805
OG0000197	CIB43_RS01590	MHL_RS00810
OG0000198	CIB43_RS01605	MHL_RS00825
OG0000199	CIB43_RS01615	MHL_RS00830
OG0000200	CIB43_RS01630	MHL_RS00840
OG0000201	CIB43_RS01635	MHL_RS00850
OG0000202	CIB43_RS01690	MHL_RS00905
OG0000203	CIB43_RS01695	MHL_RS00910
OG0000204	CIB43_RS01700	MHL_RS00915
OG0000205	CIB43_RS01705	MHL_RS00920
OG0000206	CIB43_RS01735	MHL_RS00940
OG0000207	CIB43_RS01740	MHL_RS00955
OG0000208	CIB43_RS01745	MHL_RS00960
OG0000209	CIB43_RS01750	MHL_RS00965
OG0000210	CIB43_RS01800	MHL_RS01010
OG0000211	CIB43_RS01805	MHL_RS01020
OG0000212	CIB43_RS01815	MHL_RS01030
OG0000213	CIB43_RS01820	MHL_RS01035
OG0000214	CIB43_RS01825	MHL_RS01040
OG0000215	CIB43_RS01830	MHL_RS01045
OG0000216	CIB43_RS01835	MHL_RS01050
OG0000217	CIB43_RS01845	MHL_RS01055
OG0000218	CIB43_RS01850	MHL_RS01065
OG0000219	CIB43_RS01855	MHL_RS01070
OG0000220	CIB43_RS01860	MHL_RS01075
OG0000221	CIB43_RS01865	MHL_RS01080
OG0000222	CIB43_RS01870	MHL_RS01085
OG0000223	CIB43_RS01875	MHL_RS01090
OG0000225	CIB43_RS01895	MHL_RS01110
OG0000226	CIB43_RS01900	MHL_RS01115
OG0000227	CIB43_RS01905	MHL_RS01120
OG0000228	CIB43_RS01910	MHL_RS04215
OG0000229	CIB43_RS01915	MHL_RS01130
OG0000230	CIB43_RS01920	MHL_RS01135
OG0000231	CIB43_RS01935	MHL_RS01145
OG0000232	CIB43_RS01940	MHL_RS01155
OG0000233	CIB43_RS01965	MHL_RS01175
OG0000234	CIB43_RS02000	MHL_RS01210
OG0000235	CIB43_RS02005	MHL_RS01220
OG0000236	CIB43_RS02010	MHL_RS01225
OG0000237	CIB43_RS02015	MHL_RS01230
OG0000238	CIB43_RS02025	MHL_RS01240
OG0000239	CIB43_RS03860	MHL_RS02990
OG0000240	CIB43_RS03870	MHL_RS02995
OG0000241	CIB43_RS03875	MHL_RS03005
OG0000242	CIB43_RS03880	MHL_RS03010
OG0000243	CIB43_RS03885	MHL_RS03015
OG0000244	CIB43_RS03900	MHL_RS03025
OG0000245	CIB43_RS03905	MHL_RS03035
OG0000246	CIB43_RS00845	MHL_RS00145
OG0000247	CIB43_RS00850	MHL_RS00155
OG0000248	CIB43_RS00875	MHL_RS00165
OG0000250	CIB43_RS00885	MHL_RS00185
OG0000251	CIB43_RS00925	MHL_RS00210
OG0000252	CIB43_RS00930	MHL_RS00220
OG0000253	CIB43_RS00940	MHL_RS00225
OG0000254	CIB43_RS00950	MHL_RS00235
OG0000255	CIB43_RS00955	MHL_RS00245
OG0000256	CIB43_RS00960	MHL_RS00250
OG0000257	CIB43_RS00985	MHL_RS00275
OG0000258	CIB43_RS01015	MHL_RS00285
OG0000259	CIB43_RS01030	MHL_RS00315
OG0000260	CIB43_RS01045	MHL_RS00325
OG0000262	CIB43_RS01075	MHL_RS00350
OG0000263	CIB43_RS01080	MHL_RS00370
OG0000264	CIB43_RS01100	MHL_RS00380
OG0000265	CIB43_RS01110	MHL_RS00390
OG0000266	CIB43_RS01120	MHL_RS00405
OG0000267	CIB43_RS01135	MHL_RS00420
OG0000268	CIB43_RS01305	MHL_RS00425
OG0000269	CIB43_RS01320	MHL_RS00440
OG0000270	CIB43_RS00575	MHL_RS03490
OG0000271	CIB43_RS00570	MHL_RS03485
OG0000272	CIB43_RS00565	MHL_RS03480
OG0000273	CIB43_RS00560	MHL_RS03475
OG0000274	CIB43_RS00545	MHL_RS03455
OG0000275	CIB43_RS00535	MHL_RS03450
OG0000276	CIB43_RS00530	MHL_RS03445
OG0000277	CIB43_RS00525	MHL_RS03435
OG0000278	CIB43_RS00515	MHL_RS03430
OG0000279	CIB43_RS00510	MHL_RS03420
OG0000280	CIB43_RS00500	MHL_RS03415
OG0000281	CIB43_RS00495	MHL_RS03760
OG0000283	CIB43_RS00475	MHL_RS03385
OG0000284	CIB43_RS00460	MHL_RS03380
OG0000285	CIB43_RS00455	MHL_RS03375
OG0000286	CIB43_RS03345	MHL_RS02485
OG0000287	CIB43_RS03440	MHL_RS02575
OG0000288	CIB43_RS03450	MHL_RS02585
OG0000289	CIB43_RS03455	MHL_RS02590
OG0000290	CIB43_RS03565	MHL_RS02700
OG0000291	CIB43_RS03560	MHL_RS02690
OG0000292	CIB43_RS03550	MHL_RS02685
OG0000293	CIB43_RS03545	MHL_RS02680
OG0000294	CIB43_RS03540	MHL_RS02670
OG0000295	CIB43_RS03530	MHL_RS02665
OG0000296	CIB43_RS03495	MHL_RS02625
OG0000297	CIB43_RS03485	MHL_RS02620
OG0000298	CIB43_RS00880	MHL_RS00180
OG0000299	CIB43_RS00915	MHL_RS03650
OG0000300	CIB43_RS01090	MHL_RS00375
OG0000301	CIB43_RS01125	MHL_RS00410
OG0000302	CIB43_RS01130	MHL_RS00415
OG0000303	CIB43_RS01455	MHL_RS00560
OG0000304	CIB43_RS01950	MHL_RS01160
OG0000305	CIB43_RS03795	MHL_RS02925
OG0000306	CIB43_RS03725	MHL_RS02850
OG0000307	CIB43_RS03685	MHL_RS02815
OG0000308	CIB43_RS03600	MHL_RS02720
OG0000309	CIB43_RS03520	MHL_RS02655
OG0000310	CIB43_RS03445	MHL_RS02580
OG0000311	CIB43_RS03405	MHL_RS02545
OG0000312	CIB43_RS03390	MHL_RS02530
OG0000313	CIB43_RS02485	MHL_RS01680
OG0000314	CIB43_RS02855	MHL_RS02030
OG0000315	CIB43_RS02885	MHL_RS02060
OG0000316	CIB43_RS02895	MHL_RS02070
OG0000317	CIB43_RS02985	MHL_RS02160
OG0000318	CIB43_RS02900	MHL_RS02075
OG0000319	CIB43_RS03125	MHL_RS02290
OG0000320	CIB43_RS03270	MHL_RS02425
OG0000321	CIB43_RS02200	MHL_RS01415
OG0000322	CIB43_RS02245	MHL_RS01460
OG0000323	CIB43_RS02375	MHL_RS01590
OG0000324	CIB43_RS03170	MHL_RS02335
OG0000325	CIB43_RS01570	MHL_RS00790
OG0000326	CIB43_RS01665	MHL_RS00880
OG0000327	CIB43_RS01670	MHL_RS00885
OG0000328	CIB43_RS01760	MHL_RS00970
OG0000329	CIB43_RS01775	MHL_RS00990
OG0000330	CIB43_RS01970	MHL_RS01185
OG0000331	CIB43_RS03890	MHL_RS03020
OG0000332	CIB43_RS00200	MHL_RS03120
OG0000333	CIB43_RS00210	MHL_RS03130
OG0000334	CIB43_RS00315	MHL_RS03230
OG0000335	CIB43_RS00340	MHL_RS03240
OG0000336	CIB43_RS00485	MHL_RS03405
OG0000337	CIB43_RS00655	MHL_RS03570
OG0000338	CIB43_RS00695	MHL_RS03610
OG0000339	CIB43_RS03235	MHL_RS02400
OG0000340	CIB43_RS02185	MHL_RS01395
OG0000341	CIB43_RS03190	MHL_RS02355
OG0000342	CIB43_RS01600	MHL_RS00820
OG0000343	CIB43_RS00215	MHL_RS03140
OG0000344	CIB43_RS01465	MHL_RS00580
OG0000345	CIB43_RS01890	MHL_RS01105
OG0000346	CIB43_RS00490	MHL_RS03410
OG0000347	CIB43_RS02270	MHL_RS01485
OG0000348	CIB43_RS01685	MHL_RS00890
OG0000349	CIB43_RS00550	MHL_RS03640
OG0000350	CIB43_RS03675	MHL_RS02805
OG0000351	CIB43_RS01385	MHL_RS00505
OG0000352	CIB43_RS02830	MHL_RS02010
OG0000353	CIB43_RS02240	MHL_RS01455
OG0000354	CIB43_RS01515	MHL_RS00725
OG0000355	CIB43_RS02805	MHL_RS01980
OG0000356	CIB43_RS02890	MHL_RS02065
OG0000357	CIB43_RS00175	MHL_RS03100
OG0000358	CIB43_RS00180	MHL_RS03105
OG0000359	CIB43_RS01650	MHL_RS00860
OG0000360	CIB43_RS00990	MHL_RS00280
OG0000361	CIB43_RS01020	MHL_RS00310
OG0000362	CIB43_RS03475	MHL_RS02600
OG0000363	CIB43_RS02310	MHL_RS03985
OG0000364	CIB43_RS02775	MHL_RS01955
OG0000369	CIB43_RS00725	MHL_RS00030
OG0000370	CIB43_RS00720	MHL_RS00025
OG0000378	CIB43_RS02160	MHL_RS01375
OG0000379	CIB43_RS02235	MHL_RS01450
OG0000380	CIB43_RS02260	MHL_RS01475
OG0000381	CIB43_RS02300	MHL_RS01515
OG0000389	CIB43_RS01490	MHL_RS00705
OG0000394	CIB43_RS03660	MHL_RS02780
OG0000396	CIB43_RS03350	MHL_RS02490
OG0000403	CIB43_RS00220	MHL_RS03145
OG0000404	CIB43_RS00250	MHL_RS03175
OG0000405	CIB43_RS00265	MHL_RS03190
OG0000409	CIB43_RS00345	MHL_RS03260
OG0000412	CIB43_RS00390	MHL_RS03300
OG0000417	CIB43_RS03185	MHL_RS02350
OG0000428	CIB43_RS01785	MHL_RS01000
OG0000429	CIB43_RS01885	MHL_RS01095
OG0000430	CIB43_RS01925	MHL_RS01140
OG0000434	CIB43_RS01985	MHL_RS01200
OG0000436	CIB43_RS02030	MHL_RS01245
OG0000437	CIB43_RS02065	MHL_RS01255
OG0000441	CIB43_RS03910	MHL_RS03040
OG0000453	CIB43_RS01315	MHL_RS00430
OG0000457	CIB43_RS00450	MHL_RS03370
OG0000459	CIB43_RS03460	MHL_RS02595
OG0000463	CIB43_RS03515	MHL_RS02640
OG0000464	CIB43_RS03500	MHL_RS02635
OG0000466	CIB43_RS01115	MHL_RS00400
OG0000468	CIB43_RS02870	MHL_RS02040
OG0000471	CIB43_RS01790	MHL_RS01005
OG0000473	CIB43_RS00580	MHL_RS03495
OG0000474	CIB43_RS00585	MHL_RS03500
OG0000475	CIB43_RS00595	MHL_RS03505
OG0000482	CIB43_RS02080	MHL_RS01295
OG0000485	CIB43_RS02035	MHL_RS01250
OG0000486	CIB43_RS03205	MHL_RS02370
OG0000487	CIB43_RS02915	MHL_RS02080
OG0000488	CIB43_RS02940	MHL_RS02115
OG0000489	CIB43_RS00750	MHL_RS00055
OG0000491	CIB43_RS02220	MHL_RS01430
OG0000492	CIB43_RS02290	MHL_RS01505
OG0000495	CIB43_RS03750	MHL_RS02880
OG0000502	CIB43_RS02070	MHL_RS01285
OG0000504	CIB43_RS01770	MHL_RS00980
OG0000506	CIB43_RS01810	MHL_RS01025
OG0000508	CIB43_RS00980	MHL_RS00255
OG0000517	CIB43_RS00765	MHL_RS00070
OG0000519	CIB43_RS01660	MHL_RS00870
OG0000520	CIB43_RS01780	MHL_RS00995
OG0000523	CIB43_RS00445	MHL_RS03365
OG0000526	CIB43_RS02720	MHL_RS04020
OG0000527	CIB43_RS02640	MHL_RS01840
OG0000529	CIB43_RS03135	MHL_RS02300
OG0000530	CIB43_RS03250	MHL_RS02410
OG0000531	CIB43_RS02265	MHL_RS01480
OG0000537	CIB43_RS01595	MHL_RS00815
OG0000538	CIB43_RS01990	MHL_RS01205
OG0000543	CIB43_RS01215	MHL_RS01650
OG0000544	CIB43_RS02125	MHL_RS01335
OG0000545	CIB43_RS02715	MHL_RS01905
OG0000546	CIB43_RS03705	MHL_RS02835
OG0000552	CIB43_RS00225	MHL_RS03150
OG0000553	CIB43_RS03610	MHL_RS02740
OG0000554	CIB43_RS03295	MHL_RS04060
OG0000556	CIB43_RS01290	MHL_RS00615
OG0000557	CIB43_RS02130	MHL_RS01345
OG0000558	CIB43_RS02100	MHL_RS01315
OG0000559	CIB43_RS02575	MHL_RS01775
OG0000560	CIB43_RS02680	MHL_RS01890
OG0000561	CIB43_RS01980	MHL_RS01190
OG0000562	CIB43_RS02685	MHL_RS01895
OG0000563	CIB43_RS02670	MHL_RS01880
OG0000564	CIB43_RS02155	MHL_RS01370
OG0000565	CIB43_RS02760	MHL_RS01945
OG0000566	CIB43_RS02740	MHL_RS01935
OG0000568	CIB43_RS01555	MHL_RS00775
OG0000569	CIB43_RS02105	MHL_RS01320
OG0000570	CIB43_RS02110	MHL_RS01325
OG0000571	CIB43_RS02115	MHL_RS01330
OG0000572	CIB43_RS02135	MHL_RS01350
OG0000573	CIB43_RS02570	MHL_RS01770
OG0000574	CIB43_RS02175	MHL_RS01390
OG0000575	CIB43_RS02090	MHL_RS01305
OG0000576	CIB43_RS02530	MHL_RS03700
OG0000577	CIB43_RS03580	MHL_RS02715
OG0000579	CIB43_RS02660	MHL_RS01850
OG0000580	CIB43_RS03710	MHL_RS02840
OG0000581	CIB43_RS02645	MHL_RS01845
OG0000584	CIB43_RS01255	MHL_RS00660
OG0000585	CIB43_RS03105	MHL_RS03810
OG0000589	CIB43_RS03055	MHL_RS03730
OG0000590	CIB43_RS00030	MHL_RS00670
OG0000592	CIB43_RS03570	MHL_RS02705
OG0000594	CIB43_RS02095	MHL_RS01310
OG0000595	CIB43_RS03920	MHL_RS03050
OG0000597	CIB43_RS03915	MHL_RS03045
OG0000600	CIB43_RS01175, CIB43_RS00040	MHL_RS00655
OG0000601	CIB43_RS02675	MHL_RS01885
OG0000603	CIB43_RS00060	MHL_RS00640
OG0000606	CIB43_RS02655	MHL_RS01860
OG0000608	CIB43_RS02695, CIB43_RS02705, CIB43_RS02690	MHL_RS01900
OG0000609	CIB43_RS02730	MHL_RS03840
OG0000613	CIB43_RS02785	MHL_RS04030
OG0000614	CIB43_RS03070	MHL_RS03735
OG0000620	CIB43_RS04010	MHL_RS03795
OG0000628	CIB43_RS00090	MHL_RS00605
OG0000629	CIB43_RS00015	MHL_RS03820
OG0000630	CIB43_RS00100	MHL_RS00595
OG0000631	CIB43_RS00095	MHL_RS00600
