Orthogroup	MHP_KM014_genes	MHP_TB1_genes
OG0000191	CIB43_RS03180	B5M19_RS03235
OG0000192	CIB43_RS02085	B5M19_RS03675
OG0000193	CIB43_RS02075	B5M19_RS02360
OG0000194	CIB43_RS01560	B5M19_RS01855
OG0000195	CIB43_RS01565	B5M19_RS01850
OG0000196	CIB43_RS01585	B5M19_RS01830
OG0000197	CIB43_RS01590	B5M19_RS01825
OG0000198	CIB43_RS01605	B5M19_RS01810
OG0000199	CIB43_RS01615	B5M19_RS01805
OG0000200	CIB43_RS01630	B5M19_RS01790
OG0000201	CIB43_RS01635	B5M19_RS01780
OG0000202	CIB43_RS01690	B5M19_RS01725
OG0000203	CIB43_RS01695	B5M19_RS01720
OG0000204	CIB43_RS01700	B5M19_RS01715
OG0000205	CIB43_RS01705	B5M19_RS01710
OG0000206	CIB43_RS01735	B5M19_RS01690
OG0000207	CIB43_RS01740	B5M19_RS01675
OG0000208	CIB43_RS01745	B5M19_RS01670
OG0000209	CIB43_RS01750	B5M19_RS01665
OG0000210	CIB43_RS01800	B5M19_RS01620
OG0000211	CIB43_RS01805	B5M19_RS03415
OG0000212	CIB43_RS01815	B5M19_RS03405
OG0000213	CIB43_RS01820	B5M19_RS03400
OG0000214	CIB43_RS01825	B5M19_RS03395
OG0000215	CIB43_RS01830	B5M19_RS03390
OG0000216	CIB43_RS01835	B5M19_RS03385
OG0000217	CIB43_RS01845	B5M19_RS03380
OG0000218	CIB43_RS01850	B5M19_RS03370
OG0000219	CIB43_RS01855	B5M19_RS03365
OG0000220	CIB43_RS01860	B5M19_RS03360
OG0000221	CIB43_RS01865	B5M19_RS03355
OG0000222	CIB43_RS01870	B5M19_RS03350
OG0000223	CIB43_RS01875	B5M19_RS03345
OG0000225	CIB43_RS01895	B5M19_RS03140
OG0000226	CIB43_RS01900	B5M19_RS03145
OG0000227	CIB43_RS01905	B5M19_RS03150
OG0000228	CIB43_RS01910	B5M19_RS04630
OG0000229	CIB43_RS01915	B5M19_RS03160
OG0000230	CIB43_RS01920	B5M19_RS03165
OG0000231	CIB43_RS01935	B5M19_RS03175
OG0000232	CIB43_RS01940	B5M19_RS03185
OG0000233	CIB43_RS01965	B5M19_RS02225
OG0000234	CIB43_RS02000	B5M19_RS04335
OG0000235	CIB43_RS02005	B5M19_RS02175
OG0000236	CIB43_RS02010	B5M19_RS02170
OG0000237	CIB43_RS02015	B5M19_RS02165
OG0000238	CIB43_RS02025	B5M19_RS02155
OG0000239	CIB43_RS03860	B5M19_RS01315
OG0000240	CIB43_RS03870	B5M19_RS01310
OG0000241	CIB43_RS03875	B5M19_RS01300
OG0000242	CIB43_RS03880	B5M19_RS04160
OG0000243	CIB43_RS03885	B5M19_RS01290
OG0000244	CIB43_RS03900	B5M19_RS01280
OG0000245	CIB43_RS03905	B5M19_RS01270
OG0000246	CIB43_RS00845	B5M19_RS00050
OG0000247	CIB43_RS00850	B5M19_RS00060
OG0000248	CIB43_RS00875	B5M19_RS00070
OG0000250	CIB43_RS00885	B5M19_RS03880
OG0000251	CIB43_RS00925	B5M19_RS00125
OG0000252	CIB43_RS00930	B5M19_RS00135
OG0000253	CIB43_RS00940	B5M19_RS00140
OG0000254	CIB43_RS00950	B5M19_RS00150
OG0000255	CIB43_RS00955	B5M19_RS00160
OG0000256	CIB43_RS00960	B5M19_RS00165
OG0000257	CIB43_RS00985	B5M19_RS00190
OG0000258	CIB43_RS01015	B5M19_RS04020
OG0000259	CIB43_RS01030	B5M19_RS00230
OG0000260	CIB43_RS01045	B5M19_RS00240
OG0000262	CIB43_RS01075	B5M19_RS00270
OG0000263	CIB43_RS01080	B5M19_RS00285
OG0000264	CIB43_RS01100	B5M19_RS04030
OG0000265	CIB43_RS01110	B5M19_RS00315
OG0000266	CIB43_RS01120	B5M19_RS00335
OG0000267	CIB43_RS01135	B5M19_RS04035
OG0000268	CIB43_RS01305	B5M19_RS00355
OG0000269	CIB43_RS01320	B5M19_RS03680
OG0000270	CIB43_RS00575	B5M19_RS00415
OG0000271	CIB43_RS00570	B5M19_RS00420
OG0000272	CIB43_RS00565	B5M19_RS00425
OG0000273	CIB43_RS00560	B5M19_RS00430
OG0000274	CIB43_RS00545	B5M19_RS00450
OG0000275	CIB43_RS00535	B5M19_RS00455
OG0000276	CIB43_RS00530	B5M19_RS00460
OG0000277	CIB43_RS00525	B5M19_RS00470
OG0000278	CIB43_RS00515	B5M19_RS00475
OG0000279	CIB43_RS00510	B5M19_RS00485
OG0000280	CIB43_RS00500	B5M19_RS00490
OG0000281	CIB43_RS00495	B5M19_RS00495
OG0000283	CIB43_RS00475	B5M19_RS00525
OG0000284	CIB43_RS00460	B5M19_RS00530
OG0000285	CIB43_RS00455	B5M19_RS00535
OG0000286	CIB43_RS03345	B5M19_RS02850
OG0000287	CIB43_RS03440	B5M19_RS01050
OG0000288	CIB43_RS03450	B5M19_RS01040
OG0000289	CIB43_RS03455	B5M19_RS01035
OG0000290	CIB43_RS03565	B5M19_RS04120
OG0000291	CIB43_RS03560	B5M19_RS00935
OG0000292	CIB43_RS03550	B5M19_RS00940
OG0000293	CIB43_RS03545	B5M19_RS00945
OG0000294	CIB43_RS03540	B5M19_RS00955
OG0000295	CIB43_RS03530	B5M19_RS00960
OG0000296	CIB43_RS03495	B5M19_RS01000
OG0000297	CIB43_RS03485	B5M19_RS01005
OG0000298	CIB43_RS00880	B5M19_RS00085
OG0000299	CIB43_RS00915	B5M19_RS00110
OG0000300	CIB43_RS01090	B5M19_RS00300
OG0000301	CIB43_RS01125	B5M19_RS00340
OG0000302	CIB43_RS01130	B5M19_RS00345
OG0000303	CIB43_RS01455	B5M19_RS02410
OG0000304	CIB43_RS01950	B5M19_RS03190
OG0000305	CIB43_RS03795	B5M19_RS01385
OG0000306	CIB43_RS03725	B5M19_RS02560
OG0000307	CIB43_RS03685	B5M19_RS02525
OG0000308	CIB43_RS03600	B5M19_RS00905
OG0000309	CIB43_RS03520	B5M19_RS00970
OG0000310	CIB43_RS03445	B5M19_RS01045
OG0000311	CIB43_RS03405	B5M19_RS02790
OG0000312	CIB43_RS03390	B5M19_RS02805
OG0000313	CIB43_RS02485	B5M19_RS03300
OG0000314	CIB43_RS02855	B5M19_RS00780
OG0000315	CIB43_RS02885	B5M19_RS00810
OG0000316	CIB43_RS02895	B5M19_RS00820
OG0000317	CIB43_RS02985	B5M19_RS02720
OG0000318	CIB43_RS02900	B5M19_RS00825
OG0000319	CIB43_RS03125	B5M19_RS02945
OG0000320	CIB43_RS03270	B5M19_RS04425
OG0000321	CIB43_RS02200	B5M19_RS01240
OG0000322	CIB43_RS02245	B5M19_RS01195
OG0000323	CIB43_RS02375	B5M19_RS01065
OG0000324	CIB43_RS03170	B5M19_RS03240
OG0000325	CIB43_RS01570	B5M19_RS01845
OG0000326	CIB43_RS01665	B5M19_RS01750
OG0000327	CIB43_RS01670	B5M19_RS01745
OG0000328	CIB43_RS01760	B5M19_RS01660
OG0000329	CIB43_RS01775	B5M19_RS01640
OG0000330	CIB43_RS01970	B5M19_RS02210
OG0000331	CIB43_RS03890	B5M19_RS01285
OG0000332	CIB43_RS00200	B5M19_RS01520
OG0000333	CIB43_RS00210	B5M19_RS01530
OG0000334	CIB43_RS00315	B5M19_RS03040
OG0000335	CIB43_RS00340	B5M19_RS03030
OG0000336	CIB43_RS00485	B5M19_RS00505
OG0000337	CIB43_RS00655	B5M19_RS01985
OG0000338	CIB43_RS00695	B5M19_RS01940
OG0000339	CIB43_RS03235	B5M19_RS03615
OG0000340	CIB43_RS02185	B5M19_RS02565
OG0000341	CIB43_RS03190	B5M19_RS03220
OG0000342	CIB43_RS01600	B5M19_RS01815
OG0000343	CIB43_RS00215	B5M19_RS04195
OG0000344	CIB43_RS01465	B5M19_RS02425
OG0000345	CIB43_RS01890	B5M19_RS03135
OG0000346	CIB43_RS00490	B5M19_RS04590
OG0000347	CIB43_RS02270	B5M19_RS01170
OG0000348	CIB43_RS01685	B5M19_RS01740
OG0000349	CIB43_RS00550	B5M19_RS00440
OG0000350	CIB43_RS03675	B5M19_RS02515
OG0000351	CIB43_RS01385	B5M19_RS03490
OG0000352	CIB43_RS02830	B5M19_RS00755
OG0000353	CIB43_RS02240	B5M19_RS01200
OG0000354	CIB43_RS01515	B5M19_RS03080
OG0000355	CIB43_RS02805	B5M19_RS00725
OG0000356	CIB43_RS02890	B5M19_RS00815
OG0000357	CIB43_RS00175	B5M19_RS01500
OG0000358	CIB43_RS00180	B5M19_RS01505
OG0000359	CIB43_RS01650	B5M19_RS01770
OG0000360	CIB43_RS00990	B5M19_RS00195
OG0000361	CIB43_RS01020	B5M19_RS00225
OG0000362	CIB43_RS03475	B5M19_RS01025
OG0000363	CIB43_RS02310	B5M19_RS01125
OG0000364	CIB43_RS02775	B5M19_RS00700
OG0000369	CIB43_RS00725	B5M19_RS01910
OG0000370	CIB43_RS00720	B5M19_RS01915
OG0000378	CIB43_RS02160	B5M19_RS02585
OG0000379	CIB43_RS02235	B5M19_RS01205
OG0000380	CIB43_RS02260	B5M19_RS01180
OG0000381	CIB43_RS02300	B5M19_RS01140
OG0000385	CIB43_RS01405	B5M19_RS02370
OG0000389	CIB43_RS01490	B5M19_RS03095
OG0000394	CIB43_RS03660	B5M19_RS02490
OG0000396	CIB43_RS03350	B5M19_RS02845
OG0000404	CIB43_RS00250	B5M19_RS04205
OG0000405	CIB43_RS00265	B5M19_RS01590
OG0000409	CIB43_RS00345	B5M19_RS03010
OG0000412	CIB43_RS00390	B5M19_RS03115
OG0000417	CIB43_RS03185	B5M19_RS03225
OG0000428	CIB43_RS01785	B5M19_RS01630
OG0000430	CIB43_RS01925	B5M19_RS03170
OG0000434	CIB43_RS01985	B5M19_RS02195
OG0000436	CIB43_RS02030	B5M19_RS02150
OG0000437	CIB43_RS02065	B5M19_RS02140
OG0000441	CIB43_RS03910	B5M19_RS01265
OG0000451	CIB43_RS01085	B5M19_RS00295
OG0000453	CIB43_RS01315	B5M19_RS04040
OG0000457	CIB43_RS00450	B5M19_RS00540
OG0000459	CIB43_RS03460	B5M19_RS01030
OG0000463	CIB43_RS03515	B5M19_RS04130
OG0000464	CIB43_RS03500	B5M19_RS00990
OG0000468	CIB43_RS02870	B5M19_RS00790
OG0000471	CIB43_RS01790	B5M19_RS01625
OG0000473	CIB43_RS00580	B5M19_RS00410
OG0000474	CIB43_RS00585	B5M19_RS00405
OG0000475	CIB43_RS00595	B5M19_RS00400
OG0000482	CIB43_RS02080	B5M19_RS03730
OG0000485	CIB43_RS02035	B5M19_RS02145
OG0000486	CIB43_RS03205	B5M19_RS03205
OG0000487	CIB43_RS02915	B5M19_RS00830
OG0000488	CIB43_RS02940	B5M19_RS02770
OG0000489	CIB43_RS00750	B5M19_RS01885
OG0000491	CIB43_RS02220	B5M19_RS01225
OG0000492	CIB43_RS02290	B5M19_RS04140
OG0000495	CIB43_RS03750	B5M19_RS01430
OG0000502	CIB43_RS02070	B5M19_RS02350
OG0000504	CIB43_RS01770	B5M19_RS01650
OG0000506	CIB43_RS01810	B5M19_RS03410
OG0000508	CIB43_RS00980	B5M19_RS00170
OG0000517	CIB43_RS00765	B5M19_RS01870
OG0000519	CIB43_RS01660	B5M19_RS01760
OG0000520	CIB43_RS01780	B5M19_RS01635
OG0000523	CIB43_RS00445	B5M19_RS00545
OG0000526	CIB43_RS02720	B5M19_RS04070
OG0000527	CIB43_RS02640	B5M19_RS04065
OG0000529	CIB43_RS03135	B5M19_RS02935
OG0000530	CIB43_RS03250	B5M19_RS02705
OG0000531	CIB43_RS02265	B5M19_RS01175
OG0000537	CIB43_RS01595	B5M19_RS01820
OG0000538	CIB43_RS01990	B5M19_RS04340
OG0000543	CIB43_RS01215	B5M19_RS04430
OG0000544	CIB43_RS02125	B5M19_RS04410
OG0000545	CIB43_RS02715	B5M19_RS00645
OG0000546	CIB43_RS03705	B5M19_RS02545
OG0000553	CIB43_RS03610	B5M19_RS00885
OG0000554	CIB43_RS03295	B5M19_RS02655
OG0000556	CIB43_RS01290	B5M19_RS02255
OG0000557	CIB43_RS02130	B5M19_RS02615
OG0000558	CIB43_RS02100	B5M19_RS03655
OG0000559	CIB43_RS02575	B5M19_RS02075
OG0000560	CIB43_RS02680	B5M19_RS00635
OG0000561	CIB43_RS01980	B5M19_RS02205
OG0000562	CIB43_RS02685	B5M19_RS00640
OG0000563	CIB43_RS02670	B5M19_RS00625
OG0000564	CIB43_RS02155	B5M19_RS03930
OG0000565	CIB43_RS02760	B5M19_RS00685
OG0000566	CIB43_RS02740	B5M19_RS00675
OG0000568	CIB43_RS01555	B5M19_RS01860
OG0000569	CIB43_RS02105	B5M19_RS03665
OG0000570	CIB43_RS02110	B5M19_RS02635
OG0000571	CIB43_RS02115	B5M19_RS02630
OG0000572	CIB43_RS02135	B5M19_RS02610
OG0000573	CIB43_RS02570	B5M19_RS02070
OG0000574	CIB43_RS02175	B5M19_RS02570
OG0000575	CIB43_RS02090	B5M19_RS03670
OG0000576	CIB43_RS02530	B5M19_RS02030
OG0000577	CIB43_RS03580	B5M19_RS00910
OG0000579	CIB43_RS02660	B5M19_RS00615
OG0000580	CIB43_RS03710	B5M19_RS02550
OG0000581	CIB43_RS02645	B5M19_RS00600
OG0000584	CIB43_RS01255	B5M19_RS02310
OG0000585	CIB43_RS03105	B5M19_RS02965
OG0000588	CIB43_RS02525	B5M19_RS02025
OG0000590	CIB43_RS00030	B5M19_RS02320
OG0000590	CIB43_RS01190	B5M19_RS02875
OG0000592	CIB43_RS03570	B5M19_RS04115
OG0000594	CIB43_RS02095	B5M19_RS03650
OG0000600	CIB43_RS01175, CIB43_RS00040	B5M19_RS02305
OG0000601	CIB43_RS02675	B5M19_RS00630
OG0000603	CIB43_RS00060	B5M19_RS02285
OG0000606	CIB43_RS02655	B5M19_RS00605
OG0000616	CIB43_RS01280	B5M19_RS02890
OG0000620	CIB43_RS04010	B5M19_RS03820
OG0000628	CIB43_RS00090	B5M19_RS02245
OG0000629	CIB43_RS00015	B5M19_RS03875
OG0000630	CIB43_RS00100	B5M19_RS02235
OG0000631	CIB43_RS00095	B5M19_RS02240
