Orthogroup	MHP_KM014_genes	MFC_MF29_genes
OG0000122	CIB43_RS02255	DR095_RS01475
OG0000123	CIB43_RS02275	DR095_RS01495
OG0000124	CIB43_RS02280	DR095_RS01500
OG0000125	CIB43_RS02285	DR095_RS01505
OG0000126	CIB43_RS02295	DR095_RS01515
OG0000127	CIB43_RS02305	DR095_RS01525
OG0000128	CIB43_RS02320	DR095_RS02900
OG0000129	CIB43_RS02330	DR095_RS02905
OG0000130	CIB43_RS02335	DR095_RS02915
OG0000131	CIB43_RS02370	DR095_RS02945
OG0000132	CIB43_RS02385	DR095_RS04000
OG0000133	CIB43_RS01415	DR095_RS00015
OG0000134	CIB43_RS01425	DR095_RS03750
OG0000135	CIB43_RS01435	DR095_RS00035
OG0000136	CIB43_RS01440	DR095_RS00040
OG0000137	CIB43_RS01470	DR095_RS00070
OG0000138	CIB43_RS01495	DR095_RS00095
OG0000139	CIB43_RS01525	DR095_RS00125
OG0000140	CIB43_RS01540	DR095_RS00130
OG0000141	CIB43_RS03850	DR095_RS00155
OG0000142	CIB43_RS03845	DR095_RS03765
OG0000143	CIB43_RS03835	DR095_RS00185
OG0000144	CIB43_RS03815	DR095_RS00195
OG0000145	CIB43_RS03805	DR095_RS00205
OG0000146	CIB43_RS03790	DR095_RS00215
OG0000147	CIB43_RS03785	DR095_RS00220
OG0000148	CIB43_RS03780	DR095_RS00235
OG0000149	CIB43_RS03760	DR095_RS00245
OG0000150	CIB43_RS03745	DR095_RS00260
OG0000151	CIB43_RS03700	DR095_RS00315
OG0000152	CIB43_RS03695	DR095_RS00320
OG0000153	CIB43_RS03690	DR095_RS00325
OG0000154	CIB43_RS03680	DR095_RS00335
OG0000155	CIB43_RS03645	DR095_RS00355
OG0000156	CIB43_RS03635	DR095_RS00390
OG0000157	CIB43_RS03625	DR095_RS03780
OG0000158	CIB43_RS03620	DR095_RS03785
OG0000159	CIB43_RS03385	DR095_RS00635
OG0000160	CIB43_RS03380	DR095_RS00640
OG0000161	CIB43_RS03375	DR095_RS00650
OG0000163	CIB43_RS03370	DR095_RS02685
OG0000164	CIB43_RS02495	DR095_RS03975
OG0000165	CIB43_RS02840	DR095_RS02760
OG0000166	CIB43_RS02860	DR095_RS02780
OG0000167	CIB43_RS02875	DR095_RS02795
OG0000168	CIB43_RS02880	DR095_RS02800
OG0000169	CIB43_RS00130	DR095_RS01750
OG0000171	CIB43_RS00155	DR095_RS01775
OG0000172	CIB43_RS00160	DR095_RS01780
OG0000173	CIB43_RS00165	DR095_RS01785
OG0000174	CIB43_RS00170	DR095_RS01790
OG0000175	CIB43_RS00190	DR095_RS01805
OG0000176	CIB43_RS00235	DR095_RS01845
OG0000177	CIB43_RS00240	DR095_RS01850
OG0000178	CIB43_RS00245	DR095_RS01855
OG0000179	CIB43_RS00255	DR095_RS01865
OG0000180	CIB43_RS00260	DR095_RS01870
OG0000181	CIB43_RS00310	DR095_RS03870
OG0000182	CIB43_RS00320	DR095_RS01895
OG0000183	CIB43_RS00355	DR095_RS01930
OG0000184	CIB43_RS00430	DR095_RS02970
OG0000185	CIB43_RS00380	DR095_RS02985
OG0000186	CIB43_RS02400	DR095_RS01970
OG0000187	CIB43_RS02410	DR095_RS01985
OG0000188	CIB43_RS02425	DR095_RS01995
OG0000189	CIB43_RS03200	DR095_RS03890
OG0000190	CIB43_RS03195	DR095_RS02010
OG0000191	CIB43_RS03180	DR095_RS02030
OG0000192	CIB43_RS02085	DR095_RS02040
OG0000193	CIB43_RS02075	DR095_RS02055
OG0000194	CIB43_RS01560	DR095_RS02065
OG0000195	CIB43_RS01565	DR095_RS02070
OG0000196	CIB43_RS01585	DR095_RS03895
OG0000197	CIB43_RS01590	DR095_RS02095
OG0000198	CIB43_RS01605	DR095_RS02110
OG0000199	CIB43_RS01615	DR095_RS02115
OG0000200	CIB43_RS01630	DR095_RS02130
OG0000201	CIB43_RS01635	DR095_RS02140
OG0000202	CIB43_RS01690	DR095_RS02195
OG0000203	CIB43_RS01695	DR095_RS02200
OG0000204	CIB43_RS01700	DR095_RS03925
OG0000205	CIB43_RS01705	DR095_RS02490
OG0000206	CIB43_RS01735	DR095_RS02470
OG0000207	CIB43_RS01740	DR095_RS02455
OG0000208	CIB43_RS01745	DR095_RS02450
OG0000209	CIB43_RS01750	DR095_RS02445
OG0000210	CIB43_RS01800	DR095_RS02400
OG0000211	CIB43_RS01805	DR095_RS02390
OG0000212	CIB43_RS01815	DR095_RS02380
OG0000213	CIB43_RS01820	DR095_RS02375
OG0000214	CIB43_RS01825	DR095_RS02370
OG0000215	CIB43_RS01830	DR095_RS02365
OG0000216	CIB43_RS01835	DR095_RS02360
OG0000217	CIB43_RS01845	DR095_RS02355
OG0000218	CIB43_RS01850	DR095_RS03910
OG0000219	CIB43_RS01855	DR095_RS02340
OG0000220	CIB43_RS01860	DR095_RS02335
OG0000221	CIB43_RS01865	DR095_RS02330
OG0000222	CIB43_RS01870	DR095_RS02325
OG0000223	CIB43_RS01875	DR095_RS02320
OG0000225	CIB43_RS01895	DR095_RS02300
OG0000226	CIB43_RS01900	DR095_RS02295
OG0000227	CIB43_RS01905	DR095_RS02290
OG0000228	CIB43_RS01910	DR095_RS04045
OG0000229	CIB43_RS01915	DR095_RS02280
OG0000230	CIB43_RS01920	DR095_RS02275
OG0000231	CIB43_RS01935	DR095_RS02265
OG0000232	CIB43_RS01940	DR095_RS02255
OG0000233	CIB43_RS01965	DR095_RS02245
OG0000234	CIB43_RS02000	DR095_RS02215
OG0000235	CIB43_RS02005	DR095_RS02205
OG0000236	CIB43_RS02010	DR095_RS01540
OG0000237	CIB43_RS02015	DR095_RS01560
OG0000238	CIB43_RS02025	DR095_RS01565
OG0000239	CIB43_RS03860	DR095_RS01595
OG0000240	CIB43_RS03870	DR095_RS01600
OG0000241	CIB43_RS03875	DR095_RS01705
OG0000242	CIB43_RS03880	DR095_RS01710
OG0000243	CIB43_RS03885	DR095_RS01715
OG0000244	CIB43_RS03900	DR095_RS01725
OG0000245	CIB43_RS03905	DR095_RS01735
OG0000246	CIB43_RS00845	DR095_RS01030
OG0000247	CIB43_RS00850	DR095_RS01020
OG0000248	CIB43_RS00875	DR095_RS00995
OG0000250	CIB43_RS00885	DR095_RS00975
OG0000251	CIB43_RS00925	DR095_RS00945
OG0000252	CIB43_RS00930	DR095_RS00935
OG0000253	CIB43_RS00940	DR095_RS00930
OG0000254	CIB43_RS00950	DR095_RS00920
OG0000255	CIB43_RS00955	DR095_RS00915
OG0000256	CIB43_RS00960	DR095_RS00910
OG0000257	CIB43_RS00985	DR095_RS00885
OG0000258	CIB43_RS01015	DR095_RS00875
OG0000259	CIB43_RS01030	DR095_RS00845
OG0000260	CIB43_RS01045	DR095_RS00835
OG0000262	CIB43_RS01075	DR095_RS00810
OG0000263	CIB43_RS01080	DR095_RS00795
OG0000264	CIB43_RS01100	DR095_RS00780
OG0000265	CIB43_RS01110	DR095_RS00770
OG0000266	CIB43_RS01120	DR095_RS00755
OG0000267	CIB43_RS01135	DR095_RS00740
OG0000268	CIB43_RS01305	DR095_RS00735
OG0000269	CIB43_RS01320	DR095_RS00720
OG0000270	CIB43_RS00575	DR095_RS03930
OG0000271	CIB43_RS00570	DR095_RS02520
OG0000272	CIB43_RS00565	DR095_RS02525
OG0000273	CIB43_RS00560	DR095_RS02530
OG0000274	CIB43_RS00545	DR095_RS02550
OG0000275	CIB43_RS00535	DR095_RS03935
OG0000276	CIB43_RS00530	DR095_RS02560
OG0000277	CIB43_RS00525	DR095_RS03940
OG0000278	CIB43_RS00515	DR095_RS02575
OG0000279	CIB43_RS00510	DR095_RS02585
OG0000280	CIB43_RS00500	DR095_RS02590
OG0000281	CIB43_RS00495	DR095_RS02595
OG0000283	CIB43_RS00475	DR095_RS02625
OG0000284	CIB43_RS00460	DR095_RS02630
OG0000285	CIB43_RS00455	DR095_RS03955
OG0000286	CIB43_RS03345	DR095_RS00590
OG0000287	CIB43_RS03440	DR095_RS00565
OG0000288	CIB43_RS03450	DR095_RS00555
OG0000289	CIB43_RS03455	DR095_RS00550
OG0000290	CIB43_RS03565	DR095_RS03370
OG0000291	CIB43_RS03560	DR095_RS00450
OG0000292	CIB43_RS03550	DR095_RS00455
OG0000293	CIB43_RS03545	DR095_RS00460
OG0000294	CIB43_RS03540	DR095_RS00470
OG0000295	CIB43_RS03530	DR095_RS00475
OG0000296	CIB43_RS03495	DR095_RS00515
OG0000297	CIB43_RS03485	DR095_RS00520
OG0000298	CIB43_RS00880	DR095_RS00980
OG0000299	CIB43_RS00915	DR095_RS00960
OG0000300	CIB43_RS01090	DR095_RS00785
OG0000301	CIB43_RS01125	DR095_RS00750
OG0000302	CIB43_RS01130	DR095_RS00745
OG0000303	CIB43_RS01455	DR095_RS00045
OG0000304	CIB43_RS01950	DR095_RS00080
OG0000305	CIB43_RS03795	DR095_RS00210
OG0000306	CIB43_RS03725	DR095_RS00290
OG0000307	CIB43_RS03685	DR095_RS00330
OG0000308	CIB43_RS03600	DR095_RS00430
OG0000309	CIB43_RS03520	DR095_RS00485
OG0000310	CIB43_RS03445	DR095_RS00560
OG0000311	CIB43_RS03405	DR095_RS00610
OG0000312	CIB43_RS03390	DR095_RS00630
OG0000313	CIB43_RS02485	DR095_RS02705
OG0000314	CIB43_RS02855	DR095_RS02775
OG0000315	CIB43_RS02885	DR095_RS02805
OG0000316	CIB43_RS02895	DR095_RS02815
OG0000317	CIB43_RS02985	DR095_RS02840
OG0000318	CIB43_RS02900	DR095_RS04005
OG0000319	CIB43_RS03125	DR095_RS01290
OG0000320	CIB43_RS03270	DR095_RS01355
OG0000321	CIB43_RS02200	DR095_RS01420
OG0000322	CIB43_RS02245	DR095_RS01465
OG0000323	CIB43_RS02375	DR095_RS02955
OG0000324	CIB43_RS03170	DR095_RS02035
OG0000325	CIB43_RS01570	DR095_RS02075
OG0000326	CIB43_RS01665	DR095_RS02170
OG0000327	CIB43_RS01670	DR095_RS02175
OG0000328	CIB43_RS01760	DR095_RS02440
OG0000329	CIB43_RS01775	DR095_RS02420
OG0000330	CIB43_RS01970	DR095_RS02235
OG0000331	CIB43_RS03890	DR095_RS01720
OG0000332	CIB43_RS00200	DR095_RS01815
OG0000333	CIB43_RS00210	DR095_RS01825
OG0000334	CIB43_RS00315	DR095_RS01890
OG0000335	CIB43_RS00340	DR095_RS03875
OG0000336	CIB43_RS00485	DR095_RS03950
OG0000337	CIB43_RS00655	DR095_RS01160
OG0000338	CIB43_RS00695	DR095_RS01120
OG0000339	CIB43_RS03235	DR095_RS01375
OG0000340	CIB43_RS02185	DR095_RS01400
OG0000341	CIB43_RS03190	DR095_RS02015
OG0000342	CIB43_RS01600	DR095_RS02105
OG0000343	CIB43_RS00215	DR095_RS01835
OG0000344	CIB43_RS01465	DR095_RS00060
OG0000345	CIB43_RS01890	DR095_RS02305
OG0000346	CIB43_RS00490	DR095_RS03945
OG0000347	CIB43_RS02270	DR095_RS01490
OG0000348	CIB43_RS01685	DR095_RS03905
OG0000349	CIB43_RS00550	DR095_RS02540
OG0000350	CIB43_RS03675	DR095_RS00295
OG0000351	CIB43_RS01385	DR095_RS00660
OG0000352	CIB43_RS02830	DR095_RS02755
OG0000353	CIB43_RS02240	DR095_RS01460
OG0000354	CIB43_RS01515	DR095_RS00110
OG0000355	CIB43_RS02805	DR095_RS03980
OG0000356	CIB43_RS02890	DR095_RS03985
OG0000357	CIB43_RS00175	DR095_RS03860
OG0000358	CIB43_RS00180	DR095_RS01800
OG0000359	CIB43_RS01650	DR095_RS03900
OG0000360	CIB43_RS00990	DR095_RS00880
OG0000361	CIB43_RS01020	DR095_RS00850
OG0000362	CIB43_RS03475	DR095_RS00540
OG0000363	CIB43_RS02310	DR095_RS01530
OG0000369	CIB43_RS00725	DR095_RS03410
OG0000370	CIB43_RS00720	DR095_RS01095
OG0000378	CIB43_RS02160	DR095_RS01385
OG0000379	CIB43_RS02235	DR095_RS01455
OG0000380	CIB43_RS02260	DR095_RS01480
OG0000381	CIB43_RS02300	DR095_RS01520
OG0000385	CIB43_RS01405	DR095_RS00005
OG0000389	CIB43_RS01490	DR095_RS00090
OG0000394	CIB43_RS03660	DR095_RS00345
OG0000396	CIB43_RS03350	DR095_RS02695
OG0000403	CIB43_RS00220	DR095_RS01840
OG0000404	CIB43_RS00250	DR095_RS03865
OG0000405	CIB43_RS00265	DR095_RS01875
OG0000409	CIB43_RS00345	DR095_RS01920
OG0000412	CIB43_RS00390	DR095_RS02980
OG0000417	CIB43_RS03185	DR095_RS02020
OG0000428	CIB43_RS01785	DR095_RS02410
OG0000429	CIB43_RS01885	DR095_RS02315
OG0000430	CIB43_RS01925	DR095_RS02270
OG0000434	CIB43_RS01985	DR095_RS02225
OG0000436	CIB43_RS02030	DR095_RS01570
OG0000437	CIB43_RS02065	DR095_RS01580
OG0000441	CIB43_RS03910	DR095_RS01745
OG0000451	CIB43_RS01085	DR095_RS00790
OG0000453	CIB43_RS01315	DR095_RS00730
OG0000457	CIB43_RS00450	DR095_RS02640
OG0000459	CIB43_RS03460	DR095_RS00545
OG0000463	CIB43_RS03515	DR095_RS00500
OG0000464	CIB43_RS03500	DR095_RS00505
OG0000466	CIB43_RS01115	DR095_RS00760
OG0000468	CIB43_RS02870	DR095_RS02785
OG0000471	CIB43_RS01790	DR095_RS02405
OG0000473	CIB43_RS00580	DR095_RS02510
OG0000474	CIB43_RS00585	DR095_RS02505
OG0000475	CIB43_RS00595	DR095_RS02500
OG0000482	CIB43_RS02080	DR095_RS02050
OG0000485	CIB43_RS02035	DR095_RS01575
OG0000486	CIB43_RS03205	DR095_RS02000
OG0000487	CIB43_RS02915	DR095_RS04010
OG0000488	CIB43_RS02940	DR095_RS02885
OG0000489	CIB43_RS00750	DR095_RS01065
OG0000491	CIB43_RS02220	DR095_RS01435
OG0000492	CIB43_RS02290	DR095_RS01510
OG0000495	CIB43_RS03750	DR095_RS00255
OG0000502	CIB43_RS02070	DR095_RS02060
OG0000504	CIB43_RS01770	DR095_RS02430
OG0000506	CIB43_RS01810	DR095_RS02385
OG0000508	CIB43_RS00980	DR095_RS00905
OG0000517	CIB43_RS00765	DR095_RS01050
OG0000519	CIB43_RS01660	DR095_RS02160
OG0000520	CIB43_RS01780	DR095_RS02415
OG0000523	CIB43_RS00445	DR095_RS02645
OG0000529	CIB43_RS03135	DR095_RS01300
OG0000530	CIB43_RS03250	DR095_RS01365
OG0000531	CIB43_RS02265	DR095_RS01485
OG0000537	CIB43_RS01595	DR095_RS02100
OG0000538	CIB43_RS01990	DR095_RS02220
OG0000556	CIB43_RS01290	DR095_RS03845
OG0000584	CIB43_RS01255	DR095_RS01670
OG0000585	CIB43_RS03105	DR095_RS03450
OG0000589	CIB43_RS03055	DR095_RS03040
OG0000590	CIB43_RS00030	DR095_RS01680
OG0000595	CIB43_RS03920	DR095_RS03770
OG0000597	CIB43_RS03915	DR095_RS00365
OG0000600	CIB43_RS01175, CIB43_RS00040	DR095_RS01665
OG0000603	CIB43_RS00060	DR095_RS01650
OG0000628	CIB43_RS00090	DR095_RS01615
OG0000629	CIB43_RS00015	DR095_RS01690
OG0000630	CIB43_RS00100	DR095_RS01605
OG0000631	CIB43_RS00095	DR095_RS01610
