Orthogroup	MHP_MHP696_genes	MHP_KM014_genes
OG0000055	DR090_RS03105	CIB43_RS00835
OG0000056	DR090_RS01170	CIB43_RS00630, CIB43_RS03960
OG0000057	DR090_RS01695	CIB43_RS03840
OG0000060	DR090_RS03905	CIB43_RS00780
OG0000061	DR090_RS00925	CIB43_RS02745
OG0000062	DR090_RS01220	CIB43_RS00675
OG0000063	DR090_RS01215	CIB43_RS00660
OG0000064	DR090_RS01205	CIB43_RS00650
OG0000065	DR090_RS03030	CIB43_RS03145
OG0000067	DR090_RS02685	CIB43_RS01410
OG0000068	DR090_RS00170	CIB43_RS01520
OG0000069	DR090_RS01590	CIB43_RS03740
OG0000070	DR090_RS02610	CIB43_RS03400
OG0000071	DR090_RS02030	CIB43_RS00360
OG0000072	DR090_RS04500	CIB43_RS00375
OG0000073	DR090_RS00125	CIB43_RS01580
OG0000075	DR090_RS00610	CIB43_RS01060
OG0000077	DR090_RS00505	CIB43_RS01330
OG0000078	DR090_RS02395	CIB43_RS02560
OG0000079	DR090_RS02780	CIB43_RS03480
OG0000080	DR090_RS03915	CIB43_RS03525
OG0000081	DR090_RS00615	CIB43_RS01055
OG0000082	DR090_RS04165	CIB43_RS03315
OG0000083	DR090_RS01095	CIB43_RS02935
OG0000084	DR090_RS02885	CIB43_RS02955
OG0000086	DR090_RS02900	CIB43_RS02970
OG0000087	DR090_RS02915	CIB43_RS02975
OG0000088	DR090_RS02920	CIB43_RS02980
OG0000089	DR090_RS02930	CIB43_RS02990
OG0000090	DR090_RS01325	CIB43_RS00770
OG0000091	DR090_RS01310	CIB43_RS00760
OG0000092	DR090_RS01295	CIB43_RS00745
OG0000093	DR090_RS01290	CIB43_RS00735
OG0000094	DR090_RS01285	CIB43_RS00730
OG0000095	DR090_RS01260	CIB43_RS00715
OG0000096	DR090_RS01255	CIB43_RS00700
OG0000097	DR090_RS01235	CIB43_RS00690
OG0000100	DR090_RS01160	CIB43_RS00610
OG0000101	DR090_RS01155	CIB43_RS00600
OG0000102	DR090_RS02370	CIB43_RS02580
OG0000103	DR090_RS03065	CIB43_RS03110
OG0000104	DR090_RS03060	CIB43_RS03120
OG0000105	DR090_RS03045	CIB43_RS03130
OG0000106	DR090_RS03035	CIB43_RS03140
OG0000107	DR090_RS03025	CIB43_RS03150
OG0000108	DR090_RS03020	CIB43_RS03155
OG0000109	DR090_RS03015	CIB43_RS03160
OG0000110	DR090_RS02655	CIB43_RS03290
OG0000111	DR090_RS02660	CIB43_RS03285
OG0000112	DR090_RS02670	CIB43_RS03280
OG0000113	DR090_RS04615	CIB43_RS03260
OG0000114	DR090_RS03300	CIB43_RS03245
OG0000115	DR090_RS03285	CIB43_RS03230
OG0000116	DR090_RS00435	CIB43_RS02165
OG0000117	DR090_RS00440	CIB43_RS02170
OG0000118	DR090_RS02460	CIB43_RS02205
OG0000119	DR090_RS02465	CIB43_RS02210
OG0000120	DR090_RS02480	CIB43_RS02230
OG0000121	DR090_RS02505	CIB43_RS02250
OG0000122	DR090_RS02510	CIB43_RS02255
OG0000123	DR090_RS02530	CIB43_RS02275
OG0000124	DR090_RS02535	CIB43_RS02280
OG0000125	DR090_RS02540	CIB43_RS02285
OG0000126	DR090_RS02835	CIB43_RS02295
OG0000127	DR090_RS02845	CIB43_RS02305
OG0000128	DR090_RS02860	CIB43_RS02320
OG0000129	DR090_RS02865	CIB43_RS02330
OG0000130	DR090_RS02875	CIB43_RS02335
OG0000131	DR090_RS03150	CIB43_RS02370
OG0000132	DR090_RS04600	CIB43_RS02385
OG0000133	DR090_RS02690	CIB43_RS01415
OG0000134	DR090_RS02695	CIB43_RS01425
OG0000135	DR090_RS02710	CIB43_RS01435
OG0000136	DR090_RS02715	CIB43_RS01440
OG0000137	DR090_RS02755	CIB43_RS01470
OG0000138	DR090_RS00195	CIB43_RS01495
OG0000139	DR090_RS00165	CIB43_RS01525
OG0000140	DR090_RS00160	CIB43_RS01540
OG0000141	DR090_RS01705	CIB43_RS03850
OG0000142	DR090_RS04450	CIB43_RS03845
OG0000143	DR090_RS01680	CIB43_RS03835
OG0000144	DR090_RS01670	CIB43_RS03815
OG0000145	DR090_RS01660	CIB43_RS03805
OG0000146	DR090_RS01650	CIB43_RS03790
OG0000147	DR090_RS01645	CIB43_RS03785
OG0000148	DR090_RS01630	CIB43_RS03780
OG0000149	DR090_RS01620	CIB43_RS03760
OG0000150	DR090_RS01605	CIB43_RS03745
OG0000151	DR090_RS01555	CIB43_RS03700
OG0000152	DR090_RS01550	CIB43_RS03695
OG0000153	DR090_RS01545	CIB43_RS03690
OG0000154	DR090_RS01535	CIB43_RS03680
OG0000155	DR090_RS01495	CIB43_RS03645
OG0000156	DR090_RS01485	CIB43_RS03635
OG0000157	DR090_RS04440	CIB43_RS03625
OG0000158	DR090_RS04435	CIB43_RS03620
OG0000159	DR090_RS02595	CIB43_RS03385
OG0000160	DR090_RS02590	CIB43_RS03380
OG0000161	DR090_RS02585	CIB43_RS03375
OG0000163	DR090_RS02570	CIB43_RS03370
OG0000164	DR090_RS03230	CIB43_RS02495
OG0000165	DR090_RS01015	CIB43_RS02840
OG0000166	DR090_RS01035	CIB43_RS02860
OG0000167	DR090_RS01050	CIB43_RS02875
OG0000168	DR090_RS01055	CIB43_RS02880
OG0000169	DR090_RS02070	CIB43_RS00130
OG0000171	DR090_RS02095	CIB43_RS00155
OG0000172	DR090_RS02105	CIB43_RS00160
OG0000173	DR090_RS02110	CIB43_RS00165
OG0000174	DR090_RS02115	CIB43_RS00170
OG0000175	DR090_RS02130	CIB43_RS00190
OG0000176	DR090_RS02180	CIB43_RS00235
OG0000177	DR090_RS02185	CIB43_RS00240
OG0000178	DR090_RS02190	CIB43_RS00245
OG0000179	DR090_RS02200	CIB43_RS00255
OG0000180	DR090_RS02205	CIB43_RS00260
OG0000181	DR090_RS04655	CIB43_RS00310
OG0000182	DR090_RS03515	CIB43_RS00320
OG0000183	DR090_RS02035	CIB43_RS00355
OG0000184	DR090_RS01995	CIB43_RS00430
OG0000185	DR090_RS02010	CIB43_RS00380
OG0000186	DR090_RS04605	CIB43_RS02400
OG0000187	DR090_RS03190	CIB43_RS02410
OG0000188	DR090_RS03200	CIB43_RS02425
OG0000189	DR090_RS04625	CIB43_RS03200
OG0000190	DR090_RS03370	CIB43_RS03195
OG0000191	DR090_RS03395	CIB43_RS03180
OG0000192	DR090_RS00355	CIB43_RS02085
OG0000193	DR090_RS00340	CIB43_RS02075
OG0000194	DR090_RS00140	CIB43_RS01560
OG0000195	DR090_RS00135	CIB43_RS01565
OG0000196	DR090_RS00115	CIB43_RS01585
OG0000197	DR090_RS00110	CIB43_RS01590
OG0000198	DR090_RS00095	CIB43_RS01605
OG0000199	DR090_RS00090	CIB43_RS01615
OG0000200	DR090_RS00075	CIB43_RS01630
OG0000201	DR090_RS00065	CIB43_RS01635
OG0000202	DR090_RS00010	CIB43_RS01690
OG0000203	DR090_RS00005	CIB43_RS01695
OG0000204	DR090_RS04470	CIB43_RS01700
OG0000205	DR090_RS01955	CIB43_RS01705
OG0000206	DR090_RS01935	CIB43_RS01735
OG0000207	DR090_RS01920	CIB43_RS01740
OG0000208	DR090_RS01915	CIB43_RS01745
OG0000209	DR090_RS01910	CIB43_RS01750
OG0000210	DR090_RS01865	CIB43_RS01800
OG0000211	DR090_RS01855	CIB43_RS01805
OG0000212	DR090_RS01845	CIB43_RS01815
OG0000213	DR090_RS01840	CIB43_RS01820
OG0000214	DR090_RS01835	CIB43_RS01825
OG0000215	DR090_RS01830	CIB43_RS01830
OG0000216	DR090_RS01825	CIB43_RS01835
OG0000217	DR090_RS01820	CIB43_RS01845
OG0000218	DR090_RS01810	CIB43_RS01850
OG0000219	DR090_RS01805	CIB43_RS01855
OG0000220	DR090_RS01800	CIB43_RS01860
OG0000221	DR090_RS01795	CIB43_RS01865
OG0000222	DR090_RS01790	CIB43_RS01870
OG0000223	DR090_RS01785	CIB43_RS01875
OG0000225	DR090_RS01765	CIB43_RS01895
OG0000226	DR090_RS01760	CIB43_RS01900
OG0000227	DR090_RS01755	CIB43_RS01905
OG0000228	DR090_RS04680	CIB43_RS01910
OG0000229	DR090_RS01745	CIB43_RS01915
OG0000230	DR090_RS01740	CIB43_RS01920
OG0000231	DR090_RS01730	CIB43_RS01935
OG0000232	DR090_RS01720	CIB43_RS01940
OG0000233	DR090_RS00225	CIB43_RS01965
OG0000234	DR090_RS00260	CIB43_RS02000
OG0000235	DR090_RS00270	CIB43_RS02005
OG0000236	DR090_RS00275	CIB43_RS02010
OG0000237	DR090_RS00280	CIB43_RS02015
OG0000238	DR090_RS00290	CIB43_RS02025
OG0000239	DR090_RS03000	CIB43_RS03860
OG0000240	DR090_RS02995	CIB43_RS03870
OG0000241	DR090_RS02985	CIB43_RS03875
OG0000242	DR090_RS02980	CIB43_RS03880
OG0000243	DR090_RS02975	CIB43_RS03885
OG0000244	DR090_RS02965	CIB43_RS03900
OG0000245	DR090_RS02955	CIB43_RS03905
OG0000246	DR090_RS03110	CIB43_RS00845
OG0000247	DR090_RS00810	CIB43_RS00850
OG0000248	DR090_RS00800	CIB43_RS00875
OG0000250	DR090_RS00780	CIB43_RS00885
OG0000251	DR090_RS00745	CIB43_RS00925
OG0000252	DR090_RS00735	CIB43_RS00930
OG0000253	DR090_RS00730	CIB43_RS00940
OG0000254	DR090_RS00720	CIB43_RS00950
OG0000255	DR090_RS00710	CIB43_RS00955
OG0000256	DR090_RS00705	CIB43_RS00960
OG0000257	DR090_RS00680	CIB43_RS00985
OG0000258	DR090_RS00670	CIB43_RS01015
OG0000259	DR090_RS00640	CIB43_RS01030
OG0000260	DR090_RS00630	CIB43_RS01045
OG0000262	DR090_RS00605	CIB43_RS01075
OG0000263	DR090_RS00590	CIB43_RS01080
OG0000264	DR090_RS00575	CIB43_RS01100
OG0000265	DR090_RS00565	CIB43_RS01110
OG0000266	DR090_RS00550	CIB43_RS01120
OG0000267	DR090_RS00535	CIB43_RS01135
OG0000268	DR090_RS00530	CIB43_RS01305
OG0000269	DR090_RS00515	CIB43_RS01320
OG0000270	DR090_RS04395	CIB43_RS00575
OG0000271	DR090_RS01125	CIB43_RS00570
OG0000272	DR090_RS01120	CIB43_RS00565
OG0000273	DR090_RS01115	CIB43_RS00560
OG0000274	DR090_RS02335	CIB43_RS00545
OG0000275	DR090_RS04540	CIB43_RS00535
OG0000276	DR090_RS02325	CIB43_RS00530
OG0000277	DR090_RS02315	CIB43_RS00525
OG0000278	DR090_RS02310	CIB43_RS00515
OG0000279	DR090_RS02300	CIB43_RS00510
OG0000280	DR090_RS02295	CIB43_RS00500
OG0000281	DR090_RS02290	CIB43_RS00495
OG0000283	DR090_RS02260	CIB43_RS00475
OG0000284	DR090_RS02255	CIB43_RS00460
OG0000285	DR090_RS04525	CIB43_RS00455
OG0000286	DR090_RS02555	CIB43_RS03345
OG0000287	DR090_RS02820	CIB43_RS03440
OG0000288	DR090_RS02810	CIB43_RS03450
OG0000289	DR090_RS02805	CIB43_RS03455
OG0000290	DR090_RS01425	CIB43_RS03565
OG0000291	DR090_RS01415	CIB43_RS03560
OG0000292	DR090_RS01410	CIB43_RS03550
OG0000293	DR090_RS01405	CIB43_RS03545
OG0000294	DR090_RS01395	CIB43_RS03540
OG0000295	DR090_RS01390	CIB43_RS03530
OG0000296	DR090_RS02770	CIB43_RS03495
OG0000297	DR090_RS02775	CIB43_RS03485
OG0000298	DR090_RS00785	CIB43_RS00880
OG0000299	DR090_RS03800	CIB43_RS00915
OG0000300	DR090_RS00580	CIB43_RS01090
OG0000301	DR090_RS00545	CIB43_RS01125
OG0000302	DR090_RS00540	CIB43_RS01130
OG0000303	DR090_RS02720	CIB43_RS01455
OG0000304	DR090_RS01715	CIB43_RS01950
OG0000305	DR090_RS01655	CIB43_RS03795
OG0000306	DR090_RS01580	CIB43_RS03725
OG0000307	DR090_RS01540	CIB43_RS03685
OG0000308	DR090_RS01445	CIB43_RS03600
OG0000309	DR090_RS01380	CIB43_RS03520
OG0000310	DR090_RS02815	CIB43_RS03445
OG0000311	DR090_RS02615	CIB43_RS03405
OG0000312	DR090_RS02600	CIB43_RS03390
OG0000313	DR090_RS03240	CIB43_RS02485
OG0000314	DR090_RS01030	CIB43_RS02855
OG0000315	DR090_RS01060	CIB43_RS02885
OG0000316	DR090_RS01070	CIB43_RS02895
OG0000317	DR090_RS02925	CIB43_RS02985
OG0000318	DR090_RS04370	CIB43_RS02900
OG0000319	DR090_RS03050	CIB43_RS03125
OG0000320	DR090_RS02680	CIB43_RS03270
OG0000321	DR090_RS02455	CIB43_RS02200
OG0000322	DR090_RS02500	CIB43_RS02245
OG0000323	DR090_RS03160	CIB43_RS02375
OG0000324	DR090_RS03400	CIB43_RS03170
OG0000325	DR090_RS00130	CIB43_RS01570
OG0000326	DR090_RS00035	CIB43_RS01665
OG0000327	DR090_RS00030	CIB43_RS01670
OG0000328	DR090_RS01905	CIB43_RS01760
OG0000329	DR090_RS01885	CIB43_RS01775
OG0000330	DR090_RS00235	CIB43_RS01970
OG0000331	DR090_RS02970	CIB43_RS03890
OG0000332	DR090_RS02140	CIB43_RS00200
OG0000333	DR090_RS02150	CIB43_RS00210
OG0000334	DR090_RS03510	CIB43_RS00315
OG0000335	DR090_RS02065	CIB43_RS00340
OG0000336	DR090_RS04535	CIB43_RS00485
OG0000337	DR090_RS01210	CIB43_RS00655
OG0000338	DR090_RS01250	CIB43_RS00695
OG0000339	DR090_RS03290	CIB43_RS03235
OG0000340	DR090_RS03610	CIB43_RS02185
OG0000341	DR090_RS03365	CIB43_RS03190
OG0000342	DR090_RS00100	CIB43_RS01600
OG0000343	DR090_RS02160	CIB43_RS00215
OG0000344	DR090_RS02735	CIB43_RS01465
OG0000345	DR090_RS01770	CIB43_RS01890
OG0000346	DR090_RS02285	CIB43_RS00490
OG0000347	DR090_RS02525	CIB43_RS02270
OG0000348	DR090_RS00025	CIB43_RS01685
OG0000349	DR090_RS04545	CIB43_RS00550
OG0000350	DR090_RS01530	CIB43_RS03675
OG0000351	DR090_RS00455	CIB43_RS01385
OG0000352	DR090_RS01010	CIB43_RS02830
OG0000353	DR090_RS02495	CIB43_RS02240
OG0000354	DR090_RS00180	CIB43_RS01515
OG0000355	DR090_RS04360	CIB43_RS02805
OG0000356	DR090_RS04365	CIB43_RS02890
OG0000357	DR090_RS04510	CIB43_RS00175
OG0000358	DR090_RS02125	CIB43_RS00180
OG0000359	DR090_RS04320	CIB43_RS01650
OG0000360	DR090_RS00675	CIB43_RS00990
OG0000361	DR090_RS00645	CIB43_RS01020
OG0000362	DR090_RS02795	CIB43_RS03475
OG0000363	DR090_RS02850	CIB43_RS02310
OG0000364	DR090_RS00955	CIB43_RS02775
OG0000369	DR090_RS04415	CIB43_RS00725
OG0000370	DR090_RS01275	CIB43_RS00720
OG0000378	DR090_RS00430	CIB43_RS02160
OG0000379	DR090_RS02490	CIB43_RS02235
OG0000380	DR090_RS02515	CIB43_RS02260
OG0000381	DR090_RS02840	CIB43_RS02300
OG0000385	DR090_RS03320	CIB43_RS01405
OG0000389	DR090_RS00200	CIB43_RS01490
OG0000394	DR090_RS01505	CIB43_RS03660
OG0000396	DR090_RS02560	CIB43_RS03350
OG0000403	DR090_RS02165	CIB43_RS00220
OG0000404	DR090_RS02195	CIB43_RS00250
OG0000405	DR090_RS02210	CIB43_RS00265
OG0000409	DR090_RS02045	CIB43_RS00345
OG0000412	DR090_RS02005	CIB43_RS00390
OG0000428	DR090_RS01875	CIB43_RS01785
OG0000429	DR090_RS01780	CIB43_RS01885
OG0000430	DR090_RS01735	CIB43_RS01925
OG0000434	DR090_RS00250	CIB43_RS01985
OG0000436	DR090_RS00295	CIB43_RS02030
OG0000437	DR090_RS00305	CIB43_RS02065
OG0000441	DR090_RS02950	CIB43_RS03910
OG0000451	DR090_RS00585	CIB43_RS01085
OG0000453	DR090_RS00525	CIB43_RS01315
OG0000457	DR090_RS02245	CIB43_RS00450
OG0000459	DR090_RS02800	CIB43_RS03460
OG0000463	DR090_RS01365	CIB43_RS03515
OG0000464	DR090_RS02760	CIB43_RS03500
OG0000466	DR090_RS00555	CIB43_RS01115
OG0000468	DR090_RS01040	CIB43_RS02870
OG0000471	DR090_RS01870	CIB43_RS01790
OG0000473	DR090_RS01135	CIB43_RS00580
OG0000474	DR090_RS01140	CIB43_RS00585
OG0000475	DR090_RS01145	CIB43_RS00595
OG0000482	DR090_RS00345	CIB43_RS02080
OG0000485	DR090_RS00300	CIB43_RS02035
OG0000486	DR090_RS03385	CIB43_RS03205
OG0000487	DR090_RS04375	CIB43_RS02915
OG0000488	DR090_RS02880	CIB43_RS02940
OG0000489	DR090_RS01305	CIB43_RS00750
OG0000491	DR090_RS02470	CIB43_RS02220
OG0000492	DR090_RS02545	CIB43_RS02290
OG0000495	DR090_RS01610	CIB43_RS03750
OG0000502	DR090_RS00335	CIB43_RS02070
OG0000504	DR090_RS01895	CIB43_RS01770
OG0000506	DR090_RS01850	CIB43_RS01810
OG0000508	DR090_RS00700	CIB43_RS00980
OG0000517	DR090_RS01320	CIB43_RS00765
OG0000519	DR090_RS00045	CIB43_RS01660
OG0000520	DR090_RS01880	CIB43_RS01780
OG0000523	DR090_RS02240	CIB43_RS00445
OG0000526	DR090_RS03810	CIB43_RS02720
OG0000527	DR090_RS00830	CIB43_RS02640
OG0000529	DR090_RS03040	CIB43_RS03135
OG0000530	DR090_RS03305	CIB43_RS03250
OG0000531	DR090_RS02520	CIB43_RS02265
OG0000537	DR090_RS00105	CIB43_RS01595
OG0000538	DR090_RS00255	CIB43_RS01990
OG0000544	DR090_RS04340	CIB43_RS02125
OG0000545	DR090_RS00885	CIB43_RS02715
OG0000546	DR090_RS03955	CIB43_RS03705
OG0000552	DR090_RS02170	CIB43_RS00225
OG0000553	DR090_RS04430	CIB43_RS03610
OG0000554	DR090_RS02650	CIB43_RS03295
OG0000557	DR090_RS00400	CIB43_RS02130
OG0000558	DR090_RS00370	CIB43_RS02100
OG0000559	DR090_RS02375	CIB43_RS02575
OG0000560	DR090_RS00870	CIB43_RS02680
OG0000561	DR090_RS00240	CIB43_RS01980
OG0000562	DR090_RS00875	CIB43_RS02685
OG0000563	DR090_RS00860	CIB43_RS02670
OG0000564	DR090_RS00425	CIB43_RS02155
OG0000565	DR090_RS00935	CIB43_RS02760
OG0000566	DR090_RS00920	CIB43_RS02740
OG0000568	DR090_RS00145	CIB43_RS01555
OG0000569	DR090_RS00375	CIB43_RS02105
OG0000570	DR090_RS04335	CIB43_RS02110
OG0000571	DR090_RS00385	CIB43_RS02115
OG0000572	DR090_RS00405	CIB43_RS02135
OG0000573	DR090_RS02380	CIB43_RS02570
OG0000574	DR090_RS00445	CIB43_RS02175
OG0000575	DR090_RS00360	CIB43_RS02090
OG0000576	DR090_RS02425	CIB43_RS02530
OG0000577	DR090_RS01440	CIB43_RS03580
OG0000579	DR090_RS00850	CIB43_RS02660
OG0000580	DR090_RS03960	CIB43_RS03710
OG0000581	DR090_RS00835	CIB43_RS02645
OG0000585	DR090_RS03575	CIB43_RS03105
OG0000588	DR090_RS02430	CIB43_RS02525
OG0000589	DR090_RS03725	CIB43_RS03055
OG0000592	DR090_RS01430	CIB43_RS03570
OG0000594	DR090_RS00365	CIB43_RS02095
OG0000595	DR090_RS03450	CIB43_RS03920
OG0000597	DR090_RS03460	CIB43_RS03915
OG0000601	DR090_RS00865	CIB43_RS02675
OG0000606	DR090_RS00840	CIB43_RS02655
OG0000608	DR090_RS00880	CIB43_RS02700, CIB43_RS02695, CIB43_RS02705, CIB43_RS02690
OG0000609	DR090_RS00905	CIB43_RS02730
OG0000614	DR090_RS03535	CIB43_RS03070
OG0000620	DR090_RS00945	CIB43_RS04010
