Orthogroup	MHP_F72C_proteins	MHP_232_proteins
OG0000022	WP_146379575.1	WP_011206154.1
OG0000022	WP_146379581.1	WP_011206164.1
OG0000024	WP_146379683.1	WP_011206341.1
OG0000024	WP_146379547.1	WP_011205981.1
OG0000025	WP_146379576.1	WP_011206155.1
OG0000025	WP_146379580.1	WP_011206163.1
OG0000026	WP_192894288.1	WP_044284614.1
OG0000026	WP_146379579.1	WP_011206159.1
OG0000027	WP_146379747.1	WP_011206475.1
OG0000029	WP_146379525.1	WP_011206020.1
OG0000029	WP_146379491.1	WP_011206108.1
OG0000030	WP_044272656.1	WP_238374141.1
OG0000031	WP_011290137.1	WP_011206356.1, WP_011206142.1
OG0000035	WP_146379730.1	WP_011206449.1
OG0000035	WP_146379728.1	WP_011206447.1
OG0000036	WP_225973004.1	WP_011205863.1
OG0000036	WP_146379454.1	WP_011205866.1
OG0000037	WP_225973046.1	WP_044284786.1
OG0000038	WP_146379625.1	WP_011206130.1
OG0000039	WP_146379572.1	WP_232039515.1, WP_011206145.1
OG0000040	WP_146379737.1	WP_011206462.1
OG0000041	WP_192894287.1	WP_011206099.1
OG0000042	WP_146379699.1	WP_044284805.1
OG0000043	WP_014579804.1	WP_011206195.1
OG0000045	WP_225973032.1	WP_011206147.1
OG0000046	WP_146379739.1	WP_011206464.1
OG0000048	WP_146379588.1	WP_011206232.1
OG0000049	WP_146379714.1	WP_011206418.1
OG0000050	WP_146379653.1	WP_011206286.1
OG0000051	WP_146379673.1	WP_011206324.1
OG0000052	WP_146379447.1	WP_011205854.1
OG0000053	WP_146379563.1	WP_011205946.1
OG0000054	WP_146379656.1	WP_011206291.1
OG0000055	WP_146379455.1	WP_011205867.1
OG0000056	WP_146379764.1	WP_011206513.1
OG0000057	WP_146379697.1	WP_232039550.1
OG0000060	WP_225973002.1	WP_011205855.1, WP_232039581.1
OG0000061	WP_146379613.1	WP_011206139.1
OG0000062	WP_011290443.1	WP_011206522.1
OG0000063	WP_146379768.1	WP_011206521.1
OG0000064	WP_011290440.1	WP_011206518.1
OG0000065	WP_011290219.1	WP_011206245.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_146379483.1	WP_011206124.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_146379657.1	WP_011206292.1
OG0000071	WP_146379735.1	WP_011206460.1
OG0000072	WP_146379736.1	WP_044284808.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_044284596.1	WP_011206057.1
OG0000076	WP_146379475.1	WP_044284772.1
OG0000077	WP_146379479.1	WP_011206132.1
OG0000078	WP_146379578.1	WP_011206157.1
OG0000079	WP_146379663.1	WP_011206305.1
OG0000080	WP_192894279.1	WP_011206314.1
OG0000081	WP_225973010.1	WP_044284770.1
OG0000082	WP_225972983.1	WP_011206278.1
OG0000083	WP_146379599.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011206222.1
OG0000085	WP_146379595.1	WP_011206223.1
OG0000086	WP_146379593.1	WP_011206225.1
OG0000087	WP_020835732.1	WP_011206228.1
OG0000088	WP_146379590.1	WP_011206229.1
OG0000089	WP_011290212.1	WP_011206231.1
OG0000090	WP_094521535.1	WP_011205853.1
OG0000091	WP_020835487.1	WP_011205850.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_020835484.1	WP_011205846.1
OG0000094	WP_014579519.1	WP_044284766.1
OG0000095	WP_044272251.1	WP_011205840.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_146379771.1	WP_011206525.1
OG0000098	WP_146379769.1	WP_011206523.1
OG0000099	WP_146379765.1	WP_011206514.1
OG0000100	WP_146379762.1	WP_011206511.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_225973035.1	WP_011206162.1
OG0000103	WP_146379627.1	WP_011206238.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_146379630.1	WP_011206242.1
OG0000106	WP_146379631.1	WP_044284796.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_192894278.1	WP_011206247.1
OG0000109	WP_146379632.1	WP_044284797.1
OG0000110	WP_146379648.1	WP_011206275.1
OG0000111	WP_225972982.1	WP_044284798.1
OG0000112	WP_225972981.1	WP_232039539.1
OG0000113	WP_146379641.1	WP_011206268.1
OG0000114	WP_225972979.1	WP_011206266.1
OG0000115	WP_011290245.1	WP_011206264.1
OG0000116	WP_146379549.1	WP_011205976.1
OG0000117	WP_146379550.1	WP_044284776.1
OG0000118	WP_011290108.1	WP_044284775.1
OG0000119	WP_135618686.1	WP_011205967.1
OG0000120	WP_011284027.1	WP_011205964.1
OG0000121	WP_146379557.1	WP_011205959.1
OG0000122	WP_020835643.1	WP_011205958.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011205953.1	WP_011205953.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_146379560.1	WP_011205950.1
OG0000127	WP_146379562.1	WP_011205948.1
OG0000128	WP_146379564.1	WP_011205945.1
OG0000129	WP_014579732.1	WP_011205944.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_146379566.1	WP_044284819.1
OG0000132	WP_135618714.1	WP_011205939.1
OG0000133	WP_014579589.1	WP_011206123.1
OG0000134	WP_225973012.1	WP_011206122.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_011206119.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_146379494.1	WP_011206106.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_146379496.1	WP_011206101.1
OG0000141	WP_146379698.1	WP_044284804.1
OG0000142	WP_011284289.1	WP_011206395.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_146379694.1	WP_011206389.1
OG0000145	WP_225972996.1	WP_173670097.1
OG0000146	WP_146379692.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_135619012.1	WP_011206381.1
OG0000149	WP_011290331.1	WP_011206379.1
OG0000150	WP_135619006.1	WP_011206376.1
OG0000151	WP_020835828.1	WP_011206349.1
OG0000152	WP_020835827.1	WP_011206348.1
OG0000153	WP_146379685.1	WP_011206347.1
OG0000154	WP_011206345.1	WP_011206345.1
OG0000155	WP_020835820.1	WP_011206337.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_011206334.1	WP_011206334.1
OG0000158	WP_146379680.1	WP_011206332.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_044284799.1
OG0000161	WP_146379654.1	WP_011206287.1
OG0000162	WP_044272532.1	WP_081430781.1
OG0000163	WP_044272529.1	WP_011206284.1
OG0000164	WP_146379571.1	WP_011206143.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_011290193.1	WP_011206204.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_146379604.1	WP_044284793.1
OG0000169	WP_094521497.1	WP_002557698.1
OG0000170	WP_146379716.1	WP_011206420.1
OG0000171	WP_146379717.1	WP_011206422.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_011284312.1	WP_011206425.1
OG0000174	WP_146379719.1	WP_011206426.1
OG0000175	WP_146379721.1	WP_011206429.1
OG0000176	WP_146379725.1	WP_011206439.1
OG0000177	WP_146379726.1	WP_011206440.1
OG0000178	WP_044272620.1	WP_011206441.1
OG0000179	WP_020835880.1	WP_011206444.1
OG0000180	WP_081642895.1	WP_011206445.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_146379743.1	WP_011206468.1
OG0000185	WP_146379740.1	WP_011206465.1
OG0000186	WP_020835656.1	WP_011205937.1
OG0000187	WP_011284055.1	WP_011205934.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_146379638.1	WP_011206257.1
OG0000190	WP_146379637.1	WP_011206256.1
OG0000191	WP_146379633.1	WP_011206251.1
OG0000192	WP_146379779.1	WP_011205992.1
OG0000193	WP_094521610.1	WP_011283999.1
OG0000194	WP_011290023.1	WP_011206096.1
OG0000195	WP_094521583.1	WP_011206095.1
OG0000196	WP_179695841.1	WP_011206091.1
OG0000197	WP_041361572.1	WP_011206090.1
OG0000198	WP_011283930.1	WP_011206087.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_146379501.1	WP_011206084.1
OG0000201	WP_011283934.1	WP_044284824.1
OG0000202	WP_146379507.1	WP_011206073.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_146379508.1	WP_011206071.1
OG0000205	WP_146379509.1	WP_011206070.1
OG0000206	WP_135618589.1	WP_011206066.1
OG0000207	WP_094521594.1	WP_011206063.1
OG0000208	WP_011290046.1	WP_011206062.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_146379515.1	WP_011206052.1
OG0000211	WP_011290054.1	WP_011206050.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011290055.1	WP_011206046.1
OG0000216	WP_014579616.1	WP_011206045.1
OG0000217	WP_146379520.1	WP_011206044.1
OG0000218	WP_011290058.1	WP_011206042.1
OG0000219	WP_011206041.1	WP_011206041.1
OG0000220	WP_020835592.1	WP_011206040.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_011206037.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_146379522.1	WP_011206033.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011290064.1	WP_011206031.1
OG0000228	WP_041361593.1	WP_011206030.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_011206027.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_146379528.1	WP_011206018.1
OG0000234	WP_146379533.1	WP_044284822.1
OG0000235	WP_146379535.1	WP_011206009.1
OG0000236	WP_146379536.1	WP_011206008.1
OG0000237	WP_146379537.1	WP_011206007.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_146379700.1	WP_011206399.1
OG0000240	WP_020835851.1	WP_011206400.1
OG0000241	WP_044272588.1	WP_011206402.1
OG0000242	WP_146379702.1	WP_011206403.1
OG0000243	WP_146379703.1	WP_011206404.1
OG0000244	WP_146379705.1	WP_011206406.1
OG0000245	WP_146379707.1	WP_011206408.1
OG0000246	WP_050195463.1	WP_232039502.1
OG0000247	WP_146379457.1	WP_011205869.1
OG0000248	WP_146379774.1	WP_011205871.1
OG0000249	WP_146379458.1	WP_011205872.1
OG0000250	WP_011289957.1	WP_011205875.1
OG0000251	WP_146379462.1	WP_011205881.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_146379464.1	WP_011205884.1
OG0000254	WP_146379465.1	WP_011205886.1
OG0000255	WP_014579550.1	WP_011205888.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011205894.1
OG0000258	WP_011289974.1	WP_011283871.1
OG0000259	WP_225973009.1	WP_232039509.1
OG0000260	WP_146379471.1	WP_011205903.1
OG0000261	WP_146379473.1	WP_011205905.1
OG0000262	WP_135618519.1	WP_011205909.1
OG0000263	WP_011283885.1	WP_011205912.1
OG0000264	WP_011283887.1	WP_011205916.1
OG0000265	WP_146379476.1	WP_044284579.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_146379477.1	WP_044284773.1
OG0000268	WP_146379478.1	WP_011206137.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_146379759.1	WP_011206505.1
OG0000271	WP_020835915.1	WP_011206504.1
OG0000272	WP_146379758.1	WP_011206503.1
OG0000273	WP_146379757.1	WP_011206502.1
OG0000274	WP_011290423.1	WP_044284809.1
OG0000275	WP_225973001.1	WP_238374142.1
OG0000276	WP_011290421.1	WP_011206496.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_146379752.1	WP_011206493.1
OG0000279	WP_011290418.1	WP_011206491.1
OG0000280	WP_094521520.1	WP_011206490.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000282	WP_146379750.1	WP_011206486.1
OG0000283	WP_014580009.1	WP_011206485.1
OG0000284	WP_011206484.1	WP_011206484.1
OG0000285	WP_011290413.1	WP_011206483.1
OG0000286	WP_146379652.1	WP_011206282.1
OG0000287	WP_146379659.1	WP_011206297.1
OG0000288	WP_146379661.1	WP_011206299.1
OG0000289	WP_020835793.1	WP_011206300.1
OG0000290	WP_146379672.1	WP_011206322.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_146379670.1	WP_011206319.1
OG0000293	WP_020835805.1	WP_011206318.1
OG0000294	WP_146379669.1	WP_011206316.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_041361673.1	WP_011206307.1
OG0000297	WP_146379664.1	WP_011206306.1
OG0000298	WP_146379460.1	WP_011205874.1
OG0000299	WP_011205878.1	WP_011205878.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_135618529.1	WP_011205924.1
OG0000302	WP_011205925.1	WP_011205925.1
OG0000303	WP_146379484.1	WP_011206118.1
OG0000304	WP_220190741.1	WP_011283978.1
OG0000305	WP_020835841.1	WP_011206386.1
OG0000306	WP_146379686.1	WP_011206354.1
OG0000307	WP_135618990.1	WP_011206346.1
OG0000308	WP_146379674.1	WP_011206326.1
OG0000309	WP_146379668.1	WP_011206313.1
OG0000310	WP_146379660.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_041361671.1	WP_011206290.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_146379607.1	WP_011206203.1
OG0000315	WP_011290197.1	WP_011206209.1
OG0000316	WP_014579818.1	WP_011206211.1
OG0000317	WP_146379589.1	WP_011206230.1
OG0000318	WP_220200854.1	WP_011206212.1
OG0000319	WP_146379629.1	WP_011206241.1
OG0000320	WP_146379643.1	WP_011206270.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_011205960.1
OG0000323	WP_146379567.1	WP_011205940.1
OG0000324	WP_094521693.1	WP_011206250.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_146379505.1	WP_011206077.1
OG0000327	WP_146379506.1	WP_011206076.1
OG0000328	WP_225973016.1	WP_011206060.1
OG0000329	WP_225973017.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_146379704.1	WP_011206405.1
OG0000332	WP_011290372.1	WP_011206431.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_044272637.1	WP_011206452.1
OG0000335	WP_146379731.1	WP_011206454.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011284387.1	WP_011206520.1
OG0000338	WP_011284394.1	WP_014580051.1
OG0000339	WP_146379639.1	WP_011206265.1
OG0000340	WP_146379551.1	WP_011205973.1
OG0000341	WP_146379636.1	WP_011206255.1
OG0000342	WP_146379499.1	WP_044284780.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_146379487.1	WP_011206115.1
OG0000345	WP_146379521.1	WP_014579611.1
OG0000346	WP_041361706.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_225973015.1	WP_232039585.1
OG0000349	WP_146379756.1	WP_011206501.1
OG0000350	WP_146379684.1	WP_044284839.1
OG0000351	WP_146379480.1	WP_011206131.1
OG0000352	WP_146379609.1	WP_011206199.1
OG0000353	WP_146379556.1	WP_044284774.1
OG0000354	WP_225973014.1	WP_232039591.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_225973042.1	WP_232039529.1
OG0000357	WP_011206427.1	WP_228366113.1
OG0000358	WP_146379720.1	WP_011206428.1
OG0000359	WP_192894285.1	WP_044284823.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_011289979.1	WP_011205900.1
OG0000362	WP_011290282.1	WP_011206302.1
OG0000363	WP_233417364.1	WP_318023859.1
OG0000364	WP_225972967.1	WP_011206191.1
OG0000365	WP_146379598.1	WP_011206219.1
OG0000366	WP_146379594.1	WP_011206224.1
OG0000367	WP_225973040.1	WP_044284794.1
OG0000368	WP_011289935.1	WP_011205851.1
OG0000369	WP_146379444.1	WP_011205844.1
OG0000370	WP_044272260.1	WP_011205843.1
OG0000371	WP_146379443.1	WP_011205842.1
OG0000372	WP_146379442.1	WP_011205841.1
OG0000373	WP_146379772.1	WP_011206526.1
OG0000374	WP_146379770.1	WP_011206524.1
OG0000375	WP_146379628.1	WP_011206240.1
OG0000376	WP_146379646.1	WP_011206273.1
OG0000377	WP_146379644.1	WP_011206271.1
OG0000378	WP_146379548.1	WP_011205977.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_146379558.1	WP_011205957.1
OG0000381	WP_146379561.1	WP_011205949.1
OG0000382	WP_146379565.1	WP_011205943.1
OG0000383	WP_014579735.1	WP_011205941.1
OG0000384	WP_041361727.1	WP_044284784.1
OG0000385	WP_044272311.1	WP_011206125.1
OG0000386	WP_011206121.1	WP_011206121.1
OG0000387	WP_146379485.1	WP_011206117.1
OG0000388	WP_146379486.1	WP_011206116.1
OG0000389	WP_146379493.1	WP_011206107.1
OG0000390	WP_146379695.1	WP_011206390.1
OG0000391	WP_146379693.1	WP_011206388.1
OG0000392	WP_020835840.1	WP_011206383.1
OG0000393	WP_146379687.1	WP_011206372.1
OG0000394	WP_011290313.1	WP_011206339.1
OG0000395	WP_146379682.1	WP_011206338.1
OG0000396	WP_020835781.1	WP_011206283.1
OG0000397	WP_011206196.1	WP_011206196.1
OG0000398	WP_146379611.1	WP_011206197.1
OG0000399	WP_146379605.1	WP_011206206.1
OG0000400	WP_146379715.1	WP_011206419.1
OG0000401	WP_135619070.1	WP_011206432.1
OG0000402	WP_020835872.1	WP_011206434.1
OG0000403	WP_192894281.1	WP_011206436.1
OG0000404	WP_146379727.1	WP_011206442.1
OG0000405	WP_081642900.1	WP_081430784.1
OG0000406	WP_146379732.1	WP_011206455.1
OG0000407	WP_146379733.1	WP_011206456.1
OG0000408	WP_146379734.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_146379742.1	WP_011206467.1
OG0000412	WP_146379741.1	WP_011206466.1
OG0000413	WP_146379568.1	WP_011205938.1
OG0000414	WP_011290131.1	WP_011205936.1
OG0000415	WP_020835657.1	WP_011205935.1
OG0000416	WP_011284056.1	WP_011205933.1
OG0000417	WP_146379635.1	WP_011206253.1
OG0000418	WP_225972976.1	WP_232039535.1
OG0000419	WP_020835572.1	WP_011206092.1
OG0000420	WP_146379500.1	WP_011206085.1
OG0000421	WP_146379503.1	WP_011206080.1
OG0000422	WP_146379504.1	WP_011206078.1
OG0000423	WP_146379510.1	WP_011206068.1
OG0000424	WP_146379511.1	WP_011206067.1
OG0000425	WP_044277967.1	WP_011206065.1
OG0000426	WP_011206064.1	WP_011206064.1
OG0000427	WP_146379512.1	WP_011206059.1
OG0000428	WP_011206054.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_146379523.1	WP_011206026.1
OG0000431	WP_146379524.1	WP_011206024.1
OG0000432	WP_146379529.1	WP_011206017.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_146379531.1	WP_011206013.1
OG0000435	WP_146379534.1	WP_011206010.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_044272373.1	WP_011206003.1
OG0000438	WP_146379539.1	WP_011206002.1
OG0000439	WP_044272377.1	WP_011206001.1
OG0000440	WP_146379701.1	WP_011206401.1
OG0000441	WP_011284299.1	WP_011206409.1
OG0000442	WP_146379456.1	WP_011205868.1
OG0000443	WP_044272282.1	WP_011205877.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_011205885.1
OG0000446	WP_146379467.1	WP_011205891.1
OG0000447	WP_044284573.1	WP_011205892.1
OG0000448	WP_146379469.1	WP_011205897.1
OG0000449	WP_146379470.1	WP_011205902.1
OG0000450	WP_146379472.1	WP_011205904.1
OG0000451	WP_011205913.1	WP_011205913.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_011283895.1	WP_011206136.1
OG0000455	WP_146379761.1	WP_011206509.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_146379749.1	WP_011206482.1
OG0000458	WP_146379658.1	WP_011206296.1
OG0000459	WP_014579890.1	WP_011206301.1
OG0000460	WP_044272549.1	WP_011206303.1
OG0000461	WP_146379667.1	WP_011206312.1
OG0000462	WP_011284228.1	WP_011206311.1
OG0000463	WP_146379666.1	WP_011206310.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_146379665.1	WP_011206308.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_146379676.1	WP_011206328.1
OG0000468	WP_146379606.1	WP_011206205.1
OG0000469	WP_014579824.1	WP_011206217.1
OG0000470	WP_192894286.1	WP_011206069.1
OG0000471	WP_044272348.1	WP_011206053.1
OG0000472	WP_146379745.1	WP_011206471.1
OG0000473	WP_020835917.1	WP_011206506.1
OG0000474	WP_041361711.1	WP_011206507.1
OG0000475	WP_146379760.1	WP_011206508.1
OG0000476	WP_011205931.1	WP_011205931.1
OG0000477	WP_135618962.1	WP_011206317.1
OG0000478	WP_146379753.1	WP_011206495.1
OG0000479	WP_146379554.1	WP_011205970.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_044272343.1	WP_052259123.1
OG0000482	WP_146379541.1	WP_011205994.1
OG0000483	WP_146379591.1	WP_011206227.1
OG0000484	WP_225973007.1	WP_228365405.1
OG0000485	WP_146379538.1	WP_011206004.1
OG0000486	WP_011290228.1	WP_011206258.1
OG0000487	WP_225973041.1	WP_220200502.1
OG0000488	WP_146379596.1	WP_011206221.1
OG0000489	WP_011205849.1	WP_011205849.1
OG0000490	WP_146379773.1	WP_011206527.1
OG0000491	WP_020835639.1	WP_011205966.1
OG0000492	WP_146379559.1	WP_011205951.1
OG0000493	WP_146379488.1	WP_011206114.1
OG0000494	WP_052269169.1	WP_052259117.1
OG0000495	WP_146379689.1	WP_011206377.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000497	WP_146379688.1	WP_011206374.1
OG0000498	WP_011290314.1	WP_011206340.1
OG0000499	WP_020835817.1	WP_011206333.1
OG0000500	WP_146379610.1	WP_011206198.1
OG0000501	WP_192894280.1	WP_011206421.1
OG0000502	WP_146379540.1	WP_011205996.1
OG0000503	WP_020835576.1	WP_011206083.1
OG0000504	WP_146379513.1	WP_011283955.1
OG0000505	WP_146379519.1	WP_011206051.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_020835590.1	WP_011206043.1
OG0000508	WP_020835512.1	WP_011205890.1
OG0000509	WP_020835518.1	WP_011205896.1
OG0000510	WP_011289977.1	WP_011205898.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_146379662.1	WP_011206304.1
OG0000513	WP_146379751.1	WP_011206492.1
OG0000514	WP_146379691.1	WP_011206382.1
OG0000515	WP_014579793.1	WP_238374143.1, WP_011205928.1
OG0000516	WP_146379601.1	WP_011206214.1
OG0000517	WP_146379446.1	WP_011283834.1
OG0000518	WP_146379722.1	WP_011206430.1
OG0000519	WP_135618573.1	WP_011206079.1
OG0000520	WP_146379514.1	WP_011206055.1
OG0000521	WP_146379468.1	WP_011205893.1
OG0000522	WP_135618505.1	WP_011205899.1
OG0000523	WP_146379748.1	WP_044284849.1
OG0000524	WP_146379675.1	WP_011206327.1
OG0000525	WP_146379746.1	WP_011206472.1
OG0000526	WP_225972970.1	WP_232039525.1
OG0000527	WP_225972972.1	WP_011206174.1
OG0000528	WP_146379600.1	WP_011206215.1
OG0000529	WP_014579831.1	WP_011206243.1
OG0000530	WP_146379640.1	WP_011284186.1
OG0000531	WP_020835645.1	WP_011205956.1
OG0000532	WP_011284067.1	WP_011206148.1
OG0000534	WP_014579573.1	WP_011205917.1
OG0000535	WP_146379445.1	WP_011205848.1
OG0000536	WP_146379766.1	WP_011206515.1
OG0000537	WP_011290028.1	WP_011206089.1
OG0000538	WP_146379532.1	WP_011206012.1
OG0000539	WP_146379463.1	WP_011205882.1
OG0000540	WP_146379671.1	WP_011206321.1
OG0000541	WP_146379681.1	WP_011206336.1
OG0000542	WP_011289986.1	WP_044284771.1
OG0000544	WP_014579703.1	WP_014579703.1
OG0000546	WP_225972993.1	WP_011206350.1
OG0000547	WP_146379696.1	WP_011206392.1
OG0000548	WP_146379570.1	WP_011206140.1
OG0000549	WP_146379744.1	WP_011206470.1
OG0000550	WP_192894282.1	WP_173670098.1
OG0000551	WP_146379706.1	WP_011206407.1
OG0000553	WP_146379678.1	WP_011206330.1
OG0000554	WP_146379649.1	WP_011206277.1
OG0000555	WP_225972997.1	WP_011206393.1
OG0000557	WP_146379545.1	WP_011205983.1
OG0000558	WP_020835624.1	WP_011205989.1
OG0000559	WP_011206161.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011206182.1
OG0000561	WP_146379530.1	WP_011206015.1
OG0000562	WP_146379618.1	WP_011206183.1
OG0000563	WP_146379619.1	WP_011206180.1
OG0000564	WP_014579710.1	WP_014579710.1
OG0000565	WP_146379612.1	WP_011206190.1
OG0000566	WP_225972969.1	WP_238374145.1
OG0000567	WP_225972971.1	WP_011206185.1
