#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP157277.1:89061-90857|+   -            599 501at2085            -            526  4.7e-249  822.7   8.3   1   1  7.1e-251  9.6e-249  821.7   8.3     1   526     1   594     1   594 0.93 NZ_CP157277.1_74 # 89061 # 90857 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.344
NZ_CP157277.1:87202-88503|+   -            434 501at2085            -            526   2.2e-13   45.0   0.6   2   2   6.5e-11   8.9e-09   29.8   0.1    78   168   238   340   214   363 0.81 NZ_CP157277.1_71 # 87202 # 88503 # 1 # ID=1_71;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/116/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/116/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/116/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/116/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/116/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/116/Use
# Date:            Thu Nov 28 19:22:33 2024
# [ok]
