Orthogroup	MHP_NCTC10127_genes	MFC_MF22_genes
OG0000126	EXC50_RS02660	DR094_RS02280
OG0000127	EXC50_RS02650	DR094_RS02290
OG0000128	EXC50_RS02635	DR094_RS02750
OG0000129	EXC50_RS02630	DR094_RS02755
OG0000130	EXC50_RS02620	DR094_RS02765
OG0000131	EXC50_RS02590	DR094_RS02795
OG0000132	EXC50_RS02575	DR094_RS03810
OG0000133	EXC50_RS03555	DR094_RS00615
OG0000134	EXC50_RS03550	DR094_RS03565
OG0000135	EXC50_RS03535	DR094_RS00595
OG0000136	EXC50_RS03530	DR094_RS00590
OG0000137	EXC50_RS03500	DR094_RS00560
OG0000138	EXC50_RS03465	DR094_RS00535
OG0000139	EXC50_RS03435	DR094_RS00505
OG0000140	EXC50_RS03430	DR094_RS00500
OG0000141	EXC50_RS01775	DR094_RS00475
OG0000142	EXC50_RS01770	DR094_RS03550
OG0000143	EXC50_RS01745	DR094_RS00445
OG0000144	EXC50_RS01735	DR094_RS00435
OG0000145	EXC50_RS01725	DR094_RS00425
OG0000146	EXC50_RS01715	DR094_RS00415
OG0000147	EXC50_RS01710	DR094_RS00410
OG0000148	EXC50_RS01695	DR094_RS00395
OG0000149	EXC50_RS01685	DR094_RS00385
OG0000150	EXC50_RS01670	DR094_RS00370
OG0000151	EXC50_RS01625	DR094_RS00315
OG0000152	EXC50_RS01620	DR094_RS00310
OG0000153	EXC50_RS01615	DR094_RS00305
OG0000154	EXC50_RS01605	DR094_RS00295
OG0000155	EXC50_RS01565	DR094_RS00275
OG0000156	EXC50_RS01555	DR094_RS00260
OG0000157	EXC50_RS01550	DR094_RS03545
OG0000158	EXC50_RS04235	DR094_RS03540
OG0000159	EXC50_RS03825	DR094_RS00020
OG0000160	EXC50_RS03820	DR094_RS00015
OG0000161	EXC50_RS03815	DR094_RS00010
OG0000162	EXC50_RS01290	DR094_RS02560
OG0000163	EXC50_RS01285	DR094_RS02565
OG0000164	EXC50_RS00550	DR094_RS03770
OG0000165	EXC50_RS00885	DR094_RS02890
OG0000166	EXC50_RS00905	DR094_RS02910
OG0000167	EXC50_RS00920	DR094_RS02925
OG0000168	EXC50_RS00925	DR094_RS02930
OG0000169	EXC50_RS01885	DR094_RS01830
OG0000170	EXC50_RS01900	DR094_RS01845
OG0000171	EXC50_RS01910	DR094_RS01855
OG0000172	EXC50_RS01915	DR094_RS01860
OG0000173	EXC50_RS01920	DR094_RS01865
OG0000174	EXC50_RS01925	DR094_RS01870
OG0000175	EXC50_RS01940	DR094_RS01885
OG0000176	EXC50_RS01990	DR094_RS01925
OG0000177	EXC50_RS01995	DR094_RS01930
OG0000178	EXC50_RS02000	DR094_RS01935
OG0000179	EXC50_RS02010	DR094_RS01945
OG0000180	EXC50_RS02015	DR094_RS01950
OG0000181	EXC50_RS02060	DR094_RS03710
OG0000182	EXC50_RS02070	DR094_RS01975
OG0000183	EXC50_RS02105	DR094_RS02010
OG0000184	EXC50_RS02150	DR094_RS02865
OG0000185	EXC50_RS02135	DR094_RS02880
OG0000186	EXC50_RS02565	DR094_RS02535
OG0000187	EXC50_RS02550	DR094_RS02520
OG0000188	EXC50_RS02540	DR094_RS02510
OG0000189	EXC50_RS01150	DR094_RS03755
OG0000190	EXC50_RS01145	DR094_RS02495
OG0000191	EXC50_RS01125	DR094_RS02475
OG0000192	EXC50_RS02870	DR094_RS02465
OG0000193	EXC50_RS02880	DR094_RS02450
OG0000194	EXC50_RS03395	DR094_RS02440
OG0000195	EXC50_RS03390	DR094_RS02435
OG0000196	EXC50_RS03370	DR094_RS03750
OG0000197	EXC50_RS03365	DR094_RS02410
OG0000198	EXC50_RS03350	DR094_RS02395
OG0000199	EXC50_RS03345	DR094_RS02390
OG0000200	EXC50_RS03330	DR094_RS02375
OG0000201	EXC50_RS03320	DR094_RS02365
OG0000202	EXC50_RS03265	DR094_RS02310
OG0000203	EXC50_RS03260	DR094_RS02305
OG0000204	EXC50_RS03255	DR094_RS03670
OG0000205	EXC50_RS03250	DR094_RS01420
OG0000206	EXC50_RS03230	DR094_RS01440
OG0000207	EXC50_RS03215	DR094_RS01455
OG0000208	EXC50_RS03210	DR094_RS01460
OG0000209	EXC50_RS03205	DR094_RS01465
OG0000210	EXC50_RS03160	DR094_RS01510
OG0000211	EXC50_RS03150	DR094_RS01520
OG0000212	EXC50_RS03140	DR094_RS01530
OG0000213	EXC50_RS03135	DR094_RS01535
OG0000214	EXC50_RS03130	DR094_RS01540
OG0000215	EXC50_RS03125	DR094_RS01545
OG0000216	EXC50_RS03120	DR094_RS01550
OG0000217	EXC50_RS03115	DR094_RS01555
OG0000218	EXC50_RS03105	DR094_RS03690
OG0000219	EXC50_RS03100	DR094_RS01570
OG0000220	EXC50_RS03095	DR094_RS01575
OG0000221	EXC50_RS03090	DR094_RS01580
OG0000222	EXC50_RS03085	DR094_RS01585
OG0000223	EXC50_RS03080	DR094_RS01590
OG0000224	EXC50_RS03070	DR094_RS01600
OG0000225	EXC50_RS03060	DR094_RS01610
OG0000226	EXC50_RS03055	DR094_RS01615
OG0000227	EXC50_RS03050	DR094_RS01620
OG0000228	EXC50_RS03045	DR094_RS03855
OG0000229	EXC50_RS03040	DR094_RS01630
OG0000230	EXC50_RS03035	DR094_RS01635
OG0000231	EXC50_RS03025	DR094_RS01645
OG0000232	EXC50_RS03015	DR094_RS01655
OG0000233	EXC50_RS02995	DR094_RS01665
OG0000234	EXC50_RS02960	DR094_RS01695
OG0000235	EXC50_RS02950	DR094_RS01705
OG0000236	EXC50_RS02945	DR094_RS01710
OG0000237	EXC50_RS02940	DR094_RS01730
OG0000238	EXC50_RS02930	DR094_RS01735
OG0000239	EXC50_RS01785	DR094_RS01765
OG0000240	EXC50_RS01790	DR094_RS01770
OG0000241	EXC50_RS01800	DR094_RS01780
OG0000242	EXC50_RS01805	DR094_RS01785
OG0000243	EXC50_RS01810	DR094_RS01790
OG0000244	EXC50_RS01820	DR094_RS01800
OG0000245	EXC50_RS01830	DR094_RS01810
OG0000246	EXC50_RS00140	DR094_RS01005
OG0000247	EXC50_RS00150	DR094_RS00995
OG0000248	EXC50_RS00160	DR094_RS00970
OG0000249	EXC50_RS00165	DR094_RS00965
OG0000250	EXC50_RS00180	DR094_RS00950
OG0000251	EXC50_RS00215	DR094_RS00920
OG0000252	EXC50_RS00225	DR094_RS00910
OG0000253	EXC50_RS00230	DR094_RS00905
OG0000254	EXC50_RS00240	DR094_RS00895
OG0000255	EXC50_RS00250	DR094_RS00890
OG0000256	EXC50_RS00255	DR094_RS00885
OG0000257	EXC50_RS00280	DR094_RS00860
OG0000258	EXC50_RS00290	DR094_RS00850
OG0000259	EXC50_RS00320	DR094_RS00820
OG0000260	EXC50_RS00330	DR094_RS00810
OG0000261	EXC50_RS00340	DR094_RS03570
OG0000262	EXC50_RS00360	DR094_RS00785
OG0000263	EXC50_RS00375	DR094_RS00770
OG0000264	EXC50_RS00390	DR094_RS00755
OG0000265	EXC50_RS00400	DR094_RS00745
OG0000266	EXC50_RS00420	DR094_RS00730
OG0000267	EXC50_RS00435	DR094_RS00715
OG0000268	EXC50_RS03665	DR094_RS00710
OG0000269	EXC50_RS03650	DR094_RS00695
OG0000270	EXC50_RS02335	DR094_RS03620
OG0000271	EXC50_RS02330	DR094_RS01250
OG0000272	EXC50_RS02325	DR094_RS01255
OG0000273	EXC50_RS02320	DR094_RS01260
OG0000274	EXC50_RS02300	DR094_RS01280
OG0000275	EXC50_RS02295	DR094_RS03625
OG0000276	EXC50_RS02290	DR094_RS01290
OG0000277	EXC50_RS02280	DR094_RS03630
OG0000278	EXC50_RS02275	DR094_RS01305
OG0000279	EXC50_RS02265	DR094_RS01315
OG0000280	EXC50_RS02260	DR094_RS01320
OG0000281	EXC50_RS02255	DR094_RS01325
OG0000282	EXC50_RS02230	DR094_RS01350
OG0000283	EXC50_RS02225	DR094_RS01355
OG0000284	EXC50_RS02220	DR094_RS01360
OG0000285	EXC50_RS02215	DR094_RS03645
OG0000286	EXC50_RS01270	DR094_RS00065
OG0000287	EXC50_RS01365	DR094_RS00090
OG0000288	EXC50_RS01375	DR094_RS00100
OG0000289	EXC50_RS01380	DR094_RS00105
OG0000290	EXC50_RS01490	DR094_RS00215
OG0000291	EXC50_RS01480	DR094_RS03090
OG0000292	EXC50_RS01475	DR094_RS00200
OG0000293	EXC50_RS01470	DR094_RS00195
OG0000294	EXC50_RS01460	DR094_RS00185
OG0000295	EXC50_RS01455	DR094_RS00180
OG0000296	EXC50_RS01415	DR094_RS00140
OG0000297	EXC50_RS01410	DR094_RS00135
OG0000298	EXC50_RS00175	DR094_RS00955
OG0000299	EXC50_RS00200	DR094_RS00935
OG0000300	EXC50_RS00385	DR094_RS00760
OG0000301	EXC50_RS00425	DR094_RS00725
OG0000302	EXC50_RS00430	DR094_RS00720
OG0000303	EXC50_RS03525	DR094_RS00585
OG0000304	EXC50_RS03010	DR094_RS00550
OG0000305	EXC50_RS01720	DR094_RS00420
OG0000306	EXC50_RS01645	DR094_RS00340
OG0000307	EXC50_RS01610	DR094_RS00300
OG0000308	EXC50_RS01510	DR094_RS00225
OG0000309	EXC50_RS01445	DR094_RS00170
OG0000310	EXC50_RS01370	DR094_RS00095
OG0000311	EXC50_RS01330	DR094_RS00045
OG0000312	EXC50_RS01315	DR094_RS00025
OG0000313	EXC50_RS00540	DR094_RS02585
OG0000314	EXC50_RS00900	DR094_RS02905
OG0000315	EXC50_RS00930	DR094_RS02935
OG0000316	EXC50_RS00940	DR094_RS02945
OG0000317	EXC50_RS01030	DR094_RS02685
OG0000318	EXC50_RS00945	DR094_RS03800
OG0000319	EXC50_RS01080	DR094_RS02055
OG0000320	EXC50_RS01215	DR094_RS02120
OG0000321	EXC50_RS02755	DR094_RS02185
OG0000322	EXC50_RS02710	DR094_RS02230
OG0000323	EXC50_RS02580	DR094_RS02805
OG0000324	EXC50_RS01120	DR094_RS02470
OG0000325	EXC50_RS03385	DR094_RS02430
OG0000326	EXC50_RS03290	DR094_RS02335
OG0000327	EXC50_RS03285	DR094_RS02330
OG0000328	EXC50_RS03200	DR094_RS01470
OG0000329	EXC50_RS03180	DR094_RS01490
OG0000330	EXC50_RS02985	DR094_RS01675
OG0000331	EXC50_RS01815	DR094_RS01795
OG0000332	EXC50_RS01950	DR094_RS01895
OG0000333	EXC50_RS01960	DR094_RS01905
OG0000334	EXC50_RS02065	DR094_RS01970
OG0000335	EXC50_RS02075	DR094_RS03715
OG0000336	EXC50_RS02245	DR094_RS03640
OG0000337	EXC50_RS02415	DR094_RS01135
OG0000338	EXC50_RS02455	DR094_RS01095
OG0000339	EXC50_RS01185	DR094_RS02140
OG0000340	EXC50_RS02775	DR094_RS02165
OG0000341	EXC50_RS01140	DR094_RS02490
OG0000342	EXC50_RS03355	DR094_RS02400
OG0000343	EXC50_RS01970	DR094_RS01915
OG0000344	EXC50_RS03510	DR094_RS00570
OG0000345	EXC50_RS03065	DR094_RS01605
OG0000346	EXC50_RS02250	DR094_RS03635
OG0000347	EXC50_RS02685	DR094_RS02255
OG0000348	EXC50_RS03280	DR094_RS03740
OG0000349	EXC50_RS02310	DR094_RS01270
OG0000350	EXC50_RS01600	DR094_RS00335
OG0000351	EXC50_RS03590	DR094_RS00635
OG0000352	EXC50_RS00880	DR094_RS02885
OG0000353	EXC50_RS02715	DR094_RS02225
OG0000354	EXC50_RS03450	DR094_RS00520
OG0000355	EXC50_RS00850	DR094_RS03775
OG0000356	EXC50_RS00935	DR094_RS03825
OG0000357	EXC50_RS01930	DR094_RS03700
OG0000358	EXC50_RS01935	DR094_RS01880
OG0000359	EXC50_RS03310	DR094_RS03745
OG0000360	EXC50_RS00285	DR094_RS00855
OG0000361	EXC50_RS00315	DR094_RS00825
OG0000362	EXC50_RS01390	DR094_RS00115
OG0000363	EXC50_RS02645	DR094_RS02300
OG0000365	EXC50_RS00975	DR094_RS03785
OG0000366	EXC50_RS01000	DR094_RS02655
OG0000367	EXC50_RS01010	DR094_RS02665
OG0000368	EXC50_RS00060	DR094_RS01030
OG0000369	EXC50_RS00025	DR094_RS03585
OG0000370	EXC50_RS00020	DR094_RS01070
OG0000371	EXC50_RS00015	DR094_RS01075
OG0000372	EXC50_RS00010	DR094_RS01080
OG0000373	EXC50_RS02445	DR094_RS01105
OG0000374	EXC50_RS02435	DR094_RS01115
OG0000375	EXC50_RS01075	DR094_RS02050
OG0000376	EXC50_RS01230	DR094_RS02105
OG0000377	EXC50_RS01220	DR094_RS02115
OG0000378	EXC50_RS02795	DR094_RS02150
OG0000379	EXC50_RS02720	DR094_RS02220
OG0000380	EXC50_RS02695	DR094_RS02245
OG0000381	EXC50_RS02655	DR094_RS02285
OG0000382	EXC50_RS02625	DR094_RS02760
OG0000383	EXC50_RS02585	DR094_RS02800
OG0000384	EXC50_RS03570	DR094_RS00630
OG0000385	EXC50_RS03565	DR094_RS00625
OG0000386	EXC50_RS03545	DR094_RS00605
OG0000387	EXC50_RS03520	DR094_RS00580
OG0000388	EXC50_RS03515	DR094_RS03560
OG0000389	EXC50_RS03470	DR094_RS00540
OG0000390	EXC50_RS01740	DR094_RS00440
OG0000391	EXC50_RS01730	DR094_RS00430
OG0000392	EXC50_RS01705	DR094_RS00405
OG0000393	EXC50_RS01650	DR094_RS00350
OG0000394	EXC50_RS01575	DR094_RS00285
OG0000395	EXC50_RS01570	DR094_RS00280
OG0000396	EXC50_RS01275	DR094_RS02575
OG0000397	EXC50_RS00865	DR094_RS02620
OG0000398	EXC50_RS00870	DR094_RS02625
OG0000399	EXC50_RS00915	DR094_RS02920
OG0000400	EXC50_RS01895	DR094_RS01840
OG0000401	EXC50_RS01955	DR094_RS01900
OG0000402	EXC50_RS01965	DR094_RS01910
OG0000403	EXC50_RS01975	DR094_RS01920
OG0000404	EXC50_RS02005	DR094_RS03705
OG0000405	EXC50_RS02020	DR094_RS01955
OG0000406	EXC50_RS02080	DR094_RS01985
OG0000407	EXC50_RS02085	DR094_RS03720
OG0000408	EXC50_RS02090	DR094_RS01995
OG0000409	EXC50_RS02095	DR094_RS02000
OG0000410	EXC50_RS02155	DR094_RS02860
OG0000411	EXC50_RS02145	DR094_RS02870
OG0000412	EXC50_RS02140	DR094_RS02875
OG0000413	EXC50_RS02570	DR094_RS02540
OG0000414	EXC50_RS02560	DR094_RS02530
OG0000415	EXC50_RS02555	DR094_RS02525
OG0000416	EXC50_RS02545	DR094_RS02515
OG0000417	EXC50_RS01135	DR094_RS02485
OG0000418	EXC50_RS01130	DR094_RS02480
OG0000419	EXC50_RS03375	DR094_RS02420
OG0000420	EXC50_RS03340	DR094_RS02385
OG0000421	EXC50_RS03305	DR094_RS02350
OG0000422	EXC50_RS03295	DR094_RS02340
OG0000423	EXC50_RS03240	DR094_RS01430
OG0000424	EXC50_RS03235	DR094_RS01435
OG0000425	EXC50_RS03225	DR094_RS01445
OG0000426	EXC50_RS03220	DR094_RS03675
OG0000427	EXC50_RS03195	DR094_RS03680
OG0000428	EXC50_RS03170	DR094_RS01500
OG0000429	EXC50_RS03075	DR094_RS01595
OG0000430	EXC50_RS03030	DR094_RS01640
OG0000431	EXC50_RS03020	DR094_RS01650
OG0000432	EXC50_RS02990	DR094_RS01670
OG0000433	EXC50_RS02975	DR094_RS01680
OG0000434	EXC50_RS02970	DR094_RS01685
OG0000435	EXC50_RS02955	DR094_RS01700
OG0000436	EXC50_RS02925	DR094_RS01740
OG0000437	EXC50_RS02915	DR094_RS01750
OG0000438	EXC50_RS02910	DR094_RS03695
OG0000439	EXC50_RS02905	DR094_RS01760
OG0000440	EXC50_RS01795	DR094_RS01775
OG0000441	EXC50_RS01835	DR094_RS01815
OG0000442	EXC50_RS00145	DR094_RS01000
OG0000443	EXC50_RS00195	DR094_RS00940
OG0000444	EXC50_RS00210	DR094_RS00925
OG0000445	EXC50_RS00235	DR094_RS00900
OG0000446	EXC50_RS00265	DR094_RS00875
OG0000447	EXC50_RS00270	DR094_RS00870
OG0000448	EXC50_RS00300	DR094_RS00840
OG0000449	EXC50_RS00325	DR094_RS00815
OG0000450	EXC50_RS00335	DR094_RS00805
OG0000451	EXC50_RS00380	DR094_RS00765
OG0000452	EXC50_RS00410	DR094_RS00740
OG0000453	EXC50_RS03660	DR094_RS00705
OG0000455	EXC50_RS02355	DR094_RS03615
OG0000456	EXC50_RS02235	DR094_RS01345
OG0000457	EXC50_RS02210	DR094_RS01370
OG0000458	EXC50_RS01360	DR094_RS00085
OG0000459	EXC50_RS01385	DR094_RS00110
OG0000460	EXC50_RS01395	DR094_RS00120
OG0000461	EXC50_RS01440	DR094_RS00165
OG0000462	EXC50_RS01435	DR094_RS00160
OG0000463	EXC50_RS01430	DR094_RS00155
OG0000464	EXC50_RS01425	DR094_RS00150
OG0000465	EXC50_RS01420	DR094_RS00145
OG0000466	EXC50_RS00415	DR094_RS00735
OG0000467	EXC50_RS01520	DR094_RS03535
OG0000468	EXC50_RS00910	DR094_RS02915
OG0000469	EXC50_RS00970	DR094_RS02710
OG0000470	EXC50_RS03950	DR094_RS01425
OG0000471	EXC50_RS03165	DR094_RS01505
OG0000472	EXC50_RS02165	DR094_RS01405
OG0000473	EXC50_RS02340	DR094_RS01240
OG0000474	EXC50_RS02345	DR094_RS01235
OG0000475	EXC50_RS02350	DR094_RS01230
OG0000476	EXC50_RS02535	DR094_RS01195
OG0000477	EXC50_RS01465	DR094_RS00190
OG0000478	EXC50_RS02285	DR094_RS01295
OG0000479	EXC50_RS02760	DR094_RS02180
OG0000480	EXC50_RS03895	DR094_RS03065
OG0000481	EXC50_RS03270	DR094_RS02315
OG0000482	EXC50_RS02875	DR094_RS02455
OG0000483	EXC50_RS01015	DR094_RS02670
OG0000484	EXC50_RS00205	DR094_RS03575
OG0000485	EXC50_RS02920	DR094_RS01745
OG0000486	EXC50_RS01155	DR094_RS02505
OG0000487	EXC50_RS00950	DR094_RS03795
OG0000488	EXC50_RS00985	DR094_RS02640
OG0000489	EXC50_RS00050	DR094_RS01040
OG0000490	EXC50_RS02450	DR094_RS01100
OG0000491	EXC50_RS02740	DR094_RS02200
OG0000492	EXC50_RS02665	DR094_RS02275
OG0000493	EXC50_RS03505	DR094_RS00565
OG0000494	EXC50_RS03445	DR094_RS00515
OG0000495	EXC50_RS01675	DR094_RS00375
OG0000496	EXC50_RS01665	DR094_RS00365
OG0000497	EXC50_RS01660	DR094_RS00360
OG0000498	EXC50_RS01580	DR094_RS00290
OG0000499	EXC50_RS01545	DR094_RS00250
OG0000500	EXC50_RS00875	DR094_RS02630
OG0000501	EXC50_RS01905	DR094_RS01850
OG0000502	EXC50_RS02885	DR094_RS02445
OG0000503	EXC50_RS03325	DR094_RS02370
OG0000504	EXC50_RS03190	DR094_RS01480
OG0000505	EXC50_RS03155	DR094_RS01515
OG0000506	EXC50_RS03145	DR094_RS01525
OG0000507	EXC50_RS03110	DR094_RS01560
OG0000508	EXC50_RS00260	DR094_RS00880
OG0000509	EXC50_RS00295	DR094_RS00845
OG0000510	EXC50_RS00305	DR094_RS00835
OG0000511	EXC50_RS03655	DR094_RS00700
OG0000512	EXC50_RS01400	DR094_RS00125
OG0000513	EXC50_RS02270	DR094_RS01310
OG0000514	EXC50_RS01700	DR094_RS00400
OG0000516	EXC50_RS00955	DR094_RS02725
OG0000517	EXC50_RS00065	DR094_RS01025
OG0000518	EXC50_RS01945	DR094_RS01890
OG0000519	EXC50_RS03300	DR094_RS02345
OG0000520	EXC50_RS03175	DR094_RS01495
OG0000521	EXC50_RS00275	DR094_RS00865
OG0000522	EXC50_RS00310	DR094_RS00830
OG0000523	EXC50_RS02205	DR094_RS01375
OG0000524	EXC50_RS01515	DR094_RS00230
OG0000525	EXC50_RS02170	DR094_RS03660
OG0000528	EXC50_RS00960	DR094_RS03790
OG0000529	EXC50_RS01090	DR094_RS02065
OG0000530	EXC50_RS01200	DR094_RS02130
OG0000531	EXC50_RS02690	DR094_RS02250
OG0000533	EXC50_RS03490	DR094_RS01660
OG0000534	EXC50_RS00395	DR094_RS00750
OG0000535	EXC50_RS00045	DR094_RS01045
OG0000536	EXC50_RS02385	DR094_RS01170
OG0000537	EXC50_RS03360	DR094_RS02405
OG0000538	EXC50_RS02965	DR094_RS01690
OG0000539	EXC50_RS00220	DR094_RS00915
OG0000541	EXC50_RS01560	DR094_RS00265
OG0000542	EXC50_RS00365	DR094_RS00780
OG0000547	EXC50_RS01750	DR094_RS00450
OG0000548	EXC50_RS00535	DR094_RS02580
OG0000549	EXC50_RS02160	DR094_RS03665
OG0000550	EXC50_RS02305	DR094_RS01275
OG0000551	EXC50_RS01825	DR094_RS01805
OG0000555	EXC50_RS04055	DR094_RS03120
OG0000598	EXC50_RS00690	DR094_RS00985
OG0000599	EXC50_RS00695	DR094_RS00990
OG0000602	EXC50_RS00980	DR094_RS02635
