Orthogroup	MHP_NCTC10127_genes	MHP_UFV01_genes
OG0000056	EXC50_RS02375	FEF30_RS00250
OG0000057	EXC50_RS01765	FEF30_RS03300
OG0000059	EXC50_RS02510	FEF30_RS02110
OG0000060	EXC50_RS04110	FEF30_RS01505
OG0000061	EXC50_RS00525	FEF30_RS01900
OG0000061	EXC50_RS00805	FEF30_RS02250
OG0000062	EXC50_RS02425	FEF30_RS00295
OG0000063	EXC50_RS02420	FEF30_RS04165
OG0000064	EXC50_RS02410	FEF30_RS00280
OG0000065	EXC50_RS01100	FEF30_RS02625
OG0000066	EXC50_RS02735	FEF30_RS01670
OG0000067	EXC50_RS03560	FEF30_RS00835
OG0000068	EXC50_RS03440	FEF30_RS00960
OG0000069	EXC50_RS01655	FEF30_RS03195
OG0000070	EXC50_RS03840, EXC50_RS01325	FEF30_RS02850
OG0000071	EXC50_RS02110	FEF30_RS03610
OG0000072	EXC50_RS02115	FEF30_RS04405
OG0000073	EXC50_RS03380	FEF30_RS01015
OG0000074	EXC50_RS03185	FEF30_RS04230
OG0000075	EXC50_RS00355	FEF30_RS00655
OG0000076	EXC50_RS00370	FEF30_RS00670
OG0000077	EXC50_RS03640	FEF30_RS00755
OG0000079	EXC50_RS01405	FEF30_RS02935
OG0000080	EXC50_RS03930	FEF30_RS02980
OG0000081	EXC50_RS00350	FEF30_RS00650
OG0000082	EXC50_RS01250	FEF30_RS02770
OG0000083	EXC50_RS00965	FEF30_RS02400
OG0000084	EXC50_RS00990	FEF30_RS02430
OG0000085	EXC50_RS00995	FEF30_RS02435
OG0000086	EXC50_RS01005	FEF30_RS02445
OG0000087	EXC50_RS01020	FEF30_RS02460
OG0000088	EXC50_RS01025	FEF30_RS02465
OG0000089	EXC50_RS01035	FEF30_RS02475
OG0000090	EXC50_RS00070	FEF30_RS00400
OG0000091	EXC50_RS00055	FEF30_RS00385
OG0000092	EXC50_RS00040	FEF30_RS00370
OG0000093	EXC50_RS00035	FEF30_RS00365
OG0000094	EXC50_RS00030	FEF30_RS00360
OG0000095	EXC50_RS00005	FEF30_RS00335
OG0000096	EXC50_RS02460	FEF30_RS00330
OG0000097	EXC50_RS02440	FEF30_RS00310
OG0000098	EXC50_RS02430	FEF30_RS00300
OG0000099	EXC50_RS02380	FEF30_RS04160
OG0000100	EXC50_RS02365	FEF30_RS00240
OG0000101	EXC50_RS02360	FEF30_RS00235
OG0000102	EXC50_RS00660	FEF30_RS02020
OG0000103	EXC50_RS01065	FEF30_RS02590
OG0000104	EXC50_RS01070	FEF30_RS02595
OG0000105	EXC50_RS01085	FEF30_RS02610
OG0000106	EXC50_RS01095	FEF30_RS02620
OG0000107	EXC50_RS01105	FEF30_RS02630
OG0000108	EXC50_RS01110	FEF30_RS02635
OG0000109	EXC50_RS01115	FEF30_RS02640
OG0000110	EXC50_RS01240	FEF30_RS02760
OG0000111	EXC50_RS01235	FEF30_RS02755
OG0000112	EXC50_RS01225	FEF30_RS02745
OG0000113	EXC50_RS01205	FEF30_RS02725
OG0000114	EXC50_RS01195	FEF30_RS02715
OG0000115	EXC50_RS01180	FEF30_RS02705
OG0000116	EXC50_RS02790	FEF30_RS01610
OG0000117	EXC50_RS02785	FEF30_RS01615
OG0000118	EXC50_RS02750	FEF30_RS01650
OG0000119	EXC50_RS02745	FEF30_RS01655
OG0000120	EXC50_RS02730	FEF30_RS01675
OG0000121	EXC50_RS02705	FEF30_RS01700
OG0000122	EXC50_RS02700	FEF30_RS01705
OG0000123	EXC50_RS02680	FEF30_RS01725
OG0000124	EXC50_RS02675	FEF30_RS01730
OG0000125	EXC50_RS02670	FEF30_RS01735
OG0000126	EXC50_RS02660	FEF30_RS01745
OG0000127	EXC50_RS02650	FEF30_RS01755
OG0000128	EXC50_RS02635	FEF30_RS01770
OG0000129	EXC50_RS02630	FEF30_RS01775
OG0000130	EXC50_RS02620	FEF30_RS01785
OG0000131	EXC50_RS02590	FEF30_RS04265
OG0000132	EXC50_RS02575	FEF30_RS04270
OG0000133	EXC50_RS03555	FEF30_RS00840
OG0000134	EXC50_RS03550	FEF30_RS00845
OG0000135	EXC50_RS03535	FEF30_RS00860
OG0000136	EXC50_RS03530	FEF30_RS00865
OG0000137	EXC50_RS03500	FEF30_RS00905
OG0000138	EXC50_RS03465	FEF30_RS00935
OG0000139	EXC50_RS03435	FEF30_RS00965
OG0000140	EXC50_RS03430	FEF30_RS00970
OG0000141	EXC50_RS01775	FEF30_RS03310
OG0000142	EXC50_RS01770	FEF30_RS04385
OG0000143	EXC50_RS01745	FEF30_RS03285
OG0000144	EXC50_RS01735	FEF30_RS03275
OG0000145	EXC50_RS01725	FEF30_RS03265
OG0000146	EXC50_RS01715	FEF30_RS03255
OG0000147	EXC50_RS01710	FEF30_RS03250
OG0000148	EXC50_RS01695	FEF30_RS03235
OG0000149	EXC50_RS01685	FEF30_RS03225
OG0000150	EXC50_RS01670	FEF30_RS03210
OG0000151	EXC50_RS01625	FEF30_RS03160
OG0000152	EXC50_RS01620	FEF30_RS03155
OG0000153	EXC50_RS01615	FEF30_RS03150
OG0000154	EXC50_RS01605	FEF30_RS03140
OG0000155	EXC50_RS01565	FEF30_RS03100
OG0000156	EXC50_RS01555	FEF30_RS03090
OG0000157	EXC50_RS01550	FEF30_RS04375
OG0000158	EXC50_RS04235	FEF30_RS04370
OG0000159	EXC50_RS03825	FEF30_RS02835
OG0000160	EXC50_RS03820	FEF30_RS02830
OG0000161	EXC50_RS03815	FEF30_RS02825
OG0000162	EXC50_RS01290	FEF30_RS02815
OG0000163	EXC50_RS01285	FEF30_RS02810
OG0000164	EXC50_RS00550	FEF30_RS01925
OG0000165	EXC50_RS00885	FEF30_RS02320
OG0000166	EXC50_RS00905	FEF30_RS02340
OG0000167	EXC50_RS00920	FEF30_RS02355
OG0000168	EXC50_RS00925	FEF30_RS02360
OG0000169	EXC50_RS01885	FEF30_RS03395
OG0000170	EXC50_RS01900	FEF30_RS04475
OG0000171	EXC50_RS01910	FEF30_RS03420
OG0000172	EXC50_RS01915	FEF30_RS03425
OG0000173	EXC50_RS01920	FEF30_RS03430
OG0000174	EXC50_RS01925	FEF30_RS03435
OG0000175	EXC50_RS01940	FEF30_RS03450
OG0000176	EXC50_RS01990	FEF30_RS03495
OG0000177	EXC50_RS01995	FEF30_RS03500
OG0000178	EXC50_RS02000	FEF30_RS03505
OG0000179	EXC50_RS02010	FEF30_RS03515
OG0000180	EXC50_RS02015	FEF30_RS03520
OG0000181	EXC50_RS02060	FEF30_RS04395
OG0000182	EXC50_RS02070	FEF30_RS03570
OG0000183	EXC50_RS02105	FEF30_RS03605
OG0000184	EXC50_RS02150	FEF30_RS00025
OG0000185	EXC50_RS02135	FEF30_RS00010
OG0000186	EXC50_RS02565	FEF30_RS04275
OG0000187	EXC50_RS02550	FEF30_RS01855
OG0000188	EXC50_RS02540	FEF30_RS01865
OG0000189	EXC50_RS01150	FEF30_RS04355
OG0000190	EXC50_RS01145	FEF30_RS02670
OG0000191	EXC50_RS01125	FEF30_RS02650
OG0000192	EXC50_RS02870	FEF30_RS01530
OG0000193	EXC50_RS02880	FEF30_RS01515
OG0000194	EXC50_RS03395	FEF30_RS01000
OG0000195	EXC50_RS03390	FEF30_RS01005
OG0000196	EXC50_RS03370	FEF30_RS01025
OG0000197	EXC50_RS03365	FEF30_RS01030
OG0000198	EXC50_RS03350	FEF30_RS01045
OG0000199	EXC50_RS03345	FEF30_RS01050
OG0000200	EXC50_RS03330	FEF30_RS01065
OG0000201	EXC50_RS03320	FEF30_RS01075
OG0000202	EXC50_RS03265	FEF30_RS01130
OG0000203	EXC50_RS03260	FEF30_RS01135
OG0000204	EXC50_RS03255	FEF30_RS01140
OG0000205	EXC50_RS03250	FEF30_RS01145
OG0000206	EXC50_RS03230	FEF30_RS01165
OG0000207	EXC50_RS03215	FEF30_RS01180
OG0000208	EXC50_RS03210	FEF30_RS01185
OG0000209	EXC50_RS03205	FEF30_RS01190
OG0000210	EXC50_RS03160	FEF30_RS01235
OG0000211	EXC50_RS03150	FEF30_RS01245
OG0000212	EXC50_RS03140	FEF30_RS01255
OG0000213	EXC50_RS03135	FEF30_RS01260
OG0000214	EXC50_RS03130	FEF30_RS01265
OG0000215	EXC50_RS03125	FEF30_RS01270
OG0000216	EXC50_RS03120	FEF30_RS01275
OG0000217	EXC50_RS03115	FEF30_RS01280
OG0000218	EXC50_RS03105	FEF30_RS01290
OG0000219	EXC50_RS03100	FEF30_RS01295
OG0000220	EXC50_RS03095	FEF30_RS01300
OG0000221	EXC50_RS03090	FEF30_RS01305
OG0000222	EXC50_RS03085	FEF30_RS01310
OG0000223	EXC50_RS03080	FEF30_RS01315
OG0000224	EXC50_RS03070	FEF30_RS01325
OG0000225	EXC50_RS03060	FEF30_RS01335
OG0000226	EXC50_RS03055	FEF30_RS01340
OG0000227	EXC50_RS03050	FEF30_RS01345
OG0000228	EXC50_RS03045	FEF30_RS04410
OG0000229	EXC50_RS03040	FEF30_RS01355
OG0000230	EXC50_RS03035	FEF30_RS01360
OG0000231	EXC50_RS03025	FEF30_RS01370
OG0000232	EXC50_RS03015	FEF30_RS01380
OG0000233	EXC50_RS02995	FEF30_RS01405
OG0000234	EXC50_RS02960	FEF30_RS01440
OG0000235	EXC50_RS02950	FEF30_RS01450
OG0000236	EXC50_RS02945	FEF30_RS01455
OG0000237	EXC50_RS02940	FEF30_RS01460
OG0000238	EXC50_RS02930	FEF30_RS01465
OG0000239	EXC50_RS01785	FEF30_RS03320
OG0000240	EXC50_RS01790	FEF30_RS03325
OG0000241	EXC50_RS01800	FEF30_RS03335
OG0000242	EXC50_RS01805	FEF30_RS03340
OG0000243	EXC50_RS01810	FEF30_RS03345
OG0000244	EXC50_RS01820	FEF30_RS03355
OG0000245	EXC50_RS01830	FEF30_RS03365
OG0000246	EXC50_RS00140	FEF30_RS00455
OG0000247	EXC50_RS00150	FEF30_RS00465
OG0000248	EXC50_RS00160	FEF30_RS00475
OG0000249	EXC50_RS00165	FEF30_RS03675, FEF30_RS00480
OG0000250	EXC50_RS00180	FEF30_RS00495
OG0000251	EXC50_RS00215	FEF30_RS00525
OG0000252	EXC50_RS00225	FEF30_RS00535
OG0000253	EXC50_RS00230	FEF30_RS00540
OG0000254	EXC50_RS00240	FEF30_RS00550
OG0000255	EXC50_RS00250	FEF30_RS00555
OG0000256	EXC50_RS00255	FEF30_RS00560
OG0000257	EXC50_RS00280	FEF30_RS00585
OG0000258	EXC50_RS00290	FEF30_RS00595
OG0000259	EXC50_RS00320	FEF30_RS00625
OG0000260	EXC50_RS00330	FEF30_RS00635
OG0000261	EXC50_RS00340	FEF30_RS04195
OG0000262	EXC50_RS00360	FEF30_RS00660
OG0000263	EXC50_RS00375	FEF30_RS00675
OG0000264	EXC50_RS00390	FEF30_RS00690
OG0000265	EXC50_RS00400	FEF30_RS00700
OG0000266	EXC50_RS00420	FEF30_RS00715
OG0000267	EXC50_RS00435	FEF30_RS00730
OG0000268	EXC50_RS03665	FEF30_RS00735
OG0000269	EXC50_RS03650	FEF30_RS00750
OG0000270	EXC50_RS02335	FEF30_RS04155
OG0000271	EXC50_RS02330	FEF30_RS00205
OG0000272	EXC50_RS02325	FEF30_RS00200
OG0000273	EXC50_RS02320	FEF30_RS00195
OG0000274	EXC50_RS02300	FEF30_RS00175
OG0000275	EXC50_RS02295	FEF30_RS04145
OG0000276	EXC50_RS02290	FEF30_RS00165
OG0000277	EXC50_RS02280	FEF30_RS00155
OG0000278	EXC50_RS02275	FEF30_RS00150
OG0000279	EXC50_RS02265	FEF30_RS00140
OG0000280	EXC50_RS02260	FEF30_RS00135
OG0000281	EXC50_RS02255	FEF30_RS00130
OG0000282	EXC50_RS02230	FEF30_RS04135
OG0000283	EXC50_RS02225	FEF30_RS00100
OG0000284	EXC50_RS02220	FEF30_RS00095
OG0000285	EXC50_RS02215	FEF30_RS04130
OG0000286	EXC50_RS01270	FEF30_RS02795
OG0000287	EXC50_RS01365	FEF30_RS02895
OG0000288	EXC50_RS01375	FEF30_RS02905
OG0000289	EXC50_RS01380	FEF30_RS02910
OG0000290	EXC50_RS01490	FEF30_RS03020
OG0000291	EXC50_RS01480	FEF30_RS03010
OG0000292	EXC50_RS01475	FEF30_RS03005
OG0000293	EXC50_RS01470	FEF30_RS03000
OG0000294	EXC50_RS01460	FEF30_RS02990
OG0000295	EXC50_RS01455	FEF30_RS02985
OG0000296	EXC50_RS01415	FEF30_RS02945
OG0000297	EXC50_RS01410	FEF30_RS02940
OG0000298	EXC50_RS00175	FEF30_RS00490
OG0000299	EXC50_RS00200	FEF30_RS00510
OG0000300	EXC50_RS00385	FEF30_RS00685
OG0000301	EXC50_RS00425	FEF30_RS00720
OG0000302	EXC50_RS00430	FEF30_RS00725
OG0000303	EXC50_RS03525	FEF30_RS00870
OG0000304	EXC50_RS03010	FEF30_RS01385
OG0000305	EXC50_RS01720	FEF30_RS03260
OG0000306	EXC50_RS01645	FEF30_RS03185
OG0000307	EXC50_RS01610	FEF30_RS03145
OG0000308	EXC50_RS01510	FEF30_RS03040
OG0000309	EXC50_RS01445	FEF30_RS02975
OG0000310	EXC50_RS01370	FEF30_RS02900
OG0000311	EXC50_RS01330	FEF30_RS02855
OG0000312	EXC50_RS01315	FEF30_RS02840
OG0000313	EXC50_RS00540	FEF30_RS01915
OG0000314	EXC50_RS00900	FEF30_RS02335
OG0000315	EXC50_RS00930	FEF30_RS02365
OG0000316	EXC50_RS00940	FEF30_RS02375
OG0000317	EXC50_RS01030	FEF30_RS02470
OG0000318	EXC50_RS00945	FEF30_RS04320
OG0000319	EXC50_RS01080	FEF30_RS02605
OG0000320	EXC50_RS01215	FEF30_RS02735
OG0000321	EXC50_RS02755	FEF30_RS01645
OG0000322	EXC50_RS02710	FEF30_RS01695
OG0000323	EXC50_RS02580	FEF30_RS01825
OG0000324	EXC50_RS01120	FEF30_RS02645
OG0000325	EXC50_RS03385	FEF30_RS01010
OG0000326	EXC50_RS03290	FEF30_RS01105
OG0000327	EXC50_RS03285	FEF30_RS01110
OG0000328	EXC50_RS03200	FEF30_RS01195
OG0000329	EXC50_RS03180	FEF30_RS01215
OG0000330	EXC50_RS02985	FEF30_RS01415
OG0000331	EXC50_RS01815	FEF30_RS03350
OG0000332	EXC50_RS01950	FEF30_RS03460
OG0000333	EXC50_RS01960	FEF30_RS03470
OG0000334	EXC50_RS02065	FEF30_RS03565
OG0000335	EXC50_RS02075	FEF30_RS03575
OG0000336	EXC50_RS02245	FEF30_RS04140
OG0000337	EXC50_RS02415	FEF30_RS00285
OG0000338	EXC50_RS02455	FEF30_RS00325
OG0000339	EXC50_RS01185	FEF30_RS02710
OG0000340	EXC50_RS02775	FEF30_RS01625
OG0000341	EXC50_RS01140	FEF30_RS02665
OG0000342	EXC50_RS03355	FEF30_RS01040
OG0000343	EXC50_RS01970	FEF30_RS03480
OG0000344	EXC50_RS03510	FEF30_RS00885
OG0000345	EXC50_RS03065	FEF30_RS01330
OG0000346	EXC50_RS02250	FEF30_RS00125
OG0000347	EXC50_RS02685	FEF30_RS01720
OG0000348	EXC50_RS03280	FEF30_RS01115
OG0000349	EXC50_RS02310	FEF30_RS04150
OG0000350	EXC50_RS01600	FEF30_RS03135
OG0000351	EXC50_RS03590	FEF30_RS00805
OG0000352	EXC50_RS00880	FEF30_RS02315
OG0000353	EXC50_RS02715	FEF30_RS01690
OG0000354	EXC50_RS03450	FEF30_RS00950
OG0000355	EXC50_RS00850	FEF30_RS04310
OG0000356	EXC50_RS00935	FEF30_RS04315
OG0000357	EXC50_RS01930	FEF30_RS04390
OG0000358	EXC50_RS01935	FEF30_RS03445
OG0000359	EXC50_RS03310	FEF30_RS04215
OG0000360	EXC50_RS00285	FEF30_RS00590
OG0000361	EXC50_RS00315	FEF30_RS00620
OG0000362	EXC50_RS01390	FEF30_RS02920
OG0000363	EXC50_RS02645	FEF30_RS01760
OG0000364	EXC50_RS03920	FEF30_RS02275
OG0000365	EXC50_RS00975	FEF30_RS04335
OG0000366	EXC50_RS01000	FEF30_RS02440
OG0000367	EXC50_RS01010	FEF30_RS02450
OG0000368	EXC50_RS00060	FEF30_RS00390
OG0000369	EXC50_RS00025	FEF30_RS04170
OG0000370	EXC50_RS00020	FEF30_RS00350
OG0000371	EXC50_RS00015	FEF30_RS00345
OG0000372	EXC50_RS00010	FEF30_RS00340
OG0000373	EXC50_RS02445	FEF30_RS00315
OG0000374	EXC50_RS02435	FEF30_RS00305
OG0000375	EXC50_RS01075	FEF30_RS02600
OG0000376	EXC50_RS01230	FEF30_RS02750
OG0000377	EXC50_RS01220	FEF30_RS02740
OG0000378	EXC50_RS02795	FEF30_RS01605
OG0000379	EXC50_RS02720	FEF30_RS01685
OG0000380	EXC50_RS02695	FEF30_RS01710
OG0000381	EXC50_RS02655	FEF30_RS01750
OG0000382	EXC50_RS02625	FEF30_RS01780
OG0000383	EXC50_RS02585	FEF30_RS01820
OG0000384	EXC50_RS03570	FEF30_RS00825
OG0000385	EXC50_RS03565	FEF30_RS00830
OG0000386	EXC50_RS03545	FEF30_RS00850
OG0000387	EXC50_RS03520	FEF30_RS00875
OG0000388	EXC50_RS03515	FEF30_RS04205
OG0000389	EXC50_RS03470	FEF30_RS00930
OG0000390	EXC50_RS01740	FEF30_RS03280
OG0000391	EXC50_RS01730	FEF30_RS03270
OG0000392	EXC50_RS01705	FEF30_RS03245
OG0000393	EXC50_RS01650	FEF30_RS04380
OG0000394	EXC50_RS01575	FEF30_RS03110
OG0000395	EXC50_RS01570	FEF30_RS03105
OG0000396	EXC50_RS01275	FEF30_RS02800
OG0000397	EXC50_RS00865	FEF30_RS02300
OG0000398	EXC50_RS00870	FEF30_RS02305
OG0000399	EXC50_RS00915	FEF30_RS02350
OG0000400	EXC50_RS01895	FEF30_RS03405
OG0000401	EXC50_RS01955	FEF30_RS03465
OG0000402	EXC50_RS01965	FEF30_RS03475
OG0000403	EXC50_RS01975	FEF30_RS03485
OG0000404	EXC50_RS02005	FEF30_RS03510
OG0000405	EXC50_RS02020	FEF30_RS04480
OG0000406	EXC50_RS02080	FEF30_RS03580
OG0000407	EXC50_RS02085	FEF30_RS04400
OG0000408	EXC50_RS02090	FEF30_RS03590
OG0000409	EXC50_RS02095	FEF30_RS03595
OG0000410	EXC50_RS02155	FEF30_RS00030
OG0000411	EXC50_RS02145	FEF30_RS00020
OG0000412	EXC50_RS02140	FEF30_RS00015
OG0000413	EXC50_RS02570	FEF30_RS01835
OG0000414	EXC50_RS02560	FEF30_RS01845
OG0000415	EXC50_RS02555	FEF30_RS01850
OG0000416	EXC50_RS02545	FEF30_RS01860
OG0000417	EXC50_RS01135	FEF30_RS02660
OG0000418	EXC50_RS01130	FEF30_RS02655
OG0000419	EXC50_RS03375	FEF30_RS01020
OG0000420	EXC50_RS03340	FEF30_RS01055
OG0000421	EXC50_RS03305	FEF30_RS01090
OG0000422	EXC50_RS03295	FEF30_RS01100
OG0000423	EXC50_RS03240	FEF30_RS01155
OG0000424	EXC50_RS03235	FEF30_RS01160
OG0000425	EXC50_RS03225	FEF30_RS01170
OG0000426	EXC50_RS03220	FEF30_RS04220
OG0000427	EXC50_RS03195	FEF30_RS04225
OG0000428	EXC50_RS03170	FEF30_RS01225
OG0000429	EXC50_RS03075	FEF30_RS01320
OG0000430	EXC50_RS03030	FEF30_RS01365
OG0000431	EXC50_RS03020	FEF30_RS01375
OG0000432	EXC50_RS02990	FEF30_RS01410
OG0000433	EXC50_RS02975	FEF30_RS01425
OG0000434	EXC50_RS02970	FEF30_RS01430
OG0000435	EXC50_RS02955	FEF30_RS01445
OG0000436	EXC50_RS02925	FEF30_RS01470
OG0000437	EXC50_RS02915	FEF30_RS01480
OG0000438	EXC50_RS02910	FEF30_RS01485
OG0000439	EXC50_RS02905	FEF30_RS04235
OG0000440	EXC50_RS01795	FEF30_RS03330
OG0000441	EXC50_RS01835	FEF30_RS03370
OG0000442	EXC50_RS00145	FEF30_RS00460
OG0000443	EXC50_RS00195	FEF30_RS00505
OG0000444	EXC50_RS00210	FEF30_RS00520
OG0000445	EXC50_RS00235	FEF30_RS00545
OG0000446	EXC50_RS00265	FEF30_RS00570
OG0000447	EXC50_RS00270	FEF30_RS00575
OG0000448	EXC50_RS00300	FEF30_RS00605
OG0000449	EXC50_RS00325	FEF30_RS00630
OG0000450	EXC50_RS00335	FEF30_RS00640
OG0000451	EXC50_RS00380	FEF30_RS00680
OG0000452	EXC50_RS00410	FEF30_RS00705
OG0000453	EXC50_RS03660	FEF30_RS00740
OG0000455	EXC50_RS02355	FEF30_RS00230
OG0000456	EXC50_RS02235	FEF30_RS00110
OG0000457	EXC50_RS02210	FEF30_RS00085
OG0000458	EXC50_RS01360	FEF30_RS02890
OG0000459	EXC50_RS01385	FEF30_RS02915
OG0000460	EXC50_RS01395	FEF30_RS02925
OG0000461	EXC50_RS01440	FEF30_RS02970
OG0000462	EXC50_RS01435	FEF30_RS02965
OG0000463	EXC50_RS01430	FEF30_RS02960
OG0000464	EXC50_RS01425	FEF30_RS02955
OG0000465	EXC50_RS01420	FEF30_RS02950
OG0000466	EXC50_RS00415	FEF30_RS00710
OG0000467	EXC50_RS01520	FEF30_RS04360
OG0000468	EXC50_RS00910	FEF30_RS02345
OG0000469	EXC50_RS00970	FEF30_RS02405
OG0000470	EXC50_RS03950	FEF30_RS01150
OG0000471	EXC50_RS03165	FEF30_RS01230
OG0000472	EXC50_RS02165	FEF30_RS00040
OG0000473	EXC50_RS02340	FEF30_RS00215
OG0000474	EXC50_RS02345	FEF30_RS00220
OG0000475	EXC50_RS02350	FEF30_RS00225
OG0000476	EXC50_RS02535	FEF30_RS01870
OG0000477	EXC50_RS01465	FEF30_RS02995
OG0000478	EXC50_RS02285	FEF30_RS00160
OG0000479	EXC50_RS02760	FEF30_RS01640
OG0000480	EXC50_RS03895	FEF30_RS02410
OG0000481	EXC50_RS03270	FEF30_RS01125
OG0000482	EXC50_RS02875	FEF30_RS01520
OG0000483	EXC50_RS01015	FEF30_RS02455
OG0000484	EXC50_RS00205	FEF30_RS04190
OG0000485	EXC50_RS02920	FEF30_RS01475
OG0000486	EXC50_RS01155	FEF30_RS02680
OG0000487	EXC50_RS00950	FEF30_RS04325
OG0000488	EXC50_RS00985	FEF30_RS02425
OG0000489	EXC50_RS00050	FEF30_RS00380
OG0000490	EXC50_RS02450	FEF30_RS00320
OG0000491	EXC50_RS02740	FEF30_RS01660
OG0000492	EXC50_RS02665	FEF30_RS01740
OG0000493	EXC50_RS03505	FEF30_RS00890
OG0000494	EXC50_RS03445	FEF30_RS00955
OG0000495	EXC50_RS01675	FEF30_RS03215
OG0000496	EXC50_RS01665	FEF30_RS03205
OG0000497	EXC50_RS01660	FEF30_RS03200
OG0000498	EXC50_RS01580	FEF30_RS03115
OG0000499	EXC50_RS01545	FEF30_RS03080
OG0000500	EXC50_RS00875	FEF30_RS02310
OG0000502	EXC50_RS02885	FEF30_RS01510
OG0000503	EXC50_RS03325	FEF30_RS01070
OG0000504	EXC50_RS03190	FEF30_RS01205
OG0000505	EXC50_RS03155	FEF30_RS01240
OG0000506	EXC50_RS03145	FEF30_RS01250
OG0000507	EXC50_RS03110	FEF30_RS01285
OG0000508	EXC50_RS00260	FEF30_RS00565
