Orthogroup	MHP_NCTC10127_genes	MHP_111A_genes
OG0000103	EXC50_RS01065	NB623_RS02355
OG0000104	EXC50_RS01070	NB623_RS02360
OG0000105	EXC50_RS01085	NB623_RS02380
OG0000106	EXC50_RS01095	NB623_RS02385
OG0000107	EXC50_RS01105	NB623_RS02395
OG0000108	EXC50_RS01110	NB623_RS02400
OG0000109	EXC50_RS01115	NB623_RS02405
OG0000110	EXC50_RS01240	NB623_RS02525
OG0000111	EXC50_RS01235	NB623_RS02520
OG0000112	EXC50_RS01225	NB623_RS02510
OG0000113	EXC50_RS01205	NB623_RS02490
OG0000114	EXC50_RS01195	NB623_RS02485
OG0000115	EXC50_RS01180	NB623_RS02470
OG0000116	EXC50_RS02790	NB623_RS01415
OG0000117	EXC50_RS02785	NB623_RS01420
OG0000118	EXC50_RS02750	NB623_RS01455
OG0000119	EXC50_RS02745	NB623_RS01465
OG0000120	EXC50_RS02730	NB623_RS01475
OG0000121	EXC50_RS02705	NB623_RS01505
OG0000122	EXC50_RS02700	NB623_RS01510
OG0000123	EXC50_RS02680	NB623_RS01530
OG0000124	EXC50_RS02675	NB623_RS01535
OG0000125	EXC50_RS02670	NB623_RS01545
OG0000126	EXC50_RS02660	NB623_RS01550
OG0000127	EXC50_RS02650	NB623_RS01560
OG0000128	EXC50_RS02635	NB623_RS01575
OG0000129	EXC50_RS02630	NB623_RS01580
OG0000130	EXC50_RS02620	NB623_RS01590
OG0000131	EXC50_RS02590	NB623_RS01620
OG0000132	EXC50_RS02575	NB623_RS01635
OG0000133	EXC50_RS03555	NB623_RS00525
OG0000134	EXC50_RS03550	NB623_RS00530
OG0000135	EXC50_RS03535	NB623_RS00545
OG0000136	EXC50_RS03530	NB623_RS00550
OG0000137	EXC50_RS03500	NB623_RS00590
OG0000138	EXC50_RS03465	NB623_RS00615
OG0000139	EXC50_RS03435	NB623_RS00645
OG0000140	EXC50_RS03430	NB623_RS00650
OG0000141	EXC50_RS01775	NB623_RS03095
OG0000142	EXC50_RS01770	NB623_RS03090
OG0000143	EXC50_RS01745	NB623_RS03075
OG0000144	EXC50_RS01735	NB623_RS03060
OG0000145	EXC50_RS01725	NB623_RS03050
OG0000146	EXC50_RS01715	NB623_RS03040
OG0000147	EXC50_RS01710	NB623_RS03035
OG0000148	EXC50_RS01695	NB623_RS03020
OG0000149	EXC50_RS01685	NB623_RS03010
OG0000150	EXC50_RS01670	NB623_RS02995
OG0000151	EXC50_RS01625	NB623_RS02945
OG0000152	EXC50_RS01620	NB623_RS02940
OG0000153	EXC50_RS01615	NB623_RS02935
OG0000154	EXC50_RS01605	NB623_RS02925
OG0000155	EXC50_RS01565	NB623_RS02885
OG0000156	EXC50_RS01555	NB623_RS02875
OG0000157	EXC50_RS01550	NB623_RS02870
OG0000158	EXC50_RS04235	NB623_RS02860
OG0000159	EXC50_RS03825	NB623_RS02615
OG0000160	EXC50_RS03820	NB623_RS02610
OG0000161	EXC50_RS03815	NB623_RS02605
OG0000162	EXC50_RS01290	NB623_RS02595
OG0000163	EXC50_RS01285	NB623_RS02590
OG0000164	EXC50_RS00550	NB623_RS01725
OG0000165	EXC50_RS00885	NB623_RS02155
OG0000166	EXC50_RS00905	NB623_RS02135
OG0000167	EXC50_RS00920	NB623_RS02120
OG0000168	EXC50_RS00925	NB623_RS02115
OG0000169	EXC50_RS01885	NB623_RS03200
OG0000170	EXC50_RS01900	NB623_RS03215
OG0000171	EXC50_RS01910	NB623_RS03225
OG0000172	EXC50_RS01915	NB623_RS03230
OG0000173	EXC50_RS01920	NB623_RS03235
OG0000174	EXC50_RS01925	NB623_RS03240
OG0000175	EXC50_RS01940	NB623_RS03265
OG0000176	EXC50_RS01990	NB623_RS03310
OG0000177	EXC50_RS01995	NB623_RS03315
OG0000178	EXC50_RS02000	NB623_RS03320
OG0000179	EXC50_RS02010	NB623_RS03330
OG0000180	EXC50_RS02015	NB623_RS03335
OG0000181	EXC50_RS02060	NB623_RS03375
OG0000182	EXC50_RS02070	NB623_RS03385
OG0000183	EXC50_RS02105	NB623_RS03420
OG0000184	EXC50_RS02150	NB623_RS03485
OG0000185	EXC50_RS02135	NB623_RS03475
OG0000186	EXC50_RS02565	NB623_RS01645
OG0000187	EXC50_RS02550	NB623_RS01660
OG0000188	EXC50_RS02540	NB623_RS01670
OG0000189	EXC50_RS01150	NB623_RS02445
OG0000190	EXC50_RS01145	NB623_RS02440
OG0000191	EXC50_RS01125	NB623_RS02415
OG0000192	EXC50_RS02870	NB623_RS01340
OG0000193	EXC50_RS02880	NB623_RS01325
OG0000194	EXC50_RS03395	NB623_RS00690
OG0000195	EXC50_RS03390	NB623_RS00695
OG0000196	EXC50_RS03370	NB623_RS00720
OG0000197	EXC50_RS03365	NB623_RS00730
OG0000198	EXC50_RS03350	NB623_RS00740
OG0000199	EXC50_RS03345	NB623_RS00745
OG0000200	EXC50_RS03330	NB623_RS00760
OG0000201	EXC50_RS03320	NB623_RS00770
OG0000202	EXC50_RS03265	NB623_RS00830
OG0000203	EXC50_RS03260	NB623_RS00835
OG0000204	EXC50_RS03255	NB623_RS00840
OG0000205	EXC50_RS03250	NB623_RS00845
OG0000206	EXC50_RS03230	NB623_RS00865
OG0000207	EXC50_RS03215	NB623_RS00880
OG0000208	EXC50_RS03210	NB623_RS00885
OG0000209	EXC50_RS03205	NB623_RS00890
OG0000210	EXC50_RS03160	NB623_RS00935
OG0000211	EXC50_RS03150	NB623_RS01070
OG0000212	EXC50_RS03140	NB623_RS01080
OG0000213	EXC50_RS03135	NB623_RS01085
OG0000214	EXC50_RS03130	NB623_RS01090
OG0000215	EXC50_RS03125	NB623_RS01095
OG0000216	EXC50_RS03120	NB623_RS01100
OG0000217	EXC50_RS03115	NB623_RS01105
OG0000218	EXC50_RS03105	NB623_RS01115
OG0000219	EXC50_RS03100	NB623_RS01120
OG0000220	EXC50_RS03095	NB623_RS01125
OG0000221	EXC50_RS03090	NB623_RS01130
OG0000222	EXC50_RS03085	NB623_RS01135
OG0000223	EXC50_RS03080	NB623_RS01140
OG0000224	EXC50_RS03070	NB623_RS01150
OG0000225	EXC50_RS03060	NB623_RS01160
OG0000226	EXC50_RS03055	NB623_RS01165
OG0000227	EXC50_RS03050	NB623_RS01170
OG0000228	EXC50_RS03045	NB623_RS01175
OG0000229	EXC50_RS03040	NB623_RS01180
OG0000230	EXC50_RS03035	NB623_RS01185
OG0000231	EXC50_RS03025	NB623_RS01195
OG0000232	EXC50_RS03015	NB623_RS01205
OG0000233	EXC50_RS02995	NB623_RS01225
OG0000234	EXC50_RS02960	NB623_RS01260
OG0000235	EXC50_RS02950	NB623_RS01270
OG0000236	EXC50_RS02945	NB623_RS01275
OG0000237	EXC50_RS02940	NB623_RS01280
OG0000238	EXC50_RS02930	NB623_RS01285
OG0000239	EXC50_RS01785	NB623_RS03105
OG0000240	EXC50_RS01790	NB623_RS03110
OG0000241	EXC50_RS01800	NB623_RS03120
OG0000242	EXC50_RS01805	NB623_RS03125
OG0000243	EXC50_RS01810	NB623_RS03130
OG0000244	EXC50_RS01820	NB623_RS03140
OG0000245	EXC50_RS01830	NB623_RS03145
OG0000246	EXC50_RS00140	NB623_RS00130
OG0000247	EXC50_RS00150	NB623_RS00140
OG0000248	EXC50_RS00160	NB623_RS00150
OG0000249	EXC50_RS00165	NB623_RS00155
OG0000250	EXC50_RS00180	NB623_RS00175
OG0000251	EXC50_RS00215	NB623_RS00205
OG0000252	EXC50_RS00225	NB623_RS00210
OG0000253	EXC50_RS00230	NB623_RS00215
OG0000254	EXC50_RS00240	NB623_RS00225
OG0000255	EXC50_RS00250	NB623_RS00230
OG0000256	EXC50_RS00255	NB623_RS00240
OG0000257	EXC50_RS00280	NB623_RS00260
OG0000258	EXC50_RS00290	NB623_RS00270
OG0000259	EXC50_RS00320	NB623_RS00300
OG0000260	EXC50_RS00330	NB623_RS00310
OG0000261	EXC50_RS00340	NB623_RS00320
OG0000262	EXC50_RS00360	NB623_RS00340
OG0000263	EXC50_RS00375	NB623_RS00350
OG0000264	EXC50_RS00390	NB623_RS00365
OG0000265	EXC50_RS00400	NB623_RS00375
OG0000266	EXC50_RS00420	NB623_RS00390
OG0000267	EXC50_RS00435	NB623_RS00405
OG0000268	EXC50_RS03665	NB623_RS00410
OG0000269	EXC50_RS03650	NB623_RS00425
OG0000270	EXC50_RS02335	NB623_RS03685
OG0000271	EXC50_RS02330	NB623_RS03675
OG0000272	EXC50_RS02325	NB623_RS03670
OG0000273	EXC50_RS02320	NB623_RS03665
OG0000274	EXC50_RS02300	NB623_RS03650
OG0000275	EXC50_RS02295	NB623_RS03640
OG0000276	EXC50_RS02290	NB623_RS03635
OG0000277	EXC50_RS02280	NB623_RS03625
OG0000278	EXC50_RS02275	NB623_RS03620
OG0000279	EXC50_RS02265	NB623_RS03615
OG0000280	EXC50_RS02260	NB623_RS03605
OG0000281	EXC50_RS02255	NB623_RS03600
OG0000282	EXC50_RS02230	NB623_RS03570
OG0000283	EXC50_RS02225	NB623_RS03565
OG0000284	EXC50_RS02220	NB623_RS03560
OG0000285	EXC50_RS02215	NB623_RS03555
OG0000286	EXC50_RS01270	NB623_RS02575
OG0000287	EXC50_RS01365	NB623_RS02675
OG0000288	EXC50_RS01375	NB623_RS02685
OG0000289	EXC50_RS01380	NB623_RS02690
OG0000290	EXC50_RS01490	NB623_RS02810
OG0000291	EXC50_RS01480	NB623_RS02800
OG0000292	EXC50_RS01475	NB623_RS02795
OG0000293	EXC50_RS01470	NB623_RS02790
OG0000294	EXC50_RS01460	NB623_RS02780
OG0000295	EXC50_RS01455	NB623_RS02775
OG0000296	EXC50_RS01415	NB623_RS02730
OG0000297	EXC50_RS01410	NB623_RS02725
OG0000298	EXC50_RS00175	NB623_RS00165
OG0000299	EXC50_RS00200	NB623_RS00185
OG0000300	EXC50_RS00385	NB623_RS00360
OG0000301	EXC50_RS00425	NB623_RS00395
OG0000302	EXC50_RS00430	NB623_RS00400
OG0000303	EXC50_RS03525	NB623_RS00555
OG0000304	EXC50_RS03010	NB623_RS01210
OG0000305	EXC50_RS01720	NB623_RS03045
OG0000306	EXC50_RS01645	NB623_RS02970
OG0000307	EXC50_RS01610	NB623_RS02930
OG0000308	EXC50_RS01510	NB623_RS02835
OG0000309	EXC50_RS01445	NB623_RS02765
OG0000310	EXC50_RS01370	NB623_RS02680
OG0000311	EXC50_RS01330	NB623_RS02635
OG0000312	EXC50_RS01315	NB623_RS02620
OG0000313	EXC50_RS00540	NB623_RS01715
OG0000314	EXC50_RS00900	NB623_RS02140
OG0000315	EXC50_RS00930	NB623_RS02110
OG0000316	EXC50_RS00940	NB623_RS02100
OG0000317	EXC50_RS01030	NB623_RS02005
OG0000318	EXC50_RS00945	NB623_RS02095
OG0000319	EXC50_RS01080	NB623_RS02370
OG0000320	EXC50_RS01215	NB623_RS02500
OG0000321	EXC50_RS02755	NB623_RS01450
OG0000322	EXC50_RS02710	NB623_RS01500
OG0000323	EXC50_RS02580	NB623_RS01630
OG0000324	EXC50_RS01120	NB623_RS02410
OG0000325	EXC50_RS03385	NB623_RS00705
OG0000326	EXC50_RS03290	NB623_RS00805
OG0000327	EXC50_RS03285	NB623_RS00810
OG0000328	EXC50_RS03200	NB623_RS00895
OG0000329	EXC50_RS03180	NB623_RS00915
OG0000330	EXC50_RS02985	NB623_RS01235
OG0000331	EXC50_RS01815	NB623_RS03135
OG0000332	EXC50_RS01950	NB623_RS03270
OG0000333	EXC50_RS01960	NB623_RS03280
OG0000334	EXC50_RS02065	NB623_RS03380
OG0000335	EXC50_RS02075	NB623_RS03390
OG0000336	EXC50_RS02245	NB623_RS03590
OG0000337	EXC50_RS02415	NB623_RS03765
OG0000338	EXC50_RS02455	NB623_RS03805
OG0000339	EXC50_RS01185	NB623_RS02475
OG0000340	EXC50_RS02775	NB623_RS01430
OG0000341	EXC50_RS01140	NB623_RS02435
OG0000342	EXC50_RS03355	NB623_RS00735
OG0000343	EXC50_RS01970	NB623_RS03290
OG0000344	EXC50_RS03510	NB623_RS00570
OG0000345	EXC50_RS03065	NB623_RS01155
OG0000346	EXC50_RS02250	NB623_RS03595
OG0000347	EXC50_RS02685	NB623_RS01525
OG0000348	EXC50_RS03280	NB623_RS00815
OG0000349	EXC50_RS02310	NB623_RS03655
OG0000350	EXC50_RS01600	NB623_RS02920
OG0000351	EXC50_RS03590	NB623_RS00480
OG0000352	EXC50_RS00880	NB623_RS02160
OG0000353	EXC50_RS02715	NB623_RS01490
OG0000354	EXC50_RS03450	NB623_RS00630
OG0000355	EXC50_RS00850	NB623_RS02185
OG0000356	EXC50_RS00935	NB623_RS02105
OG0000357	EXC50_RS01930	NB623_RS03245
OG0000358	EXC50_RS01935	NB623_RS03250
OG0000359	EXC50_RS03310	NB623_RS00780
OG0000360	EXC50_RS00285	NB623_RS00265
OG0000361	EXC50_RS00315	NB623_RS00295
OG0000362	EXC50_RS01390	NB623_RS02705
OG0000363	EXC50_RS02645	NB623_RS01565
OG0000364	EXC50_RS03915	NB623_RS02210
OG0000365	EXC50_RS00975	NB623_RS02060
OG0000366	EXC50_RS01000	NB623_RS02035
OG0000367	EXC50_RS01010	NB623_RS02025
OG0000368	EXC50_RS00060	NB623_RS00060
OG0000369	EXC50_RS00025	NB623_RS00025
OG0000370	EXC50_RS00020	NB623_RS00020
OG0000371	EXC50_RS00015	NB623_RS00015
OG0000372	EXC50_RS00010	NB623_RS00010
OG0000373	EXC50_RS02445	NB623_RS03795
OG0000374	EXC50_RS02435	NB623_RS03785
OG0000375	EXC50_RS01075	NB623_RS02365
OG0000376	EXC50_RS01230	NB623_RS02515
OG0000377	EXC50_RS01220	NB623_RS02505
OG0000378	EXC50_RS02795	NB623_RS01410
OG0000379	EXC50_RS02720	NB623_RS01485
OG0000380	EXC50_RS02695	NB623_RS01515
OG0000381	EXC50_RS02655	NB623_RS01555
OG0000382	EXC50_RS02625	NB623_RS01585
OG0000383	EXC50_RS02585	NB623_RS01625
OG0000384	EXC50_RS03570	NB623_RS00510
OG0000385	EXC50_RS03565	NB623_RS00520
OG0000386	EXC50_RS03545	NB623_RS00535
OG0000387	EXC50_RS03520	NB623_RS00560
OG0000388	EXC50_RS03515	NB623_RS00565
OG0000389	EXC50_RS03470	NB623_RS00610
OG0000390	EXC50_RS01740	NB623_RS03065
OG0000391	EXC50_RS01730	NB623_RS03055
OG0000392	EXC50_RS01705	NB623_RS03030
OG0000393	EXC50_RS01650	NB623_RS02975
OG0000394	EXC50_RS01575	NB623_RS02895
OG0000395	EXC50_RS01570	NB623_RS02890
OG0000396	EXC50_RS01275	NB623_RS02580
OG0000397	EXC50_RS00865	NB623_RS02175
OG0000398	EXC50_RS00870	NB623_RS02170
OG0000399	EXC50_RS00915	NB623_RS02125
OG0000400	EXC50_RS01895	NB623_RS03210
OG0000401	EXC50_RS01955	NB623_RS03275
OG0000402	EXC50_RS01965	NB623_RS03285
OG0000403	EXC50_RS01975	NB623_RS03295
OG0000404	EXC50_RS02005	NB623_RS03325
OG0000405	EXC50_RS02020	NB623_RS03340
OG0000406	EXC50_RS02080	NB623_RS03395
OG0000407	EXC50_RS02085	NB623_RS03400
OG0000408	EXC50_RS02090	NB623_RS03405
OG0000409	EXC50_RS02095	NB623_RS03410
OG0000410	EXC50_RS02155	NB623_RS03495
OG0000411	EXC50_RS02145	NB623_RS03480
OG0000413	EXC50_RS02570	NB623_RS01640
OG0000414	EXC50_RS02560	NB623_RS01650
OG0000415	EXC50_RS02555	NB623_RS01655
OG0000416	EXC50_RS02545	NB623_RS01665
OG0000417	EXC50_RS01135	NB623_RS02430
OG0000418	EXC50_RS01130	NB623_RS02420
OG0000419	EXC50_RS03375	NB623_RS00715
OG0000420	EXC50_RS03340	NB623_RS00750
OG0000421	EXC50_RS03305	NB623_RS00790
OG0000422	EXC50_RS03295	NB623_RS00800
OG0000423	EXC50_RS03240	NB623_RS00855
OG0000424	EXC50_RS03235	NB623_RS00860
OG0000425	EXC50_RS03225	NB623_RS00870
OG0000426	EXC50_RS03220	NB623_RS00875
OG0000427	EXC50_RS03195	NB623_RS00900
OG0000428	EXC50_RS03170	NB623_RS00925
OG0000429	EXC50_RS03075	NB623_RS01145
OG0000430	EXC50_RS03030	NB623_RS01190
OG0000431	EXC50_RS03020	NB623_RS01200
OG0000432	EXC50_RS02990	NB623_RS01230
OG0000433	EXC50_RS02975	NB623_RS01245
OG0000434	EXC50_RS02970	NB623_RS01255
OG0000435	EXC50_RS02955	NB623_RS01265
OG0000436	EXC50_RS02925	NB623_RS01290
OG0000437	EXC50_RS02915	NB623_RS01300
OG0000438	EXC50_RS02910	NB623_RS01305
OG0000439	EXC50_RS02905	NB623_RS01310
OG0000440	EXC50_RS01795	NB623_RS03115
OG0000441	EXC50_RS01835	NB623_RS03150
OG0000442	EXC50_RS00145	NB623_RS00135
OG0000443	EXC50_RS00195	NB623_RS00180
OG0000444	EXC50_RS00210	NB623_RS00195
OG0000445	EXC50_RS00235	NB623_RS00220
OG0000446	EXC50_RS00265	NB623_RS00245
OG0000447	EXC50_RS00270	NB623_RS00255
OG0000448	EXC50_RS00300	NB623_RS00280
OG0000449	EXC50_RS00325	NB623_RS00305
OG0000450	EXC50_RS00335	NB623_RS00315
OG0000451	EXC50_RS00380	NB623_RS00355
OG0000452	EXC50_RS00410	NB623_RS00380
OG0000453	EXC50_RS03660	NB623_RS00415
OG0000455	EXC50_RS02355	NB623_RS03705
OG0000456	EXC50_RS02235	NB623_RS03580
OG0000457	EXC50_RS02210	NB623_RS03545
OG0000458	EXC50_RS01360	NB623_RS02670
OG0000459	EXC50_RS01385	NB623_RS02700
OG0000460	EXC50_RS01395	NB623_RS02710
OG0000461	EXC50_RS01440	NB623_RS02755
OG0000462	EXC50_RS01435	NB623_RS02750
OG0000463	EXC50_RS01430	NB623_RS02745
OG0000464	EXC50_RS01425	NB623_RS02740
OG0000465	EXC50_RS01420	NB623_RS02735
OG0000466	EXC50_RS00415	NB623_RS00385
OG0000467	EXC50_RS01520	NB623_RS02845
OG0000468	EXC50_RS00910	NB623_RS02130
OG0000469	EXC50_RS00970	NB623_RS02070
OG0000470	EXC50_RS03950	NB623_RS00850
OG0000471	EXC50_RS03165	NB623_RS00930
OG0000472	EXC50_RS02165	NB623_RS03500
OG0000473	EXC50_RS02340	NB623_RS03690
OG0000474	EXC50_RS02345	NB623_RS03695
OG0000475	EXC50_RS02350	NB623_RS03700
OG0000476	EXC50_RS02535	NB623_RS01675
OG0000477	EXC50_RS01465	NB623_RS02785
OG0000478	EXC50_RS02285	NB623_RS03630
OG0000479	EXC50_RS02760	NB623_RS01445
OG0000480	EXC50_RS03895	NB623_RS02065
OG0000481	EXC50_RS03270	NB623_RS00825
OG0000482	EXC50_RS02875	NB623_RS01330
OG0000483	EXC50_RS01015	NB623_RS02020
OG0000484	EXC50_RS00205	NB623_RS00190
OG0000485	EXC50_RS02920	NB623_RS01295
OG0000486	EXC50_RS01155	NB623_RS02450
OG0000488	EXC50_RS00985	NB623_RS02055
OG0000490	EXC50_RS02450	NB623_RS03800
OG0000493	EXC50_RS03505	NB623_RS00575
OG0000494	EXC50_RS03445	NB623_RS00635
OG0000495	EXC50_RS01675	NB623_RS03005
OG0000496	EXC50_RS01665	NB623_RS02990
OG0000497	EXC50_RS01660	NB623_RS02985
OG0000498	EXC50_RS01580	NB623_RS02900
OG0000499	EXC50_RS01545	NB623_RS02865
OG0000500	EXC50_RS00875	NB623_RS02165
OG0000501	EXC50_RS01905	NB623_RS03220
OG0000502	EXC50_RS02885	NB623_RS01320
OG0000503	EXC50_RS03325	NB623_RS00765
OG0000504	EXC50_RS03190	NB623_RS00905
OG0000505	EXC50_RS03155	NB623_RS01065
OG0000506	EXC50_RS03145	NB623_RS01075
OG0000507	EXC50_RS03110	NB623_RS01110
OG0000509	EXC50_RS00295	NB623_RS00275
OG0000510	EXC50_RS00305	NB623_RS00285
OG0000511	EXC50_RS03655	NB623_RS00420
OG0000512	EXC50_RS01400	NB623_RS02715
OG0000514	EXC50_RS01700	NB623_RS03025
OG0000516	EXC50_RS00955	NB623_RS02090
OG0000517	EXC50_RS00065	NB623_RS00065
OG0000519	EXC50_RS03300	NB623_RS00795
OG0000520	EXC50_RS03175	NB623_RS00920
OG0000522	EXC50_RS00310	NB623_RS00290
OG0000523	EXC50_RS02205	NB623_RS03540
OG0000524	EXC50_RS01515	NB623_RS02840
OG0000525	EXC50_RS02170	NB623_RS03505
OG0000526	EXC50_RS04005	NB623_RS02260
OG0000527	EXC50_RS00720	NB623_RS02315
OG0000528	EXC50_RS00960	NB623_RS02080
OG0000531	EXC50_RS02690	NB623_RS01520
OG0000532	EXC50_RS00575	NB623_RS01745
OG0000533	EXC50_RS03490	NB623_RS00595
OG0000534	EXC50_RS00395	NB623_RS00370
OG0000536	EXC50_RS02385	NB623_RS03735
OG0000540	EXC50_RS01485	NB623_RS02805
OG0000541	EXC50_RS01560	NB623_RS02880
OG0000543	EXC50_RS00505	NB623_RS01930
OG0000544	EXC50_RS02835	NB623_RS01375
OG0000545	EXC50_RS00770	NB623_RS02270
OG0000546	EXC50_RS01630	NB623_RS02950
OG0000552	EXC50_RS01980	NB623_RS03300
OG0000553	EXC50_RS01530	NB623_RS02855
