Orthogroup	MHP_NCTC10127_genes	MHP_MHP682_genes
OG0000073	EXC50_RS03380	DR097_RS01115
OG0000074	EXC50_RS03185	DR097_RS04605
OG0000075	EXC50_RS00355	DR097_RS00090
OG0000076	EXC50_RS00370	DR097_RS00075
OG0000077	EXC50_RS03640	DR097_RS03275
OG0000078	EXC50_RS00635	DR097_RS01875
OG0000079	EXC50_RS01405	DR097_RS02640
OG0000080	EXC50_RS03930	DR097_RS04360
OG0000081	EXC50_RS00350	DR097_RS00095
OG0000082	EXC50_RS01250	DR097_RS02165
OG0000083	EXC50_RS00965	DR097_RS00750
OG0000084	EXC50_RS00990	DR097_RS03685
OG0000085	EXC50_RS00995	DR097_RS02875
OG0000086	EXC50_RS01005	DR097_RS02865
OG0000087	EXC50_RS01020	DR097_RS02850
OG0000088	EXC50_RS01025	DR097_RS02845
OG0000089	EXC50_RS01035	DR097_RS02835
OG0000090	EXC50_RS00070	DR097_RS02485
OG0000091	EXC50_RS00055	DR097_RS02775
OG0000092	EXC50_RS00040	DR097_RS02790
OG0000093	EXC50_RS00035	DR097_RS02795
OG0000094	EXC50_RS00030	DR097_RS02800
OG0000095	EXC50_RS00005	DR097_RS03550
OG0000096	EXC50_RS02460	DR097_RS03545
OG0000097	EXC50_RS02440	DR097_RS02575
OG0000098	EXC50_RS02430	DR097_RS02585
OG0000099	EXC50_RS02380	DR097_RS03665
OG0000100	EXC50_RS02365	DR097_RS00555
OG0000101	EXC50_RS02360	DR097_RS00560
OG0000102	EXC50_RS00660	DR097_RS01850
OG0000103	EXC50_RS01065	DR097_RS02710
OG0000104	EXC50_RS01070	DR097_RS02715
OG0000105	EXC50_RS01085	DR097_RS02730
OG0000106	EXC50_RS01095	DR097_RS02740
OG0000107	EXC50_RS01105	DR097_RS02750
OG0000108	EXC50_RS01110	DR097_RS02755
OG0000109	EXC50_RS01115	DR097_RS02760
OG0000110	EXC50_RS01240	DR097_RS02155
OG0000111	EXC50_RS01235	DR097_RS02150
OG0000112	EXC50_RS01225	DR097_RS02140
OG0000113	EXC50_RS01205	DR097_RS04705
OG0000114	EXC50_RS01195	DR097_RS02110
OG0000115	EXC50_RS01180	DR097_RS02095
OG0000116	EXC50_RS02790	DR097_RS00320
OG0000117	EXC50_RS02785	DR097_RS00315
OG0000118	EXC50_RS02750	DR097_RS01690
OG0000119	EXC50_RS02745	DR097_RS01685
OG0000120	EXC50_RS02730	DR097_RS01670
OG0000121	EXC50_RS02705	DR097_RS01645
OG0000122	EXC50_RS02700	DR097_RS01640
OG0000123	EXC50_RS02680	DR097_RS01620
OG0000124	EXC50_RS02675	DR097_RS01615
OG0000125	EXC50_RS02670	DR097_RS01610
OG0000126	EXC50_RS02660	DR097_RS01600
OG0000127	EXC50_RS02650	DR097_RS01590
OG0000128	EXC50_RS02635	DR097_RS03460
OG0000129	EXC50_RS02630	DR097_RS03355
OG0000130	EXC50_RS02620	DR097_RS03345
OG0000131	EXC50_RS02590	DR097_RS04820
OG0000132	EXC50_RS02575	DR097_RS04815
OG0000133	EXC50_RS03555	DR097_RS02400
OG0000134	EXC50_RS03550	DR097_RS02395
OG0000135	EXC50_RS03535	DR097_RS02380
OG0000136	EXC50_RS03530	DR097_RS02375
OG0000137	EXC50_RS03500	DR097_RS02345
OG0000138	EXC50_RS03465	DR097_RS03080
OG0000139	EXC50_RS03435	DR097_RS03050
OG0000140	EXC50_RS03430	DR097_RS03045
OG0000141	EXC50_RS01775	DR097_RS01260
OG0000142	EXC50_RS01770	DR097_RS04625
OG0000143	EXC50_RS01745	DR097_RS01230
OG0000144	EXC50_RS01735	DR097_RS01220
OG0000145	EXC50_RS01725	DR097_RS01210
OG0000146	EXC50_RS01715	DR097_RS01200
OG0000147	EXC50_RS01710	DR097_RS01195
OG0000148	EXC50_RS01695	DR097_RS01180
OG0000149	EXC50_RS01685	DR097_RS01170
OG0000150	EXC50_RS01670	DR097_RS01155
OG0000151	EXC50_RS01625	DR097_RS01755
OG0000152	EXC50_RS01620	DR097_RS01760
OG0000153	EXC50_RS01615	DR097_RS01765
OG0000154	EXC50_RS01605	DR097_RS01775
OG0000155	EXC50_RS01565	DR097_RS01820
OG0000156	EXC50_RS01555	DR097_RS01490
OG0000157	EXC50_RS01550	DR097_RS04640
OG0000158	EXC50_RS04235	DR097_RS04645
OG0000159	EXC50_RS03825	DR097_RS04905
OG0000160	EXC50_RS03820	DR097_RS01950
OG0000161	EXC50_RS03815	DR097_RS01955
OG0000162	EXC50_RS01290	DR097_RS01965
OG0000163	EXC50_RS01285	DR097_RS01970
OG0000164	EXC50_RS00550	DR097_RS03125
OG0000165	EXC50_RS00885	DR097_RS00830
OG0000166	EXC50_RS00905	DR097_RS00810
OG0000167	EXC50_RS00920	DR097_RS00795
OG0000168	EXC50_RS00925	DR097_RS00790
OG0000169	EXC50_RS01885	DR097_RS01475
OG0000170	EXC50_RS01900	DR097_RS01460
OG0000171	EXC50_RS01910	DR097_RS01450
OG0000172	EXC50_RS01915	DR097_RS01445
OG0000173	EXC50_RS01920	DR097_RS01440
OG0000174	EXC50_RS01925	DR097_RS01435
OG0000175	EXC50_RS01940	DR097_RS01420
OG0000176	EXC50_RS01990	DR097_RS01370
OG0000177	EXC50_RS01995	DR097_RS01365
OG0000178	EXC50_RS02000	DR097_RS01360
OG0000179	EXC50_RS02010	DR097_RS01350
OG0000180	EXC50_RS02015	DR097_RS01345
OG0000181	EXC50_RS02060	DR097_RS04805
OG0000182	EXC50_RS02070	DR097_RS03155
OG0000183	EXC50_RS02105	DR097_RS03570
OG0000184	EXC50_RS02150	DR097_RS02975
OG0000185	EXC50_RS02135	DR097_RS02990
OG0000186	EXC50_RS02565	DR097_RS04760
OG0000187	EXC50_RS02550	DR097_RS02915
OG0000188	EXC50_RS02540	DR097_RS02905
OG0000189	EXC50_RS01150	DR097_RS04790
OG0000190	EXC50_RS01145	DR097_RS03030
OG0000191	EXC50_RS01125	DR097_RS03010
OG0000192	EXC50_RS02870	DR097_RS00400
OG0000193	EXC50_RS02880	DR097_RS00415
OG0000194	EXC50_RS03395	DR097_RS01130
OG0000195	EXC50_RS03390	DR097_RS01125
OG0000196	EXC50_RS03370	DR097_RS01105
OG0000197	EXC50_RS03365	DR097_RS01100
OG0000198	EXC50_RS03350	DR097_RS01085
OG0000199	EXC50_RS03345	DR097_RS01080
OG0000200	EXC50_RS03330	DR097_RS01065
OG0000201	EXC50_RS03320	DR097_RS01055
OG0000202	EXC50_RS03265	DR097_RS01000
OG0000203	EXC50_RS03260	DR097_RS00995
OG0000204	EXC50_RS03255	DR097_RS00990
OG0000205	EXC50_RS03250	DR097_RS00985
OG0000206	EXC50_RS03230	DR097_RS00965
OG0000207	EXC50_RS03215	DR097_RS00950
OG0000208	EXC50_RS03210	DR097_RS00945
OG0000209	EXC50_RS03205	DR097_RS00940
OG0000210	EXC50_RS03160	DR097_RS04925
OG0000211	EXC50_RS03150	DR097_RS02185
OG0000212	EXC50_RS03140	DR097_RS02195
OG0000213	EXC50_RS03135	DR097_RS02200
OG0000214	EXC50_RS03130	DR097_RS02205
OG0000215	EXC50_RS03125	DR097_RS02210
OG0000216	EXC50_RS03120	DR097_RS02215
OG0000217	EXC50_RS03115	DR097_RS02220
OG0000218	EXC50_RS03105	DR097_RS02230
OG0000219	EXC50_RS03100	DR097_RS02235
OG0000220	EXC50_RS03095	DR097_RS02240
OG0000221	EXC50_RS03090	DR097_RS02245
OG0000222	EXC50_RS03085	DR097_RS02250
OG0000223	EXC50_RS03080	DR097_RS02255
OG0000224	EXC50_RS03070	DR097_RS02265
OG0000225	EXC50_RS03060	DR097_RS02275
OG0000226	EXC50_RS03055	DR097_RS02280
OG0000227	EXC50_RS03050	DR097_RS02285
OG0000228	EXC50_RS03045	DR097_RS04910
OG0000229	EXC50_RS03040	DR097_RS02295
OG0000230	EXC50_RS03035	DR097_RS02300
OG0000231	EXC50_RS03025	DR097_RS02310
OG0000232	EXC50_RS03015	DR097_RS02320
OG0000233	EXC50_RS02995	DR097_RS00535
OG0000234	EXC50_RS02960	DR097_RS00495
OG0000235	EXC50_RS02950	DR097_RS00485
OG0000236	EXC50_RS02945	DR097_RS00480
OG0000237	EXC50_RS02940	DR097_RS00475
OG0000238	EXC50_RS02930	DR097_RS00465
OG0000239	EXC50_RS01785	DR097_RS01270
OG0000240	EXC50_RS01790	DR097_RS01275
OG0000241	EXC50_RS01800	DR097_RS01285
OG0000242	EXC50_RS01805	DR097_RS01290
OG0000243	EXC50_RS01810	DR097_RS01295
OG0000244	EXC50_RS01820	DR097_RS01305
OG0000245	EXC50_RS01830	DR097_RS01315
OG0000246	EXC50_RS00140	DR097_RS00300
OG0000247	EXC50_RS00150	DR097_RS00290
OG0000248	EXC50_RS00160	DR097_RS00280
OG0000249	EXC50_RS00165	DR097_RS00275
OG0000250	EXC50_RS00180	DR097_RS00260
OG0000251	EXC50_RS00215	DR097_RS00225
OG0000252	EXC50_RS00225	DR097_RS00215
OG0000253	EXC50_RS00230	DR097_RS00210
OG0000254	EXC50_RS00240	DR097_RS00200
OG0000255	EXC50_RS00250	DR097_RS00190
OG0000256	EXC50_RS00255	DR097_RS00185
OG0000257	EXC50_RS00280	DR097_RS00160
OG0000258	EXC50_RS00290	DR097_RS00150
OG0000259	EXC50_RS00320	DR097_RS00120
OG0000260	EXC50_RS00330	DR097_RS00110
OG0000261	EXC50_RS00340	DR097_RS04500
OG0000262	EXC50_RS00360	DR097_RS00085
OG0000263	EXC50_RS00375	DR097_RS00070
OG0000264	EXC50_RS00390	DR097_RS00055
OG0000265	EXC50_RS00400	DR097_RS00045
OG0000266	EXC50_RS00420	DR097_RS00030
OG0000267	EXC50_RS00435	DR097_RS00015
OG0000268	EXC50_RS03665	DR097_RS00010
OG0000269	EXC50_RS03650	DR097_RS03285
OG0000270	EXC50_RS02335	DR097_RS04530
OG0000271	EXC50_RS02330	DR097_RS00590
OG0000272	EXC50_RS02325	DR097_RS00595
OG0000273	EXC50_RS02320	DR097_RS00600
OG0000274	EXC50_RS02300	DR097_RS00620
OG0000275	EXC50_RS02295	DR097_RS04540
OG0000276	EXC50_RS02290	DR097_RS00630
OG0000277	EXC50_RS02280	DR097_RS00640
OG0000278	EXC50_RS02275	DR097_RS00645
OG0000279	EXC50_RS02265	DR097_RS00655
OG0000280	EXC50_RS02260	DR097_RS00660
OG0000281	EXC50_RS02255	DR097_RS00665
OG0000282	EXC50_RS02230	DR097_RS04550
OG0000283	EXC50_RS02225	DR097_RS00695
OG0000284	EXC50_RS02220	DR097_RS00700
OG0000285	EXC50_RS02215	DR097_RS04555
OG0000286	EXC50_RS01270	DR097_RS01985
OG0000287	EXC50_RS01365	DR097_RS02680
OG0000288	EXC50_RS01375	DR097_RS02670
OG0000289	EXC50_RS01380	DR097_RS02665
OG0000290	EXC50_RS01490	DR097_RS01555
OG0000291	EXC50_RS01480	DR097_RS01565
OG0000292	EXC50_RS01475	DR097_RS01570
OG0000293	EXC50_RS01470	DR097_RS01575
OG0000294	EXC50_RS01460	DR097_RS03220
OG0000295	EXC50_RS01455	DR097_RS03210
OG0000296	EXC50_RS01415	DR097_RS02630
OG0000297	EXC50_RS01410	DR097_RS02635
OG0000298	EXC50_RS00175	DR097_RS00265
OG0000299	EXC50_RS00200	DR097_RS00240
OG0000300	EXC50_RS00385	DR097_RS00060
OG0000301	EXC50_RS00425	DR097_RS00025
OG0000302	EXC50_RS00430	DR097_RS00020
OG0000303	EXC50_RS03525	DR097_RS02370
OG0000304	EXC50_RS03010	DR097_RS02325
OG0000305	EXC50_RS01720	DR097_RS01205
OG0000306	EXC50_RS01645	DR097_RS01735
OG0000307	EXC50_RS01610	DR097_RS01770
OG0000308	EXC50_RS01510	DR097_RS01535
OG0000309	EXC50_RS01445	DR097_RS03200
OG0000310	EXC50_RS01370	DR097_RS02675
OG0000311	EXC50_RS01330	DR097_RS01925
OG0000312	EXC50_RS01315	DR097_RS01940
OG0000313	EXC50_RS00540	DR097_RS03115
OG0000314	EXC50_RS00900	DR097_RS00815
OG0000315	EXC50_RS00930	DR097_RS00785
OG0000316	EXC50_RS00940	DR097_RS00775
OG0000317	EXC50_RS01030	DR097_RS02840
OG0000318	EXC50_RS00945	DR097_RS04590
OG0000319	EXC50_RS01080	DR097_RS02725
OG0000320	EXC50_RS01215	DR097_RS02130
OG0000321	EXC50_RS02755	DR097_RS01695
OG0000322	EXC50_RS02710	DR097_RS01650
OG0000323	EXC50_RS02580	DR097_RS03305
OG0000324	EXC50_RS01120	DR097_RS03005
OG0000325	EXC50_RS03385	DR097_RS01120
OG0000326	EXC50_RS03290	DR097_RS01025
OG0000327	EXC50_RS03285	DR097_RS01020
OG0000328	EXC50_RS03200	DR097_RS00935
OG0000329	EXC50_RS03180	DR097_RS00915
OG0000330	EXC50_RS02985	DR097_RS00520
OG0000331	EXC50_RS01815	DR097_RS01300
OG0000332	EXC50_RS01950	DR097_RS01410
OG0000333	EXC50_RS01960	DR097_RS01400
OG0000334	EXC50_RS02065	DR097_RS03150
OG0000335	EXC50_RS02075	DR097_RS03160
OG0000336	EXC50_RS02245	DR097_RS04545
OG0000337	EXC50_RS02415	DR097_RS02600
OG0000338	EXC50_RS02455	DR097_RS03540
OG0000339	EXC50_RS01185	DR097_RS02100
OG0000340	EXC50_RS02775	DR097_RS01715
OG0000341	EXC50_RS01140	DR097_RS03025
OG0000342	EXC50_RS03355	DR097_RS01090
OG0000343	EXC50_RS01970	DR097_RS01390
OG0000344	EXC50_RS03510	DR097_RS02355
OG0000345	EXC50_RS03065	DR097_RS02270
OG0000346	EXC50_RS02250	DR097_RS04870
OG0000347	EXC50_RS02685	DR097_RS01625
OG0000348	EXC50_RS03280	DR097_RS01015
OG0000349	EXC50_RS02310	DR097_RS04535
OG0000350	EXC50_RS01600	DR097_RS01780
OG0000351	EXC50_RS03590	DR097_RS03225
OG0000352	EXC50_RS00880	DR097_RS00835
OG0000353	EXC50_RS02715	DR097_RS01655
OG0000354	EXC50_RS03450	DR097_RS03065
OG0000355	EXC50_RS00850	DR097_RS04600
OG0000356	EXC50_RS00935	DR097_RS04595
OG0000357	EXC50_RS01930	DR097_RS04635
OG0000358	EXC50_RS01935	DR097_RS01425
OG0000359	EXC50_RS03310	DR097_RS04620
OG0000360	EXC50_RS00285	DR097_RS00155
OG0000361	EXC50_RS00315	DR097_RS00125
OG0000362	EXC50_RS01390	DR097_RS02655
OG0000363	EXC50_RS02645	DR097_RS04660
OG0000364	EXC50_RS03915, EXC50_RS03920	DR097_RS00890
OG0000365	EXC50_RS00975	DR097_RS04570
OG0000366	EXC50_RS01000	DR097_RS02870
OG0000367	EXC50_RS01010	DR097_RS02860
OG0000368	EXC50_RS00060	DR097_RS02770
OG0000369	EXC50_RS00025	DR097_RS04750
OG0000370	EXC50_RS00020	DR097_RS02810
OG0000371	EXC50_RS00015	DR097_RS02815
OG0000372	EXC50_RS00010	DR097_RS02820
OG0000373	EXC50_RS02445	DR097_RS02570
OG0000374	EXC50_RS02435	DR097_RS02580
OG0000375	EXC50_RS01075	DR097_RS02720
OG0000376	EXC50_RS01230	DR097_RS02145
OG0000377	EXC50_RS01220	DR097_RS02135
OG0000378	EXC50_RS02795	DR097_RS00325
OG0000379	EXC50_RS02720	DR097_RS01660
OG0000380	EXC50_RS02695	DR097_RS01635
OG0000381	EXC50_RS02655	DR097_RS01595
OG0000382	EXC50_RS02625	DR097_RS03350
OG0000383	EXC50_RS02585	DR097_RS03310
OG0000384	EXC50_RS03570	DR097_RS03605
OG0000385	EXC50_RS03565	DR097_RS02090
OG0000386	EXC50_RS03545	DR097_RS02390
OG0000387	EXC50_RS03520	DR097_RS02365
OG0000388	EXC50_RS03515	DR097_RS04710
OG0000389	EXC50_RS03470	DR097_RS03085
OG0000390	EXC50_RS01740	DR097_RS01225
OG0000391	EXC50_RS01730	DR097_RS01215
OG0000392	EXC50_RS01705	DR097_RS01190
OG0000393	EXC50_RS01650	DR097_RS04670
OG0000394	EXC50_RS01575	DR097_RS01805
OG0000395	EXC50_RS01570	DR097_RS01810
OG0000396	EXC50_RS01275	DR097_RS01980
OG0000397	EXC50_RS00865	DR097_RS00850
OG0000398	EXC50_RS00870	DR097_RS00845
OG0000399	EXC50_RS00915	DR097_RS00800
OG0000400	EXC50_RS01895	DR097_RS01465
OG0000401	EXC50_RS01955	DR097_RS01405
OG0000402	EXC50_RS01965	DR097_RS01395
OG0000403	EXC50_RS01975	DR097_RS01385
OG0000404	EXC50_RS02005	DR097_RS01355
OG0000405	EXC50_RS02020	DR097_RS01340
OG0000406	EXC50_RS02080	DR097_RS03165
OG0000407	EXC50_RS02085	DR097_RS04810
OG0000408	EXC50_RS02090	DR097_RS03175
OG0000410	EXC50_RS02155	DR097_RS02970
OG0000411	EXC50_RS02145	DR097_RS02980
OG0000412	EXC50_RS02140	DR097_RS02985
OG0000413	EXC50_RS02570	DR097_RS02935
OG0000414	EXC50_RS02560	DR097_RS02925
OG0000415	EXC50_RS02555	DR097_RS02920
OG0000416	EXC50_RS02545	DR097_RS02910
OG0000417	EXC50_RS01135	DR097_RS03020
OG0000418	EXC50_RS01130	DR097_RS03015
OG0000419	EXC50_RS03375	DR097_RS01110
OG0000420	EXC50_RS03340	DR097_RS01075
OG0000421	EXC50_RS03305	DR097_RS01040
OG0000422	EXC50_RS03295	DR097_RS01030
OG0000423	EXC50_RS03240	DR097_RS00975
OG0000424	EXC50_RS03235	DR097_RS00970
OG0000425	EXC50_RS03225	DR097_RS00960
OG0000426	EXC50_RS03220	DR097_RS04615
OG0000427	EXC50_RS03195	DR097_RS04610
OG0000428	EXC50_RS03170	DR097_RS00905
OG0000429	EXC50_RS03075	DR097_RS02260
OG0000430	EXC50_RS03030	DR097_RS02305
OG0000431	EXC50_RS03020	DR097_RS02315
OG0000432	EXC50_RS02990	DR097_RS00525
OG0000433	EXC50_RS02975	DR097_RS00510
OG0000434	EXC50_RS02970	DR097_RS00505
OG0000435	EXC50_RS02955	DR097_RS00490
OG0000436	EXC50_RS02925	DR097_RS00460
OG0000437	EXC50_RS02915	DR097_RS00450
OG0000438	EXC50_RS02910	DR097_RS00445
OG0000439	EXC50_RS02905	DR097_RS04525
OG0000440	EXC50_RS01795	DR097_RS04630
OG0000441	EXC50_RS01835	DR097_RS03780
OG0000442	EXC50_RS00145	DR097_RS00295
OG0000443	EXC50_RS00195	DR097_RS00245
OG0000444	EXC50_RS00210	DR097_RS00230
OG0000445	EXC50_RS00235	DR097_RS00205
OG0000446	EXC50_RS00265	DR097_RS00175
OG0000447	EXC50_RS00270	DR097_RS00170
OG0000448	EXC50_RS00300	DR097_RS00140
OG0000449	EXC50_RS00325	DR097_RS00115
OG0000450	EXC50_RS00335	DR097_RS00105
OG0000451	EXC50_RS00380	DR097_RS00065
OG0000452	EXC50_RS00410	DR097_RS00040
OG0000454	EXC50_RS03725, EXC50_RS03855, EXC50_RS03675	DR097_RS03090
OG0000455	EXC50_RS02355	DR097_RS00565
OG0000456	EXC50_RS02235	DR097_RS00685
OG0000457	EXC50_RS02210	DR097_RS00710
OG0000458	EXC50_RS01360	DR097_RS02685
OG0000459	EXC50_RS01385	DR097_RS02660
OG0000460	EXC50_RS01395	DR097_RS02650
OG0000461	EXC50_RS01440	DR097_RS03195
OG0000462	EXC50_RS01435	DR097_RS03190
OG0000463	EXC50_RS01430	DR097_RS03185
OG0000464	EXC50_RS01425	DR097_RS02620
OG0000465	EXC50_RS01420	DR097_RS02625
OG0000466	EXC50_RS00415	DR097_RS00035
OG0000467	EXC50_RS01520	DR097_RS04655
OG0000468	EXC50_RS00910	DR097_RS00805
OG0000469	EXC50_RS00970	DR097_RS00745
OG0000470	EXC50_RS03950	DR097_RS03815
OG0000472	EXC50_RS02165	DR097_RS02945
OG0000473	EXC50_RS02340	DR097_RS00580
OG0000474	EXC50_RS02345	DR097_RS00575
OG0000475	EXC50_RS02350	DR097_RS00570
OG0000476	EXC50_RS02535	DR097_RS02900
OG0000477	EXC50_RS01465	DR097_RS03795
OG0000478	EXC50_RS02285	DR097_RS00635
OG0000479	EXC50_RS02760	DR097_RS01700
OG0000480	EXC50_RS03895	DR097_RS03810
OG0000481	EXC50_RS03270	DR097_RS01005
OG0000482	EXC50_RS02875	DR097_RS00410
OG0000483	EXC50_RS01015	DR097_RS02855
OG0000484	EXC50_RS00205	DR097_RS04505
OG0000485	EXC50_RS02920	DR097_RS00455
OG0000486	EXC50_RS01155	DR097_RS03040
OG0000487	EXC50_RS00950	DR097_RS04585
OG0000489	EXC50_RS00050	DR097_RS02780
OG0000490	EXC50_RS02450	DR097_RS03535
OG0000491	EXC50_RS02740	DR097_RS01680
OG0000492	EXC50_RS02665	DR097_RS01605
OG0000493	EXC50_RS03505	DR097_RS02350
OG0000494	EXC50_RS03445	DR097_RS03060
OG0000495	EXC50_RS01675	DR097_RS01160
OG0000496	EXC50_RS01665	DR097_RS01150
OG0000497	EXC50_RS01660	DR097_RS01720
OG0000498	EXC50_RS01580	DR097_RS01800
OG0000499	EXC50_RS01545	DR097_RS01500
OG0000500	EXC50_RS00875	DR097_RS00840
OG0000501	EXC50_RS01905	DR097_RS01455
OG0000502	EXC50_RS02885	DR097_RS00420
OG0000503	EXC50_RS03325	DR097_RS01060
OG0000504	EXC50_RS03190	DR097_RS00925
OG0000505	EXC50_RS03155	DR097_RS02180
OG0000506	EXC50_RS03145	DR097_RS02190
OG0000507	EXC50_RS03110	DR097_RS02225
OG0000508	EXC50_RS00260	DR097_RS00180
OG0000509	EXC50_RS00295	DR097_RS00145
OG0000510	EXC50_RS00305	DR097_RS00135
OG0000511	EXC50_RS03655	DR097_RS03290
OG0000512	EXC50_RS01400	DR097_RS02645
OG0000513	EXC50_RS02270	DR097_RS00650
OG0000514	EXC50_RS01700	DR097_RS01185
OG0000515	EXC50_RS02525	DR097_RS04275
OG0000516	EXC50_RS00955	DR097_RS04580
OG0000518	EXC50_RS01945	DR097_RS01415
OG0000519	EXC50_RS03300	DR097_RS01035
OG0000520	EXC50_RS03175	DR097_RS00910
OG0000521	EXC50_RS00275	DR097_RS00165
OG0000522	EXC50_RS00310	DR097_RS00130
OG0000523	EXC50_RS02205	DR097_RS00715
OG0000524	EXC50_RS01515	DR097_RS01530
OG0000525	EXC50_RS02170	DR097_RS04770
OG0000526	EXC50_RS04005	DR097_RS04225, DR097_RS04230
OG0000527	EXC50_RS00720	DR097_RS04395
OG0000528	EXC50_RS00960	DR097_RS04575
OG0000529	EXC50_RS01090	DR097_RS02735
OG0000530	EXC50_RS01200	DR097_RS02115
OG0000531	EXC50_RS02690	DR097_RS01630
OG0000532	EXC50_RS00575	DR097_RS03520
OG0000533	EXC50_RS03490	DR097_RS03360
OG0000534	EXC50_RS00395	DR097_RS00050
OG0000535	EXC50_RS00045	DR097_RS04745
