Orthogroup	MHP_NCTC10127_genes	MHP_7422_genes
OG0000255	EXC50_RS00250	MHL_RS00245
OG0000256	EXC50_RS00255	MHL_RS00250
OG0000257	EXC50_RS00280	MHL_RS00275
OG0000258	EXC50_RS00290	MHL_RS00285
OG0000259	EXC50_RS00320	MHL_RS00315
OG0000260	EXC50_RS00330	MHL_RS00325
OG0000261	EXC50_RS00340	MHL_RS00335
OG0000262	EXC50_RS00360	MHL_RS00350
OG0000263	EXC50_RS00375	MHL_RS00370
OG0000264	EXC50_RS00390	MHL_RS00380
OG0000265	EXC50_RS00400	MHL_RS00390
OG0000266	EXC50_RS00420	MHL_RS00405
OG0000267	EXC50_RS00435	MHL_RS00420
OG0000268	EXC50_RS03665	MHL_RS00425
OG0000269	EXC50_RS03650	MHL_RS00440
OG0000270	EXC50_RS02335	MHL_RS03490
OG0000271	EXC50_RS02330	MHL_RS03485
OG0000272	EXC50_RS02325	MHL_RS03480
OG0000273	EXC50_RS02320	MHL_RS03475
OG0000274	EXC50_RS02300	MHL_RS03455
OG0000275	EXC50_RS02295	MHL_RS03450
OG0000276	EXC50_RS02290	MHL_RS03445
OG0000277	EXC50_RS02280	MHL_RS03435
OG0000278	EXC50_RS02275	MHL_RS03430
OG0000279	EXC50_RS02265	MHL_RS03420
OG0000280	EXC50_RS02260	MHL_RS03415
OG0000281	EXC50_RS02255	MHL_RS03760
OG0000282	EXC50_RS02230	MHL_RS03390
OG0000283	EXC50_RS02225	MHL_RS03385
OG0000284	EXC50_RS02220	MHL_RS03380
OG0000285	EXC50_RS02215	MHL_RS03375
OG0000286	EXC50_RS01270	MHL_RS02485
OG0000287	EXC50_RS01365	MHL_RS02575
OG0000288	EXC50_RS01375	MHL_RS02585
OG0000289	EXC50_RS01380	MHL_RS02590
OG0000290	EXC50_RS01490	MHL_RS02700
OG0000291	EXC50_RS01480	MHL_RS02690
OG0000292	EXC50_RS01475	MHL_RS02685
OG0000293	EXC50_RS01470	MHL_RS02680
OG0000294	EXC50_RS01460	MHL_RS02670
OG0000295	EXC50_RS01455	MHL_RS02665
OG0000296	EXC50_RS01415	MHL_RS02625
OG0000297	EXC50_RS01410	MHL_RS02620
OG0000298	EXC50_RS00175	MHL_RS00180
OG0000299	EXC50_RS00200	MHL_RS03650
OG0000300	EXC50_RS00385	MHL_RS00375
OG0000301	EXC50_RS00425	MHL_RS00410
OG0000302	EXC50_RS00430	MHL_RS00415
OG0000303	EXC50_RS03525	MHL_RS00560
OG0000304	EXC50_RS03010	MHL_RS01160
OG0000305	EXC50_RS01720	MHL_RS02925
OG0000306	EXC50_RS01645	MHL_RS02850
OG0000307	EXC50_RS01610	MHL_RS02815
OG0000308	EXC50_RS01510	MHL_RS02720
OG0000309	EXC50_RS01445	MHL_RS02655
OG0000310	EXC50_RS01370	MHL_RS02580
OG0000311	EXC50_RS01330	MHL_RS02545
OG0000312	EXC50_RS01315	MHL_RS02530
OG0000313	EXC50_RS00540	MHL_RS01680
OG0000314	EXC50_RS00900	MHL_RS02030
OG0000315	EXC50_RS00930	MHL_RS02060
OG0000316	EXC50_RS00940	MHL_RS02070
OG0000317	EXC50_RS01030	MHL_RS02160
OG0000318	EXC50_RS00945	MHL_RS02075
OG0000319	EXC50_RS01080	MHL_RS02290
OG0000320	EXC50_RS01215	MHL_RS02425
OG0000321	EXC50_RS02755	MHL_RS01415
OG0000322	EXC50_RS02710	MHL_RS01460
OG0000323	EXC50_RS02580	MHL_RS01590
OG0000324	EXC50_RS01120	MHL_RS02335
OG0000325	EXC50_RS03385	MHL_RS00790
OG0000326	EXC50_RS03290	MHL_RS00880
OG0000327	EXC50_RS03285	MHL_RS00885
OG0000328	EXC50_RS03200	MHL_RS00970
OG0000329	EXC50_RS03180	MHL_RS00990
OG0000330	EXC50_RS02985	MHL_RS01185
OG0000331	EXC50_RS01815	MHL_RS03020
OG0000332	EXC50_RS01950	MHL_RS03120
OG0000333	EXC50_RS01960	MHL_RS03130
OG0000334	EXC50_RS02065	MHL_RS03230
OG0000335	EXC50_RS02075	MHL_RS03240
OG0000336	EXC50_RS02245	MHL_RS03405
OG0000337	EXC50_RS02415	MHL_RS03570
OG0000338	EXC50_RS02455	MHL_RS03610
OG0000339	EXC50_RS01185	MHL_RS02400
OG0000340	EXC50_RS02775	MHL_RS01395
OG0000341	EXC50_RS01140	MHL_RS02355
OG0000342	EXC50_RS03355	MHL_RS00820
OG0000343	EXC50_RS01970	MHL_RS03140
OG0000344	EXC50_RS03510	MHL_RS00580
OG0000345	EXC50_RS03065	MHL_RS01105
OG0000346	EXC50_RS02250	MHL_RS03410
OG0000347	EXC50_RS02685	MHL_RS01485
OG0000348	EXC50_RS03280	MHL_RS00890
OG0000349	EXC50_RS02310	MHL_RS03640
OG0000350	EXC50_RS01600	MHL_RS02805
OG0000351	EXC50_RS03590	MHL_RS00505
OG0000352	EXC50_RS00880	MHL_RS02010
OG0000353	EXC50_RS02715	MHL_RS01455
OG0000354	EXC50_RS03450	MHL_RS00725
OG0000355	EXC50_RS00850	MHL_RS01980
OG0000356	EXC50_RS00935	MHL_RS02065
OG0000357	EXC50_RS01930	MHL_RS03100
OG0000358	EXC50_RS01935	MHL_RS03105
OG0000359	EXC50_RS03310	MHL_RS00860
OG0000360	EXC50_RS00285	MHL_RS00280
OG0000361	EXC50_RS00315	MHL_RS00310
OG0000362	EXC50_RS01390	MHL_RS02600
OG0000363	EXC50_RS02645	MHL_RS03985
OG0000364	EXC50_RS03915	MHL_RS04025
OG0000364	EXC50_RS03920	MHL_RS01955
OG0000365	EXC50_RS00975	MHL_RS02105
OG0000366	EXC50_RS01000	MHL_RS02130
OG0000367	EXC50_RS01010	MHL_RS02140
OG0000368	EXC50_RS00060	MHL_RS00065
OG0000369	EXC50_RS00025	MHL_RS00030
OG0000370	EXC50_RS00020	MHL_RS00025
OG0000371	EXC50_RS00015	MHL_RS00020
OG0000372	EXC50_RS00010	MHL_RS00015
OG0000373	EXC50_RS02445	MHL_RS03605
OG0000374	EXC50_RS02435	MHL_RS03590
OG0000375	EXC50_RS01075	MHL_RS02285
OG0000376	EXC50_RS01230	MHL_RS02440
OG0000377	EXC50_RS01220	MHL_RS02430
OG0000378	EXC50_RS02795	MHL_RS01375
OG0000379	EXC50_RS02720	MHL_RS01450
OG0000380	EXC50_RS02695	MHL_RS01475
OG0000381	EXC50_RS02655	MHL_RS01515
OG0000382	EXC50_RS02625	MHL_RS01545
OG0000383	EXC50_RS02585	MHL_RS01585
OG0000384	EXC50_RS03570	MHL_RS00520
OG0000386	EXC50_RS03545	MHL_RS00540
OG0000387	EXC50_RS03520	MHL_RS00565
OG0000388	EXC50_RS03515	MHL_RS00570
OG0000389	EXC50_RS03470	MHL_RS00705
OG0000390	EXC50_RS01740	MHL_RS02945
OG0000391	EXC50_RS01730	MHL_RS02935
OG0000392	EXC50_RS01705	MHL_RS02910
OG0000393	EXC50_RS01650	MHL_RS02855
OG0000394	EXC50_RS01575	MHL_RS02780
OG0000395	EXC50_RS01570	MHL_RS02775
OG0000396	EXC50_RS01275	MHL_RS02490
OG0000397	EXC50_RS00865	MHL_RS01995
OG0000398	EXC50_RS00870	MHL_RS02000
OG0000399	EXC50_RS00915	MHL_RS02045
OG0000400	EXC50_RS01895	MHL_RS03065
OG0000401	EXC50_RS01955	MHL_RS03125
OG0000402	EXC50_RS01965	MHL_RS03135
OG0000403	EXC50_RS01975	MHL_RS03145
OG0000404	EXC50_RS02005	MHL_RS03175
OG0000405	EXC50_RS02020	MHL_RS03190
OG0000406	EXC50_RS02080	MHL_RS03245
OG0000407	EXC50_RS02085	MHL_RS03250
OG0000408	EXC50_RS02090	MHL_RS03255
OG0000409	EXC50_RS02095	MHL_RS03260
OG0000410	EXC50_RS02155	MHL_RS03315
OG0000411	EXC50_RS02145	MHL_RS03305
OG0000412	EXC50_RS02140	MHL_RS03300
OG0000413	EXC50_RS02570	MHL_RS01600
OG0000414	EXC50_RS02560	MHL_RS01610
OG0000415	EXC50_RS02555	MHL_RS01615
OG0000416	EXC50_RS02545	MHL_RS01625
OG0000417	EXC50_RS01135	MHL_RS02350
OG0000418	EXC50_RS01130	MHL_RS02345
OG0000419	EXC50_RS03375	MHL_RS00800
OG0000420	EXC50_RS03340	MHL_RS00835
OG0000421	EXC50_RS03305	MHL_RS00865
OG0000422	EXC50_RS03295	MHL_RS00875
OG0000423	EXC50_RS03240	MHL_RS00930
OG0000424	EXC50_RS03235	MHL_RS00935
OG0000425	EXC50_RS03225	MHL_RS00945
OG0000426	EXC50_RS03220	MHL_RS00950
OG0000427	EXC50_RS03195	MHL_RS00975
OG0000428	EXC50_RS03170	MHL_RS01000
OG0000429	EXC50_RS03075	MHL_RS01095
OG0000430	EXC50_RS03030	MHL_RS01140
OG0000431	EXC50_RS03020	MHL_RS01150
OG0000432	EXC50_RS02990	MHL_RS01180
OG0000433	EXC50_RS02975	MHL_RS01195
OG0000434	EXC50_RS02970	MHL_RS01200
OG0000435	EXC50_RS02955	MHL_RS01215
OG0000436	EXC50_RS02925	MHL_RS01245
OG0000437	EXC50_RS02915	MHL_RS01255
OG0000438	EXC50_RS02910	MHL_RS03965
OG0000439	EXC50_RS02905	MHL_RS01265
OG0000440	EXC50_RS01795	MHL_RS03000
OG0000441	EXC50_RS01835	MHL_RS03040
OG0000442	EXC50_RS00145	MHL_RS00150
OG0000443	EXC50_RS00195	MHL_RS00195
OG0000444	EXC50_RS00210	MHL_RS00205
OG0000445	EXC50_RS00235	MHL_RS00230
OG0000446	EXC50_RS00265	MHL_RS00260
OG0000447	EXC50_RS00270	MHL_RS00265
OG0000448	EXC50_RS00300	MHL_RS00295
OG0000449	EXC50_RS00325	MHL_RS00320
OG0000450	EXC50_RS00335	MHL_RS00330
OG0000452	EXC50_RS00410	MHL_RS00395
OG0000453	EXC50_RS03660	MHL_RS00430
OG0000455	EXC50_RS02355	MHL_RS03510
OG0000456	EXC50_RS02235	MHL_RS03395
OG0000457	EXC50_RS02210	MHL_RS03370
OG0000458	EXC50_RS01360	MHL_RS02570
OG0000459	EXC50_RS01385	MHL_RS02595
OG0000460	EXC50_RS01395	MHL_RS02605
OG0000461	EXC50_RS01440	MHL_RS02650
OG0000462	EXC50_RS01435	MHL_RS02645
OG0000463	EXC50_RS01430	MHL_RS02640
OG0000464	EXC50_RS01425	MHL_RS02635
OG0000465	EXC50_RS01420	MHL_RS02630
OG0000466	EXC50_RS00415	MHL_RS00400
OG0000467	EXC50_RS01520	MHL_RS02730
OG0000468	EXC50_RS00910	MHL_RS02040
OG0000469	EXC50_RS00970	MHL_RS02100
OG0000470	EXC50_RS03950	MHL_RS03825
OG0000471	EXC50_RS03165	MHL_RS01005
OG0000472	EXC50_RS02165	MHL_RS03325
OG0000473	EXC50_RS02340	MHL_RS03495
OG0000474	EXC50_RS02345	MHL_RS03500
OG0000475	EXC50_RS02350	MHL_RS03505
OG0000476	EXC50_RS02535	MHL_RS01635
OG0000477	EXC50_RS01465	MHL_RS02675
OG0000478	EXC50_RS02285	MHL_RS03440
OG0000479	EXC50_RS02760	MHL_RS01410
OG0000480	EXC50_RS03895	MHL_RS03850
OG0000481	EXC50_RS03270	MHL_RS00900
OG0000482	EXC50_RS02875	MHL_RS01295
OG0000483	EXC50_RS01015	MHL_RS02145
OG0000484	EXC50_RS00205	MHL_RS00200
OG0000485	EXC50_RS02920	MHL_RS01250
OG0000486	EXC50_RS01155	MHL_RS02370
OG0000487	EXC50_RS00950	MHL_RS02080
OG0000488	EXC50_RS00985	MHL_RS02115
OG0000489	EXC50_RS00050	MHL_RS00055
OG0000491	EXC50_RS02740	MHL_RS01430
OG0000492	EXC50_RS02665	MHL_RS01505
OG0000494	EXC50_RS03445	MHL_RS00730
OG0000495	EXC50_RS01675	MHL_RS02880
OG0000496	EXC50_RS01665	MHL_RS04090
OG0000497	EXC50_RS01660	MHL_RS02865
OG0000498	EXC50_RS01580	MHL_RS02785
OG0000499	EXC50_RS01545	MHL_RS02750
OG0000500	EXC50_RS00875	MHL_RS02005
OG0000501	EXC50_RS01905	MHL_RS03075
OG0000502	EXC50_RS02885	MHL_RS01285
OG0000503	EXC50_RS03325	MHL_RS00845
OG0000504	EXC50_RS03190	MHL_RS00980
OG0000505	EXC50_RS03155	MHL_RS01015
OG0000506	EXC50_RS03145	MHL_RS01025
OG0000507	EXC50_RS03110	MHL_RS01060
OG0000508	EXC50_RS00260	MHL_RS00255
OG0000509	EXC50_RS00295	MHL_RS00290
OG0000510	EXC50_RS00305	MHL_RS00300
OG0000511	EXC50_RS03655	MHL_RS00435
OG0000512	EXC50_RS01400	MHL_RS02610
OG0000513	EXC50_RS02270	MHL_RS03425
OG0000514	EXC50_RS01700	MHL_RS02905
OG0000515	EXC50_RS02525, EXC50_RS00520	MHL_RS01925
OG0000516	EXC50_RS00955	MHL_RS02085
OG0000517	EXC50_RS00065	MHL_RS00070
OG0000518	EXC50_RS01945	MHL_RS03115
OG0000519	EXC50_RS03300	MHL_RS00870
OG0000520	EXC50_RS03175	MHL_RS00995
OG0000521	EXC50_RS00275	MHL_RS00270
OG0000522	EXC50_RS00310	MHL_RS00305
OG0000523	EXC50_RS02205	MHL_RS03365
OG0000524	EXC50_RS01515	MHL_RS02725
OG0000525	EXC50_RS02170	MHL_RS03330
OG0000526	EXC50_RS04005	MHL_RS04020
OG0000527	EXC50_RS00720	MHL_RS01840
OG0000528	EXC50_RS00960	MHL_RS02090
OG0000529	EXC50_RS01090	MHL_RS02300
OG0000530	EXC50_RS01200	MHL_RS02410
OG0000531	EXC50_RS02690	MHL_RS01480
OG0000532	EXC50_RS00575	MHL_RS01715
OG0000533	EXC50_RS03490	MHL_RS03945, MHL_RS03940
OG0000534	EXC50_RS00395	MHL_RS00385
OG0000535	EXC50_RS00045	MHL_RS00050
OG0000536	EXC50_RS02385	MHL_RS03540
OG0000537	EXC50_RS03360	MHL_RS00815
OG0000538	EXC50_RS02965	MHL_RS01205
OG0000539	EXC50_RS00220	MHL_RS00215
OG0000540	EXC50_RS01485	MHL_RS02695
OG0000541	EXC50_RS01560	MHL_RS02765
