Orthogroup	MHP_NCTC10127_genes	MFC_MF11_genes
OG0000050	EXC50_RS04180, EXC50_RS04200, EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295	DR093_RS04015
OG0000051	EXC50_RS01500	DR093_RS01745
OG0000052	EXC50_RS00075	DR093_RS00140
OG0000053	EXC50_RS02640	DR093_RS03940
OG0000054	EXC50_RS04250	DR093_RS01140
OG0000056	EXC50_RS02375	DR093_RS01205
OG0000057	EXC50_RS01765	DR093_RS00685
OG0000062	EXC50_RS02425	DR093_RS00025
OG0000063	EXC50_RS02420	DR093_RS03775
OG0000064	EXC50_RS02410	DR093_RS00010
OG0000065	EXC50_RS01100	DR093_RS01890
OG0000066	EXC50_RS02735	DR093_RS02020
OG0000068	EXC50_RS03440	DR093_RS00640
OG0000069	EXC50_RS01655	DR093_RS00795
OG0000070	EXC50_RS03840, EXC50_RS01325	DR093_RS01120
OG0000071	EXC50_RS02110	DR093_RS02370
OG0000072	EXC50_RS02115	DR093_RS03980
OG0000073	EXC50_RS03380	DR093_RS02505
OG0000074	EXC50_RS03185	DR093_RS03915
OG0000075	EXC50_RS00355	DR093_RS00360
OG0000076	EXC50_RS00370	DR093_RS00375
OG0000077	EXC50_RS03640	DR093_RS00460
OG0000078	EXC50_RS00635	DR093_RS00930
OG0000079	EXC50_RS01405	DR093_RS01040
OG0000080	EXC50_RS03930	DR093_RS03415
OG0000081	EXC50_RS00350	DR093_RS00355
OG0000082	EXC50_RS01250	DR093_RS01100
OG0000083	EXC50_RS00965	DR093_RS02955
OG0000084	EXC50_RS00990	DR093_RS02790
OG0000085	EXC50_RS00995	DR093_RS02785
OG0000086	EXC50_RS01005	DR093_RS04020
OG0000087	EXC50_RS01020	DR093_RS02760
OG0000088	EXC50_RS01025	DR093_RS02755
OG0000089	EXC50_RS01035	DR093_RS02745
OG0000090	EXC50_RS00070	DR093_RS00130
OG0000091	EXC50_RS00055	DR093_RS00115
OG0000092	EXC50_RS00040	DR093_RS00100
OG0000093	EXC50_RS00035	DR093_RS00095
OG0000094	EXC50_RS00030	DR093_RS04155
OG0000095	EXC50_RS00005	DR093_RS00065
OG0000096	EXC50_RS02460	DR093_RS00060
OG0000097	EXC50_RS02440	DR093_RS00040
OG0000098	EXC50_RS02430	DR093_RS00030
OG0000099	EXC50_RS02380	DR093_RS01200
OG0000100	EXC50_RS02365	DR093_RS01210
OG0000101	EXC50_RS02360	DR093_RS01215
OG0000102	EXC50_RS00660	DR093_RS01225
OG0000103	EXC50_RS01065	DR093_RS01855
OG0000104	EXC50_RS01070	DR093_RS01860
OG0000105	EXC50_RS01085	DR093_RS01875
OG0000106	EXC50_RS01095	DR093_RS01885
OG0000107	EXC50_RS01105	DR093_RS01895
OG0000108	EXC50_RS01110	DR093_RS01900
OG0000109	EXC50_RS01115	DR093_RS01905
OG0000110	EXC50_RS01240	DR093_RS01910
OG0000111	EXC50_RS01235	DR093_RS01915
OG0000112	EXC50_RS01225	DR093_RS01925
OG0000113	EXC50_RS01205	DR093_RS03930
OG0000114	EXC50_RS01195	DR093_RS01950
OG0000115	EXC50_RS01180	DR093_RS01960
OG0000116	EXC50_RS02790	DR093_RS01970
OG0000117	EXC50_RS02785	DR093_RS01975
OG0000118	EXC50_RS02750	DR093_RS02005
OG0000119	EXC50_RS02745	DR093_RS02010
OG0000120	EXC50_RS02730	DR093_RS02025
OG0000121	EXC50_RS02705	DR093_RS02050
OG0000122	EXC50_RS02700	DR093_RS02055
OG0000123	EXC50_RS02680	DR093_RS02075
OG0000124	EXC50_RS02675	DR093_RS02080
OG0000125	EXC50_RS02670	DR093_RS02085
OG0000126	EXC50_RS02660	DR093_RS02095
OG0000127	EXC50_RS02650	DR093_RS02105
OG0000128	EXC50_RS02635	DR093_RS02120
OG0000129	EXC50_RS02630	DR093_RS02125
OG0000130	EXC50_RS02620	DR093_RS02135
OG0000131	EXC50_RS02590	DR093_RS02165
OG0000132	EXC50_RS02575	DR093_RS03945
OG0000133	EXC50_RS03555	DR093_RS00535
OG0000134	EXC50_RS03550	DR093_RS03795
OG0000135	EXC50_RS03535	DR093_RS00555
OG0000136	EXC50_RS03530	DR093_RS00560
OG0000137	EXC50_RS03500	DR093_RS00590
OG0000138	EXC50_RS03465	DR093_RS00615
OG0000139	EXC50_RS03435	DR093_RS00645
OG0000140	EXC50_RS03430	DR093_RS00650
OG0000141	EXC50_RS01775	DR093_RS00675
OG0000142	EXC50_RS01770	DR093_RS03810
OG0000143	EXC50_RS01745	DR093_RS00705
OG0000144	EXC50_RS01735	DR093_RS00715
OG0000145	EXC50_RS01725	DR093_RS00725
OG0000146	EXC50_RS01715	DR093_RS00735
OG0000147	EXC50_RS01710	DR093_RS00740
OG0000148	EXC50_RS01695	DR093_RS00755
OG0000149	EXC50_RS01685	DR093_RS00765
OG0000150	EXC50_RS01670	DR093_RS00780
OG0000151	EXC50_RS01625	DR093_RS00845
OG0000152	EXC50_RS01620	DR093_RS00850
OG0000153	EXC50_RS01615	DR093_RS00855
OG0000154	EXC50_RS01605	DR093_RS00865
OG0000155	EXC50_RS01565	DR093_RS00885
OG0000156	EXC50_RS01555	DR093_RS00905
OG0000157	EXC50_RS01550	DR093_RS03815
OG0000158	EXC50_RS04235	DR093_RS03820
OG0000159	EXC50_RS03825	DR093_RS01150
OG0000160	EXC50_RS03820	DR093_RS01155
OG0000161	EXC50_RS03815	DR093_RS01165
OG0000162	EXC50_RS01290	DR093_RS02715
OG0000163	EXC50_RS01285	DR093_RS02710
OG0000164	EXC50_RS00550	DR093_RS04010
OG0000165	EXC50_RS00885	DR093_RS02995
OG0000166	EXC50_RS00905	DR093_RS02980
OG0000167	EXC50_RS00920	DR093_RS02890
OG0000168	EXC50_RS00925	DR093_RS02895
OG0000169	EXC50_RS01885	DR093_RS02185
OG0000170	EXC50_RS01900	DR093_RS02200
OG0000171	EXC50_RS01910	DR093_RS02210
OG0000172	EXC50_RS01915	DR093_RS02215
OG0000173	EXC50_RS01920	DR093_RS02220
OG0000174	EXC50_RS01925	DR093_RS02225
OG0000175	EXC50_RS01940	DR093_RS02240
OG0000176	EXC50_RS01990	DR093_RS02280
OG0000177	EXC50_RS01995	DR093_RS02285
OG0000178	EXC50_RS02000	DR093_RS02290
OG0000179	EXC50_RS02010	DR093_RS02300
OG0000180	EXC50_RS02015	DR093_RS02305
OG0000181	EXC50_RS02060	DR093_RS03965
OG0000182	EXC50_RS02070	DR093_RS02330
OG0000183	EXC50_RS02105	DR093_RS02365
OG0000184	EXC50_RS02150	DR093_RS02865
OG0000185	EXC50_RS02135	DR093_RS02880
OG0000186	EXC50_RS02565	DR093_RS02615
OG0000187	EXC50_RS02550	DR093_RS02600
OG0000188	EXC50_RS02540	DR093_RS02590
OG0000189	EXC50_RS01150	DR093_RS04000
OG0000190	EXC50_RS01145	DR093_RS02575
OG0000191	EXC50_RS01125	DR093_RS02555
OG0000192	EXC50_RS02870	DR093_RS02545
OG0000193	EXC50_RS02880	DR093_RS02530
OG0000194	EXC50_RS03395	DR093_RS02520
OG0000195	EXC50_RS03390	DR093_RS02515
OG0000196	EXC50_RS03370	DR093_RS03995
OG0000197	EXC50_RS03365	DR093_RS02490
OG0000198	EXC50_RS03350	DR093_RS02475
OG0000199	EXC50_RS03345	DR093_RS02470
OG0000200	EXC50_RS03330	DR093_RS02455
OG0000201	EXC50_RS03320	DR093_RS02445
OG0000202	EXC50_RS03265	DR093_RS02390
OG0000203	EXC50_RS03260	DR093_RS02385
OG0000204	EXC50_RS03255	DR093_RS03900
OG0000205	EXC50_RS03250	DR093_RS01450
OG0000206	EXC50_RS03230	DR093_RS01470
OG0000207	EXC50_RS03215	DR093_RS01485
OG0000208	EXC50_RS03210	DR093_RS01490
OG0000209	EXC50_RS03205	DR093_RS01495
OG0000210	EXC50_RS03160	DR093_RS01540
OG0000211	EXC50_RS03150	DR093_RS01550
OG0000212	EXC50_RS03140	DR093_RS01560
OG0000213	EXC50_RS03135	DR093_RS01565
OG0000214	EXC50_RS03130	DR093_RS01570
OG0000215	EXC50_RS03125	DR093_RS01575
OG0000216	EXC50_RS03120	DR093_RS01580
OG0000217	EXC50_RS03115	DR093_RS01585
OG0000218	EXC50_RS03105	DR093_RS03920
OG0000219	EXC50_RS03100	DR093_RS01600
OG0000220	EXC50_RS03095	DR093_RS01605
OG0000221	EXC50_RS03090	DR093_RS01610
OG0000222	EXC50_RS03085	DR093_RS01615
OG0000223	EXC50_RS03080	DR093_RS01620
OG0000224	EXC50_RS03070	DR093_RS01630
OG0000225	EXC50_RS03060	DR093_RS01640
OG0000226	EXC50_RS03055	DR093_RS01645
OG0000227	EXC50_RS03050	DR093_RS01650
OG0000228	EXC50_RS03045	DR093_RS04160
OG0000229	EXC50_RS03040	DR093_RS01660
OG0000230	EXC50_RS03035	DR093_RS01665
OG0000231	EXC50_RS03025	DR093_RS01675
OG0000232	EXC50_RS03015	DR093_RS01685
OG0000233	EXC50_RS02995	DR093_RS01695
OG0000234	EXC50_RS02960	DR093_RS01725
OG0000235	EXC50_RS02950	DR093_RS01735
OG0000236	EXC50_RS02945	DR093_RS01740
OG0000237	EXC50_RS02940	DR093_RS01755
OG0000238	EXC50_RS02930	DR093_RS01760
OG0000239	EXC50_RS01785	DR093_RS01790
OG0000240	EXC50_RS01790	DR093_RS01795
OG0000241	EXC50_RS01800	DR093_RS01805
OG0000242	EXC50_RS01805	DR093_RS01810
OG0000243	EXC50_RS01810	DR093_RS01815
OG0000244	EXC50_RS01820	DR093_RS01825
OG0000245	EXC50_RS01830	DR093_RS01835
OG0000246	EXC50_RS00140	DR093_RS00145
OG0000247	EXC50_RS00150	DR093_RS00155
OG0000248	EXC50_RS00160	DR093_RS00180
OG0000249	EXC50_RS00165	DR093_RS00185
OG0000250	EXC50_RS00180	DR093_RS00200
OG0000251	EXC50_RS00215	DR093_RS00230
OG0000252	EXC50_RS00225	DR093_RS00240
OG0000253	EXC50_RS00230	DR093_RS00245
OG0000254	EXC50_RS00240	DR093_RS00255
OG0000255	EXC50_RS00250	DR093_RS00260
OG0000256	EXC50_RS00255	DR093_RS00265
OG0000257	EXC50_RS00280	DR093_RS00290
OG0000258	EXC50_RS00290	DR093_RS00300
OG0000259	EXC50_RS00320	DR093_RS00330
OG0000260	EXC50_RS00330	DR093_RS00340
OG0000261	EXC50_RS00340	DR093_RS03790
OG0000262	EXC50_RS00360	DR093_RS00365
OG0000263	EXC50_RS00375	DR093_RS00380
OG0000264	EXC50_RS00390	DR093_RS00395
OG0000265	EXC50_RS00400	DR093_RS00405
OG0000266	EXC50_RS00420	DR093_RS00420
OG0000267	EXC50_RS00435	DR093_RS00435
OG0000268	EXC50_RS03665	DR093_RS00440
OG0000269	EXC50_RS03650	DR093_RS00455
OG0000270	EXC50_RS02335	DR093_RS03855
OG0000271	EXC50_RS02330	DR093_RS01280
OG0000272	EXC50_RS02325	DR093_RS01285
OG0000273	EXC50_RS02320	DR093_RS01290
OG0000274	EXC50_RS02300	DR093_RS01310
OG0000275	EXC50_RS02295	DR093_RS03860
OG0000276	EXC50_RS02290	DR093_RS01320
OG0000277	EXC50_RS02280	DR093_RS03865
OG0000278	EXC50_RS02275	DR093_RS01335
OG0000279	EXC50_RS02265	DR093_RS01345
OG0000280	EXC50_RS02260	DR093_RS01350
OG0000281	EXC50_RS02255	DR093_RS01355
OG0000282	EXC50_RS02230	DR093_RS01380
OG0000283	EXC50_RS02225	DR093_RS01385
OG0000284	EXC50_RS02220	DR093_RS01390
OG0000285	EXC50_RS02215	DR093_RS03880
OG0000286	EXC50_RS01270	DR093_RS01105
OG0000287	EXC50_RS01365	DR093_RS01080
OG0000288	EXC50_RS01375	DR093_RS01070
OG0000289	EXC50_RS01380	DR093_RS01065
OG0000290	EXC50_RS01490	DR093_RS03410
OG0000291	EXC50_RS01480	DR093_RS00965
OG0000292	EXC50_RS01475	DR093_RS00970
OG0000293	EXC50_RS01470	DR093_RS00975
OG0000294	EXC50_RS01460	DR093_RS00985
OG0000295	EXC50_RS01455	DR093_RS00990
OG0000296	EXC50_RS01415	DR093_RS01030
OG0000297	EXC50_RS01410	DR093_RS01035
OG0000298	EXC50_RS00175	DR093_RS00195
OG0000299	EXC50_RS00200	DR093_RS00215
OG0000300	EXC50_RS00385	DR093_RS00390
OG0000301	EXC50_RS00425	DR093_RS00425
OG0000302	EXC50_RS00430	DR093_RS00430
OG0000303	EXC50_RS03525	DR093_RS00565
OG0000304	EXC50_RS03010	DR093_RS00600
OG0000305	EXC50_RS01720	DR093_RS00730
OG0000306	EXC50_RS01645	DR093_RS00815
OG0000307	EXC50_RS01610	DR093_RS00860
OG0000308	EXC50_RS01510	DR093_RS00945
OG0000309	EXC50_RS01445	DR093_RS01000
OG0000310	EXC50_RS01370	DR093_RS01075
OG0000311	EXC50_RS01330	DR093_RS01125
OG0000312	EXC50_RS01315	DR093_RS01145
OG0000313	EXC50_RS00540	DR093_RS02690
OG0000314	EXC50_RS00900	DR093_RS02975
OG0000315	EXC50_RS00930	DR093_RS02900
OG0000316	EXC50_RS00940	DR093_RS02910
OG0000317	EXC50_RS01030	DR093_RS02750
OG0000318	EXC50_RS00945	DR093_RS04040
OG0000319	EXC50_RS01080	DR093_RS01870
OG0000320	EXC50_RS01215	DR093_RS01935
OG0000321	EXC50_RS02755	DR093_RS02000
OG0000322	EXC50_RS02710	DR093_RS02045
OG0000323	EXC50_RS02580	DR093_RS02175
OG0000324	EXC50_RS01120	DR093_RS02550
OG0000325	EXC50_RS03385	DR093_RS02510
OG0000326	EXC50_RS03290	DR093_RS02415
OG0000327	EXC50_RS03285	DR093_RS02410
OG0000328	EXC50_RS03200	DR093_RS01500
OG0000329	EXC50_RS03180	DR093_RS01520
OG0000330	EXC50_RS02985	DR093_RS01705
OG0000331	EXC50_RS01815	DR093_RS01820
OG0000332	EXC50_RS01950	DR093_RS02250
OG0000333	EXC50_RS01960	DR093_RS02260
OG0000334	EXC50_RS02065	DR093_RS02325
OG0000335	EXC50_RS02075	DR093_RS03970
OG0000336	EXC50_RS02245	DR093_RS03875
OG0000337	EXC50_RS02415	DR093_RS00015
OG0000338	EXC50_RS02455	DR093_RS00055
OG0000339	EXC50_RS01185	DR093_RS01955
OG0000340	EXC50_RS02775	DR093_RS01980
OG0000341	EXC50_RS01140	DR093_RS02570
OG0000342	EXC50_RS03355	DR093_RS02480
OG0000343	EXC50_RS01970	DR093_RS02270
OG0000344	EXC50_RS03510	DR093_RS00580
OG0000345	EXC50_RS03065	DR093_RS01635
OG0000346	EXC50_RS02250	DR093_RS03870
OG0000347	EXC50_RS02685	DR093_RS02070
OG0000348	EXC50_RS03280	DR093_RS03985
OG0000349	EXC50_RS02310	DR093_RS01300
OG0000350	EXC50_RS01600	DR093_RS00820
OG0000351	EXC50_RS03590	DR093_RS00515
OG0000352	EXC50_RS00880	DR093_RS02990
OG0000353	EXC50_RS02715	DR093_RS02040
OG0000354	EXC50_RS03450	DR093_RS00630
OG0000355	EXC50_RS00850	DR093_RS04005
OG0000356	EXC50_RS00935	DR093_RS04035
OG0000357	EXC50_RS01930	DR093_RS03955
OG0000358	EXC50_RS01935	DR093_RS02235
OG0000359	EXC50_RS03310	DR093_RS03990
OG0000360	EXC50_RS00285	DR093_RS00295
OG0000361	EXC50_RS00315	DR093_RS00325
OG0000362	EXC50_RS01390	DR093_RS01055
OG0000363	EXC50_RS02645	DR093_RS02110
OG0000365	EXC50_RS00975	DR093_RS04055
OG0000366	EXC50_RS01000	DR093_RS02780
OG0000367	EXC50_RS01010	DR093_RS02770
OG0000368	EXC50_RS00060	DR093_RS00120
OG0000370	EXC50_RS00020	DR093_RS04150
OG0000371	EXC50_RS00015	DR093_RS00075
OG0000372	EXC50_RS00010	DR093_RS00070
OG0000373	EXC50_RS02445	DR093_RS00045
OG0000374	EXC50_RS02435	DR093_RS00035
OG0000375	EXC50_RS01075	DR093_RS01865
OG0000376	EXC50_RS01230	DR093_RS01920
OG0000377	EXC50_RS01220	DR093_RS01930
OG0000378	EXC50_RS02795	DR093_RS01965
OG0000379	EXC50_RS02720	DR093_RS02035
OG0000380	EXC50_RS02695	DR093_RS02060
OG0000381	EXC50_RS02655	DR093_RS02100
OG0000382	EXC50_RS02625	DR093_RS02130
OG0000383	EXC50_RS02585	DR093_RS02170
OG0000384	EXC50_RS03570	DR093_RS00520
OG0000385	EXC50_RS03565	DR093_RS00525
OG0000386	EXC50_RS03545	DR093_RS00545
OG0000387	EXC50_RS03520	DR093_RS00570
OG0000388	EXC50_RS03515	DR093_RS03800
OG0000389	EXC50_RS03470	DR093_RS00610
OG0000390	EXC50_RS01740	DR093_RS00710
OG0000391	EXC50_RS01730	DR093_RS00720
OG0000392	EXC50_RS01705	DR093_RS00745
OG0000393	EXC50_RS01650	DR093_RS00800
OG0000394	EXC50_RS01575	DR093_RS00875
OG0000395	EXC50_RS01570	DR093_RS00880
OG0000396	EXC50_RS01275	DR093_RS02700
OG0000397	EXC50_RS00865	DR093_RS02655
OG0000398	EXC50_RS00870	DR093_RS02650
OG0000399	EXC50_RS00915	DR093_RS02885
OG0000400	EXC50_RS01895	DR093_RS02195
OG0000401	EXC50_RS01955	DR093_RS02255
OG0000402	EXC50_RS01965	DR093_RS02265
OG0000403	EXC50_RS01975	DR093_RS02275
OG0000404	EXC50_RS02005	DR093_RS03960
OG0000405	EXC50_RS02020	DR093_RS02310
OG0000406	EXC50_RS02080	DR093_RS02340
OG0000407	EXC50_RS02085	DR093_RS03975
OG0000408	EXC50_RS02090	DR093_RS02350
OG0000409	EXC50_RS02095	DR093_RS02355
OG0000410	EXC50_RS02155	DR093_RS02860
OG0000411	EXC50_RS02145	DR093_RS02870
OG0000412	EXC50_RS02140	DR093_RS02875
OG0000413	EXC50_RS02570	DR093_RS04170
OG0000414	EXC50_RS02560	DR093_RS02610
OG0000415	EXC50_RS02555	DR093_RS02605
OG0000416	EXC50_RS02545	DR093_RS02595
OG0000417	EXC50_RS01135	DR093_RS02565
OG0000418	EXC50_RS01130	DR093_RS02560
OG0000419	EXC50_RS03375	DR093_RS02500
OG0000420	EXC50_RS03340	DR093_RS02465
OG0000421	EXC50_RS03305	DR093_RS02430
OG0000422	EXC50_RS03295	DR093_RS02420
OG0000423	EXC50_RS03240	DR093_RS01460
OG0000424	EXC50_RS03235	DR093_RS01465
OG0000425	EXC50_RS03225	DR093_RS01475
OG0000426	EXC50_RS03220	DR093_RS03905
OG0000427	EXC50_RS03195	DR093_RS03910
OG0000428	EXC50_RS03170	DR093_RS01530
OG0000429	EXC50_RS03075	DR093_RS01625
OG0000430	EXC50_RS03030	DR093_RS01670
OG0000431	EXC50_RS03020	DR093_RS01680
OG0000432	EXC50_RS02990	DR093_RS01700
OG0000433	EXC50_RS02975	DR093_RS01710
OG0000434	EXC50_RS02970	DR093_RS01715
OG0000435	EXC50_RS02955	DR093_RS01730
OG0000436	EXC50_RS02925	DR093_RS01765
OG0000437	EXC50_RS02915	DR093_RS01775
OG0000438	EXC50_RS02910	DR093_RS03925
OG0000439	EXC50_RS02905	DR093_RS01785
OG0000440	EXC50_RS01795	DR093_RS01800
OG0000441	EXC50_RS01835	DR093_RS01840
OG0000442	EXC50_RS00145	DR093_RS00150
OG0000443	EXC50_RS00195	DR093_RS00210
OG0000444	EXC50_RS00210	DR093_RS00225
OG0000445	EXC50_RS00235	DR093_RS00250
OG0000446	EXC50_RS00265	DR093_RS00275
OG0000447	EXC50_RS00270	DR093_RS00280
OG0000448	EXC50_RS00300	DR093_RS00310
OG0000449	EXC50_RS00325	DR093_RS00335
OG0000450	EXC50_RS00335	DR093_RS00345
OG0000451	EXC50_RS00380	DR093_RS00385
OG0000452	EXC50_RS00410	DR093_RS00410
OG0000453	EXC50_RS03660	DR093_RS00445
OG0000455	EXC50_RS02355	DR093_RS03850
OG0000456	EXC50_RS02235	DR093_RS01375
OG0000457	EXC50_RS02210	DR093_RS01400
OG0000458	EXC50_RS01360	DR093_RS01085
OG0000459	EXC50_RS01385	DR093_RS01060
OG0000460	EXC50_RS01395	DR093_RS01050
OG0000461	EXC50_RS01440	DR093_RS01005
OG0000462	EXC50_RS01435	DR093_RS01010
OG0000463	EXC50_RS01430	DR093_RS01015
OG0000464	EXC50_RS01425	DR093_RS01020
OG0000465	EXC50_RS01420	DR093_RS01025
OG0000466	EXC50_RS00415	DR093_RS00415
OG0000467	EXC50_RS01520	DR093_RS03825
OG0000468	EXC50_RS00910	DR093_RS02985
OG0000469	EXC50_RS00970	DR093_RS02960
OG0000470	EXC50_RS03950	DR093_RS01455
OG0000471	EXC50_RS03165	DR093_RS01535
OG0000472	EXC50_RS02165	DR093_RS01435
OG0000473	EXC50_RS02340	DR093_RS01270
OG0000474	EXC50_RS02345	DR093_RS01265
OG0000475	EXC50_RS02350	DR093_RS01260
OG0000476	EXC50_RS02535	DR093_RS01220
OG0000477	EXC50_RS01465	DR093_RS00980
OG0000478	EXC50_RS02285	DR093_RS01325
OG0000479	EXC50_RS02760	DR093_RS01995
OG0000480	EXC50_RS03895	DR093_RS03255
OG0000481	EXC50_RS03270	DR093_RS02395
OG0000482	EXC50_RS02875	DR093_RS02535
OG0000483	EXC50_RS01015	DR093_RS02765
OG0000484	EXC50_RS00205	DR093_RS03785
OG0000485	EXC50_RS02920	DR093_RS01770
OG0000486	EXC50_RS01155	DR093_RS02585
OG0000487	EXC50_RS00950	DR093_RS04045
OG0000488	EXC50_RS00985	DR093_RS02795
OG0000489	EXC50_RS00050	DR093_RS00110
OG0000490	EXC50_RS02450	DR093_RS00050
OG0000491	EXC50_RS02740	DR093_RS02015
OG0000492	EXC50_RS02665	DR093_RS02090
OG0000493	EXC50_RS03505	DR093_RS00585
OG0000494	EXC50_RS03445	DR093_RS00635
OG0000495	EXC50_RS01675	DR093_RS00775
OG0000496	EXC50_RS01665	DR093_RS00785
OG0000497	EXC50_RS01660	DR093_RS00790
OG0000498	EXC50_RS01580	DR093_RS00870
OG0000499	EXC50_RS01545	DR093_RS00915
OG0000500	EXC50_RS00875	DR093_RS02645
OG0000501	EXC50_RS01905	DR093_RS02205
OG0000502	EXC50_RS02885	DR093_RS02525
OG0000503	EXC50_RS03325	DR093_RS02450
OG0000504	EXC50_RS03190	DR093_RS01510
OG0000505	EXC50_RS03155	DR093_RS01545
OG0000506	EXC50_RS03145	DR093_RS01555
OG0000507	EXC50_RS03110	DR093_RS01590
OG0000508	EXC50_RS00260	DR093_RS00270
OG0000509	EXC50_RS00295	DR093_RS00305
OG0000510	EXC50_RS00305	DR093_RS00315
OG0000511	EXC50_RS03655	DR093_RS00450
OG0000512	EXC50_RS01400	DR093_RS01045
OG0000513	EXC50_RS02270	DR093_RS01340
OG0000514	EXC50_RS01700	DR093_RS00750
OG0000516	EXC50_RS00955	DR093_RS02940
OG0000517	EXC50_RS00065	DR093_RS00125
OG0000518	EXC50_RS01945	DR093_RS02245
OG0000519	EXC50_RS03300	DR093_RS02425
OG0000520	EXC50_RS03175	DR093_RS01525
OG0000521	EXC50_RS00275	DR093_RS00285
OG0000522	EXC50_RS00310	DR093_RS00320
OG0000523	EXC50_RS02205	DR093_RS01405
OG0000524	EXC50_RS01515	DR093_RS00940
OG0000525	EXC50_RS02170	DR093_RS03895
OG0000528	EXC50_RS00960	DR093_RS02950
OG0000529	EXC50_RS01090	DR093_RS01880
OG0000530	EXC50_RS01200	DR093_RS01945
OG0000531	EXC50_RS02690	DR093_RS02065
OG0000533	EXC50_RS03490	DR093_RS01690
OG0000534	EXC50_RS00395	DR093_RS00400
OG0000535	EXC50_RS00045	DR093_RS00105
OG0000536	EXC50_RS02385	DR093_RS01195
OG0000537	EXC50_RS03360	DR093_RS02485
OG0000538	EXC50_RS02965	DR093_RS01720
OG0000539	EXC50_RS00220	DR093_RS00235
OG0000541	EXC50_RS01560	DR093_RS00900
OG0000542	EXC50_RS00365	DR093_RS00370
OG0000547	EXC50_RS01750	DR093_RS00700
OG0000548	EXC50_RS00535	DR093_RS02695
OG0000549	EXC50_RS02160	DR093_RS01440
OG0000550	EXC50_RS02305	DR093_RS01305
OG0000551	EXC50_RS01825	DR093_RS01830
OG0000555	EXC50_RS04055	DR093_RS03360
OG0000598	EXC50_RS00690	DR093_RS00165
OG0000599	EXC50_RS00695	DR093_RS00160
OG0000602	EXC50_RS00980	DR093_RS02805
