Orthogroup	MHP_NCTC10127_genes	MHP_153B_genes
OG0000058	EXC50_RS03810	NB625_RS02150
OG0000059	EXC50_RS02510	NB625_RS02135, NB625_RS02125, NB625_RS02140
OG0000061	EXC50_RS00525	NB625_RS01860
OG0000062	EXC50_RS02425	NB625_RS03725
OG0000063	EXC50_RS02420	NB625_RS03720
OG0000064	EXC50_RS02410	NB625_RS03710
OG0000065	EXC50_RS01100	NB625_RS02395
OG0000066	EXC50_RS02735	NB625_RS01355
OG0000067	EXC50_RS03560	NB625_RS00525
OG0000068	EXC50_RS03440	NB625_RS01040
OG0000069	EXC50_RS01655	NB625_RS02975
OG0000070	EXC50_RS03840, EXC50_RS01325	NB625_RS02625
OG0000071	EXC50_RS02110	NB625_RS03430
OG0000072	EXC50_RS02115	NB625_RS03435
OG0000073	EXC50_RS03380	NB625_RS00980
OG0000074	EXC50_RS03185	NB625_RS00780
OG0000075	EXC50_RS00355	NB625_RS00345
OG0000076	EXC50_RS00370	NB625_RS00360
OG0000077	EXC50_RS03640	NB625_RS00445
OG0000079	EXC50_RS01405	NB625_RS02710
OG0000080	EXC50_RS03930	NB625_RS02760
OG0000081	EXC50_RS00350	NB625_RS00340
OG0000082	EXC50_RS01250	NB625_RS02540
OG0000083	EXC50_RS00965	NB625_RS02020
OG0000084	EXC50_RS00990	NB625_RS02050
OG0000085	EXC50_RS00995	NB625_RS02055
OG0000086	EXC50_RS01005	NB625_RS02160
OG0000087	EXC50_RS01020	NB625_RS02175
OG0000088	EXC50_RS01025	NB625_RS02180
OG0000089	EXC50_RS01035	NB625_RS02190
OG0000090	EXC50_RS00070	NB625_RS00070
OG0000091	EXC50_RS00055	NB625_RS00055
OG0000092	EXC50_RS00040	NB625_RS00040
OG0000093	EXC50_RS00035	NB625_RS00035
OG0000094	EXC50_RS00030	NB625_RS00030
OG0000095	EXC50_RS00005	NB625_RS00005
OG0000096	EXC50_RS02460	NB625_RS03760
OG0000097	EXC50_RS02440	NB625_RS03740
OG0000098	EXC50_RS02430	NB625_RS03730
OG0000099	EXC50_RS02380	NB625_RS03685
OG0000100	EXC50_RS02365	NB625_RS03675
OG0000101	EXC50_RS02360	NB625_RS03665
OG0000102	EXC50_RS00660	NB625_RS01710
OG0000103	EXC50_RS01065	NB625_RS02360
OG0000104	EXC50_RS01070	NB625_RS02365
OG0000105	EXC50_RS01085	NB625_RS02380
OG0000106	EXC50_RS01095	NB625_RS02390
OG0000107	EXC50_RS01105	NB625_RS02400
OG0000108	EXC50_RS01110	NB625_RS02405
OG0000109	EXC50_RS01115	NB625_RS02410
OG0000110	EXC50_RS01240	NB625_RS02530
OG0000111	EXC50_RS01235	NB625_RS02525
OG0000112	EXC50_RS01225	NB625_RS02515
OG0000113	EXC50_RS01205	NB625_RS02495
OG0000114	EXC50_RS01195	NB625_RS02485
OG0000115	EXC50_RS01180	NB625_RS02475
OG0000116	EXC50_RS02790	NB625_RS01300
OG0000117	EXC50_RS02785	NB625_RS01305
OG0000118	EXC50_RS02750	NB625_RS01340
OG0000119	EXC50_RS02745	NB625_RS01345
OG0000120	EXC50_RS02730	NB625_RS01360
OG0000121	EXC50_RS02705	NB625_RS01385
OG0000122	EXC50_RS02700	NB625_RS01390
OG0000123	EXC50_RS02680	NB625_RS01410
OG0000124	EXC50_RS02675	NB625_RS01415
OG0000125	EXC50_RS02670	NB625_RS01420
OG0000126	EXC50_RS02660	NB625_RS01430
OG0000127	EXC50_RS02650	NB625_RS01440
OG0000128	EXC50_RS02635	NB625_RS01460
OG0000129	EXC50_RS02630	NB625_RS01465
OG0000130	EXC50_RS02620	NB625_RS01475
OG0000131	EXC50_RS02590	NB625_RS01505
OG0000132	EXC50_RS02575	NB625_RS01520
OG0000133	EXC50_RS03555	NB625_RS00530
OG0000134	EXC50_RS03550	NB625_RS00535
OG0000135	EXC50_RS03535	NB625_RS00550
OG0000136	EXC50_RS03530	NB625_RS00555
OG0000137	EXC50_RS03500	NB625_RS00595
OG0000138	EXC50_RS03465	NB625_RS01065
OG0000139	EXC50_RS03435	NB625_RS01035
OG0000140	EXC50_RS03430	NB625_RS01030
OG0000141	EXC50_RS01775	NB625_RS03090
OG0000142	EXC50_RS01770	NB625_RS03085
OG0000143	EXC50_RS01745	NB625_RS03065
OG0000144	EXC50_RS01735	NB625_RS03050
OG0000145	EXC50_RS01725	NB625_RS03040
OG0000146	EXC50_RS01715	NB625_RS03030
OG0000147	EXC50_RS01710	NB625_RS03025
OG0000148	EXC50_RS01695	NB625_RS03010
OG0000149	EXC50_RS01685	NB625_RS03000
OG0000150	EXC50_RS01670	NB625_RS02985
OG0000151	EXC50_RS01625	NB625_RS02940
OG0000152	EXC50_RS01620	NB625_RS02935
OG0000153	EXC50_RS01615	NB625_RS02930
OG0000154	EXC50_RS01605	NB625_RS02920
OG0000155	EXC50_RS01565	NB625_RS02880
OG0000156	EXC50_RS01555	NB625_RS02870
OG0000157	EXC50_RS01550	NB625_RS02865
OG0000158	EXC50_RS04235	NB625_RS02855
OG0000159	EXC50_RS03825	NB625_RS02610
OG0000160	EXC50_RS03820	NB625_RS02605
OG0000161	EXC50_RS03815	NB625_RS02600
OG0000162	EXC50_RS01290	NB625_RS02590
OG0000163	EXC50_RS01285	NB625_RS02585
OG0000164	EXC50_RS00550	NB625_RS01610
OG0000165	EXC50_RS00885	NB625_RS01945
OG0000166	EXC50_RS00905	NB625_RS01960
OG0000167	EXC50_RS00920	NB625_RS01975
OG0000168	EXC50_RS00925	NB625_RS01980
OG0000169	EXC50_RS01885	NB625_RS03200
OG0000170	EXC50_RS01900	NB625_RS03215
OG0000171	EXC50_RS01910	NB625_RS03225
OG0000172	EXC50_RS01915	NB625_RS03230
OG0000173	EXC50_RS01920	NB625_RS03235
OG0000174	EXC50_RS01925	NB625_RS03240
OG0000175	EXC50_RS01940	NB625_RS03255
OG0000176	EXC50_RS01990	NB625_RS03315
OG0000177	EXC50_RS01995	NB625_RS03320
OG0000178	EXC50_RS02000	NB625_RS03330
OG0000179	EXC50_RS02010	NB625_RS03335
OG0000180	EXC50_RS02015	NB625_RS03340
OG0000181	EXC50_RS02060	NB625_RS03380
OG0000182	EXC50_RS02070	NB625_RS03390
OG0000183	EXC50_RS02105	NB625_RS03425
OG0000184	EXC50_RS02150	NB625_RS03470
OG0000185	EXC50_RS02135	NB625_RS03455
OG0000186	EXC50_RS02565	NB625_RS01530
OG0000187	EXC50_RS02550	NB625_RS01545
OG0000188	EXC50_RS02540	NB625_RS01555
OG0000189	EXC50_RS01150	NB625_RS02450
OG0000190	EXC50_RS01145	NB625_RS02445
OG0000191	EXC50_RS01125	NB625_RS02420
OG0000192	EXC50_RS02870	NB625_RS01215
OG0000193	EXC50_RS02880	NB625_RS01200
OG0000194	EXC50_RS03395	NB625_RS00995
OG0000195	EXC50_RS03390	NB625_RS00990
OG0000196	EXC50_RS03370	NB625_RS00965
OG0000197	EXC50_RS03365	NB625_RS00960
OG0000198	EXC50_RS03350	NB625_RS00945
OG0000199	EXC50_RS03345	NB625_RS00940
OG0000200	EXC50_RS03330	NB625_RS00925
OG0000201	EXC50_RS03320	NB625_RS00915
OG0000202	EXC50_RS03265	NB625_RS00860
OG0000203	EXC50_RS03260	NB625_RS00855
OG0000204	EXC50_RS03255	NB625_RS00850
OG0000205	EXC50_RS03250	NB625_RS00845
OG0000206	EXC50_RS03230	NB625_RS00825
OG0000207	EXC50_RS03215	NB625_RS00810
OG0000208	EXC50_RS03210	NB625_RS00805
OG0000209	EXC50_RS03205	NB625_RS00800
OG0000210	EXC50_RS03160	NB625_RS00755
OG0000211	EXC50_RS03150	NB625_RS00745
OG0000212	EXC50_RS03140	NB625_RS00735
OG0000213	EXC50_RS03135	NB625_RS00730
OG0000214	EXC50_RS03130	NB625_RS00725
OG0000215	EXC50_RS03125	NB625_RS00720
OG0000216	EXC50_RS03120	NB625_RS00715
OG0000217	EXC50_RS03115	NB625_RS00710
OG0000218	EXC50_RS03105	NB625_RS00700
OG0000219	EXC50_RS03100	NB625_RS00695
OG0000220	EXC50_RS03095	NB625_RS00690
OG0000221	EXC50_RS03090	NB625_RS00685
OG0000222	EXC50_RS03085	NB625_RS00680
OG0000223	EXC50_RS03080	NB625_RS00675
OG0000224	EXC50_RS03070	NB625_RS00665
OG0000225	EXC50_RS03060	NB625_RS00655
OG0000226	EXC50_RS03055	NB625_RS00650
OG0000227	EXC50_RS03050	NB625_RS00645
OG0000228	EXC50_RS03045	NB625_RS00640
OG0000229	EXC50_RS03040	NB625_RS00635
OG0000230	EXC50_RS03035	NB625_RS00630
OG0000231	EXC50_RS03025	NB625_RS00620
OG0000232	EXC50_RS03015	NB625_RS00610
OG0000233	EXC50_RS02995	NB625_RS01100
OG0000234	EXC50_RS02960	NB625_RS01135
OG0000235	EXC50_RS02950	NB625_RS01145
OG0000236	EXC50_RS02945	NB625_RS01150
OG0000237	EXC50_RS02940	NB625_RS01155
OG0000238	EXC50_RS02930	NB625_RS01160
OG0000239	EXC50_RS01785	NB625_RS03100
OG0000240	EXC50_RS01790	NB625_RS03105
OG0000241	EXC50_RS01800	NB625_RS03115
OG0000242	EXC50_RS01805	NB625_RS03120
OG0000243	EXC50_RS01810	NB625_RS03125
OG0000244	EXC50_RS01820	NB625_RS03135
OG0000245	EXC50_RS01830	NB625_RS03145
OG0000246	EXC50_RS00140	NB625_RS00145
OG0000247	EXC50_RS00150	NB625_RS00155
OG0000248	EXC50_RS00160	NB625_RS00165
OG0000249	EXC50_RS00165	NB625_RS00170
OG0000250	EXC50_RS00180	NB625_RS00185
OG0000251	EXC50_RS00215	NB625_RS00215
OG0000252	EXC50_RS00225	NB625_RS00225
OG0000253	EXC50_RS00230	NB625_RS00230
OG0000254	EXC50_RS00240	NB625_RS00240
OG0000255	EXC50_RS00250	NB625_RS00245
OG0000256	EXC50_RS00255	NB625_RS00250
OG0000257	EXC50_RS00280	NB625_RS00275
OG0000258	EXC50_RS00290	NB625_RS00285
OG0000259	EXC50_RS00320	NB625_RS00315
OG0000260	EXC50_RS00330	NB625_RS00325
OG0000261	EXC50_RS00340	NB625_RS00335
OG0000262	EXC50_RS00360	NB625_RS00350
OG0000263	EXC50_RS00375	NB625_RS00365
OG0000264	EXC50_RS00390	NB625_RS00385
OG0000265	EXC50_RS00400	NB625_RS00390
OG0000266	EXC50_RS00420	NB625_RS00405
OG0000267	EXC50_RS00435	NB625_RS00420
OG0000268	EXC50_RS03665	NB625_RS00425
OG0000269	EXC50_RS03650	NB625_RS00440
OG0000270	EXC50_RS02335	NB625_RS03640
OG0000271	EXC50_RS02330	NB625_RS03635
OG0000272	EXC50_RS02325	NB625_RS03630
OG0000273	EXC50_RS02320	NB625_RS03625
OG0000274	EXC50_RS02300	NB625_RS03610
OG0000275	EXC50_RS02295	NB625_RS03600
OG0000276	EXC50_RS02290	NB625_RS03595
OG0000277	EXC50_RS02280	NB625_RS03585
OG0000278	EXC50_RS02275	NB625_RS03580
OG0000279	EXC50_RS02265	NB625_RS03570
OG0000280	EXC50_RS02260	NB625_RS03565
OG0000281	EXC50_RS02255	NB625_RS03560
OG0000282	EXC50_RS02230	NB625_RS03535
OG0000283	EXC50_RS02225	NB625_RS03530
OG0000284	EXC50_RS02220	NB625_RS03525
OG0000285	EXC50_RS02215	NB625_RS03520
OG0000286	EXC50_RS01270	NB625_RS02570
OG0000287	EXC50_RS01365	NB625_RS02670
OG0000288	EXC50_RS01375	NB625_RS02680
OG0000289	EXC50_RS01380	NB625_RS02685
OG0000290	EXC50_RS01490	NB625_RS02800
OG0000291	EXC50_RS01480	NB625_RS02790
OG0000292	EXC50_RS01475	NB625_RS02785
OG0000293	EXC50_RS01470	NB625_RS02780
OG0000294	EXC50_RS01460	NB625_RS02770
OG0000295	EXC50_RS01455	NB625_RS02765
OG0000296	EXC50_RS01415	NB625_RS02720
OG0000297	EXC50_RS01410	NB625_RS02715
OG0000298	EXC50_RS00175	NB625_RS00180
OG0000299	EXC50_RS00200	NB625_RS00200
OG0000300	EXC50_RS00385	NB625_RS00375
OG0000301	EXC50_RS00425	NB625_RS00410
OG0000302	EXC50_RS00430	NB625_RS00415
OG0000303	EXC50_RS03525	NB625_RS00560
OG0000304	EXC50_RS03010	NB625_RS00605
OG0000305	EXC50_RS01720	NB625_RS03035
OG0000306	EXC50_RS01645	NB625_RS02960
OG0000307	EXC50_RS01610	NB625_RS02925
OG0000308	EXC50_RS01510	NB625_RS02825
OG0000309	EXC50_RS01445	NB625_RS02755
OG0000310	EXC50_RS01370	NB625_RS02675
OG0000311	EXC50_RS01330	NB625_RS02630
OG0000312	EXC50_RS01315	NB625_RS02615
OG0000313	EXC50_RS00540	NB625_RS01600
OG0000314	EXC50_RS00900	NB625_RS01955
OG0000315	EXC50_RS00930	NB625_RS01985
OG0000316	EXC50_RS00940	NB625_RS01995
OG0000317	EXC50_RS01030	NB625_RS02185
OG0000318	EXC50_RS00945	NB625_RS02000
OG0000319	EXC50_RS01080	NB625_RS02375
OG0000320	EXC50_RS01215	NB625_RS02505
OG0000321	EXC50_RS02755	NB625_RS01335
OG0000322	EXC50_RS02710	NB625_RS01380
OG0000323	EXC50_RS02580	NB625_RS01515
OG0000324	EXC50_RS01120	NB625_RS02415
OG0000325	EXC50_RS03385	NB625_RS00985
OG0000326	EXC50_RS03290	NB625_RS00885
OG0000327	EXC50_RS03285	NB625_RS00880
OG0000328	EXC50_RS03200	NB625_RS00795
OG0000329	EXC50_RS03180	NB625_RS00775
OG0000330	EXC50_RS02985	NB625_RS01110
OG0000331	EXC50_RS01815	NB625_RS03130
OG0000332	EXC50_RS01950	NB625_RS03270
OG0000333	EXC50_RS01960	NB625_RS03280
OG0000334	EXC50_RS02065	NB625_RS03385
OG0000335	EXC50_RS02075	NB625_RS03395
OG0000336	EXC50_RS02245	NB625_RS03550
OG0000337	EXC50_RS02415	NB625_RS03715
OG0000338	EXC50_RS02455	NB625_RS03755
OG0000339	EXC50_RS01185	NB625_RS02480
OG0000340	EXC50_RS02775	NB625_RS01315
OG0000341	EXC50_RS01140	NB625_RS02440
OG0000342	EXC50_RS03355	NB625_RS00955
OG0000343	EXC50_RS01970	NB625_RS03290
OG0000344	EXC50_RS03510	NB625_RS00575
OG0000345	EXC50_RS03065	NB625_RS00660
OG0000346	EXC50_RS02250	NB625_RS03555
OG0000347	EXC50_RS02685	NB625_RS01405
OG0000348	EXC50_RS03280	NB625_RS00875
OG0000349	EXC50_RS02310	NB625_RS03615
OG0000350	EXC50_RS01600	NB625_RS02915
OG0000351	EXC50_RS03590	NB625_RS00495
OG0000352	EXC50_RS00880	NB625_RS01935
OG0000353	EXC50_RS02715	NB625_RS01375
OG0000354	EXC50_RS03450	NB625_RS01050
OG0000355	EXC50_RS00850	NB625_RS01910
OG0000356	EXC50_RS00935	NB625_RS01990
OG0000357	EXC50_RS01930	NB625_RS03245
OG0000358	EXC50_RS01935	NB625_RS03250
OG0000359	EXC50_RS03310	NB625_RS00905
OG0000360	EXC50_RS00285	NB625_RS00280
OG0000361	EXC50_RS00315	NB625_RS00310
OG0000362	EXC50_RS01390	NB625_RS02695
OG0000363	EXC50_RS02645	NB625_RS01445
OG0000364	EXC50_RS03915	NB625_RS01885
OG0000365	EXC50_RS00975	NB625_RS02040
OG0000366	EXC50_RS01000	NB625_RS02060
OG0000367	EXC50_RS01010	NB625_RS02165
OG0000368	EXC50_RS00060	NB625_RS00060
OG0000369	EXC50_RS00025	NB625_RS00025
OG0000370	EXC50_RS00020	NB625_RS00020
OG0000371	EXC50_RS00015	NB625_RS00015
OG0000372	EXC50_RS00010	NB625_RS00010
OG0000373	EXC50_RS02445	NB625_RS03745
OG0000374	EXC50_RS02435	NB625_RS03735
OG0000375	EXC50_RS01075	NB625_RS02370
OG0000376	EXC50_RS01230	NB625_RS02520
OG0000377	EXC50_RS01220	NB625_RS02510
OG0000378	EXC50_RS02795	NB625_RS01295
OG0000379	EXC50_RS02720	NB625_RS01370
OG0000380	EXC50_RS02695	NB625_RS01400
OG0000381	EXC50_RS02655	NB625_RS01435
OG0000382	EXC50_RS02625	NB625_RS01470
OG0000383	EXC50_RS02585	NB625_RS01510
OG0000384	EXC50_RS03570	NB625_RS00515
OG0000385	EXC50_RS03565	NB625_RS00520
OG0000386	EXC50_RS03545	NB625_RS00540
OG0000387	EXC50_RS03520	NB625_RS00565
OG0000388	EXC50_RS03515	NB625_RS00570
OG0000389	EXC50_RS03470	NB625_RS01070
OG0000390	EXC50_RS01740	NB625_RS03055
OG0000391	EXC50_RS01730	NB625_RS03045
OG0000392	EXC50_RS01705	NB625_RS03020
OG0000393	EXC50_RS01650	NB625_RS02965
OG0000394	EXC50_RS01575	NB625_RS02895
OG0000395	EXC50_RS01570	NB625_RS02885
OG0000396	EXC50_RS01275	NB625_RS02575
OG0000397	EXC50_RS00865	NB625_RS01920
OG0000398	EXC50_RS00870	NB625_RS01925
OG0000399	EXC50_RS00915	NB625_RS01970
OG0000400	EXC50_RS01895	NB625_RS03210
OG0000401	EXC50_RS01955	NB625_RS03275
OG0000402	EXC50_RS01965	NB625_RS03285
OG0000403	EXC50_RS01975	NB625_RS03295
OG0000405	EXC50_RS02020	NB625_RS03350
OG0000406	EXC50_RS02080	NB625_RS03400
OG0000407	EXC50_RS02085	NB625_RS03405
OG0000408	EXC50_RS02090	NB625_RS03410
OG0000409	EXC50_RS02095	NB625_RS03415
OG0000410	EXC50_RS02155	NB625_RS03480
OG0000411	EXC50_RS02145	NB625_RS03465
OG0000412	EXC50_RS02140	NB625_RS03460
OG0000413	EXC50_RS02570	NB625_RS01525
OG0000414	EXC50_RS02560	NB625_RS01535
OG0000415	EXC50_RS02555	NB625_RS01540
OG0000416	EXC50_RS02545	NB625_RS01550
OG0000417	EXC50_RS01135	NB625_RS02435
OG0000418	EXC50_RS01130	NB625_RS02425
OG0000419	EXC50_RS03375	NB625_RS00970
OG0000420	EXC50_RS03340	NB625_RS00935
OG0000421	EXC50_RS03305	NB625_RS00900
OG0000422	EXC50_RS03295	NB625_RS00895
OG0000423	EXC50_RS03240	NB625_RS00835
OG0000424	EXC50_RS03235	NB625_RS00830
OG0000425	EXC50_RS03225	NB625_RS00820
OG0000426	EXC50_RS03220	NB625_RS00815
OG0000427	EXC50_RS03195	NB625_RS00790
OG0000428	EXC50_RS03170	NB625_RS00765
OG0000429	EXC50_RS03075	NB625_RS00670
OG0000430	EXC50_RS03030	NB625_RS00625
OG0000431	EXC50_RS03020	NB625_RS00615
OG0000432	EXC50_RS02990	NB625_RS01105
OG0000433	EXC50_RS02975	NB625_RS01120
OG0000434	EXC50_RS02970	NB625_RS01130
OG0000435	EXC50_RS02955	NB625_RS01140
OG0000436	EXC50_RS02925	NB625_RS01165
OG0000437	EXC50_RS02915	NB625_RS01175
OG0000438	EXC50_RS02910	NB625_RS01180
OG0000439	EXC50_RS02905	NB625_RS01185
OG0000440	EXC50_RS01795	NB625_RS03110
OG0000441	EXC50_RS01835	NB625_RS03150
OG0000442	EXC50_RS00145	NB625_RS00150
OG0000443	EXC50_RS00195	NB625_RS00195
OG0000444	EXC50_RS00210	NB625_RS00210
OG0000445	EXC50_RS00235	NB625_RS00235
OG0000446	EXC50_RS00265	NB625_RS00260
OG0000447	EXC50_RS00270	NB625_RS00265
OG0000448	EXC50_RS00300	NB625_RS00295
OG0000449	EXC50_RS00325	NB625_RS00320
OG0000450	EXC50_RS00335	NB625_RS00330
OG0000451	EXC50_RS00380	NB625_RS00370
OG0000452	EXC50_RS00410	NB625_RS00395
OG0000453	EXC50_RS03660	NB625_RS00430
OG0000455	EXC50_RS02355	NB625_RS03660
OG0000456	EXC50_RS02235	NB625_RS03540
OG0000457	EXC50_RS02210	NB625_RS03510
OG0000458	EXC50_RS01360	NB625_RS02665
OG0000459	EXC50_RS01385	NB625_RS02690
OG0000460	EXC50_RS01395	NB625_RS02700
OG0000461	EXC50_RS01440	NB625_RS02745
OG0000462	EXC50_RS01435	NB625_RS02740
OG0000463	EXC50_RS01430	NB625_RS02735
OG0000464	EXC50_RS01425	NB625_RS02730
OG0000465	EXC50_RS01420	NB625_RS02725
OG0000466	EXC50_RS00415	NB625_RS00400
OG0000467	EXC50_RS01520	NB625_RS02835
OG0000468	EXC50_RS00910	NB625_RS01965
OG0000469	EXC50_RS00970	NB625_RS02025
OG0000470	EXC50_RS03950	NB625_RS00840
OG0000471	EXC50_RS03165	NB625_RS00760
OG0000472	EXC50_RS02165	NB625_RS03485
OG0000473	EXC50_RS02340	NB625_RS03645
OG0000474	EXC50_RS02345	NB625_RS03650
OG0000475	EXC50_RS02350	NB625_RS03655
OG0000476	EXC50_RS02535	NB625_RS01565
OG0000477	EXC50_RS01465	NB625_RS02775
OG0000478	EXC50_RS02285	NB625_RS03590
OG0000479	EXC50_RS02760	NB625_RS01330
OG0000480	EXC50_RS03895	NB625_RS02030
OG0000481	EXC50_RS03270	NB625_RS00865
OG0000482	EXC50_RS02875	NB625_RS01205
OG0000483	EXC50_RS01015	NB625_RS02170
OG0000484	EXC50_RS00205	NB625_RS00205
OG0000485	EXC50_RS02920	NB625_RS01170
OG0000486	EXC50_RS01155	NB625_RS02455
OG0000487	EXC50_RS00950	NB625_RS02005
OG0000488	EXC50_RS00985	NB625_RS02045
OG0000489	EXC50_RS00050	NB625_RS00050
OG0000490	EXC50_RS02450	NB625_RS03750
OG0000491	EXC50_RS02740	NB625_RS01350
OG0000492	EXC50_RS02665	NB625_RS01425
OG0000493	EXC50_RS03505	NB625_RS00580
OG0000494	EXC50_RS03445	NB625_RS01045
OG0000495	EXC50_RS01675	NB625_RS02990
OG0000496	EXC50_RS01665	NB625_RS02980
OG0000498	EXC50_RS01580	NB625_RS02900
OG0000499	EXC50_RS01545	NB625_RS02860
OG0000500	EXC50_RS00875	NB625_RS01930
OG0000501	EXC50_RS01905	NB625_RS03220
OG0000503	EXC50_RS03325	NB625_RS00920
OG0000504	EXC50_RS03190	NB625_RS00785
OG0000505	EXC50_RS03155	NB625_RS00750
OG0000506	EXC50_RS03145	NB625_RS00740
OG0000507	EXC50_RS03110	NB625_RS00705
OG0000508	EXC50_RS00260	NB625_RS00255
OG0000509	EXC50_RS00295	NB625_RS00290
OG0000510	EXC50_RS00305	NB625_RS00300
OG0000511	EXC50_RS03655	NB625_RS00435
OG0000512	EXC50_RS01400	NB625_RS02705
OG0000513	EXC50_RS02270	NB625_RS03575
OG0000514	EXC50_RS01700	NB625_RS03015
OG0000515	EXC50_RS02525	NB625_RS01570
OG0000516	EXC50_RS00955	NB625_RS02015
OG0000517	EXC50_RS00065	NB625_RS00065
OG0000518	EXC50_RS01945	NB625_RS03260
OG0000520	EXC50_RS03175	NB625_RS00770
OG0000521	EXC50_RS00275	NB625_RS00270
OG0000522	EXC50_RS00310	NB625_RS00305
OG0000524	EXC50_RS01515	NB625_RS02830
OG0000525	EXC50_RS02170	NB625_RS03490
OG0000526	EXC50_RS04005	NB625_RS01825
OG0000527	EXC50_RS00720	NB625_RS01765
OG0000529	EXC50_RS01090	NB625_RS02385
OG0000530	EXC50_RS01200	NB625_RS02490
OG0000532	EXC50_RS00575	NB625_RS01625
OG0000533	EXC50_RS03490	NB625_RS01090
OG0000535	EXC50_RS00045	NB625_RS00045
OG0000536	EXC50_RS02385	NB625_RS03690
OG0000539	EXC50_RS00220	NB625_RS00220
OG0000540	EXC50_RS01485	NB625_RS02795
OG0000541	EXC50_RS01560	NB625_RS02875
OG0000542	EXC50_RS00365	NB625_RS00355
