Orthogroup	MHP_KM014_proteins	MHP_232_proteins
OG0000041	WP_011206099.1	WP_011206099.1
OG0000042	WP_094521741.1	WP_044284805.1
OG0000043	WP_011290239.1	WP_011206195.1
OG0000044	WP_011206179.1	WP_011206179.1
OG0000045	WP_094521771.1	WP_011206147.1
OG0000047	WP_094521564.1	WP_044284803.1
OG0000048	WP_011284150.1	WP_011206232.1
OG0000049	WP_094521498.1	WP_011206418.1
OG0000051	WP_094521726.1	WP_011206324.1
OG0000052	WP_094521536.1	WP_011205854.1
OG0000053	WP_094521633.1	WP_011205946.1
OG0000054	WP_011206291.1	WP_011206291.1
OG0000055	WP_011205867.1	WP_011205867.1
OG0000056	WP_157696708.1, WP_157696707.1	WP_011206513.1
OG0000057	WP_094521783.1	WP_232039550.1
OG0000058	WP_094521760.1, WP_094521555.1, WP_094521493.1	WP_011205927.1
OG0000058	WP_094521570.1	WP_011206355.1
OG0000060	WP_011283837.1	WP_232039581.1
OG0000061	WP_094521669.1	WP_011206139.1
OG0000062	WP_094521530.1	WP_011206522.1
OG0000063	WP_094521529.1	WP_011206521.1
OG0000064	WP_011290440.1	WP_011206518.1
OG0000065	WP_011290219.1	WP_011206245.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_094521512.1	WP_011206460.1
OG0000072	WP_094521513.1	WP_044284808.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000075	WP_094521552.1	WP_011205908.1
OG0000077	WP_094521763.1	WP_011206132.1
OG0000078	WP_094521645.1	WP_011206157.1
OG0000079	WP_011206305.1	WP_011206305.1
OG0000080	WP_014579900.1	WP_011206314.1
OG0000081	WP_094521551.1	WP_044284770.1
OG0000082	WP_094521707.1	WP_011206278.1
OG0000083	WP_094521681.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011206222.1
OG0000086	WP_094521683.1	WP_011206225.1
OG0000087	WP_094521684.1	WP_011206228.1
OG0000088	WP_044272480.1	WP_011206229.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_094521535.1	WP_011205853.1
OG0000091	WP_020835487.1	WP_011205850.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_011205846.1	WP_011205846.1
OG0000094	WP_014579519.1	WP_044284766.1
OG0000095	WP_094521532.1	WP_011205840.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_094521757.1	WP_011206525.1
OG0000100	WP_094521527.1	WP_011206511.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_094521648.1	WP_011206162.1
OG0000103	WP_011206238.1	WP_011206238.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_094521691.1	WP_011206242.1
OG0000106	WP_011290218.1	WP_044284796.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_014579827.1	WP_011206247.1
OG0000109	WP_094521692.1	WP_044284797.1
OG0000110	WP_094521705.1	WP_011206275.1
OG0000111	WP_094521704.1	WP_044284798.1
OG0000112	WP_094521703.1	WP_232039539.1
OG0000113	WP_094521701.1	WP_011206268.1
OG0000114	WP_094521777.1	WP_011206266.1
OG0000115	WP_094521698.1	WP_011206264.1
OG0000116	WP_094521621.1	WP_011205976.1
OG0000117	WP_094521622.1	WP_044284776.1
OG0000118	WP_094521624.1	WP_044284775.1
OG0000119	WP_094521625.1	WP_011205967.1
OG0000120	WP_011284027.1	WP_011205964.1
OG0000121	WP_011205959.1	WP_011205959.1
OG0000122	WP_094521627.1	WP_011205958.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011205953.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_094521629.1	WP_011205950.1
OG0000127	WP_094521631.1	WP_011205948.1
OG0000128	WP_094521634.1	WP_011205945.1
OG0000129	WP_014579732.1	WP_011205944.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_094521635.1	WP_044284819.1
OG0000132	WP_094521636.1	WP_011205939.1
OG0000133	WP_094521764.1	WP_011206123.1
OG0000134	WP_094521765.1	WP_011206122.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_094521576.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_011206106.1	WP_011206106.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_011290345.1	WP_044284804.1
OG0000142	WP_094521740.1	WP_011206395.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_094521739.1	WP_011206389.1
OG0000145	WP_011290337.1	WP_173670097.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_094521737.1	WP_011206381.1
OG0000149	WP_011206379.1	WP_011206379.1
OG0000150	WP_011206376.1	WP_011206376.1
OG0000151	WP_094521732.1	WP_011206349.1
OG0000152	WP_094521731.1	WP_011206348.1
OG0000153	WP_011206347.1	WP_011206347.1
OG0000154	WP_094521730.1	WP_011206345.1
OG0000155	WP_020835820.1	WP_011206337.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_011206334.1	WP_011206334.1
OG0000158	WP_094521727.1	WP_011206332.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_081430769.1	WP_044284799.1
OG0000161	WP_011206287.1	WP_011206287.1
OG0000163	WP_094521716.1	WP_011206284.1
OG0000164	WP_094521642.1	WP_011206143.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_094521676.1	WP_011206204.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_044284793.1	WP_044284793.1
OG0000169	WP_094521497.1	WP_002557698.1
OG0000171	WP_011206422.1	WP_011206422.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_094521499.1	WP_011206425.1
OG0000174	WP_094521500.1	WP_011206426.1
OG0000175	WP_094521754.1	WP_011206429.1
OG0000176	WP_094521505.1	WP_011206439.1
OG0000177	WP_094521506.1	WP_011206440.1
OG0000178	WP_020835878.1	WP_011206441.1
OG0000179	WP_014579979.1	WP_011206444.1
OG0000180	WP_011206445.1	WP_011206445.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011206468.1	WP_011206468.1
OG0000185	WP_094521514.1	WP_011206465.1
OG0000186	WP_094521637.1	WP_011205937.1
OG0000187	WP_011284055.1	WP_011205934.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_094521695.1	WP_011206257.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_011290223.1	WP_011206251.1
OG0000192	WP_011205992.1	WP_011205992.1
OG0000193	WP_094521610.1	WP_011283999.1
OG0000194	WP_094521582.1	WP_011206096.1
OG0000195	WP_094521583.1	WP_011206095.1
OG0000196	WP_094521584.1	WP_011206091.1
OG0000197	WP_041361572.1	WP_011206090.1
OG0000198	WP_011283930.1	WP_011206087.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_094521587.1	WP_011206084.1
OG0000201	WP_094521588.1	WP_044284824.1
OG0000202	WP_011283943.1	WP_011206073.1
OG0000203	WP_094521591.1	WP_011206072.1
OG0000204	WP_014579633.1	WP_011206071.1
OG0000205	WP_094521592.1	WP_011206070.1
OG0000206	WP_011290044.1	WP_011206066.1
OG0000207	WP_094521594.1	WP_011206063.1
OG0000208	WP_011290046.1	WP_011206062.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_094521596.1	WP_011206052.1
OG0000211	WP_011206050.1	WP_011206050.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011206046.1	WP_011206046.1
OG0000216	WP_011283965.1	WP_011206045.1
OG0000217	WP_011206044.1	WP_011206044.1
OG0000218	WP_094521597.1	WP_011206042.1
OG0000219	WP_051129924.1	WP_011206041.1
OG0000220	WP_011206040.1	WP_011206040.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_011206037.1
OG0000225	WP_094521598.1	WP_011206033.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011206031.1
OG0000228	WP_094521599.1	WP_011206030.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_011206027.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_011206018.1
OG0000234	WP_044284822.1	WP_044284822.1
OG0000235	WP_094521605.1	WP_011206009.1
OG0000236	WP_011283989.1	WP_011206008.1
OG0000237	WP_094521606.1	WP_011206007.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_011206399.1	WP_011206399.1
OG0000240	WP_011206400.1	WP_011206400.1
OG0000241	WP_011206402.1	WP_011206402.1
OG0000242	WP_094521742.1	WP_011206403.1
OG0000243	WP_014579955.1	WP_011206404.1
OG0000244	WP_094521744.1	WP_011206406.1
OG0000245	WP_011206408.1	WP_011206408.1
OG0000246	WP_094521541.1	WP_232039502.1
OG0000247	WP_094521542.1	WP_011205869.1
OG0000248	WP_052259122.1	WP_011205871.1
OG0000250	WP_011289957.1	WP_011205875.1
OG0000251	WP_094521546.1	WP_011205881.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_094521547.1	WP_011205884.1
OG0000254	WP_050195453.1	WP_011205886.1
OG0000255	WP_014579550.1	WP_011205888.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011205894.1
OG0000258	WP_011289974.1	WP_011283871.1
OG0000259	WP_094521759.1	WP_232039509.1
OG0000260	WP_094521550.1	WP_011205903.1
OG0000262	WP_041361531.1	WP_011205909.1
OG0000263	WP_011283885.1	WP_011205912.1
OG0000264	WP_011283887.1	WP_011205916.1
OG0000265	WP_044284579.1	WP_044284579.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_094521554.1	WP_044284773.1
OG0000268	WP_011283894.1	WP_011206137.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_094521524.1	WP_011206505.1
OG0000271	WP_094521523.1	WP_011206504.1
OG0000272	WP_011284373.1	WP_011206503.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_094521521.1	WP_044284809.1
OG0000275	WP_011290422.1	WP_238374142.1
OG0000276	WP_011290421.1	WP_011206496.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_011290418.1	WP_011206491.1
OG0000280	WP_094521520.1	WP_011206490.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000283	WP_014580009.1	WP_011206485.1
OG0000284	WP_094521519.1	WP_011206484.1
OG0000285	WP_094521518.1	WP_011206483.1
OG0000286	WP_094521714.1	WP_011206282.1
OG0000287	WP_011206297.1	WP_011206297.1
OG0000288	WP_094521779.1	WP_011206299.1
OG0000289	WP_020835793.1	WP_011206300.1
OG0000290	WP_094521724.1	WP_011206322.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_044284681.1	WP_011206319.1
OG0000293	WP_094521723.1	WP_011206318.1
OG0000294	WP_094521780.1	WP_011206316.1
OG0000295	WP_094521722.1	WP_011206315.1
OG0000296	WP_044272552.1	WP_011206307.1
OG0000297	WP_011284225.1	WP_011206306.1
OG0000298	WP_094521544.1	WP_011205874.1
OG0000299	WP_094521545.1	WP_011205878.1
OG0000300	WP_011205915.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011205924.1
OG0000302	WP_014579576.1	WP_011205925.1
OG0000303	WP_011206118.1	WP_011206118.1
OG0000304	WP_094521601.1	WP_011283978.1
OG0000305	WP_094521738.1	WP_011206386.1
OG0000306	WP_094521734.1	WP_011206354.1
OG0000307	WP_011206346.1	WP_011206346.1
OG0000308	WP_157696721.1	WP_011206326.1
OG0000309	WP_011206313.1	WP_011206313.1
OG0000310	WP_094521718.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_094521778.1	WP_011206290.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_094521675.1	WP_011206203.1
OG0000315	WP_011206209.1	WP_011206209.1
OG0000316	WP_094521679.1	WP_011206211.1
OG0000317	WP_094521685.1	WP_011206230.1
OG0000318	WP_094521775.1	WP_011206212.1
OG0000319	WP_094521690.1	WP_011206241.1
OG0000320	WP_094521702.1	WP_011206270.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_011205960.1	WP_011205960.1
OG0000323	WP_094521770.1	WP_011205940.1
OG0000324	WP_094521693.1	WP_011206250.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_094521590.1	WP_011206077.1
OG0000327	WP_011206076.1	WP_011206076.1
OG0000328	WP_011290047.1	WP_011206060.1
OG0000329	WP_044284742.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_094521743.1	WP_011206405.1
OG0000332	WP_011290372.1	WP_011206431.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_094521511.1	WP_011206452.1
OG0000335	WP_041361699.1	WP_011206454.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_094521528.1	WP_011206520.1
OG0000338	WP_094521531.1	WP_014580051.1
OG0000339	WP_094521699.1	WP_011206265.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_011284176.1	WP_011206255.1
OG0000342	WP_094521586.1	WP_044284780.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_094521577.1	WP_011206115.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_041361706.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_014579636.1	WP_232039585.1
OG0000349	WP_094521522.1	WP_011206501.1
OG0000350	WP_094521782.1	WP_044284839.1
OG0000351	WP_094521571.1	WP_011206131.1
OG0000352	WP_094521673.1	WP_011206199.1
OG0000353	WP_094521626.1	WP_044284774.1
OG0000354	WP_094521580.1	WP_232039591.1
OG0000355	WP_011284115.1	WP_011206194.1
OG0000356	WP_094521678.1	WP_232039529.1
OG0000357	WP_094521501.1	WP_228366113.1
OG0000358	WP_094521502.1	WP_011206428.1
OG0000359	WP_094521589.1	WP_044284823.1
OG0000360	WP_094521548.1	WP_225973008.1
OG0000361	WP_094521549.1	WP_011205900.1
OG0000362	WP_094521719.1	WP_011206302.1
OG0000363	WP_094521632.1	WP_318023859.1
OG0000364	WP_094521773.1	WP_173670107.1
OG0000369	WP_094521533.1	WP_011205844.1
OG0000370	WP_044272260.1	WP_011205843.1
OG0000378	WP_094521620.1	WP_011205977.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_094521769.1	WP_011205957.1
OG0000381	WP_094521630.1	WP_011205949.1
OG0000385	WP_094521574.1	WP_011206125.1
OG0000389	WP_094521579.1	WP_011206107.1
OG0000394	WP_094521728.1	WP_011206339.1
OG0000396	WP_094521715.1	WP_011206283.1
OG0000403	WP_094521503.1	WP_011206436.1
OG0000404	WP_094521507.1	WP_011206442.1
OG0000405	WP_094521755.1	WP_081430784.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000412	WP_011290399.1	WP_011206466.1
OG0000417	WP_094521694.1	WP_011206253.1
OG0000428	WP_011283958.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_094521600.1	WP_011206026.1
OG0000434	WP_157696710.1	WP_011206013.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_011206003.1	WP_011206003.1
OG0000441	WP_094521745.1	WP_011206409.1
OG0000451	WP_094521553.1	WP_011205913.1
OG0000453	WP_011283895.1	WP_011206136.1
OG0000457	WP_094521517.1	WP_011206482.1
OG0000459	WP_014579890.1	WP_011206301.1
OG0000463	WP_094521721.1	WP_011206310.1
OG0000464	WP_094521720.1	WP_011206309.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000468	WP_094521677.1	WP_011206205.1
OG0000471	WP_094521595.1	WP_011206053.1
OG0000473	WP_094521525.1	WP_011206506.1
OG0000474	WP_011284377.1	WP_011206507.1
OG0000475	WP_094521526.1	WP_011206508.1
OG0000482	WP_094521611.1	WP_011205994.1
OG0000485	WP_094521607.1	WP_011206004.1
OG0000486	WP_094521696.1	WP_011206258.1
OG0000487	WP_157696720.1	WP_220200502.1
OG0000488	WP_094521682.1	WP_011206221.1
OG0000489	WP_094521534.1	WP_011205849.1
OG0000491	WP_011205966.1	WP_011205966.1
OG0000492	WP_094521628.1	WP_011205951.1
OG0000495	WP_094521735.1	WP_011206377.1
OG0000502	WP_094521609.1	WP_011205996.1
OG0000504	WP_094521766.1	WP_011283955.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000508	WP_094521758.1	WP_011205890.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000519	WP_020835579.1	WP_011206079.1
OG0000520	WP_011283957.1	WP_011206055.1
OG0000523	WP_094521516.1	WP_044284849.1
OG0000526	WP_041361763.1	WP_232039525.1
OG0000527	WP_094521656.1	WP_011206174.1
OG0000529	WP_014579831.1	WP_011206243.1
OG0000530	WP_011284186.1	WP_011284186.1
OG0000531	WP_157696712.1	WP_011205956.1
OG0000537	WP_094521585.1	WP_011206089.1
OG0000538	WP_094521604.1	WP_011206012.1
OG0000543	WP_094521762.1	WP_044284843.1
OG0000544	WP_011284008.1	WP_014579703.1
OG0000545	WP_094521665.1	WP_011206184.1
OG0000546	WP_094521733.1	WP_011206350.1
OG0000553	WP_094521781.1	WP_011206330.1
OG0000554	WP_094521706.1	WP_011206277.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_094521614.1	WP_011205989.1
OG0000559	WP_014579758.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011206182.1
OG0000561	WP_094521603.1	WP_011206015.1
OG0000562	WP_094521660.1	WP_011206183.1
OG0000563	WP_094521772.1	WP_011206180.1
OG0000564	WP_094521768.1	WP_014579710.1
OG0000565	WP_094521671.1	WP_011206190.1
OG0000566	WP_094521668.1	WP_238374145.1
OG0000568	WP_011206097.1	WP_011206097.1
OG0000569	WP_094521615.1	WP_011205988.1
OG0000570	WP_094521616.1	WP_011205987.1
OG0000571	WP_094521617.1	WP_011205986.1
OG0000572	WP_094521618.1	WP_011205982.1
OG0000573	WP_094521647.1	WP_011206160.1
OG0000574	WP_014579714.1	WP_044284820.1
OG0000575	WP_094521612.1	WP_011205991.1
OG0000576	WP_011290145.1	WP_011206153.1
OG0000577	WP_011206325.1	WP_011290300.1
OG0000579	WP_094521659.1	WP_011206178.1
OG0000580	WP_041361798.1	WP_044284840.1
OG0000581	WP_094521657.1	WP_011206175.1
OG0000584	WP_094521568.1	WP_011206363.1
OG0000588	WP_094521644.1	WP_173670105.1
OG0000590	WP_094521561.1	WP_238374140.1
OG0000592	WP_094521725.1	WP_011206323.1
OG0000594	WP_094521613.1	WP_044284777.1
OG0000600	WP_094521558.1, WP_094521490.1, WP_011206362.1	WP_011206362.1
OG0000601	WP_020835695.1	WP_014579787.1
OG0000603	WP_011206361.1	WP_011206361.1
OG0000606	WP_094521658.1	WP_011206176.1
OG0000609	WP_157696717.1	WP_158209056.1
OG0000616	WP_011206358.1	WP_011206358.1
OG0000620	WP_143826160.1	WP_158209057.1
